[2026-06-12 12:20:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-11
正在获取论文...
[arXiv] 2026-06-11 | Multi-Field Hybrid Retrieval-Augmented Generation for Maritime Accident Root Cause Analysis
[NO] 3/1922 | Thickness-Independent Quantum Geometric Responses Driven by Interlayer Antiferroic Coupling
[NO] 4/1922 | Switching Hamiltonian Monte Carlo for sampling from mixture distributions
[NO] 5/1922 | ReSET: Accurate Latency-Critical NVFP4 Reasoning via Step-Aware Temperature Scaling
[NO] 6/1922 | Historical Seismic Monitoring of EGS and Conventional Geothermal Fields: LBNL Efforts and Lessons Learned
[NO] 7/1922 | Absorption cross section of a Schwarzschild black hole for a massive vector field
[NO] 8/1922 | Polar Decoding Tree Pruning Based on Soft Output Extraction
[NO] 9/1922 | Calibrating simplified vine copulas with a noise contrastive estimation approach
[NO] 10/1922 | Twist deformations for Hopf coquasigroups
[NO] 11/1922 | Duty-cycle modulation of the self-sustaining process by spanwise wall oscillation
[NO] 12/1922 | A Dual-Mode Faust-to-CLAP Compilation System
[NO] 13/1922 | A Context-Aware Dataset for Stance Detection in Bioethical Controversies on Reddit
[NO] 14/1922 | Ultrashort Pulse Train Generation on a 100TW Laser Beamline Using a Delay Mask After the Final Focusing Optics
[NO] 15/1922 | Loss-Shift Transfer via Bayes Quotients
[NO] 16/1922 | Mental-R1: Aligning LLM Reasoning for Mental Health Assessment
[NO] 17/1922 | Detecting Explanatory Insufficiency in Learned Representations: A Framework for Representational Vigilance
[NO] 18/1922 | Redesigning Regularization for Effective Policy Smoothing
[NO] 19/1922 | Thermodynamics of polymerized vacuum regular black holes in anti-de Sitter spacetime
[YES] 20/1922 | Entropic Generation of Binary Words
[NO] 21/1922 | Iterative Visual Thinking: Teaching Vision-Language Models Spatial Self-Correction through Visual Feedback
[NO] 22/1922 | Computing Joins in the Weak Order of Type B Coxeter Groups: an Algorithmic Approach
[NO] 23/1922 | Scaling limits of the single-curve interface and outermost loops in the planar random field Ising model
[NO] 24/1922 | A first-principles approach for predicting infrared optical properties of solids
[NO] 25/1922 | HyPE: Category-Aware Hypergraph Encoding with Persistent Edge Embeddings for Persona-Grounded Dialogue
[NO] 26/1922 | Cascade Classification of Dermoscopic Images of Skin Neoplasms with Controllable Sensitivity and External Clinical Validation
[NO] 27/1922 | Including the Cost of Irreducible Uncertainty in the Policy Compression Framework
[NO] 28/1922 | NaturalFlow: Reducing Disruptive Pauses for Natural Speech Flow in Simultaneous Speech-to-Speech Translation
[NO] 29/1922 | Model structures and electron transfer properties of conductive nickel-organic nanoribbons in cable bacteria
[NO] 30/1922 | Invariance of the Initial Coefficient Differences of Ma-Minda Convex Functions
[NO] 31/1922 | PP-OCRv6: From 1.5M to 34.5M Parameters, Surpassing Billion-Scale VLMs on OCR Tasks
[NO] 32/1922 | The Invisible Ink of the Android Malware World: A Longitudinal Study on the Usage of Covert Communication Channels
[NO] 33/1922 | LEDGER: A Long-Context Benchmark of Corporate Annual Reports for Grounded Financial Retrieval and Extraction
[NO] 34/1922 | The Graviton Propagator in Asymptotically Safe Gravity with Non-Local Form Factors
[NO] 35/1922 | Equilibrium Computation in Extensive-Form Games with Stochastic Action Sets
[NO] 36/1922 | Scale Buys Interpolation, Structure Buys a Horizon: Certified Predictability for Equivariant World Models
[NO] 37/1922 | Inverse Learning assisted V2I Communication for Intent Based 6G ISAC Vehicular Networks
[NO] 38/1922 | The Emergence of Autonomous Penetration Capabilities in Large Language Model-Powered AI Systems
[NO] 39/1922 | A generalised-$k_t$ jet algorithm for Deep Inelastic Scattering
[NO] 40/1922 | "Is This Not Enough?": Asymmetries in Institutional Accountability and Collective Sensemaking in the Case of Canada's Algorithmic Visa Triage System
[NO] 41/1922 | Ricci solitons as critical points of quadratic curvature functionals
[NO] 42/1922 | TWLA: Achieving Ternary Weights and Low-Bit Activations for LLMs via Post-Training Quantization
[NO] 43/1922 | EA-WM: Event-Aware World Models with Task-Specification Grounding for Long-Horizon Manipulation
[NO] 44/1922 | SeamEdit: A Black-Box VLM-Agnostic Pipeline for Large-Image Semantic Editing
[YES] 45/1922 | DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities
[NO] 46/1922 | GeoCFNet: Geometry-Aware Confidence Field Network for Robot-Assisted Endoscopic Submucosal Dissection
[NO] 47/1922 | Comparing Commercial Depth Sensor Accuracy for Medical Applications
[NO] 48/1922 | Exploring fair access to quantum computing
[NO] 49/1922 | Democracy in the Era of Artificial Intelligence
[NO] 50/1922 | Diagnostics-guided variance-inflated Fay-Herriot estimation from non-probability samples
[NO] 51/1922 | Enhanced Target Interaction Area of Helical Plasma Plumes in a Pulsed RF Atmospheric Plasma Jet
[NO] 52/1922 | Insitu X Ray Photoemission Study of Nb Surface Under Plasma Cleaning During MID T BAKING For SRF Cavities
[NO] 53/1922 | Reliability of Probabilistic Emulation of Physical Systems
[YES] 54/1922 | Structured Testbench Generation for LLM-Driven HDL Design and Verification-Oriented Data Curation
[NO] 55/1922 | From Prompts to Preferences: An Open-Source Platform for Generative AI-Enhanced Conjoint Analysis
[NO] 56/1922 | Predicting Cognitive Load from Speech and Interaction Dynamics in Dyadic Conversations
[NO] 57/1922 | Design and optimization of an AZO-based plasmonic metasurface-driven optical solar reflector for thermal management
[NO] 58/1922 | Data-Driven Frequency-Selective Output Regulation of Nonlinear Systems under Almost Periodic Exosignals
[NO] 59/1922 | Testing Theory of Truly Concurrent Processes
[NO] 60/1922 | Multi-Turn Reasoning When Context Arrives in Pieces: Scalable Sharding and Memory-Augmented RL
[NO] 61/1922 | Self-Guidance: Enhancing Neural Codecs via Decoder Manifold Alignment
[NO] 62/1922 | On perfect flag-rank metric codes
[NO] 63/1922 | Conditional spinodal decomposition in Li-Mg anodes for lithium metal batteries
[NO] 64/1922 | MAStrike: Shapley-Guided Collusive Red-Teaming on Multi-Agent Systems
[NO] 65/1922 | Where Computation Lives Inside TabPFN: Causal Localisation of Attention Head Function
[NO] 66/1922 | Global Control with the Tavis-Cummings Interaction
[NO] 67/1922 | Trait, Not State: The Durability of Reading Identity in Social Highlighting
[NO] 68/1922 | Prediction-Powered Causal Inference by Automatic Debiased Machine Learning and Semi-Supervised Riesz Regression
[NO] 69/1922 | Bridging Modal Isolation in Interleaved Thinking: Supervising Modality Transitions via Stepwise Reinforcement
[NO] 70/1922 | The Hidden Power of Scaling Factor in LoRA Optimization
[NO] 71/1922 | Rotatable Antenna-Enabled Near-Field Integrated Sensing and Communication
[YES] 72/1922 | Beyond Problem Solving: UOJ-Bench for Evaluating Code Generation, Hacking, and Repair in Competitive Programming
[NO] 73/1922 | A Privacy-Preserving Framework Using Remote Data Science for Inter-Institutional Student Retention Prediction
[NO] 74/1922 | Interpretable Factor Decomposition for Decision Intelligence in Large-Scale Financial Markets: Evidence from China's A-Share Market
[NO] 75/1922 | Sub-array Selection Optimization for Joint Self-Interference and Multi-User Interference Suppression in FD mMIMO
[NO] 76/1922 | Accidental Symmetry in the Tavis-Cummings Model via the Schwinger Boson Representation
[NO] 77/1922 | Homotopy-Based Re-Initialization for Switched DAEs in Power System Transient Simulation
[NO] 78/1922 | A variable time-step, second-order, and MBP-preserving linear stabilized scheme for the time-fractional Allen-Cahn equation
[NO] 79/1922 | Pushing the Frontiers for Floating Solar Photovoltaics -- The Case for South America
[NO] 80/1922 | Orchestrating the Twin Transition in Multinational Corporations: Technology Roadmapping for Green and Digital Global Business Services
[NO] 81/1922 | The No-show Paradox in Single Transferable Vote under One-dimensional Preferences
[NO] 82/1922 | Constraining Kerr supermassive black hole properties using gravitational waves from inspiraling stellar-mass binary black holes
[NO] 83/1922 | ProPlay: Procedural World Models for Self-Evolving LLM Agents
[NO] 84/1922 | Rigel: Reverse-Engineering the Metal 4.1 Tensor Compute Path on the Apple M4 Max GPU
[NO] 85/1922 | NavWAM: A Navigation World Action Model for Goal-Conditioned Visual Navigation
[NO] 86/1922 | The ultra low-frequency spectral properties of bright extended radio galaxies in the 3CRR catalogue
[NO] 87/1922 | Power-weighted Hardy type integral inequalities with additional terms on finite intervals
[NO] 88/1922 | Exploring Systems-Thinking Approaches to Loss of Control Risk
[NO] 89/1922 | Khovanov homology: pro-tangles, derived colimits and spectral sequences
[NO] 90/1922 | $W-δ-μ$ dual codes and LCD codes
[NO] 91/1922 | A symmetry theorem for localizable steady solutions of the 3D Euler equations
[NO] 92/1922 | Symmetric Cooperative Motion in Higher Dimensions
[NO] 93/1922 | Real-Time Visualization of the Spatiotemporal Dynamics of 3D Solitons
[NO] 94/1922 | Clustering Node Attributed Networks with Graph Neural Networks and Self Learning
[NO] 95/1922 | S-GBT: Smooth Growth Bound Tensor for Certified Robustness Against Word Substitution Attacks in NLP
[NO] 96/1922 | Numerical Hints for Dyon Condensation at $θ=2π$ via Wilson-'t Hooft Loops in $SU(2)$ Yang-Mills Theory
[NO] 97/1922 | Dopant-induced modifications of the optical properties of GaSe
[NO] 98/1922 | On the class-breadth conjecture for $p>2$ -groups
[NO] 99/1922 | Kerr-induced nonreciprocal transparency and group delay in a hybrid cavity magnomechanical system
[NO] 100/1922 | Optimizing Appliance Scheduling for Solar Energy Management Using Metaheuristic Algorithms
[NO] 101/1922 | Geometry of non-Hermitian Yang--Mills moduli spaces
[NO] 102/1922 | Enhanced Photocurrent Response in Epitaxial 0.5PZT-0.5PFN Multiferroic Thin Films
[NO] 103/1922 | The Influence of Gain and Phase Mismatches on Beam Patterns in Phased Arrays
[NO] 104/1922 | On the holomorphy of the curvature of planar webs along an invariant curve
[NO] 105/1922 | Sizing of a grid-forming power converter to improve the small-signal stability of an LCC-HVDC system connected to a weak grid
[NO] 106/1922 | Stellar Population Spectra Incorporating Detailed Binary Evolution using POSYDON
[NO] 107/1922 | Finsler structure of Busemann G-spaces
[NO] 108/1922 | A Note About Algebraic $(s, t)$-Weak Tractability Of Linear Tensor Product Problems In The Worst-Case Setting
[NO] 109/1922 | Navigating the Safety-Fidelity Trade-off: Massive-Variate Time Series Forecasting for Power Systems via Probabilistic Scenarios
[NO] 110/1922 | Exploring Exotic Spin-Dependent Interactions Beyond the Standard Model: Theoretical Foundations and Experimental Investigations
[NO] 111/1922 | ReSum: Synergizing LLM Reasoning and Summarization with Reinforcement Learning
[NO] 112/1922 | Discrete Fourier Transform Approach to Cyclically Covering Subspaces of $\mathbb{F}^n_q$
[NO] 113/1922 | DuET: Dual Expert Trajectories for Diffusion Image Editing
[NO] 114/1922 | Automatic detection of Flare Ribbon Fine Structures as Proxies for Plasmoid Dynamics in Flare Reconnection
[NO] 115/1922 | See Selectively, Act Adaptively: Dual-Level Structural Decomposition for Bimanual Robot Manipulation
[NO] 116/1922 | Zero-Shot Captioning for Cultural Heritage: Automated Image Analysis of Traditional Indonesian Clothing
[NO] 117/1922 | Monotonicity of the rank functions for concave compositions
[NO] 118/1922 | TimeLens: On-Device Artifact Recognition with Retrieval-Augmented Question Answering for the Grand Egyptian Museum
[NO] 119/1922 | Selective stabilization of antiferromagnetic orders in FeTe films via local strain engineering
[NO] 120/1922 | Kubo-Martin-Schwinger conditions for non-Hermitian systems
[NO] 121/1922 | EvoArena: Tracking Memory Evolution for Robust LLM Agents in Dynamic Environments
[NO] 122/1922 | Morphology control and low-temperature magnetotransport in chiral 2D perovskite R-(MBA)$_2$PbI$_4$
[NO] 123/1922 | Robust Control of ECH Deposition Profiles on DIII-D
[YES] 124/1922 | Specifying Hardware Communication as Programs
[NO] 125/1922 | Orbital-optimized density functional calculations of excited electronic states: Recent advances and perspectives
[NO] 126/1922 | To Cool, or Not to Cool? Displacement Sensing with Hot Quantum States
[NO] 127/1922 | Operadic consistency: a label-free signal for compositional reasoning failures in LLMs
[NO] 128/1922 | Surflo: Consistent 3D Surface Flow Model with Global State
[NO] 129/1922 | Recursive Agent Harnesses
[NO] 130/1922 | Valid Inference with Synthetic Data via Task Exchangeability
[NO] 131/1922 | Generative Modeling of Bach-Style Symbolic Music: A Comparative Study of Autoregressive, Latent-Variable, and Adversarial Approaches
[NO] 132/1922 | Beyond Runtime Enforcement: Shield Synthesis as Defensibility Analysis for Adversarial Networks
[NO] 133/1922 | A Declining CVaR Glidepath Framework for Target-Date Fund Design with an Application to the Chilean Pension System
[NO] 134/1922 | First Measurement of Sub-GeV $ν_μ$ Charged-Current Coherent Pion Production on Argon in MicroBooNE
[NO] 135/1922 | Natural Supercooling and Reheating along Supersymmetric Flat Directions and Observable Gravitational Waves at the Einstein Telescope and the Cosmic Explorer
[NO] 136/1922 | Multiagent Protocols with Aggregated Confidence Signals
[NO] 137/1922 | ArogyaSutra: A Multi-Agent Framework for Multimodal Medical Reasoning in Indic Languages
[NO] 138/1922 | Lone-Pair-Induced Lattice Softness Enables Ultralow Thermal Conductivity in Hybrid Organic-Inorganic Perovskite GuaPbI$_3$
[NO] 139/1922 | Programmable Synthetic Motion at a Time-Varying Interface
[NO] 140/1922 | Asymptotic regimes for maximum likelihood estimation in the Ewens--Pitman model: When the strength parameter matters
[NO] 141/1922 | A ribbon ZX calculus for gauge theory
[NO] 142/1922 | When Does Mixing Help? Analyzing Query Embedding Interpolation in Multilingual Dense Retrieval
[NO] 143/1922 | AgentRivet: an automated system for producing Rivet routines from journal publications
[NO] 144/1922 | What's Old is New Again: Classical Dimensionality Reduction for Efficient Saliency-Guided Biometric Attack Detection
[NO] 145/1922 | Generalized Exact Fractional Quantum Information Model with Memory Effects
[NO] 146/1922 | Weak order: Alternating sign matrices, monotone triangles, and bumpless pipe dreams
[NO] 147/1922 | CloudCons: A Comprehensive End-to-End Benchmark for Cloud Resource Consolidation
[NO] 148/1922 | Skill vs Education Types of Labour Mismatch and Their Association with Earnings
[NO] 149/1922 | A refined thermodynamic analysis of nonsecular master equations
[NO] 150/1922 | Improving Robotic Generalist Policies via Flow Reversal Steering
[NO] 151/1922 | LAUKIN: A Multi-jurisdictional Common Law Contract Dataset
[NO] 152/1922 | Exact Relevant Stress-Tensor Flows and a Causality No-Go in Self-Dual Electrodynamics
[NO] 153/1922 | Ultrafast chiral sensing with an ultraviolet vector beam
[NO] 154/1922 | Feasibility of a Flexible, Hybrid Tokamak-Stellarator Experiment using an Axisymmetric Dipole Coil Array
[NO] 155/1922 | Observable Dependence of Viscous Corrections in QGP: Heavy Quarks and Dileptons in Chapman--Enskog Theory
[NO] 156/1922 | G-Long: Graph-Enhanced Memory Management for Efficient Long-Term Dialogue Agents
[NO] 157/1922 | Hadamard ill-Posedness of the linearised Prandtl Equations in Gevrey spaces
[NO] 158/1922 | Population dynamics of surface-mediated autocatalytic processes
[NO] 159/1922 | Interplay between inhomogeneous chiral and crystalline color-superconducting phases in the two-flavor NJL model
[NO] 160/1922 | Data-Driven Equation Discovery for Nonlinear Liquid Film Flows
[NO] 161/1922 | Hadron polarization and equation of state at FAIR/RHIC-BES energies
[NO] 162/1922 | Budget-Constrained Step-Level Diffusion Caching
[NO] 163/1922 | A proof of conjectures of Esterle and Ransford on negative powers of contractions
[NO] 164/1922 | New results on gauge field decomposition in SU(3) gluodynamics
[NO] 165/1922 | Point-Wise Geometry-Aware Transformer for Partial-to-Full Point Cloud Registration in Computer-Assisted Surgery
[NO] 166/1922 | Branching-selection particle systems and inverse first passage problems
[NO] 167/1922 | Impedance MPC with Patient-Torque Estimation for Knee Rehabilitation Exoskeletons
[NO] 168/1922 | A Stabilized Multilevel B-Spline-Based Fast Integral Method for the Solution of the Electric Field Integral Equation
[NO] 169/1922 | Towards a Control interpretation of Quantum Advantage
[NO] 170/1922 | Families of smooth Fano fourfolds of Picard rank 1 without Bott vanishing
[NO] 171/1922 | Ontology Memory-Augmented ASR Correction for Long Text-Speech Interleaved Conversations
[NO] 172/1922 | Reinforcement Learning for Neural Model Editing
[NO] 173/1922 | Integrable metrics with potentials on the Hardy space and a class of PDEs
[NO] 174/1922 | How Much Memory Do We Need? Adaptive Memory Gate for Neural Operators
[NO] 175/1922 | Japan's Possible Contributions for Coronagraph of the Habitable Worlds Observatory (HWO)
[NO] 176/1922 | Polarization-controlled transport of light in a two-dimensional waveguide
[NO] 177/1922 | Accelerating Speculative Diffusions via Block Verification
[NO] 178/1922 | Mitigating SAR-ADC Non-Idealities in Massive MU-MIMO Systems via Affine Models
[NO] 179/1922 | Towards Standardizing Affine Frequency Division Multiplexing (AFDM) for Future Wireless Networks
[NO] 180/1922 | Transport simulations with a constrained momentum-dependent Chiral Mean Field EoS at different iso-spin fractions
[NO] 181/1922 | An End-to-End Hybrid Framework for Rumour Detection in Low-Resources Algerian Dialect
[NO] 182/1922 | Person Identification from Contextual Motion
[NO] 183/1922 | A catalog of fast matrix multiplication algorithms with frontier-closure search
[NO] 184/1922 | Neuro-Symbolic Agents for Regulated Process Automation: Challenges and Research Agenda
[NO] 185/1922 | Characterizing the functional role of quantum coherence in energy transfer
[NO] 186/1922 | Feedback in Extragalactic Star Clusters (FEAST): Spectral Energy Distributions and the Physical Properties of Star Clusters in NGC 628 with CIGALE
[NO] 187/1922 | From 2D Yang-Mills to Calogero-Sutherland via a colored particle
[NO] 188/1922 | Who Pays the Price? Stakeholder-Centric Prompt Injection Benchmarking for Real-world Web Agents
[NO] 189/1922 | An LLM System for Autonomous Variational Quantum Circuit Design
[NO] 190/1922 | Experimental Design Space Exploration of Ultra-Low Threshold Hybrid III-V/Si Quantum Dot Microring Lasers
[NO] 191/1922 | IterCAD: An Iterative Multimodal Agent for Visually-Grounded CAD Generation and Editing
[NO] 192/1922 | Extended Frege proofs, circuits and rewriting
[NO] 193/1922 | The $(1 + 1)$-EA in Dynamic Environments
[NO] 194/1922 | IVIE: A Neuro-symbolic Approach to Incremental and Validated Generation of Interactive Fiction Worlds
[NO] 195/1922 | Improved Runtime Bound for the $(μ+ 1)$ EA on BinVal
[NO] 196/1922 | A smoothing extended sequential quadratic method for difference-of-convex optimization over a convex composite inequality constraint
[NO] 197/1922 | Dual-Domain Equivariant Generative Adversarial Network for Multimodal CT-PET Synthesis
[NO] 198/1922 | Reconstruction for an inverse scattering problem with a Kerr type nonlinearity
[NO] 199/1922 | Work Stealing for the 2D-Mesh Topology of Satellite Constellations in Low Earth Orbit
[NO] 200/1922 | Non-Parametric Dual-Manifold Mapping via 8-Bit Bounded Transformation Matrices: Challenging FP-centric Hardware Paradigms in Low-Energy AI
[NO] 201/1922 | Disclosure risk in a geo-spatial setting
[NO] 202/1922 | Learning light scattering from operator parameter spaces to Galerkin-consistent solution spaces
[NO] 203/1922 | SkillCAT: Contrastive Assessment and Topology-Aware Skill Self-Evolution for LLM Agents
[NO] 204/1922 | Masked and Predictive Self-Supervised Foundation Models for 3D Brain MRI
[NO] 205/1922 | A complete solution to the biased Alon-Krivelevich-Spencer-Szabó criterion problem for the discrepancy game
[NO] 206/1922 | Semiparametric Bayesian inference for causal mediation in cluster randomized trials
[NO] 207/1922 | The Sesquiharmonic Map Flow from Riemannian Surfaces
[NO] 208/1922 | Simultaneous Latent Budget Trees for Stratified Classification
[NO] 209/1922 | Understanding quantum behaviors of an electron in a uniform magnetic field alternatively
[NO] 210/1922 | Cross-Modal Masked Compositional Concept Modeling for Enhancing Visio-Linguistic Compositionality
[NO] 211/1922 | Once-for-All: Scalable Simultaneous Forecasting via Equilibrium State Estimation
[NO] 212/1922 | ERTS: Adversarial Robustness Testing of Ethical AI via Semantic Perturbation in a Bounded Consequence Space
[NO] 213/1922 | ProtoX-AD: Self-Explainable Time Series Anomaly Detection and Characterization
[NO] 214/1922 | Towards imaging Earth's large-scale structures by directional geoneutrino detection with Ocean Bottom Detector
[NO] 215/1922 | Frustration effects on the magnetization plateau physics in a trimerized quantum spin-1/2 chain
[NO] 216/1922 | ffdas: Volumetric ultrasound reconstruction at warp speed
[NO] 217/1922 | Towards Personalized Federated Learning for Dysarthric Speech Recognition
[NO] 218/1922 | New 12C/13C and 14N/15N isotopic ratio measurements in Jupiter's stratosphere revealed by ALMA
[NO] 219/1922 | Multi-Phase Optimization of Shared Charging Infrastructure for Freight Electrification
[NO] 220/1922 | The QR factorization of a Banded-Plus-Semiseparable Matrix is Computable with Linear Complexity
[NO] 221/1922 | Distributional Loss for Robust Classification
[NO] 222/1922 | Proprioceptive-visual correspondence enables self-other distinction in humanoid robots
[NO] 223/1922 | From Uncertain Judgments to Calibrated Rankings: Conformal Elo Estimation for LLM Evaluation
[NO] 224/1922 | Mitigating business risks from renewable PPA power sourcing uncertainties for European green hydrogen production: Robust system design, regulatory adjustments and offtake flexibility
[NO] 225/1922 | Hallucination in Medical Imaging AI: A Cross-Modality Analytical Framework for Taxonomy, Detection, and Mitigation under Regulatory Constraints
[NO] 226/1922 | On a local variant of the 12th Delfino problem -- the $Π$-side
[NO] 227/1922 | Understanding helpfulness and harmless tension in reward models
[NO] 228/1922 | Some results about spaceability in function spaces
[NO] 229/1922 | Reasoning for Mobile User Experience with Multimodal LLMs: Task, Benchmark, and Approach
[NO] 230/1922 | SICI: A Semantic-Pragmatic Complexity Index Reveals Regime Shifts in LLM Stance Detection
[NO] 231/1922 | Sketching Intersection Profiles: A Simple Proof and Three Applications
[NO] 232/1922 | Modern analog computing for solving differential and matrix equations
[NO] 233/1922 | Primitive Averages, Directional Expansivity, and Quantitative Twisted Recurrence for Ergodic $\mathbb{Z}^d$-Actions
[NO] 234/1922 | A Class of Multiparameter Signless Stirling Numbers of the First Kind and their $q$-Analogues
[NO] 235/1922 | On the Counting Sequence of Z-convex Polyominoes
[NO] 236/1922 | Decoding Crystallographic Surface Chirality with Machine Learning: From Atomic Geometry to Fermi Surface Projections
[NO] 237/1922 | MIDSim: Simulating Multi-Channel Information Diffusion in Social Media with LLM-Powered Multi-Agent System
[NO] 238/1922 | The Limits of Time
[NO] 239/1922 | Global Well-posedness and Regularity of the Dynamical Prandtl Equation
[NO] 240/1922 | Fully Distributed Multi-View 3D Tracking in Real-Time
[NO] 241/1922 | Beyond the Fundamental Metallicity Relation: galaxy sizes encode the link between inflow and metallicity
[NO] 242/1922 | Deep optical spectroscopic monitoring of the pulsating ULX NGC 1313 X-2 with longslit Gemini observations
[NO] 243/1922 | Disentangling the origin of degradation in perovskite solar cells via optical imaging and Bayesian inference
[NO] 244/1922 | FTP-1: A Generalist Foundation Tactile Policy Across Tactile Sensors for Contact-Rich Manipulation
[NO] 245/1922 | Functional Cache Grafting: Robust and Rapid Code-Policy Synthesis for Embodied Agents
[NO] 246/1922 | Unified MRI Brain Image Translation via Hierarchical Tumor Structure Comparison
[NO] 247/1922 | Balancing ASR and diarization in end-to-end LLMs for multi-talker speech recognition
[NO] 248/1922 | Field line slippage rate signatures in nonlinear force-free field extrapolations
[NO] 249/1922 | Multi-Objective Coevolution of Prompts and Templates for Circuit Approximation
[NO] 250/1922 | sebis at CRF Filling 2026: A Two-Stage Local LLM Pipeline for Medical CRF Filling
[NO] 251/1922 | Chemical signatures from the first stars embedded in metal-poor gas in galaxies at cosmic dawn
[NO] 252/1922 | Approximate Maximin Share with Subjective Divisibility: Beating the 1/2 Barrier
[NO] 253/1922 | Rings with Clean-Like Properties: Endomorphism, Matrix and Structural Theorems
[NO] 254/1922 | Irregular curvature at focal adhesions modulates Piezo1 activity and low frequency ultrasound induced apoptosis in cancer cells
[NO] 255/1922 | RoboProcessBench: Benchmarking Process-Aware Understanding in Vision-Language Robotic Manipulation
[NO] 256/1922 | Fault Lines: Navigating Ethics and Responsible AI Where National Policy Meets Local Practice in Public Sector Transformation
[NO] 257/1922 | Nous: An Attempt to Extract and Inject the Cognition Behind Prediction-Market Behavior
[NO] 258/1922 | TetherCache: Stabilizing Autoregressive Long-Form Video Generation with Gated Recall and Trusted Alignment
[NO] 259/1922 | A Quantum Algorithm for Random Number Generation
[NO] 260/1922 | SAM-Deep-EIoU: Selective Mask Propagation for Multi-Object Tracking
[NO] 261/1922 | Concavity and hot spots in elliptic problems under mixed boundary conditions
[NO] 262/1922 | SciR: A Controllable Benchmark for Scientific Reasoning in LLMs
[NO] 263/1922 | Stochastic Modeling of Composite Interfaces: Sensitivity to Spatial Correlation and Bayesian Identification from Standard Fracture Tests
[NO] 264/1922 | Complete Calabi-Yau metrics on noncompact K3 fibered threefolds
[NO] 265/1922 | Bounds and Constructions of Maximum Toroidal Distance Codes
[NO] 266/1922 | The Illusion of Multi-Agent Advantage
[NO] 267/1922 | SoK: The Constant Time Model
[NO] 268/1922 | Efficient emulation of nuclear ground states with neural-network variational Monte Carlo and eigenvector continuation
[NO] 269/1922 | GenHOI: Contact-Aware Humanoid-Object Interaction by Imitating Generated Videos without Task-Specific Training
[NO] 270/1922 | DeepJEB++: Foundation Model-Driven Large-Scale 3D Engineering Dataset via 2D Latent Space Augmentation
[NO] 271/1922 | Charge as a Construct-Validity Factor in Chinese Legal Case Retrieval: A Cross-Benchmark Audit
[NO] 272/1922 | Efficient, Robust, and Anti-Collusion Fingerprinting of Image Diffusion Models
[NO] 273/1922 | The reverse mathematics of the Ordered Variable Word theorem
[NO] 274/1922 | A Delayed Multi-channel Progenitor for Apparently Nonrepeating Fast Radio Bursts
[NO] 275/1922 | Nucleon matrix elements of axial anomaly, axial currents and pseudoscalar currents in the QCD sum rule
[NO] 276/1922 | Gravitational wave background from extreme-mass-ratio inspirals
[NO] 277/1922 | Maestro: Workload-Aware Cross-Cluster Scheduling for LLM-Based Multi-Agent Systems
[NO] 278/1922 | Maximum spectral gap of regular graphs with bounded essential edge-connectivity
[NO] 279/1922 | Tests of general relativity at the fourth post-Newtonian order with GW230627 and GW250114
[NO] 280/1922 | Low-regularity Schrödinger map flow on high-dimensional periodic domains
[NO] 281/1922 | Multi-Label Test-Time Adaptation with Bayesian Conditional Priors
[NO] 282/1922 | Polar: A Benchmark for Evaluating Political Bias in LLMs
[NO] 283/1922 | An Oskolkov--Zhizhiashvili Criterion for Rectangular Fourier Sums
[NO] 284/1922 | Birkhoff conjecture and finite energy foliations in Hill's lunar problem
[NO] 285/1922 | SIDM and CDM interpretations of the million-solar-mass lensing perturber JVAS B1938+666-$\mathcal{V}$
[NO] 286/1922 | PRISM: Prosody-Integrated Multi-Agent Reasoning Framework for Empathetic Spoken Dialogue
[NO] 287/1922 | PolicyGuard: Towards Test-time and Step-level Adversary Defense for Reinforcement Learning Agent
[NO] 288/1922 | Pinching-Antenna Enabled Multicell Wireless Systems
[NO] 289/1922 | Volterra--Wiener--Kunchenko Orthogonalization: From Wiener--Hermite to Distribution-Matched Volterra Bases
[NO] 290/1922 | Non-Spanning Identification of Scheduled Event Risk in Option Pricing
[NO] 291/1922 | Multimodal Graph Negative Learning
[NO] 292/1922 | Leveraging rapid sintering to retain metastable zirconia in copper
[NO] 293/1922 | SemanticXR: Low Power and Real-time Queryable Semantic Mapping with an Object-Level Device-Cloud Architecture
[NO] 294/1922 | Language-Guided Abstraction for Visual Reasoning
[NO] 295/1922 | Active Perception for Radio Map Reconstruction in Uncharted 3D Air-Ground Environments
[NO] 296/1922 | LoHoSearch: Benchmarking Long-Horizon Search Agents Beyond the Human Difficulty Ceiling
[NO] 297/1922 | Fantastic Scientific Agents and How to Build Them: AgentBuild for Rietveld Refinement
[NO] 298/1922 | Data-driven modeling of Galactic diffuse emission with multi-wavelength observations
[NO] 299/1922 | Perceive, Interact, Reason: Building Tool-Augmented Visual Agents for Spatial Reasoning
[NO] 300/1922 | Calculation of solitons derived from quivers
[NO] 301/1922 | Topical Phase Transitions in Artificial Intelligence Research: Large-Scale Evidence and an Early-Warning Signature for Emerging Topics
[NO] 302/1922 | Acquisition state behaves as a structured, measurable variable governing lung-nodule AI: kernel-driven measurement instability and noise-driven detection fragility, invisible to DICOM metadata
[NO] 303/1922 | Geometric obstruction to resolving the Hubble tension: orthogonality of scale and shape in distance measurements
