[2026-06-02 12:43:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-01
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202606010000+TO+202606012359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-6-1 | Reliable Receiver Design for Frequency-Selective Channels under Bursty Impulsive Noise
[NO] 534/1000 | DRIFTS: Distributed Robustness for Time Series is Feasible, Distributed, and Fun
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 535/1000 | Neural effects of meditation following a randomized controlled trial of the Emotion Awareness and Skills Enhancement (EASE)
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 536/1000 | Unregistered Spectral Image Fusion: Unmixing, Adversarial Learning, and Recoverability
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 537/1000 | Ultra-compact 2.5D Integration of RF Interfaces and Opto-Electronic Devices via Silicon Interposer
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 538/1000 | Vertical GaN Schottky Barrier Diodes with Polarized P-InGaN/P-GaN Heterojunction Termination Extension Structure
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 539/1000 | Cloud-edge collaboration and digital twin-driven new smart city governance: a review of technological progress and applications
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 540/1000 | Anomaly Ranking for Enterprise Finance Using Latent Structural Deviations and Reconstruction Consistency
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 541/1000 | RAG-Governor: Unified Governance for Trustworthy and Cost-Efficient Retrieval-Augmented Generation with SLO Guarantees
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 542/1000 | Research on the Growth and Trade Fluctuation of China's New Energy Electric Passenger Car Exports to ASEAN Based on the Improved Constant Market Share Model
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 543/1000 | Integrating Fashion Performance into Cultural Tourism Branding Based on Logistic Regression
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 544/1000 | “I’m a person–not a patient or diagnosis”: Centering the Person Living with Dementia’s Perspective on Caregiver Dynamics and Technology Design
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 545/1000 | Smart grids on MV/LV Distribution: From Transformer Substation to Intelligent Energy Management Node
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 546/1000 | Modeling Safe Variability Areas of Power for NPP Power Unit Models
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 547/1000 | Feasibility Study of Programming Compliant Bimanual Tasks with Reasoning LLMs
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 548/1000 | Measurements of the Corona Discharge Field of an Extra-High Voltage Transmission Line
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 549/1000 | Modelling Children’s Language: Vikidia-based Resources to Support Italian Text Simplification
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 550/1000 | Comparative Characteristics of Aviation Fuels Properties of Domestic and Foreign Production According to ASTM and NATO Standards
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 551/1000 | Some Features of Linear Autoregressive Processes Kernel Application to Diagnostic Problems of Power Equipment
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 552/1000 | Towards Secure Smart Grid Infrastructure in Saudi Arabia: A Review and Perspective of AI-Powered False Data Injection Attack Detection Methods.
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 553/1000 | Design of Cadmium-Tellurium Oxide Heterostructures for Portable Solar Cells
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 554/1000 | Fabrication of Piezoresistive Sensor using PVA/Sugarcane/Fe
                    <sub>3</sub>
                    O
                    <sub>4</sub>
                    blend
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 555/1000 | Impact of Radar-Derived Occupant Location on Non-Intrusive Load Monitoring Accuracy Using Deep Neural Networks
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 556/1000 | Verification of the Tightening of an Aluminium Flat Bar Using a Convolutional Neural Network
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 557/1000 | On-Antenna Power Combining Dual-band and Dual-polarized Phased Array Antenna Module for Extreme-Large-Scale Arrays with High EIRP and Minimal Footprint
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 558/1000 | Trustworthy Provenance for Physical and Digital Artifacts with Commodity Mobile Devices
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 559/1000 | Towards Mobile High-Resolution mmWave SAR Imaging via Prior-Guided Autofocus
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 560/1000 | Demo: ISAC Real-Time Experimentation Platform
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 561/1000 | Who is the Fairest of Them All? Using Large Language Models for Fairness Assessments
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 562/1000 | ExUM 2026 - 8th Workshop on Explainable User Modeling and Personalised Systems
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 563/1000 | Community Norms in the Spotlight: Enabling Task-Agnostic Unsupervised Pre-Training to Benefit Online Social Media
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 564/1000 | An Ultra-Compact 64–98GHz Power-Combining Frequency Doubler with Magnetic-Enhanced Harmonic Reflectors
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 565/1000 | A Caterpillar-Type Miniature Robot for Adaptive Locomotion and Exploration of Tiny Rigid/Soft Pipes_supp5-3697140.mp4
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 566/1000 | Front cover
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 567/1000 | AgriPred: An Image-Based Rice Disease Classification System with Inference-Time Text Assistance and Advisory Support
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 568/1000 | Sequential Modulated Predictive Voltage Control of an
                    <i>LC</i>
                    -Filtered Neutral-Point Clamped Inverter With Reduced Computational Burden
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 569/1000 | Reducing Pilots in Channel Estimation with Predictive Foundation Models
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 570/1000 | LAPS: Improving Incremental LiDAR Mapping using Active Pooling and Sampling for Neural Distance Fields
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 571/1000 | Spatial Clustering and Controlling Factors of Active Landslides in the Upper Yellow River: Insights from SBAS-InSAR and XGBoost–SHAP Modeling
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 572/1000 | Thermal Runaway Warning for Lithium-Ion Battery in Energy Storage Station Based on Quasi-Energy Consumption
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 573/1000 | Front Cover
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 574/1000 | Adaptive Control for Vehicle Platoons With Uncertain Input Delays: An Observer-Based Estimation Approach
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 575/1000 | Global Transient Stability Control for Grid-Following Inverter Based on Elimination of Pendulum-like Periodic Trajectory
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 576/1000 | PDF: Prompt-Guided Decoupled Feature Learning for Cloth-Changing Person Re-Identification
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 577/1000 | EVmem: Air-Gap Covert Channel Using Electromagnetic Virtual Memory Allocation and Deallocation
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 578/1000 | A High-Performance Modular Linear Actuator With Enhanced Compensation of Cogging Torque and Friction_supp2-3687954.pdf
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 579/1000 | GenIA: Generative Index Advisor for Dynamic Workloads and Data
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 580/1000 | Real-Time Holography Guided 3D Printing for Photocurable Hydrogel Microstructures With Tailored Morphology and Stiffness
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 581/1000 | The Power of Two in Large Service-Marketplaces
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 582/1000 | Joint Background–Anomaly–Noise Decomposition for Robust Hyperspectral Anomaly Detection via Constrained Convex Optimization
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 583/1000 | The Pragmatic Openness of Open RAN: Navigating the Path from Vendor Lock-in to Interoperability Islands
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 584/1000 | A High-Speed Omnidirectional Ceiling Mobile Robot Using a Synchronized Crawler-Hanging Mechanism
