[2026-05-05 10:47:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-04
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605040000+TO+202605042359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-5-4 | Research on Spectrum Sensing Method for Non-Cooperative Targets Correction
[NO] 22/1000 | IoT Node Synchronized with Indian Constellation for Phasor Measurement in Power System
[NO] 23/1000 | Fuzzy Logic Controlled Hybrid EV Charging Station Utilizing Solar Power and Diesel Generator
[NO] 24/1000 | DMSA: A Decentralized Microservice Architecture for Edge Networks
[NO] 25/1000 | Attitude Estimation on SO(3) Under Biased, Scaled and Misaligned Rate Gyro Measurements
[NO] 26/1000 | A Digital Slope Modulation Technique for a PFM-based Series Resonant LED Driver
[NO] 27/1000 | The Landscape of GPU-Centric Communication
[NO] 28/1000 | HierMine: Accelerating Graph Pattern Mining via Hierarchical Sampling
[NO] 29/1000 | MConAI: Multilingual Conversational AI for Low-Cost Early Alzheimer's Detection
[NO] 30/1000 | Risk-Augmented Loss With Attention Mechanisms: Enhancing Proximal Policy Optimization for Safer Autonomous Driving
[NO] 31/1000 | SpecAug-DM: Few-Shot Radar Spectrogram Augmentation via Diffusion Model for Human Motion Recognition
[NO] 32/1000 | Joint Magnetometer-IMU Calibration via Maximum A Posteriori Estimation
[NO] 33/1000 | AGI-CTFormer: An efficient architecture with attention-based ghost inception ResNet and a convolutional transformer for the detection of Exons in eukaryotic DNA
[NO] 34/1000 | Bridging the Trust-Latency Gap in 6G NTN V2X: An Edge-Native Architecture and Standardisation Perspective
[NO] 35/1000 | Wearable Textile Microwave Sensor for Wrist Pulse Wave and Heart Rate Monitoring
[NO] 36/1000 | FANE: FPGA-Based FP8 Approximate Neural Network Engine
[NO] 37/1000 | Shaping the Q-U Droop Characteristic of Grid Forming Converters from the Perspective of Constant Voltage Control
[NO] 38/1000 | Advertisement
[NO] 39/1000 | Experimental Demonstration of Grid-Gate LDMOS with Ultra-Low
                    <i>R</i>
                    <sub>on,sp</sub>
                    and High HCI Robustness on 55nm BCD Platform
[NO] 40/1000 | RAID-Crypt: Rounding Alignment of Intermediate Differentials for Cryptanalysis of Lightweight Encryption
[NO] 41/1000 | A Multi-modal Iterative Guided Framework for Fake News Detection
[NO] 42/1000 | Cross-Domain Self-Training Network with Prototype Rectification for Few-Shot Hyperspectral Image Classification
[NO] 43/1000 | A Multi-groove Ceramic-packaged Sapphire-Diaphragm Fiber Sensor for High-temperature Vibration
[NO] 44/1000 | Research on the Pattern Design of Doors and Windows in Tuanshan Village Based on AIGC and Entropy Weight TOPSIS Method
[NO] 45/1000 | Electric Vehicles Impact on the Power Grid: A Review of Challenges, V2G Integration, and AI-Based Control Strategies
[NO] 46/1000 | $\text{MoS}_{2}$ /Barium Ferrite Nanocomposite: a Synergistic Electrode for Advanced Supercapacitor Applications
[NO] 47/1000 | Thermal Analysis of Multiphase Electromagnetic Coupler for High Power Contactless Charging System Considering Core and Shielding Effects
[NO] 48/1000 | Impact Assessment of Fast DC EV Charging Station Integration in an Islanded Microgrid Using a Node Sensitivity-Based Approach
[NO] 49/1000 | Subsynchronous Oscillations Identification in Series-Compensated DFIG-Based Wind Farm Using Machine Learning Algorithms: A Comprehensive Review
[NO] 50/1000 | Estimating Power System Inertia: A Study with Renewable Energy Integrated Power Networks
[NO] 51/1000 | Asymmetrical Dc-Link Voltage Based 51-Level Multilevel Inverter Topology with Less Switch Count
[NO] 52/1000 | Five-Level Fault-Tolerant Inverter with Preserved Output Under Multiple Switch Failure
[NO] 53/1000 | Solar-Powered Boost Converter Using PID Control for Efficient Speed Regulation of a BLDC Motor and Real-Time MPPT
[NO] 54/1000 | Dual Parametric Fractional Controller for Unstable Fractional Order Processes
[NO] 55/1000 | LTO Battery Fading Prediction Using Deep Learning
[NO] 56/1000 | Hybrid BO-LSBoost Model for Accurate Prediction of Remaining Useful Life of Li-Ion Battery
[NO] 57/1000 | Indirect Field-Oriented Control of a Single-Phase Induction Motor Fed by a Three-Phase Inverter
[NO] 58/1000 | Multiple-RIS-Aided Predictable V2V Communications in Graph Structure with Doppler Spread Suppression
[NO] 59/1000 | Challenges and Research Directions for Large Language Model Inference Hardware_supp1-3652916.pdf
[NO] 60/1000 | GSDeformer: Direct, Real-time and Extensible Cage-based Deformation for 3D Gaussian Splatting_supp1-3687062.pdf
[NO] 61/1000 | Autonomous Causal Discovery: Evaluating LLMs' Priors and Constraint Strategies for Reliability
[NO] 62/1000 | Founder Organizer of STPEC
[NO] 63/1000 | Distilling Large Language Models for Network Active Queue Management
[NO] 64/1000 | Predicting AI Position Salaries: Model Fusion via Weighted Averaging and Feature Correlation Analysis
[NO] 65/1000 | Research on Hierarchical Multi-Aspect Weighted Interactive Model for AIGC
[NO] 66/1000 | A Weighted Citation Graph Model for Automatic Evaluation of Scientific Papers
[NO] 67/1000 | A Deep Learning–Based Framework for Credit Risk Assessment with Multi-Source Financial Data
[NO] 68/1000 | Nash Equilibrium in Hybrid Impulsive Nonzero-Sum Game: A Weak Convexity Framework
[NO] 69/1000 | A Diversity-Preserving Multistrategy Differential Evolution Algorithm for 3-D Uncrewed Aerial Vehicle Offline and Online Path Planning_supp1-3683527.pdf
[NO] 70/1000 | GBFRS: Robust Fuzzy Rough Sets via Granular Ball Computing
[NO] 71/1000 | A Frequency-Selective Hybrid-Core Architecture for Third-Harmonic Loss Optimization in Wireless Power Transfer Systems
[NO] 72/1000 | PCCNA: A Probabilistic Caching Strategy Based on Strong Content Consistency and Node Attributes
[NO] 73/1000 | Quantitative Controllability Analysis and Optimization in Attitude and Altitude Control of High Dynamic Flight Vehicles
[NO] 74/1000 | A Hybrid Numerical Simulation–Data Driven Modeling Framework for Municipal Solid Waste Incineration Digital Twin Temperature Prediction
[NO] 75/1000 | Teaching Radio Waves to Compute: Smart Cities will Treat Interference as a New Kind of Calculator
[NO] 76/1000 | Liver Couinaud Segmentation: A Review on Existing Segmentation Techniques of the Couinaud Classification of Liver_supp1-3623914.pdf
[NO] 77/1000 | RSMA-Assisted Edge Collaborative Inference for Internet of Vehicles
[NO] 78/1000 | Air-to-Ground Covert Communication With Location and Interference Uncertainty
[NO] 79/1000 | Large-Frequency-Ratio Dual-Band Shared-Aperture Conformal Transmit-Reflect-Array Antenna with Independent Beam Control for UAV-Based Space-Air-Ground Emergency Communication Networks
[NO] 80/1000 | Proceedings of the 2026 2nd International Conference on Big Data, Communication Technology and Computer Applications
[NO] 81/1000 | YOLO-SAE: Spatial-Adaptive Attention Enhancement for Small-Object Detection With Quantified Accuracy-Efficiency Trade-offs
[NO] 82/1000 | SpineVLM: A Markdown-Guided Structured Fine-Tuning Framework for Spine X-ray Report Generation
[NO] 83/1000 | IEEE Computational Intelligence Society
[NO] 84/1000 | Corrections to “Demand Forecasting in Data-Scarce and Resource-Restricted Environments”
[NO] 85/1000 | Energy Efficient Federated Learning Over Wireless Networks: A GNN-assisted Deep Reinforcement Learning Approach
[NO] 86/1000 | Dual-Polarized Endfire Phased Array Antenna with Forward Beam Coverage for IoT Devices
[NO] 87/1000 | Dynamic Analysis and Vibration Reduction of HTS Maglev Vehicle Using MRD Semi-active Control
[NO] 88/1000 | Hyperbolic Micro-Expression Recognition
[NO] 89/1000 | Information-Theoretic Sensor Control for Multiple Extended Target Tracking Using Adaptive Hölder Divergence
[NO] 90/1000 | PVSizer: An Open-Source Python Framework for PV and BESS Sizing and Impact Analysis in Distribution Networks
[NO] 91/1000 | Rate-Distortion Trade-off in Integrated Communication, Sensing, and Control Closed-Loop Systems
[NO] 92/1000 | Tournament-Based Index Obfuscation for Secure Space Shift Keying MIMO Systems
[NO] 93/1000 | A Review on the Implementation of a Proposed Multi-Biometric Driver's License Verification System in Zimbabwe
[NO] 94/1000 | An Evaluation of Zero-Trust Security Models on Institutional Data Protection in Zimbabwean Universities
[NO] 95/1000 | A Microscopic Traffic Simulation Study on the Impact of Bus-Only Lane Opening on Urban Traffic Mobility
[NO] 96/1000 | Leakage Current Minimization in Single Phase Grid Connected Solar PV
[NO] 97/1000 | Triple Switch Triple Mode ASL DC-DC Converter for PV System
[NO] 98/1000 | Performance Investigation and Characterization of High Semiconductor Devices using ERSC
[NO] 99/1000 | Design and Development of a Dynamic Wireless Charging System Using a Single Inverter with Constant Voltage and Constant Current Charging
[NO] 100/1000 | Hybrid Machine Learning for Uncertainty-Aware Net Load Forecasting in Renewable-Integrated Grids
[NO] 101/1000 | Economic and Operational Analysis of Virtual Energy Storage in Energy Communities
[NO] 102/1000 | Cost Effective Reconfigurable Induction Motor Stator Windings for Single Phase Integrated Onboard Charger
[NO] 103/1000 | Embedded Realization of Deep Learning Based LMPC for PMSM Drives
[NO] 104/1000 | Design, Analysis and Control of Multi-Mode Cell Voltage Equalizer Using Fly-Back Converter for Series-Connected Battery String
[NO] 105/1000 | Design and Evaluation of Carboxymethyl Cellulose-Starch Hybrid Gel Electrolytes Toward Quasi-Solid-State Zinc-Ion Batteries
[NO] 106/1000 | Converter Configuration and Control for Switch Fault Detection and Clearance in PMBLDC Motor Driven EVs
[NO] 107/1000 | Data-Driven Fault Severity Estimation in Permanent Magnet Synchronous Machines
[NO] 108/1000 | Intelligent Grasp Planning Using Open-Vocabulary Image Segmentation and Large Language Models
[NO] 109/1000 | 3-Phase Triple-Boosted Multilevel Inverter for Photovoltaic Applications with Seven Levels of Switched Capacitors
[NO] 110/1000 | Computational Fluid Dynamics Driven Sensor Optimization for Early Hydrogen Leak Detection Enhancing FCEV Safety
[NO] 111/1000 | Design and Control of a Self-Balanced Quadruple Boost 17-Level Switched Capacitor-Based Inverter
[NO] 112/1000 | Interactive Digital Media Art Narrative System for Art Therapy: A Design Based on User Emotional Feedback Targeting Depression and Autism Spectrum Disorder
[NO] 113/1000 | Research on Intelligent Interactive Product Design Methods Based on User Behavior Data
[NO] 114/1000 | A closed-loop control system for risk management of deep excavation engineering based on digital twins
[NO] 115/1000 | A Review on Uncertain Data Clustering
[NO] 116/1000 | A Compact 75–105 GHz Symmetric-Cell-Based Distributed Attenuator With Broadband Phase Compensation
[NO] 117/1000 | Topology-Preserving Deep Hashing for Ultrafast Drone-Dominated Object Detection
[NO] 118/1000 | A Spatial-Spectral Component Representation Network for Fine-Grained Mineral Classification in Hyperspectral Imagery
[NO] 119/1000 | PSD Estimation Based Enhanced Kalman Filter for Target Tracking With Singer Acceleration Noise
[NO] 120/1000 | SFKH-GC: Harnessing the Power of Full-Neighborhoods Information for Large-Scale Attributed-Graph Learning_supp1-3689771.pdf
[NO] 121/1000 | PT-Mark: Invisible Watermarking for Text-to-image Diffusion Models via Semantic-aware Pivotal Tuning
[NO] 122/1000 | Low-Voltage Distribution Network Line Loss Rate Prediction Based on Gradient Boosting Decision Trees
[NO] 123/1000 | Robust Brain Tumor Segmentation with Incomplete MRI Modalities Using Hölder Divergence and Mutual Information-Enhanced Knowledge Transfer
[NO] 124/1000 | Affiliate Plan of the IEEE Nuclear and Plasma Sciences Society
[NO] 125/1000 | Letter to the Editor: Risk Management in Game Development
[NO] 126/1000 | Regulation of Magnetic Properties in Fe-based Composite Ribbons by External Magnetic Field Coating
[NO] 127/1000 | Relative Intensity Noise of Datacom Multimode VCSELs with Different Aperture Shapes
[NO] 128/1000 | 2025 4th Zimbabwe Conference of Information and Communication Technologies (ZCICT)
[NO] 129/1000 | IoT-based Sensor Data Fusion and Machine Learning for Early Detection of Masti-tis in Dairy Cows
[NO] 130/1000 | Overfitting in Music Genre Classification: Evaluating Differences Between the GTZAN and FMA Datasets
[NO] 131/1000 | A Comparative Analysis of Time Series Prediction of Fine Particulate Matter Concentration in Urumqi Based on Gradient Boosting and RBF Neural Network
[NO] 132/1000 | Optimized Ferrite Design for Wireless Charging of Electric Vehicles a Cost-Efficient Approach
[NO] 133/1000 | Modeling, Control, and Performance Analysis of a Five-Phase Induction Motor with SPWM
[NO] 134/1000 | Optimal EPS Control for Minimum Backflow Power and Current Stress for Dual Active Bridge Converter
[NO] 135/1000 | Techno-Economic Feasibility Study of a Rooftop Solar PV System for EV Charging at University Campus Building
[NO] 136/1000 | Real-Time Lane Assist System Using Computer Vision with Adaptive PID Control
[NO] 137/1000 | Enhanced Two-Port Model-Based Study and CCM/DCM Boundary Condition for LCC-LCC IPT Topology
[NO] 138/1000 | Optimal Reactive Power Dispatch Using Incomprehensible but Intelligible-in-Time Logics
[NO] 139/1000 | Current Mismatch-Based Newton-Raphson Power Flow Algorithm for Autotransformer Fed Traction Power Supply System
[NO] 140/1000 | Eddy Current Sensor Based Smart Control System for Optimizing Industrial Zinc Coating Process Using Adaptive Machine Learning and IIoT
[NO] 141/1000 | A Resilient NN Assisted Switching Control for Networked Control Systems Under DoS Attacks
[NO] 142/1000 | Control-Oriented Design of a Standalone Pv-Battery-Inverter System with Dynamic Load
[NO] 143/1000 | Federated Multi-Stage Market Clearing with Integrated Probabilistic Forecasting for Decentralized Energy Systems
[NO] 144/1000 | Short-Term Electricity Price Forecasting Using RFECV-Based Feature Selection and GA-Optimized BiLSTM
[NO] 145/1000 | Proceedings of the 2026 2nd International Conference on Generative Artificial Intelligence and Digital Media
[NO] 146/1000 | An AI-Assisted Prompt Generation Method for Theatre Rehearsal: Translating Script Text into Executable Stage Actions
[NO] 147/1000 | Grid Resilience and Renewable Integration: India's Transition to a Sustainable Power System
[NO] 148/1000 | Series Cascade Control Loop for Double Integrating Processes Based on Smith Predictor
[NO] 149/1000 | Extended Kalman Filter Based Control of Coupled Inductor Buck-Boost Converter for Grid Connected System
[NO] 150/1000 | IoT-Based Fault Diagnosis of AFE Using Harmonic Distortion and Waveform Asymmetry for EV Charging Applications
[NO] 151/1000 | Performance Enhancement and Excess Energy Minimization in Hybrid Renewable Energy System for Cold Desert Regions
[NO] 152/1000 | An Imposed Distributed Generation for Resynchronization Methodology for Microgrid Seamless Transitions
[NO] 153/1000 | Securing the Smart Drive: AI-Powered Anomaly Detection in EVs
[NO] 154/1000 | Parameter Estimation of a PV Model Through Multi-Objective Optimization: Towards an Economically Viable Identification
[NO] 155/1000 | Advancing Grid-Forming Converter Control Using Transformer-Based Artificial Intelligence Model: A Performance Evaluation
[NO] 156/1000 | Fault Diagnosis and Identification in Permanent Magnet Synchronous Motor Using Temporal Convolutional Network
[NO] 157/1000 | Enhanced Sensorless PMSM Drive Control with Data-Driven ANFIS-SMO Integration
[NO] 158/1000 | GGM-LDMAF Control and Seamless Operation of a Solar-Powered EV Charger
[NO] 159/1000 | Real-Time Power Balancing in Bidirectional Vehicle-to-Vehicle Wireless Power Transfer Modulation and Control Strategy Development
[NO] 160/1000 | Finite Element Analysis of a Five Phase PMSM Machine with Open-Circuit Fault and Its Mitigation
[NO] 161/1000 | Unifying Autoregressive Integrated Moving Average Model, Poisson Regression, Internet of Things and Smart Cameras to Alleviate Traffic
[NO] 162/1000 | Facial Recognition in Online Examinations: Harnessing Converging Technologies to Redefine Online Exam Integrity
[NO] 163/1000 | Secure Exam+: A Privacy-Conscious AI and Biometric Framework for Online Assessment Integrity
[NO] 164/1000 | Leveraging AI and IoT for Sustainable Food Processing and Manufacturing in Developing Countries: A Review
[NO] 165/1000 | Movable Antenna Enhanced Multiuser Communications with Mutual Coupling
[NO] 166/1000 | High Power Large Mode Area Solid-Core with Nano Structure Antireflective Surface to Antiresonant Hollow-Core Fiber Splice
[NO] 167/1000 | Distributed Safe Frequency Control for Networked Microgrids Using Control Barrier Functions
[NO] 168/1000 | Life with an Experimental Brain Implant: Early Users Reveal what the Technology Gives—And what it Takes
[NO] 169/1000 | Ads
[NO] 170/1000 | Stochastic Gradient-Biased Traversal: a Heuristic Approach for Efficient Leak Source Localization
[NO] 171/1000 | Application of Golden Eagle Optimization in Reduced Order Modeling
[NO] 172/1000 | Grid-Connected PV System Using Isolated DC-DC Converter for MPPT with Power Quality Enhancement
[NO] 173/1000 | A Triboelectric Nanogenerator for Wind Energy Harvesting and Battery Charging Applications
[NO] 174/1000 | Investigation of Flow Induced Variation in Vanadium Redox Flow Battery With Electrochemical Impedance Spectroscopy
[NO] 175/1000 | Frequency Domain Dielectric Response of Aged Transformer Oil-Paper Insulation Retrofilled with Natural Ester Oil
[NO] 176/1000 | Frequency Response Analysis of Transformer Winding Faults Using Circuit-Based Modeling and Driving Point Impedance
[NO] 177/1000 | Modeling and Simulation of Single-Phase Shift Power Modulation in Isolated Bi-directional Dual Active Bridge DC-DC Converter
[NO] 178/1000 | Intensively Quantized Integrated Fuzzy Neural Network for High-Accuracy Image Classification
[NO] 179/1000 | Efficiency-Enhanced Polarization-Reconfigurable Transparent Antenna Using Reversed-Stacked ITO Films
[NO] 180/1000 | Super-Resolution Channel Estimation for RIS-Aided Multi-User mmWave Systems: Dictionary Adaptation and Error Modeling
[NO] 181/1000 | Model Vectorization and Low Fluctuation Method for Dynamic Wireless Power Transfer
[NO] 182/1000 | Consumer Responses to Ethical and Privacy Concerns in AI Chatbots: Evidence From Offensive Language, Gender Bias, and Digital Privacy
[NO] 183/1000 | Space-Forensic Tool Coverage Derivation through Satellite System Profiling
[NO] 184/1000 | Coupling Structure Optimization and Efficiency Analysis in Ultra-Thin Sapphire Fiber
[NO] 185/1000 | ECG Wavelet Graph for IoT-Enabled Well-Being Monitoring
[NO] 186/1000 | Adaptive Detectors for Channel Matrix-based MIMO Radar
[NO] 187/1000 | An Enhanced Golden Jackal Optimizer for Multi-Criteria DAG Task Scheduling in a Heterogeneous 6G Air-Ground-Space Integrated Network
[NO] 188/1000 | Strategic 3D Printing Technology Authorization for Spare Parts Under Demand Uncertainty
[NO] 189/1000 | Stochastic Geometry Analysis and Optimization for Multi-LEO Satellite-Assisted Communications
[NO] 190/1000 | Semantic-Aware Resource Allocation for Uplink RSMA via Deep Reinforcement Learning
[NO] 191/1000 | Modeling the Propagation of Unsafe Behaviors Among Construction Workers Using a Heterogeneous Graph Framework
[NO] 192/1000 | State-based Data Lifecycle Flow Control in the Context of Big Data
[NO] 193/1000 | Enhancing Multi-Agent Reinforcement Learning with Auxiliary Trajectory Prediction for Dynamic Interaction Modeling
[NO] 194/1000 | Comparative Evaluation of Local vs. Cloud LLMs and a Multi-Agent System for Sentiment Feature Extraction
[NO] 195/1000 | AutoPack-Vision: Automated Inspection of coffee packaging with Faster R-CNN and YOLOv8
[NO] 196/1000 | Enhancing Stock Price Forecasting through GA-SVR: An Evaluation of Three Crossover Strategies
[NO] 197/1000 | Design and Implementation of an AI-Powered Mock Interview System
[NO] 198/1000 | Lesion Segmentation of Neonatal Diffusion MRI Under Simulated K-space Undersampling
[NO] 199/1000 | Improving MPC of Hybrid Energy Storage Systems of DC Microgrids Using Deadbeat Control
[NO] 200/1000 | Learning-Based Multiobjective Coevolutionary Algorithm for Mixed-Model Assembly Line Balancing and Sequencing Problem With Collaborative Robots
[NO] 201/1000 | An Ultrafast Indirect Power Detection Based Short-Circuit Protection Method for GaN HEMTs
[NO] 202/1000 | When Does Quaternion DQN Work? Hamilton Product Inductive Bias for Rotation-Dominant Reinforcement Learning
[NO] 203/1000 | pTree: Building Efficient B
                    <sup>+</sup>
                    -Tree on Non-volatile Memory with Processing-in-memory
[NO] 204/1000 | Linear V
                    <sub>FB</sub>
                    Tuning and Interface Improvement via TMA/Ultrathin HfO
                    <sub>2</sub>
                    Dual-Buffer in La
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Dipole-First Gate Stacks
[NO] 205/1000 | Design of Compact Quad-Function Filtering Circuit Using Hybrid Coaxial-Dielectric Resonators
[NO] 206/1000 | A Distributed Braking Scheme for Heavy-Haul Trains Using Coupler Force Compensation
[NO] 207/1000 | Hyperdimensional Computing Regression: Foundations, Algorithms, and Comparative Review
[NO] 208/1000 | Label-Free Land-Cover Mapping from Airborne LiDAR via SAM Distillation with Convolutional LoRA Adapters
[NO] 209/1000 | Compact Three-in-One Integrated Millimeter-Wave and Microwave Antenna Architecture for Metal-Framed 5G/6G Smartphones Featuring Satellite-Direct-to-Cell Communications
[NO] 210/1000 | State Transfer Graph and its Generating Methods for Place-Timed Petri Nets based Scheduling
[NO] 211/1000 | LWFusionFormer: Lightweight Convolution and Transformer Fusion for Accurate and Efficient Depth Estimation_supp1-3689768.mp4
[NO] 212/1000 | Design and Performance Assessment of Hybrid Halbach Brushless PM Motor for UAV Applications Considering Torque and Rare-Earth Utilization Efficiency
[NO] 213/1000 | Comparative Analysis and Optimization of Digital CR-RC
                    <sup>n</sup>
                    Pulse Shaping Algorithms for
                    <sup>3</sup>
                    He Neutron Detectors
[NO] 214/1000 | SAR-LiteDETR: A Lightweight Detector for Small Ships in SAR Images
[NO] 215/1000 | Gramian Angular Field-Assisted Deep Learning Approach for Fault Identification and Localization in Electrical Power Network
[NO] 216/1000 | Development of a Real-Time Battery Monitoring System for SoC Estimation Using Arduino
[NO] 217/1000 | Impact of Activation Functions and Optimizers on GNN-Based Reduced Optimal Power Flow
[NO] 218/1000 | Steady-State Modeling and Frequency Control for Enhanced Power Stability under Dynamic Bidirectional Load Scheduling
[NO] 219/1000 | Adaptive PID Control for MPPT in Solar PV Powered Boost Converter
[NO] 220/1000 | A New Single Switch Fault Tolerant Multilevel Inverter for RES Applications
[NO] 221/1000 | Optimal Sizing and Placement of Electric Vehicle Charging Station with the Integration of Renewable Energy Source
[NO] 222/1000 | Assessing the Impact of EV Integration in Multi-Area Economic Dispatch Under Renewable Uncertainty
[NO] 223/1000 | Dual-Factor Authentication for Industrial Machinery Access Using RFID and Fingerprint Verification
[NO] 224/1000 | Optimized Machine-Learning Approach for Estimation of State-Of-Charge of Lithium-Ion Batteries for Sustainable Transportation
[NO] 225/1000 | Hybrid Pulse Power Characterization and Equivalent Circuit Modeling of 18650 NMC Batteries at Low Temperature
[NO] 226/1000 | A Resilient Controller for Enhancement of Load Frequency Control in Multi-Area Restructured Power System with Nonlinearities
[NO] 227/1000 | Analysis of recent TT and QT Asymmetrical Interconnections in BIPV Arrays under Real-World Partial Shading for Urban Energy Networks
[NO] 228/1000 | Design and Implementation of HMI by Enhancing Display and Data Logging Capabilities for Improved Process Control
[NO] 229/1000 | Leader-Follower Consensus with Deep Neural Networks
[NO] 230/1000 | The Ideal Membership Problem and Abelian Groups
[NO] 231/1000 | From Point Clouds to Digital Narratives: A Generative AI Framework for Immersive Media Reconstruction and Cultural Storytelling of Classical Garden Heritage
[NO] 232/1000 | Deployment Optimization of AP Numbers and Spatial Poses for Distributed MIMO Near-field Communication Systems
[NO] 233/1000 | Scheduling Training-Inference Co-Location in Demand Response for Sustainable Edge AI_supp1-3686889.pdf
[NO] 234/1000 | Adaptive Resource Allocation for eMBB and URLLC Under Dynamic Backhaul Traffic: Puncturing or Slicing?
[NO] 235/1000 | Hybrid Classical–Post-Quantum Migration Framework for Brownfield SCADA Environments
[NO] 236/1000 | 100-Gb/s All-Electronic THz Wireless Direct Detection System Enabled by Kramers–Kronig Inspired Neural Network
[NO] 237/1000 | Dynamic Semantic Graph-guided Cross-modal Attention Network for Open-Vocabulary Object Detection in Aerial Images
[NO] 238/1000 | Trajectory Inversion and Motion Compensation Method Based on Range-Doppler Domain Backprojection for Bistatic SAR
[NO] 239/1000 | Development of a Multimodal Virtual Agent Utilizing a Fine-Tuned Large Language Model for Transformative Mental Health Support at Chinhoyi Provincial Hospital
[NO] 240/1000 | Half Title Page
[NO] 241/1000 | CRISP -
                    <u>C</u>
                    ompliant
                    <u>R</u>
                    OS2 Controllers for Learn
                    <u>i</u>
                    ng-Ba
                    <u>s</u>
                    ed Manipulation
                    <u>P</u>
                    olicies and Teleoperation
[NO] 242/1000 | A Hybrid Quantum Neural Network based Robust Resource Optimization for UAV Network Slicing
[NO] 243/1000 | Analytical PM Eddy-Current Loss Prediction in Axial Flux PM Machine by Considering Time and Space Harmonics
[NO] 244/1000 | A Semi-Supervised Framework for Road Condition Assessment: From Minor Surface Distress to Post-Disaster Failures
[NO] 245/1000 | Enhancing Sentiment Prediction with AI: A Comparative Evaluation of Unimodal vs. Multimodal Approaches
[NO] 246/1000 | Defect Detection and Quality Classification of Jinda Chili Peppers Using YOLO with Metric-Oriented Performance Assessment
[NO] 247/1000 | Multi-Criteria Collaborative GNSS Integrity Monitoring: Optimization, Spoofing/Jamming Detection, and Performance Evaluation
[NO] 248/1000 | Design of Compact Wilkinson Power Divider Based on Suspended Mushroom Metamaterial
[NO] 249/1000 | A Grid Connected PV Inverter with Subarray Level Control in MPP and non-MPP Mode
[NO] 250/1000 | Comprehensive Study Paper on the Role of Additive Manufacturing in Production of Permanent Magnet Synchronous Motor
[NO] 251/1000 | Optimal Charge Scheduling for Economic Operation of Electric Vehicle Charging Station
[NO] 252/1000 | Enhanced Automation Using FPGA and IoT for Multi-Environment Applications
[NO] 253/1000 | Comparative Analysis of Phase Shift Modulation Strategies for Dual Active Bridge Converters
[NO] 254/1000 | Real-Time Optimization of Partially Shaded Solar Photovoltaic Modules Using Parameter-Optimized Global Maximum Power Point Tracking
[NO] 255/1000 | Economic Operation of an Islanded Microgrid Using PSO-Tuned Droop-Controlled Distributed Generations Alongside Solar and Wind Generations
[NO] 256/1000 | Fault-Tolerant Radio Communication Framework for TCAS: Design, Implementation and Validation
[NO] 257/1000 | Real-Time Vital Sign Monitoring with Dashboard Integration
[NO] 258/1000 | Twin-Delayed DDPG-Tuned PIDF Controller for Load Frequency Control in Power Grid with Distributed Energy Resources
[NO] 259/1000 | Coupled-Inductor Based Non-Isolated High Gain DC-DC Converter
[YES] 260/1000 | A Multi-stage Error Diagnosis for APB Transaction
[YES] 261/1000 | <scp>Arash</scp>
                    : Token-Efficient LLM-Assisted Crash Root Cause Analysis in Fuzz Driver Generation
[NO] 262/1000 | Research on the Characteristics of Digital Display Systems for Cultural Heritage Activation and User Behavior at the Xianling Mausoleum
[NO] 263/1000 | MAC: Multiple-Source Autoencoder-Based Cyberattack Detection System for Electric Vehicle Charging Communications
[NO] 264/1000 | Matrix Representation-Based Fault-Tolerant Control for Boolean Control Networks Subject to Bridging Fault
[NO] 265/1000 | Highly Sensitive Ammonia Gas Sensors Based on Unidirectional Graphene Oxide Polymer Nanocomposite Thin Films
[NO] 266/1000 | Optimization Design of Load-Independent Class-E$^{2}$ DC-DC Converter with Performance Visualization
[NO] 267/1000 | Electromagnetic Characterization of Electrically Thin Low-Loss Materials Through Uncalibrated Frequency-Domain Free-Space Measurements
[NO] 268/1000 | Movable Antenna Enhanced Cellular-Connected UAV Communication with Trajectory Planning
[NO] 269/1000 | A Novel Multibeam Time-Division ISAC Approach for Accurate Sensing Parameter Estimation
[NO] 270/1000 | Development of an X-ray fluorescence spectral imaging instrument, based on Timepix3 counting chip, adapted for electronic waste sorting.
[NO] 271/1000 | SSDFNet: A State Space Guided Network for Multimodal Building Extraction and Solar Modeling
[NO] 272/1000 | MSP-MAE: Multi-Scale Perceptive Masked Autoencoder for Self-Supervised SAR Target Recognition
[NO] 273/1000 | Linear-Complexity Unified Defense Against Deception Attacks in Distributed Economic Dispatch Using Cryptography and Machine Learning
[NO] 274/1000 | Ka-Band Radar Interferometer High Power Amplifier for Surface Water Ocean and Topography Mission
[NO] 275/1000 | Scenario-Adaptive Device-Free Target Detection Using mmWave Signals
[NO] 276/1000 | Fully Metallic Slant-Polarized Linear Antenna Array with Two-Way Elliptical Curvatures
[NO] 277/1000 | 2025 IEEE 4th International Conference on Smart Technologies for Power, Energy and Control (STPEC)
[NO] 278/1000 | Author Index
