[2026-08-25 21:16:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-24
正在获取论文...
[arXiv] 2026-08-24 | A Cap-Move Reformulation of Ling's Proof of Samuels' Conjecture
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 366/1901 | Triplet2Track: A Hierarchical System with Object-Centric Representations for Reliable Long-Horizon Manipulation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 367/1901 | VersaDB: A High-Performance AI Storage Database for Unifying Mutimodal Datasets
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 368/1901 | Joule Thomson expansion of $κ$-deformed Schwarzschild-AdS black hole
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 369/1901 | Interpretable Landsat-to-Hyperspectral Dual Super-Resolution Without Large Matrix Inversion
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 370/1901 | TailSieve: Partial-Rollout-Guided Tail Routing for LLM Rollouts
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 371/1901 | ReCoG: Reciprocal Co-Evolution for Multimodal Graph Learning
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 372/1901 | Global convergence and monotonicity of Newton iteration for the inverse Grötzsch modulus
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 373/1901 | DelistBench: Evaluating Search-Enabled LLMs for Auditable Corporate-Event Database Completion
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 374/1901 | Classical and quantum spectral density estimation under local graph access
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 375/1901 | LpWM: A Case for Sparse Representations in World Models
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 376/1901 | Compositional Chain-of-Relations for Faithful Knowledge Graph Question Answering with Large Language Models
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 377/1901 | Object-Uni: A Unified Model for Object-Centric Spatial Understanding and Controllable Generation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 378/1901 | Derivations of Generalized Moduli Algebras of Isolated Hypersurface Singularities
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 379/1901 | Interior estimates and regularity for the scalar curvature equation in dimension 4
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 380/1901 | Role of $d$-electron density of states in the quantum size effect \newline of Pt-Ni and Pt-Pd nanoparticles
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 381/1901 | Counterexamples to a treewidth conjecture on generalized Turán problems
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 382/1901 | Rethinking Item Tokenization in Generative Recommenders: From Fixed Atoms to Semantic Subwords
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 383/1901 | Probing AU-Scale Magnetic-Field Reversals in the Interstellar Medium with Pulsar Scintillation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 384/1901 | A Source-Grounded Framework for Constructing and Evaluating Progressive Multimodal Diagnostic Dialogues from Clinical Case Reports
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 385/1901 | Weak flocking for phase-spatially extended kinetic Cucker-Smale equation in a confining force field
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 386/1901 | Effects of femtoscopic correlations on spin-spin correlation measurements
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 387/1901 | WnW: Waxing-and-Waning KV Cache for Long-Form Speech LLMs
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 388/1901 | Unique continuation for $\bar\partial u = Vu$ at infinity
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 389/1901 | Unit-to-Plant Stability Shaping of Multi-Electrolyzer ReP2H Plants via Interface Design and Dispatch
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 390/1901 | Enrich-Retrieve-Rank: Scaling Capability Discovery Beyond In-Context Routing
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 391/1901 | Outcome Disclosure and Temporal Refinement in Multi-Battle Team Contests
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 392/1901 | Quantifying Multipartite Entanglement Based on unified entropy
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 393/1901 | Intermediate hyperbolicity of varieties supporting a variation of Hodge structure
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 394/1901 | Maximum-distance nonnegative matrix factorization for unmixing highly mixed grain-size distribution data: A generalization of AnalySize
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 395/1901 | Contextrast++: Robust Multi-Scale Contextual Contrastive Learning for Semantic Segmentation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 396/1901 | Collective self-sorting on a chip
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 397/1901 | A-CPES: A Reference Framework for Agentic AI in Cyber-Physical Energy Systems
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 398/1901 | Where Do Periodic Density Structures Acquire Coherence? A Low-Coronal Resonator Candidate and a 12-Event STEREO/SECCHI Transfer Test
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 399/1901 | Time-Resolved Edge Flux on the SU(3) Triangle: A Cooperative-Decay Graph Framework with Exact Bateman Solutions
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 400/1901 | Compressed sensing matrices from orthogonal spaces over finite fields of odd characteristic
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 401/1901 | Curved Waveguide-Enabled Pinching-Antenna System (C-PAS): Communication Performance Analysis
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 402/1901 | Reservoir of Importance: Learning Semi-Structured Sparsity with Differentiable Subset Sampling
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 403/1901 | Beyond FAIR Data: Instrument Traces for Active and Autonomous Scientific Experimentation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 404/1901 | LipsAM: Lipschitz-continuous Neural Networks for Convergent Plug-and-Play Audio Signal Recovery
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 405/1901 | Meta-Moderator: Empowering Multi-Agent Debate with Meta-Cognition
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 406/1901 | Beyond Surface Cues: Disentangling Sociocultural Signals in Multilingual LLMs
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 407/1901 | When the Edit Changes the Patient: Measuring Identity Preservation in Counterfactual Retinal Images
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 408/1901 | Most of the LLM routing gap is task type
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 409/1901 | Neural Boltzmann Equations
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 410/1901 | On smooth affine surfaces with the cohomology of a smooth projective curve
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 411/1901 | Three-dimensional simple real Bol algebras
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 412/1901 | Nonstandard Axiomatic Semantics
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 413/1901 | ENCORE: Entropy-Guided Cropping and Attention Regularization for Robust Vision--Language Understanding
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 414/1901 | A Physical Response-and-Memory Model for Muon Optimization
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 415/1901 | InstructMove: A Text-Indispensable Benchmark for Instruction-Following Manipulation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 416/1901 | What Does Activation Steering Control? Attribution Across Answer Encodings and Output-Sensitive Subspaces
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 417/1901 | Uncovering Cellular Resolution in scRNAseq via Unbiased Cell and Gene Network Analysis
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 418/1901 | Hierarchy-Aware Semantic Losses for Knowledge Graph Link Prediction
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 419/1901 | Cascading Relevance-driven Recommendation Network for CTR Prediction in Trigger-Introduced Recommendation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 420/1901 | Curvature and Isocurvature Perturbations in multi-field Gauss-Bonnet inflation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 421/1901 | Do Time-Series Foundation Models Pay Off for Industrial Monitoring? A Cost-Aware Empirical Study
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 422/1901 | An Exact Counting Formula for the Mutual Position of Two Plane Conics
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 423/1901 | The Illusion of Control: Why Bare Classifier Inversion Silently Fails in Concept-Bottleneck Text Generation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 424/1901 | WADE: A Reasoning-Annotated Benchmark for Multi-Instance Floating-Waste Grounding with Compact Vision-Language Models
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 425/1901 | Nonexistence Results and Constructions for Signed Difference Sets
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 426/1901 | Rethinking the Foundations of Two-Sided AI Models for 6G
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 427/1901 | TSWAP: A Multilingual Retrieval-Augmented Thai Wellness Advisor
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 428/1901 | Uniform exponent bounds for integral group homology
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 429/1901 | A priori bounds for the generalized parabolic Anderson model in the full subcritical regime
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 430/1901 | Do Spoken Language Models Hear Speech as They Read Text? Bridging Structural Gaps Between Speech and Text
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 431/1901 | AquaFlow: A Monocular Gaussian Splatting SLAM for Underwater Streaming Reconstruction
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 432/1901 | Extremality of hyperbolic spiral and stretch maps
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 433/1901 | SuperMap: A Spatio-Temporal SLAM System for Visual-Language Navigation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 434/1901 | The List Edge-Coloring Conjecture for Two New Infinite Families of Complete Graphs
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 435/1901 | DRAgent: Discriminative Reasoning Agent for Referring Expression Segmentation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 436/1901 | Spontaneous currents determine capillary rise in active matter
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 437/1901 | Three-edge-coloring apex cubic graphs
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 438/1901 | Real Floer Homotopy Types and $w$-Invariants
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 439/1901 | From Exponential to Polynomial: An Exact Filter for High-Dimensional MSM Models
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 440/1901 | JANUS: Online Jacobian-Aligned Infill for Black-Box Optimization
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 441/1901 | WARP: Wasserstein-Aligned RAG for Population Opinions
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 442/1901 | Mapping the Concept Landscape: Structural Perception of Global Distributions for Transparent Data Pruning
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 443/1901 | Bifurcation structure and mesa pattern formation in a one-component nonlocal adhesion model with population pressure and degenerate mobility
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 444/1901 | Equilibrium in Multi-Agent Reinforcement Learning
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 445/1901 | Direct, Parallel, or Sequential? A Comparative Study of Training-Free Multi-Subject Image-to-Video Generation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 446/1901 | Industrial-Instruction: An End-to-End Framework for Building Instruction-Tuning and Benchmark Datasets from Industrial Technical Reports
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 447/1901 | Classification testing: A new framework for drawing qualitative conclusions from quantitative estimates
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 448/1901 | Analyticity of the data-to-solution map for a stationary Navier-Stokes fluid-structure interaction problem
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 449/1901 | Beyond the Stability-Exploration Dilemma: Environmental Regularization for LLM Policy Optimization
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 450/1901 | Teach Your DBMS to LIKE Strings: Fast and General Pattern Matching for Wildcard Joins and Filters
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 451/1901 | What Remains Normal? Clean Images Miss Useful Near-Defect Normal Patches for Anomaly Detection
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 452/1901 | ADDA: a Modular Framework for Representing, Simulating and Assimilating Dynamics with End-to-end Differentiability
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 453/1901 | Essentially semi-commuting singular integral operators with Cauchy kernel on $L^{2}$
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 454/1901 | Poisson Subspace Clustering: Focusing on the Essentials in Count Data
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 455/1901 | Efficient Computation of QKD Key Rates without Semidefinite Programming
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 456/1901 | Apodex 1.1: Scaling Agentic Intelligence for Complex Work
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 457/1901 | A Multidimensional Data-Driven Hybrid Transformer Framework for Non-invasive Continuous Blood Pressure Prediction
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 458/1901 | Average Numbers of Homomorphisms to Random Modules over Free Group Algebras
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 459/1901 | A Scalable Cross-Domain Event Extraction System via a Unified Generative Training Framework
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 460/1901 | Multi-Winner Voting with Argumentative Ballots
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 461/1901 | Non-Hermitian Generalization of Bloch Sphere in Spacetime Algebra
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 462/1901 | Quantum Monte Carlo in the Age of Many-Body Quantum Information
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 463/1901 | Revealing Hidden Orbital Pathways in NonThermal Hot Carrier Relaxation of MXenes via Non-Secular Redfield Quantum Kinetic
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 464/1901 | Dynamic Inversion: An Incrementally Evolving Methodology for Flight Control Design
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 465/1901 | mold: A Massively Parallel Linker
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 466/1901 | Quantum Hydrodynamic Framework of Coherent Terahertz Emission in MXenes Driven via Engineered Femtosecond Waveforms
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 467/1901 | BenthicDINO: Physics-Informed Self-Distillation for View-Invariant Side-Scan Sonar Representations
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 468/1901 | Locally finite fixed points of branching Brownian motion
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 469/1901 | Lagrangian Curvature Statistics from Gaussian Subensembles in Turbulent Flows
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 470/1901 | AI emotional support is better only when chosen, but shifts preferences even when it is not
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 471/1901 | Quantum observables as Fréchet sensitivity kernels
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 472/1901 | Semilinear overdetermined problems, a divergence formula, and geometric inequalities
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 473/1901 | Neighbor-Aware View Synthesis for Restoring Missing Views in Light-Field Camera Arrays
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 474/1901 | Accelerating Diffusion Language Models via Structured Suffix Modeling
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 475/1901 | When More Modalities Hurt: Modality Dropout for Heavy-Duty Vehicle Engine Diagnostics
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 476/1901 | Taming Spacetime Overhead and Design Complexity in Distributed Fault-Tolerant Superconducting Quantum Computation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 477/1901 | LLMCrater: Lifecycle-Aware FAIR Metadata Generation using Large Language Models
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 478/1901 | The Disconnect Between Better Descriptive Reasoning Trace Quality and Recommendation Effectiveness
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 479/1901 | SACHA: Semantic-Aware Compression for 3D Gaussian Head Avatars
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 480/1901 | Structural and Dynamical Properties of Subfactor Commuting Squares
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 481/1901 | A variational framework for bond-based peridynamics with spatially varying horizons and its asynchronous time integration
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 482/1901 | From Metrics to Improvement: A Lifecycle-Aware LLM Feedback Framework for Research Software Quality
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 483/1901 | DeMixPert: Decomposed Response Modeling with Gaussian Mixtures for OOD Single-Cell Perturbation Prediction
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 484/1901 | Weakly Compressible Subcycling for Accelerating Simulations of Surface-Tension-Dominated Incompressible Two-Phase Flows
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 485/1901 | Jiuge-Tuiqiao: An Interpretable Human-AI System for Classical Chinese Poetry Refinement
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 486/1901 | One Inverse Step is a Convex Program: Bayes-Limit Calibration of Diffusion Inversion
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 487/1901 | ARGUS: MCP-Grounded Root Cause Analysis for Kubernetes Incidents
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 488/1901 | Three-dimensional Ising superconductors designed via inversion-symmetry breaking in intercalated NbSe$_2$ and NbTe$_2$
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 489/1901 | Renormalization, cutoff, and gluing for a quartic model with boundary
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 490/1901 | Switched Turn-based Adaptive Source Seeking Strategy using Estimation and Information-driven Direction of Improvement
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 491/1901 | How to Train a Critic Stably and Efficiently
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 492/1901 | SWE Refactor Bench: Can Coding Agents Complete a Long-Horizon, Whole-Repository Stack Migration?
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 493/1901 | Power-saving bounds for Thue--Mahler and Mordell equations
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 494/1901 | The descendants of $z \gtrsim 10$ JWST galaxies in the COLIBRE simulations
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 495/1901 | ConvergeFlow: Language Flow with Provable Convergence to Token Embeddings
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 496/1901 | When "Do Not" Is Not Deny: Security Rules in CLAUDE.md vs Built-In Controls
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 497/1901 | Eulerian walkers on $\mathbb{Z}^2$ have range exponent $2/3$
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 498/1901 | The number of sum-free subsets of lattice cubes
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 499/1901 | Strong Lensing Cosmology with Population-level Calibrated Neural Ratio Estimation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 500/1901 | Predicting Multiple Clinical Outcomes Related to Functional Recovery and Social Isolation Among Older Adults After Lower-Limb Fracture or Hip Replacement
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 501/1901 | The Measurement Revolution? Credible Measurement and Inference in the Age of AI
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 502/1901 | Linear Hashing is Not That Awesome
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 503/1901 | Momentum-resolved EELS study of collective charge excitations in 1$T$-TaS$_2$
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 504/1901 | Stochastic Dynamics of Low Earth Orbit Near Full Capacity
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
