[2026-06-23 12:08:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-22
正在获取论文...
[arXiv] 2026-06-22 | Emergence of Common Noise: Quantitative Conditional Propagation of Chaos
[NO] 319/1964 | DART: Draft-Agreement Routing for Training-Free Adaptive Thinking Budgets in Hybrid Reasoning Models
[NO] 320/1964 | Synthesizing the Lombard Effect: Multi-Level Control of Speech Clarity and Vocal Effort in TTS
[NO] 321/1964 | Thermal and rotational effects of giant impacts during terrestrial planet accretion
[NO] 322/1964 | Same question, different history: language, national identity, and credit in large language models
[NO] 323/1964 | General-Purpose Nonlinear Function Approximation via Linear Integrated Photonics
[NO] 324/1964 | Movable Antennas for Robust Wireless Sensing via Joint Cramér-Rao Bound and Sidelobe Minimization
[NO] 325/1964 | ShotcreteDepth: A Bi-modal Dataset for Robust Robotic Depth Perception in Shotcrete Construction Environments
[NO] 326/1964 | LLM-Aided A* Search in Non-Geometric Network Graphs
[NO] 327/1964 | Understanding the (In)Security of Vibe-Coded Applications
[NO] 328/1964 | Direct and Indirect Discrimination in Generalized Linear Models
[NO] 329/1964 | Circadian output network can buffer period variability
[NO] 330/1964 | A Dual-Track Framework for Template-Constrained LaTeX Conversion
[NO] 331/1964 | Scene-agnostic ALS boresight self-calibration
[NO] 332/1964 | Poisson2Gaussian: Noise Gaussianization to Enhance Image Denoising
[NO] 333/1964 | FLFL: Federated Latent Factor Learning for Private Recovery of Spatio-Temporal Signals
[NO] 334/1964 | Nonlinear Static Screening of Positive Charges in an Electron Gas: Contact Hartree Energy
[NO] 335/1964 | Attention-Spectrum Regularization for Replay-Free Continual Multimodal LLMs
[NO] 336/1964 | Uncovering commuting flows in Bike Sharing Systems
[NO] 337/1964 | Physics-governed executable modelling of triboelectric nanogenerators
[NO] 338/1964 | Deviance from a pink noise regime in the temporal organization of semantic relations in psychosis
[NO] 339/1964 | Schemata, Cyclic Proofs and Herbrand Systems
[NO] 340/1964 | The Mortensen observer on the space of probability measures
[NO] 341/1964 | Strongly anisotropic Rytova-Keldysh interaction and the ground state of 2D excitons
[NO] 342/1964 | IPO Finance Agent: Evaluation of LLM Financial Analysts beyond Finance Agent v2, with Automated Rubric Generation -- the Case of the SpaceX (SPCX) IPO
[NO] 343/1964 | From numerical proportions to analogical proportions between probabilities
[NO] 344/1964 | Photons in Media: A Second-Quantization Scheme Based on a Dirac-like Equation
[NO] 345/1964 | Counterfactual learning of new adaptive instructional policies using logged data
[NO] 346/1964 | Spiral spin liquid resilient to quantization in the frustrated honeycomb antiferromagnet GdZnPO
[NO] 347/1964 | MotionMAR: Multi-scale Auto-Regressive Human Motion Reconstruction from Sparse Observations
[NO] 348/1964 | Do Sparse Autoencoders Learn Meaningful Concept Hierarchies?
[NO] 349/1964 | Observations of Low-Energy-Electron Production and Experimental Characterization of the Test-Mass Charging Process in the LISA Gravitational Reference Sensor with the BART Experiment
[NO] 350/1964 | On externally supported independence number of graphs
[NO] 351/1964 | Topological Out-of-Domain Generalization in Dynamical Systems Reconstruction
[NO] 352/1964 | Composition operators between de Branges-Rovnyak and Hardy spaces
[NO] 353/1964 | Adversarial Reinforcement Learning for Adaptive Eavesdropping in BB84 Quantum Key Distribution
[NO] 354/1964 | The Impact of VAE Design on Latent Pose Representations for Diffusion-based Sign Language Production
[NO] 355/1964 | Pareto Optimal Centralized Risk Sharing with Multiple Agents: Inclusivity and Fairness
[NO] 356/1964 | Understanding Knowledge Distillation in Post-Training: When It Helps and When It Fails
[NO] 357/1964 | HeteroViT: A Versatile Single-Layer Vision Transformer Concept, Co-Designed for Distributed Real-Time Data Reduction on Scientific Detectors
[NO] 358/1964 | How Stark units enter SIC overlaps
[NO] 359/1964 | POTracker: Optimizing Large Language Models for Standard-Compliant Power Outage Report Generation
[NO] 360/1964 | BiliVLA: Scene-Aware Vision-Language-Action Model with Reinforcement Learning for Autonomous Biliary Endoscopic Navigation
[NO] 361/1964 | A dipolar Bose-Bose mixture of Dysprosium isotopes with controllable interspecies interactions
[NO] 362/1964 | Self-Compacting Language Model Agents
[NO] 363/1964 | One-loop contributions in Lorentz-violating scalar QED with nonminimal coupling
[NO] 364/1964 | Microscopic entropy of de Sitter spacetime and entropic solution to the old cosmological constant problem
[NO] 365/1964 | Concordia: JIT-Compiled Persistent-Kernel Checkpointing for Fault-Tolerant LLM Inference
[NO] 366/1964 | Codimensions one and two cohomology of Hecke congruence subgroups
[NO] 367/1964 | Hyperplane anti-Bertini embeddings over finite fields
[NO] 368/1964 | Analytic Pricing of Bermudan Swaptions with Few Exercise Dates
[NO] 369/1964 | Development and Design of FLKit: A Structured Onboarding Toolkit for Federated Learning in Health and Life Sciences
[NO] 370/1964 | Strong traces for solutions of $2\times 2$ nonlinear hyperbolic systems
[NO] 371/1964 | TROPT: An Open Framework for Unifying and Advancing Discrete Text Optimization
[NO] 372/1964 | Continuous Hidden Markov Models for Equity Returns: Heavy-Tail Emission Families and Regime-Conditional Value-at-Risk
[NO] 373/1964 | Hallucinations in Organization-backed AI advisors: Evidence about Skepticism, Verification, and Reliance in Goal-Directed Use
[NO] 374/1964 | Energy-Limited Radiolytic Habitability in the Shallow Martian Subsurface: Implications for ExoMars Rosalind Franklin and Tianwen-3
[NO] 375/1964 | A Multiband Study of the HR 4796A Disk in the Optical Using MagAO-X
[NO] 376/1964 | Phase-mixing of acoustic waves with applications to solar tachocline
[NO] 377/1964 | Charting Dark Matter down to the neutrino floor/fog
[NO] 378/1964 | Improved State Readout in NV Centers using Regression Models and Rabi Driving
[NO] 379/1964 | Dissipative preparation of Laughlin-like states
[NO] 380/1964 | Selective Time Series Forecasting via Metalearning
[NO] 381/1964 | SkyJEPA: Learning Long-Horizon World Models for Zero-Shot Sim-to-Real Control of Quadrotors
[NO] 382/1964 | The EVerest Dataset for Secure Software Engineering
[NO] 383/1964 | GRINQH: Graded Input-based Quantization Hierarchy for Efficient LLM Generation
[NO] 384/1964 | Connecting vertex sets to walls
[NO] 385/1964 | Differential measurement of the branching fraction and $C\!P$ asymmetry of the decay $B^\pm\to π^\pmμ^+μ^-$
[NO] 386/1964 | On moduli spaces of vector bundles on $K3^{[n]}$-type IHS manifolds
[NO] 387/1964 | Group Selection Promotes Prosocial Prompts in Populations of LLM Agents
[NO] 388/1964 | Field-level weak lensing cosmology with $<100$ simulations using multifidelity simulation-based inference
[NO] 389/1964 | Flow as Flow: Modeling Robot Velocity Fields as Probability Velocity Fields for Flow-Based Object Manipulation
[NO] 390/1964 | DrivingVoxels: Compositional Sparse Voxel Rasterization for Dynamic Driving Scene Reconstruction
[NO] 391/1964 | Clutch: High Performance Vector-Scalar Comparison using DRAM via Chunked Temporal Coding
[NO] 392/1964 | Muown Implicitly Performs Angular Step-size Decay
[NO] 393/1964 | Learning to Compute on Dirty Paper
[NO] 394/1964 | Scaling of the minimal energy for turbulence transition in pipe flow
[NO] 395/1964 | Mass Conservation as an Inductive Bias for Self-Organized Criticality in NCA Reservoirs
[NO] 396/1964 | Emergent Andreev Reflection from a Lattice Duality Defect
[NO] 397/1964 | Non-acyclic spaces of line transversals
[NO] 398/1964 | Unifying the Dark Sector with the New Generalized Chaplygin Gas: Observational Constraints
[NO] 399/1964 | Diffuse Supernova Neutrinos with Secret Neutrino Interactions
[NO] 400/1964 | Robust Data-Driven Nash Equilibrium Seeking under Partial-Decision Information
[NO] 401/1964 | Full-Field Mode Sorter for Optical Knots
[NO] 402/1964 | Bayesian Analysis Using a Constrained Mixture of Normal-Inverse-Gamma Models
[NO] 403/1964 | Phase-space averaging for stellar convection I. Liouvillian dynamics
[NO] 404/1964 | New assignments of the CaH $A^{2}Π-X^{2}Σ^{+}$ transitions in the sunspot umbral spectrum and effective temperature estimation using molecular lines
[NO] 405/1964 | Digital Humanism and Evolutionary Design
[NO] 406/1964 | Detecting Malicious Agent Skills in the Wild using Attention
[NO] 407/1964 | Quantum Convolutional Neural Networks for Groundwater Heat Plume Prediction: A Surrogate Modeling Approach
[NO] 408/1964 | A $λ=1.3$ millimeter Survey for Disks around Herbig Be Stars
[NO] 409/1964 | On the cryptographic potential of single-qubit rotations
[NO] 410/1964 | Reverberation in the Narrow Fe K$α$ Line in the Seyfert Galaxy NGC 4151 with XRISM
[NO] 411/1964 | Affective AI Safety: The Missing Piece in LLM Safety
[NO] 412/1964 | A new boundary mass for asymptotically flat half-manifolds
[NO] 413/1964 | Faithful Grounded Visual Reasoning via Learned Proxy-Tokens
[NO] 414/1964 | When Robots Rate Their Own Interactions: Engagement Validity and the Strangeness Failure
[NO] 415/1964 | Positive holomorphic sectional curvature on rational surfaces
[NO] 416/1964 | Generate with CodeXHug: A Dataset to Enhance Model Cards with Code Usage Patterns
[NO] 417/1964 | Fast quantum-state transfer in Su-Schrieffer-Heeger chains beyond the noninteracting regime
[NO] 418/1964 | Mixed Voting Rules for Participatory Budgeting
[NO] 419/1964 | Vortex photoelectron holography in strong-field tunneling ionization
[NO] 420/1964 | Synchronization in coherently and dissipatively coupled spinor polariton time crystals
[NO] 421/1964 | Harnessing Josephson-Shapiro physics to verify interlayer exciton superfluidity
[NO] 422/1964 | Ocean4D: Generative Underwater 4D Reconstruction via Medium-Aware Video Diffusion
[NO] 423/1964 | Reconfigurable all-optical inference via tunable second-harmonic generation and spin-orbit coupling cascade
[NO] 424/1964 | Data assimilation of flow MRI data into RANS models with algebraic closures
[NO] 425/1964 | Approximation in Metric Sobolev Spaces: A General Framework
[NO] 426/1964 | Spaces with distributional scalar curvature bounded from below: Optimal regularity and positive mass
[NO] 427/1964 | Unlocking In-Context Learning in Audio-Language Models from Decentralized Medical Audio
[NO] 428/1964 | Students' Perception Accuracy of Partners' AI Use and its Relation to Collaboration Performance
[NO] 429/1964 | Privacy-Preserving Person Re-Identification from Temporal Sequences with Transformer and Hungarian Optimization
[NO] 430/1964 | Value iteration with stopping criterion: finite iterations, stability, and near-optimality guarantees
[NO] 431/1964 | Properties of the matrix functions arising in exponential integrators with applications to stochastic simulations of PDEs
[NO] 432/1964 | PhysFlow: Frequency Decoupled with Dual-Field Rectified Flow for Remote Photoplethysmography
[NO] 433/1964 | Spatially resolved star formation history of Sextans dSph
[NO] 434/1964 | Temporally Aware Densification for Dynamic 3D Gaussian Splatting
[NO] 435/1964 | A cross-calibration approach for polarisation-sensitive detectors in CMB experiments: application to LiteBIRD's polarisation angle calibration
[NO] 436/1964 | The Correct Answer Trap: Pedagogically-Grounded Detection and Feedback for Hidden Misconceptions
[NO] 437/1964 | Memory Contagion: Cross-Temporal Propagation of Evaluator Bias via Agent Memory
[NO] 438/1964 | AIR: Adaptive Interleaved Reasoning with Code in MLLMs
[NO] 439/1964 | Can LLMs Reliably Self-Report Adversarial Prefills, and How?
[NO] 440/1964 | PHAST-Net: Attention-Guided, Physics-Informed Network for Unified Estimation of Ideal Time-Frequency Representations
[NO] 441/1964 | MAS-PromptBench: When Does Prompt Optimization Improve Multi-Agent LLM Systems?
[NO] 442/1964 | Prime-Power Rarefaction and a Density-One Lower Bound for Erdős Problem 400
[NO] 443/1964 | Robust Structure Learning of $k$-local Lindbladians
[NO] 444/1964 | Optimal Stopping for a Diffusion with Unobserved Bernoulli Drift
[NO] 445/1964 | Fundamental Limits of Stability Inference in High-Dimensional Complex Systems
[NO] 446/1964 | Reentrant superconductivity enabled by spin-orbit coupling: Application to UTe$_2$
[NO] 447/1964 | Diffusion Models Adapt to Low-Dimensional Structure Under Flexible Coefficient Choices
[NO] 448/1964 | Multi-scale reconstruction of single-ion damage tracks in diamond via nitrogen-vacancy centers
[NO] 449/1964 | A posteriori error bounds for finite element approximations of time-dependent mean field games
[NO] 450/1964 | Data Selection Through Iterative Self-Filtering for Vision-Language Settings
[NO] 451/1964 | Causal Discovery in the Era of Agents
[NO] 452/1964 | MORL-A2C: Multi-Objective Reinforcement Learning Reranker for Optimizing Healthiness in MOPI-HFRS
[NO] 453/1964 | Neural Networks as Linear Regression: An Introduction for Statisticians
[NO] 454/1964 | Quantum Geometry Driven Finite-Momentum Exciton Fluctuations in Flat-Band Systems
[NO] 455/1964 | Anatomy of the Market: A Body-Tail Test of Factor Models
[NO] 456/1964 | The Topology of Ill-Posed Questions: Persistent Homology for Detection and Steering in LLMs
[NO] 457/1964 | It's Much Easier for Neural Networks to learn Game of Life Dynamics with the Right Activation Function: Polynomial Kolmogorov-Arnold Networks
[NO] 458/1964 | Spectral Radius, Vertex Deletion, and Chromatic Number of Signed Graphs
[NO] 459/1964 | Detection of Variability in Seyfert 2 Galaxies and Measurement of the Optical Scattering Region Size
[NO] 460/1964 | Probing Nuclear Effects with Transverse Kinematic Imbalance in Muon-neutrino Induced Charged-Current $π^0$ Production on Argon with the MicroBooNE Detector
[NO] 461/1964 | Dense Reward for Multi-View 3D Reasoning with Global Maps and Local Views
[NO] 462/1964 | SuperCond-GNN: Scalable Graph Neural Network Surrogate for Superconducting Circuit Simulations
[NO] 463/1964 | LightSTAR: Efficient Visual Document Retrieval via Lightweight Selection with Vision-Adaptive Refinement
[NO] 464/1964 | Structure and information measures of few-electron systems under a spherically symmetric Gaussian potential within a density functional approach
[NO] 465/1964 | Simulation-Free Estimation of Traffic Flows from Sparse Count Data
[NO] 466/1964 | Practical Limits of Higher-Order QAM in Hollow-Core Fiber Systems
[NO] 467/1964 | FairBED: A Bayesian Experimental Design Approach to Gathering Fairer Data
[NO] 468/1964 | Fractality-induced photonic topological insulators
[NO] 469/1964 | Brain-Adapter: A Dual-Stream Vision-Language MIL Framework for Comprehensive 3D CT Diagnosis of Acute Intracranial Pathologies
[NO] 470/1964 | Time Series Classification through Diffeomorphic Time Warping (DiffTW)
[NO] 471/1964 | Beating the Ahlswede--Khachatrian bound for the Erdős--Frankl--Pach problem
[NO] 472/1964 | Equilibrium World Models
[NO] 473/1964 | War in the Abstract: The Rise and Consequences of Militarized Language in Scientific Communication
[NO] 474/1964 | A matrix-free, differentiable PyTorch solver for phase-field fracture: Formulation, benchmarks, and inverse analysis
[NO] 475/1964 | Stellar winds of O-type stars traced by high ionization fine-structure emission lines with JWST/MIRI
[NO] 476/1964 | MeGAS: Thermomechanical Dynamic Gaussian Splatting for Thermophysical Scene Editing
[NO] 477/1964 | Do Location Encoders Capture Spatial Effects? A GeoShapley Benchmark Across Scales
[NO] 478/1964 | AOHP: An Open-Source OS-Level Agent Harness for Personalized, Efficient and Secure Interaction
[NO] 479/1964 | What Does a Chemical Language Model Know About Molecules?
[NO] 480/1964 | Entropic Uncertainty Relations for Mutually Unbiased Operator Frames
[NO] 481/1964 | Signatures of gravity-mediated dark matter interaction in theories with large extra dimensions
[NO] 482/1964 | Principal Covariate Regression with Nuclear Norm Penalty
[NO] 483/1964 | Silicon Ring Based 64$\times$100 GHz Wavelength Division Multiplexing filter
[NO] 484/1964 | Substitution-Based Analysis of Structural Novelty for Generative Models of Materials
[NO] 485/1964 | Sublinear Time Algorithms for Abelian Group Property Testing
[NO] 486/1964 | Decomposing Financial Market Dynamics via Mechanism Analysis in an Evolutionary Multi-Agent Simulation
[NO] 487/1964 | A missed opportunity? Labor demand and workforce diversity
[NO] 488/1964 | Bayesian modelling of herd-level infection dynamics in cattle: Local spread as the primary driver of Salmonella Dublin persistence on Öland
[NO] 489/1964 | Assistron: Bayesian Shared Autonomy with Off-the-shelf Vision-Language-Action Models
[NO] 490/1964 | Double-slit optical ventriloquism: High phase sensitivity via diffraction patterns
[NO] 491/1964 | Compactness and Its Applications of Sobolev Spaces Associated with Ball Banach Function Spaces
[NO] 492/1964 | Resonance and Stochastic Dynamics of Interplanetary Dust
[NO] 493/1964 | Spectral Gating via Damped Oscillations for Adaptive Implicit Neural Representations
[NO] 494/1964 | The Fractal Neural Operator: Overcoming Spectral Bias in Chaotic Attractors via Prime-Harmonic Weierstrass Encodings
[NO] 495/1964 | A Matter of Time: Towards a General Theory of Agency
[NO] 496/1964 | A decade of monitoring the HIP 41378's planetary system
[NO] 497/1964 | Understanding Squeezed States of Light Through Wigner's Phase-Space
[NO] 498/1964 | A Positron Range Correction with Texture Preservation Framework in PET Imaging
[NO] 499/1964 | Cognitive Digital Twins: Ethical Risks and Governance for AI Systems That Model the Mind
[NO] 500/1964 | A WKB-based fixed-grid method for capturing trait concentration in a dispersal evolution model
[NO] 501/1964 | On background fields and a cutoff in sigma models
[NO] 502/1964 | PeLAP-A: Adaptive Latent Pruning for Lightweight Latent Diffusion Models
[NO] 503/1964 | Foresight: Failure Detection for Long-Horizon Robotic Manipulation with Action-Conditioned World Model Latents
[NO] 504/1964 | An Efficient and Perfect Secret Sharing Scheme on a Class of Non-Maximal Quantum Access Structure
[NO] 505/1964 | SemCEB: A Cardinality Estimation Benchmark for Semantic Operators
[NO] 506/1964 | AudioCALM: Continuous Autoregressive Language Modeling for Universal Audio Generation
[NO] 507/1964 | Non-intrusive nonlinear reduced-order modeling with variable projection
[NO] 508/1964 | Universality of dimensional crossovers in topological insulators
[NO] 509/1964 | Integrating Sensing into Covert Communications: Opportunities and Challenges
[NO] 510/1964 | Mitigating Adverse Selection in Concentrated Liquidity AMMs with Dynamic Fees: An Agent-Based Model Approach
[NO] 511/1964 | Cold kinetic theory is not cold fluid theory: A collective mode in self-gravitating spheres
[NO] 512/1964 | Exploring Pion-Induced High-Momentum Components in Nuclei via $(p,p'π)$ Reactions
[NO] 513/1964 | From Text Metrics to Model Internals: A Study of Whisper ASR Hallucination Detection
[NO] 514/1964 | Non-normal weakly nonlinear analysis: asymptotic consistency and non-universality
[NO] 515/1964 | CAAD: Contrastive Audio-Aware Distillation for Efficient Speech Language Models
[NO] 516/1964 | Training Open Models for Agentic Phone Use
[NO] 517/1964 | Satellite Mission Planning with Rydberg Atoms
[NO] 518/1964 | Prime Fourier Embeddings: A Principled Basis for Modular Arithmetic
[NO] 519/1964 | The Model as One Rater Among Several: Measuring Political Positions in Data-Sparse Regions with a Language-Model Panel
[NO] 520/1964 | Two-mode stability for multi-marginal optimal transport maps
[NO] 521/1964 | Learning Stable Canonical Worlds for Novel View Synthesis and Beyond
[NO] 522/1964 | Periodic Timelike Motion and Gravitational Wave Signatures around a Magnetically Charged Black Hole Surrounded by Quintessence
[NO] 523/1964 | Nautilus: A Verifiable Hierarchical Federated Learning Framework for Vehicular-Edge-Cloud Systems
[NO] 524/1964 | When bars and spirals conspire: recurrent build-up of the nuclear regions of disc galaxies
[NO] 525/1964 | A Novel Approach to Temporal QoS Estimation via Extended Kalman Filter-Incorporated Latent Feature Analysis
[NO] 526/1964 | Generalized nonparametric regression in reproducing kernel Hilbert spaces: Consistency and rates of convergence
[NO] 527/1964 | Neural Architecture Search of Sample Reweighting Networks for Complex Distribution Shift
[NO] 528/1964 | Public Diffusion Models, Private Images: Key-Controlled Inversion for Conditional Reconstruction
[NO] 529/1964 | Distilling Collaborative Dynamics into Latent Space for Implicit Coordination in Decentralized Multi-Agent Manipulation
[NO] 530/1964 | Joint Air Traffic Flow and Capacity Management via Answer Set Programming
[NO] 531/1964 | Decentralized Operations of Decarbonized Chemical Plants with Renewable-driven Transmission Systems
[NO] 532/1964 | Humanoid-OmniOcc: Stereo-Based Full-View Occupancy Dataset for Embodied AI
[NO] 533/1964 | Signature McKean-Vlasov stochastic differential equations
[NO] 534/1964 | Concept Alignment Contrast and Long-Short Prompt Memory for Test-Time Adaptation of SAM3 in Medical Image Segmentation
[NO] 535/1964 | Trajectory-Based Recommender Systems as Control Systems
[NO] 536/1964 | Evo-RAD: Navigating Rare Retinal Disease Diagnosis via Self-Evolving Agentic Retrieval
[NO] 537/1964 | Plans Don't Persist: Why Context Management Is Load Bearing for LLM Agents
[NO] 538/1964 | ENVS: Environment-Native Verified Search for Long-Horizon GUI Agents
[NO] 539/1964 | Neural Operator Processes for Probabilistic Operator Learning under Partial Observations
[NO] 540/1964 | Controllable Texture Tiling with Transformed RoPE-Enhanced Diffusion Models
[NO] 541/1964 | Evaluating self-supervised echocardiographic representations across downstream extraction strategies for left-ventricular segmentation and ejection fraction estimation
[NO] 542/1964 | Compatible Lie conformal bialgebras
[NO] 543/1964 | From smooth to discontinuous kernels: a variance transfer principle for hyperuniform processes
[NO] 544/1964 | CITADEL: CSI-Based Jamming Detection and Open-Set Classification for IIoT Networks
[NO] 545/1964 | Hybrid Compression: Integrating Pruning and Quantization for Optimized Neural Networks
[NO] 546/1964 | BEV-Denoise: Learning Intrinsic Noise for Accurate Bird's-Eye-View Semantic Segmentation
[NO] 547/1964 | EEG Benchmarking Needs a Task Specification Layer: NeuroDoc for Rulebook-Guided, Executable Benchmark Construction
[NO] 548/1964 | PromptDyG: Test-Time Prompt Adaptation on Dynamic Graphs
[NO] 549/1964 | InteractiveAvatar: Real-Time Streaming Video Generation for Consistent and Intent-Aware Avatars
[NO] 550/1964 | Hydrodynamic Phase Separation and Morphological Evolution in Chiral Active-Passive Mixtures
[NO] 551/1964 | Explanation-Guided Medical Named Entity Recognition with Stability and Boundary Awareness for Atopic Dermatitis
[NO] 552/1964 | A bilinear approach to the finite field restriction problem, II
[NO] 553/1964 | The Unseen Hand: Manipulating Model Fairness and SHAP with Targeted Identity Re-Association Attacks
[NO] 554/1964 | Low-threshold efficient N${_2^+}$ lasing driven by sub-cycle soliton dynamics in a hollow waveguide
[NO] 555/1964 | G-MASt3R-SfM: Graph-based View Pruning and Multi-stage Optimization for Robust SfM
[NO] 556/1964 | Remarks on atmospheric effect of D-foam in light of muon puzzle
[NO] 557/1964 | Comparison Results for a class of Neumann Problems of the $p$-Laplace Equation on Riemannian Manifolds
[NO] 558/1964 | Extended Thermodynamics and Renyi Entropy Beyond Fixed Central Charge
[NO] 559/1964 | Observations of a Possible Transient Magnetically Arrested Accretion State in a Nearby Quasar: OQ208
[NO] 560/1964 | Homographic Navigation: Geometry-Driven Camera Guidance for Deterministic Planar Capture
[NO] 561/1964 | Finding the Evidence: Discovering Decision-Supporting Tokens for On-Policy Reasoning Distillation
[NO] 562/1964 | Signless Laplacian Spectral Radius and Link Homology of Simplicial Complexes
[NO] 563/1964 | On a Local Existence Theorem for the Evolution Equation of Viscous Gaseous Stars in a Physical Vacuum
[NO] 564/1964 | Ferromagnetic broadband sensing of axionlike dark matter
[NO] 565/1964 | Bagpiper-TTS: Natural Language Guided Universal Speech Synthesis
[NO] 566/1964 | AI-Assisted Help-Seeking Trajectories in Programming Education from an SRL-Informed Perspective
[NO] 567/1964 | Machine-knittable, Magnetically-Plug-n-Play E-Textile Prototyping
[NO] 568/1964 | Hierarchical Granular Metamaterials
[NO] 569/1964 | Integrating Heterogeneous Digital Twins in Federated Ecosystems
[NO] 570/1964 | Scaling Audio Models Efficiently: A Joint Study of Compute Constraints and Optimization Behavior
[NO] 571/1964 | Evaluation of spatiotemporal tungsten density profiles using Unresolved Transition Arrays in the Large Helical Device
[NO] 572/1964 | UV-finite Effective Field Theory from Quantized Irreversible Null-geometry
[NO] 573/1964 | Visual Geometry Transformer in the Wild: Distractor-Free 3D Reconstruction
[NO] 574/1964 | Breaking the Evaluation Paradox: Evaluating High-Entropy Search with Computationally Irreducible Constraints
[NO] 575/1964 | Group-theoretical property of some integral non-degenerate fusion categories
[NO] 576/1964 | Why Hadamard states?
[NO] 577/1964 | READ More than What You See: Reinforcement Learning for Accurate and Coherent Audio Description Generations
[NO] 578/1964 | Evolutionary Optimization Reveals Structural Constraints on Reservoir Architecture for Spatiotemporal Chaos
[NO] 579/1964 | Delayed Functional Observers for the Realization of Generalized Delayed Control Laws
[NO] 580/1964 | Cooperative-ORCA*: Real-Time Proactive Deadlock Avoidance for Continuous-Space Multi-Agent Navigation
[NO] 581/1964 | HERCULES: An Open-Source Simulation Framework for Heterogeneous Multi-Robot SLAM, Collaborative Perception, and Exploration
[NO] 582/1964 | Low-Complexity Direct Geolocation of Terrestrial GNSS Jammers from Low Earth Orbit
[NO] 583/1964 | AI Fiction in the Wild
[NO] 584/1964 | Development, Validation, and Benchmarking of a Multidisciplinary Semi-Analytical Model for Wave Energy Converters
[NO] 585/1964 | Analyzing Students' Statistics Writing Before and After the Emergence of Large Language Models
[NO] 586/1964 | A single-electron double quantum dot with Rashba spin-orbit interaction as a working substance for heat machines
[NO] 587/1964 | Closed-loop Auto Research for Molecular Property Prediction: Discovering and Certifying Generalizable Improvements
[NO] 588/1964 | Hedgementation = Hedgerow Segmentation: A Remote Sensing Benchmark
[NO] 589/1964 | IMAGIN-4D: Image-Guided Controllable Interaction Generation
[NO] 590/1964 | SOAP-Bubbles: Structured Weight Uncertainty for Neural Networks
[NO] 591/1964 | Rising From the Ashes: How Agentic AI is Unblocking Challenges in Cybersecurity
[NO] 592/1964 | Analysis of Autonomic Regulation in Cancer Survivors During Daily Physical Activity: A Real-World Wearable ECG Study
[NO] 593/1964 | Ram-pressure signatures in the dwarf irregular galaxy SextansB revealed by deep MeerKAT HI observations
[NO] 594/1964 | Towards time-variant scenario reduction for energy system optimization modeling under uncertainty
[NO] 595/1964 | AI Scientists as Engines of Discovery: A Case for Development within Reformed Institutions
[NO] 596/1964 | To select or not to select: predictively consistent priors instead of model selection
[NO] 597/1964 | DexTeleop-0: Force-Aware Bimanual Dexterous Teleoperation with Ego-Centric Perception towards Shared Autonomy
[NO] 598/1964 | UnBias-Plus: Detect, Explain, and Rewrite Bias
[NO] 599/1964 | Angular Analysis of $B \to D^{*}\ell \barν_{\ell}$ from Lattice and Experiment: $|V_{cb}|$ and New Physics Constraints
[NO] 600/1964 | Litmus: Zero-Label, Code-Driven Metric Specification for Evaluating AI Systems
[NO] 601/1964 | Toward Decarbonization of Chemical Manufacturing: Joint Optimization of Unit Commitment and Microgrid Operations
[NO] 602/1964 | A first-exit proof of Cusick's sum-of-digits conjecture
[NO] 603/1964 | Symbol Rate-Code Rate Trade-offs for IM/DD 200G/400G per Lane LPO Transceivers
[NO] 604/1964 | Detection of actinides in CEMP-rs stars
[NO] 605/1964 | On the accuracy of measurements of electron temperature by Thomson scattering diagnostic in the plasma core of the ITER tokamak
[NO] 606/1964 | A Catalogue of the Lie Amaldi Classification with Structures Identified
[NO] 607/1964 | Polynomial Dice Loss for Medical Image Segmentation
[NO] 608/1964 | Bounding Classical and Quantum Correlations in Bayesian Networks with Quasiprobabilities
[NO] 609/1964 | Adaptive Hard-Soft Physics-Informed Neural Networks for Robust Boundary-Constrained PDE Solving
[NO] 610/1964 | Order-Restricted Bayesian Ordinal Regression for the Modeling of Neuron Degeneration in Caenorhabditis elegans
[NO] 611/1964 | A Relaxed Quadratic-Program-based Framework for Trajectory Tracking of Unicycle Robots with Singularity Avoidance
[NO] 612/1964 | Graded differential polynomial rings
[NO] 613/1964 | Superhuman AI for Generals.io Using Self-Play Reinforcement Learning
[NO] 614/1964 | A Methodology to Quantify Interscale Energy Transfer at Solid Boundaries
[NO] 615/1964 | When Staking Rewards Compound: Measuring the Impact of Ethereum's Pectra Upgrade
[NO] 616/1964 | Galactic Cosmic Ray Transport in the Giant Circumgalactic Medium Halo
[NO] 617/1964 | Uncertainty-based Debiasing and Unlearning for Decontamination
[NO] 618/1964 | The Anatomy of the CTC Oracle Gap: Acoustic Exhaustion and Linguistic Recovery
[NO] 619/1964 | Step-Edge Passivation and Quantitative Raman Mapping of Transfer Quality in Aligned Graphene Nanoribbons
[NO] 620/1964 | EHR-Complex: Benchmarking Medical Agents for Complex Clinical Reasoning
[NO] 621/1964 | URecJPQ: Memory-efficient Multimodal Recommendation Models through RecJPQ in Large-Scale Scenarios
[NO] 622/1964 | Fibredness of 3-manifolds is in NP
[NO] 623/1964 | A Bayesian Phase I/II basket design with robust information borrowing to identify subtrial-specific optimal biological doses
[NO] 624/1964 | BoxCtrl: 3D-Aware Visual Prompting for Geometric Image Editing
[NO] 625/1964 | On Ulam's Segment Motion Problem
