[2025-11-21 09:10:51] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-20
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202511200000+TO+202511202359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2025-11-20 | Section 3: Medical Decision Support Systems. Intelligent Systems in Healthcare
[IEEE] 2025-11-20 | FRESCO: Efficient Subgraph Enumeration for Scalable Clustering in Heterogeneous CGRAs
[IEEE] 2025-11-20 | CIMTester: An Agile Golden-Result-Free BIST Compiler for Robust Compute-In-Memory
[IEEE] 2025-11-20 | Study of a Low Bypass Mixed Flow Turbofan for Aircraft Use as Controlled Object
[IEEE] 2025-11-20 | Approximate Feedback Linearization With Control Barrier Function Based Compensation: A Ball and Beam Case Study
[IEEE] 2025-11-20 | Developing a Low-Cost Robotic Assistant for Template-Based Artistic Training
[IEEE] 2025-11-20 | J2Place: A Multiphase Clocking-Oriented Length-Matching Placement for Rapid Single-Flux-Quantum Circuits
[IEEE] 2025-11-20 | Event-Driven Object Enhanced Time Petri Nets Verification Towards Dense-Time
[IEEE] 2025-11-20 | Invited Paper: Pushing SIMD Efficiency in Homomorphic Encryption for Machine Learning via Pattern-Aware Ciphertext Encoding
[IEEE] 2025-11-20 | ISO 26262-Aligned Functional Safety Verification Framework with Explainable Graph Neural Network
[IEEE] 2025-11-20 | EduPlay: Interactive Learning Platform for Middle School Students Integrated with Gamification and Blockchain
[IEEE] 2025-11-20 | Half-Height Double-Row CFET Standard Cells for Area Optimized Placement in A7 CMOS Node
[IEEE] 2025-11-20 | CNOT Oriented Synthesis for Small-Scale Boolean Functions Using Spatial Structures of Parallelotopes
[IEEE] 2025-11-20 | Action Masking Methods for Safe Reinforcement Learning in a Non-Stationary Configurable Environment
[IEEE] 2025-11-20 | Evaluating Latent Space Modeling in BiLSTM Autoencoders for Time Series Anomaly Detection
[IEEE] 2025-11-20 | Neural Networks based Real-Time Indoor Air quality Monitoring and Prediction IoT System
[IEEE] 2025-11-20 | Comprehensive Assessment of the Current Health State of the Pregnant Woman Outside the Clinic
[IEEE] 2025-11-20 | A Hybrid Hardware-Software Scheduling Scheme for Heterogeneous Many-Core Systems
[IEEE] 2025-11-20 | IEEE SSCS USTC Student Branch Chapter Hosts Distinguished Lecture by Prof. Patrick Yue [Chapters]
[IEEE] 2025-11-20 | An Optimal Efficiency Tracking Method for the Small Air Gap MC-WPT System With Variable Parameters Based on Primary and Secondary Cooperative Control
[IEEE] 2025-11-20 | IEEE SSCS Kolkata Chapter Organized Circuit Design Workshop and Circuit Debugging Competition [Chapters]
[IEEE] 2025-11-20 | Radiation Tolerance of Epitaxial 4H-SiC LGAD Under 80 MeV Proton Irradiation
[IEEE] 2025-11-20 | Passive Levitation in Long Vertical Range Using Two Permanent Magnets
[IEEE] 2025-11-20 | Align and Complete Samples in Remote Sensing Fine-grained Rigid Object Detection
[IEEE] 2025-11-20 | Optimal Control Theoretic Neural Optimizer: From Backpropagation to Dynamic Programming_supp1-3634391.pdf
[IEEE] 2025-11-20 | Visual Extraction of Interaction Patterns Guided by Hierarchical Clustering and Process Mining
[IEEE] 2025-11-20 | CNN-LiDAR-SLAM: Multimodal Fusion with Object Detection for Indoor Localization
[IEEE] 2025-11-20 | COOL: A Cloud-Fog Federated Learning System with Multimodal Isolated Client Data in Edge Networks_supp1-3628912.docx
[IEEE] 2025-11-20 | Energy Efficient Unmanned Vehicle MIMO with Quantized and Switchable Array Architecture: Uplink-Downlink Antenna Switch and Beamforming Optimization
[IEEE] 2025-11-20 | Multirate Industrial Process Forecasting With Hybrid Deep Learning and Adaptive Filtering
[IEEE] 2025-11-20 | Enhanced peroxidase-like activity of Fe-doped MoS
                    <sub>2</sub>
                    nanozyme for colorimetric detection of H
                    <sub>2</sub>
                    O
                    <sub>2</sub>
                    and Hydroquinone
[IEEE] 2025-11-20 | Temperature-Optimized Adaptive Readout Circuit for Metal Oxide Gas Sensors
[ACM] 2025-11-20 | Learning to Advertise: Reinforcement Learning for Automated Ad Campaign Optimization for Small Businesses
[ACM] 2025-11-20 | Research on Product Pricing Optimization and Sales Forecasting Models in U.S. E-commerce Platforms Based on Machine Learning and SHAP
[IEEE] 2025-11-20 | Understanding Distributed Training of Large Language Models with Unified Virtual Memory
[IEEE] 2025-11-20 | SetupKit: Efficient Multi-Corner Setup/Hold Time Characterization Using Bias-Enhanced Interpolation and Active Learning
[IEEE] 2025-11-20 | GAIA: Glass-Aware I/O Middleware
[IEEE] 2025-11-20 | H3D: Heterogeneous Resources Aware Global Router for Face-to-Face Bonded 3D ICs
[IEEE] 2025-11-20 | Tensor Program Optimization for the RISC-V Vector Extension Using Probabilistic Programs
[IEEE] 2025-11-20 | Diffusion-Model-Enhanced Layout Pattern Generation for Sub-3nm DFM
[IEEE] 2025-11-20 | NSTherm: An Error-Bounded Network-Stochastic Fusion Thermal Simulator for Geometry-Adaptable Chiplets via Diffeomorphic Mapping and Neural-Guided Variance Reduction
[IEEE] 2025-11-20 | Invited: IEEE DATC RDF-2025: Enabling an EDA Research Ecosystem
[IEEE] 2025-11-20 | Squat: Quant Small Language Models on the Edge
[IEEE] 2025-11-20 | Software sensors in advanced technological processes: a synthesis of data acquisition, integration and intelligent processing technologies
[IEEE] 2025-11-20 | Pulse Waves Numerical Modeling in the Problem of Blood Pressure Measurement Accuracy Increasing in Hydrocuff Tonometers
[IEEE] 2025-11-20 | CoXplorer: Multi-Staged Co-Exploration Framework for AI Model Compression and Accelerator Design
[IEEE] 2025-11-20 | Data-based optimal control of logical networks
[IEEE] 2025-11-20 | Deep learning classification of ovarian tumor stage by an ensemble of neural networks
[IEEE] 2025-11-20 | Invited Talks
共写入 1000 条记录，保存到 papers/paper2025-11-20.json。
论文获取成功，文件路径: papers/paper2025-11-20.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Section 3: Medical Decision Support Systems. Intelligent Systems in Healthcare
[NO] 2/1000 | Butterfly Residual Network: A Hybrid Approach With Spectral Transformers and Depth-Wise Convolutions for Hyperspectral Image Super-Resolution
[NO] 3/1000 | Approximate-Inverse Explainability of β–VAE Latents for Multichannel EEG Participant-generalised Topographical Representation Learning
[NO] 4/1000 | Prescribed-Time Distributed Integral Sliding-Mode-Based Least-Norm Nash Equilibrium Seeking in Monotone Games Under Disturbances
[NO] 5/1000 | State Estimation of Preceding Target Vehicle using Radar and V2X
[NO] 6/1000 | IEEE Tech Talk on “Unlocking the Potential of FPGA-Based Hardware Acceleration” by IEEE Solid-State Circuits Society Kalinga Institute of Industrial Technology Student Branch Chapter [Chapters]
[NO] 7/1000 | Superpixel Segmentation Method Based on Foreground-background Separation and Independent Multicycle Labeling
[NO] 8/1000 | A hybrid embedding method for identifying technology evolution paths of patents: The case on battery electric vehicle industry
[NO] 9/1000 | Toward Self-Sustainable Airborne Communication Networks: Comprehensive Modeling and Analysis of Energy Consumption and Harvesting
[NO] 10/1000 | A Soft–Rigid Coupled Gripper Driven by a Self-Sensing Origami Actuator for Compliant and Robust Grasping
[NO] 11/1000 | F-Hash: Feature-Based Hash Design for Time-Varying Volume Visualization via Multi-Resolution Tesseract Encoding
[NO] 12/1000 | A Self-Supervised Learning Approach for Pairwise Matching of Ancient Dunhuang Fragments
[NO] 13/1000 | Meta-Learning Enhanced Explainability of Large Language Models for Low-Sample Transaction Monitoring in AML Compliance
[NO] 14/1000 | LoRA-Composer: Leveraging Low-Rank Adaptation for Multi-Concept Customization in Training-Free Diffusion Models
[NO] 15/1000 | The Road Ahead: A Comprehensive Review of Recent Advances in Traffic Sign and Lane Line Recognition for Autonomous Systems
[NO] 16/1000 | A Novel Optimization DMPC Algorithm with Reduced-Order Computational Complexity: Applications in IIoT-Based BMS for the Optimal Heating/Cooling of Large-scale Buildings
[NO] 17/1000 | 3D-CNNs Using Magnetoencephalography Spectral Data for Diagnosis of Parkinson's Disease
[NO] 18/1000 | Improvement of Non-Invasive Electrocardiodiagnostics Screening System Based on Modern Information Technologies
[NO] 19/1000 | Modeling Human Breathing Patterns Using Electrical Impedance Tomography
[NO] 20/1000 | Harvesting Solar Energy and Storage for Low-Energy Data Transmission
[NO] 21/1000 | Hercules: Hardware accElerator foR stoChastic schedULing in hEterogeneous Systems
[NO] 22/1000 | Equivalent Lumped Element Model for Electromigration Considering Thermal Effects
[NO] 23/1000 | OptiRange: An Efficient ReRAM-Based PIM Accelerator with ADC Resolution Optimization
[YES] 24/1000 | Challenges to JavaScript obfuscation in the era of large language models
[YES] 25/1000 | COPA: A Congestion-Oriented Pin Assignment Framework for Intra-Block Physical Design Optimization
[YES] 26/1000 | A Parallel Analytical Legalization Algorithm via Alternating Direction Method of Multipliers
[NO] 27/1000 | NeuroPDE: A Neuromorphic PDE Solver Based on Spintronic and Ferroelectric Devices
[YES] 28/1000 | LLM4Verilog: Building Large-Scale, High-Quality Data Infrastructure for Verilog Code Generation via Community Efforts
[NO] 29/1000 | Alternative Open Source Ecosystem: Manufacturing Platform in Japan [Society News]
[NO] 30/1000 | CacheGuardian: A Timing Side-Channel Resilient LLC Design
[YES] 31/1000 | The Curious Case of Global Stable Loads
[NO] 32/1000 | Performance-Driven Pre-Assignment Routing for High-Speed Package Designs
[YES] 33/1000 | 3D DRC: Design Rule Checking for 3D IC with U-Net-based Non-Manhattan Optimization
[YES] 34/1000 | RSizing: Robust Bayesian Optimization for Analog Circuit Sizing Under Process Variations
[NO] 35/1000 | Deadlock-Free Routing for Full-Mesh Networks Without Using Virtual Channels
[NO] 36/1000 | Ex-vivo Prostate Evaluation of Fused-data TREIT using only Biopsy-probe electrodes
[NO] 37/1000 | A Generalized Framework for Localization of Cable Defects Using Broadband Impedance Spectrum
[NO] 38/1000 | DCR-SRNet: A Degradation-Contrastive and Wavelet-Guided Network for Blind Remote Sensing Image Super-Resolution
[NO] 39/1000 | Miniaturized Hyper-Redundant Manipulator Using Multi-Cable for Minimally Invasive Surgery
[NO] 40/1000 | Reach-Avoid Differential Graphical Games for Single Evader and Multiple Pursuers with Nonlinear Dynamics
[NO] 41/1000 | Agent-Based Generative AI Model for Cost-Aware Automation in Machine Learning Pipelines
[NO] 42/1000 | Development of a Miniature Compulsator for High-Current Pulsed Power Systems
[NO] 43/1000 | Dynamic two-step interval estimation for continuous systems with multirate measurements
[NO] 44/1000 | Proceedings of the 2025 International Conference on Artificial Intelligence and Digital Finance
[NO] 45/1000 | Research on the Construction of Commodity Sales Forecasting Model of E-commerce Platform Based on Machine Learning
[NO] 46/1000 | Stock Price Prediction Method Based on Optimized LSTM and Quantified News Sentiment
[NO] 47/1000 | Passive arc suppression based on reverse potential compensation for grounding faults
[NO] 48/1000 | List of Listings
[NO] 49/1000 | Foreword
[NO] 50/1000 | Row-Column Hybrid Grouping for Fault-Resilient Multi-Bit Weight Representation on IMC Arrays
[NO] 51/1000 | Leveraging GPU for Better Detailed Placement Quality
[NO] 52/1000 | SERA-Float: A Soft Error Resilient Approximate Floating-Point Computing Format
[NO] 53/1000 | Circuit Folding: Scalable and Graph-Based Circuit Cutting via Modular Structure Exploitation
[NO] 54/1000 | Invited Paper: Analyzing the Robustness of Neuromorphic Computing in the Presence of Variability in Non-Volatile Memory
[YES] 55/1000 | XRSight: An End-to-End Hardware-Software Co-Design Platform for XR SoC Evaluation
[NO] 56/1000 | Trajectory Planning for Extrinsic Camera Calibration in Robotic Applications Using Optimal Experiment Design
[NO] 57/1000 | SLTarch: Towards Scalable Point-Based Neural Rendering by Taming Workload Imbalance and Memory Irregularity
[YES] 58/1000 | ChronoTE: Crosstalk-Aware Timing Estimation for Routing Optimization via Edge-Enhanced GNNs
[NO] 59/1000 | A Graph-Based Deep Reinforcement Learning Framework for Quantum Circuit Mapping with Look-Ahead Rewards and Biased Exploration
[NO] 60/1000 | LUT-HD: Accelerating Hyperdimensional Computing Inference via Efficient Table Lookup
[NO] 61/1000 | Lightweight Fertilizer Recommendation: Evaluation of KNN, Naive Bayes, Decision Trees, SVD, and Gradient Boosted Trees
[NO] 62/1000 | Mixed Reality Application to Support Hearing-Impaired Users Based on Microsoft HoloLens 2 and Machine Learning
[NO] 63/1000 | Opto-ViT: Architecting a Near-Sensor Region of Interest-Aware Vision Transformer Accelerator with Silicon Photonics
[NO] 64/1000 | SPIMA: Scalable and Cost-Efficient Sparse Matrix Multiplication via Processing in DRAM Array
[NO] 65/1000 | Analysis of Energy Data Forecasting Performance in Low-Voltage DC Microgrids
[NO] 66/1000 | GPU Kernel Optimizations for Genetic Algorithms on CUDA
[NO] 67/1000 | SuperADMM: Solving Quadratic Programs Faster with Dynamic Weighting ADMM
[NO] 68/1000 | Mathematical Modeling and Comparative Control of DirectDrive Lens System Based on LQR and Neural Network Approach for Pupil Tracking in Teleophthalmology Tasks
[NO] 69/1000 | Personalized Model-Driven Adaptive Task Facilitates Visuomotor Skill Learning Mediated by Promoting Flow Experience_supp1-3627559.docx
[NO] 70/1000 | Characterizing Visualization Perception with Psychological Phenomena: Uncovering the Role of Subitizing in Data Visualization
[NO] 71/1000 | IEEE Thailand Section SSCS Chapter Hosted Distinguished Lectures by Prof. Maurits Ortmanns [Chapters]
[NO] 72/1000 | Automatic Lane Change Integrating Human Driving Experience Through a Two-Level Decision-Making Approach
[NO] 73/1000 | IEEE Proceedings
[NO] 74/1000 | Non-Contact Manipulation of Induced Magnetic Dipoles
[NO] 75/1000 | A Cubature Kalman Filter-based Approach for Battery SOC Estimation and Fractional-order Model Parameter Identification
[NO] 76/1000 | Understanding Aortic Dissection Hemodynamics: Evaluating Adapted Smoke Surfaces Against Streakline-Based Techniques
[NO] 77/1000 | Localized Feature Enhancement via Patch-Wise Learning for Fine-Grained Image Classification
[NO] 78/1000 | Progressive Secret Sharing through the Integration of Deep Learning and Reversible Data Hiding in Encrypted Images
[NO] 79/1000 | Expert Multi-Agent Conversational System Using Retrieval-Augmented Generation and Dynamic Text-to-SQL for Government Transparency
[NO] 80/1000 | Learning Discrete Identifiers and Dense Vectors for Generative Retrieval
[NO] 81/1000 | Author Index
[NO] 82/1000 | Message from the Program Chairs
[NO] 83/1000 | A Deep Learning Framework for Non-Invasive Detection of Parkinson’s Disease from Hand-Drawn Spiral and Wave Patterns
[YES] 84/1000 | Twill: Scheduling Compound AI Systems on Heterogeneous Mobile Edge Platforms
[NO] 85/1000 | Specialized Convolutional Neural Network Architecture in Brain Tumor Diagnosis
[NO] 86/1000 | Xe-135 Induced Reactor Instability
[NO] 87/1000 | A Day-ahead Electricity Price Prediction Method Based on Deep Learning Multiple Neural Networks Fusion with Modal Decomposition and Reconstruction
[NO] 88/1000 | A Quantitative Strategy for Predicting Stock Upside Probability Based on Logistic Regression and Multi-Factor Models
[NO] 89/1000 | Demystifying NCCL: An In-Depth Analysis of GPU Communication Protocols and Algorithms
[NO] 90/1000 | Energy-Efficient Multi-Operand XOR Logic-Based CIM Accelerator using RRAM technology
[NO] 91/1000 | Invited Paper: BitMedViT: Ternary-Quantized Vision Transformer for Medical AI Assistants on the Edge
[NO] 92/1000 | WROXIM: A Network-Level Simulation Platform for Wavelength-Routed Optical Networks-on-Chip
[YES] 93/1000 | ILP-Driven FPGA Multiplier Synthesis: A Scalable Framework for Area-Latency Co-Optimization
[NO] 94/1000 | SiST: Token Similarity and Sparsity Aware Optimization for Transformers on FPGA
[YES] 95/1000 | Efficient Analytical Placement Algorithm with Hybrid Fence Region Constraints Using Non-Newtonian Fluid Model
[YES] 96/1000 | GeoFA: A Geometric Finite Automaton Engine for Efficient Layout Pattern Matching
[NO] 97/1000 | Assessing the Impact of Auditory Stimulus Parameter on Cognitive Evoked Related Potential)
[NO] 98/1000 | Deep Feature Learning from Electromyographic Signals for Gesture Recognition Systems
[NO] 99/1000 | Title Page iii
[NO] 100/1000 | Invited Paper: FEMU: An Open-Source and Configurable Emulation Framework for Prototyping TinyAI Heterogeneous Systems
[NO] 101/1000 | Constraints-aware Adaptive Routing with Hybrid Waveguides for Photonic Integrated Circuits
[NO] 102/1000 | Simulation Framework and Optimization of Superconducting Transmon-Tunable Coupler-Transmon System for Qudit Gates
[NO] 103/1000 | Resolution Where It Counts: Hash-based GPU-Accelerated 3D Reconstruction via Variance-Adaptive Voxel Grids
[NO] 104/1000 | Technical Sessions: HotI 2025
[NO] 105/1000 | Copyright Page
[NO] 106/1000 | 2025 Systems and Technologies of the Digital HealthCare (STDH)
[NO] 107/1000 | Matching Extracting Transform and Its Application in Deep Carbonate Sedimentary Cycle Division
[NO] 108/1000 | A 3D Reconstruction Method of Printed Circuit Board Based on Fringe Phase Field Super-resolution
[NO] 109/1000 | Intertwine: Nonlinear Quantum Feature Selection With Multi-Kernel Circuits
[NO] 110/1000 | Shot-noise Limited Maximum Likelihood Estimation of Optical Pathlength in Spectral Interferometry
[NO] 111/1000 | CWPS: Efficient Channel-Wise Parameter Sharing for Knowledge Transfer_supp1-3620681.pdf
[NO] 112/1000 | Effect of pauses in cycling on millihertz battery impedance
[NO] 113/1000 | Research on Efficiency Calculation of China's Green GDP Based on NDDF and Regression Model
[NO] 114/1000 | A Review of Open-RAN Intelligence: Opportunities, Challenges, Real-Life Applications and Impacts
[NO] 115/1000 | Background: Embedded Systems
[NO] 116/1000 | Introduction
[NO] 117/1000 | Invited Paper: Liquid Computing: Towards Programmable Microfluidics
[NO] 118/1000 | Storage-Based Approximate Nearest Neighbor Search: What are the Performance, Cost, and I/O Characteristics?
[YES] 119/1000 | Capacitance Extraction via Machine Learning with Application to Interconnect Geometry Exploration
[NO] 120/1000 | RePM: Reconfigurable Elastic Computing for Polynomial Multiplier with Hybrid NTT Algorithm
[NO] 121/1000 | BITLUME: Precision-Flexible Photonic Computing for Ultra-Fast and Energy-Efficient DNN Acceleration
[YES] 122/1000 | AccelStack: A Cost-Driven Analysis of 3D-Stacked LLM Accelerators
[NO] 123/1000 | Adaptive Graph Learning for Efficient Thermal Analysis of Multi-Stacking Chiplet Systems under Interface Variations
[YES] 124/1000 | LLM-Augmented Multi-Modal Fusion for SoC Design Space Exploration
[NO] 125/1000 | HRAMTran: A Hybrid-RAM Transformer Accelerator With Dynamic Sparsity Floating-Point CIM and Written-Back Transpose Array
[YES] 126/1000 | Invited Paper: Side Channel Vulnerability Analysis of Flexible Neuromorphic Circuits
[NO] 127/1000 | Development of Adaptive-Limb Transformable Robot for Portable and Replaceable End-Effectors with Compact Lock-Spin Mechanisms_supp1-3634910.mp4
[NO] 128/1000 | Advancing Low-Light Image Geolocation: Adaptive Restoration and Feature Optimization
[NO] 129/1000 | A Real-time Gyroscope Mode Matching Method Without External Disturbance Signals
[NO] 130/1000 | CANELOS, Bringing Together the Chilean IC Design Community [Chapters]
[NO] 131/1000 | Secure Token Pruning Mechanism and Accelerator for Vision Transformer
[NO] 132/1000 | When Pipelined In-Memory Accelerators Meet Spiking Direct Feedback Alignment: A Co-Design for Neuromorphic Edge Computing
[NO] 133/1000 | STAR: Improving Lifetime and Performance of High-Capacity Modern SSDs Using State-Aware Randomizer
[NO] 134/1000 | GenomeDPU: A Cost-Effective In-Memory Data Processing Unit for GPU-based Genome Analysis
[NO] 135/1000 | Extraction of Informative Features for Optical Biopsy Data Analysis
[NO] 136/1000 | Generating and Optimizing What-If Scenarios Using a Transformers-Based Forecasting Model
[NO] 137/1000 | Design and Implementation of a 3D-Printed Educational Delta Robot with Passive Safety Mechanism
[NO] 138/1000 | Development of Human Body Impedance Active Resistance Meter
[NO] 139/1000 | Technology of Thin-Film Neuroimplant for Biosensorics and Neuromodulation
[NO] 140/1000 | Design of a Dual-Issue Superscalar RISC-V Core With Dynamic Branch Prediction
[NO] 141/1000 | Vital AidVenture: Learning First Aid Methods using Emerging Technologies
[YES] 142/1000 | Invited Paper: CURE-Fuzz: Curiosity-Driven Reinforcement Learning for Agile Hardware Testing
[NO] 143/1000 | Investigating Machine Learning Models for Sound Source Localization to Support Augmented Reality Applications for Users with Hearing Impairments
[YES] 144/1000 | HLSDebugger: Identification and Correction of Logic Bugs in HLS Code with LLM Solutions
[YES] 145/1000 | H3D-LLM: Heterogeneous 3D Chiplet Design for LLM Inference with Dynamic Task Scheduling and Memory-Aware Orchestration
[NO] 146/1000 | SOME: Symmetric One-Hot Matching Elector — A Lightweight Microsecond Decoder for Quantum Error Correction
[NO] 147/1000 | Toward Integrating AI Chat and Search: A User-Centered Perspective Across Age Groups
[YES] 148/1000 | Invited Paper: LLM-Enhanced GPU-Optimized Physical Design at Scale
[NO] 149/1000 | ICSTCC 2025 TOC
[NO] 150/1000 | QF-LLM: Financial Sentiment Analysis with Quantized Large Language Model
[NO] 151/1000 | Detection Method of Abnormal Operation Status of Power Lines in Hexi Corridor Based on Segmented Matched Filtering Technology of BeiDou Signal
[NO] 152/1000 | Dual Direct Matrix Converter-Based Drives With Enhanced Input Power Factor Control and Common-Mode Voltage Elimination
[NO] 153/1000 | Lightweightability Measurement and A General Lightweight Design Framework for On-Orbit Image Interpretation Neural Networks
[NO] 154/1000 | Automatic Semantic Alignment of Flow Pattern Representations for Exploration with Large Language Models
[NO] 155/1000 | Understanding User Trust and Expectations in Answerable Sociotechnical Systems
[NO] 156/1000 | Measurement of Thermal Neutrons in Aircraft
[YES] 157/1000 | Multi-modal Generative AI: Multi-modal LLMs, Diffusions and the Unification
[NO] 158/1000 | A Robust Causal Diffusion Model for Synthetic Aperture Radar Automatic Target Recognition with Noisy Labels
[NO] 159/1000 | Energy-Efficient Accelerator for Scalable Point Transformer Networks with Reduced Data Access
[YES] 160/1000 | Learning Architectural Cache Simulator Behaviour
[NO] 161/1000 | Fractional-Order Modeling and Adaptive Control of a Turbine-Synchronous Generator System, Using AI
[NO] 162/1000 | Addressing Thermal Throttling in HBM
[YES] 163/1000 | MoE-OPU: An FPGA Overlay Processor Leveraging Expert Parallelism for MoE-based Large Language Models
[NO] 164/1000 | A Comparative Study of Peritoneal Dialysis Effluent and Urine Chromatographic Fraction Composition with Optical Absorption and Fluorescence Spectroscopy
[NO] 165/1000 | Investigation of the Chest Model for the Problem of Choosing the Size of Electrode Monitoring Systems for the Regional Ventilation-Perfusion Ratio
[NO] 166/1000 | Educational Technology Based on a Problem-Oriented VR Environment
[NO] 167/1000 | A Pulsed Tumor Treating Fields Protocol to Improve Glioblastoma Therapy_supp1-3634604.docx
[NO] 168/1000 | ICCAD 2025 Copyright
[NO] 169/1000 | Street Gaussians: Modeling Dynamic Urban Scenes With Gaussian Primitives_supp1-3634385.pdf
[NO] 170/1000 | GNSS Precipitable Water Vapor Insights into Sea Surface Wave Characteristics During Seawater Encroachment: A Case Study in Bohai and Yellow Seas, China
[NO] 171/1000 | Visualizing Trust: How Chart Embellishments Influence Perceptions of Credibility
[NO] 172/1000 | Dynamic Deep Factor Graph for Multi-Agent Reinforcement Learning_supp2-3634378.pdf
[NO] 173/1000 | Dynamic Deep Factor Graph for Multi-Agent Reinforcement Learning_supp1-3634378.pdf
[NO] 174/1000 | 200 MHz Repetition-rate 1550 nm SESAM-based polarization-maintaining linear-cavity femtosecond fiber laser
[NO] 175/1000 | An In-Depth Study on Device Variability in 22 nm FD-SOI NMOSFETs Under X-ray Exposure
[NO] 176/1000 | Analysis of Lightning Transients in the Grounding Circuits of a Wind Farm
[NO] 177/1000 | Performance Analysis of Distributed UAVs in Urban Environments Using a Practical Line-of-Sight Model
[NO] 178/1000 | Advanced Architectures Integrated With Agentic AI for Next-Generation Wireless Networks
[NO] 179/1000 | Bus-Aware Simultaneous Escape Routing with Through-Bus Net Avoidance
[NO] 180/1000 | Design of Hybrid Dynamic Event-triggered Distributed Interval Observers for Human-in-the-Loop Multi-agent Systems
[NO] 181/1000 | Improvement of A Lattice-Based Revocable Ring Signature
[NO] 182/1000 | Domain Adaptive Hybrid Network for Automatic Modulation Recognition
[NO] 183/1000 | Steering Committee: HotI 2025
[NO] 184/1000 | ICSTCC 2025 Copyright Page
[NO] 185/1000 | Title Page i
[NO] 186/1000 | Table of Contents
[NO] 187/1000 | Message from the General Chairs: HotI 2025
[NO] 188/1000 | ICCAD 2025 Preface
[NO] 189/1000 | Virtual Delay-Emission (VDE): An HRWS Imaging Mode for Spaceborne MIMO-SAR
[YES] 190/1000 | Improving the Performance of Out-of-Core LLM Inference Using Heterogeneous Host Memory
[NO] 191/1000 | Characterizing Adaptive Mesh Refinement on Heterogeneous Platforms with Parthenon-VIBE
[NO] 192/1000 | SAFF: Scalable Acceleration of GNN-based Machine Learning Force Fields using Tensor-Aware Hardware for Molecular Simulation
[NO] 193/1000 | GauPRE: A Pattern-based Rendering Engine for Gaussian Splatting on Edge Device
[NO] 194/1000 | An Efficient Routing Optimization Framework for Silicon-Based Spin-Qubit Devices
[NO] 195/1000 | HyDra: SOT-CAM Based Vector Symbolic Macro for Hyperdimensional Computing
[YES] 196/1000 | Invited Paper: End-to-end RFIC Topology Synthesis and Design combining Reinforcement learning and Inverse Design
[YES] 197/1000 | EqMap: FPGA LUT Remapping using E-Graphs
[NO] 198/1000 | Closing the Gap: Advantages of Block-Level over Gate-Level in 3D IC Design for Advanced Nodes
[NO] 199/1000 | SPARTA: Spike-Aware Token Skipping Co-Optimization with Heterogeneous ReRAM-CIM Architecture for Spiking Transformer Acceleration
[NO] 200/1000 | LCTMwalk: GPU-Accelerated Transient Thermal Simulation for Liquid-Cooled 2.5D/3D ICs via Random Walks on Circuit Networks of Modified Compact Thermal Models
[NO] 201/1000 | Development of Device for Objective Monitoring of Valsalva Maneuver
[YES] 202/1000 | COTIA: Concolic Testing with Intelligent Agent
[YES] 203/1000 | (Invited Paper) Overview of 2025 CAD Contest at ICCAD
[NO] 204/1000 | Stabilization Approach for the Improved Model of 1D Mechanical Systems with Linear Motion Coordinates
[NO] 205/1000 | Binary Classifier for Detecting Gas Exchange Shifts During Full Yoga Breathing Using Blood Microcirculation Data
[NO] 206/1000 | A Novel Large Air-gap Displacement Sensor with Radial Offset Decoupling Capability
[NO] 207/1000 | The Pathway-informed Deep Learning Models in Cancer Research: a Survey
[NO] 208/1000 | Image Compression and Encryption Based on Compressive Sensing and Game of Life with Semi-Tensor Product
[NO] 209/1000 | An Alternating Dynamic Drift-Compensated Integrator for Thousand-Second Long Pulses in EAST
[NO] 210/1000 | Keynotes
[NO] 211/1000 | Algebraic Tracking Network Topology Processor for Modern Power Systems
[NO] 212/1000 | A Heuristic 2D-3D Point Set Registration Method with Multi-Member Differentiated Collaborative Evolution
[NO] 213/1000 | Data Augmentation for Visualization Design Knowledge Bases
[NO] 214/1000 | Hierarchical dynamic local-global-graph representation learning for EEG emotion recognition
[NO] 215/1000 | Improved Three-dimensional Wet Refractivity Retrieval using Refined One-Step Tropospheric Tomography Method
[NO] 216/1000 | Integrated PMSM Drive System With Voltage Balance Function Without Sacrificing Motor Drive Capability
[NO] 217/1000 | LanDA: Language-Guided Multi-Source Domain Adaptation
[NO] 218/1000 | Multitemporal Multispectral Dataset for Palaeochannels Segmentation (MAPS)
[NO] 219/1000 | Treasure Hunting: Embodied Contrastive Learning-Enhanced Coarse-to-Fine Object Seeking With Explorer and Discriminator Cooperation
[NO] 220/1000 | Solid Stories: Mid-Career Reflections With Daniel Schinkel [People]
[NO] 221/1000 | MSSI-Net: Multiscale Semantic-guided Synergistic Interaction Network for Remote Sensing Image Change Detection
[NO] 222/1000 | IEEE Tianjin AP/MTT/SSC Joint Chapter Academic Events [Chapters]
[NO] 223/1000 | Research on the impact of artificial intelligence on the development of green finance
[NO] 224/1000 | dyGRASS: Dynamic Spectral Graph Sparsification via Localized Random Walks on GPUs
[NO] 225/1000 | Robin: RWKV Accelerator using Block Circulant Matrices based on FPGA
