[2026-09-16 23:19:54] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-15
正在获取论文...
[arXiv] 2026-09-15 | NeuroTS-Net: Multi-Class Semantic Segmentation of Pediatric Brain Tumors in Multi-Modal MRI
[NO] 181/2000 | PyExoCross 2.0: A Python Framework for LTE and non-LTE Spectra, Cross Sections, and Spectroscopic Post-processing of Atomic and Molecular Line Lists
[NO] 182/2000 | Frame bounds and bandwidth tiling for time-causal bandpass wavelets
[NO] 183/2000 | Finding Common Mistakes In Modelling With Mathematical Formalisms Using LLMs
[NO] 184/2000 | Large-scale NMR simulation on a trapped-ion quantum computer
[NO] 185/2000 | Beyond In-Distribution Metrics: A Systematic Out-of-Distribution Evaluation of Congenital Heart Disease Segmentation
[NO] 186/2000 | Saturns Are Not Large Neptunes: The effect of removing inflated giants from empirical mass-radius relations
[NO] 187/2000 | Second-Order Rayleigh-Schrödinger Perturbation Theory for the GRASP2018 Package: Core Correlations
[NO] 188/2000 | Online Gradient Computation for Warping Gaussian Process Transformations
[NO] 189/2000 | Optimal transport of image sources for interpolation of room impulse responses with moving sources
[NO] 190/2000 | AraMIP: Extending MIPVU Towards Metaphor Identification in Arabic
[NO] 191/2000 | Temporally Consistent Graph Extraction and Matching for Longitudinal Angiographic Images
[NO] 192/2000 | Sharp bounds for perfect quantum state classification beyond antidistinguishability
[NO] 193/2000 | Lyman-$α$ forest 1D flux power spectrum constraints on QSO-assisted reionization models
[NO] 194/2000 | Impact of Equation of State on Black Hole Accretion Flows and Radiative Properties
[NO] 195/2000 | Caught by its own light: Wimpzillas, the LHAASO knee and the diffuse $γ$-ray sky
[NO] 196/2000 | Refined conjectures on Fitting ideals of BDP Selmer groups
[NO] 197/2000 | On the number of palindromic factors of low complexity words
[NO] 198/2000 | At Most One Inner Killing Horizon in Stationary Black Holes
[NO] 199/2000 | DiSR-ECG: Residual Shifting Conditional Diffusion for Robust ECG Super-Resolution
[NO] 200/2000 | RoleBreak: Benchmarking Long-Horizon Role-Playing Robustness in Spoken Dialogue
[NO] 201/2000 | On the internal modes of the ground state for 3D cubic--quintic equations
[NO] 202/2000 | Reassessing 3GPP NR CSI Codebook Structures in Near-Field Channels: Finite-Feedback Multilayer Precoding and Design Insights
[NO] 203/2000 | Measuring Decision-Scale Use in Tool-Augmented LLMs: A Contrastive Urban Benchmark
[NO] 204/2000 | Punctured log Gromov-Witten theory of log modifications and double ramification cycles with target log variety
[NO] 205/2000 | Large Language Models in the Loop: A Stability- and Network-Aware Survey in Networked Control, Cyber-Physical, and Multi-Agent Systems
[NO] 206/2000 | The Furstenberg-Sárközy theorem for sums of an even number of odd powers
[NO] 207/2000 | A Framework for Generating Valid Context-Specific Benchmarks through Expert Guidance
[NO] 208/2000 | FLAT: Resampling Image and Text into 1D Flexible-Length Aligned Transmodal Tokens for Retrieval and Generation
[NO] 209/2000 | Do LLMs Have Values? A Quantitative Analysis and Alignment Framework for Values in Large Language Models
[NO] 210/2000 | Adsorbing Boundaries Stratify the Kinetics of Confined Colloidal Phase Separation
[NO] 211/2000 | CLASH: Counterfactual Auditing of Lexical and Prosodic Reliance in Spoken Sarcasm Detection
[NO] 212/2000 | Recovering Physical Parameters from Fragmented Observations via Exact Distributed Spline Merging
[NO] 213/2000 | GraLoD: Graphics-Inspired Continuous Level-of-Detail Learning for Image Restoration
[NO] 214/2000 | Non-uniqueness of characteristic curves of folding rational maps
[NO] 215/2000 | KEMPIC-3D: A transparent and extensible electromagnetic Particle-in-Cell framework for kinetic plasma simulations
[NO] 216/2000 | Joint Freshness and Age-Dispersion Control over Finite-State Markov Wireless Channels
[NO] 217/2000 | Density and separation for augmented Zarankiewicz numbers
[NO] 218/2000 | Supervising the Chain Ladder
[NO] 219/2000 | Exotic centrosymmetric phase of acentric urea under high pressure
[NO] 220/2000 | A Cyber Range Evaluation of Autonomous Network Incident Response Agents
[NO] 221/2000 | Ptolemy: A Semantic Map of Exploratory Data Analysis
[NO] 222/2000 | Learning Transferable Self-Supervised Priors for Super-Resolution Reconstruction in Structured Illumination Microscopy
[NO] 223/2000 | Style-Debiased DPO: Updating LLM Knowledge with Factuality-Aware Synthetic Preference Data
[NO] 224/2000 | Auction Design with ROI-Constrained Bidders: Truthfulness and Revenue Maximization
[NO] 225/2000 | Beyond Gestures: Estimating Full Hand Pose and Contact Forces from Wrist-Worn Pressure Sensor Array
[NO] 226/2000 | Symmetry, monotonicity, and asymptotics of singular solutions to semilinear elliptic equations
[NO] 227/2000 | Discovering Kinetically Significant Reaction Mechanisms Beyond Chemical Intuition in Condensed-Phase Radiolysis
[NO] 228/2000 | Anthropogenic Forcing, Climate Change, and the Shape of Warming: Statistical Inference for Distributional Cointegration
[NO] 229/2000 | Locally calibrated and mesh-free inference for spatial point distributions: closed-form null, contamination law, and detectability threshold
[NO] 230/2000 | Inertialess turbulence in viscoelastic pipe flow
[NO] 231/2000 | Skill-based Agentic Evaluation for Real-time Data Science Tasks
[NO] 232/2000 | Protocol-Preserving Context Trimming for Agentic Workflows: Benefits, Failure Regimes, and Budget Guardrails
[NO] 233/2000 | Environmental records unlock universal quantum computation from thermal decoherence
[NO] 234/2000 | The Variation of Circumstellar Parameters through Early Stellar Evolution
[NO] 235/2000 | Predicting Partial Answer Quality and Utility in Agentic Retrieval-Augmented Generation
[NO] 236/2000 | Charging of rotating black holes: kinetic simulations of black hole magnetospheres
[NO] 237/2000 | A Mechanical Antenna for Improving Capacity Fairness in Dynamic Multi-Station Scenarios
[NO] 238/2000 | Online adaptive non-intrusive model reduction via manifold interpolation and subspace updates: application to FSI convergence acceleration
[NO] 239/2000 | Accelerated Decoding of Centroid Positional Encoding for Instance Segmentation
[NO] 240/2000 | Integrating Wildfire Risk into Robust Forest Management Optimization
[NO] 241/2000 | Measuring Annotation Efficiency for Handwritten Devanagari Recognition: Sample-Complexity Curves for Four Pretraining Regimes
[NO] 242/2000 | Efficient Swing Computation for Retrieval in Large-Scale Recommender Systems
[NO] 243/2000 | RegRet: Enhancing Region-Level Retrieval in Large Multimodal Models
[NO] 244/2000 | Analytical and Experimental Study of a Variable-Mass Oscillator with Constant Mass Loss
[NO] 245/2000 | The Price of the Golden 6G Band: Evaluation of Beam Management Effort in FR3
[NO] 246/2000 | On Sequence Reconstruction Problem for q-ary Deletion Channels
[NO] 247/2000 | CPM-LDPC Codes Attaining the Minimum-Distance Bound
[NO] 248/2000 | The asymmetric limbs of HD 209458 b observed with JWST NIRCam F322W2/F444W
[NO] 249/2000 | Testing a Pre-Supernova Contribution to $^{44}$Ti in Cassiopeia A
[NO] 250/2000 | LCAP: Population-Informed Latent Chip Adaptation from Few Output Probes for Photonic Neural Networks
[NO] 251/2000 | Converter-Grid Interaction Stability Guaranteed Safe Deep Reinforcement Learning for Energy Storage Systems in Grid Frequency Support
[NO] 252/2000 | Viscosity solution of systems of integral-partial differential equations with interconnected obstacles without Monotonicity Conditions and infinite L{é}vy measure
[NO] 253/2000 | SaltyMeta: a curated benchmark and protein language model-informed web tool for salty peptide prediction
[NO] 254/2000 | H$_2$O emission as tracer of pebble drift: insights from coupling transport and thermochemical models
[NO] 255/2000 | Inequalities for 4-Manifolds with Ends using Fibered boundary metric and Seiberg-Witten Equations
[NO] 256/2000 | On the disintegration of the stochastic majority vote: From PAC-Bayesian bounds to a self-bounding algorithm
[NO] 257/2000 | TEDi: Temporal Memory-Enhanced and Denoising Transformer for Surgical Instrument Segmentation
[NO] 258/2000 | SpectraFit XPS: a free, browser-based application for X-ray photoelectron spectroscopy peak fitting and quantification
[NO] 259/2000 | Benchmarking Factual Robustness of LLMs via Multi-conversation Persuasion
[NO] 260/2000 | IMVS: Interactive Medical Volume Segmentation with Test-Time Adaptation - A New Method for Annotating Radiology Datasets
[NO] 261/2000 | Probing the Tau Neutrino Magnetic Moment via the $μ^{-}γ\rightarrow μ^{-}ν\barν$ Process at Future Muon Colliders
[NO] 262/2000 | Ordered Ramsey numbers of 3-uniform hypergraphs with bounded weak degeneracy
[NO] 263/2000 | EgoAsk: Egocentric Teaching of Personalized Object Knowledge for Household Robots
[NO] 264/2000 | Electric-Field-Switchable Altermagnetism via Ligand Rotation in a d0 Metal-Organic Framework
[NO] 265/2000 | Linear matroid products: a synthetic approach
[NO] 266/2000 | Unified Heterogeneous Graph Neural Network solver for Power Flow, Optimal Power Flow and State Estimation
[NO] 267/2000 | The Price of Random Access: Measuring Block Granularity Across Four Compressed Formats
[NO] 268/2000 | Searching for new physics with contact-free transitions in muonic atoms
[NO] 269/2000 | A deterministic $(2 + \varepsilon)$-approximation for directed feedback vertex sets in tournaments
[NO] 270/2000 | Phase Transition in Binary Compressed Sensing via Annealing with Adaptive Regularization
[NO] 271/2000 | Turbulence at an aerofoil leading edge: the linearity boundary and its generation mechanism
[NO] 272/2000 | Predictability-Guided Multiscale Probabilistic Forecasting of Wind Direction under Extreme Shear
[NO] 273/2000 | Stability Analysis of Generalized Multi-Source Weber Problems
[NO] 274/2000 | Triple divisor type functions in arithmetic progressions to prime power moduli
[NO] 275/2000 | World Models for Embodied Intelligence: From Plausible to Controllable to Actionable
[NO] 276/2000 | Efficient Quantization-Aware Distillation with Cross-Modal Alignment for Edge Vision-Language Models
[NO] 277/2000 | MEgoVista: Multi-view Ego-aware Motion Estimation for Metric 4D Hands and Head in the Wild
[NO] 278/2000 | MarkSec: Capability-Aware Evaluation of Adversarial Attacks Against LLM Watermarks
[NO] 279/2000 | From Hypervisor to Container: Cloud Security Vulnerabilities, Defense Mechanisms, and Open Challenges
[NO] 280/2000 | Sets with no Riesz bases of exponentials
[NO] 281/2000 | A storm-centered perspective of midlatitude near-inertial wave generation
[NO] 282/2000 | A flexible framework for treatment effect inference in longitudinal clinical studies with skewed outcomes
[NO] 283/2000 | Memory-Skill Isomorphism: One Skill Carrier, Two Native Uses
[NO] 284/2000 | Rewarding Reasoning, Not Answers: Fixing and Bounding Test-Time Reinforcement Learning on Medical QA
[NO] 285/2000 | Constraining Proton Spin at Small $x$ with Valence Quark Model
[NO] 286/2000 | Mechanism-Level Evaluation for Vision-Language Models: Controlled Activation-Replacement Diagnosis of Gender Bias
[NO] 287/2000 | What Do Hallucinations Reveal About Multimodal Reasoning? Diagnosing Visual Grounding Failures via Contrastive Decoding Probes
[NO] 288/2000 | Inferring Temporal Dependencies from Social Time Series with the Cross-Correlogram
[NO] 289/2000 | The prime spectrum of the talented monoid of a higher-rank graph and applications
[NO] 290/2000 | Kazhdan constants for two-element generating sets of $\mathrm{SL}_n(\mathbb Z)$
[NO] 291/2000 | Not Another Text Benchmark: Putting the "Visual" Back in Visual Question Answering for Large Video Models
[NO] 292/2000 | High-Fidelity Digital Twin Data Models by Randomized Dynamic Mode Decomposition and Deep Learning with Applications in Fluid Dynamics
[NO] 293/2000 | Semi-Supervised Learning-Based Genetic Biomarkers Dataset for Multiple-Stage Hepatocellular Carcinoma Prediction
[NO] 294/2000 | GeoLAM: Learning Geometry-Grounded Latent Actions from Unlabeled Human Videos
[NO] 295/2000 | Scaling-Score Conformal Prediction for Multi-Target Regression
[NO] 296/2000 | The Boolean Prime Ideal Theorem and Vitali Sets
[NO] 297/2000 | On some functionals for which the ball is a saddle shape
[NO] 298/2000 | EviScope: Paired Counterfactual Evidence Diagnostics for Faithful and Efficient Grounded Language Models
[NO] 299/2000 | Pseudospectrum of Braneworld Perturbations
[NO] 300/2000 | On the Integrated Density of States of Fractional Random Schrödinger Operators
[NO] 301/2000 | Interplay of dimerization and quasiperiodicity in the superconducting proximity effect of a one-dimensional hybrid ring
[NO] 302/2000 | Development of a Physics-Informed Neural Framework, MEOWN, for Rapid Prediction of Muon Stopping Sites in Crystalline Materials, for understanding Quantum Magnet employing Muon Spectroscopy
[NO] 303/2000 | Distributionally Robust Linearly Constrained Minimum Variance Beamforming Under Steering-Vector Mismatch
[NO] 304/2000 | Generic Triviality of Linear Automorphisms of Complete Intersections
[NO] 305/2000 | Sparse MLLM Anchors, Dense Adaptation: Breaking the Self-Referential Loop in Wild Test-Time Adaptation
[NO] 306/2000 | Limits of Inferring Parametric Response from Single-Condition Trajectories inStochastic Reaction Networks
[NO] 307/2000 | NaFeP: first pairing prediction for an unmade 111 iron phosphide, and the pnictogen-height rule inside one compound
[NO] 308/2000 | CLARE: Scalable Class-Incremental Continual Learning via a Sparsity-Based Framework
[NO] 309/2000 | List Decoding, Linear Hashing, and Furstenberg over $\mathbb{F}_q$
[NO] 310/2000 | GANADI: Uncovering C/C++ OSS Reuse Genealogies via Pivotal Function-Based Clustering to Enhance Supply Chain Security
[NO] 311/2000 | Unipotence of a double commutator with transvections
[NO] 312/2000 | Odd slip at chiral active surfaces
[NO] 313/2000 | Combining Weather Forecast Aggregation and State-Space Models for Adaptive Probabilistic Electricity Load Forecasting
[NO] 314/2000 | Can LLMs Follow the Pulse of a Crisis? Evaluating Crisis Sentiment in Bangladesh's July Uprising
[NO] 315/2000 | The Role of Implicit and Explicit Demographic Signals in Large Language Model-based Student Assessment
[NO] 316/2000 | Well-posedness, Regularity, and Strong Approximations of Superlinear Stochastic Reaction-Diffusion Equation
[NO] 317/2000 | Exact finite-sample inference for multi-mixed fractional Brownian motion with drift
[NO] 318/2000 | Splitting the Difference: Interpretable Causal Forests for Treatment Effect Heterogeneity and Bias
[NO] 319/2000 | Rate-Agnostic Wald Inference for Dyadic Regressions
[NO] 320/2000 | HUMAID-NER: A Disaster Tweet Dataset for Joint Named Entity Recognition and Event Classification via Uncertainty-Weighted Multitask Learning
[NO] 321/2000 | Assessing transport resilience to heavy rainfall: An integrated modelling framework with metrics
[NO] 322/2000 | Rigidity results via a Poincaré type formula for stable solutions of quasilinear anisotropic elliptic equations
[NO] 323/2000 | Amnesic Elephant Random Walk with Polynomially Decaying Step Sizes
[NO] 324/2000 | An ALMA Band 7 survey of SDSS/Herschel quasars in Stripe 82: II. The nature of FIR-bright quasars
[NO] 325/2000 | RepoAtlas: Guiding Coding Agents via Evolving Multimodal Repository Views
[NO] 326/2000 | Nonlocal Magic across the Many-Body Localization Crossover
[NO] 327/2000 | ROSETTA: Efficient and Accurate Privacy-Preserving LLM Decoding via Hybrid CKKS/TFHE Evaluation
[NO] 328/2000 | Lit3R: Retrieve-Relate-Read for Evidence-Grounded Question Answering over Scientific Literature
[NO] 329/2000 | The Equivariance Criterion in a Linear Model for Random-$X$ Cases
[NO] 330/2000 | Mixed moment of $GL(2)$ and $GL(3)$ $L$-functions in the level aspect
[NO] 331/2000 | Double parton scattering off nuclei and the double-EMC effect
[NO] 332/2000 | An extension of Subcomplete Forcing Axiom which implies $\diamondsuit^+$
[NO] 333/2000 | Supernova Kinetic Yield oN galactic Emission Tracers (SKYNET) I. Contribution of radiative supernova remnants to Galactic N + emission
[NO] 334/2000 | Mo' Models, Mo' Problems: How to best select model pools when designing Multi-Agent Systems
[NO] 335/2000 | A Set-Theoretic Evaluation Framework for Assessing Asset Administration Shell Instances: Towards Comparability and Suitability
[NO] 336/2000 | Bound-state production in MadGraph5_aMC@NLO
[NO] 337/2000 | IRENE: A Convolutional GRU Ensemble Model for Radar Precipitation Nowcasting over Italy
[NO] 338/2000 | Graph construction in QUBO-based recursive phylogenetic tree reconstruction
[NO] 339/2000 | Impact of the Host Galaxy on the Search for Gravitational-Wave Microlensing by Compact Objects
[NO] 340/2000 | Channel-Resolved High-Overtone Quasinormal Modes Decode Kasner Scaling inside Black Holes
[NO] 341/2000 | Optimal Scaling of Langevin Proposals with Generalized Acceptance Rules
[NO] 342/2000 | Direct Trajectory Reconstruction for Fast 3D X-ray Particle Tracking Velocimetry in Porous Media
[NO] 343/2000 | Testing Our Foundations: Citation Trends, Errors, and Emerging Hallucinations in the Computing Education Literature
[NO] 344/2000 | BrainFocus: EEG-Guided ROI Selection for Efficient Vision-Language Models
[NO] 345/2000 | The Study of Detailed Morphology of Milky Way Dwarf Galaxies: Draco and Boötes I
[NO] 346/2000 | GAUGE: A Formal Framework for Measuring Cryptographic Security under Heterogeneous Adversary Cost Models
[NO] 347/2000 | Comment on "Non-Monotonicity of Transverse-Momentum Correlations in Au+Au Collisions at RHIC"
[NO] 348/2000 | "Piecing Data Connections Together Like a Puzzle": Effects of Increasing Task Complexity on the Effectiveness of Data Storytelling Enhanced Visualisations
[NO] 349/2000 | Towards Digital Halftoning on Closed Manifolds--An Error Diffusion Scheme for the $2D$ Torus based on Sigma-Delta Quantization along the Rank-one Lattice
[NO] 350/2000 | Cover times and ranges of elephant random walks
[NO] 351/2000 | Functional limit theorems for perturbed random walks
[NO] 352/2000 | Exploring 2D backbone effects for indoor semantic occupancy prediction
[NO] 353/2000 | Logarithmic stability for recovering initial data of fractional heat equations from thin-set observations
[NO] 354/2000 | Quasi-Helmholtz Calderón Multiplicative Preconditioning for Higher-Order Global Multi-Trace Integral Equations
[NO] 355/2000 | Weighted lattice point enumeration in lecture hall order polytopes
[NO] 356/2000 | A Memorization Floor for LLM Refinement of Decompiled Code
[NO] 357/2000 | Flag manifolds, spaces of frames, and connectedness properties
[NO] 358/2000 | A possible interpretation of the LUX-ZEPLIN recoil event in the 2HD+a scenario
[NO] 359/2000 | Cohomological Aspects of Entanglement Entropy: From Information Theory to Noncommutative Geometry
[NO] 360/2000 | Data-Driven Policy Iteration Without an Initial Stabilizing Policy: A Finite-Horizon Bootstrap Method
[NO] 361/2000 | Real-Space Renormalization of Stabilizer Rényi Entropies in Spin Chains
[NO] 362/2000 | Discovering Performance Archetypes: Critical-Path-Aware Pattern Analysis and Regression Detection
[NO] 363/2000 | Preparation-protocol-dependent quantum Mpemba dynamics in a magnetically tunable graphene nanotorus qubit
[NO] 364/2000 | Xona Pulsar Compatibility with Spaceborne GNSS Receivers
[NO] 365/2000 | Causal Inference under Dynamic Selection: Time-Varying Covariates and Latent Heterogeneity
[NO] 366/2000 | Gauss-Newton drifting extends natural gradient descent
[NO] 367/2000 | Plug 'n' Pray: Agentic LLM-based Detection of Potential Log File Exposures in Third-Party Content Management System Plugins
[NO] 368/2000 | Neural Field Ensembles for Aerodynamic Surface Prediction: Winning Solution to the ONERA CRM Wall Distribution 2025 Challenge
[NO] 369/2000 | A Hodge module construction of relative Du Bois complexes
[NO] 370/2000 | LiLi: Lie Theory Based 3D LiDAR Scan Alignment Degeneracy Detection
[NO] 371/2000 | Continual Learning for Traversability Prediction with Uncertainty-Aware Adaptation
[NO] 372/2000 | Four-dimensional pseudo-umbilical biharmonic submanifolds in the six-dimensional Euclidean space
[NO] 373/2000 | An effective topology-transfer nuisance for Genie-based neutrino-argon semi-inclusive analyses: a methodological proposal with MicroBooNE-constrained diagnostic
[NO] 374/2000 | Predicting Human Disagreement for Calibrated Dynamic Facial Expression Recognition
[NO] 375/2000 | A Matrix-free Augmented High Order Compact Solver for Variable-Coefficient Biharmonic Problems
[NO] 376/2000 | You Shall Not Pass into Ring-0! A User Privacy-Friendly Anti-Cheat Architecture for Personal Computers
[NO] 377/2000 | Asymptotic Behavior of Radial Solutions to Singular $p$-Laplacian Equations as $p\to1$
[NO] 378/2000 | LACE: Layer-Wise Compression for Dynamic Frame Rate Codecs
[NO] 379/2000 | Twisted Bracelets for Sorting by Transpositions: the Transposition Diameter of $S_{16}$
[NO] 380/2000 | Query-optimal quantum simulation of Lindblad evolution
[NO] 381/2000 | Quick-View Takeaways: How Does Title Framing Influences Pattern Identification in Line Charts?
[NO] 382/2000 | Hypothetical connection of the theta functions of Dirichlet characters with the real cyclotomic fields
[NO] 383/2000 | Including Thermal Mesons and Meson Resonances in the Chiral Mean-Field Equation of State
[NO] 384/2000 | Minkowski Decompositions for Generic Infinitesimal Newton-Okounkov Bodies of Arbitrary-Degree External Tensor Products on Products of Curves
[NO] 385/2000 | Quantum Compiler Design for Fault-Tolerant Quantum Computing
[NO] 386/2000 | How Does Title Framing Influence Pattern Identification in Line Charts?
[NO] 387/2000 | Dynamics, periodic orbits and $C^1$ non-integrability of the ABC flow
[NO] 388/2000 | Evaluating Verified Autonomy in Quantum Engineering
[NO] 389/2000 | Normal sequences without strongly normal subsequences
[NO] 390/2000 | Cosmological Constrained Axion-Portal Inelastic Dark Matter for the LZ Event
[NO] 391/2000 | Enhancing Accessibility of Medical Texts through Large Language Model-Driven Plain Language Adaptation
[NO] 392/2000 | Improved bounds for Szpiro's conjecture
[NO] 393/2000 | A perimeter analogue of Franklin's identity and an inequality related to the parity of parts
[NO] 394/2000 | PanoGS-SLAM: Panoramic 3D Gaussian Splatting SLAM
[NO] 395/2000 | A note on the accuracy of spin-densities from Kohn-Sham Density Functional Theory
[NO] 396/2000 | X-ray to Mid-IR Spectral Energy Distributions: A Catalog of X-ray Selected AGNs in the XMM-COSMOS Survey
[NO] 397/2000 | Assessing ionospheric effects on image quality in the LOFAR Decametre Sky Survey
[NO] 398/2000 | Multi-sequences with large linear and error linear complexity from function fields
[NO] 399/2000 | Asymptotics of Laplace and Stokes solutions in the gap between a sharp tip and a smooth boundary
[NO] 400/2000 | Global existence and vanishing viscosity limit of the compressible Navier-Stokes-Vlasov-Fokker-Planck system in critical spaces
[NO] 401/2000 | ECHO: A Matched-Contrast Benchmark for Context-Sensitive Turn-Taking in Full-Duplex Dialogue
[NO] 402/2000 | Pinching Antennas for Next-Generation Wireless Communications: A Network Perspective
[NO] 403/2000 | Intrinsic Motivation in Reinforcement Learning: A Research Agenda for Adaptive Self-Organisation
[NO] 404/2000 | Universal Properties of Petri Net Unfoldings
[NO] 405/2000 | A class formula for effective Anderson motives
[NO] 406/2000 | Multiproperty Atomistic Characterization of a Synthesized Pyrazinic Nitrogen-Doped Porous Armchair Graphene Nanoribbon
[NO] 407/2000 | Goal-oriented probabilistic forecasting for dynamic PRB allocation in 5G networks
[NO] 408/2000 | Bridging the Confidence Gap: Temperature Scaling for Calibrating Test-Time Prompt Tuning
[NO] 409/2000 | TAME: Token Attribution and Masking for Emergent misalignment
[NO] 410/2000 | SpiroPhonia: Non-Invasive Respiratory Health Assessment from Spontaneous Speech
[NO] 411/2000 | The Aldous chain on cladograms mixes in order $n^2$ steps
[NO] 412/2000 | Characterizing Heterogeneous Rates in Finite Mixture Estimation via Partial Optimal Transport
[NO] 413/2000 | A Heterogeneous FitzHugh-Nagumo Model Exhibiting Local and Regional Dynamics that Mimic Spontaneous Atrial Fibrillation
[NO] 414/2000 | Impedance-Aware Optimized Pulse Patterns for Reconfigurable Battery Systems
[NO] 415/2000 | Differentiable Mesh State Estimation via Factor Graph Inference for Deformable Object Reconstruction
[NO] 416/2000 | Indistinguishability of single Raman photons from single atoms
[NO] 417/2000 | Mass gap for the hierarchical sinh-Gordon model
[NO] 418/2000 | Poset dimension and maximum comparability degree
[NO] 419/2000 | Local obstructions to the surjectivity of spectral morphisms
[NO] 420/2000 | Room-temperature 1/3 suppression of diffusive shot noise
[NO] 421/2000 | Uniqueness of free boundary minimal annuli
[NO] 422/2000 | Fine-Tuning Fixes Mode Collapse and Over-Dispersion in LLMs
[NO] 423/2000 | Quantifying Organizational Environmental Action from Web Data and Large Language Models
[NO] 424/2000 | Existence and Asymptotic Stability of Traveling Waves of Two-species Lotka-Volterra Competition-Diffusion Systems via Geometric Singular Perturbations
[NO] 425/2000 | Application of Regional Chemical Potential Analysis to Si Adsorption on the Diamond (001) Surface
[NO] 426/2000 | Divergence Timing and Cumulative Disagreement under KV-Cache Eviction
[NO] 427/2000 | Structure Across Voices: Comparing acoustic-event type accumulation and sequence dependence across four vocal repertoires using frozen audio encoders
[NO] 428/2000 | A Weighted Kernel Method for Approximation that Adapts to Learned Multivariable Structure
[NO] 429/2000 | FRPSS: Feature Rearrangement in Pre-Shape Space for Single-Image Generation
[NO] 430/2000 | ProxiDex: Learning Dynamics-Guided Proximity Policy for Dexterous Manipulation
[NO] 431/2000 | The Fock representation of the Coulomb interaction. I. Two-body problem
[NO] 432/2000 | AsyncCouple-Flow: Asynchronous Cross-Modal Coupling and Flow Matching for Spatio-Temporal Forecasting
[NO] 433/2000 | Counterfactual Reasoning for Robust Visual Question Answering
[NO] 434/2000 | Probing multi-state dark matter via optical absorption lines in DESI spectra
[NO] 435/2000 | The chiral filter
[NO] 436/2000 | Structure-Driven Inversion: A New Paradigm for Solving Inverse Problems
[NO] 437/2000 | Bridging Between Statistical Mechanics and Black Hole Evolution: Theoretical Formalism
[NO] 438/2000 | QALPA: Property-guided diffusion modeling for efficient exploration of chemical spaces of flexible molecules
[NO] 439/2000 | Mixing time under monotone censoring
[NO] 440/2000 | Causal Path Analysis from Perturbational and Population-Scale Single-Cell Data with Multiscale Confounding and Measurement Error
[NO] 441/2000 | Exact Ionization Amplitudes for a Delta-Function Well in an Arbitrary-Strength DC Electric Field
[NO] 442/2000 | Design of an atmospheric dispersion corrector and double scrambler for improved fiber coupling and illumination uniformity for the HET HRS
[NO] 443/2000 | From Manual Construction to AI-Driven Scenario Emergence: Rethinking Catastrophe Risk Modeling
[NO] 444/2000 | PipeSwift: Revisiting Pipeline Parallelism for Large-Scale Completion-Oriented Agentic Serving
[NO] 445/2000 | A complete classification of the existence of finite-dimensional quantum solutions to inconsistent linear constraint systems
[NO] 446/2000 | Decoder Design Matters for ECG Delineation
[NO] 447/2000 | Error-Bounded Fixed-Point Design of Super-Sample-Rate IIR Filters for Real-Time Superconducting Qubit Flux Predistortion
[NO] 448/2000 | VPRef: A Cross-Domain Benchmark for Referring Remote Sensing Image Segmentation
[NO] 449/2000 | Asymptotic Stability of Multi-Solitons for Coupled Nonlinear Schrödinger Equations via the $\bar{\partial}$-Method
[NO] 450/2000 | On the Stability of Type II Blowup for the Keller-Segel System in High Dimensions
[NO] 451/2000 | Language Orthogonalization for Zero-Shot Cross-Lingual Audio Deepfake Detection
[NO] 452/2000 | An Alon-Boppana Bound for the Non-Backtracking Operator
[NO] 453/2000 | Agentic Societies Need a Social Harness
[NO] 454/2000 | Secular evolution of viscous and self-gravitating protoplanetary discs with magnetic winds
[NO] 455/2000 | Regularized barycentric Rényi divergences
[NO] 456/2000 | Enhanced thermal stability of SiGeSn by suppressing surface-mediated degradation
[NO] 457/2000 | Extending Andreotti's proof of Torelli's theorem to nodal curves
[NO] 458/2000 | Verifiable Social Reasoning for LLM Assistants
[NO] 459/2000 | Dissecting Motion-Prior Regularization for Data-Scarce Robotic Insertion
[NO] 460/2000 | Designing Homogeneous Ti-Nb-Fe-Sn $β$ Titanium Alloys by PBF-LB: A Pre-Alloyed Powder Blend Strategy
[NO] 461/2000 | Symmetry of the Klein-Gordon Equation under Disformal Transformations with Higher-Order Derivatives
[NO] 462/2000 | Improved calculation of the hyperfine structure of muonic helium
[NO] 463/2000 | One Arithmetic Gadget, Two Problems
[NO] 464/2000 | Bridging high-Q and Kerr-nonlinear photonics using modal phase matching
[NO] 465/2000 | CareMirror: Bringing Caregiver Wellbeing into the Dementia Care Ecosystem
[NO] 466/2000 | On energy conservation laws in the drift-reduced Braginskii model
[NO] 467/2000 | The Equivalence Principle in the Dark Sector in light of DESI
[NO] 468/2000 | Determinant maximization subject to a partition matroid constraint via stable distributions
[NO] 469/2000 | Closing the Loop: Bidirectional Fully Encrypted Protocols
[NO] 470/2000 | Running Hubble Constant with the Redshift as a Marker of Evolutionary Dark Energy
[NO] 471/2000 | Refining Timing Uncertainty from Logical Time Specification to Operation
[NO] 472/2000 | Exact Fusion and Coordinated Exploration in Multi-Robot Active Inference
[NO] 473/2000 | Spatially-resolved methane decomposition in a short glow discharge: insights into suprathermal hydrogen and radical chemistry
[NO] 474/2000 | Local energetic coupling enhances the expressivity of chemical computation
[NO] 475/2000 | Zero-Hopf bifurcation, periodic orbits and $C^{1}$ non-integrability of the classical Rössler system
[NO] 476/2000 | Generating Functions and the Entropy Hierarchy of Strongly Connected Digraphs
