[2026-05-12 11:22:26] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-11
正在获取论文...
[arXiv] 2026-05-11 | Coarse Menger property of quasi-minor excluded graphs and length spaces
[IEEE] 2026-5-11 | Fake Review Detection in Fashion E-commerce Using Machine Learning
[IEEE] 2026-5-11 | Comparative Analysis of Machine Learning Models for Clinical Risk Prediction
[IEEE] 2026-5-11 | Plant Disease Classification Using EfficientNetB3 for Tomato Leaf
[IEEE] 2026-5-11 | Deep Reinforcement Learning Combined with Lyapunov for Dynamic Resource Scheduling in Maritime Unmanned Swarms
[IEEE] 2026-5-11 | A Logical Evaluation of Healthcare Logistics Management and Supply Chain Performance through ICT-assisted Learning Approach.
[IEEE] 2026-5-11 | EVM Testing Method for Programmable RF Transceivers
[IEEE] 2026-5-11 | IMAC-Net for Interpretable Multi-Label ECG Classification via Multi-Scale Attention and Label Correlation
[IEEE] 2026-5-11 | WasteBelt: A CNN-Based Smart Waste Sorting System with Conveyor Automation and ESP32-CAM Integration
[IEEE] 2026-5-11 | BART-SCE: A Dialogue Summarization Model Enhanced by Sentence Centrality
[IEEE] 2026-5-11 | Aware of Latency Moving to Edge–Cloud Computing Collaborative Mobile Computing: Real-Time Decision-Making Algorithms
[IEEE] 2026-5-11 | LangChain Orchestrated Ecosystem for Token-Aware LLM Routing, Hybrid Semantic Retrieval and Explainable Conversational Automation with Dynamic Data Handling
[IEEE] 2026-5-11 | Design and Realization of BMC Trusted Startup Based on a Dual-Core System
[IEEE] 2026-5-11 | A Unified Generative AI System for Synthetic Image Creation and Detection
[IEEE] 2026-5-11 | Design and Evaluation of a Vertical-Axis Turbine for Renewable Electricity Generation in Water Distribution Systems
[IEEE] 2026-5-11 | Toward Intelligent Fault-Tolerant Quantum Computing: A Review of Google’s Willow Processor and AI Integration
[IEEE] 2026-5-11 | The Efficiency Comparison of Stroke Disease Prediction Models Using Machine Learning Techniques
[IEEE] 2026-5-11 | A Machine Learning Approach For Securing OTT Platforms: Threat Analysis and Detection
[IEEE] 2026-5-11 | Multi-Objective Scheduling for Large Language Model Inference with Prompt-Level Cost Prediction and SLO Awareness
[IEEE] 2026-5-11 | Smart Retrieval of Industrial Standards with LLM and Elastic search
[IEEE] 2026-5-11 | The Dual-core Simple-12: Design and Development of the World’s Smallest Multi-core Processor
[IEEE] 2026-5-11 | IoT-Enabled Water Quality Monitoring with Auto-Scalable Cloud DevOps Pipelines
[IEEE] 2026-5-11 | Detection of Corn Plant Diseases Using Advanced Deep Learning Architectures
[IEEE] 2026-5-11 | Joint Beamforming and Semantic Compression Algorithm for Integrated Sensing and Communication Networks with Transformer-Based Semantic Encoding
[IEEE] 2026-5-11 | Zero-Copy Proxy Tunneling via Linux Splice for Cloud Infrastructure
[IEEE] 2026-5-11 | On What GPT-Style Initialization Contributes to Sensor-Only Traffic Forecasting a Parameter-Matched Case Study on Two PEMS Benchmarks
[IEEE] 2026-5-11 | Dynamic Big Data Summarisation Using Transformer-Based Generative Models
[IEEE] 2026-5-11 | Constitutional Compass: A Retrieval-Augmented Generation Framework for Indian Legal and Constitutional Analysis
[IEEE] 2026-5-11 | Communication-Computation-Efficient Federated Learning with Sparse Aggregation and Shared Anchor Data
[IEEE] 2026-5-11 | Human and Machine: Reimagining Creativity through Artificial Intelligence in Visual Arts Practices
[IEEE] 2026-5-11 | Effective Intrusion Detection in Industrial IoT Networks Using a Hybrid GAN-CNN Framework
[IEEE] 2026-5-11 | Predictive Machine Learning Model for Accurate and Scalable Credit Risk Assessment in Digital Lending Platforms
[IEEE] 2026-5-11 | An Explainable Federated EfficientNet–Transformer Model for Lung Cancer Classification from Histopathological CT Images
[IEEE] 2026-5-11 | Kalman_MASAC: An Enhanced Reinforcement Learning Algorithm Optimised for Cloud-Edge-Device
[IEEE] 2026-5-11 | Exploring Heavy Metal Contamination of Plastic Polymers in EV Battery Packs
[IEEE] 2026-5-11 | DelowlightSplat: Feed-Forward Gaussian Splatting for Lowlight 3D Scene Reconstruction
[IEEE] 2026-5-11 | Automatic Road Extraction and Alert Generation for New Roads from Satellite Imagery
[IEEE] 2026-5-11 | PI-SGF: Physics-Informed Swin-GeoFormer for Unsupervised Pore Aspect Ratio Prediction in Reservoir Characterization
[IEEE] 2026-5-11 | ComSoc Training
[IEEE] 2026-5-11 | A Hybrid Modulation Strategy for Enhancing the Reactive Power Output Capability of Three-Phase Isolated DC-AC Matrix Converter
[IEEE] 2026-5-11 | Reddit as a Semantic Sensor: Forecasting Forex Movements via Emotionally Weighted Signals in Computational Social Systems
[IEEE] 2026-5-11 | Verification and Synthesis of Compatible Control Lyapunov and Multiple High-Order Control Barrier Functions
[IEEE] 2026-5-11 | HALO: Language-Conditioned Overhead Monocular Aerial Exploration and Navigation
[IEEE] 2026-5-11 | Novel Synthesis Design for Absorptive Frequency-Selective Reflector
[IEEE] 2026-5-11 | IEEE Transactions on Very Large Scale Integration (VLSI) Systems Society Information
[IEEE] 2026-5-11 | Modular High-Efficiency Bidirectional Isolated DC/DC Converter with Synchronous Control for Energy Storage System
[IEEE] 2026-5-11 | Robust Distributed Optimization for Multi-Agent Systems with General Linear Models
[IEEE] 2026-5-11 | Enhancing Mouth Stick Usability for People with Tetraplegia: A Quantitative Evaluation of UI Target Size and Placement
[IEEE] 2026-5-11 | Meta relation-aware Metric Learning Framework for Few-Shot Uncertain Knowledge Graph Completion
[IEEE] 2026-5-11 | Development of the Fully Automatic Robotic Storyteller – Comparing Manual, Semi-Automatic, and LLM-Based Emotional Story Annotation for Multimodal Robotic Storytelling
[IEEE] 2026-5-11 | Probabilistic Collision Risk Estimation through Gauss-Legendre Cubature and Non-Homogeneous Poisson Processes
[IEEE] 2026-5-11 | Robust Complete Synchronization of Coupled Boolean Networks with Stuck-at Fault
[IEEE] 2026-5-11 | Program Committee
[ACM] 2026-5-12 | Artificial intelligence tools in code quality analysis:A systematic review
[ACM] 2026-5-12 | Detecting AI-Generated News: A Comparative Study of Machine Learning and Large Language Models
[ACM] 2026-5-12 | Construction and Empirical Study of a Big Data-Driven Defect Prediction Model in Software Development*
[ACM] 2026-5-12 | YOLOv8-Based Real-Time Target Monitoring System for Multiple Scenarios
[ACM] 2026-5-12 | An Eye-Tracking Study on Lexical Emotionality and Semantic Transparency in Mongolian Reading Among Mongolian University Students
[ACM] 2026-5-12 | EEG-based Multiband Rhythmic Power Ratio Analysis During Hand Grasping Tasks for Post-Stroke Assessment
[ACM] 2026-5-12 | A Hybrid CNN-BiLSTM-Attention Model for ADHD Detection Using Heart Rate Variability
[ACM] 2026-5-12 | Gene Regulatory Network Inference via Graph Structure Learning
[ACM] 2026-5-12 | CDDDNet: A Cross-Domain Depression Detection Network Based on Transfer Learning
[ACM] 2026-5-12 | Entropy-Based Detection of Unknown Cell Type Using Deep Learning on Single-Cell RNA-Seq Data
[ACM] 2026-5-12 | Multimodal Assessment of Orthotic Intervention in Flatfoot Gait Using EMG and Plantar Pressure Analysis
[ACM] 2026-5-12 | Multiscale Mamba Model with Self-supervised Learning for Cross-subject EEG-based Epileptic Seizure Detection
[ACM] 2026-5-11 | Between YouTube and AI: Parental perspectives on technology in early childhood national identity education
[ACM] 2026-5-12 | Performance Evaluation of a Peer-to-Peer Service Framework Using UML and SPN
[IEEE] 2026-5-11 | Zero-Trust Architecture for Hybrid Cloud Security in Critical Infrastructures
[IEEE] 2026-5-11 | PotatoLeafNet: Deep Learning Approach for Potato Leaf Disease Identification
[IEEE] 2026-5-11 | Meta-Learning for Adaptive Dynamical System Characterization
[IEEE] 2026-5-11 | Gamifying Financial Literacy in the Digital Era
[IEEE] 2026-5-11 | Smart Healthcare Prediction Using Hybrid Machine Learning And Fuzzy Logic Systems
[IEEE] 2026-5-11 | CNN-Driven Model for Aerial and Satellite Image Classification and Feature Extraction
[IEEE] 2026-5-11 | AI-Augmented Optimization of High-Gain Circularly Polarized MIMO Dielectric Resonator Antennas
[IEEE] 2026-5-11 | Machine Learning Approaches For DDOS Attack Detection And Prevention: A Comprehensive Analysis
[IEEE] 2026-5-11 | IoT-Enabled Dynamic Load Profiling and Real-Time Tariff Optimization for Smart Energy Management
[IEEE] 2026-5-11 | A Compact L-Shaped Wearable Antenna on FR-4 Substrate for Medical Applications
[IEEE] 2026-5-11 | Robust Binary-to-Grayscale Image Restoration via ControlNet
[IEEE] 2026-5-11 | Automatic Detection of the Upper Respiratory Tract Infection from Speech Using Intrinsic Mode Mel Frequency Magnitude Coefficients
[IEEE] 2026-5-11 | Implementation of Edge-AI to Process Photographs on Mobile Devices: Compact Neural Network Models for Tracking Wildlife in Distant Forest Areas
[IEEE] 2026-5-11 | Deep Learning-Based Multi-Class Classification of Plant Leaf Diseases with CNN and VGG16
[IEEE] 2026-5-11 | Energy Efficient PV System Monitoring Using IoT and Hybrid World Cup Optimisation ANN Model
[IEEE] 2026-5-11 | EV Battery Health Prediction and Personalized Recommendations using LightGBM and SHAP
[IEEE] 2026-5-11 | Research on an Improved YOLO Network Architecture for Small Object Detection
[IEEE] 2026-5-11 | Multi-Class Anemia Classification from CBC Profiles Using a Feature-Refined and SHAP-Augmented Machine Learning Pipeline
[IEEE] 2026-5-11 | FinChronos: An Ensemble Model Framework for Stock Market Forecasting
[IEEE] 2026-5-11 | Secure Systems for the Air Force with 5G Communication: Improving Network Resilience and Real-Time Data Exchange for High-Intensity Operations
[IEEE] 2026-5-11 | Generative AI for Synthetic Cyber Threat Simulation and Defense Training
[IEEE] 2026-5-11 | Optimized ECG Based Detection of Heart Abnormalities Using Federated Machine Learning
[IEEE] 2026-5-11 | A Strategic Framework for Sustainable Technological Innovation in Volatile Global Environment
[IEEE] 2026-5-11 | An Optimized SVM Ensemble Framework with Deep Feature Extraction for Sugarcane Crop Disease Identification
[IEEE] 2026-5-11 | Deep Generative Adversarial Networks for Automating the Coloring of Images
[IEEE] 2026-5-11 | Narrative Driven Layered Image Generation For Character and Scene Composition
[IEEE] 2026-5-11 | SWOA: A Hybrid Sailfish–Whale Optimization Algorithm for Multi-UAV Path Planning in Complex Rescue Scenarios
[IEEE] 2026-5-11 | An Improved Coati Optimization Algorithm via Cubic Chaotic Initialization and Cauchy Mutation
[IEEE] 2026-5-11 | Kubeflow for Healthcare: Zero-Touch Model Retraining in HIPAA-Compliant Clouds
[IEEE] 2026-5-11 | An Integrated AI-Driven Optimization Framework for Energy-Aware, Low-Latency, and Reliable IoT Communication in Smart Healthcare Systems
[IEEE] 2026-5-11 | Maternal Health Risk Assessment with Interpretable Machine Learning: Evidence from Bangladesh
[IEEE] 2026-5-11 | Advancements in AI-Based MPPT Algorithms for Optimizing Solar Power Systems in Electric Vehicle Charging Stations
[IEEE] 2026-5-11 | IoT Based Smart Safety Mask for Real-Time Chemical Monitoring in Industrial Environments
[IEEE] 2026-5-11 | A Cloud-Edge Collaborative IoT Architecture for Intelligent Indoor Air Purification: System Design and Development
[IEEE] 2026-5-11 | Intelligent Task Scheduling for Humanoids with Novel Heuristic Prediction Control
[IEEE] 2026-5-11 | CB-DSIF: A Dual-Stream Interactive Fusion Model for Network Intrusion Detection Based on 1DCNN and BiGRU
[IEEE] 2026-5-11 | Real-Time Face Recognition System for Age and Gender Prediction: A Robust CNN-Ensemble Approach with IMDB-WIKI and UTKFace Datasets
[IEEE] 2026-5-11 | Zero-Shot Traffic Classification for Unseen Applications Using Convolutional Neural Network and Word2Vec
[ACM] 2026-5-12 | Requirement Mapping for Complex Equipment: An LLM-Enhanced GQFD Method
[ACM] 2026-5-12 | Cyber Digital Twin-Enabled Security Attack-Defense Target Range for Vocational Training
[ACM] 2026-5-12 | Resource-Level HTTPS Encrypted Traffic Dataset forWebsite Fingerprinting
[ACM] 2026-5-12 | The Use of Digital Methods in Dental Prosthetics and Temporomandibular Joint Diagnostics
[IEEE] 2026-5-11 | Table of Contents
[IEEE] 2026-5-11 | Table of Contents
[IEEE] 2026-5-11 | SPICSCON 2025 Cover Page
[IEEE] 2026-5-11 | Optimizing Phase-Scheduling with Throughput Trade-offs in AQFP Digital Circuits
[IEEE] 2026-5-11 | Hybrid VAE-PSO Strategy for Rapid and Reliable Inverse Design of Square-Loop FSS
[IEEE] 2026-5-11 | All-fiber-based interplay of bunched, noise-like and dissipative solitons in nearly zero-dispersion EDFL
[IEEE] 2026-5-11 | Design of Passive Optical Network Based O-RAN X-haul: A Systematic Approach
[IEEE] 2026-5-11 | Event-Based Secure Control for Cyber-Physical Power Systems Under Stochastic DoS Attacks
[IEEE] 2026-5-11 | Stability-Aware Communication via Weighted Potential Games for Multi-Agent Trajectory Prediction
[IEEE] 2026-5-11 | IEBench: Benchmarking Unlearning Identity-Event Entangled Concepts for MLLM-Based Systems in Agentic Edge Networks
[IEEE] 2026-5-11 | IEEE Transactions on Magnetics Institutional Listings
[IEEE] 2026-5-11 | IEEE What If
[IEEE] 2026-5-11 | Robust Distributed UAV Location and Beamforming Optimization via Multi-Agent RL and Convex Design in Multi-UAV Networks
[IEEE] 2026-5-11 | Two-Dimensional Constant Envelope Orthogonal Frequency Division Multiplexing
[IEEE] 2026-5-11 | I3CTCON 2026 Contributor Page
[IEEE] 2026-5-11 | Keyword Index
[IEEE] 2026-5-11 | A Utility-Aware Probabilistic Digital Twin Framework With CC-MPC for Hard-Compliance Real-Time Decision Support in Continuous-Flow Environmental Treatment
[IEEE] 2026-5-11 | Dynamic Sphere Envelopes and SFF-DMP for Real-Time Obstacle Avoidance in Space Cable Assembly
[IEEE] 2026-5-11 | Deep Learning–based RF Fingerprinting for Secure Physical-Layer Device Authentication
[IEEE] 2026-5-11 | 2026 IEEE International Conference for Convergence in Computing Technology (I3CTCON)
[IEEE] 2026-5-11 | OTFS-IM-Assisted Non-Terrestrial Networks Relying on Autoencoder-Aided Soft-Decision Detection
[IEEE] 2026-5-11 | Bi3D++: Hybrid Bi-domain Active Learning for Cross-domain 3D Object Detection_supp1-3688543.pdf
[IEEE] 2026-5-11 | Message from the Editor-in-Chief
[IEEE] 2026-5-11 | A Window to the World of Negative Refraction_supp1-3687512.pdf
[IEEE] 2026-5-11 | Physics-Informed Neural Network Based Noninvasive LC-Filter Parameter Estimation in Inverters
[IEEE] 2026-5-11 | Joint Beamforming and Position Optimization for FIRES-NOMA Assisted Wireless Communication Systems
[IEEE] 2026-5-11 | 3DRailNet: A Multifocal Cameras Fusion Network for Long-Range 3-D Rail-Track Detection
[ACM] 2026-5-11 | GeomeTrace: Development of a Mobile Application for Teaching Geometric Figures to Learners with Visual Impairments in the Philippines
[ACM] 2026-5-12 | K-Means-Driven Generative Design of Traditional Weight-and-Measure Cultural Products in the Digital Intelligence Era
[ACM] 2026-5-12 | Artificial Intelligence-Supported Library Information Organization and Retrieval Systems Research
[ACM] 2026-5-12 | Data-Driven Cinematic Aesthetics: Leveraging AI to Shape the Future of Visual Storytelling
[ACM] 2026-5-12 | Design and Verification of a Computer Vision-Based Real-Time Correction and Risk Warning System for Home Movement Posture
[IEEE] 2026-5-11 | Enhancing Alzheimer’s Detection Through Hybrid CNN–GCN Model of MRI Brain Scans
[IEEE] 2026-5-11 | Attitudes, Behaviors and Expectations Toward Filial Piety: An Analysis of Opinions Among Generation X and Generation Y in Thailand
[IEEE] 2026-5-11 | AI-Driven Traffic Congestion Prediction and Adaptive Signal Control Using Spatial–Temporal Graph Neural Networks
[IEEE] 2026-5-11 | Robust Off-Grid DOA Estimation Algorithm in Complex Non-Gaussian Environment
[IEEE] 2026-5-11 | Study of Access Region Sheet Resistance in Superlattice U-GaN HEMT and its Compact Modeling
[IEEE] 2026-5-11 | Edge-Intelligent Blockchain Framework for Federated Privacy-Preserving Medical Diagnostics
[IEEE] 2026-5-11 | Early Risk Prediction and Insurance Plan-Aware Referral for Diabetic Readmissions using Machine Learning
[IEEE] 2026-5-11 | Cyber Sentry - Protecting Users from Zero-Day Phishing
[IEEE] 2026-5-11 | Predicting Software Faults Using Machine Learning Models for Quality Improvement: An Empirical Study
[IEEE] 2026-5-11 | Disaster-Proof File Management Using Blockchain and IPFS for Data Security
[IEEE] 2026-5-11 | FAST-RRG: Efficient and Effective Retrieval-Augmented Generation for Chest X-Ray Report Generation
[IEEE] 2026-5-11 | Quantum-Aware Noise Modeling for Coherent ZR/ZR+ Optical Links Using QuTiP and OptiSystem: A Giant Step Toward Optical Digital Twins
[IEEE] 2026-5-11 | A Dual-Mode Cryptosystem Based on AES-256 a Key Generated by GEFFE to Secure Images.
[IEEE] 2026-5-11 | Multistage Classification of Sarcopenia Using Ensemble Learning
[IEEE] 2026-5-11 | Deep Learning Approaches for an Integrated Wildfire Prediction using Multimodal Data Fusion
[IEEE] 2026-5-11 | Quantum-Edge AI Framework for Real-Time Vehicle-Cargo Matching in Intelligent Transportation Systems
[IEEE] 2026-5-11 | Multi-Task Graph Attention Network for Kinematic Rehabilitation Exercise Analysis
[IEEE] 2026-5-11 | Smart Complaint Routing Systems for Public Issues Using Multimodal Artificial Intelligence
[IEEE] 2026-5-11 | DiaGen: An Explainable Multi-Agent Framework for Automated Diabetes Decision Support
[IEEE] 2026-5-11 | AI-Driven Neural Architecture Search for Scalable and Accurate Big Data Analytics in Cloud Environments
[IEEE] 2026-5-11 | Prediction of Energy Consumption Patterns of Smart Buildings Based on Data Mining Algorithm
[IEEE] 2026-5-11 | Construction of a Digital Twin System for Intelligent Welding Production Line Based on MES
[IEEE] 2026-5-11 | Crop And Fertilizer Recommendation System Using ML
[IEEE] 2026-5-11 | Generative Augmentation via Balanced Subset Ensembles for Imbalanced Tabular Data
[IEEE] 2026-5-11 | Optimized Elevator Systems Group Control Using Genetic Algorithms
[IEEE] 2026-5-11 | Swarm Robotics Intelligence for Autonomous and Adaptive Infrastructure Monitoring and Optimization in Artificial Intelligence Powered Smart Urban Cities
[IEEE] 2026-5-11 | A Systematic Analysis of Image Pre-processing Pipelines for Deep Learning-Based Grape Leaf Disease Classification
[IEEE] 2026-5-11 | Stacking Ensemble Classification Model for Network Intrusion Detection
[IEEE] 2026-5-11 | Eld-Era: A Hybrid Edge–Cloud Intelligent IoT Audio System for Medication Assistance and Family Interaction
[IEEE] 2026-5-11 | A Stacked Ensemble Framework for Accurate Breast Cancer Classification Using Stepwise LDA
[IEEE] 2026-5-11 | Remote Sensing Image Object Detection Method Based on RT-DETR and Super-Resolution Technology
[IEEE] 2026-5-11 | Research on Techniques for Enhancing Network Security Threat Detection and Intelligent Decision-Making Based on Artificial Intelligence
[IEEE] 2026-5-11 | Remote Sensing-Based LULC Classification of Bangladesh Using Google Earth Engine and Machine Learning
[IEEE] 2026-5-11 | Deep Learning for Diabetic Retinopathy Detection: An Elaborative Study Using Fundus Imaging and Generative Approaches
[IEEE] 2026-5-11 | Development of STM32 based controller board for Power Electronics Converters
[IEEE] 2026-5-11 | Interpretable AI for 3D Structural Recognition: A Lightweight Approach to Point Cloud Segmentation
[IEEE] 2026-5-11 | EduGen: A Multi-Model Generative AI Framework for Dynamic Educational Resource Synthesis
[IEEE] 2026-5-11 | Transfer Learning Based-Detection of Mango Leaf Diseases: A Case Study from Gajwel, Telangana
[IEEE] 2026-5-11 | TabNet-Driven Efficient DDoS Detection for High-Dimensional Network Traffic
[IEEE] 2026-5-11 | Intelligent Monitoring and Auto-healing System using Kubernetes in e-commerce
[IEEE] 2026-5-11 | Precision Optimization of Personnel Localization Based on a Grey Prediction Model in Complex Underground Scenarios
[IEEE] 2026-5-11 | Adaptive Reinforcement Learning Defense Against Jamming in Intelligent Wireless Edge Systems
[IEEE] 2026-5-11 | Comprehensive Approach to Cloud Security Using Trusted Mobile Cloud and Computing Technologies
[IEEE] 2026-5-11 | An Optimized Framework for E-catalog Categorization in Large-Scale Heterogeneous Datasets
[IEEE] 2026-5-11 | Online Learning-Based Beamforming for Time-Varying Near-Field XL-MIMO Channels
[IEEE] 2026-5-11 | Super-Twisting Sliding Mode Control of an ARVIN Bidirectional DC–DC Converter for V2G/G2V Applications
[IEEE] 2026-5-11 | A Comparative Analysis of Business-Driven Variational Autoencoder Models for Stable Customer Segmentation in E-Commerce
[IEEE] 2026-5-11 | Miniaturized Multi-Band THz Microstrip Patch Antenna for Next-Generation 6G Mobile Networks and Spectroscopic Applications
[IEEE] 2026-5-11 | Blockchain-Based Cybersecurity Solutions for Decentralized Network Management
[IEEE] 2026-5-11 | Improved Estimation of Wind Turbine Bearing Lifespan via Advanced Machine Learning Models
[ACM] 2026-5-12 | Geometric Reconstruction and Convex-Layer Tour Optimization for DNA Distance Matrices
[ACM] 2026-5-12 | AutoPoC: Automated Firmware Vulnerability Verification via Environment-Aware Feedback
[ACM] 2026-5-12 | Model combining time-frequency and attention mechanism for cloud computing workload forecasting
[IEEE] 2026-5-11 | Joint-Level Intent Recognition of Upper Limb based on XGBoost and Viterbi Decoding
[IEEE] 2026-5-11 | Copyright Page
[IEEE] 2026-5-11 | SPICSCON 2025 TOC
[IEEE] 2026-5-11 | Trust and Interaction-Driven Resilient Distributed Secure Learning Algorithm and Its Application
[IEEE] 2026-5-11 | Real-Time Continuous Object Segmentation Using High Temporal Resolution Event Cameras via Random-Coupled Empowering Neural Network Optimized by Chef Leader Algorithm
[IEEE] 2026-5-11 | Reactive Motion Generation via Phase-varying Neural Potential Functions
[IEEE] 2026-5-11 | A Three-Stage Vision-Based Transformer for Channel Gain Map Construction
[IEEE] 2026-5-11 | Meta-CT: A Meta-Learning-Based Spectrum Sensing Scheme Using CNN-Transformer for Low-Altitude Intelligent Networks
[IEEE] 2026-5-11 | Stacking Deep Neural Networks to Detect Multiple Types of Cardiac Arrhythmias
[IEEE] 2026-5-11 | Semantics-guided Reconstruction of Weak-Manhattan Indoor as-built BIMs from 3D Point Clouds
[IEEE] 2026-5-11 | Aging Behaviors of Ester-Insulated Oil–Paper Composite Systems under Combined Electrical and Thermal Stresses – Part II: Aging Characteristics and Microscopic Mechanisms of Oil-Impregnated Paper
[ACM] 2026-5-11 | The Role of AI-Related Micro-Credentials in Shaping Employment Designations of Bachelor of Science in Computer Engineering Graduates
[ACM] 2026-5-11 | AI-Based Python Virtual Lab Development
[IEEE] 2026-5-11 | Secure Fuzzy Tracking Control of Multiagent Systems: A Dynamic Sampled-Data-Based Event-Triggered Perspective
[IEEE] 2026-5-11 | Hybrid GRU-Based Pointer-Generator Model for Legal Clause-Level Summarization
[IEEE] 2026-5-11 | Enhancement of Smart Antenna Systems Driven by Artificial Intelligence for Optimal Performance in Upcoming 5G and 6G Networks in Real Time
[ACM] 2026-5-12 | Event-Level Cough Detection Using a Whisper-Based Foundation Model
[ACM] 2026-5-12 | High-Speed Railway Perimeter Intrusion Detection Using CNN-LSTM-HMM Based on UWFBG Sensing Network
[ACM] 2026-5-12 | Deep Reinforcement Learning for Optimal Building Energy Management in Sustainable Interior Design
[IEEE] 2026-5-11 | A Hybrid Complex-Valued CNN-Conformer Architecture for Specific Emitter Identification
[IEEE] 2026-5-11 | Enhancing Deepfake Detection with an Ensemble of Specialized Neural Networks
[IEEE] 2026-5-11 | An Encrypted Deduplication Cloud Storage System with Efficient Data Access by Using the Pipelined Mechanism
[IEEE] 2026-5-11 | Energy Management and Techno-Economic Optimization of a Hybrid PV/Wind/Diesel/Battery Microgrid Using Metaheuristic Algorithms
[IEEE] 2026-5-11 | Time–Frequency EEG Feature Extraction for Hand Gesture Recognition Using CNN-BiLSTM Architecture: A Temporal Dynamics Analysis
[IEEE] 2026-5-11 | Towards 6G: A Compact High-Efficiency Triple-Band Microstrip Antenna for mmWave Applications
[IEEE] 2026-5-11 | A Personalized Course Recommendation System Using Semantic Similarity for Bridging the Skills Gap
[IEEE] 2026-5-11 | Transformer-based Deep Learning Framework for Intrusion Detection in Smart Grids
[IEEE] 2026-5-11 | Clinical Decision Support System for Multi-Class Cancer Classification Using Machine Learning
[IEEE] 2026-5-11 | A Robust Dual-Stream Microseismic Phase Picking Model on Ocean Bottom Seismometers
[IEEE] 2026-5-11 | Code Sphere Ledger: A Blockchain-Based Freelancing Ecosystem Leveraging Smart Contracts and NFTs for Trust and Transparency
[IEEE] 2026-5-11 | A Comparative Study of Statistical and Recurrent Neural Network Models for Next-Word Prediction in Marathi
[IEEE] 2026-5-11 | Ensemble Deep Learning Framework for Automated Diabetic Retinopathy Detection using EfficientNet Models
[IEEE] 2026-5-11 | PEIN: Perceiver-Based External Information-Enhanced Network for Fake News Detection
[IEEE] 2026-5-11 | Acad Sync - Advancing AI-Enabled Personalized Education
[IEEE] 2026-5-11 | VaultX: A Decentralized and Secure Framework for Verifiable Document Management
[IEEE] 2026-5-11 | TRIDENT: An AI-Powered Observability Framework for Distributed Microservices
[ACM] 2026-5-12 | Multi-view point cloud registration method based on single-camera dual-sphere rotation axis calibration
[ACM] 2026-5-12 | Design of a Vocal Audio Feature Extraction and Teaching Correction Assistance System Integrating CNN and LSTM
[ACM] 2026-5-12 | Movie Box Office Prediction via Dynamic SD-SIR Model and Social Media Sentiment
[IEEE] 2026-5-11 | Research on Wearable Biomedical Sensor Data Anomaly Detection Model and Algorithm Based on Neural Network
[IEEE] 2026-5-11 | Elevation-Adaptive Weighted Joint Estimation for Positioning and Synchronization in Single-Satellite LEO IoT Networks
[IEEE] 2026-5-11 | Optimize Diagnosis and Secure Medical Records: Apply Federated Learning Frameworks by Integrating Blockchain with AI-Driven Healthcare
[IEEE] 2026-5-11 | Reconfigurable 2-D-Array EM-Resonator for Crack Orientation and Profile Monitoring
[IEEE] 2026-5-11 | BF-YOLO: YOLOV11 with BiFPN for Efficient Multi-Scale Object Detection
[IEEE] 2026-5-11 | Bond Graph Linear Functional Observer for Sensor Fault Diagnosis
[IEEE] 2026-5-11 | Phoneme-Viseme Mapping Challenges: Marathi Visual Lip-sync
[IEEE] 2026-5-11 | Compact Slotted Hexagonal MIMO Antenna with Enhanced Isolation for Advanced 5G Sub-6 GHz Applications
[IEEE] 2026-5-11 | Intelligent Identification and Localization Method for Cable Fault Types Based on Deep Residual Network and Reflection Method
[IEEE] 2026-5-11 | AI-Driven Compliance and Audit Framework for Manufacturing Infrastructure in Automotive Connected Services and Financial Ecosystems
[IEEE] 2026-5-11 | Lightweight High-Throughput Screening of Flavor Formulations Based on Graph Neural Networks
[IEEE] 2026-5-11 | An Optimised U-Net with Quantum Particle Swarm Optimisation for Multimodal MRI Brain Tumour Segmentation
[IEEE] 2026-5-11 | Enhancing Data Privacy in Edge Computing Through Hybrid Machine Learning and Blockchain Technologies
[IEEE] 2026-5-11 | Physical Layer Identity Authentication in Optical Networks Based on Active Feature Embedding and Deep Learning
[IEEE] 2026-5-11 | Visible and Low-Resolution Infrared Images Fusion Detection Under Low-Visibility Conditions
[IEEE] 2026-5-11 | X-Ray Intelligence: Instant Hand Bone Fracture Detection &amp; Localisation Using Yolov8 Deep Learning Model
[IEEE] 2026-5-11 | When Fixed Thresholds Fail: A Negative Result Study of Reconstruction-Based GNN Anomaly Detection on SWaT
[IEEE] 2026-5-11 | Augmented Reality Assisted Drone Navigation with AI-Based Obstacle Detection for Enhanced Human Drone Interaction
[IEEE] 2026-5-11 | AngerNet: HyperFused Multi-Stream CNN–Transformer Architecture for Real-Time Anger Detection via Facial Muscle Tension Mapping
[IEEE] 2026-5-11 | Reduced THD Seven Level Switched Capacitor inverter with Self Capacitor Balancing Capability
[IEEE] 2026-5-11 | Blockchain-Enabled IoT Biometric Pad for Secure Digital Rental Agreements with eStamp Integration
[IEEE] 2026-5-11 | Phishing Urls Detection Using Machine Learning Models
[IEEE] 2026-5-11 | A Deep Learning Based Intrusion Detection Framework for Smart Grids using CGAN, CNN, and SVM
[IEEE] 2026-5-11 | GraphRAG-Driven Multi-Stage Context Retrieval for Thai Text-to-SQL Using SLM Agents
