[2026-04-18 09:51:02] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[IEEE] 2026-4-17 | Concurrent Dual-Band Quadrature Phase Shift Frequency-Selective Receiver
[IEEE] 2026-4-17 | Two-Stage Risk-Based Scheduling for Electricity-Biogas Rural Microgrids with Biomass Fermentation
[IEEE] 2026-4-17 | Interaction Mechanism Analysis of Rainstorm‑Induced Disruptive Incidents in Power and Transportation Systems
[IEEE] 2026-4-17 | Generative AI for Analyzing Participatory Rural Appraisal Data: An Exploratory Case Study in Gender Research
[IEEE] 2026-4-17 | LPCG: A Capture Activity-Aware Technique for Low-Power Scan Testing
[IEEE] 2026-4-17 | Convolutional Neural Networks for Energy Estimation in High-Energy Calorimetry
[IEEE] 2026-4-17 | Assessing the Limitations of Activation Clipping for Fault Mitigation in Vision and Language Transformers
[IEEE] 2026-4-17 | A Textile Antenna Embedded in Traditional Attire for Body-Centric Communication
[IEEE] 2026-4-17 | A Conceptual Framework for Enhancing Sustainability of Halal SMEs in Malaysia Using Blockchain Technology
[IEEE] 2026-4-17 | Wearable Fractal Antenna for 1.575 GHz of Global Positioning System and 2.4 GHz of Wireless LAN Applications
[IEEE] 2026-4-17 | Empowering Social Interventions: An Adaptive Monitoring Solution with Integrated NLP Analytics
[IEEE] 2026-4-17 | Enhancing Access to Health Information for Adolescent Girls in Bangladesh Through a Culturally Responsive AI Chatbot
[IEEE] 2026-4-17 | AI's Influence on Gender Representation and Societal Norms in Emerging Technologies
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters Information for Authors
[IEEE] 2026-4-17 | COOPMamba: Efficient Vehicle-to-Vehicle Cooperative Perception based on 3-D Point Clouds
[IEEE] 2026-4-17 | Three-wavelength laser interferometric absolute measurement technique for static/dynamic composite signals
[IEEE] 2026-4-17 | 2025 10th International Conference on Computer and Communication Engineering (ICCCE)
[IEEE] 2026-4-17 | Free-Running EPI Motion Tracking in MRI via Gradient-Coupled Coil Signal
[IEEE] 2026-4-17 | A Modular Coupled Inductor-Based Regenerative Cascaded Multicell Converter for Medium Voltage Drive
[IEEE] 2026-4-17 | Case Study: Exploring nMR Implementations for Energy Monitoring in Telecom Base Stations Under Non-Ionizing Radiation
[IEEE] 2026-4-17 | Impact of Alpha-Induced Single Events on the Inference Confidence of Quantized Neural Networks on Cortex-M
[IEEE] 2026-4-17 | On the Study of Development of Broadband Pyramidal Microwave Absorber Using Date Palm Leaf Waste: A Sustainable Approach
[IEEE] 2026-4-17 | Evaluating the Usability, Performance, and Cost-Efficiency of Deploying ML Models on Cloud Computing Platforms
[IEEE] 2026-4-17 | Gendering Digital Inclusion: A Study on Kudumbashree Women's Access, Awareness and Empowerment
[IEEE] 2026-4-17 | Social Dynamics of Energy Transition: Gender and Cultural Implications in Rural India
[ACM] 2026-4-17 | Hierarchical Single-Event Effect Avoidance and Handling Methods for TT&amp;C Links of GEO All-Electric Propulsion Orbit-Injection Satellites
[ACM] 2026-4-17 | A Survey of Model Inversion Attacks: An Interface-Prior Perspective
[IEEE] 2026-4-17 | A Deep Neural Network Optimization Framework Based on Optimal Transport Bridge Feature Selection and Sparse Representation
[IEEE] 2026-4-17 | Confidence Matters: Balanced Pseudo-Label Selection for Semi-Supervised Few-Shot Learning
[IEEE] 2026-4-17 | NeuroHBM: A 3D-Integrated Neuromorphic Processing-in-Memory Architecture Using HBM
[IEEE] 2026-4-17 | Memristor-Based Directional Forgetting Neural Network Circuit With Emotion Memory and Its Application in Intelligent Robots
[IEEE] 2026-4-17 | Certification of Linear Inclusions for Nonlinear Systems
[IEEE] 2026-4-17 | Thin Magnetic Sensor for Angle Measurement in Folding Structures
[IEEE] 2026-4-17 | iFuzz-Meta: An Interpretable Fuzzy Learning Framework Bridging Top-Down and Bottom-Up Knowledge Integration_supp1-3683688.pdf
[IEEE] 2026-4-17 | RUOD-R: A High-Fidelity Re-Annotated Benchmark for Underwater Object Detection
[ACM] 2026-4-17 | Using Task Graph Caching to Accelerate TVM Code Generation
[ACM] 2026-4-17 | Semantic Graph Based Learning for Trend Prediction from Long Financial Documents
[IEEE] 2026-4-17 | Breaker Page
[IEEE] 2026-4-17 | Keynote Speaker: “Cloud Remote System with AI Chatbot”
[IEEE] 2026-4-17 | Embedded Tutorial: Security in Reconfigurable Scan Networks
[IEEE] 2026-4-17 | Web-Based Disaster Detection and Impact Prediction: Integrating Gender Perspectives for Inclusive Disaster Resilience
[IEEE] 2026-4-17 | From Shadows to Solutions: A Kaleidoscopic Approach to Safety
[IEEE] 2026-4-17 | Implementation of Convolutional Neural Networks with Transfer Learning for Brain Tumor Detection Using Large-Scale Magnetic Resonance Image Datasets
[IEEE] 2026-4-17 | Design of a RISC Processor-Based Data Acquisition System for a 3D Vibration Analyzer
[IEEE] 2026-4-17 | Improving Harmful Brain Activity Classification Model with Electroencephalography Spectrogram Using Transfer Learning
[ACM] 2026-4-17 | Environment Perception and Remote Control Method for Intelligent Power Box Oriented to Secure Communication
[ACM] 2026-4-17 | Improved Classical Meet in the Middle Nostradamus Attack
[ACM] 2026-4-17 | Governing Cybersecurity for Small Developing State - Challenges, Drivers and Way Ahead
[ACM] 2026-4-17 | Improved quantum differential Meet-In-The-Middle attack and some applications
[ACM] 2026-4-17 | UAV Intrusion Detection Based on iTransformer for MAVLink Message ID Sequence
[IEEE] 2026-4-17 | A New Construction Structure on Coded Caching with Linear Subpacketization: Non-Half-Sum Disjoint Packing
[IEEE] 2026-4-17 | A 25/75 GHz 2TX–4RX FMCW Radar Transceiver Utilizing Non-uniform Linear Arrays and Phase Dithering to Achieve 5.1° Angular Resolution
[IEEE] 2026-4-17 | Mitigating the Lateral Movement of APT in IIoT with an Efficient Moving Target Defense and Cyber Deception Approach
[IEEE] 2026-4-17 | Structure-Function Aware Evolutionary Multitasking for Therapeutic Peptide Co-discovery_supp1-3684226.pdf
[IEEE] 2026-4-17 | Parallelizable Complex Neural Dynamics Models for PMSM Temperature Estimation with Hardware Acceleration
[IEEE] 2026-4-17 | TunCLIP: Adaptive Multi-Scale Zero-Shot Anomaly Detection Via Vision-Language Feature Infiltration and Semantic Enhancement
[IEEE] 2026-4-17 | IDEA: Automated Design Space Exploration for Visualization Design
[IEEE] 2026-4-17 | A New Setup of the STEM Lab to Enhance Creative Collaboration Among Deaf Students_supp1-3679541.pdf
[IEEE] 2026-4-17 | UWASR-GAN: An Attention-Guided Multi-Scale Residual Framework for Underwater Image Enhancement in Underwater Internet of Things Applications
[IEEE] 2026-4-17 | Spectral-Bounded Consistency Certification for Heterogeneous Wireless Sensor Networks
[IEEE] 2026-4-17 | Pipelining Split Learning in Multi-hop Edge Networks
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp5-3683863.mp4
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp2-3683863.mp4
[IEEE] 2026-4-17 | Low-Light Enhancement via Encoder-Decoder Network with Illumination Guidance
[IEEE] 2026-4-17 | FedDSC: A Federated Learning Framework for Driving Style Profiling
[IEEE] 2026-4-17 | Dynamic Feature Fusion Learning for Efficient and Accurate Skin Cancer Lesion Segmentation
[IEEE] 2026-4-17 | Featurization and Visualization for City Tourism Analysis Utilizing Posted Photographs on SNS
[ACM] 2026-4-17 | A SOTIF-Oriented Framework for Safety Assessment in Autonomous Vehicles using Integrated Fault Tree and Bayesian Network Analysis
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | Towards Robust Receiver-Invariant Specific Emitter Identification via Multi-Task Adversarial Learning
[IEEE] 2026-4-17 | BC-GTM: A Bidirectional Causal Graph Transformer Mapping for Modeling Brain Structural and Functional Connectivity
[IEEE] 2026-4-17 | RSPoint-SAM: A SAM-driven method with cross-aware feature fusion for point supervised segmentation
[IEEE] 2026-4-17 | IEEE Vehicular Technology Society Publication Information
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters publication information
[IEEE] 2026-4-17 | Introducing IEEE Collabratec
[IEEE] 2026-4-17 | Optimized Motion Planners for Virtual-Joint Soft Growing Manipulators in Static Environments_supp1-3684202.pdf
[IEEE] 2026-4-17 | Physics-Informed Multi-Head Attention-Based SOC Estimation for LFP Batteries Using Only Measured Signals
[IEEE] 2026-4-17 | UT-Planner: Energy-Efficient Trajectory Planner for Unmanned Ground Vehicles on Uneven Terrain
[IEEE] 2026-4-17 | A 3D-Printed Multilayer Conformal FSS for Ultrawideband Electromagnetic Shielding
[IEEE] 2026-4-17 | “Who has the Time?”: Understanding Receptivity to Health Chatbots Among Underserved Women in India
[IEEE] 2026-4-17 | RESQ: A Unified Framework for ReLiability- and SEcurity Enhancement of Quantized Deep Neural Networks
[IEEE] 2026-4-17 | Prototype-based Multi-dimension Intensity Mapping Density Sampling Network for Corrosion Segmentation
[IEEE] 2026-4-17 | Vision-Language Collaborative Representation Learning for Action Quality Assessment
[IEEE] 2026-4-17 | A Heterogeneous Protocols Compatible External Guidance System for Electro-Optical Telescopes in Distributed Networks
[IEEE] 2026-4-17 | Two-Layer Robust Optimal Configuration of Photovoltaic-Storage-Charging Systems for Highway Microgrids Integrating Charging Load Prediction
[IEEE] 2026-4-17 | Front Cover
[IEEE] 2026-4-17 | On-Site Precise Diagnosis of COVID-19 Using an Attention-Based PLS-1D-CNN Model With Biomolecular Infrared Signatures
[IEEE] 2026-4-17 | Gate-Field-Plated InGaO High-Voltage TFT on a Si Substrate with a Breakdown Voltage of 1348 V
[IEEE] 2026-4-17 | Transfer Learning for Data-Efficient Magnetic Core Loss Modeling in Electrical Machines via Parametric Homogenization and Neural Networks
[IEEE] 2026-4-17 | Copyright Page
[IEEE] 2026-4-17 | Copyright Page
[IEEE] 2026-4-17 | Sri Mata Amritanandamayi Devi (Amma)
[IEEE] 2026-4-17 | T
                    <sup>3</sup>
                    AT: Threshold-Authorized, Threshold-Redeemable, and Non-Transferable Anonymous Tokens
[IEEE] 2026-4-17 | Learning to Generate Preferences for Multiobjective Deep Learning_supp1-3680097.pdf
[IEEE] 2026-4-17 | A Novel Hybrid Global Maximum Power Point Tracking Algorithm Based on Neural Network Surrogate Model
[IEEE] 2026-4-17 | Detecting Audio Adversarial Examples Using Filtering Method Based on Spectral Subtraction
[IEEE] 2026-4-17 | Design and Reliability Analysis of a Pipeline RISC-V Processor Core
[IEEE] 2026-4-17 | LA-SCG: Layout-Aware Scan Chain Grouping for Peak Shift Power and IR-Drop Mitigation in Scan-Based Testing
[IEEE] 2026-4-17 | Deep Learning-Based Early Detection of Retinopathy of Prematurity from Retinal Images of Preterm Infants
[IEEE] 2026-4-17 | Leveraging Technology - Effects of Wearable Devices on Women in Kerala: Insights from a Mixed Method Study
[IEEE] 2026-4-17 | AI Technology-Based Communication Training as Preventive Measure to Deal with Breaking Bad News and Healthcare Violence
[IEEE] 2026-4-17 | Development of Online Power Energy Monitoring System Using Internet of Things (IoT)
[IEEE] 2026-4-17 | Stretchable Distributed Fiber Bragg Grating for Sensor Applications
[IEEE] 2026-4-17 | Utilizing Machine Learning Algorithms for Diagnosing Diabetic Retinopathy
[IEEE] 2026-4-17 | Data-Driven Prediction of MBA Admissions: Utilizing Extra Trees and Grid Search for Model Enhancement
[ACM] 2026-4-17 | Adaptive RLWE-Based Lightweight Mutual Authentication Protocol for Medical RFID Systems
[IEEE] 2026-4-17 | Adaptive Neural Network Optimization of Vehicle Start-Stop Systems Using Digital Twin Framework
[IEEE] 2026-4-17 | Efficient Control of a Bidirectional DC-DC Converter for Battery Charging and Discharging in Electric Vehicle Motor Drives
[IEEE] 2026-4-17 | A Large-dimensional Analysis of ESPRIT DoA Estimation: Inconsistency and a Correction via RMT
[IEEE] 2026-4-17 | Data-Oriented Parallel-in-Time Electromagnetic Transient Simulation of AC-DC Grid
[IEEE] 2026-4-17 | Multi-dimensional Hypergraph Fusion Network: A Novel Approach for Pediatric Seizure Detection Using Multimodal Physiological Signals
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | Research on Risk Assessment Method for Urban Dense Cable Trenches Based on Improved Arrhenius Formula and Spatial Inversion Algorithm_supp1-3678730.doc
[IEEE] 2026-4-17 | Dynamic Resource Allocation in Maritime Unmanned Networks: A Hybrid Approach of Three-Sided Matching and Reinforcement Learning
[IEEE] 2026-4-17 | SceneGlue: Scene-Aware Transformer for Feature Matching without Scene-Level Annotation
[IEEE] 2026-4-17 | Diffusion-driven RGB-D Salient Object Detection with Temporal Modulation
[IEEE] 2026-4-17 | Author Index
[IEEE] 2026-4-17 | A Bilateral Attribute-Aware State Space Model for Pan-sharpening
[IEEE] 2026-4-17 | Mapping Afghanistan's Mineral Diversity with NASA EMIT Hyperspectral Data: Spatial-Spectral Transformer Versus CNN for Geo-Mineralogical Classification
[IEEE] 2026-4-17 | A Two-Round Threshold EdDSA Signature with UC Adaptive Security Based on HPS_supp1-3684478.pdf
[IEEE] 2026-4-17 | Table of Contents
[ACM] 2026-4-17 | A Quantum-Secure Authentication Protocol For UAV-GS Communications
[ACM] 2026-4-17 | PUF-Enhanced Lightweight Authentication and Key Agreement for UAV Networks
[ACM] 2026-4-17 | Client-Led Game/Simulation Projects' Effects on Motivation and Career Readiness
[IEEE] 2026-4-17 | Analysis and Synthesis of Fully Soft-Switching Flying-Capacitor based Quasi-Resonant DC–DC Converters
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp3-3683863.mp4
[IEEE] 2026-4-17 | Metamaterial-Based Structures for Mutual Coupling Reduction Technique and Performance Enhancement in 5G Smartphone MIMO Antennas: A Systematic Review
[IEEE] 2026-4-17 | PI-YOLO: An Efficient Detector for Power Line Inspection using Aerial Images
[IEEE] 2026-4-17 | Improving Satellite Imagery Segmentation Using Multiple Sentinel-2 Revisits
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | A Distributed Plug-and-Play MCMC Algorithm for High-Dimensional Inverse Problems
[IEEE] 2026-4-17 | NASA Multi-Frequency Radar for Hydrometeor Phase Identification
[IEEE] 2026-4-17 | Diffusion Distillation for Remote Sensing Salient Object Detection
[IEEE] 2026-4-17 | List of Reviewers
[IEEE] 2026-4-17 | Investigating Multi-Channel Performance in Mesh Wireless Networks-on-Chip Design
[IEEE] 2026-4-17 | Multi-Stage Machine Learning Model for Classification and Prediction of Learners
[IEEE] 2026-4-17 | Case Study: Improving the Robustness of Photonic Neural Networks Against Memory Faults
[IEEE] 2026-4-17 | Does LLM Generated Code Smell?
[ACM] 2026-4-17 | Proceedings of the 2025 15th International Conference on Communication and Network Security
[ACM] 2026-4-17 | Optimized Diamond Structure Construction and Its Application to Enhanced MITM Nostradamus Attacks to Enhanced MITM Nostradamus Attacks
[IEEE] 2026-4-17 | A Comprehensive Methodology for Synthesis of Cylindrical Leaky-Wave Metasurface Antennas
[IEEE] 2026-4-17 | An FPGA-Efficient CNN Accelerator for Hybrid Model Compression With Scalable Bit-Serial and Bit-Parallel MAC
[IEEE] 2026-4-17 | Dual-Mode Equilateral Triangular Resonator With Slit for Material Sensing
[IEEE] 2026-4-17 | Dual-Path Hybrid Network for Boundary-Aware Segmentation and Angle of Progression Measurement in Intrapartum Ultrasound
[IEEE] 2026-4-17 | Trip Detection Algorithms for Healthy and Amputee Individuals
[IEEE] 2026-4-17 | LADNet: A Lightweight Axial-Depthwise Network for Phase Unwrapping and Fading Suppression in ϕ-OTDR
[IEEE] 2026-4-17 | An Inertial and Array-Pressure Multimodal Fusion Sensor System for Robust Zero-Velocity Detection in Pedestrian Navigation
[IEEE] 2026-4-17 | Response Surface-Based Optimization of Plasma-Activated Water Generated by Air Multipin-to-Water Discharge for Sustainable Microalgae Cultivation_supp1-3680788.pdf
[IEEE] 2026-4-17 | Task-Oriented Predict-then-Optimize Framework for Channel Prediction and Handover Decision
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | Insertion-Withdrawal, Contact Behavior and Temperature Rise of a Cantilevered Reed Type Electrical Connector
[IEEE] 2026-4-17 | Machine Learning and Network Analysis for Cross‑Border Suspicious Transaction Detection: Evidence from the FinCEN Files
[IEEE] 2026-4-17 | Anchor-SAM: Active Mining of Latent Anchors from SAM Encoder for Road Extraction
[IEEE] 2026-4-17 | Cross-Phase Knowledge Transfer via Variable Space Alignment for Expensive Incremental Optimization_supp1-3684126.pdf
[IEEE] 2026-4-17 | <i>E</i>
                    <sup>2</sup>
                    -Former: An Edge-Enhanced Transformer for UAV-Based Small Object Detection
[IEEE] 2026-4-17 | Resilience Analysis of a Fault-Tolerant MPSoC Interconnection Architecture Under SEU Fault Injection
[IEEE] 2026-4-17 | Utilizing Deep Reinforcement Learning for Task Offloading and Resource Management in MEC-Enabled 6G Networks
[IEEE] 2026-4-17 | Validation of Spectroscopy Performance and Calibration in Compliance with ISO Standards
[IEEE] 2026-4-17 | Resilient Autonomy: Securing Intelligent Systems Against Adversarial Attacks
[IEEE] 2026-4-17 | Penetration Testing Analysis on IP Cameras in IoT Ecosystems
[IEEE] 2026-4-17 | Secure and Scalable Data Sharing in IoT Environments with Blockchain Integration
[IEEE] 2026-4-17 | Blended Learning for Women's Business Development in Rural India: Enhancing Technology Adoption and Bridging the Gender Digital Divide
[IEEE] 2026-4-17 | Enforcing Privacy-By-Design: A Policy-Guided Synthetic Data Generator for GenAI Workflows
[IEEE] 2026-4-17 | Interactive Evolutionary Computation with User Preference Estimation Based on Gaze Information
[IEEE] 2026-4-17 | Transmitter Placement Optimization Using 3D Ray Tracing and PSO in Metallic Environments
[IEEE] 2026-4-17 | Optimization of Prediction Model for the Determination of Free Fatty Acid for Crude Palm Oil
[IEEE] 2026-4-17 | Modelling of Hot-Spot Temperature and Loss-of-Life for Non-Thermally and Thermally Upgraded Paper in ONAN Transformer Based on IEC 60076-7
[ACM] 2026-4-17 | Solving the Brewery Problem with Object-Oriented Design
[IEEE] 2026-4-17 | Title Page
[IEEE] 2026-4-17 | A Novel Angle Standard Using Time Grating With an Accuracy of ±0.005${}^{\prime\prime}$
[IEEE] 2026-4-17 | Model Order Reduction for Three-Dimensional Inversion of Airborne Transient Electromagnetic Data
[IEEE] 2026-4-17 | AI-Native O-RAN Architectures for 6G: Towards Real-Time Adaptation, Conflict Resolution, and Efficient Resource Management
[IEEE] 2026-4-17 | Indoor Experimental Trial on AI-Based Pilotless Transmission
[IEEE] 2026-4-17 | Hybrid Data/Model-Driven Whole-System Admittance Identification via Single-Bus Injections
[IEEE] 2026-4-17 | Performance-Enhanced Adaptive Finite-Time Accurate Control of Uncertain Hydro Turbine Governing System with External Disturbances
[IEEE] 2026-4-17 | Stroke-Based Perception: Discover Novel Oracle Characters
[IEEE] 2026-4-17 | A 95.86%-Effieient 48V/1.8V ZVS Voltage Regulator Based on Current Ninefold Rectifier
[IEEE] 2026-4-17 | COMET: Co-Optimization of CNN Models Using Efficient-Hardware OBC Techniques
[IEEE] 2026-4-17 | Parameter Estimation Based on Coupled Canonical Polyadic Decomposition for FDA-MIMO Radar With Unfolded Coprime Framework
[IEEE] 2026-4-17 | Comparative Performance Evaluation of Large Language Models for Domain-Specific Web Content Extraction
[IEEE] 2026-4-17 | Mitigation of SETs Under Process Variability Effects: Circuit-Level Strategies for Reliable Design
[IEEE] 2026-4-17 | Fast Statistical Estimation of Circuit-Level Cross Section Considering Logical Masking Effects
[IEEE] 2026-4-17 | Corrections to “Unbiased Estimation of Three-Dimensional Deformation From SAR Interferometry and GNSS Observations”
[IEEE] 2026-4-17 | Multi-Channel Chitosan Coated Quartz Crystal Microbalance Device for Continuous Detection of Isopropyl Alcohol
[IEEE] 2026-4-17 | Gender Inclusivity in Technology- Enhanced Teacher Education in Ghana
[IEEE] 2026-4-17 | Gender Dynamics of Cyber Security Awareness in Kerala, India: Statistical and Machine Learning Approach
共写入 698 条记录，保存到 papers/paper2026-04-17.json。
论文获取成功，文件路径: papers/paper2026-04-17.json
正在筛选、翻译并发送邮件...
[NO] 1/698 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[NO] 2/698 | Parasite: A Steganography-based Backdoor Attack Framework for Diffusion Models
[NO] 3/698 | Unraveling the Key of Machine Learning-based Android Malware Detection
[NO] 4/698 | Data Feminisms for Intersectional Climate Justice in Artificial Intelligence
[NO] 5/698 | Analysis of the Relationship Between Visual Cognitive Impairment and Neural Network Damage
[YES] 6/698 | Automatic Enhancement of Cell Models to Enable Conditional Stuck-at Fault Simulation and Pattern Generation
[NO] 7/698 | IoT and Mobile Application for Visualization and Control for Drum-Type Hydroponic System
[NO] 8/698 | Adaptive Power Allocation and User Scheduling for LEO Satellites using Channel Predictions
[NO] 9/698 | Early-Stage Detection of Encrypted Malware Traffic via Multi-flow Temporal Graph Learning
[NO] 10/698 | DRL-Optimized UAV-Relayed 6G Multicast/Broadcast for Over-the-Air IoT Firmware Updates
[NO] 11/698 | UAV-Enabled Multi-Tier Mobile Edge Computing for Heterogeneous Dual-Source Multi-Modal Tasks
[NO] 12/698 | Change-LISA: Language-Guided Reasoning for Remote Sensing Change Detection_supp1-3684817.pdf
[NO] 13/698 | Seismic Inversion by Integrating Rock Physics Modeling and Deep Learning
[NO] 14/698 | Miniature intraoral robot (MIR) for minimally invasive tooth preparation_supp1-3682629.pdf
[NO] 15/698 | Advancing Pre-trained Teacher: Towards Robust Feature Discrepancy for Anomaly Detection
[NO] 16/698 | An Interpretable Multi-Scale Temporal Residual Framework for Gender-Specific EEG-Based Emotion Recognition
[NO] 17/698 | Joint Optimization in Heterogeneous Mobile Edge-Satellite-Cloud Continuum
[YES] 18/698 | Counting Minimal Unique-Cause MC/DC Test Suites for Boolean Decisions
[NO] 19/698 | A Machine Learning Approach for Telemetry-Based Frequency Stability Estimation of High Precision Clocks
[NO] 20/698 | HMU: Heuristic Memory Utilization for Multi-Agent Reinforcement Learning
[NO] 21/698 | Downscaling Method for Ground Flash Density in Transmission Line Corridors Considering Terrain Effects
[NO] 22/698 | HSD: Hough-Based Structure-Aware Detection of B-Lines in Lung Ultrasound
[NO] 23/698 | AttriReBoost: A Gradient-Free Propagation Optimization Method for Cold-Start Mitigation in Attribute Missing Graphs_supp1-3681613.pdf
[NO] 24/698 | A Review of Active Thermal Control for Power Devices: Advances, Challenges, and Applicability in Intelligent Power Modules
[NO] 25/698 | Leveraging Graph Attention Embedding and Mutual Prompting for CSI Drift Suppression Localization
[NO] 26/698 | Battery-Assisted Backscatter Devices: Energy Management and Outage Performance Analysis
[NO] 27/698 | Vulnerabilities in AI-Generated Image Detection: The Challenge of Adversarial Attacks_supp1-3682154.pdf
[NO] 28/698 | Surface Water Mapping and Flood Dynamics Monitoring Using CYGNSS and Deep Learning
[NO] 29/698 | Nodal Frequency Nadir Chance-Constrained Economic Dispatch Considering Contingency Frequency Service from Hydrogen Electrolysis
[NO] 30/698 | Contrastive Feature Reasoning for EEG Classification in Asynchronous BCI-Controlled Humanoid Robot
[NO] 31/698 | Reverberation-based Features for Sound Event Localization and Detection with Distance Estimation
[NO] 32/698 | Autonomous Design of Micro-Calorimetric Flow Sensors: A Bayesian-Optimized Machine Learning Framework_supp1-3680338.pdf
[NO] 33/698 | A Compact Via-Assisted Dual-Band Circularly Polarized Antenna With Dual-Mode Radiation for Health Monitoring Devices
[NO] 34/698 | IEEE Photonics Technology Letters publication information
[NO] 35/698 | Table of Contents
[NO] 36/698 | Dual-Probability-Frequency Fast Successive Cancellation (DPF-FSC) decoding of non-binary polar code
[NO] 37/698 | Design and ATEX-Aware Kinematic Analysis of a Multi-Body Robot for Gas Pipeline Inspection
[NO] 38/698 | Binaural Beat Stimulation for Cognitive and Psychological Enhancement in Alzheimer's Disease: A Pilot Study
[NO] 39/698 | Transformer-Based Context Informed Incremental Learning with sDTW Alignment Unlocks Fast and Precise Regression-Based Myoelectric Control
[YES] 40/698 | Software Diversity in Resource-Constrained Embedded Systems
[NO] 41/698 | Embedded Tutorial: Design for EMC and Trust in Integrated Systems – Combining Robustness, Innocuity and Security Concerns
[NO] 42/698 | Assessment of 5G Performance in Philippines Using Mobility Tests
[NO] 43/698 | Socio-Economic Impacts of Clean Energy Transition in Bangladesh
[NO] 44/698 | Enhancing Access to Urban Primary Health Care Through Digital General Practitioner Model: An Initiative for Women Health Inclusion Towards Achieving SDG
[NO] 45/698 | Saukhyam: A Sustainable Solution to the Sanitary Napkin Menace
[NO] 46/698 | Residual-Attention CNN for Dysgraphia Detection Using Synthesized Offline Handwriting from Online Traces
[NO] 47/698 | Enhancing the Lifetime of STT-MRAM in IoT Applications by Current Balancing
[NO] 48/698 | Modelling and Solving Problems in Communications and Network Security Elegantly Using a Unified Framework for Intelligence and Intelligent Systems
[NO] 49/698 | Monolithic Integrated GaN Complementary Logic Circuits Using AlON/Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Bilayer Gate Dielectric
[NO] 50/698 | Energy-Efficient Air-Ground Cooperative Detection for UAV-Enabled ISAC Systems
[NO] 51/698 | Guaranteed Payoffs Resource Allocation Problem with Application to Countering Reinforced Eavesdropping
[NO] 52/698 | TechRxiv: Share Your Preprint Research with the World!
[NO] 53/698 | Stress Field Engineering for Ultra-Low Birefringence in Trench-Assisted Multi-Core Fibers
[NO] 54/698 | Directivity Enhancement of Movable Antenna Arrays with Mutual Coupling
[NO] 55/698 | Table of Contents
[NO] 56/698 | The AI Research Assistant: Promise, Peril, and a Proof of Concept_supp1-3683758.pdf
[NO] 57/698 | Development of a Realistic physical Phantom for laparoscopic and robotic Assisted Sacrocolpopexy Training and Associated_supp1-3684747.pdf
[NO] 58/698 | HiPo-Gait: Hierarchical Pose model decoupling for Gait Recognition
[NO] 59/698 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp6-3683863.mp4
[NO] 60/698 | Dynamic Event-Triggered Target Encirclement Control for Heterogeneous UAV/UGV Swarm Based on Finite-Time Distributed Target Observation
[NO] 61/698 | Multi-Taper FFT-based Full-Spectrum Phase Demodulation for High-Precision GaAs F-P Temperature Sensors
[NO] 62/698 | Frequency-Guided Lightweight Network for Unsupervised Spectral Demosaicing
[NO] 63/698 | Existence of asynchronous and synchronous behaviour in a neuromorphic Josephson Junction network
[NO] 64/698 | A Deep Learning Lora-Based Indoor Localization Technique
[NO] 65/698 | Design and Simulation of Printed Force Sensitive Resistor for Wearable Electronics
[NO] 66/698 | Social Media Analysis Using LSTM and Bi-LSTM for Automated Identification of Depression Cancer Patients
[NO] 67/698 | Iterative Complex-Valued Quadratic-Cone Programming for Implementing Phase Equalizers
[NO] 68/698 | Cloud Computing Resource Load Prediction Model Based on TCN-PatchTST
[YES] 69/698 | Enhancing Fault Tolerance in Microblaze V Soft-Core Processors: Performance and Reliability Assessment with ESA Benchmark Applications
[NO] 70/698 | Dataset Ownership Protection Method Based on Maximizing Distribution Discrepancy
[YES] 71/698 | Lightweight TinyML NIDS For IoT Devices
[NO] 72/698 | Effects of Rain Rate With Various Integration Times on ITU-R P530-18 Attenuation Prediction
[YES] 73/698 | Case Study: The High-Level Synthesis-Based Firmware Upgrade for the Digital Trigger Back-End System of the ATLAS Liquid Argon Calorimeter
[NO] 74/698 | Case Study: A Uniform Benchmarking of RISC-V Cores on FPGA — Performance, Power, and Area Analysis
[NO] 75/698 | Design and Implementation of a Lightweight Simulation Testing Tool for Automatic Train Supervision (ATS) Systems in Intelligent Transportation Systems
[NO] 76/698 | Scatter Search, Ejection Chains, and Filter-and-Fan for Vehicle Routing: A Unified Framework
[NO] 77/698 | IEEE Photonics Technology Letters publication information
