[2026-06-26 11:45:10] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-25
正在获取论文...
[arXiv] 2026-06-25 | CLIR: Liveness-Driven and Structure-Aware Fuzzing for the Cranelift Compiler
[NO] 252/1660 | On Lefschetz's point-free periodicity
[NO] 253/1660 | Rashba and Electrostatic Control of Charge-Visible Spin Demons in Two-Dimensional d-Wave Altermagnets
[NO] 254/1660 | Quantum Physics-Informed Neural Networks for Solving Integro and Fractional PDEs
[NO] 255/1660 | Curvatures of curves in $\mathbb{R}^{2}$ endowed with a canonical linear connection
[NO] 256/1660 | LCAi: Life Cycle Assessment with big data fusion and retrieval-augmented generation-assisted interpretation
[NO] 257/1660 | Appearance-Preserving Refinement of Generated 3D Assets for Monochromatic Fabrication
[NO] 258/1660 | SpikeTimer: Exploring Active Copyright Protection in Spiking Neural Networks via Temporal Backdoor Regularization
[NO] 259/1660 | Ordinal Neural Collapse as a Representation Prior for Visual Navigation
[NO] 260/1660 | Precision luminosity measurement in proton-proton collisions at a center-of-mass energy of 13 TeV with the CMS detector at the Large Hadron Collider
[NO] 261/1660 | Distance-Ladder Measurements of the Hubble Constant: Recent Progress, Systematics, and Prospects
[NO] 262/1660 | Learning Adversarial Augmentation Policies for Robust Garlic Seedling Detection
[NO] 263/1660 | Emergence of Gamma-Type Upward-Phase Statistics in the Collatz Map: An Effective Poisson Process Mechanism
[NO] 264/1660 | Giant and Broadband Circular Dichroism from Particle-Hole Symmetry Breaking in Weyl Semimetals
[NO] 265/1660 | Homology of configuration spaces in positive characteristic via point-set constructions
[NO] 266/1660 | NaviCache: Test-Time Self-Calibration Caching for Video Generation
[NO] 267/1660 | MIRROR: Novelty-Constrained Memory-Guided MCTS Red-Teaming for Agentic RAG
[NO] 268/1660 | ResilPhase: Plug-and-Play Phase Mapping and Noise-Resilient Macro-Trajectory Extrapolation for Diffusion Acceleration
[NO] 269/1660 | Effective Resistance-Based Graph Sparsification and Community Detection
[NO] 270/1660 | On-Demand Service Zone Design for Energy-Constrained Spatial Queueing Systems
[NO] 271/1660 | Maximum Forest Number of General Bipartite Graphs: Structural and Complexity Results
[NO] 272/1660 | Magnetic moments of decuplet baryons in isospin asymmetric magnetized strange matter
[NO] 273/1660 | Batch-Invariant Spectral Intelligence for Robust and Explainable Insect Authentication
[NO] 274/1660 | ConvMemory v3: A Validity Context Layer for Conversational Memory via Target-Conditioned Relation Verification
[NO] 275/1660 | SKA VLBI survey of the Southern sky for astrometry, geodesy, and astrophysics
[NO] 276/1660 | HyperDFlash: MHC-Aligned Block Speculative Decoding with Gated Residual Reduction
[NO] 277/1660 | Tight Lower Bounds and Optimal Constructions of Locally Repairable Convertible Codes in the Split Regime
[NO] 278/1660 | LiveEdit: Towards Real-Time Diffusion-Based Streaming Video Editing
[NO] 279/1660 | Robust Hedging Valuation Adjustment under Liquidity--Demand Stress
[NO] 280/1660 | Regularization of the metric generalized inverse in Banach spaces and the dichotomy phenomenon
[NO] 281/1660 | CHAMB-GA: A Containerized HPC Scalable Microservice-Based Framework for Genetic Algorithms
[NO] 282/1660 | Organic Semiconductor Alignment via Confinement in Vapor-Guided Droplets
[NO] 283/1660 | The Bogomolov Property through Galois Representations
[NO] 284/1660 | Optimizing Accessibility and Maximum Travel Times in Transit Networks: The Hub Covering Location Problem
[NO] 285/1660 | Towards a Theory of Dobrakov-Sobolev Spaces
[NO] 286/1660 | Stellar black hole binaries from two common envelope evolution phases in triple stellar systems
[NO] 287/1660 | An integrable approach to macroscopic fluctuation theory for the multispecies SSEP
[NO] 288/1660 | Forward-modelling the Tolman and distance-duality tests with IllustrisTNG
[NO] 289/1660 | Learning to Fold: prizewinning solution at LeHome Challenge 2026 (1st place online, 2nd offline)
[NO] 290/1660 | Real Quantum Chemistry With Complex Orbitals
[NO] 291/1660 | Single-Base-Station Indoor Localization via Super-Resolved Relative Power Delay Profiles
[NO] 292/1660 | DMuon: Efficient Distributed Muon Training with Near-Adam Overhead
[NO] 293/1660 | Hard-Region Fermion Self-Energy and Fermion--Photon Vertex in Thermal QED through Two Loops
[NO] 294/1660 | Quantitativity in the Mordell Conjecture
[NO] 295/1660 | Magnetoresistance in chiral systems driven by inter-band spin-orbit coupling
[NO] 296/1660 | The ESO SupJup Survey XI. Atmospheric properties of six isolated M- and L-type dwarfs with CRIRES+
[NO] 297/1660 | Approximating Feynman integrals using complete monotonicity and Stieltjes properties
[NO] 298/1660 | Transformer-Based Classification of Bacterial Raman Spectra with LOOCV
[NO] 299/1660 | TMP: Tree-structured Mixed-policy Pruning for Large-scale Image Generation and Editing
[NO] 300/1660 | GPU-accelerated superiorization on constrained physical problems with SupPy
[NO] 301/1660 | Discrete Space-Time Wave Kernels on Regular Trees
[NO] 302/1660 | ForesightSafety-VLA: A Unified Diagnostic Safety Benchmark for Vision-Language-Action Models
[NO] 303/1660 | Towards Explainable Adjudicative Variance: Quantifying Judicial Discretion via Gated Multi-Task Learning
[NO] 304/1660 | On Jumps, Interactions, and Intersection Types
[NO] 305/1660 | NuclearQAv2: A Structured Benchmark for Evaluating Domain-Science Competence in Large Language Models
[NO] 306/1660 | Low Complexity Kolmogorov-Arnold Network-based DPD for Analog RoF Fronthaul
[NO] 307/1660 | Gamma-ray Bursts and Kilonovae from Gravitational Wave Events
[NO] 308/1660 | Terrestrial Sagnac delay in scalar-tensor-vector-gravity
[NO] 309/1660 | Cusp Excursions, Lattice Points on Manifolds, and the Mizohata-Takeuchi Conjecture
[NO] 310/1660 | Odd transport in a two-temperature Brownian dimer
[NO] 311/1660 | Independence relations in the Solovay model II
[NO] 312/1660 | TriPAH: Imbalance-Aware Tri-Prompt Affinity Hashing for Cross-Modal Medical Retrieval
[NO] 313/1660 | Plancherel Identities for unbounded subsets of $\mathbb R^d$
[NO] 314/1660 | Inverse Design of Compact and Wideband Inverted Doherty Power Amplifiers Using Deep Learning
[NO] 315/1660 | Exploring Tidal Disruption Events with SKA and VLBI: Unveiling the Mystery of Black Hole Feeding and Outflows
[NO] 316/1660 | Physical Neural Networks Need Nonlinearity, Amplification, and Suppression for Learning
[NO] 317/1660 | ReaORE: Reasoning-Guided Progressive Open Relation Extraction Empowered by Large Reasoning Models
[NO] 318/1660 | Vis4GS: A Visual Analytic Tool for 3D Gaussian Splatting Reconstruction
[NO] 319/1660 | Auditing Framing-Sensitive Behavioral Instability in Large Language Models for Mental Health Interactions
[NO] 320/1660 | To Run or Not to Run: Analyzing the Cost-Effectiveness of Code Execution in LLM-Based Program Repair
[NO] 321/1660 | Solid-to-solid transition in dense assemblies of elongated cells
[NO] 322/1660 | State-Specific Respiratory Signatures for Affective and Stress Recognition: Interpretable Respiratory Markers, Autocorrelation Lags, and Compact CNN Models
[NO] 323/1660 | A Latent ODE Approach to Spatiotemporal Modeling of Cine Cardiac MRI
[NO] 324/1660 | Dual-Prior Guided Null-Space Learning with Mixture-of-Splines for Arbitrary Medical Slice Super-Resolution
[NO] 325/1660 | Random Walk on Bézier Curves for Global Optimization
[NO] 326/1660 | Perfect Absorption in the Strong Coupling Regime via Degenerate Critical Coupling
[NO] 327/1660 | Modelling convective cell occurrence in proximity to cold fronts using extreme gradient boosting
[NO] 328/1660 | Applicability of kinetic theory in strongly coupled thermal quantum systems
[NO] 329/1660 | TVD and TVB preservation without TVD time discretization for discontinuous Galerkin methods
[NO] 330/1660 | DeCoFlow: Structural Decomposition of Normalizing Flows for Continual Anomaly Detection
[NO] 331/1660 | Parallel Communicating Finite Automata: The Non-Forgetting Model
[NO] 332/1660 | Identification of MHD equilibrium $β$ limits for CFQS plasmas
[NO] 333/1660 | On-farm management strategies for reducing H5N1 transmission in dairy cattle
[NO] 334/1660 | NebulaExp-8B: An Empirical Post-Training Pipeline via Full-Scale Ablation Research
[NO] 335/1660 | Floquet Topological Phases and Anomalous Hall Signatures in Irradiated Two-dimensional $d_{xy}$-Wave Altermagnets
[NO] 336/1660 | Zero-Shot Size Transfer for Neural ODEs on Sparse Random Graphs: Graphon Limits and Adjoint Convergence
[NO] 337/1660 | Autoformalization of Agent Instructions into Policy-as-Code
[NO] 338/1660 | Almost Lipschitz regularity for solutions of elliptic equations with discontinuous coefficients
[NO] 339/1660 | Fast Enumeration of Minimal Removable Sets in Monotone Systems with Application to Core Collapse Analysis
[NO] 340/1660 | Weak-Strong Resurgence Duality
[NO] 341/1660 | Single object observations: Large telescopes vs. multiple small telescopes
[NO] 342/1660 | Closing the Quality Gap in Low-Resource Text-to-Speech: LoRA Fine-Tuning of VoxCPM2 for Khmer and Korean
[NO] 343/1660 | Quantum Mutant Equivalence via Transpilation
[NO] 344/1660 | Efficient Computation for Diagonal of Forest Matrix via Variance-Reduced Forest Sampling
[NO] 345/1660 | Time Structure in Infinite Extensive Games
[NO] 346/1660 | An exploratory behavioral and electroencephalographic study of artificial intelligence-assisted learning modes in high school students
[NO] 347/1660 | Pingquanqi (Equalizer): A Cross-Domain Sociotechnical Framework for Human-Agent Interaction Governance
[NO] 348/1660 | Long-Period Transients as a new frontier in time-domain astronomy
[NO] 349/1660 | Classification of regular Cayley maps of skew-type three on semidihedral groups
[NO] 350/1660 | Sharp Lifespan Estimates and Fujita Phenomena for Fractional Hardy-Hénon Type Parabolic Equations
[NO] 351/1660 | Intrinsic Geometry of Categorified Spectral Objects
[NO] 352/1660 | PMDformer: Patch-Mean Decoupling Information Transformer for Long-term Forecasting
[NO] 353/1660 | Compiler-Driven Approximation Tuning for Hyperdimensional Computing
[NO] 354/1660 | Holographic $s$- and $p$-wave superconductors from the $4D$ regularization of Einstein-Lovelock theory
[NO] 355/1660 | Maximizing Throughput in an M/G/1 Queue with Customer Abandonments
[NO] 356/1660 | Thermal Effects on the Moment of Inertia and Gravitational Redshift of PSR J1012+5307: Implications for Hyperonic Matter under SU(3) and SU(6) Symmetries
[NO] 357/1660 | CascadeFormer: Depth-Tapered Transformers Motivated by Gradient Fan-in Asymmetry
[NO] 358/1660 | Predicted Capabilities of the SPRITE SmallSat for a Low-Redshift Lyman Continuum Emission Survey
[NO] 359/1660 | OSC2Runner: OpenSCENARIO 2.x Compliant High-Fidelity AV Simulation in CARLA
[NO] 360/1660 | UV Star-Formation Rates of the SHIELD Dwarf Galaxies
[NO] 361/1660 | The Inattentional Gap: Task-Conditioned Language and Vision Models Omit the Safety-Critical Signals They Can Otherwise Report
[NO] 362/1660 | The Suda-Tanaka-Tokushige conjecture for $\mathbf{p}$-biased intersecting families
[NO] 363/1660 | Homeomorphism of the Revuz correspondence under Dynkin class assumptions
[NO] 364/1660 | Clinical Harness for Governable Medical AI Skill Ecosystems
[NO] 365/1660 | What Survives When You Compress a Recursive Reasoner for the Edge?
[NO] 366/1660 | Utilizing Cognitive Signals Generated during Human Reading to Enhance Keyphrase Extraction from Microblogs
[NO] 367/1660 | Paved with True Intents: Intent-Aware Training Improves LLM Safety Classification Across Training Regimes
[NO] 368/1660 | Counting equitable $k$-colorings in graphs of bounded clique-width
[NO] 369/1660 | Effective Covariance Dynamics in Solvable High-Dimensional GANs
[NO] 370/1660 | Isoregular theories, accessible 2-categories, and free constructions
[NO] 371/1660 | RoPEMover: Depth-Aware Object Relocation via Positional Embeddings
[NO] 372/1660 | On automorphisms of $\mathscr{B}$-admissible and related subshifts
[NO] 373/1660 | Study of Supernova Neutrinos at ESSnuSB
[NO] 374/1660 | World Action Models Enable Continual Imitation Learning with Recurrent Generative Replays
[NO] 375/1660 | 3D Imaging of Complex Skyrmion and Hopf Topologies in an Extended Sample
[NO] 376/1660 | When are likely answers right? On Sequence Probability and Correctness in LLMs
[NO] 377/1660 | Mapping Political-Elite Networks in Europe with a Multilingual Joint Entity-Relation Extraction Pipeline
[NO] 378/1660 | VibeAct: Vibration to Actions for Contact-Rich Reactive Robot Dexterity
[NO] 379/1660 | Understanding Domain-Aware Distribution Alignment in Budgeted Entity Matching
[NO] 380/1660 | Godbillon-Vey classes of Lie subalgebroids
[NO] 381/1660 | Valuing American options and Flexible Forwards contracts in time-dependent models
[NO] 382/1660 | Language-Based Digital Twins for Elderly Cognitive Assistance
[NO] 383/1660 | Unpinning of trapped oil droplets via non-resonant acoustic streaming in capillary tubes
[NO] 384/1660 | On the homology groups of clique complexes of strongly regular graphs
[NO] 385/1660 | LLM-Based Examination of Eligibility Criteria from Securities Prospectuses at the German Central Bank
[NO] 386/1660 | Blackwell Approachability and Gradient Equilibrium are Equivalent
[NO] 387/1660 | Beyond Surface Forms: A Comprehensive, Mechanism-Oriented Taxonomy of Indirect Linguistic Encoding for LLM-Based Coded Language Detection
[NO] 388/1660 | LA4VLA: Learning to Act without Seeing via Language-Action Pretraining
[NO] 389/1660 | Generative Models on Analog Hardware with Dynamics
[NO] 390/1660 | Deterministic Algorithms for Low Individual Degree Factors of Sparse Polynomials
[NO] 391/1660 | A solid unification of the dark sector
[NO] 392/1660 | Unveiling Complex Chemistry in Planet-forming Disks with the SKAO
[NO] 393/1660 | A Quasi-Variational--Hemivariational Inequality for the Convective Brinkman--Forchheimer Extended Darcy Equations with Bingham Fluids
[NO] 394/1660 | EO-WM: A Physically Informed World Model for Probabilistic Earth Observation Forecasting
[NO] 395/1660 | Quantum-Limited Subdiffraction Telescopy Requires Genuine Multi-Telescope Interference
[NO] 396/1660 | Large-scale multimode entangling-gate synthesis in trapped-ion systems
[NO] 397/1660 | CORTEX: A Structured Reasoning Benchmark for Trustworthy 3D Chest CT MLLMs
[NO] 398/1660 | Beyond Objects
[NO] 399/1660 | Particle-preserving fermionic shadows with mode-independent sample complexity
[NO] 400/1660 | Improving exoplanet mass characterisation with Bayesian model selection using the Learned Harmonic Mean Estimator
[NO] 401/1660 | MUSE Imaging Spectroscopy of the Fullerene Planetary Nebula Tc 1
[NO] 402/1660 | The Geometry of Updates: Fisher Alignment at Vocabulary Scale
[NO] 403/1660 | Modular molecular toolkit for photochemical energy conversion in a self-assembling nanocontainer
[NO] 404/1660 | A unified cell-merge algorithm for generating diverse Voronoi diagrams and new tessellations based on spatial chromatic model
[NO] 405/1660 | Ask, Don't Judge: Binary Questions for Interpretable LLM Evaluation and Self-Improvement
[NO] 406/1660 | Efficient foundation decoders for fault-tolerant quantum computing
[NO] 407/1660 | Prompt Injection in Automated Résumé Screening with Large Language Models: Single and Multi-Injection Settings
[NO] 408/1660 | Brick infinite algebras admit infinitely many non-$τ$-rigid bricks
[NO] 409/1660 | Free Skew Braces and Free Solutions of the Yang--Baxter Equation
[NO] 410/1660 | Decision-Aligned Evaluation of Uncertainty Quantification
[NO] 411/1660 | Projected sensitivity of the ANUBIS detector to heavy neutral leptons
[NO] 412/1660 | Extracting Neural Materials from Multi-view Images
[NO] 413/1660 | Maximum Achievable Burst Size in All-Optical Satellite Networks
[NO] 414/1660 | Fast algorithms for learning a Gaussian under halfspace truncation with optimal sample complexity
[NO] 415/1660 | Dyeing form factors as amplitudes
[NO] 416/1660 | Index saddle for the D1-D5-P black string and its decoupling limit
[NO] 417/1660 | Primordial black hole formation in bulk-viscous cosmology
[NO] 418/1660 | Algebraic structures of the Lindblad equation
[NO] 419/1660 | Measured-Pattern-Aware Pinching-Antenna Systems With Coupling-Efficiency Optimization
[NO] 420/1660 | Vulnerability of Natural Language Classifiers to Evolutionary Generated Adversarial Text
[NO] 421/1660 | Finite temperature precursors of Mottness in the Fermi Hubbard model
[NO] 422/1660 | LISA: Likelihood Score Alignment for Visual-condition Controllable Generation
[NO] 423/1660 | Determining Newforms via various relations among Fourier Coefficients
[NO] 424/1660 | Instability of periodic waves in generalized Korteweg-de Vries-Burgers equation with monostable source
[NO] 425/1660 | Numerical Approximation for Path-Dependent McKean-Vlasov Control with Non-Asymptotic Error Estimates
[NO] 426/1660 | Automating Potential-based Reward Shaping with Vision Language Model Guidance
[NO] 427/1660 | A hybrid IFENN solver for generalizable modeling of phase-field fracture initiation and propagation
[NO] 428/1660 | Deep learning model emulators for marine biogeochemistry forecasting from days to decades
[NO] 429/1660 | Phase-Shifted Planar Hall and Magnetoresistive Responses in Weyl Semimetals
[NO] 430/1660 | TOPS: First-Principles Visual Token Pruning via Constructing Token Optimal Preservation Sets for Efficient MLLM Inference
[NO] 431/1660 | On L-space surgeries on two-bridge links
[NO] 432/1660 | The Observer World: A Cryptographic Extension of Impagliazzo's Five Worlds
[NO] 433/1660 | Exploring the world of edge-chromatic 3-critical graphs
[NO] 434/1660 | Adelic Line Bundles, Arithmetic Positivity and Diophantine Geometry
[NO] 435/1660 | Clustering of high-redshift quasars with DESI DR2
[NO] 436/1660 | Probing Anomalous Microwave Emission with the Square Kilometre Array
[NO] 437/1660 | PRISM: PE Relational Inter-Section Matrix. A 2D Section-Aware Dataset for Static PE Malware Detection
[NO] 438/1660 | Application of LLMs to Threat Assessment of Foreign Peacekeeping Missions
[NO] 439/1660 | Proof of the Density Threshold Conjecture for Pinwheel Scheduling
[NO] 440/1660 | Pseudo-Text-Conditioned 3D Grounding DINO for Organ Localization in Abdominal CT
[NO] 441/1660 | Spherical Collapse and Halo Formation in a Cosmology with Decaying Dark Matter and a Semi-Cosmographic Dark Energy
[NO] 442/1660 | Distinguishing Gromov-Thurston manifolds using algebraic Dehn fillings
[NO] 443/1660 | How to evaluate clustering with ground truth?
[NO] 444/1660 | Type-based information flow analysis for $π$-calculus with a dynamically extensible security lattice
[NO] 445/1660 | Human--LLM Collaboration Is Transforming Complexity Metrics in Scientific Texts
[NO] 446/1660 | BtrLog: Low-Latency Logging for Cloud Database Systems
[NO] 447/1660 | The Spec Growth Engine: Spec-Anchored, Code-Coupled, Drift-Enforced Architecture for AI-Assisted Software Development
[NO] 448/1660 | Observation of Non-Hermitian Skin Dynamics in the Liouvillian Regime
[NO] 449/1660 | Averaged Fourier Estimates and Dyadic Approximation on the Cantor set
[NO] 450/1660 | State Representation Matters in Deep Reinforcement Learning: Application to Energy Trading
[NO] 451/1660 | Design and Performance Evaluation of Secure RF and WiFi-Based Communication in Drone Swarms via Testbed Implementation
[NO] 452/1660 | Just how sure are you? Improving Verbalized Uncertainty Calibration in Medical VQA
[NO] 453/1660 | On-board Remote-Sensing Foundation Models for Unsupervised Change Detection of Disaster Events
[NO] 454/1660 | Lattice patch structure for fixed-frequency transmon quantum computer with high-fidelity CNOT gates
[NO] 455/1660 | Temporal wave trapping from dynamical pump pulses
[NO] 456/1660 | Semantic Early-Stopping for Iterative LLM Agent Loops
[NO] 457/1660 | Integrality of genus-$g$ indices with adjoint Reidemeister torsions of twist knots
[NO] 458/1660 | Pogorelov type interior $C^2$ estimate for sum Hessian quotient equations on Riemannian manifolds
[NO] 459/1660 | Uncertainty quantification via conformal prediction in data assimilation
[NO] 460/1660 | Deterministic and Efficient Ideal Arithmetic via Two-Element Representations
[NO] 461/1660 | On a conjecture by Kollár and Saccà
[NO] 462/1660 | How Much Static Structure Do Code Agents Need? A Study of Deterministic Anchoring
[NO] 463/1660 | Knowledge-Based Pull Requests: A Trusted Workflow for Agent-Mediated Knowledge Collaboration
[NO] 464/1660 | Full spectrum Unlearnable Examples via Spectral Equalization
[NO] 465/1660 | The Fungible Reserve Standard: A Deterministic Framework for Encoding Carrying Costs in Asset-Backed Tokens
[NO] 466/1660 | Preconditioning Magnetic Systems in Kohn-Sham Density Functional Theory
[NO] 467/1660 | CHESS: CHEbyshev pSeudo-Spectral transport for Feynman integral differential equations
[NO] 468/1660 | On some Open Problems for Finite Automata with Translucent Input Letters
[NO] 469/1660 | Global well-posedness for general parabolic Anderson model on the whole plane
[NO] 470/1660 | Semialgebraic Conditions for Identifying Triangles in Phylogenetic Networks
[NO] 471/1660 | A geometric approach to inner problems associated with exponentially small splitting phenomena in local bifurcations
[NO] 472/1660 | Exact Blowup Analysis for the Weak-Advection Hou--Li Model
[NO] 473/1660 | Solid adsorption: the missing mechanism for surfactant contact lines -- a phase-field approach
[NO] 474/1660 | SocialPersona: Benchmarking Personalized Profiling and Response with Multimodal Social-Media Context
[NO] 475/1660 | Dynamic heterogeneity in sodium silicate melts via machine-learning potential
[NO] 476/1660 | FracEvent: Event-Camera Simulation via Fractional-Relaxation Pixel Dynamics
[NO] 477/1660 | Temporally Consistent Label Interpolation for Robust Surgical Multi-Task Learning under Challenging Conditions
[NO] 478/1660 | Simulating Unified Tensor Resharding in heterogeneous AI systems
[NO] 479/1660 | Accretion Flow onto Ellis-Bronnikov Wormhole
[NO] 480/1660 | Bricks in which every vertex is incident with a forcing edge
[NO] 481/1660 | Latent Diffusion Posterior Sampling with Surrogate Likelihood Guidance for PDE Inverse Problems
[NO] 482/1660 | Empirical Software Engineering TerraProbe: A Layered-Oracle Framework for Detecting Deceptive Fixes in LLM-Assisted Terraform
[NO] 483/1660 | Inference-Time Robot Behavior Steering through Physically-Aware Reconfiguration of Task-Structure
[NO] 484/1660 | A Multi-Level Validation and Traceability Framework for AI-Generated Telescope Scheduling Decisions
[NO] 485/1660 | Determining potentials from the scattering map of the time-dependent Schrödinger equation
[NO] 486/1660 | Graph-Based ECG Synthesis with Activation-Consistency Certification and Diagnostics-Aware Morphology Curation
[NO] 487/1660 | Revisiting Action Factorization for Complex Action Spaces
[NO] 488/1660 | Ring Spacing from a Fourth-Order Radial Feedback Green Function in a Keplerian Accretion Disk
[NO] 489/1660 | Multi-Modal Environment-Aware Beam Management for Massive MIMO: A Geometry-Driven Virtual Base Station Framework
[NO] 490/1660 | Characterizing Pure Strategy Nash Equilibria in Finite Noncooperative Games
[NO] 491/1660 | Erase-then-Delta Attention: Decoupling Erase and Write Addresses in Delta-Rule Linear Attention
[NO] 492/1660 | Perception, Verdict, and Evolution: Hindsight-Driven Self-Refining Forensics Agent for AI-Generated Image Detection
[NO] 493/1660 | Sample-efficient Transfer Reinforcement Learning via Adaptive Reward Shaping and Policy-Ratio Reweighting Strategy
[NO] 494/1660 | Multipath Adaptive Gated Bottleneck Latent ODE with Raman Data Fusion for Cell Culture Process Forecasting
[NO] 495/1660 | Symmetries of the Generalized Yang--Baxter Equations
[NO] 496/1660 | Structural Properties and Applications of the Augmented Sombor Index
[NO] 497/1660 | Budget-Aware Keyboardless Interaction
[NO] 498/1660 | DanceDuo: Bridging Human Movement and AI Choreography
[NO] 499/1660 | Humans Disengage, Reasoning Models Persist: Separating Difficulty Registration from Deliberation Allocation
[NO] 500/1660 | Ductility Design Rules for Tungsten based Refractory High Entropy Alloys from Sparse Experimental Datasets
[NO] 501/1660 | Photo-thermal origin of pulse laser induced orientation of crystallographic c axis in Tellurium thin films
[NO] 502/1660 | Nemotron-TwoTower: Diffusion Language Modeling with Pretrained Autoregressive Context
[NO] 503/1660 | An Empirical Study of LLM-Generated Specifications for VeriFast
[NO] 504/1660 | Speaking Numbers to LLMs: Multi-Wavelet Number Embeddings for Time Series Forecasting
[NO] 505/1660 | Two-and-a-half dimensional symplectic space-charge solver
[NO] 506/1660 | Adaptive Evaluation of Out-of-Band Defenses Against Prompt Injection in LLM Agents
[NO] 507/1660 | Learning rate selection via weighted Fisher divergence
[NO] 508/1660 | Quasiclassical theory of nonlinear response in d-wave superconductors
[NO] 509/1660 | Cascade adaptive optics with a second stage based on a Zernike wavefront sensor for exoplanet observations II. Validation in broadband light on the ESO/GHOST testbed
[NO] 510/1660 | Bridging Vision and Language Concepts through Optimal Transport Semantic Flow
[NO] 511/1660 | Generalized Zariski cancellation for Brieskorn--Pham varieties
[NO] 512/1660 | Shallow Quantum Circuits for Deep Chemistry via Valence Bond Embeddings
[NO] 513/1660 | A Pipeline for Generating Longitudinal Synthetic Clinical Notes Using Large Language Models
[NO] 514/1660 | Information-Aware KV Cache Compression for Long Reasoning
[NO] 515/1660 | Dissipation-Induced Deviations from Kibble-Zurek Scaling in Non-Hermitian Quantum Annealing
[NO] 516/1660 | Bipartite entanglement of the primordial Majorana during inflation
[NO] 517/1660 | Fortress and Gatekeeper: Theorizing Transitive Trust in Third-Party Cybersecurity Risk Governance
[NO] 518/1660 | Cascaded Multi-Granularity Pruning for On-Device LLM Inference in Industrial IoT
[NO] 519/1660 | A Shared IPTC Topic Space for Cross-Source Topic Modelling
[NO] 520/1660 | Realification of stably trivial vector bundles
[NO] 521/1660 | The Capability Frontier: Benchmarks Miss 82% of Model Performance
[NO] 522/1660 | A Hybrid Quantum Mechanics Machine Learning Forcefield (QM/ML) Framework for Accurate Solute-Dislocation Interaction Simulations
[NO] 523/1660 | High-dimensional reliability-oriented Shapley effect estimation with Normalizing Flows
[NO] 524/1660 | Quantization in Federated Learning: Methods, Challenges and Future Directions
[NO] 525/1660 | FBK's Long-form SpeechLLMs for IWSLT 2026 Instruction Following
[NO] 526/1660 | Investigating the System Configuration of Kepler-451 through Orbital Period Variations: Dynamical and Magnetic Interpretations
[NO] 527/1660 | Computational Analysis of Heart Rate Variability in Healthy Adults
[NO] 528/1660 | Improving Vision-Language-Action Model Fine-Tuning with Structured Stage and Keyframe Supervision
[NO] 529/1660 | Nonadiabatic Holonomic Single-Qubit Gates in Non-Hermitian Systems
[NO] 530/1660 | Reasoning Quality Emerges Early: Data Curation for Reasoning Models
[NO] 531/1660 | Spectral condensation in a finite nonequilibrium atmospheric transition
[NO] 532/1660 | End-to-end probabilistic hierarchical forecasting of large hierarchies via probabilistic top-down
[NO] 533/1660 | Semi-empirical Predictions for Ultra-deep Radio Counts of Star-forming Galaxies with the SKAO
[NO] 534/1660 | 5G NR-V2X Scheduling Approaches for CPM Variable Size Traffic
[NO] 535/1660 | PressMimic: Pressure-Guided Motion Capture and Control for Humanoid Robot Imitation
[NO] 536/1660 | Surviving by Serving: Functional Relevance Drives Self-Organization in Complex Adaptive Systems
[NO] 537/1660 | 'A bit of chaos and madness': The AI Assessment Scale and the work of assessment reform
[NO] 538/1660 | Scientific discovery as meta-optimization: a combinatorial optimization case study
[NO] 539/1660 | Excitation of non-modal perturbations in hypersonic boundary layers by free stream forcing. Part II: asymptotic theory and key mechanisms
[NO] 540/1660 | Predicting disease severity and large-scale spread from coupled severity measurements and imperfect indicators: Application to beet yellows
[NO] 541/1660 | Proof of Cigler's conjecture on $q$-Hoggatt numbers
[NO] 542/1660 | Scaling Multi-Reference Image Generation with Dynamic Reward Optimization
[NO] 543/1660 | Perturbatively Corrected Linear Response Selected Configuration Interaction
[NO] 544/1660 | GAVEL: Grounded Caption Error Verification and Localization
[NO] 545/1660 | Coexistence of static order and spin dynamics in an S = 5/2 frustrated triangular antiferromagnet
[NO] 546/1660 | The parental parsimony problem on binary, tree-child phylogenetic networks
[NO] 547/1660 | PhysRAG: Enhancing Physics-Awareness in Video Generation via Retrieval-Augmented Generation
[NO] 548/1660 | Wave-Particle Decomposition for Kinetic Equations I: Theory and Numerics
[NO] 549/1660 | One-shot prediction of noise-induced bifurcations with reservoir computing
[NO] 550/1660 | Distribution Network Congestion Management via Strategic Aggregator Intervention in Local Energy Markets
[NO] 551/1660 | LithoDreamer: A Physics-Informed World Model for Multi-Stage Computational Lithography
[NO] 552/1660 | Algorithmic Foundations of Deep Learning: Complexity-Theoretic Rates and a Characterization of Universal Approximation
[NO] 553/1660 | Interferometric Analysis of Air-shower Radio Emission in the Near Field with an Information Field Theory Approach
[NO] 554/1660 | PhysEditWorld: A Large-Scale Dataset Toward Physics-Editable World Models
[NO] 555/1660 | Do Safety Guardrails Need to Reason? LeanGuard: A Fast and Light Approach for Robust Moderation
[NO] 556/1660 | 2-Head 2D Returning Finite Automata
[NO] 557/1660 | Selective Memoization for Efficient Backtracking Regular Expression Matching
[NO] 558/1660 | Torsional four-fermion interaction for Majorana neutrinos
[NO] 559/1660 | MPE-Adam: Multi-Population Evolutionary Optimization with Adam Refinement for QAOA
[NO] 560/1660 | SKILL-DISCO: Distilling and Compiling Agent Traces into Reusable Procedural Skills
