[2025-12-04 09:14:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-03
正在获取论文...
[arXiv] 2025-12-03 | SkillFactory: Self-Distillation For Learning Cognitive Behaviors
[NO] 97/1768 | Towards Object-centric Understanding for Instructional Videos
[NO] 98/1768 | Joint Progression Modeling (JPM): A Probabilistic Framework for Mixed-Pathology Progression
[NO] 99/1768 | Quasi-linear theory of perpendicular ion heating by critically balanced turbulence
[NO] 100/1768 | SweetDeep: A Wearable AI Solution for Real-Time Non-Invasive Diabetes Screening
[NO] 101/1768 | Cyclotomic Congruences and Lucas Sequences
[NO] 102/1768 | Tuning for TraceTarnish: Techniques, Trends, and Testing Tangible Traits
[NO] 103/1768 | In-Situ Encryption of Single-Transistor Nonvolatile Memories without Density Loss
[NO] 104/1768 | Irreducible operators in von Neumann algebras
[NO] 105/1768 | A novel multiscale modelling for the hemodynamics in retinal microcirculation with an analytic solution for the capillary-tissue coupled system
[NO] 106/1768 | PerFACT: Motion Policy with LLM-Powered Dataset Synthesis and Fusion Action-Chunking Transformers
[YES] 107/1768 | PretrainZero: Reinforcement Active Pretraining
[NO] 108/1768 | LLM as Explainable Re-Ranker for Recommendation System
[NO] 109/1768 | Grokked Models are Better Unlearners
[NO] 110/1768 | Invariant fractocohesive length in thermally aged elastomers
[NO] 111/1768 | Generalization Evaluation of Deep Stereo Matching Methods for UAV-Based Forestry Applications
[NO] 112/1768 | DM3D: Deformable Mamba via Offset-Guided Gaussian Sequencing for Point Cloud Understanding
[NO] 113/1768 | Linear stability of nanofluid boundary-layer flow over a flat plate
[NO] 114/1768 | Optimal Griffiths Phase in Heterogeneous Human Brain Networks: Brain Criticality Embracing Stability and Flexibility across Individuals
[NO] 115/1768 | MOS: Mitigating Optical-SAR Modality Gap for Cross-Modal Ship Re-Identification
[NO] 116/1768 | Full-Stack Alignment: Co-Aligning AI and Institutions with Thick Models of Value
[NO] 117/1768 | On Bridging Analyticity and Sparseness in Hyperdissipative Navier-Stokes Systems
[NO] 118/1768 | LLM-Generated Ads: From Personalization Parity to Persuasion Superiority
[NO] 119/1768 | ShelfGaussian: Shelf-Supervised Open-Vocabulary Gaussian-based 3D Scene Understanding
[NO] 120/1768 | Rethinking Security in Semantic Communication: Latent Manipulation as a New Threat
[NO] 121/1768 | Immunity memory-based jailbreak detection: multi-agent adaptive guard for large language models
[NO] 122/1768 | Empirical assessment of the perception of graphical threat model acceptability
[NO] 123/1768 | SeeU: Seeing the Unseen World via 4D Dynamics-aware Generation
[NO] 124/1768 | Modeling Topics and Sociolinguistic Variation in Code-Switched Discourse: Insights from Spanish-English and Spanish-Guaraní
[NO] 125/1768 | Radio Detection of a Local Little Red Dot
[NO] 126/1768 | Simpson variational integrator for nonlinear systems: a tutorial on the Lagrange top
[NO] 127/1768 | Cache What Lasts: Token Retention for Memory-Bounded KV Cache in LLMs
[NO] 128/1768 | Unique Lives, Shared World: Learning from Single-Life Videos
[NO] 129/1768 | Additive relations in irrational powers
[NO] 130/1768 | The effect of baryons on the positions and velocities of satellite galaxies in the MTNG simulation
[NO] 131/1768 | AMSB in $Sp(N_c)$ Gauge Theories
[NO] 132/1768 | Primary gravitational waves at high frequencies I: Origin of suppression in the power spectrum
[NO] 133/1768 | Short-Range Modulated Electron Lattice and d-Wave Superconductivity in Cuprates: A Phenomenological Ginzburg-Landau Framework
[NO] 134/1768 | On the angular momentum and free energy of rotating gluon plasma
[NO] 135/1768 | Jet Production at NNLO: Exploring a New Scheme
[NO] 136/1768 | Numerical optimization for the compatibility constant of the lasso
[NO] 137/1768 | A relative trace formula identity for non-tempered spherical varieties
[NO] 138/1768 | NavMapFusion: Diffusion-based Fusion of Navigation Maps for Online Vectorized HD Map Construction
[NO] 139/1768 | On the Hypergraph Nash-Williams' Conjecture
[NO] 140/1768 | Learning Steerable Clarification Policies with Collaborative Self-play
[NO] 141/1768 | The Potency of Nilpotence
[NO] 142/1768 | Transport evidence of surface states in magnetic topological insulator MnBi2Te4
[NO] 143/1768 | Multimessenger Constraints on Supermassive Dark Stars and Their Black Hole Remnants
[NO] 144/1768 | Configurable antiferromagnetic domains and lateral exchange bias in atomically thin CrPS4
[NO] 145/1768 | Stable Signer: Hierarchical Sign Language Generative Model
[NO] 146/1768 | Quantum theory of nonlinear phononics
[NO] 147/1768 | RELIC: Interactive Video World Model with Long-Horizon Memory
[NO] 148/1768 | On asymptotic Lebesgue's universal covering problem
[NO] 149/1768 | Learning Group Actions In Disentangled Latent Image Representations
[NO] 150/1768 | Construction of irreducible integrity basis for anisotropic hyperelasticity via structural tensors
[NO] 151/1768 | Freeze-out and spectral running of primordial gravitational waves in viscous cosmology
[NO] 152/1768 | Hydrogen-Rich to Stripped-Envelope:Observational Continuity and Biases in CCSNe
[NO] 153/1768 | Diagonalizing the Softmax: Hadamard Initialization for Tractable Cross-Entropy Dynamics
[NO] 154/1768 | Physics-Embedded Gaussian Process for Traffic State Estimation
[NO] 155/1768 | Highly Efficient Test-Time Scaling for T2I Diffusion Models with Text Embedding Perturbation
[NO] 156/1768 | Artificial Microsaccade Compensation: Stable Vision for an Ornithopter
[NO] 157/1768 | On well-posedness for second-order degenerate parabolic equations with unbounded lower-order terms
[NO] 158/1768 | Guided Flow Policy: Learning from High-Value Actions in Offline Reinforcement Learning
[NO] 159/1768 | Non-radiative energy transfer between boron vacancies in hexagonal boron nitride and other 2D materials
[NO] 160/1768 | Training for Identity, Inference for Controllability: A Unified Approach to Tuning-Free Face Personalization
[NO] 161/1768 | MDE-AgriVLN: Agricultural Vision-and-Language Navigation with Monocular Depth Estimation
[NO] 162/1768 | Line Polarization of Si II $λ$6355 Å in Type Ia Supernovae: A New Statistical Approach to Probe the Explosion Physics and Diversity
[NO] 163/1768 | Morita equivalence and stable isomorphism via unitary operators
[NO] 164/1768 | $δ$-lifting and $1$-dimensional analytic fields
[NO] 165/1768 | Collective dynamics of trail-interacting particles
[NO] 166/1768 | MUT3R: Motion-aware Updating Transformer for Dynamic 3D Reconstruction
[NO] 167/1768 | The first 10years of the HAWC Gamma-Ray Observatory: science results
[NO] 168/1768 | Phase-space open-systems dynamics of second-order nonlinear interactions with pulsed quantum light
[YES] 169/1768 | Tunable Automation in Automated Program Verification
[NO] 170/1768 | Primordial Gravitational Wave Birefringence in a de Sitter Background with Chern-Simons Coupling
[NO] 171/1768 | Emergent Spatiotemporal Dynamics in Large-Scale Brain Networks with Next Generation Neural Mass Models
[NO] 172/1768 | Speciation and hydration forces in sodium carbonate/bicarbonate aqueous solutions nanoconfined between mica sheets
[NO] 173/1768 | Remarks on a result of Sibony on the Carathéodory topology
[NO] 174/1768 | Predictions of the LSST Solar System Yield: Neptune Trojans
[NO] 175/1768 | Comparing land- and skyscapes in the three main manorial-conquered lands of the Canary Islands
[NO] 176/1768 | The Protasov-Zelenyuk topology and ideal convergence
[NO] 177/1768 | Random walks and quadratic number fields
[NO] 178/1768 | Resolving Structural Transitions in Lanthanide High-Entropy Oxides
[NO] 179/1768 | Hybrid Temporal-8-Bit Spike Coding for Spiking Neural Network Surrogate Training
[NO] 180/1768 | Adaptive Parameter Control Using AAN for Lower Limb Rehabilitation Exoskeletons
[NO] 181/1768 | Generating a Contact Matrix for Aged Care Settings in Australia: an agent-based model study
[NO] 182/1768 | Hyperdimensional Computing for Sustainable Manufacturing: An Initial Assessment
[NO] 183/1768 | Diminishing Returns in Self-Supervised Learning
[NO] 184/1768 | Infinitesimal deformations of Lie algebroid pairs
[NO] 185/1768 | PULSE: A Unified Multi-Task Architecture for Cardiac Segmentation, Diagnosis, and Few-Shot Cross-Modality Clinical Adaptation
[NO] 186/1768 | Tracing the Cosmic Evolution of the Cool Circumgalactic Medium of Luminous Red Galaxies with DESI Year 1 Data
[NO] 187/1768 | CoDA: From Text-to-Image Diffusion Models to Training-Free Dataset Distillation
[NO] 188/1768 | Super-hard and superconducting boron clathrates in the prediction of U-B compounds
[NO] 189/1768 | Symplectic methods for stochastic Hamiltonian systems: asymptotic error distributions and Hamiltonian-specific analysis
[NO] 190/1768 | IM HERE: Interaction Model for Human Effort Based Robot Engagement
[NO] 191/1768 | A Robust Camera-based Method for Breath Rate Measurement
[NO] 192/1768 | Accelerating shape optimization by deep neural networks with on-the-fly determined architecture
[NO] 193/1768 | Dynamical and Photometric Analysis of NGC 146 and King 14: Evidence for a Co-Moving, Unbound Cluster Pair
[NO] 194/1768 | A User Centric Group Authentication Scheme for Secure Communication
[NO] 195/1768 | Genetic Algorithm for Inferring Model Parameters for Flux Transport Dynamo Simulation
[NO] 196/1768 | A Learning-based Control Methodology for Transitioning VTOL UAVs
[NO] 197/1768 | AdaPower: Specializing World Foundation Models for Predictive Manipulation
[NO] 198/1768 | Parameter-Efficient Augment Plugin for Class-Incremental Learning
[NO] 199/1768 | Resolving the Multiple Component Outflows in PG 1211+143: I. The Fe-K Absorption Structure and UFO Forest
[NO] 200/1768 | OpenTrack3D: Towards Accurate and Generalizable Open-Vocabulary 3D Instance Segmentation
[NO] 201/1768 | Edge bits in average symmetry protected topological mixed state
[NO] 202/1768 | Adaptive sampling using variational autoencoder and reinforcement learning
[NO] 203/1768 | FloodDiffusion: Tailored Diffusion Forcing for Streaming Motion Generation
[NO] 204/1768 | Left shifting analysis of Human-Autonomous Team interactions to analyse risks of autonomy in high-stakes AI systems
[NO] 205/1768 | Exploiting Domain Properties in Language-Driven Domain Generalization for Semantic Segmentation
[NO] 206/1768 | Ancient Algorithms for a Modern Curriculum
[NO] 207/1768 | Resource Allocation for Pinching-Antenna Systems (PASS)-enabled NOMA Communications
[YES] 208/1768 | SocraticAI: Transforming LLMs into Guided CS Tutors Through Scaffolded Interaction
[NO] 209/1768 | Arithmetic progressions in sumsets of geometric progressions
[NO] 210/1768 | Arithmetic invariants of Euclidean lattice
[YES] 211/1768 | ATHENA: Agentic Team for Hierarchical Evolutionary Numerical Algorithms
[NO] 212/1768 | Learning From Limited Data and Feedback for Cell Culture Process Monitoring: A Comparative Study
[NO] 213/1768 | Solutions to Open WDVV Equations for the Universal Whitham Hierarchy
[NO] 214/1768 | A fast stochastic interacting particle-field method for 3D parabolic parabolic Chemotaxis systems: numerical algorithms and error analysis
[NO] 215/1768 | World Models for Autonomous Navigation of Terrestrial Robots from LIDAR Observations
[NO] 216/1768 | Zero-Waste Biorefinery: Pyrolysis of Fermentation Residues into Catalytic Biochar for Circular Biohydrogen Systems
[NO] 217/1768 | TokenScale: Timely and Accurate Autoscaling for Disaggregated LLM Serving with Token Velocity
[NO] 218/1768 | A Linear Structure from Magnetic-Dipole Systems and Its Geometry
[NO] 219/1768 | Why Some Seek AI, Others Seek Therapists: Mental Health in the Age of Generative AI
[NO] 220/1768 | Dual LoRA: Enhancing LoRA with Magnitude and Direction Updates
[NO] 221/1768 | Enterprise Data Science Platform: A Unified Architecture for Federated Data Access
[NO] 222/1768 | Magnetic field amplification driven by the gyro motion of charged particles
[NO] 223/1768 | Perfect set dichotomy theorem in generalized Solovay model
[NO] 224/1768 | Joint Sensing, Communication, and Computation for Vertical Federated Edge Learning in Edge Perception Network
[NO] 225/1768 | Local categories: a new framework for partiality
[NO] 226/1768 | FireSentry: A Multi-Modal Spatio-temporal Benchmark Dataset for Fine-Grained Wildfire Spread Forecasting
[NO] 227/1768 | Hybridized-Mode Parametric Amplifier in Kinetic-Inductance Circuits
[NO] 228/1768 | A Hybrid Deep Learning Framework with Explainable AI for Lung Cancer Classification with DenseNet169 and SVM
[NO] 229/1768 | Anomalous Hall effect in an amorphous antiferromagnet with inverted hysteresis
[NO] 230/1768 | GOMP: Grasped Object Manifold Projection for Multimodal Imitation Learning of Manipulation
[NO] 231/1768 | HalluGen: Synthesizing Realistic and Controllable Hallucinations for Evaluating Image Restoration
[NO] 232/1768 | ProtoEFNet: Dynamic Prototype Learning for Inherently Interpretable Ejection Fraction Estimation in Echocardiography
[NO] 233/1768 | Sketch Tomography: Hybridizing Classical Shadow and Matrix Product State
[NO] 234/1768 | Increasing the Size of Tame Shafarevich Groups
[NO] 235/1768 | The broad-lined Type Ic supernova 2020lao reveals an energetic explosion with no central-engine signatures
[NO] 236/1768 | DINO-RotateMatch: A Rotation-Aware Deep Framework for Robust Image Matching in Large-Scale 3D Reconstruction
[NO] 237/1768 | Compton suppressed scintillation spectrometer based on a cluster of 9$\times$CeBr$_{3}$-NaI(Tl) phoswich detectors
[NO] 238/1768 | A Lyapunov-based MPC for Distributed Multi Agent Systems with Time Delays and Packet Dropouts using Hidden Markov Models
[NO] 239/1768 | Lightweight design and analysis of optical cover plate for exoplanet imaging coronagraph
[NO] 240/1768 | Transitivity and an abelian Livsic theorem for covers
[NO] 241/1768 | SRPG: Semantically Reconstructed Privacy Guard for Zero-Trust Privacy in Educational Multi-Agent Systems
[NO] 242/1768 | Active Visual Perception: Opportunities and Challenges
[NO] 243/1768 | GaussianBlender: Instant Stylization of 3D Gaussians with Disentangled Latent Spaces
[NO] 244/1768 | Different types of syntactic agreement recruit the same units within large language models
[NO] 245/1768 | Spherical accretion onto higher-dimensional Reissner-Nordström Black Hole
[NO] 246/1768 | Enhancement of Tc in Oxide Superconductors: Double-Bridge Mechanism of High-Tc Superconductivity and Bose-Einstein Condensation of Cooper Pairs
[NO] 247/1768 | Nonrelativistic Functional Properties in Collinear Antiferromagnets Based on Multipole Representation Theory
[NO] 248/1768 | Tuning spin currents in collinear antiferromagnets and altermagnets
[NO] 249/1768 | On the doubling of variables technique in first order Hamilton-Jacobi equations
[NO] 250/1768 | Gauge Symmetries, Contact Reduction, and Singular Field Theories
[NO] 251/1768 | Evaluation of Foundational Machine Learned Interatomic Potentials for Migration Barrier Predictions
[NO] 252/1768 | Context-Triggered Contingency Games for Strategic Multi-Agent Interaction
[NO] 253/1768 | AaPE: Aliasing-aware Patch Embedding for Self-Supervised Audio Representation Learning
[NO] 254/1768 | Multimodal Control of Manipulators: Coupling Kinematics and Vision for Self-Driving Laboratory Operations
[NO] 255/1768 | MemVerse: Multimodal Memory for Lifelong Learning Agents
[NO] 256/1768 | From fractional Chern insulators to topological electronic crystals in moiré MoTe2: quantum geometry tuning via remote layer
[NO] 257/1768 | CoGraM: Context-sensitive granular optimization method with rollback for robust model fusion
[NO] 258/1768 | Hamiltonian Active Matter in Incompressible Fluid Membranes
[NO] 259/1768 | Motion4D: Learning 3D-Consistent Motion and Semantics for 4D Scene Understanding
[NO] 260/1768 | Lattice-like Packings and Coverings with Congruent Translation Balls and Cylinders in Sol geometry
[NO] 261/1768 | CloseUpAvatar: High-Fidelity Animatable Full-Body Avatars with Mixture of Multi-Scale Textures
[NO] 262/1768 | Harnessing Hypergraphs in Geometric Deep Learning for 3D RNA Inverse Folding
[NO] 263/1768 | Fast directional transport of Leidenfrost droplets on spiked surfaces
[NO] 264/1768 | Fine-grained Narrative Classification in Biased News Articles
[NO] 265/1768 | Global-Local Aware Scene Text Editing
[NO] 266/1768 | Does Globalization Promote or Hinder Sustainable Development? Evidence from Turkiye on the Three Dimensions of Globalization
[NO] 267/1768 | Runnable Directories: The Solution to the Monorepo vs. Multi-repo Debate
[NO] 268/1768 | Highly Anisotropic Charge Dynamics and Spectral Weight Redistribution in the Trilayer Nickelate La$_{4}$Ni$_{3}$O$_{10}$
[NO] 269/1768 | EfficientECG: Cross-Attention with Feature Fusion for Efficient Electrocardiogram Classification
[NO] 270/1768 | Extremal diameters of 3-coloring graphs of trees
[NO] 271/1768 | Poly- and single-crystalline diamond nitrogen-induced TLS losses estimation with superconducting lumped elements micro-resonators
[NO] 272/1768 | Exact and Parametric Dynamical System Representation of Nonlinear Functions
[NO] 273/1768 | In-Context Representation Hijacking
[NO] 274/1768 | The time fractional stochastic partial differential equations with non-local operator on $\mathbb{R}^{d}$
[NO] 275/1768 | Research on Brain Tumor Classification Method Based on Improved ResNet34 Network
[NO] 276/1768 | Universally Converging Representations of Matter Across Scientific Foundation Models
[NO] 277/1768 | Fully Unsupervised Self-debiasing of Text-to-Image Diffusion Models
[NO] 278/1768 | Magnetotransport and Carrier Dynamics in Quasi-One-Dimensional Antiferromagnet KMn$_6$Bi$_5$
[NO] 279/1768 | AR-Med: Automated Relevance Enhancement in Medical Search via LLM-Driven Information Augmentation
[NO] 280/1768 | AI/ML in 3GPP 5G Advanced - Services and Architecture
[NO] 281/1768 | Probing Azimuthal Alignment in Heavy-Ion Collisions: Clusterization Effects
[NO] 282/1768 | Over-the-Air Federated Learning: Rethinking Edge AI Through Signal Processing
[NO] 283/1768 | Screening of dipolar emission in two-scale Gauss-Bonnet gravity
[NO] 284/1768 | Noise-induced stop-and-go traffic dynamics: Modelling and control
[NO] 285/1768 | A Theoretical Framework for Auxiliary-Loss-Free Load Balancing of Sparse Mixture-of-Experts in Large-Scale AI Models
[NO] 286/1768 | Aggregate then evaluate
[NO] 287/1768 | Influence of a generative parameter on the mechanical performance of topological interlocking assemblies of a hexagonal block
[NO] 288/1768 | The Treasury Proof Ledger: A Cryptographic Framework for Accountable Bitcoin Treasuries
[NO] 289/1768 | New insights into two-loop running in effective field theories
[NO] 290/1768 | Emergent Outlier View Rejection in Visual Geometry Grounded Transformers
[NO] 291/1768 | Lean Unet: A Compact Model for Image Segmentation
[NO] 292/1768 | Is Jobless Growth Valid in Turkiye? A Sectoral Analysis of the Relationship between Unemployment and Economic Growth
[NO] 293/1768 | From Micro-Distributions to Macro-Regularities: A Critique and Reconstruction of the Production Function Based on the Maximum Entropy Principle
[NO] 294/1768 | Studying the GRAiNITA concept: first test beam results
[NO] 295/1768 | Production of charged Higgs bosons associated with CP-even Higgs bosons at future multi--TeV muon colliders
[NO] 296/1768 | Solution of the Electric Field Integral Equation Using a Hybrid Quantum-Classical Scheme: Investigation of Accuracy and Efficiency
[NO] 297/1768 | Deep Reinforcement Learning for Dynamic Algorithm Configuration: A Case Study on Optimizing OneMax with the (1+($λ$,$λ$))-GA
[NO] 298/1768 | A strategy for optimal material identification in solar dark photon absorption
[NO] 299/1768 | AdaptVision: Efficient Vision-Language Models via Adaptive Visual Acquisition
[NO] 300/1768 | Bi-Isolated d.c.e. Degrees and $Σ_1$ Induction
[YES] 301/1768 | "MCP Does Not Stand for Misuse Cryptography Protocol": Uncovering Cryptographic Misuse in Model Context Protocol at Scale
[NO] 302/1768 | Learning from crises: A new class of time-varying parameter VARs with observable adaptation
[NO] 303/1768 | Spectra and pseudospectra of non-Hermitian Toeplitz operators: Eigenvector decay transitions in banded and dense matrices
[NO] 304/1768 | Thinking with Programming Vision: Towards a Unified View for Thinking with Images
[NO] 305/1768 | Dual-level Modality Debiasing Learning for Unsupervised Visible-Infrared Person Re-Identification
[NO] 306/1768 | Quantum Max Cut for complete tripartite graphs
[NO] 307/1768 | Out-of-the-box: Black-box Causal Attacks on Object Detectors
[NO] 308/1768 | Experimental and Theoretical Revisit of Ca-H Superhydrides: Anharmonic Effects on Phase Stability and Superconductivity
[NO] 309/1768 | Matrix Editing Meets Fair Clustering: Parameterized Algorithms and Complexity
[NO] 310/1768 | The ANDICAM-SOFI Near-infrared and Optical type Ia Supernova (ASNOS) sample: Description and data release
[NO] 311/1768 | Long-term calibration and validation of stability of the Auger Engineering Radio Array using the diffuse Galactic radio emission
[NO] 312/1768 | Sympathetic Cooling of Levitated Optomechanics through Nonreciprocal Coupling
[NO] 313/1768 | AITutor-EvalKit: Exploring the Capabilities of AI Tutors
[NO] 314/1768 | A Novel Approach to Tomato Harvesting Using a Hybrid Gripper with Semantic Segmentation and Keypoint Detection
[NO] 315/1768 | From Memory Model to CPU Time: Exponential Integrators for Advection-Dominated Problems
[NO] 316/1768 | Generative AI Practices, Literacy, and Divides: An Empirical Analysis in the Italian Context
[NO] 317/1768 | There exist infinite cube-free words over any sequence of binary alphabets
[NO] 318/1768 | Photonic time stretch fieldoscopy: single-shot electric field detection at near-petahertz bandwidth
[NO] 319/1768 | $\mathcal{R}(K_{\aleph_0}, \hat{K}_{2,3})$ is a win for Player 1
[NO] 320/1768 | Linking Aneurysmal Geometry and Hemodynamics Using Computational Fluid Dynamics
[NO] 321/1768 | Experimental quantum voting using photonic GHZ states
[NO] 322/1768 | Conditional updates of neural network weights for increased out of training performance
[NO] 323/1768 | Degenerate Poincaré-Sobolev inequalities via fractional integration
[NO] 324/1768 | Optimizing two-qubit gates for ultracold fermions in optical lattices
[NO] 325/1768 | MKSNet: Advanced Small Object Detection in Remote Sensing Imagery with Multi-Kernel and Dual Attention Mechanisms
[NO] 326/1768 | ReCamDriving: LiDAR-Free Camera-Controlled Novel Trajectory Video Generation
[NO] 327/1768 | Real-time evolution of critical modes in the QCD phase diagram
[NO] 328/1768 | The first out-of-ecliptic observations of the polar magnetic field of the Sun
[YES] 329/1768 | DeepRule: An Integrated Framework for Automated Business Rule Generation via Deep Predictive Modeling and Hybrid Search Optimization
[NO] 330/1768 | Physics-Based Communication Compression via Lyapunov-Weighted Event-Triggered Control
[NO] 331/1768 | Memory-Guided Point Cloud Completion for Dental Reconstruction
[NO] 332/1768 | The Dirichlet-to-Neumann map on asymptotically anti-de Sitter spaces and holography
[NO] 333/1768 | Microclimatic variation in tropical canopies: A glimpse into the processes of community assembly in epiphytic bryophyte communities
[NO] 334/1768 | Federated Learning and Trajectory Compression for Enhanced AIS Coverage
[NO] 335/1768 | Dynamic Optical Test for Bot Identification (DOT-BI): A simple check to identify bots in surveys and online processes
[NO] 336/1768 | When, How Long and How Much? Interpretable Neural Networks for Time Series Regression by Learning to Mask and Aggregate
[YES] 337/1768 | EnCompass: Enhancing Agent Programming with Search Over Program Execution Paths
[NO] 338/1768 | Feeding a Kerr black hole with quantized vortices
[NO] 339/1768 | A simple algebraic proof of the non-transitivity of the braid group action on full exceptional sequences
[NO] 340/1768 | Dynamic Content Moderation in Livestreams: Combining Supervised Classification with MLLM-Boosted Similarity Matching
[NO] 341/1768 | Resilient AFE Drive Control using Neural Networks with Tracking Guarantees
[NO] 342/1768 | Parsimonious Factor Models for Asymmetric Dependence in Multivariate Extremes
[NO] 343/1768 | V-ITI: Mitigating Hallucinations in Multimodal Large Language Models via Visual Inference-Time Intervention
[NO] 344/1768 | Cross-Space Synergy: A Unified Framework for Multimodal Emotion Recognition in Conversation
[NO] 345/1768 | Layered XZnBi (X = Rb, Cs) with Pudding-Mold Bands, Complex Fermi Surfaces and Low Thermal Conductivity: A First-Principles Study of Thermoelectric Properties
[NO] 346/1768 | Mean-Square Stability of Continuous-Time Stochastic Model Predictive Control
[NO] 347/1768 | CSMapping: Scalable Crowdsourced Semantic Mapping and Topology Inference for Autonomous Driving
[NO] 348/1768 | AfroBeats Dance Movement Analysis Using Computer Vision: A Proof-of-Concept Framework Combining YOLO and Segment Anything Model
[NO] 349/1768 | A Comprehensive Survey of 3GPP Release 19 ISAC Channel Modeling: From Empirical Features to Unified Methodology and Standardized Simulator
[NO] 350/1768 | Understanding LLM Reasoning for Abstractive Summarization
[NO] 351/1768 | Cell-cell communication inference and analysis: biological mechanisms, computational approaches, and future opportunities
[NO] 352/1768 | A Universal Harmonic Discriminator for High-quality GAN-based Vocoder
[NO] 353/1768 | Motion of a charged test particle around a static black hole in a monopole magnetic field
[NO] 354/1768 | Numerical Analysis of the 2D Stochastic Navier-Stokes Equations: Convergence under Transport Noise and No-slip Boundary Conditions
[NO] 355/1768 | Kakeya-Nikodym norms of Maass forms on $\rm{U}(2,1)$
[NO] 356/1768 | The $p$-adic Valuations of Möbius Duals of Lucas Sequences
[NO] 357/1768 | Fairness-Aware Fine-Tuning of Vision-Language Models for Medical Glaucoma Diagnosis
[NO] 358/1768 | Procedural Mistake Detection via Action Effect Modeling
[NO] 359/1768 | Bayesian Event-Based Model for Disease Subtype and Stage Inference
[NO] 360/1768 | AsymPuzl: An Asymmetric Puzzle for multi-agent cooperation
[NO] 361/1768 | Multi-Modal Opinion Integration for Financial Sentiment Analysis using Cross-Modal Attention
[NO] 362/1768 | Text-Printed Image: Bridging the Image-Text Modality Gap for Text-centric Training of Large Vision-Language Models
[NO] 363/1768 | Eval Factsheets: A Structured Framework for Documenting AI Evaluations
[NO] 364/1768 | JWST Captures Growth of Aromatic Hydrocarbon Dust Particles in the Extremely Metal-poor Galaxy Sextans A
[NO] 365/1768 | Sign-Resolved Statistics and the Origin of Bias in Quantum Monte Carlo
[NO] 366/1768 | A Chronological Analysis of the Evolution of SmartNICs
[NO] 367/1768 | Convergence for Discrete Parameter Updates
[NO] 368/1768 | Fast & Efficient Normalizing Flows and Applications of Image Generative Models
[NO] 369/1768 | Differentiation and Covering Constants for Hilbert-Schmidt and Quasi-Hilbert-Schmidt Operators
[NO] 370/1768 | Testing the Localization Landscape Theory on the Bethe Lattice
[NO] 371/1768 | Assessing Financial Statement Risks among $\mathrm{MCDM}$ Techniques
[NO] 372/1768 | Teaching Using Immersion - Explaining Magnetism and Eclipses in a Planetarium Dome
[NO] 373/1768 | PSA: Pyramid Sparse Attention for Efficient Video Understanding and Generation
[NO] 374/1768 | Non-Linear Determinants of Pedestrian Injury Severity: Evidence from Administrative Data in Great Britain
[NO] 375/1768 | Canonical metrics on families of vector bundles
[NO] 376/1768 | TARA Test-by-Adaptive-Ranks for Quantum Anomaly Detection with Conformal Prediction Guarantees
[NO] 377/1768 | AugServe: Adaptive Request Scheduling for Augmented Large Language Model Inference Serving
[NO] 378/1768 | Efficient Public Verification of Private ML via Regularization
[NO] 379/1768 | A Strict Comparison Principle for Integro-Differential Hamilton-Jacobi-Bellman Equations on Domains with Boundary
[NO] 380/1768 | When to Say "Hi" - Learn to Open a Conversation with an in-the-wild Dataset
[NO] 381/1768 | Entanglement Detection with Rotationally Covariant Measurements - From Compton Scattering to Lemonade
[NO] 382/1768 | Sponsored Questions and How to Auction Them
[NO] 383/1768 | Refining Machine Learning Potentials through Thermodynamic Theory of Phase Transitions
[NO] 384/1768 | Bounded-degree graphs of non-negative Ollivier-Ricci curvature have subexponential growth and diffusive random walk
[NO] 385/1768 | A CMOS+X Spiking Neuron With On-Chip Machine Learning
[NO] 386/1768 | Separating halo and disk stars in galaxies with Fuzzy Set Theory
[NO] 387/1768 | Aggregating maximal cliques in real-world graphs
[NO] 388/1768 | A Second Main Theorem for Entire Curves Intersecting Three Conics
[NO] 389/1768 | Accounting for Solar Radiation Pressure in the Hamiltonian Normal Form of the Elliptic Restricted Three-Body Problem
[NO] 390/1768 | Capture into Apsidal Resonance and the Decimation of Planets around In-spiraling Binaries
[NO] 391/1768 | Discontinuous Strongly Quasiconvex Functions
[NO] 392/1768 | Beyond the Ground Truth: Enhanced Supervision for Image Restoration
[NO] 393/1768 | A choice-based axiomatization of Nash equilibrium
[NO] 394/1768 | Quantum-Classical Physics-Informed Neural Networks for Solving Reservoir Seepage Equations
[NO] 395/1768 | Integrating High Performance In-Memory Data Streaming and In-Situ Visualization in Hybrid MPI+OpenMP PIC MC Simulations Towards Exascale
[NO] 396/1768 | Visualization of vortex sheets and half quantum vortices in the chiral odd-parity superconductor UPt$_{3}$
[NO] 397/1768 | The May 2024 Storm: dayside magnetopause and cusps in simulated soft X-Rays
[NO] 398/1768 | The anisotropy and magnetic field structure of neutron stars through gravitational wave
[YES] 399/1768 | A Comprehensive Study on the Impact of Vulnerable Dependencies on Open-Source Software
[NO] 400/1768 | Deformations of the Standard Map with Prescribed Actions and Lyapunov Exponents
[NO] 401/1768 | Laser-induced modulation of conductance in graphene with magnetic barriers
[NO] 402/1768 | Comparing time and frequency domain numerical methods with Born-Rytov approximations for far-field electromagnetic scattering from single biological cells
[NO] 403/1768 | Solar Wind Penetration into Dusty Magnetospheres creates Electrostatic Waves and Structures
[NO] 404/1768 | Modelling the Impact of Device Imperfections on Electron Shuttling in SiMOS devices
[NO] 405/1768 | Density of states of quantum systems from free probability theory: a brief overview
