[2026-08-23 21:10:20] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-22
正在获取论文...
[ACM] 2026-8-22 | Constructive characterisations of the
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 163/184 | A Survey on Cybersecurity Threats in Industrial and Information Technology Environments: Advancements and Resilience Through Network Steganographic Techniques
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 164/184 | An Oral Microbiome Antimicrobial Peptide Resource via Large-Scale Genome Mining and Multi-Property Screening
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 165/184 | Lightweight Single-Channel EEG Sleep Stage Classification Based on the Mamba Module and Bidirectional RNN
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 166/184 | Exploration of Medication Regularities of Patented Chinese Medicinal Compound Prescriptions Containing Thorowax Root for Depression
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 167/184 | Simulation of Neuronal Spiking Models in the Primary Auditory Cortex
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 168/184 | A Matrix-Addressable Microneedle System for Controlled Drug Release
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 169/184 | A Reproducible R Pipeline for Traumatic Brain Injury Burden Analytics in China Using GBD 1990-2021
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 170/184 | Research on Dynamic Regulation of T Cell Immune Signaling Pathways Based on Deep Reinforcement Learning
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 171/184 | Exploring the Impact of MDA-Introduced Chimeras on Structural Variation Detection in Single-Cell Long-Read Sequencing
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 172/184 | A Coarse-to-Fine SFF-Transformer 3D Registration Algorithm for Intraoperative Image Navigation in Spine Surgery
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 173/184 | A CiteSpace-Based Visual Analysis on Traditional Chinese Medicine Regulating Gut Microbiota for Disease Treatment
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 174/184 | Multi-scale Teacher Distillation for Ultra-lightweight Skin Lesion Segmentation in Mobile Scenarios
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 175/184 | TEFNet: Texture-Edge-Frequency Guided Lightweight Network for Medical Image Classification
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 176/184 | DGRNA: a long-context RNA foundation model with bidirectional attention Mamba2
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 177/184 | Designing for Nature, Time and History: Novel Locative Technologies for Multilayered Heritage
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 178/184 | Design of Intelligent Medical Laboratory Data Management System Based on IoT
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 179/184 | State-Aware Dynamic Graph Learning with Mamba-Based Temporal Modeling for ASD Classification
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 180/184 | A Prediction Model for Optimal Sampling Timing in Male Fetal NIPT Integrating Dual-Feature K-Means Clustering and CNN-LSTM Time Series Modeling
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 181/184 | In Silico Discovery of Novel SARS-CoV-2 Mpro Inhibitors through Virtual Screening
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 182/184 | Pain-Adapter: A Parameter-Efficient Adaptation Network for Facial Video-based Pain Assessment
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 183/184 | Research on AI-based Clinical Decision Support System for TCM Diagnosis and Treatment of Diabetic Kidney Disease (DKD)
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 184/184 | Structure-Derived Bottleneck-Aware Scheduling for Multitasking MCM-GPUs
筛选完成：共 184 篇；Yes = 0 篇；已保存到 papers/select_paper2026-08-22.json。
邮件发送成功！
[2026-08-23 21:23:04] 任务执行成功！
