[2026-09-22 23:20:24] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-21
正在获取论文...
[arXiv] 2026-09-21 | Jevons' Paradox and Fast Generative Simulation for HEP: Why Realistic Benchmarking is Essential
[IEEE] 2026-9-21 | MATLAB Simulation of a Hybrid Treadmill-Powered Gravity-Based Energy Storage System
[ACM] 2026-9-22 | A Preliminary Study on Simultaneous Coscheduling for Discrete GPU vs. Fused GPU
[ACM] 2026-9-22 | Portable and Resilient by Design: A Cloud-Style Stack for HPC and AI across NVIDIA Grace and Grace Hopper Superchips
[ACM] 2026-9-22 | Demonstrating SAGE: A Dataflow-Native Framework for Modular, Controllable, and Transparent LLM-Augmented Reasoning
[ACM] 2026-9-22 | Scaling the Extended OpenDwarfs: Evaluating Cross-Vendor CUDA Performance Portability with SCALE
[IEEE] 2026-9-21 | Reversible Data Hiding in Encrypted Images via Lightweight RRBE with MED based Prediction
[IEEE] 2026-9-21 | Message-Constrained Implicit Neural Image Representations for Fixed-Extractor Information Hiding
[IEEE] 2026-9-21 | A Lightweight Vision-Based Framework for Batch-Level Quality Assessment of Baked Ginger Using Robust ROI Extraction and Voting
[IEEE] 2026-9-21 | Swin Transformer-Based Hybrid Perceptual Hashing with Multi-Domain Feature Fusion for Robust Multimedia Authentication
[IEEE] 2026-9-21 | Agro-Tech Approach Deep Learning Framework for UAV-Based Pest Segmentation Using Attention U-Net and YOLO in SRI Paddy Field
[IEEE] 2026-9-21 | Large Language Quant: Cross-Domain Mathematical Trading Strategy Generation with an Agentic LLM
[IEEE] 2026-9-21 | Stability-Margin-Constrained Design of Cascade-Connected Phase Equalizers
[ACM] 2026-9-22 | ATSFV: Attribute-Based Traceable Image Data Sharing Scheme under Multi-Fog-IoVs
[IEEE] 2026-9-22 | Adaptive Nonsingular Terminal Sliding Mode with Event-Triggered Nonlinear Model Predictive Control for Quadrotors under Actuator Faults and Failures
[IEEE] 2026-9-22 | Magnetic Flux Leakage Detection Using DC Bias Field-Modulated Converse Magnetoelectric Effect in Metglas/PZT Cantilever
[IEEE] 2026-9-22 | IEEE Vehicular Technology Society Publication Information
[IEEE] 2026-9-22 | Temperature-Driven Nonlinear Performance Drift in an S-Band Helix Traveling-Wave Tube: Multiphysics Prediction and Experimental Validation
[IEEE] 2026-9-22 | Reconstructing Training Data from Models Trained with Transfer Learning
[IEEE] 2026-9-22 | Enhancing Ground Positioning with Low Earth Orbit Satellites Using Factor Graph Optimization
[IEEE] 2026-9-22 | RF Front-End Circuit Innovations for 5G-Advanced and Early 6G User Equipment
[IEEE] 2026-9-22 | A Scalable Edge-Cloud IoMT System for Automated Breast Cancer Classification with Stain-Normalized Histopathological Imaging
[IEEE] 2026-9-22 | Multi-Agent Collaborative Optimal Scheduling of Integrated Energy Systems Considering Carbon Trading and Demand Response in the Market Environment
[IEEE] 2026-9-22 | Hack the Cube: A Cybersecurity Assessment of Cubesats
[IEEE] 2026-9-22 | Hardness-Aware Contrastive Learning with Data Condensation for Open-Set Hyperspectral Image Classification
[IEEE] 2026-9-22 | INTARG: Informed Real-Time Adversarial Attack Generation for Time-Series Regression
[IEEE] 2026-9-22 | Toward Practical SWIPT with Power Peak Position Modulation of OFDM Waveforms
[IEEE] 2026-9-22 | Enhancing High-Altitude Spaceborne Navigation with Low-MEO Layer in LEO-PNT Constellations
[IEEE] 2026-9-22 | Physics-Enhanced Residual TimesNet for PV Power Forecasting Considering Irradiance-Module Temperature Coupling
[IEEE] 2026-9-22 | WOA-PTS: A Whale Optimization Based Partial Transmit Sequence for PAPR Reduction in OTFS
[IEEE] 2026-9-22 | Security and Privacy in Aquatic Acoustic Systems: A Review of ML/DL in Edge-Fog-Cloud
[IEEE] 2026-9-22 | EventDiff: A Unified and Efficient Diffusion Model Framework for Event-based Video Frame Interpolation_supp2-3733669.mp4
[IEEE] 2026-9-22 | Acceptability of using assistant robots at emergency departments: results of a cross-sectional population-based survey_supp1-3735424.docx
[IEEE] 2026-9-22 | A Collaborative Computing Power Scheduling Architecture for Multi-Business Operations in New Power Systems
[IEEE] 2026-9-22 | Few-shot Anchor-guided Multi-View Clustering With Pearson Correlation
[IEEE] 2026-9-22 | Robustness Assessment of PolSAR Target Detection Under Transferable Amplitude–Phase Perturbations
[IEEE] 2026-9-22 | Optimal Reactive Power Planning of Distribution Network with Distributed Photovoltaics Based on Improved Genetic Algorithm
[IEEE] 2026-9-22 | CNN-based models optimized by genetic algorithm and application in the diagnosis of pneumonia and COVID-19
[IEEE] 2026-9-22 | Deep Learning-Based Codebook Optimization Approach for Data over Voice Systems
[IEEE] 2026-9-22 | Commercialized Dispatch Strategy for Virtual Power Plants with PINN-Based Prediction Capability and IoT-Enabled Communication Accessibility
[IEEE] 2026-9-22 | AUAnimation: Semantically-Controllable Facial Animation From a Static Image
[IEEE] 2026-9-22 | Beyond Accuracy: A Statistical Benchmarking of Variational Quantum Circuits and Classical Regressors for Molecular Atomization Energy Prediction
[IEEE] 2026-9-22 | Crystal Oscillators in OSNMA-Enabled Receivers: An Implementation View for Security Applications
[IEEE] 2026-9-22 | Evaluating Shortcut Learning and Explanation Faithfulness in Biased Visual Datasets Using Colored MNIST
[IEEE] 2026-9-22 | Simplifying ROS2 controllers with a modular architecture for robot-agnostic reference generation_supp1-3732617.mp4
[IEEE] 2026-9-22 | Development of a Monitoring System for a Basic Utility Vehicle
[IEEE] 2026-9-22 | Integrated Optical Waveguide Bragg Grating Sensing Based on Cladding Thickness Engineering and SPR-Assisted Signal Recovery
[IEEE] 2026-9-22 | Tibetan Text Recognition in Natural Scenes Based on Component-Level Functional Multi-Head Attention Mechanism
[IEEE] 2026-9-22 | Cascading Robustness Verification: Toward Efficient Model-Agnostic Certification
[IEEE] 2026-9-22 | Research on Energy Management and Optimal Control of Wind-Solar-Storage Microgrids Based on Deep Reinforcement Learning
[IEEE] 2026-9-22 | Primary-Side Control Strategy for WPT System in Full Load Range Based on PSO-BPNN Model
[IEEE] 2026-9-22 | State-Task-Network-Based Process Modeling of Polysilicon Loads for Frequency Regulation Flexibility Characterization
[IEEE] 2026-9-22 | Ensemble Approach for Multi-Class Cervical Cancer Cell Classification Using Hierarchical Learning
[IEEE] 2026-9-22 | Attention-Driven Resunet for Accurate Landslide Segmentation Using Remote Sensing Data
[IEEE] 2026-9-22 | Study on Thin Flexible Flux Guidance Materials for Use in Transcutaneous Inductive Energy Transfer Systems
[IEEE] 2026-9-22 | Remote Robust State Estimation with Round-Robin Protocol for Uncertain Nonlinear Smart Grids under DoS Attacks
[IEEE] 2026-9-22 | Diverse Sampling from Configurable Software Systems via Automatically Extracted Features
[ACM] 2026-9-21 | A Lightweight Vision and Predictive Control Integrated Intelligent Herding Robot System
[IEEE] 2026-9-21 | Author Index
[IEEE] 2026-9-21 | ICMMIC 2026 TOC
[ACM] 2026-9-22 | Portable to Efficient: Auto-Tuning Hardware-Agnostic GPU Kernels in Julia
[ACM] 2026-9-22 | Consistent Explainers or Unreliable Narrators: Systematic Differences in Consistency and Sensitivity Across Large Language Models for Group Recommendations
[ACM] 2026-9-22 | Symbolic Derivatives: Regularity and �-Regularity Modulo Theories
[IEEE] 2026-9-22 | Carbon Leakage Under the EU ETS: A Machine Learning Approach to Embodied CO
                    <sub>2</sub>
                    in Bilateral Trade and Sectoral Heterogeneity
[IEEE] 2026-9-22 | Detecting Forwarding Misbehaviour in LEO Satellite Networks with ML-Based Trust Models
[IEEE] 2026-9-22 | A Revenue-Optimal Framework for Quantifying Crossing Energy in Multi-Source Co-Bus Renewable Power Systems
[IEEE] 2026-9-22 | Hybrid Smoothed Dirichlet-Family Regression Framework for Fake News Detection
[IEEE] 2026-9-22 | Air-Ground Coordinated Delivery Optimization for Emergency Power Repair Supplies in Plateau Mountainous Areas Considering Flexible Landing
[IEEE] 2026-9-22 | A Cascading Failure Blocking Method Mitigating Impact of Secondary Faults in Transmission Grids
[IEEE] 2026-9-22 | CIACON 2026 - List of Accepted &amp; Presented Papers
[IEEE] 2026-9-22 | Kan Based SoC Estimation
[IEEE] 2026-9-22 | Design and Implementation of an Intelligent Bookkeeping System with OCR and LLMs
[IEEE] 2026-9-22 | UP-Dem: Deep Unrolling Convolutional Sparse Coding for Color Polarization Image Demosaicking
[IEEE] 2026-9-22 | Bayesian Calculation Method for Probability of Multiple Failures of Multi-Circuit Lines with Mechanical-Electrical Coupling in AC/DC Hybrid Power Grid
[IEEE] 2026-9-22 | HalluXAI: A Claim-Level Multi-Agent Framework for Explainable Hallucination Detection in Large Language Models
[IEEE] 2026-9-22 | Dynamic Spatiotemporal Dispatch of Active Distribution Networks via Multi-Head Graph Attention Reinforcement Learning
[IEEE] 2026-9-22 | Medium- and Long-Term PV Power Forecasting Method Incorporating Extreme Weather
[IEEE] 2026-9-22 | Learning-Based Adaptive Morphing Flight Control for Disturbance Resistance of Morphing Quadrotor UAVs via Meta Reinforcement Learning
[IEEE] 2026-9-22 | <i>LPQ-HBSS:</i>
                    A Lightweight Post-Quantum Hash-Based Signature Scheme for Fog-Enabled Internet of Things Systems
[IEEE] 2026-9-22 | On the Theoretical Limits of Delay–Energy Estimation for Task Offloading in LEO Space–Ground Networks
[IEEE] 2026-9-22 | Frequency Control Strategy for Distributed Photovoltaic-Storage Systems Based on Adaptive Virtual Synchronous Machine
[IEEE] 2026-9-22 | Mechanism Analysis of Wide-Band Oscillation Induced by Voltage Fluctuation in Offshore Wind Power Systems with Long-Distance AC Transmission
[IEEE] 2026-9-22 | Sonomyography-Based Decoding of Attempted Hand Movements in Individuals with Spinal Cord Injury_supp1-3735727.pdf
[IEEE] 2026-9-22 | 2026 7th International Conference on Energy Power and Automation Engineering (ICEPAE)
[IEEE] 2026-9-22 | A FSS-Based Mode-Selective SWA for Satellite and 5G Communication
[IEEE] 2026-9-22 | Research on Rotational Misalignment Stability of Multi-Transmitter Wireless Power Transfer System Based on Distributed Curved Coil
[IEEE] 2026-9-22 | Robust Multi-Vector Predictive Current Control for PMSM Drives with Incremental Modeling and Disturbance Compensation
[IEEE] 2026-9-22 | Design and Characterization of an Optical Wireless Power Transfer System for Remote LiDAR Sensing
[IEEE] 2026-9-22 | Distributed Carbon-Aware Dispatch of Multi-Industrial Park Microgrids Considering Data-Power-Carbon Collaboration
[IEEE] 2026-9-22 | Transformer-Customer Relationship Identification Method for Low-Voltage Station Areas Based on Synchronous Phasor Measurement
[IEEE] 2026-9-22 | End-to-End Fog-Based Monitoring System for Smart Greenhouse Agriculture: From Sensor Design to Data Visualization
[IEEE] 2026-9-22 | Mix-Text-Gen-Aug: A Few-Shot Text Data Augmentation Method Based on Fusion Filtering
[IEEE] 2026-9-22 | Degradation Analysis of Lithium-Ion Batteries Under Rail Transit Vibration Environment
[IEEE] 2026-9-22 | Time-Sequential Risk Assessment of Cascading Failures Paths Considering Multi-State Transitions of Power-Electronics-Based Devices
[IEEE] 2026-9-22 | Decentralized Frequency Support Control of Distributed PV with Adaptive Step Size and ROCOF Feedforward Compensation
[IEEE] 2026-9-22 | 2026 International Symposium on Networks, Computers and Communications (ISNCC)
[IEEE] 2026-9-22 | Evaluating the Usability of ChatGPT Among University Students in Saudi Arabia: A Comparative Analysis Using SUS and CSUQ
[IEEE] 2026-9-22 | Retrieval-Based Deep Learning Model for Geo-Temporal Risk Ranking of Theft in Power Distribution Assets
[IEEE] 2026-9-22 | An Operating Condition-Aware Prototype Signature Memory Method for Anomaly Detection in Energy Storage Systems
[IEEE] 2026-9-22 | Explainable Adaptive Fusion Network: A Transparent Model for Intelligent Fault Diagnosis Using Multi-Sensor Measurement Signals
[IEEE] 2026-9-22 | Quantifying Uncertainty Bounds in Spectral Shallow Water Bathymetry: The Profile Likelihood Framework for Semi-Analytical Models
[IEEE] 2026-9-22 | Copyright Page
[IEEE] 2026-9-22 | WaveDSNet: A Wavelet-Enhanced Discrepancy Semantic Network for Water Change Detection in SAR Imagery
[ACM] 2026-9-22 | From Absence to Advocacy: Shaping the Future for Women in Tech
[IEEE] 2026-9-21 | Conflict-Free Path Planning for Multiple Four-Way Shuttles with Landmark Heuristic and Congestion Awareness
[IEEE] 2026-9-21 | Object Recognition for Visually Impaired Pedestrian Navigation Using Lightweight Yolov8n Model
[IEEE] 2026-9-21 | An MSST-Driven Feature Engineering Framework for Binary EEG Seizure Detection Across Multiple Patients
[IEEE] 2026-9-21 | Structure-Enhanced Lexical Retrieval for Code Clone Detection on POJ-104
[IEEE] 2026-9-21 | A Novel Distance Protection Method for Transmission Lines Connected to Inverter-Based Distributed Generation
[IEEE] 2026-9-21 | Human Detection Using Enhanced Particle Swarm Optimization in Occlusion Condition
[IEEE] 2026-9-21 | Active Safety Supervision Strategy for Power System Dispatching Based on Intelligent Speech Recognition
[IEEE] 2026-9-21 | RS-Flow: Learning to Plan Tool-Augmented Workflows for Remote Sensing
[IEEE] 2026-9-21 | Enhancing Scene Text Recognition via Spatial and Channel Synergistic Attention Integration
[IEEE] 2026-9-21 | DC &amp; Interface Trap charge analysis of Parallelly Stacked Dual Dielectric Source pocket Ferroelectric Double Gate TFET
[IEEE] 2026-9-21 | Machine Learning-Aided 3D User Localization with STAR-RIS using SNR-Based Refinement
[IEEE] 2026-9-21 | Accounting Behavior Similarity and Cross-Shareholding Formation: Evidence from Hypergraph Incidence Structures
[IEEE] 2026-9-21 | Intelligent Flow Rate Control Using Data-Driven ANFIS: Performance Enhancement over PID under Disturbance Conditions
[IEEE] 2026-9-21 | Modified SCA-Optimized SVM for Multi-Class Air Pollution Image Classification Using Deep Features
[IEEE] 2026-9-21 | A Wavelet-Enhanced Attention Network with Elliptical Directed Depthwise Convolutions for Nuclei Segmentation
[IEEE] 2026-9-21 | IoT-Application Based on Control and Monitoring System for Single-Phase Induction Motor
[IEEE] 2026-9-21 | Deep Neural Network and Long Short Term Memory Assisted Active Disturbance Rejection Controller for Missile Guidance System
[IEEE] 2026-9-21 | Policy-Driven Agentic Frameworks for Financial AI: Lessons from Portfolio Construction and CVA Risk Management
[IEEE] 2026-9-21 | Regional Flood Early Warning Calibration Under Geographic Shift and Sparse Sensors
[IEEE] 2026-9-21 | Design and Development of CPM Machine for Knee Rehabilitation
[IEEE] 2026-9-21 | Preface and Welcome Message
[ACM] 2026-9-21 | Lag And Learning: A Narrative Inquiry into Students' Experiences of Doing Mathematics Online with Poor Internet Connection in the Philippines
[IEEE] 2026-9-21 | Distribution-Aware Graph Reinforcement Learning for Identifying Currency Arbitrage Cycles
[IEEE] 2026-9-21 | Dynamic Modelling and Comparative Simulation Study of Control Methods for Lower Extremity Exoskeleton
[IEEE] 2026-9-21 | Real-Time Face Detection Using Hybrid Haar Cascade and SSD on Embedded Platform
[IEEE] 2026-9-21 | IDV: Customer-Context-Aware Multi-Engine Architecture for AI-Agent Intent Drift Detection in Finance
[IEEE] 2026-9-21 | Uncertainty-Calibrated Test-Time Adaptation for Cross-Dataset Breast Ultrasound Segmentation
[IEEE] 2026-9-21 | DR-EMNet for Unified Image Restoration with Dynamic Routing and Expert Mixture
[IEEE] 2026-9-21 | Paper Design and control of inspection robot multijoint manipulator and its automatic charging docking system
[IEEE] 2026-9-21 | Cloud-Edge Collaborative Learning for Edge Multimodal Large Language Models
[IEEE] 2026-9-21 | Deep Learning-Based Solar Power Generation Prediction Through Multi-Head Attention
[IEEE] 2026-9-21 | Multi-Objective Optimal Design of Bearingless Brushless DC Motors based on an Inverse Generation and Forward Refinement Framework
[ACM] 2026-9-22 | Parallel Generation of Explanatory Decision Trees for K-means Clustering using OpenMP
[IEEE] 2026-9-21 | PC Members List
[IEEE] 2026-9-22 | Probabilistic Flexibility Margin Assessment for Distribution Networks Integrated with Renewable and Flexible Resources
[IEEE] 2026-9-22 | IEEE Transactions on Components, Packaging and Manufacturing Technology Information for Authors
[IEEE] 2026-9-22 | SDN-Enabled Use Cases and Architectures for DDoS-Resilient 5G Non-Terrestrial Networks
[IEEE] 2026-9-22 | LizardNet: Lizard Connectome-Inspired Network for Fast Few-shot Hyperspectral Classification
[IEEE] 2026-9-22 | Quantum Optimal Scheduling for Seaport Power Systems Using a QUBO Model
[IEEE] 2026-9-22 | Experimental Study of a Low-Frequency Resonant Magnetically-Coupled Wireless Power Transfer System
[IEEE] 2026-9-22 | Simulation of Aging Damage Evolution in Solder Layer of IGBT Power Module Based on Fatigue Phase-Field Method
[IEEE] 2026-9-22 | Minimalist Test Circuit and Control Strategy for HVDC MMC Valve Sections
[IEEE] 2026-9-22 | Implementation of a Misalignment-Tolerant MIMO Near Field Wireless Power Transfer System
[IEEE] 2026-9-22 | Vision-Based Online Non-Disassembly Wear Assessment of Elevator Drum Brake Pads Using an Improved YOLOv5s Network
[IEEE] 2026-9-22 | Radiation Effects in p-GaN/AlGaN/GaN HEMTs: A Cross-Source Investigation
[IEEE] 2026-9-22 | Modelling of Health Monitoring System of EV Based on IoT
[IEEE] 2026-9-22 | Variable Dimension IMM and GPB2 Filters for Tracking in Multiple Model Systems
[IEEE] 2026-9-22 | Are Robust LLM Fingerprints Adversarially Robust?
[IEEE] 2026-9-22 | CE-Lag TCN: Cross-Energy Lag Enhanced TCN for Load Forecasting in Integrated Energy Systems
[IEEE] 2026-9-22 | "Org-Wide, We’re Not Ready": C-Level Lessons on Securing Generative AI Systems
[IEEE] 2026-9-22 | Label enhancement and multi-label feature selection based on fuzzy information granules
[IEEE] 2026-9-22 | A Scalable and Reproducible Framework for Per-Pixel Demographic Estimation in the Legal Brazilian Amazon Using Minimal Spatial Data
[IEEE] 2026-9-22 | Built-in Self-Test and Calibration for Electrostatic MEMS Gyroscope Based-on Voltage Controlled Oscillator
[IEEE] 2026-9-22 | Unmasking Composite Adversaries: A New Threat Model for Federated Learning
[IEEE] 2026-9-22 | Challenges and Technological Development Prospects for the Environmental Adaptability of Industrial and Commercial Power Systems in Plateau Regions
[IEEE] 2026-9-22 | Diagnosis of Lithium-Ion Battery Cycle Aging Based on Half-Battery Model
[IEEE] 2026-9-22 | 5G LAN for Optimized Air Conditioning Load Management in Power Systems
[IEEE] 2026-9-22 | Fine-Grained Temporal Learning Analytics for Behavioral Profiling and Anomaly Detection in Online Assessments
[IEEE] 2026-9-22 | Multiclass Emotional Behavior Analysis in Autism Spectrum Disorder Using Artificial Intelligence
[IEEE] 2026-9-22 | BeDaSH+: A Comprehensive Framework for Blockchain-Enabled Data-Driven Telehealth Security With Federated Learning, TinyML, and GDPR Compliance
[IEEE] 2026-9-22 | Behavioral Featurization for Data of Unknown or Volatile Dimensionality
[IEEE] 2026-9-22 | Release-Aware Prior-Guided Regex Planning for Token-Bounded Log Retrieval in AIOps
[IEEE] 2026-9-22 | Ultra-Short-Term Photovoltaic Power Forecasting Based on the Moirai Time Series Foundation Model
[IEEE] 2026-9-22 | Data-Driven Metrics for Quantifying Social Impact of Technology-Enabled Social Entrepreneurship Models
[IEEE] 2026-9-22 | Research on a Decentralized Federated Learning Framework Based on Multi-Population Genetic Algorithm for Low-Voltage Distributed Photovoltaic Systems
[IEEE] 2026-9-22 | Ship Target Detection in SAR Images with Vision Foundation Models
[IEEE] 2026-9-22 | Exploring Coupled Inductors for T-LCL Immittance Converters in Resonant Wireless Power Transfer Systems
[IEEE] 2026-9-21 | UAV-MSCrack-Det Multi-Scale Feature Optimization Network for UAV Pavement Crack Detection
[IEEE] 2026-9-21 | Direct-Fired Steam Boiler Design for Energy-Efficient Textile Dyeing and Reinforcement Learning Based Control of Dye Liquor Temperature
[IEEE] 2026-9-21 | Noise-Robust Fault Diagnosis of Analog Front-Ends for Medical Imaging Modules Based on the Relative Position Matrix and CNN
[IEEE] 2026-9-21 | An Improved A* Algorithm for Mobile Robots Path Planning in Complex Environments
[IEEE] 2026-9-21 | Lightweight and Generalizable IoT Anomaly Detection via Self-Supervised Contrastive Representation Learning
[IEEE] 2026-9-21 | Accelerated Equillibrium Learning in Multi-Agent Systems using FEQRA
[IEEE] 2026-9-21 | A Macro–Micro Hierarchical Optimization Framework for Integrated Scheduling and Motion Control of Multi-AGV Flexible Job Shops
[IEEE] 2026-9-21 | First-Principles-Based Grand Unified Theory (Gut) for Micro–Macro Modal Quantization (MQ)—Part Iii: Heisenberg–SchröDinger–Dirac Pictures, Act 2
[IEEE] 2026-9-21 | A New Mayfly Optimization Based Maximum Power Point Tracker For PV Scheme
[IEEE] 2026-9-21 | QAOA-Based Dependency-Aware Task Offloading in Vehicular Edge Computing
[IEEE] 2026-9-22 | Sequential Reconfiguration of Distribution Networks Based on Sequence Masking and SAC
[IEEE] 2026-9-22 | Evaluating Black-Box Vulnerabilities with Wasserstein-Constrained Data Perturbations
[IEEE] 2026-9-22 | Velocity Field-based Tooth Alignment Network with Interactive Guidance via Dental Arch Curves and Clinical Text Prompts
[IEEE] 2026-9-22 | An End-to-End Software Architecture Integrating Natural Language Mission Planning and Behavior Trees for Precision Agriculture
[IEEE] 2026-9-22 | A Single-Stage Current-Source DC Power Flow Controller: Application and Validation in LVDC
[IEEE] 2026-9-22 | An RBFNN-Based Online Learning Control Method for PEMFCs in DC Microgrids
[IEEE] 2026-9-22 | Magnetic Materials for Wireless EV Charging: A Quantitative Review
[IEEE] 2026-9-22 | LEO-PNT as a Spoofing Monitor: Doppler-Based Cross-Layer Detection for GNSS Resilience
[IEEE] 2026-9-22 | Transient Parameter Identification of Synchronous Generator Using State-Feedback-Compensated Pinn
[IEEE] 2026-9-22 | One RNG to Rule Them All: How Randomness Becomes an Attack Vector in Machine Learning
[IEEE] 2026-9-22 | Junction Temperature Distribution Reconstruction of IGBT Devices Based on POD
[IEEE] 2026-9-22 | Design of Sensorless Control System for PMSM Based on Adaptive Boundary Layer Sliding Mode Observer
[ACM] 2026-9-22 | Zero-Waiting Load Balancing with Heterogeneous Servers in Heavy Traffic
[ACM] 2026-9-22 | Technical Report Column
[IEEE] 2026-9-21 | Preliminary Analysis of Step Response Characteristics of Transfer Function for E-Tongue based on Voltammetry
[IEEE] 2026-9-21 | Coordinated Capacity Planning of PV, Wind, Wave Energy, and Energy Storage for Remote Island Microgrids
[IEEE] 2026-9-21 | Parallel Optimization and Performance Analysis of the Ctrmv Operator on Ascend NPU
[IEEE] 2026-9-21 | Delta AgriOS: A HydraSAR Deep Learning Framework for Satellite-Driven Crop Monitoring and Precision Irrigation Decision Support
[IEEE] 2026-9-21 | Practical Exploration and Research on AI-Based Privacy Compliance Testing for Automotive Apps
[IEEE] 2026-9-21 | DWT-Augmented Adaptive Spread-Spectrum Watermarking in Diffusion Latents
[IEEE] 2026-9-21 | State Prediction of New Energy Vehicle Electric Drive System Based on Machine Learning Algorithm
[IEEE] 2026-9-21 | MCNN for Li-ion Battery Fault Diagnosis Across Multi-Manufacturer Datasets
[IEEE] 2026-9-21 | Finite-Time Optimal Tracking Control for Multi-Load Systems with Time-Varying References
[IEEE] 2026-9-21 | Cryptocurrencies: A Comprehensive Review of Digital Currency Revolution
[IEEE] 2026-9-21 | Design and Evaluation of a Load-Balanced Audit Pipeline for Cloud Information Flow Control Systems
[IEEE] 2026-9-21 | Adaptive Deep Reinforcement Learning for Autonomous Cyber Threat Mitigation in Smart Networks
[IEEE] 2026-9-21 | Early Identification of Maize Water Stress Using a Multi-Scale Attention Fusion Network
[IEEE] 2026-9-21 | Conformal Prediction for Ordinal Credit Scoring
[IEEE] 2026-9-21 | Multimodal Fusion of Financial Text and Time Series Based on Contrastive Learning for Price Prediction
[IEEE] 2026-9-21 | Design and Application of a Three-in-One Ladder Strength Testing Instrument for on-Site Preventive Testing
[IEEE] 2026-9-21 | Causal Analysis of Safety Incident Data in Intelligent Connected Vehicles Based on a Temporal Causal Graph Model
[IEEE] 2026-9-21 | Graph-Based Encryption Framework using Star Graph Models: A Comparative Performance Analysis of ECC, RSA and ElGamal
[ACM] 2026-9-21 | Applying Binary Logistics For Predicting Impact Of Online Reviews On Hotel Booking Intention
[ACM] 2026-9-21 | Investigation into Quantitative Modeling of Smart Agriculture Demand Through Logistic Regression
[ACM] 2026-9-22 | EvoInfer: A Self-Evolution and ML-Driven Approach for Optimizing LLM Performance on Mobiles
[IEEE] 2026-9-22 | Lightweight CP-ABE Scheme for Secure Communication in WDM-PON Systems
[IEEE] 2026-9-22 | TSN-IoT: A Two-Stage NOMA-Enabled Framework for Prioritized Traffic Handling in Dense IoT Networks
[IEEE] 2026-9-22 | FourASR: Exploiting Fourier Frequency Information for Efficient Light Field Angular Super-Resolution
[IEEE] 2026-9-22 | Cover Page
[IEEE] 2026-9-22 | Vision-Guided UAV Inspection and Repair Crew Dispatch for Post-Disaster Distribution Grid Restoration
[IEEE] 2026-9-22 | 2026 International Conference on Computing, Intelligence, and Applications (CIACON)
[IEEE] 2026-9-22 | Linear and Non-Linear Chirp Interference Mitigation Technique using the Fractional Fourier Transform in GNSS Snapshot receivers
[IEEE] 2026-9-22 | Consensus-Based Distributed Secondary Cooperative Control Strategy for Islanded Microgrids
[IEEE] 2026-9-22 | Wind-PV-Storage-Grid Synchronous Configuration Calculation Module: A Two-Tier Optimization Approach
[IEEE] 2026-9-22 | Data Privacy and Security in the Quantum Era: A Comparative Evaluation between Classical and Post-Quantum Cryptography
[IEEE] 2026-9-22 | Design and Optimization of a Compact Pixelated Filtering Antenna for 5G Communication
[IEEE] 2026-9-22 | Federated Contrastive Learning for Platform-Agnostic Malware Detection in Heterogeneous IoT Networks
[IEEE] 2026-9-22 | Research on Multi-Energy Complementation Collaborative Optimization and Stability Improvement Technology for Mountainous Area Microgrids
[IEEE] 2026-9-22 | Research on Physical Models Lightweighting Technology for Aero-engine
[IEEE] 2026-9-22 | High-Sensitivity Partial Discharge Detection in Cable Joints Over Long Distances Based on Chirped Phase-Sensitive Optical Time-Domain Reflectometry
[IEEE] 2026-9-22 | Joint Energy Efficiency and Fairness Optimization for D2D Communications in Aerial-Ground Integrated Heterogeneous Networks
[IEEE] 2026-9-22 | Analysis of the Impact of a Shielding Metasurface on the Energy Transfer Efficiency of a Low-frequency Wireless Power Transfer System
[IEEE] 2026-9-22 | Geometric Characterization of Equilibrium Manifolds and Stability Boundaries in Heterogeneous GFL/GFM/SG Power Systems
[IEEE] 2026-9-22 | Research on Automatic Construction Method of College Course Content Based on Multimodal Generative Model
[IEEE] 2026-9-22 | Incremental Memory-Enhanced LSTM for Multi-Output Prediction of Electromechanical Compound Transmission Systems
[IEEE] 2026-9-22 | Safety Assessment of Magnetic Field Exposure from a Wireless Power Transfer System for Charging EVs
[IEEE] 2026-9-22 | Layout Optimization of Thermoelectric Generator Array Based on Artificial Bee Colony Algorithm Under Non-Uniform Heat Source Field
[IEEE] 2026-9-22 | Coordinated Scheduling of Internet Data Center Under Renewable Energy Uncertainty: A Flexibility Aggregation Model Considering Task Dependencies
[IEEE] 2026-9-22 | Agent-Based Strategy Analysis for Energy Storage in the Intraday Market
[IEEE] 2026-9-22 | Multi-Class ECG Arrhythmia Detection Using a Wavelet-Enhanced Temporal Attention Network
[IEEE] 2026-9-22 | A Genetic Algorithm-Optimized Googlenet Framework for Multidisease Prediction in Distributed Hospital Management Systems
[IEEE] 2026-9-22 | Power System Operational Mode Analysis with Kolmogorov-Arnold Attention GNN
[IEEE] 2026-9-22 | SMGNet: A Lightweight Spectral-Mamba-Guided Network for Hyperspectral Image Classification
[IEEE] 2026-9-22 | Kernel Entropy Slow Feature Statistical Difference Quotient for Process Monitoring of Polyethylene Production
[IEEE] 2026-9-22 | Architectural Backdoors for Within-Batch Data Stealing and Model Inference Manipulation
[IEEE] 2026-9-22 | Intelligent Pressure Control in Natural Gas Transmission Networks Using Adaptive Fuzzy Sliding Mode Control with Valve Switching Strategy
[IEEE] 2026-9-22 | Adaptive Parameter Optimization of PID Controller for Pumped Storage Units Based on Physics-Informed Neural Networks and Soft Actor-Critic
