[2026-07-24 11:04:19] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-23
正在获取论文...
[arXiv] 2026-07-23 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[NO] 98/1796 | A Needs Assessment for Measuring Geographic - Legislative Associations in the U.S. House of Representatives
[NO] 99/1796 | Compressed primitivity problem in free groups
[NO] 100/1796 | Artificial Epanorthosis: Why large language models overuse a classical rhetorical figure, and how to mitigate it
[NO] 101/1796 | An on-chip programmable mechano-quantum transducer
[NO] 102/1796 | Recurrent Sinusoidal INRs for Efficient High-Fidelity Representation
[NO] 103/1796 | CLUIE: Clustering-Aware Recurrent Propagation with Local Structural Compensation for Underwater Image Enhancement
[NO] 104/1796 | A lower bound on the growth rate of $(132,213)$-avoiding cyclic permutations
[NO] 105/1796 | KroQuant: Kronecker-Structured Block Transforms for Efficient Post-Training Quantization of Diffusion Transformers
[NO] 106/1796 | Agent-Guided Relational Concept Discovery: Toward Interpretable Surgical Margin Assessment
[NO] 107/1796 | Stochastic Quantization as Optimal Control
[NO] 108/1796 | Token Budget Saturation and Mechanistic Early Detection of Reasoning Non-Convergence in Chain-of-Thought Models
[NO] 109/1796 | Semantic-Aware Task Clustering for Constructive and Cooperative Multi-Tasking
[NO] 110/1796 | An Evaluation Framework for Structured Audio Captions Validated by Controlled Perturbations
[NO] 111/1796 | GLAM-SLAM: Real-time Gaussian Large-scale Mapping via Flow Densification and Spatial Decomposition
[NO] 112/1796 | Stochastic Potential Choices and Outcomes
[NO] 113/1796 | Chip Floorplanning Combining Convex and Non-convex Optimization
[NO] 114/1796 | Anti-Periodic Positional Encoding: Möbius Boundary Conditions Make In-Context Retrieval Reliable
[NO] 115/1796 | Two-phase source and reaction coefficient Stefan type problems
[NO] 116/1796 | ASTRA-Net: Anatomy-Specific Transfer and Representation Alignment for Drug-Induced Sleep Endoscopy Segmentation
[NO] 117/1796 | Graph Neural Network Force Fields (GPTFF-mol) for Organic Molecules from Optimization Trajectories (OpenGEM26)
[NO] 118/1796 | Langmuir probe and infrared thermography measurements of wide and narrow heat flux profiles in the ST40 tokamak
[NO] 119/1796 | Floquet Reservoir Engineering for Remote Logical Entanglement
[NO] 120/1796 | Thermal pseudo-transitions in a frustrated spin-pseudospin sawtooth chain
[NO] 121/1796 | Toward Federated Cognitive Digital Twins over the Edge-to-Cloud Continuum
[NO] 122/1796 | Magnetohydrodynamical opening of dust traps in protoplanetary disks
[NO] 123/1796 | Embodied inquiry with AI as facilitator: an exploratory case study
[NO] 124/1796 | Multi-window trace connectivity in subcritical planar Brownian loop soups
[NO] 125/1796 | Lu's conjecture for minimal surfaces in codimension two
[NO] 126/1796 | Phonetic forced alignment for low-resource language varieties: Model training and evaluation on Chengdu Mandarin
[NO] 127/1796 | Post Completeness in Conditional Logic
[NO] 128/1796 | Empowering Rural Areas with Multi-radio Microwave Backhaul Supported by Digital Twin for 5G IAB-based FWA
[NO] 129/1796 | Expert Behavior Prior Reinforcement Learning
[NO] 130/1796 | Critical-exponent stratification and inverse realization on biregular trees
[NO] 131/1796 | Multi-Task Learning for Heterogeneous Prediction from Video Game State with Transfer Learning
[NO] 132/1796 | Device-Independent Self-Testing of the Three-Qubit CCZ Hypergraph State
[NO] 133/1796 | Electricity demand has not become more price-responsive despite ninety years of technological change
[NO] 134/1796 | Zipoy--Voorhees spacetime with Maxwell and dilaton fields: exact solution and equatorial geodesics
[NO] 135/1796 | 3D-Aware VLMs with Implicit and Explicit Geometries
[NO] 136/1796 | Unified Video Dense Prediction from Disjoint Data
[NO] 137/1796 | Expanding Flow Maps
[NO] 138/1796 | Self-Supervised Learning of Structured Dynamics from Videos
[NO] 139/1796 | Tight Hamilton Cycles in Linearly Quasirandom 3-Graphs
[NO] 140/1796 | Arithmetic progressions in a random set on a budget
[NO] 141/1796 | Where You Tap Matters: A Probe-and-Model Benchmark for Open-Set RF Fingerprinting
[NO] 142/1796 | OpenForgeRL: Train Harness-native Agents in Any Environment
[NO] 143/1796 | SANA-Video 2.0: Hybrid Linear Attention with Attention Residuals for Efficient Video Generation
[NO] 144/1796 | Seeking Help in the Digital Age: A Cross-Platform Analysis of Online Support Systems for Technology-Facilitated Abuse Victims
[NO] 145/1796 | Towards Robust Iris Recognition Through Occlusion Identification and Conditional Diffusion-Based Reconstruction
[NO] 146/1796 | Sharp One-bubble Critical-Point Stability and Global Compactness for the Sobolev Trace Inequality
[NO] 147/1796 | The Ehrhart series of magic squares of order seven
[NO] 148/1796 | Relative Value Learning
[NO] 149/1796 | Photo-induced currents and short-term memory for reservoir computing in a ferroelectric semiconductor
[NO] 150/1796 | Atmosphere mitigation in CMB observations using multi-frequency time-domain component separation
[NO] 151/1796 | Toward Continuous Assurance for the Democratization of AI Agent Creation in Industry
[NO] 152/1796 | Lower bounds on the strength of the determinant
[NO] 153/1796 | Boundary Completion of Vacuum Persistence Probability
[NO] 154/1796 | Duality constrains optimal thresholds in quantum error correction
[NO] 155/1796 | HGeo-TopoMap: Boosting Topological Mapping with Hierarchical Geometric Priors
[NO] 156/1796 | When Persistency is not Exciting in Data-Driven Predictive Control
[NO] 157/1796 | A Comparative Evaluation of Embeddings and LLMs in a Greek Book Publisher Setting - The CUP Dataset
[NO] 158/1796 | BasketEvent: Understanding Who Did What and When in Basketball Videos
[NO] 159/1796 | Representation of the causal logic for the Dirac system and the electron
[NO] 160/1796 | HARMONI at ELT: optical design of the spectrograph sub-system
[NO] 161/1796 | Thermal Resummation for Very Strong First-order Phase Transitions
[NO] 162/1796 | Quantum index, Arnold-Rokhlin surfaces, and real enumerative geometry
[NO] 163/1796 | Tailoring optical Schrödinger cat states via orientation-dependent high-harmonic generation in $\rm{H}_2^+$
[NO] 164/1796 | Progressive Cramming: Reliable Token Compression and What It Reveals
[NO] 165/1796 | ICAE-Bench: Evaluating Coding Agents as Interactive Project Builders
[NO] 166/1796 | Walk-In Multi-Stage Patient Flow Scheduling: An ASP Model with DES-Based Evaluation
[NO] 167/1796 | Declarative Problem Solving in UAM Strategic Deconfliction
[NO] 168/1796 | Animation, Verification and Visualisation of Prolog Transition Systems with ProB
[NO] 169/1796 | Physics-Informed Deep Learning Model for Cross-Modality Super-Resolution in Fluorescence Microscopy
[NO] 170/1796 | Explaining Weather Bulletins via ILP
[NO] 171/1796 | Representative Sets in Propositional Abduction
[NO] 172/1796 | Out of Sight, Still in Mind: Token Compression for Omni-LLMs
[NO] 173/1796 | Mixed Hodge formality
[NO] 174/1796 | Automated Synthesis and Adversarial Validation of Executable Causal Research Pipelines
[NO] 175/1796 | Portfolio Optimization under Dynamic Rebalancing via Topological Data Analysis and News Sentiments
[NO] 176/1796 | MeV Electrophilic Axion-like Particles from Sun
[NO] 177/1796 | Agree on the Model, Verify the Inference: GKR Protocols for HND-Based Transformer Inference
[NO] 178/1796 | SafeStep: AI-powered Travel Assistance for Elderly People with Frailty or Dementia
[NO] 179/1796 | Toward Interpretable Speech Deepfake Detection using Artifact-Specific Experts and Calibrated Detection Scores
[NO] 180/1796 | Rigidity of weak solutions for anisotropic N-Laplacian equation with Neumann or Robin boundary condition
[NO] 181/1796 | Approximate Quantum State Preparation Through Proximal Policy Optimization
[NO] 182/1796 | The Second LoViF 2026 Challenge on Real-World All-in-One Image Restoration: Methods and Results
[NO] 183/1796 | RL-MACRO: A Cybernetic Closed-Loop Intelligence Framework for Multimodal Adaptive Robotic Craniotomy
[NO] 184/1796 | A stability-preserving polytopal discontinuous Galerkin method for the Fisher-Kolmogorov model with applications to neurodegenerative diseases
[NO] 185/1796 | Can Generative Recommendation Reach Cold Items? A Temporal Perspective on Semantic-ID Generation
[NO] 186/1796 | Smooth Neural Point Processes via B-Splines
[NO] 187/1796 | CASC: Causal Adversarial Subspace Clustering for Multivariate Spatiotemporal Data
[NO] 188/1796 | Improving Communication of Changes in Model-Based Engineering with Model-Independent Change Descriptions
[NO] 189/1796 | Maintenance Signals in AI-Assisted GitHub Repositories: Evidence from GenAI Adopters
[NO] 190/1796 | TransBiolab: A Real-World Multi-View Dataset of Cluttered Transparent Biomedical Objects
[NO] 191/1796 | Counterfactual Explainability Framework With CycleGAN And Counterfactual-Classifier Alignnment Score for Retinal Disease Classification
[NO] 192/1796 | Do Pathology Vision-Language Models Truly See Pathology?
[NO] 193/1796 | QuantiBias: Benchmarking Quantization-Induced Bias in LLMs
[NO] 194/1796 | Weak elastic energy of rectifiable curves in Riemannian surfaces
[NO] 195/1796 | Computations of $\tilde{A}_2$ Bruhat intervals via shadows
[NO] 196/1796 | Information criteria exploiting latent structure for model selection in Structural Equation Models
[NO] 197/1796 | Effect of free-stream turbulence on a moderate adverse pressure gradient turbulent boundary layer developing over an airfoil
[NO] 198/1796 | The exponents of $p$-groups of maximal class and their Schur multipliers
[NO] 199/1796 | GeoThreat: Transferable Targeted Adversarial Attacks on Large Vision-Language Models for Remote Sensing Image Interpretation
[NO] 200/1796 | Sources of Inequity and Fairness Risks inWellbeing Sensing
[NO] 201/1796 | Sequential Topological Superconductivity in a Square Lattice with Chiral Charge Density Waves
[NO] 202/1796 | Decay of Correlations for Partially Hyperbolic Skew-Products
[NO] 203/1796 | Transparent by Design, Usable in Practice? A Formative Usability Study of a Conversational Product Advisor
[NO] 204/1796 | A statistical-physics framework for translocation elastometry of deformable particles
[NO] 205/1796 | Statistical properties of Hecke correspondences
[NO] 206/1796 | What, Where, and How: Disentangling the Roles of Task, Language, and Model in Code Model Representations
[NO] 207/1796 | Strong correlations and local self-energies from on-site ensembles
[NO] 208/1796 | Compact Latent Coordination for Autonomous Vehicles at Unsignalized Intersections
[NO] 209/1796 | A story about a tipsy kangaroo: Reversible jump MCMC for model selection in the analysis of gravitational-wave signals from the coalescence of compact objects
[NO] 210/1796 | Identification and Robust Inference for Multiple Treatment Effects with Possibly Invalid Instruments
[NO] 211/1796 | Pseudogap formation in the moderate correlated layered attractive Hubbard model
[NO] 212/1796 | Persistent Entropy Transform: An entropy-based descriptor for topological data analysis
[NO] 213/1796 | Thinkink: 2D Spatial Ink-native Interaction with LLMs
[NO] 214/1796 | Out-of-Distribution Detection in Wireless Multimodal Foundation Models for 6G ISAC
[NO] 215/1796 | Climate-resilient electric vehicle charging infrastructure for sustainable cities: An interpretable causal-ensemble framework for preventive maintenance and low-carbon mobility
[NO] 216/1796 | Exponentially enhanced two-mode multiboson entanglement via phase-modulated tunneling
[NO] 217/1796 | Decomposing a Multi-Scale Optimization Framework for Grid-Integrated Electrolysis using Aggregate-Informed Benders
[NO] 218/1796 | Evolution of viscous vortex filaments and soliton-type propagation
[NO] 219/1796 | Approximating committor functions: Objective functions and training data sampling
[NO] 220/1796 | Euclid-MCP: A Model Context Protocol Server for Deterministic Logical Reasoning via Prolog
[NO] 221/1796 | QSTAR: Quantum Selective Transfer with Adaptive Routing
[NO] 222/1796 | Themis Consensus Extension v1: MEV Mitigation by Randomized Delayed Execution and Intent-Hiding Transactions in Application-Specific Blockchains
[NO] 223/1796 | MemTools: A Unified Research Framework for Interoperable Agent Memory
[NO] 224/1796 | When Are Reasoning-Based Guardrails Not Efficient? ResponseGuard: A Fast Vision-Language Guard for Real-Time Moderation
[NO] 225/1796 | A Hard-Core Subshift Whose Sofic Mean Dimension Depends on the Sofic Approximation
[NO] 226/1796 | CRAFT: Exploring Wearable Creative AI on Smart Glasses for Fiction Writing in Real-World Contexts
[NO] 227/1796 | Word meaning co-determines vowel-inherent spectral change. A corpus-based investigation of conversational Mandarin
[NO] 228/1796 | Reachability in Directed Acyclic Graphs with Near-Linear Cut Queries
[NO] 229/1796 | Polaritons of inherently interacting molecules
[NO] 230/1796 | On Leray's Theoreme de Structure for a weak solution to the Navier-Stokes equations: an improvement of the result
[NO] 231/1796 | A Logic-based Temporal Cohort Discovery Engine: Algorithms, Indices, and Experimental Results on the National Sleep Research Resource
[NO] 232/1796 | Equivalence of Sofic $p$-Metric Mean Dimensions and a Tame-Metric Variational Formula
[NO] 233/1796 | Electromagnetic-Aware Fluid Antenna Array
[NO] 234/1796 | Local structure at the maximum and sharp persistence asymptotics of rough fractional Brownian motion
[NO] 235/1796 | 3D Uncertainty Quantification for the Photo-Acoustic Tomography
[NO] 236/1796 | Mean-to-Score Discrete Diffusion: Posterior-Mean Denoisers for Score Entropy
[NO] 237/1796 | Importance and Science Outcomes from the first XSPECT/XPoSat Workshop
[NO] 238/1796 | A free boundary problem driven by boundary distance in the coincidence set
[NO] 239/1796 | Gradient Concentration, Not Weight Saliency, Explains Representation-Level Class Unlearning
[NO] 240/1796 | Double screening in the training dynamics of variational physics-informed neural networks for heterogeneous coupled parabolic systems
[NO] 241/1796 | Perturbative quantum electrodynamics with generalized domain wall fermions
[NO] 242/1796 | M$^3$-Gen: Interpretable Multimodal Generation of Gene Expression Profiles Using Clinical and Imaging Data
[NO] 243/1796 | On the Legendrian invariant in knot lattice homology
[NO] 244/1796 | GRADRAG: Cross-Component Prompt Adaptation for Coordinated Multi-Agent RAG
[NO] 245/1796 | Cosmological initial data without periodic boundary conditions
[NO] 246/1796 | An unfitted boundary algebraic equation method with Calderón preconditioning for 2D Stokes flow in irregular geometry
[NO] 247/1796 | Reimagining the Augmented Reality Accessibility Ecosystem for Deaf Students: Service Provider Perspectives in Experiential Learning
[NO] 248/1796 | news-crawler-LM: A Small Long-Context Model For High-Quality News Crawling
[NO] 249/1796 | GroupVideo: Multi-Identity Customized Text-to-Video Generation
[NO] 250/1796 | HiMe: Real-Time Self-Hosted Personal Agent Platform for Health Insights with Wearable Devices
[NO] 251/1796 | ADABORD: a novel AdaBoost approach for ordinal classification
[NO] 252/1796 | Sparse Concept Channels in Frozen 3D CT Vision Encoders
[NO] 253/1796 | Distributed Model-Based Diffusion For Scalable Multi-Robot Trajectory Optimization
[NO] 254/1796 | Flavour current correlators and the non-Abelian hydrodynamic approximation: the charged sector
[NO] 255/1796 | LivePhys: Transforming Static Physics Problems into Interactive Simulations via a Scan-to-Play Framework
[NO] 256/1796 | Searching for initial state fluctuations in heavy ion collisions at FAIR energy using Principal Component Analysis
[NO] 257/1796 | Enhanced robustness of evolving systems with bipartite topology
[NO] 258/1796 | Enhanced abrupt autofocusing and depth-of-focus of circular Airy derivative beams via controlled asymmetry
[NO] 259/1796 | From a Word-Level Dictionary to Sentence-Level Semantics: Multilingual Grievance Labelling with Contextual Models
[NO] 260/1796 | Gaplessness indicator by topologically trivial twisting operators
[NO] 261/1796 | Observations of High Galactic Latitude Line and Continuum Emission (912 - 1600 Å) with New Horizons
[NO] 262/1796 | Interaction Dynamics Modeling and Predictive Control for Safe Steerable Catheter--Tissue Interaction
[NO] 263/1796 | Clustered Edge Intelligence: Beyond Just Convergence of Edge Computing and AI
[NO] 264/1796 | Closed formulas for energy functions on tensor squares of higher-level perfect crystals in classical affine types
[NO] 265/1796 | The Consensus Number of Untraceable Cryptocurrencies
[NO] 266/1796 | High-dimensional sparsity-adaptive multiple change-point detection
[NO] 267/1796 | MagicMakeup: A Region-Controllable Diffusion Transformer for High-Fidelity Makeup-Transfer
[NO] 268/1796 | Scientific exploration, collaboration and labor division in the large language model era
[NO] 269/1796 | Random unitary circuits with constant spectral gap
[NO] 270/1796 | Gauge Auxiliary-Field Quantum Monte Carlo Method for Many-Fermion Systems
[NO] 271/1796 | RadioTrace: Transmitter-Aware Diffusion for Radio Map Estimation without Deployment-Time Fine-Tuning
[NO] 272/1796 | Learning to recover: Adaptive local branching with reinforcement learning for log-truck routing and scheduling under disruptions
[NO] 273/1796 | On the well-posedness of porous medium equations on general metric measure spaces
[NO] 274/1796 | DMG: A Scalable and Efficient Memory-Disaggregated Graph Processing System
[NO] 275/1796 | Generalized quadrangles with a point-primitive and line-primitive automorphism group with socle $\PSp_4(q)$
[NO] 276/1796 | Graviton-induced which-path decoherence in matter-wave interferometry
[NO] 277/1796 | Agentic Designer: Progressive Multi-Agent Collaboration for Structure-Aware Interior Layout Generation
[NO] 278/1796 | Upper bound for the first $p$-Steklov eigenvalue in $\mathbb{R}^n$
[NO] 279/1796 | Position Bias is Hidden Behind Ceiling Effects: A Permutation Diagnostic for LLM Benchmarks
[NO] 280/1796 | CSPF: A Constrained Shared-Private Fusion Method for Non-Verifiable Preference Evaluation
[NO] 281/1796 | Braid groups are not profinitely rigid
[NO] 282/1796 | Multilevel Graph Wavelet Compressed Sensing with Scale-Aware Neural Recovery
[NO] 283/1796 | Protected corners and a trichotomy for Han's conjecture
[NO] 284/1796 | How to Craft the Right Language AI Policy For Your Research Group (Some Assembly Required)
[NO] 285/1796 | Sonic Stage: Automatically Generating Interactive Spatial Soundscapes to Facilitate Dialogue Video Comprehension for Blind Viewers
[NO] 286/1796 | Prescribed extension spectra of mock automorphisms over finite fields
[NO] 287/1796 | Nonlinear and Quantum Optics with Whispering Gallery Resonators Revisited
[NO] 288/1796 | Fluctuation impossibility results for stochastic burst networks
[NO] 289/1796 | Ball-Codifference Screening for Heavy-Tailed Predictors
[NO] 290/1796 | Enhancing Explainable Cardiac Diagnosis with Guide-Grounded Multimodal LLMs
[NO] 291/1796 | Constructions for supersaturation of eventown problems
[NO] 292/1796 | XMM-Newton and Swift Unveil Another X-Ray Transient in NGC 4945, XMM J130514.64-493311.27
[NO] 293/1796 | Flow-based Phase-space Tomography of Continuous-variable Quantum States
[NO] 294/1796 | Symmetry and Quantum Geometry in Bloch Bands
[NO] 295/1796 | GraphVid: Interactive Graph-Controllable Video Generation
[NO] 296/1796 | Synthetic data generation framework for quality control automation in gravure printing
[NO] 297/1796 | Surprisal Theory is Tautological (without Rational Grounding)
[NO] 298/1796 | Generic degrees of real polynomial Keller maps with non-dense image
[NO] 299/1796 | Fault-tolerant quantum algorithms for simulating atomic nuclei
[NO] 300/1796 | Scene Parameter Saliency via Differentiable Light Transport
[NO] 301/1796 | Beyond Sycophancy: Structured Resistance and Compliance in LLM Moral Reasoning
[NO] 302/1796 | Enhancing Entanglement Purification with Shared Randomness
[NO] 303/1796 | Strategic Plan for Neutral Atom Quantum Computation
[NO] 304/1796 | MIRROR: Learning from the Other View for Multi-Modal Reasoning
[NO] 305/1796 | Unconditional Unclonable Encryption
[NO] 306/1796 | X$^3$-OPD: Distilling Reasoning into Large Audio-Language Models via On-Policy Alignment
[NO] 307/1796 | Neural solutions of coupled ghost and gluon Dyson--Schwinger equations in Landau gauge
[NO] 308/1796 | The Boundaries of Automation: A Theory of Persistent Human Participation
[NO] 309/1796 | Windowed-MTP: Removing the Full-Context Draft-KV Tax at Million-Token Context
[NO] 310/1796 | A lower bound on primordial power spectrum from halo substructure
[NO] 311/1796 | Beyond Episodic Evaluation: Memory Architectural Bottlenecks in Sequential Embodied Question Answering
[NO] 312/1796 | Discrete version of topological complexity of maps
[NO] 313/1796 | Dynamic Cloud Service-Capacity Deployment with Costly Response Readiness
[NO] 314/1796 | Advances in STV Margin Computation
[NO] 315/1796 | Simultaneous non-vanishing of Dirichlet $L$--functions, II: Weighted central limit theorem
[NO] 316/1796 | Information is all you need: Requirements Engineering Quality Reframed
[NO] 317/1796 | Determination of fundamental properties of nitrogen from first principles. III. Temperature and frequency dependence of the molecular polarizability and magnetic susceptibility
[NO] 318/1796 | Unlearning Under Imbalance: Benchmarking Fairness in Multimodal LLM Unlearning
[NO] 319/1796 | Energy-Energy Correlators at Strong Coupling
[NO] 320/1796 | On the strong coupling limit of Yang-Mills matrix models
[NO] 321/1796 | Doubling for chronological diamonds in Lorentzian geometry
[NO] 322/1796 | Fluctuation-Induced Bistability in the Dissipative Dynamics of Generic Cavity-Matter Quantum Systems
[NO] 323/1796 | Machine learning based prediction of optical properties in two-dimensional Mo-W-S-Se-Te transition-metal dichalcogenide alloys through physics-informed sampling
[NO] 324/1796 | Where Animacy Lives in Large Language Models: Tracing the Circuits of the Animacy Concept
[NO] 325/1796 | Automated Full-Sphere Measurement Methodology for Reconfigurable Intelligent Surface Beam Steering in an Anechoic Chamber
[NO] 326/1796 | Endpoint estimates for multiparameter multipliers of Marcinkiewicz type
[NO] 327/1796 | MIGHTEE: The Host-Galaxy Associated Catalogue of the Radio Sources in MIGHTEE Continuum Data Release 1
[NO] 328/1796 | Bridging the Gap Between Plausibility and Admissibility: Constraint-Aware Flow Maps for Dynamic Graph Systems
[NO] 329/1796 | Cautious optimism for deep parameterized quantum circuits
[NO] 330/1796 | One More Turn, Less Regret: A Regret-Based Multi-Turn Benchmark for LLMs' Clarification Policies
[NO] 331/1796 | Global bifurcation for steady viscous roll waves on an incline
[NO] 332/1796 | What's Missing in AGN Feedback? Lessons learnt from Magneticum, IllustrisTNG and Simba
[NO] 333/1796 | Beyond Heavy Log Curation: Perplexity-Based APT Detection via Unsupervised, Context-Augmented Language Models
[NO] 334/1796 | Measurements of the electroweak production of a $W$ boson in association with two jets at $\sqrt{s}=13\,\mathrm{TeV}$ with the ATLAS detector
[NO] 335/1796 | Optimal feedback control under stepwise equilibration and partial observation
[NO] 336/1796 | Asymptotic Analysis of Empirical Dynamic Programming in Infinite-Horizon Stochastic Optimal Control
[NO] 337/1796 | Extended Single-Atom Tweezer Arrays in High-Cooperativity Cavity-QED
[NO] 338/1796 | Revealing the conformal symmetry of the discrete series scalars in dS${}_2$
[NO] 339/1796 | Hubble tension: a short review of theoretical explanations
[NO] 340/1796 | Interoperability of Electric Drive Models using HELICS
[NO] 341/1796 | 3d-3d correspondence for knot complements with finite and large $N$
[NO] 342/1796 | Fatness and Flatness
[NO] 343/1796 | CO second overtone line variability in three carbon-rich early post-AGB stage stars
[NO] 344/1796 | AREX: Towards a Recursively Self-Improving Agent for Deep Research
[NO] 345/1796 | Diffusion posterior sampling enables zero shot kilometre scale wind forecasting over complex terrain
[NO] 346/1796 | SPDCN: Strip-based Deformable Convolutional Network for Steel Surface Defect Segmentation
[NO] 347/1796 | GrainGS: Gradient-Decoupled Gaussian Splatting for Efficient Dynamic Novel View Synthesis
[NO] 348/1796 | Context-weighted Discrete Flow Matching
[NO] 349/1796 | PATS: Policy-Aware Training Scaffolding for Agentic Reinforcement Learning
[NO] 350/1796 | Experimental Measurements of Benzene Ice Critical Saturation Ratios on Titan Tholins and Impact on the Microphysical Modeling of Titan's South Polar Benzene Cloud
[NO] 351/1796 | Selection-structure generalizations of the Borsuk-Ulam theorem
[NO] 352/1796 | Cycle-Consistent and Uncertainty-Aware Neural Surrogates for Tokamak Edge Plasmas
[NO] 353/1796 | MSBraM: A Multi-scale Self-supervised Brain Foundation Model for Hierarchical EEG Dynamics Learning
[NO] 354/1796 | Wilson Towers as Local Bulk Fields
[NO] 355/1796 | Moderate Deviations for Gaussian Maxima and an Entropy Proof of Critical SK Free Energy Fluctuations
[NO] 356/1796 | Ultra-High-Energy Particle Production in Binary Mergers Endowed with Magnetic Fields
[NO] 357/1796 | Multimodal Pretraining for Generalizable EEG Representation Learning
[NO] 358/1796 | Flexible generation of daily Earth system model projections across radiative forcing scenarios
[NO] 359/1796 | Towards Faithful Graph Explanations with Synergistic Edge Effects via Granular Balls
[NO] 360/1796 | Free-volume origin of diverging direct correlations in hard crystals: insights from an exact one-dimensional model
[NO] 361/1796 | Pressure and asymmetry govern the shape and stiffness of inflatables
[NO] 362/1796 | Incremental Optimal Assignment for Real-Time Crowd Tracking
[NO] 363/1796 | Frieze patterns and aperiodic tilings of the plane
[NO] 364/1796 | Regulating autonomous and agentic AI
[NO] 365/1796 | Teaching Business Process Modeling to Leverage Soft Skills of Computing Students
[NO] 366/1796 | Grasp, Handover, Rotate: Bimanual Object Reorientation via Compositional Diffusion and Energy-Based Optimization
[NO] 367/1796 | Capital Markets LLM Reliability Score (CM-LRS): From Plausible to Bankable
[NO] 368/1796 | Front End Amplifiers for Simultaneous Dual Readout of SiPM Sensors
[NO] 369/1796 | Ensemble Logic for Symbolic Representation of Sleep Medicine Guidelines
[NO] 370/1796 | From Static Bibliometrics to Dynamic Knowledge Graphs: An LLM-Powered Framework for Modernizing Science, Technology, and Innovation (STI) Analytics
[NO] 371/1796 | Open Veins of Algorithmic Auditing: Why AI Assessment Lags Behind Its Deployment in the Global South
[NO] 372/1796 | Spirited Away: Advective Loss of Cosmic Rays into the Milky Way's Circumgalactic Medium Explains the Large Magellanic Cloud's Low Gamma-ray Luminosity
[NO] 373/1796 | Collisionless stationary states of a stratified plasma in an expanding magnetic tube with stochastic heating
[NO] 374/1796 | Using Pre-Trends for Inference in Difference-in-Differences
[NO] 375/1796 | Factorized Spatio-Temporal Convolutions for Human Pose Estimation from Planar Lidar
[NO] 376/1796 | Visualization of Defect Electronic States in Layered Semiconductor CrSBr
[NO] 377/1796 | On the Approximation of the Unitary Operator Group Associated with a Rotation Matrix and Its Applications to Abstract Hyperbolic Equations
[NO] 378/1796 | Adaptive Depth Sparse Framework: Similarity-Driven Resource Allocation for Pre-Trained LLMs
[NO] 379/1796 | The Dark Room in the Reward Channel: Dense Prediction Rewards Collapse GRPO-Trained LLM Agents -- and What Actually Works
[NO] 380/1796 | From Berg-Purcell precision bounds to clock-limited information capacity
[NO] 381/1796 | Contribution to the 2026 Cosmology session of the 60th Rencontres de Moriond: Galactic moments: Understanding polarized foregrounds complexity in the quest for CMB primordial $B$ modes with LiteBIRD
[NO] 382/1796 | Detectors Learn the Wrong Thing: Shortcut-Resistant Adversarial Training Against Physically Realizable Attacks
[NO] 383/1796 | Exceptional supersphere integration and logarithmic Pizzetti kernels
[NO] 384/1796 | Stokes-Informed Diffusion for Robust Linear Polarization Estimation
[NO] 385/1796 | Plasma screening and configuration interaction effects induced large enhancement on L-shell photoionization cross sections and opacity
[NO] 386/1796 | High-Resolution [CI] $({^3\mathrm{P}_2}\rightarrow{^3\mathrm{P}_1})$ and CO $(J=7\rightarrow6)$ Observations of Circumnuclear Disks in Nearby Seyfert Galaxies
[NO] 387/1796 | Comparative 3D Asymmetric Expansion and Angular Widths Evolution of Fast and Slow Coronal Mass Ejections
[NO] 388/1796 | T-STAR: A Large-Scale Benchmark for Spatio-Temporal Panoptic Scene Graph Generation in Satellite Video
[NO] 389/1796 | Controlled Periodic Synchronization for Efficient Data-Parallel Training
[NO] 390/1796 | Emergent ferromagnetism in the NiI$_2$-NbSe$_2$ van der Waals heterostructure
[NO] 391/1796 | Quantum Circuit Fragments and Link Products in Continuous Variables
[NO] 392/1796 | Explainable Belief Harmonization under Dynamic Epistemic Partitions
[NO] 393/1796 | Explainability Framework for Policy-Aware Autonomous Agents
[NO] 394/1796 | Hybrid MKNF with Classical Negation in the Rule Component
[NO] 395/1796 | Chess\_db: A framework for working with large chess game datasets
[NO] 396/1796 | Encoding Event-B Proof Rules in Prolog: An Interactive Sequent Prover for ProB
[NO] 397/1796 | GLP: A Grassroots, Multiagent, Concurrent, Logic Programming Language for AI
[NO] 398/1796 | Identifying Good Rules for Efficient SAT Encodings of Single-Constant Multiplication Using Machine Learning
[NO] 399/1796 | Do emulated quantum circuits change what CNNs look at? Performance and explainability comparison in medical image classification
[NO] 400/1796 | Continuum limit of discretized matrix-valued Fourier multipliers
[NO] 401/1796 | Basis-independent coherence and quantum correlations in two dipole-dipole-coupled electrons in double quantum-dot molecules
[NO] 402/1796 | Decoupling Cross-Modality Manifold Discrepancy: Leveraging Visible Diffusion Priors for Infrared Super-Resolution
[NO] 403/1796 | Thermal Hall Resistivity as a Unifying Description of Phonon Thermal Hall Effect in Various Insulators
[NO] 404/1796 | Helical stability of double-stranded semiflexible chains with interstrand interactions
[NO] 405/1796 | Hardware-Software Co-Design for Float16 On-Device Training on RISC-V Single-Core
[NO] 406/1796 | Inferences for f(R) Models from Late-Time Megamaser Observational Data
[NO] 407/1796 | GlucoTune: A Unified Framework for Blood Glucose Preprocessing, Forecasting, and Benchmarking in Diabetes
