[2026-08-12 10:06:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608110000+TO+202608112359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-8-11 | VL-DNA: Enhance DNA Storage Capacity with Variable Payload/Strand Lengths
[NO] 28/1000 | An 82-Gb/s/mm Transceiver Using Codebook-Based CNRZ-7 Signaling and CM-to-DM Noise Reduced AFE for High-Density Transmission in 28-nm CMOS
[NO] 29/1000 | Reduced-Order Extended State Observer Based Adaptive Dynamic Surface Control for Dual-Points Levitation System of High-Speed Maglev
[NO] 30/1000 | Retraction Notice: Database Training: Requirement to Exploitation in Hyperspectral Imagery
[NO] 31/1000 | Improving UAV-derived nearshore bathymetry using geospatial machine learning
[NO] 32/1000 | Statistical Channel Fingerprint Construction for Massive MIMO: A Unified Tensor Learning Framework
[NO] 33/1000 | Bottom Door State Estimation for Coal Hopper Wagons: A Recursive Kalman Filtering Algorithm Under Amplify-and-Forward Relays and Deception Attacks
[NO] 34/1000 | Modulating Retroreflector-Aided UAV-Based FSO/QKD Systems
[NO] 35/1000 | Retraction Notice: EPNet: Efficient Patch-based Deep Network for Real-Time Semantic Segmentation
[NO] 36/1000 | Retraction Notice: Diagnosis of Alzheimer Disease using Classification Algorithms
[NO] 37/1000 | Design and Analysis of a Dual-Rotor 10-X Double-Sided Axial-Flux Variable-Reluctance Resolver with Robust Performance
[NO] 38/1000 | A Fine-grained Data Reconstruction Framework for Sparsely Sampled Industrial Time-Series
[NO] 39/1000 | Multinomial Logistic Regression for Interpretable Multiclass Decision Systems: A Systematic Review and Integrated Research Framework_supp1-3721823.xlsx
[NO] 40/1000 | Label Distribution Enhancement-Based Label Completion for High-Noise-Ratio Crowdsourcing
[NO] 41/1000 | A Hierarchical K-D Tree-Based SBR Method for Fast Prediction of Electromagnetic Scattering From Swarm Targets
[NO] 42/1000 | Beamforming and Irregular Tiled Array Design for LEO Satellite Communications
[NO] 43/1000 | Prefetching for Short Video Streaming: Experiences from a Longitudinal Evolution at Planetary Scale
[NO] 44/1000 | Explainable Network Verification via Localized Subspecification
[NO] 45/1000 | A Lumped RC Equivalent Circuit of Head Tissues for Dispersive Neuro-Electromagnetic Modeling
[NO] 46/1000 | Artificial Intelligence for Multi-Hazard Disaster Preparedness and Response
[NO] 47/1000 | A SAR Time-to-Digital Converter Embedding Time-Domain Noise-Shaping Self-Calibration
[NO] 48/1000 | From Nimitz to NetPila: The Evolution of Production-Scale Container Network
[NO] 49/1000 | DWasm: Portable Debugging for the Web
[NO] 50/1000 | End-User Programming Literacy in the Generative AI Age
[NO] 51/1000 | Reducing the Price of Robustness: An Effective Uncertainty Set for Two-Stage Adaptive Robust Economic Dispatch of Smart Grids
[NO] 52/1000 | Neural Operators for Modeling of Neuronal Electrophysiological Dynamics under Complex Stimulation
[NO] 53/1000 | SRBH-DiffFuse: SRBH-Guided Diffusion for Infrared-Visible Image Fusion
[NO] 54/1000 | Optimizing Raw Material Storage: A Case Study in the Rubber Wheel Manufacturing Industry
[NO] 55/1000 | Design of a Novel Skin Disease Classification Model Using GA-CNN Hybrid Model
[NO] 56/1000 | AI-Driven Smart Governance and Religious Values: Implications for Crisis Management and Institutional Stability in Indonesia
[NO] 57/1000 | Research on Vehicle Trajectory Tracking Anti- Disturbance Control Based on Model Predictive Control
[NO] 58/1000 | Detection of Malicious HTTP Traffic Using Large Language Models
[NO] 59/1000 | Fluid-Dynamic Optimization of Vertical Roller Mills
[NO] 60/1000 | Bridging the Pension Knowledge-Action Gap: Behavioral Analytics and Workforce Resilience
[NO] 61/1000 | Optimal Neural Network Hyperparameter Consideration through Digital Predistortion in RF Power Amplifiers
[NO] 62/1000 | Detecting Unusual Behaviour in Wireless Networks Using Artificial Intelligence: A Comparative Study on the AWID3 Dataset
[NO] 63/1000 | Shielded Constrained Multi-Agent Reinforcement Learning for Risk-Aware Three-Dimensional Route Generation
[NO] 64/1000 | A Small Sample Load Forecasting Method Based on Hierarchical Data Ensemble Transfer Learning
[NO] 65/1000 | Flexural Behavior of Reinforced Concrete Beams Incorporating Recycled Concrete Aggregate
[NO] 66/1000 | Integrated PCA and Random Forest Modelling for Understanding SHG Governance and Empowerment
[NO] 67/1000 | PMKS: Co-Designing Distributed Networking and Multi-Tier Storage for Ultra-Long Context LLM Inference
[NO] 68/1000 | Optimization Study of Temperature Rise in Heavy-Duty Truck Start-Stop Batteries Under Extreme Cold Conditions Based on Thermal Simulation
[NO] 69/1000 | Mental Health Disorder Detection in a Low-Resource Language: A Case Study on Turkish Social Media Text
[NO] 70/1000 | A Spatio-Temporal Multimodal Framework for Fine-Grained Tor Entry Traffic Identification
[NO] 71/1000 | Real-World Masked Face Authentication Based on an Occlusion-Aware Template-Query Matching Network
[NO] 72/1000 | LGF-RTDETR: A Lightweight Local-Global Fusion Framework with Real-Time Transformer to Detect Small Objects in Remote Sensing
[NO] 73/1000 | Modeling Tailed Dependencies in Driving Scenarios with Student's t Mixture Copula
[NO] 74/1000 | PEDETR: Scale-Aware Small Object Detection for Remote Sensing Images
[YES] 75/1000 | HMM-Based Framework for Proactive Web Application Vulnerability Detection
[NO] 76/1000 | Wind–Solar–Load Scenario Generation Based on Cross-Variable Attention and LLM-Based Operational Logic Verification
[NO] 77/1000 | Geometry-Consistent Content-Aware Fusion for Lightweight Small-Object Detection in UAV Imagery
[NO] 78/1000 | Blow-up of solutions of the porous medium equation with reactions and its control implications
[NO] 79/1000 | AI-Driven Structural Health Monitoring of Reinforced Concrete Using Multimodal Sensor Fusion
[NO] 80/1000 | A CMC-Na/PAAm/MWCNT Flexible Piezoresistive Conductive Hydrogel Sensor for Steering-Wheel Grip-Behavior Monitoring
[NO] 81/1000 | Ultrawide Bandgap Semiconductors: State of the Art and Technological Challenges
[NO] 82/1000 | BoxSegUS: A Spatial Consistency Box Supervised Multi-Class Segmentation with Prior and Boundary Constraint for Ultrasound Images
[NO] 83/1000 | Relation-aware Domain Alignment and Pseudo-labeling for Cross Domain Object Detection
[NO] 84/1000 | Reliability and Traffic Aware Resource Allocation for UAV-assisted Vehicular O-RAN
[NO] 85/1000 | Retraction Notice: A Review on Detection and Analysis of Psychological Disorders Using Machine Learning
[NO] 86/1000 | Hawk-Pigeon Potential Game Collaborative Control for MAV-UAV Swarm Formation
[NO] 87/1000 | Automated Leaf Disease Classification via Three-Way Information-Guided Knowledge Distillation with Feature Interaction Maximization
[NO] 88/1000 | Compressed Sensing via Sequential Majorization-Minimization and Collaborative Neurodynamic Optimization_supp1-3710065.pdf
[NO] 89/1000 | Structure Pruning with LLMs for Knowledge Graph Question Answering
[NO] 90/1000 | Distributional Deep Reinforcement Learning for Adaptive Dosing in Combined Chemotherapy and Anti-Angiogenic Therapy
[NO] 91/1000 | Retraction Notice: Analysis of Predicting Bitcoin Price using Deep Learning Technique
[NO] 92/1000 | Noise Unknown EM Based Transfer Identification for Dynamic Systems With Limited Target Data
[NO] 93/1000 | Driver Fatigue Estimation Using Multimodal Deep Learning with EEG and EOG Signals
[NO] 94/1000 | Comparison of Slow-Time Coded MIMO and Phased Array Radar Systems Under Phase Noise
[NO] 95/1000 | Explainable AI-Based Credit Default Risk Modeling on Multi-Table Data
[NO] 96/1000 | Hardware-Aware Federated Learning for Speech Emotion Recognition
[NO] 97/1000 | Sleep-Enabled LoRaWAN Gateway via Spreading-Factor Clustering
[NO] 98/1000 | The Effect of Freezing and Thresholding Selection in Transfer Autoencoders on Time Series Anomaly Detection
[NO] 99/1000 | PPO-Based JPEG Quantization Table Optimization
[NO] 100/1000 | Alzheimer-OCT Dataset and Detection of Alzheimer’s Disease using Deep Learning
[NO] 101/1000 | Classification Model Selection Using a Mahalanobis Based Multi Criteria Decision Making Metric
[NO] 102/1000 | FUSE-RAG: A Unified Architecture for Retrieval-Augmented Generation
[NO] 103/1000 | Automated Medical Information Retrieval via Agentic Filter-and-Refine Pipeline
[NO] 104/1000 | Assessing the Impact of Foundation Model Features and MIL Aggregators for HER2 Status Prediction from Whole-Slide Images
[NO] 105/1000 | 2026 34th Signal Processing and Communications Applications Conference (SIU)
[NO] 106/1000 | Resource and Location Optimization with GA in UAV-Supported Multicellular Networks: A Comparison of Greedy and Local Search
[NO] 107/1000 | LEVELLER: Fair Communication Scheduling via Progress-Rate Awareness in Multi-Tenant Training Clusters
[NO] 108/1000 | Accelerating Resilient Geo-Distributed LLM Training via Photonic-Computing-Assisted Vandermonde-Orthogonal Multiplexing
[NO] 109/1000 | A Residual U-Net GAN Framework for Robust Segmentation of Cardiac MRI
[NO] 110/1000 | Channel-Aware Lightweight Neumann Unfolding Network for MIMO Detection over Correlated Channels
[NO] 111/1000 | Learning Hierarchies in Robotic Manipulation: Asymmetries in Sequential Pushing and Grasping
[NO] 112/1000 | An intelligent home drain pipe cleaning system based on MCU STM32
[NO] 113/1000 | Research on Key Technologies of Large-Capacity Long-Distance Power Transmission
[NO] 114/1000 | Raw-Observation-Based Monitoring and Evaluation of Smartphone GNSS Positioning Performance for Urban Service Domains
[NO] 115/1000 | Multi-source Remote Sensing Image Classification Based on Differential Feature Extraction and Cross-Attention
[NO] 116/1000 | Early Fire and Smoke Detection for Small-Scale Objects Using YOLOv8
[NO] 117/1000 | Design of an Edge-Computing-Based Embedded Real-Time Wireless Signal Processing System
[NO] 118/1000 | Investigation of Concentrated Power Ultrasonic Transducers' Electro-Mechanical Characteristics with Comsol Multiphysics Software
[NO] 119/1000 | Public Sentiment of Indonesian Society Toward the Coretax Application
[NO] 120/1000 | Prediction Method for Circuit Breaker Contact Ablation State Based on Dynamic Resistance and Arc-Contact Vibration Features
[NO] 121/1000 | FS-RTDETR: An Enhanced RT-DETR for Infrared LSS Target Detection
[NO] 122/1000 | Robust Trajectory Tracking of an Underwater Robot via Disturbance-Observer-Based Adaptive Sliding Mode Control
[NO] 123/1000 | Key Technologies for Anti-icing and De-icing of Transmission Lines
[NO] 124/1000 | Optimal Iterative Learning Control with Neighboring Correction for Multi-Agent Systems
[NO] 125/1000 | Evolution and Future Prospects of Cloud Computing for Machine Learning: Innovations, Challenges and Emerging Trends
[NO] 126/1000 | An End-to-End Machine Learning Framework for Credit Card Fraud Detection Using Imbalance Handling and Ensemble Models
[NO] 127/1000 | Knowledge-Enhanced Graph Neural Network for Traffic Flow Prediction
[NO] 128/1000 | Soybean Seeds Quality Identification Through Image Classification Using Machine Learning
[NO] 129/1000 | Data-Driven Governance and Stakeholder Mapping in Edutourism Development: Evidence from Abandoned Oil Wells in Blora
[NO] 130/1000 | Adoption of Blockchain Technology in Micro, Small, and Medium Enterprises Business Dynamics: A Literature Review
[NO] 131/1000 | A Lightweight Hybrid Encryption Architecture for High-Telemetry Constrained IoT Devices
[NO] 132/1000 | Research, Design, and Fabrication of a Drop-Test Device for Evaluating the Damping Characteristics of Motorcycle Shock Absorbers: A Comparative Study Between Brand-New and 3-Year Service States Under Vietnam's Climatic Conditions
[NO] 133/1000 | Renewable Power Scenario Generation With WGAN-GP and Transformer
[NO] 134/1000 | Attention Guided Hybrid CNN Transformer Framework for Multi Disease Detection and Severity Stratification
[NO] 135/1000 | Research on temperature closed-loop control and thermoelectric coupling simulation of hightemperature superconducting cables
[NO] 136/1000 | An FPGA Accelerator Based on Improved ACO for Real-Time Dispatch of DG-Integrated Networks
[NO] 137/1000 | A Comparative Study of Embedded and Client- Server DBMS (SQLite, MySQL, and PostgreSQL) in Edge-Cloud Smart City and Digital Twin Systems
[NO] 138/1000 | Comparison Analysis of Deep Learning, Classical ML and Hybrid Models for American Sign Language Alphabet Recognition
[NO] 139/1000 | Target Localization for Robotic Arm Grasping Based on Deep Reinforcement Learning
[NO] 140/1000 | Comparative Performance Analysis of Deep Learning Architectures for Oral Cancer Detection Using Histopathological Images
[NO] 141/1000 | Zero-Shot versus Few-Shot Prompting for Complex Intent Recognition in E-Commerce Dialogue Systems: An Evaluation on an Adversarial Dataset
[NO] 142/1000 | Input Quality Validation for Clinical NLP Tradeoffs Between Accuracy and Latency
[NO] 143/1000 | Microcarrier Cell Sheets from Decellularized Tissue for Articular Cartilage Regeneration
[NO] 144/1000 | A Drug-Target Affinity Prediction Model Based on Bayesian Meta-Learning and Uncertainty Fusion
[NO] 145/1000 | Attention-Guided Deep Learning for Brain Tumor Biopsy
[NO] 146/1000 | 3D Path Following of Underactuated AUV via Line-of-Sight Guidance and Backstepping Control
[YES] 147/1000 | Fabric-Native Hardware Assurance for AI Infrastructure
[NO] 148/1000 | Poster: EPIC - When Learners Disagree, Campaigns Speak; Perceiving Structure in Unfolding SSH Episodes
[NO] 149/1000 | Networked Agent Memory and Causality Representation: Experiences towards Interpretable Cloud-Scale Root-Causing
[NO] 150/1000 | TurboBus: Pooling PCIe Bandwidth for LLM Workloads via Scale-Up Fabrics
[NO] 151/1000 | Anytest: Localizing the Root Cause of Hardware Transport Performance Anomalies
[NO] 152/1000 | Copyright Page
[NO] 153/1000 | Fault Detection on Electronic Boards with MSPRT
[NO] 154/1000 | PSD Estimation in Artifact-Contaminated HRV Signals: A Methodological Comparison
[NO] 155/1000 | Table of Contents
[NO] 156/1000 | Structured CT Imaging Artefact Assessment using Vision-Language Models
[NO] 157/1000 | RGB2HSI Spectral Reconstruction on NEON Tree Canopy Data
[NO] 158/1000 | Underwater Localization using Forward-Looking Sonar and Artificial Object References
[NO] 159/1000 | Preface
[NO] 160/1000 | Semantic Relevance Detection of Visual Content in Corporate Reports Using Layout-Aware Vision-Language Models
[NO] 161/1000 | Task-Oriented Navigation with Semantic Perception for Monocular Camera-Based Mobile Robots
[NO] 162/1000 | MiRTS:
                    <u>S</u>
                    cheduling of
                    <u>M</u>
                    ixed
                    <u>R</u>
                    eal-
                    <u>T</u>
                    ime
                    <u>T</u>
                    asks on Accelerator-based Heterogeneous Architectures
[NO] 163/1000 | A Unified LCDI-FDTD Scheme for General Dispersive Media Based on CCPR Representation
[NO] 164/1000 | Retraction Notice: Paint / Writing Application through WebCam using MediaPipe and OpenCV
[NO] 165/1000 | HADR-UNet: An Image Segmentation Network for Blasted Ore in Open Pit Mines (June 2026)
[NO] 166/1000 | Resilient coherent optical transmission against-lightning induced ultrafast polarization dynamics via optical-electrical synergy strategy
[NO] 167/1000 | Comparison of Real and Imagined Movements in EEG Signals: Feature and Channel Based Analysis
[NO] 168/1000 | System-Level Evaluation of Control, Optimization, and AI/ML Methods in Maritime Power Systems: An IEEE TIA Perspective
[NO] 169/1000 | Continuous Monitoring in Implantable Cardiac Devices: Electro-Quasistatic Human Body Communication– Challenges and Opportunities
[NO] 170/1000 | Retraction Notice: Automatic Fracture Detection in Hand Bone Using MATLAB and Image Processing
[NO] 171/1000 | FedDiDC: Federated Diffusion Learning with Dual-Side Calibration for Data Heterogeneity
[NO] 172/1000 | A Level-Decoupled FHE Accelerator With Intra-Stage Iteration and Inter-Stage Pipelining Architecture
[NO] 173/1000 | Retraction Notice: Liver Disease Prediction using Semi Supervised based Machine Learning Algorithm
[NO] 174/1000 | Retraction Notice: Biometrics based Smart and Secured Electronic Voting Machine
[NO] 175/1000 | Electric Vehicle Battery Swapping Demand Prediction Based on Adaptive Multi-Scale Temporal Feature Fusion Network
[NO] 176/1000 | Effects of Seamounts and Islands and Reefs on Constructing topography from SWOT Satellite Gravity anomaly: A Case of South China Sea
[NO] 177/1000 | A Comparative Analysis of MLP and Kolmogorov-Arnold Networks (KAN) for Faster-than-Nyquist (FTN) Signaling Detection
[NO] 178/1000 | Deep Learning-Based Activity and Posture Recognition Using mmWave Radar Data
[NO] 179/1000 | CNN-TA-Based Buy and Sell Signal Generation via Fusion of Technical Analysis Images and News Sentiment
[NO] 180/1000 | A Synthetic Benchmark and Fair Evaluation Protocol for Industrial Load Modeling with Production-Scheduling-Generated Labels
[NO] 181/1000 | Design of a 2D Image Cross-Section Method for Estimating Mass and Volume of Vietnamese Avocado 034 in Arbitrary Poses and Positions
[NO] 182/1000 | Human–AI Collaboration and Creativity: The Impact of ChatGPT Use Among Copywriters in the Digital Creative Industry
[NO] 183/1000 | Simulation Design of 555 Timer based on Cadence virtuoso
[NO] 184/1000 | Explainable AI-Based Phishing Website Detection Using Feature-Driven Analysis
[YES] 185/1000 | Design and Implementation of a Self-Closed-Loop Stimulus-Response Test System for Unknown Circuits with Circuit Classification
[NO] 186/1000 | Edge-ViT: Real-Time, Edge-Optimized ViT System for Deepfake Detection
[NO] 187/1000 | A Cubic Nonlinear Price-Elasticity Model of Demand Response with Temperature Correction and Distributionally Robust Parameter Inference
[NO] 188/1000 | Switching to Low-Carbon Fuels through Modeling
[NO] 189/1000 | Flexible Control Strategy for EV Charging Stations Based on MMD-K-means and Congestion Risk Index
[NO] 190/1000 | Adaptive Differential Protection with Positive- and Negative-Sequence Fusion for Active Distribution Networks with Unmeasurable Branches
[YES] 191/1000 | Progressive Knowledge-Driven Defect Detection Based on Invariants
[NO] 192/1000 | AeroSurf-Net: A Dual-Task Hybrid Framework for Airport Object Detection and Surface Condition Assessment Using Deep Learning and Texture Analysis
[NO] 193/1000 | Disturbance-Observer-Based Control for 2-D Semi-Markov Jump Roesser Systems Under Constrained Signal Transmission
[NO] 194/1000 | A Hybrid Framework: Dwell Time and Demand- Driven Zoning in Port-Base CKD Warehouses
[NO] 195/1000 | A TCN-GCN Based Channel Selection Method for MEG Motor Imagery
[NO] 196/1000 | EfficientNet-B4 Based Deep Learning Framework for Rice Nitrogen Deficiency Classification
[NO] 197/1000 | A Study on 3D Motion Control of a Manta Ray Robot Based on the TD3 Deep Reinforcement Learning Algorithm
[NO] 198/1000 | Multimodal Framework for Early Detection of Alzheimer's Disease from Handwriting and Speech Recognition Using Deep Learning
[NO] 199/1000 | Development of CMS an Application of ES for Fighting Against the Tomato Plant Disease for the People of Chhattisgarh Especially Tribal Population
[NO] 200/1000 | Modeling Wind Power Uncertainty Using the D-Vine Copula and a Variable-Window Rolling Ellipsoid
[NO] 201/1000 | Explainable Machine Learning Framework for Early Detection and Classification of Kidney Infections Using Clinically Relevant Features
[NO] 202/1000 | Robust Fractional Estimation of Lithium-Ion Battery SOC and Capacity with Information Gating
[NO] 203/1000 | BIM-IFC Information Organization and Lifecycle Data Interoperability for Reinforced Concrete Structures
[NO] 204/1000 | Optimization of Sub-threshold Bandgap Reference Circuit with Immune Plasma Algorithm
[NO] 205/1000 | Manifold-Regularized Self-Organizing RBF Networks with Event-Driven Structural Evolution
[NO] 206/1000 | Hybrid DV-Hop Localization in Wireless Sensor Networks Using Black Kite Algorithm and Mountain Gazelle Optimizer
[NO] 207/1000 | Urban Expansion Monitoring Using Integrated SAR and Optical Remote Sensing Data
[NO] 208/1000 | Kinematic and Performance Investigation of Two 3- RPS Parallel Mechanisms
[NO] 209/1000 | FedMineMT: Personalized Federated Learning with Local EMA Teachers for Robust Foreign Object Detection in Coal Mines
[NO] 210/1000 | Automated Processing of Professional Text with Respect for the Intellectual Property of the Authors of the Sources Used
[NO] 211/1000 | Integrated Acoustic Localization and State Recognition for UAVs Under Background Noise
[NO] 212/1000 | CAGE-Rank: Criticality-Aware Graph Evidence Ranking for Passive Cybersecurity Perception in Oil and Gas Stations
[NO] 213/1000 | A Musical Robot on a Six-Axis Arm: From Numbered Musical Notation to Real-Time Xylophone Performance
[NO] 214/1000 | Sustainable Application of Waste Silica Sludge as a Fine Aggregate Replacement in Alkali-Activated Mortars
[NO] 215/1000 | Extended AI Architectures for Wearable-Driven and Remote Healthcare Systems
[NO] 216/1000 | Recommendation-as-Experience: A Framework for Context-Sensitive Adaptation in Conversational Recommender Systems
[NO] 217/1000 | 2007 IEEE Electric Ship Technologies Symposium
[NO] 218/1000 | A Spectrally Optimized Tetrahedral Operator Paradigm for Electromagnetic–Thermal–Mechanical Analysis of High-Power Microwave Devices
[NO] 219/1000 | Joint Spectrum, Association, and Deployment Optimization for UAV Swarm-Assisted ISAC Networks
[NO] 220/1000 | Drift-Adaptive Synchronization for Energy–Fidelity Tradeoffs in Digital Twin IoT Systems
[NO] 221/1000 | Fixed-Time Convergent Resilient Critic-Learning Control With Asymmetric Input-State Constraints Under Hybrid FDI–DoS Attacks
[NO] 222/1000 | TORE-NET: A Task Replication and Offloading Strategy in Reliable and Energy-Efficient Mobile Edge Computing Networks
[NO] 223/1000 | Fuzzy-clustering Attentive Network with Context-aware Enhancement for Image Denoising
[NO] 224/1000 | PointDiffuse: A Dual-Conditional Diffusion Model for Enhanced Point Cloud Semantic Segmentation
[NO] 225/1000 | DynamiQ: Accelerating Gradient Synchronization using Compressed Multi-hop All-reduce
[NO] 226/1000 | CausalTune: Causal Learning based Automated Cellular RAN Configuration Tuning Framework
[NO] 227/1000 | Open the Floodgates in a Digital Twin: Experiences of Building Spillway for 100M+-User Signaling Storms in Cellular Core Network
[YES] 228/1000 | IntentP4: Bridging P4 Temporal Specifications and Executable Network Tests
[NO] 229/1000 | Odin: Rethinking Congestion Control under All-to-All Traffic
[NO] 230/1000 | Retraction Notice: Analysis of Collaborative and Convenient E-Learning on Cloud Computing
[NO] 231/1000 | To what extent does driving style and head pose dynamics impact safety critical events under disrupted traffic flow: A computer vision and machine learning approach
[NO] 232/1000 | Retraction Notice: Sign Language Converter Using Hand Gestures
[NO] 233/1000 | WaveBlock: Hybrid Discrete Wavelet Transform and Block Truncation Coding Based Video Compression Architecture for Resource-Constrained Embedded Systems
[NO] 234/1000 | Dynamic Task-Based Urban Routing with IoT Telemetry
[NO] 235/1000 | Evolutionary Optimization of Gait Stability for Three Spoke Wheg Rovers via Discrete Element Method
[NO] 236/1000 | The Schur Complement-Based Covariance Intersection Method
[NO] 237/1000 | LLM-Assisted Indoor Scene Assembly with Rule-Based Spatial Validation for Emergency Navigation
[NO] 238/1000 | AI-Based Autonomous, Energy-Efficient and Resilient O-RAN Architecture for 5G and 6G Networks
[NO] 239/1000 | DeepChequeNet: A Hybrid Ensemble for Default Risk Scoring in Cheque Factoring
[NO] 240/1000 | A Comparative Study of Visual Appearance-Based Screening Methods for Pediatric Adenoid Facies
[NO] 241/1000 | CEPIN: Contrastive Entity-Pair Interaction Network for Financial Relation Classification in Chinese Corporate Annual Reports
[NO] 242/1000 | Precise Positioning Soot-Blowing Control Using Virtual Feedback in DCS
[NO] 243/1000 | Temperature-Induced Carrier Frequency Offset Variability in LoRa Devices: An Experimental Study
[NO] 244/1000 | AI-Assisted Detection and Prognosis of Rheumatoid Arthritis from Joint Imaging and Genomic Data
[NO] 245/1000 | Coordinated Sizing of Multi-Type Energy Storage Systems for Remote Microgrids Considering Resilience Constraints Under Extreme Events
[NO] 246/1000 | Voltage Predictive Control Strategy for CLLC Resonant Converters Based on Simplified TimeDomain Model
[NO] 247/1000 | Voice Evaluation System Based on Sensor Data Acquisition and Acoustic Feature Extraction
[NO] 248/1000 | High-Precision Semantic Segmentation System with Feature Fusion Enhancement for UAV Inspection Scenarios
[NO] 249/1000 | Agentic RAG for Structure Aware Long Document Reasoning
[NO] 250/1000 | Comparative Analysis of Pose Estimation Model for Mobile Motion Tracking Application
[NO] 251/1000 | IREF-VITON: Input Representation Enhancement and Fusion in Image-Based Virtual Try-On Systems
[NO] 252/1000 | Research on Transmission Line Mast Posture Monitoring Technology Based on Mechanics-Data Fusion
[YES] 253/1000 | A Large-Language-Model-Oriented Dual-Channel Agent Framework for Intelligent Generation of Simulation Scenarios
[NO] 254/1000 | Network-Induced Asynchronous Fuzzy Control for SPMSM Servo System Against Nonlinear Friction
[NO] 255/1000 | Optimization of Multi-Robot Cooperative Inspection Path Planning for Chemical Plants with Energy Constraints
[NO] 256/1000 | Artificial Intelligence–Driven Healthcare with Enhanced Data Security and Patient Privacy
[NO] 257/1000 | Smart Computing for Data Science: Brain–Computer Interface
[NO] 258/1000 | From Homogenized Hyperbolic to Nonlocal Heat Conduction in Periodic Media
[NO] 259/1000 | PR-GVAE: Property-Controllable Molecular Generation via Conditional Graph Variational Autoencoder
[NO] 260/1000 | Contingency Assessment of a Renewable-Integrated Multi-Terminal HVDC Grid
[NO] 261/1000 | Research on the continuous overvoltage characteristics of submodule and suppression strategy of VSC-UHVDC system
[NO] 262/1000 | Vision-Based Plant Disease Prediction and Intelligent Control Mechanism for Cotton Crops Plants
[NO] 263/1000 | Visual Design Literacy in Logistics 4.0 Education: Rethinking Design Styles for Intelligent Decision Support System
[NO] 264/1000 | The Berth Allocation Optimization Based on Robust ICSA for Low-Carbon Ports
[NO] 265/1000 | Identification of Pathophysiological Indicators in CKD Classification Using SHAP
[NO] 266/1000 | Edge-Aware Transformer Encoder for UAV-Based Power Grid Defect Detection
[NO] 267/1000 | An AI-Based Smart Waste Reporting and Pickup System for Urban Environments
[NO] 268/1000 | Improvement and Mechanism Study of a Mechanical Reinforcement Scheme for Large-Mass CQFP Devices in Aerospace Applications
[NO] 269/1000 | A Stealthy False Data Injection Attack Detection Method Based on the Integration of Deep Learning and Statistical Process Control
[NO] 270/1000 | Optimizing Agricultural Logistics and Market Access Using Machine Learning Models
[NO] 271/1000 | Edge Computing for Radar-Based Contactless Vital Signs Monitoring in Smart Healthcare
[NO] 272/1000 | The Cost/Value of High Angle Conveying
[NO] 273/1000 | Research on Single-End Detection Method for RJ45 Connector Quality Based on Micro-positioning Grating and LC Impedance Spectroscopy
[NO] 274/1000 | Evolutionary Genetic Optimization of Deep Learning for Scalable Cloud-Fog System
[NO] 275/1000 | AI-Driven Smart Energy Management System for Renewable Power Optimization
[NO] 276/1000 | Robust Hand-Eye Calibration Based on Optimized Dual Quaternions
[NO] 277/1000 | Deformation Behavior of Single-Crystal Al
                    <sub>0.3</sub>
                    CoCrFeNi Hea Alloy with Various Inclusion Materials During the Tensile Process
[NO] 278/1000 | AI Literacy For Lower Secondary Education
[NO] 279/1000 | OmniPath Ping: Active Network Measurement in the Era of Packet Spraying
[NO] 280/1000 | Elastispec: Formalizing Enterprise Firewall Management with Informal and Elastic Specifications
[NO] 281/1000 | Planogram: A Multi-dimensional Physical Location Planning System for DC Networks
[NO] 282/1000 | POSTER: Beyond Probabilistic Data Structures for AI/ML Workload Monitoring
[NO] 283/1000 | Network System Performance Insights Through Graph Signal Smoothness
[NO] 284/1000 | Retraction Notice: Energy-Efficient Routing Algorithms for Wireless Sensor Networks in Precision Agriculture
[NO] 285/1000 | Flush Air Data Sensing via Two-Branch Neural Network Incorporating Dimensionless Features from the Triples Algorithm
[NO] 286/1000 | Particle Swarm Optimization-Aided Enhanced Belief Propagation Bit-Flipping Decoding of Polar Codes
[NO] 287/1000 | Robot Intrinsic Tactile Sensing for Touchscreen-Like Interaction: Character Recognition on an Uninstrumented Touchpad
[NO] 288/1000 | Multigroup Encirclement and Obstacle Avoidance of Unmanned Surface Vehicles via Group-Based Policy Optimization
[NO] 289/1000 | Resource-Aware Scheduling of Graph Partitions for Distributed Graph Computing in Heterogeneous Clusters
[NO] 290/1000 | Enabling Space Datacenter Connectivity via Satellite Constellations
[NO] 291/1000 | Short-Term Load Forecasting for Distribution Networks via Sample Entropy-Guided Secondary Decomposition and Deep Learning
[NO] 292/1000 | Retraction Notice: Detection of Brain Tumor from the MRI Images using Deep Hybrid Boosted based on Ensemble Techniques
[NO] 293/1000 | “Onion peeling” Method for MIGHTI Temperature Retrieval with Enhanced Precision and Full Coverage
[NO] 294/1000 | Utility Maximization in Multi-Functional UAV- and IRS-Aided SWIPT-MEC Networks: A Dynamic Feature Extraction-Based Optimization Approach
[NO] 295/1000 | Retraction Notice: Development of Raspberry Pi Based Embedded Scheme for Power Theft Monitoring
