[2026-07-01 12:09:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-30
正在获取论文...
[arXiv] 2026-06-30 | Contrastive Regularization of Machine Learning Potentials
[IEEE] 2026-6-30 | Demonstration of 10-Gb/s Low-Power Bidirectional FSO Link Using a Single Compact Collimator
[IEEE] 2026-6-30 | A Passive Clamping Capstan Brake for Strap-Based Wearable Robots_supp3-3706929.mp4
[ACM] 2026-6-30 | An Improved YOLOv11 Object Detection Network Based on Multi-Scale Feature Fusion
[IEEE] 2026-6-30 | A Secure Three-Factor Vehicle Authentication Scheme based on Chebyshev Polynomials for VANETS
[IEEE] 2026-6-30 | Enhanced Anomaly Detection and Surety in Safeguards Data: Novel Approach
[IEEE] 2026-6-30 | Collaborative Optimization of Target Detection and Path Planning in Vision Systems for Disaster Relief Robots
[IEEE] 2026-6-30 | A 65-nm Multi-Modal Bayesian Inference Engine With 16.3-fJ/Sample Calibration-Free GRNG for Risk-Aware At-Home Skin Lesion Screening
[ACM] 2026-6-30 | GAER: Graph Auto-encoders for Unsupervised Software Architecture Recovery
[ACM] 2026-6-30 | SwarmBox: A Plug-and-Play Drone Swarm Framework for Streamlined Development and Comprehensive Analysis
[ACM] 2026-6-30 | Coding in a Bubble? Evaluating LLMs in Resolving Context Adaptation Bugs during Code Adaptation
[ACM] 2026-6-30 | Small Is Beautiful: A Practical and Efficient Log Parsing Framework
[IEEE] 2026-6-30 | A Microgrid-Based Solution to Support Decarbonisation of Rural Building Clusters
[IEEE] 2026-6-30 | Condition-Aware Health Assessment Framework for eVTOL Energy Storage Systems under Varying Mission Conditions
[IEEE] 2026-6-30 | State of Charge Estimation for Lithium-Ion Batteries Based on NGO-BP Neural Network Optimized EKF Algorithm
[IEEE] 2026-6-30 | Enhanced ferroelectricity in hafnium-based films grown on silicon substrate
[IEEE] 2026-6-30 | Design Optimization of a Novel Magnetic Core Wireless Power Transmission System for Power Density Enhancement
[IEEE] 2026-6-30 | Phase-by-Phase Switching Strategy of Dual-Winding Permanent Magnet Synchronous Motor Based on Harmonic Suppression and Voltage Compensation
[IEEE] 2026-6-30 | Governing the Data Sharing Infrastructure of the Future: Insights from the UK Energy Sector
[IEEE] 2026-6-30 | Adaptive Leader-Follower Consensus Control for Harmonic and Unbalanced Power Sharing in Microgrids with Enhanced Voltage Quality
[IEEE] 2026-6-30 | A Resilient Scheduling Method with Load Forecasting for Multi-Energy Microgrids
[IEEE] 2026-6-30 | An Omnidirectional Misalignment Tolerant Coupler with Tunable Magnetic Field for UAV Wireless Charging
[IEEE] 2026-6-30 | Differential-Mode Inductance Shaping for Dynamic Current Sharing of Paralleled Switches
[IEEE] 2026-6-30 | Dual-Voltage-Overshoot in Turn-off Transient of Press-Packed IGBT Device: Characteristics and Modelling
[IEEE] 2026-6-30 | Active Frequency Support Control Method for Multiple Mode Grid Construction of Energy Storage Systems
[IEEE] 2026-6-30 | Multi-Parameter Operating Condition Identification of Oil-Immersed Shunt Reactors Based on a CNN-LSTM Fusion Model
[IEEE] 2026-6-30 | Primary-Side Constant-Current Control for Underwater Wireless Power Transfer
[IEEE] 2026-6-30 | A Multi-Modal Spatio-Temporal Framework for Collective Activity Recognition
[ACM] 2026-6-30 | Ztrategic: Libraries and Tools For Software Language Specification, Transformation, and Testing
[ACM] 2026-6-30 | A Formal Model of Multi-Controller Orchestration Systems in Cloud Management
[ACM] 2026-6-30 | Verifying Structural Robustness of Deep Neural Network
[IEEE] 2026-6-30 | Stability of Digital Event-Triggered Control Systems Under Input and Output Network Delays
[IEEE] 2026-6-30 | Analysis and Design of Reset Control Systems via Base Linear Scaled Graphs
[IEEE] 2026-6-30 | Advanced Augmented Reality in Leisure and Gaming with 5G Technology
[IEEE] 2026-6-30 | A Slot-Optimized Microstrip Patch Antenna for Non-Invasive Blood Pressure Monitoring
[IEEE] 2026-6-30 | Parallel Integer and Learning-Augmented Sorting Algorithms in the Binary-Forking Model
[IEEE] 2026-6-30 | Improved Light Gradient Boosting Decision Tree for Demand Forecasting Prediction in smart retail system based on Machine Learning
[IEEE] 2026-6-30 | A Marginal-Sensitivity-Based Real-Time Secure and Economical Dispatch Strategy for DC Microgrids
[IEEE] 2026-6-30 | TC_SpGEMM: High Performance Sparse General Matrix Multiplication with Tensor Core-Accelerated
[IEEE] 2026-6-30 | Evolutionary Characteristics of Acoustic Signal and UHF Signal for Partial Discharge in Bushing Riser
[IEEE] 2026-6-30 | Small-Signal Modeling and Analysis of a Multi-Infeed MMC-HVDC System for Offshore Wind Farms Integration
[IEEE] 2026-6-30 | Reactive Phase-Angle Droop Control for Frequency Locking and Power Sharing in Parallel Single-Phase Inverters
[IEEE] 2026-6-30 | Optimal Day Ahead and Intra Day Scheduling of Flexible Distribution Systems with Coordinated Source Load and Storage
[IEEE] 2026-6-30 | Analysis of the Influence of Torque Ripple on Electromagnetic Vibration in Permanent Magnet Synchronous Motors
[IEEE] 2026-6-30 | Power Allocation and Efficiency Optimization Control Strategy for Dual-Load Inductive Power Transfer Systems With Relay Coils
[IEEE] 2026-6-30 | A Power Allocation and Parameter Optimization Method for Islanded PV–ESS Microgrids Considering Battery SoC and SoH Balancing
[IEEE] 2026-6-30 | Controller hardware-in-the-loop tests of new-type power system stabilizer for sub/super-synchronous oscillation
[IEEE] 2026-6-30 | SOH Prediction Using Impedance Pseudo-Image Features with Transformer-Based Data Enhancement
[IEEE] 2026-6-30 | Relay-Type Electromagnetic Heating Power Calculation Based on Conversion Decoupling
[IEEE] 2026-6-30 | Study on the Effect of TiO
                    <sub>2</sub>
                    Coating on Trap Distribution Characteristics and Surface Flashover Performance of Epoxy Resin Impregnated Paper
[IEEE] 2026-6-30 | Multi-axis coordinated control of gantry systems via EtherCAT-Enabled Active Disturbance Rejection
[IEEE] 2026-6-30 | AdaWGAN: Data Augmentation for Few-Shot HD-sEMG Gesture Recognition Using Single-Trial Data
[IEEE] 2026-6-30 | Hypergraph Epidemic Model and PPO-Based Reinforcement Learning for Real-Time Human Resource Allocation in Offshore Wind Farms
[IEEE] 2026-6-30 | Online Parameter-Free Compensation of Current Measurement Errors for Sensorless AC Motor Drives
[IEEE] 2026-6-30 | DCAE-SVR based Condition Monitoring Method for DC-Bus Capacitor in Power Electronic Transformers
[IEEE] 2026-6-30 | Research and Design of Beam Orbit Correction Elements for Low-Energy Electron Beam Injectors
[IEEE] 2026-6-30 | Analysis of Inertia Support Potential for Doubly-Fed Induction Motor Variable-Speed Pumped Storage Units
[IEEE] 2026-6-30 | Research on Personalized Psychotherapy Utilizing Adaptive Reinforcement - Based for Dynamic Music Modulation
[IEEE] 2026-6-30 | Adaptive Hybrid Learning Framework for Optimizing Ideological and Political Teaching in New Liberal Arts Courses using Explainable Data Mining Algorithms
[IEEE] 2026-6-30 | Multi-Scale Attention-Guided Residual Segmentation with Dual Morphological Biomarkers for Automated Glaucoma Classification
[IEEE] 2026-6-30 | An Adaptive Mamba-Based Image Forgery Detection Framework
[IEEE] 2026-6-30 | Explainable Intelligent Document Classification using Longformer-Based Natural Language Processing and Deep Learning
[IEEE] 2026-6-30 | Application of Remote Sensing and Geographic Information Systems in Identifying and Evaluating Renewable Energy Resources
[IEEE] 2026-6-30 | Triple SEE Transform Technique for Handling Partial Differential Equations with Applications
[IEEE] 2026-6-30 | Dynamic Modelling and Small Signal Analysis of Voltage and Current-Controlled BES Systems in DC Microgrids
[IEEE] 2026-6-30 | Digital Restoration and Innovative Design of Traditional Patterns Combining Transformer and Image Semantic Segmentation
[IEEE] 2026-6-30 | Converting a Monolithic E-Commerce Application to Microservices with OpenCV-Accelerated Virtual Try-On and LLM-Guided Interaction
[IEEE] 2026-6-30 | IEEE Transactions on Industry Applications Information for Authors
[IEEE] 2026-6-30 | Few-Shot Heterogeneous Hyperspectral Band Selection via Uncertainty-Aware Meta-Learning
[IEEE] 2026-6-30 | Policy-Consistent Change Provenance for Legitimacy Validation of Enterprise Configuration Modifications
[IEEE] 2026-6-30 | Why Language Model Reasoning Systematically Fails: A Structural Definition of Hallucination Based on Coordinate Closure_supp5-3707249.pptx
[IEEE] 2026-6-30 | Explainable Sensitive Content Moderation with Vocabulary-Aware Distillation
[IEEE] 2026-6-30 | A biologically-informed hybrid stacking framework for protein–protein interaction prediction
[IEEE] 2026-6-30 | Quantum Duval Triangle: A Quantum Machine Learning Approach for Dissolved Gas Analysis in Power Transformers
[IEEE] 2026-6-30 | A TCAD Simulation Study of Dielectric Breakdown Mechanisms in Multi-layer Passivation Stacks for Digital Isolators_supp1-3707851.docx
[IEEE] 2026-6-30 | Optimal Active Power Dispatch Strategy for Vanadium Redox Flow Battery Energy Storage Systems Based on an Enhanced Whale Optimization Algorithm
[IEEE] 2026-6-30 | Looking for (Genomic) Needles in a Haystack: Sparsity-Driven Search for Identifying Correlated Genetic Mutations in Cancer
[IEEE] 2026-6-30 | Feature-Based Fundus Image Processing for Diabetic Retinopathy Diagnosis
[ACM] 2026-6-30 | Diff-EEG: Dual-Condition Latent Diffusion with LLM and Patient Information for EEG Synthesis
[IEEE] 2026-6-30 | Design and Performance Study of a 26 nm FinFET with Fin Height Variation and Source/Drain Architecture
[IEEE] 2026-6-30 | The Illusion of Personality: What Psychometric Testing Reveals (and Misrepresents) About AI Models
[IEEE] 2026-6-30 | Temporal and Spatial Analysis of Operational Disruptions in Indian Railways: A Data-Driven Framework
[IEEE] 2026-6-30 | Semantic-Adaptive Transformer Network with Adaptive Decision Mechanism for Speech Recognition in Next-Generation Human-Computer Interaction Systems
[IEEE] 2026-6-30 | Lane Detection of Vehicles for Accident Prevention using Hough Transform
[IEEE] 2026-6-30 | Smart Reflex: A Smart Mirror System for Emotion-Focused Therapy Using AI
[IEEE] 2026-6-30 | Mathematical Modeling for Cryptography Using Mayan Technique
[IEEE] 2026-6-30 | Optimal Scheduling of Foundry Production using Hybrid Adaptive Reinforcement Learning Guided Grey Wolf Optimizer
[IEEE] 2026-6-30 | Advancing Energy Efficiency through IoT-Based Monitoring and Control Frameworks
[IEEE] 2026-6-30 | ASIANComNet 2025 Program Book
[IEEE] 2026-6-30 | Dual-Polarized Magnetic Dipole Antenna Array with High Aperture Efficiency and Port Isolation
[IEEE] 2026-6-30 | A Nonlinear Flux Linkage Inverse Model for Mutually Coupled Switched Reluctance Machines
[IEEE] 2026-6-30 | LAP: Controlling Text-to-Image Diffusion Models via Latent Alternation Projection_supp1-3703597.pdf
[IEEE] 2026-6-30 | Side-Information-Aided Deep Unfolding Network for Hybrid-Field Channel Estimation of Wideband Terahertz Ultra-Massive MIMO Systems
[IEEE] 2026-6-30 | Breaking the Kbps Uplink Barrier: Semantic-Guided Generative Satellite Communications for Video Transmission
[IEEE] 2026-6-30 | Relaxing Fairness for Improved User-Wise Error Performance in Constructive Interference Precoding
[IEEE] 2026-6-30 | Trans-Scale Magnetotelluric Inversion via Deep Learning Guided by the Principle of Physical Similarity
[IEEE] 2026-6-30 | Unifying Exponential and Gaussian: Whittle-Matérn Covariance for Improved Rough Surface Characterization and Backscatter Modeling
[IEEE] 2026-6-30 | Benchmarking Attendance System: Facial Recognition in Real-World Case Scenarios
[IEEE] 2026-6-30 | Hybrid Potential in Combinatorial Optimization: Lessons from the N-Queens Benchmark
[IEEE] 2026-6-30 | Rubix: Adaptive and Fast-Performant Scaling for Serverless-Enabled ML Platforms
[IEEE] 2026-6-30 | GPU Algorithms for Biconnected Components on Large Graphs
[IEEE] 2026-6-30 | Cu(II)-MOFs via Modulator Tuning for Tailored Cooperative Sulfur Dioxide Capture
[IEEE] 2026-6-30 | Small-Sample Prediction of Traction Motor-Gearbox Coupled Noise Enabled by a Fractional Order-Adaptive Haar Wavelet-Bayesian Neural Network
[IEEE] 2026-6-30 | Active Gate Driving Technology for SiC MOSFETs Based on Switching Transient Feedback
[IEEE] 2026-6-30 | Charge Suppression and Trap Characteristics of β-Nucleated iPP/POE Composites
[IEEE] 2026-6-30 | Negative Inductance-Compensated Magnetic Coupling Resonant Wireless Power Transfer System
[IEEE] 2026-6-30 | Delay-Stabilized Voltage Control for Series-Capacitor Buck Converters: Enhanced Damping Without Inductor-Current Sensors
[IEEE] 2026-6-30 | Effect of Humidity and Cyclic Temperature on Corona Aging Behavior of HTV Silicone Rubber Used in Outdoor Insulators
[IEEE] 2026-6-30 | Analysis of the electron density in a secondary streamer with classical streamer model
[IEEE] 2026-6-30 | Reliability Consideration on Interconnection Structure of the DSC power module
[IEEE] 2026-6-30 | Recent Advances in Physics-Informed Machine Learning for Lithium-Ion Battery Hybrid Modeling
[IEEE] 2026-6-30 | Analysis of Small 3-TX-Coil Array and Large-RX Coupler for Mobile Device Wireless Fast Charging
[IEEE] 2026-6-30 | Dual-Model Adaptive Prediction of Dissolved Gases in Transformer Oil Based on GRU-SE-Res with Mutation Detection
[ACM] 2026-6-30 | Three Heads Are Better Than One: A Multi-perspective Reasoning Framework for Enhanced Vulnerability Detection
[ACM] 2026-6-30 | From Specifications to Implementation in the Gen-AI Era: Lessons from a Project-Based Software Engineering Course
[IEEE] 2026-6-30 | Table of Contents
[ACM] 2026-6-30 | Scalable, Portable and Live Nanopore Sequence Analysis
[ACM] 2026-6-30 | Do Not Treat Code as Natural Language: Implications for Repository-Level Code Generation and Beyond
[ACM] 2026-6-30 | WalleTruth: Visual-Oriented Software Testing for Web3 Wallet Browser Extensions
[ACM] 2026-6-30 | EventADL: Open-Box Anomaly Detection and Localization Framework for Events in Cloud-Based Service Systems
[ACM] 2026-6-30 | Unveiling the Fragility of Binary Code Similarity Detection via Targeted Attacks with Model Explanations
[IEEE] 2026-6-30 | FitCache: A Transparent Drop-In Framework for Multi-Tier Caching to Accelerate Distributed Deep Learning Workloads
[ACM] 2026-7-1 | ‘Building’ or ‘Bullshit’? AI-assisted Making and the EUYO Concert Explorer
[IEEE] 2026-6-30 | The Influence of Online Gambling on Investment Behavior: Insights into Financial Literacy and Decision-Making Bias
[IEEE] 2026-6-30 | Recognizing Multi-User Human Context In-the-Wild via Deep Graph Embedding Over Body Worn Sensor
[IEEE] 2026-6-30 | Enhancing HPC Batch Job Scheduling via Imitation Learning-Based Search
[IEEE] 2026-6-30 | Toward Energy-Efficient HPC: Insights from Power Profiling a Cloud-Resolving Earth System Model
[IEEE] 2026-6-30 | Impact of Cloud Cover Changes on Solar Radiation and Photovoltaic Panel Efficiency in Asia
[ACM] 2026-6-30 | Reducing Coverage-Equivalent Inputs in Grammar-Based Fuzzing by Avoiding Recurrent Rule Sequences
[ACM] 2026-6-30 | Behind Defective Mobile AR Apps: Studying Reviews and Bugs of Android AR Software with Comparison to Prior Bug Studies
[ACM] 2026-6-30 | Not All RAGs Are Created Equal: A Component-Wise Empirical Study for Software Engineering Tasks
[ACM] 2026-6-30 | SnakeCharmer: Automatic Fuzzing Harness Generation for Pure and Hybrid Python Libraries
[IEEE] 2026-6-30 | Simulation and Experimental Research on Gallium Arsenide Photoconductive Switches Circuit Model
[IEEE] 2026-6-30 | Study on Vibration Characteristics of Skewed Rotor Induction Motor Considering Axial Distribution of Electromagnetic Force
[IEEE] 2026-6-30 | Analysis of Temperature Distribution Characteristics of Low-Voltage DC Series Fault Arcs Based on Multi-physical Field Simulation
[IEEE] 2026-6-30 | Coordinated Control Strategy of Neutral-Point Voltage and Zero-Sequence Current for Three-Level ANPC Inverter with the ILCL Filter
[IEEE] 2026-6-30 | Unified Discrete-Time Modeling and Decoupling Control of a Three-Level Flying-Capacitor Buck Converter With Multi-Interval Switching Dynamics
[IEEE] 2026-6-30 | A Communication-Free Zero-Sequence Circulating Current Suppression Strategy for Parallel Four-Leg Inverters
[IEEE] 2026-6-30 | Fast Electrochemical Impedance Spectroscopy Detection and Fault Diagnosis of PEMFC Based on Discrete Interval Binary Sequences
[IEEE] 2026-6-30 | Analysis and Cooling Optimization of a Low-Cost Ferrite-Based Hybrid Excitation Flux Switching Motor Using LPTN
[IEEE] 2026-6-30 | Semi-Analytical EMT Fault Calculation for MMC–HVDC Grids with Shunt-MOV Reactors
[IEEE] 2026-6-30 | Lightweight EMG Gesture Recognition Using Mixed-Precision Convolutional Neural Networks
[IEEE] 2026-6-30 | Gate Control System Using Automatic Number Plate Recognition Based on Machine Learning
[IEEE] 2026-6-30 | Design and Implementation of a Dynamic Early Warning Algorithm for Mental Health Risks Driven by Big Data
[IEEE] 2026-6-30 | Benchmarking Pygame vs. Tkinter: Performance and Code Complexity in Python GUI Development
[IEEE] 2026-6-30 | Energy-Efficient EV Route Optimization using Q-Learning under a Constrained MDP Framework
[IEEE] 2026-6-30 | Optimizing Machine Learning for IoT: Energy-Efficient AI Approaches and Architectures
[IEEE] 2026-6-30 | Comprehensive Machine Learning Approaches for Antimicrobial Resistance Prediction
[IEEE] 2026-6-30 | Adaptive Hierarchical Multi-Agent Parameterized Deep Q-Networks for Intelligent Resource Allocation in 5G Communication Networks
[IEEE] 2026-6-30 | A Learnable Distortion Correction Module for Modulation Recognition
[IEEE] 2026-6-30 | Review of Remote Sensing and Artificial Neural Networks in Wind Force Prediction for Renewable Energy Production
[IEEE] 2026-6-30 | Leveraging Explainable Transformers for Robust Financial Time Series Forecasting
[IEEE] 2026-6-30 | V-GCODE: A Temporal Aware Vulnerability Repair Gated Concept Drift for Software Defect Prediction
[IEEE] 2026-6-30 | Fuzzy Probabilistic Membership-based Backpropagation Neural Network-based Framework for International Trade Friction Early Warning and Risk Management
[IEEE] 2026-6-30 | Integrated Aero-Hydro-Electro-Mechanical Modelling and Control of Semi-Submersible FOWTs with Direct-Drive PMSG
[IEEE] 2026-6-30 | Traction Drive System for Hydrogen-Powered Locomotives Based on Modular Multilevel Converter
[IEEE] 2026-6-30 | Research on Combined Estimation of SOC and SOE for Lithium Batteries Based on Improved AFFRLS-AMISRUKF Algorithm
[IEEE] 2026-6-30 | A Blockchain-Based Security and Privacy Preservation Framework for Smart Metering Data
[IEEE] 2026-6-30 | Dynamic NUMA-Aware Data Structure Replication
[IEEE] 2026-6-30 | I Like To Move It – Computation Instead of Data in the Brain
[IEEE] 2026-6-30 | Table of Contents
[IEEE] 2026-6-30 | Fault-Tolerant Prescribed Performance Control of Block-Triangular Nonlinear Systems With Coupled Sensor Faults
[ACM] 2026-6-30 | Beyond Language Boundaries: Uncovering Programming Language Families for Code Language Models
[ACM] 2026-6-30 | Failing with Purpose: Dangling Coverage-Guided Negative Test Generation from a Mechanized P4 Type System
[ACM] 2026-6-30 | On the Road to Personalized Code Intelligence: Portraiting and Assisting Developers Based on Their In-IDE Behaviors
[ACM] 2026-6-30 | Deployability-Centric Infrastructure-as-Code Generation: Fail, Learn, Refine, and Succeed through LLM-Empowered DevOps Simulation
[IEEE] 2026-6-30 | Local-Global Progressive Network for Hyperspectral and Multispectral Image Fusion
[IEEE] 2026-6-30 | Front Cover
[IEEE] 2026-6-30 | Integrated and Aperture-Shared Design for Microwave Dual-Band and Millimeter-wave Wide-band Omnidirectional Applications
[IEEE] 2026-6-30 | IEEE Control Systems Society Publication Information
[IEEE] 2026-6-30 | Stochasticity-Induced Uniform Coverage: A Low-Cost Swarm Solution Using Sensors with Limited Field of View
[ACM] 2026-6-30 | Why Just-In-Time Compilation Matters: Evaluating Runtime and Energy Efficiency
[IEEE] 2026-6-30 | A Fault Tolerant Strategy for Series Resonant dc-dc Converters Operating With Small Capacitors
[ACM] 2026-7-1 | At the Precipice of Integrity Protection using Pointer Authentication
[ACM] 2026-7-1 | The CollabScore Dataset - Towards Robust and Generalized OMR Evaluation
[ACM] 2026-7-1 | A Rāga Independent Encoder for Svara Representation in Carnatic Music
[ACM] 2026-7-1 | Beyond Rules: Towards Basso Continuo Personal Style Identification
[IEEE] 2026-6-30 | The Improved Modular Multi-level Converter Topology of the New Flexible Traction Power Supply System for Urban Rail Transit
[IEEE] 2026-6-30 | Reforge: Low-Latency Distributed GNN Serving with Selective Embedding Recomputation
[IEEE] 2026-6-30 | CARAT: Client-Side Adaptive RPC and Cache Co-Tuning for Parallel File Systems
[ACM] 2026-7-1 | CAAI-ST: Constraint-Aware AI-Guided Seed Generation and Mutation for CPS-UAV System Testing
[IEEE] 2026-6-30 | Space Habitat Monitoring and Smart Food Allocation with Multi-Agent Proximal Policy Optimization
[IEEE] 2026-6-30 | Smart Adaptive Canine Deterrent and Management Systems Based on Artificial Intelligence and IoT
[IEEE] 2026-6-30 | The Hidden Scale of Emotion and Free Will: Neuroscientific and Computational Perspectives
[IEEE] 2026-6-30 | Research and Development of Museum Cultural Relics Knowledge Intelligent Interactive System based on Tourism Subject Portrait
[IEEE] 2026-6-30 | A Multidimensional Statistical Feature-Extraction Framework Employing Transconductance as a Sensing Metric for Detection of VOC Biomarkers for Fatty Liver Disease Using a Pd-MoS
                    <sub>2</sub>
                    -rGO Hybrid Channel FET
[IEEE] 2026-6-30 | Guest Editorial: Special Section on the Asia Pacific Conference on Circuits and Systems—APCCAS 2025
[IEEE] 2026-6-30 | Development of a Prognostics and Health Management Framework for Discrete IGBTs Using a Novel State-of-Damage Model under Variable Loading Conditions
[IEEE] 2026-6-30 | Mitigating Multi-label Imbalance in ICD Coding: A Comprehensive Evaluation of Loss Functions and Threshold Optimization
[IEEE] 2026-6-30 | Toward Efficient Offline-to-Online Reinforcement Learning: Diversified Policy Ensemble With Exclusive Online Data Utilization
[IEEE] 2026-6-30 | A Bidirectional Fabry–Pérot Cavity Antenna with Flat-Top and Pencil Beam Integration for Millimeter Wave Applications
[IEEE] 2026-6-30 | Certified Quantum Schrödinger Control via Hierarchical Tucker Models
[IEEE] 2026-6-30 | Enabling Grid Frequency Support in Renewable-Dominated Systems with Large-Scale PEM Plants
[IEEE] 2026-6-30 | Hierarchical Voltage and Power Balancing Control Strategy for Cascaded Power Electronic Transformers in Metro Traction Systems
[IEEE] 2026-6-30 | Robust Energy Management of Hybrid Microgrids via a Nonintrusive Load Monitoring Framework with Dual-Task Learning
[IEEE] 2026-6-30 | Research on the Fundamental Wave and Third Harmonic Coordinated Control Technology of Permanent Magnet Synchronous Motor Based on NLADRC
[IEEE] 2026-6-30 | Research on Scheduling Information Integration Scheme and Its Communication Method for Distributed Photovoltaic Systems
[IEEE] 2026-6-30 | Design of a Halbach Magnet Array via Topology Optimization for Reducing Thrust Ripple in PMSLMs
[IEEE] 2026-6-30 | Bayesian Changepoint Detection for Smart Sensing of Battery Degradation: Cycle-Level Health Indicators and PyMC Implementation
[ACM] 2026-6-30 | SLE as an Evolving Body of Knowledge: A 19-Year Comparative Analysis of Calls and Proceedings
[IEEE] 2026-6-30 | Leakage-proof multiview EEG pipeline for ADHD classification with aperiodic-aware Riemannian robust late-fusion evaluation
[IEEE] 2026-6-30 | Fog based Data Communication using the Machine Learning Algorithms
[IEEE] 2026-6-30 | An AI-Driven Deep Learning Hybrid CNN–LSTM and LSTM–RNN–FC–SMP AI-Agents’ Architecture for High-Precision ECG PQRST Detection and Classification in IoMT-Based Healthcare Systems
[IEEE] 2026-6-30 | ICICACS 2026 Copyright Page
[IEEE] 2026-6-30 | Q-Learning Driven Spectrum Prediction for Energy-Efficient RF-Powered D2D Communications
[IEEE] 2026-6-30 | Genetic Algorithm with Weight Coefficients for Multi-Criteria Optimization in Automated Timetabling
[IEEE] 2026-6-30 | Intelligent Android Malware Detection in Real-World Environments Using Machine and Deep Learning Models
[IEEE] 2026-6-30 | Multi-Agent Reinforcement Learning Digital Twin System for Real-Time Urban Traffic Optimization
[IEEE] 2026-6-30 | Distance-Learning EEG Understanding via Imbalance-Aware Stacked Trees and Subject-Wise Generalization Analysis Across Students
[IEEE] 2026-6-30 | Customer Churn Prediction Using Machine Learning Models
[IEEE] 2026-6-30 | Texture Aware and Region Aware Multiscale CNN framework for Early-Stage Lung Cancer Detection
[IEEE] 2026-6-30 | Electronic Frequency Tuning in the 330-GHz CW Clinotron Oscillator With Modified Cavity
[IEEE] 2026-6-30 | Short-term Voltage Support Capability of GFM Energy Storage and Parameter Feasible Region Construction
[IEEE] 2026-6-30 | Research on Operating Characteristics and Control Strategies of Trans-Z Source Current-Source Inverters
[IEEE] 2026-6-30 | Research on Reliable Model Predictive Control for Fault Ride-Through of Doubly-Fed Three-Level Converters
[IEEE] 2026-6-30 | Wideband Impedance and Operational Performance Analysis of Inductive Filtering-Based LCC-HVDC Systems
[IEEE] 2026-6-30 | A Multi-Node Thermal Model Based Temperature Estimation for Large-Format Prismatic Lithium-ion Batteries
[IEEE] 2026-6-30 | Analysis and Design of Wideband Megahertz Class E Inverter
[IEEE] 2026-6-30 | Natural Fault-Tolerant Performance of Nine-Phase Open-Winding Induction Motor Based on Model Predictive Current Control
[IEEE] 2026-6-30 | Position Control Strategy of Robot Joint Module Based on Tracking Differentiator and Fast Nonsingular Terminal Sliding Mode
[IEEE] 2026-6-30 | Spritz: Path-Aware Load Balancing in Low-Diameter Networks
[IEEE] 2026-6-30 | UCTRACE: A Multi-Layer Profiling Tool for UCX-driven Communication
[IEEE] 2026-6-30 | A Subminiature Light-Load Efficient Integrated DC–DC Converter Featuring High Inductance Density Bond-Wire Inductor and Low Quiescent Current PFM Controller
[ACM] 2026-6-30 | Protocol Reverse Engineering via Deep Transfer Learning
[ACM] 2026-6-30 | Casting a SPELL: Sentence Pairing Exploration for LLM Limitation-Breaking
[ACM] 2026-6-30 | Which Superconducting Qubit Model is Good Enough?
[ACM] 2026-7-1 | Cloud Safety: A Hardware Perspective
[IEEE] 2026-6-30 | Voltage Regulation Strategy for Distribution Networks Considering Multi-Agent Interaction of Source-Load Side Resources
[IEEE] 2026-6-30 | FedACT: Concurrent Federated Intelligence across Heterogeneous Data Sources
[ACM] 2026-6-30 | A Review of Anomaly Detection Methods for Smart Water Distribution Networks
[ACM] 2026-6-30 | Invited Paper: Quality Without Control - Evidence-Driven Software Quality Assurance for Cross-Domain Systems
[ACM] 2026-6-30 | Engineering Verified Model Transformations through a Proof-Based Language Workbench
[IEEE] 2026-6-30 | Edge-Aware Deep Learning for Robust American Sign Language Alphabet Classification
[IEEE] 2026-6-30 | CounterFair: Mitigating Demographic Bias through StyleGAN3-Based Counterfactual Data Augmentation
[IEEE] 2026-6-30 | Hidden Data Recovery and Forecasting via Next-Generation Reservoir Computing With Multiscale Delay Selection
[IEEE] 2026-6-30 | Wasserstein Distributionally Robust Risk-Sensitive Estimation via Conditional Value-at-Risk
[IEEE] 2026-6-30 | Automated Road Lane Detection Using Deep Learning
[IEEE] 2026-6-30 | Server-Side Adaptive Trimming Policy to Defend Against Data Poisoning Attacks in Federated Learning
[IEEE] 2026-6-30 | Few-Shot Semantic Segmentation for Remote Sensing ALS Point Clouds Via Multi-Dimensional Geometric Feature Embedding
[IEEE] 2026-6-30 | A Compact Broadband Purcell Filter for Superconducting Quantum Circuits in a 3-D Flip-Chip Architecture
[IEEE] 2026-6-30 | SecPerf: Demystifying Cost of Confidential HPC
[ACM] 2026-6-30 | Reducing Cost of LLM Agents with Trajectory Reduction
[ACM] 2026-6-30 | RAT: Retrieval-Augmented Testing of Certificate Revocation List Parsers in TLS Implementations
[ACM] 2026-6-30 | Automated Repair of TEE Partitioning Issues via DSL-Guided and LLM-Assisted Patching
[ACM] 2026-6-30 | VerilogASTBench: Benchmark Construction of Verilog AST Dataset with Dual-Stage AST Semantic Enhancement Framework
[IEEE] 2026-6-30 | Leveraging Gemini 1.5 Pro and Prompt Engineering for Robust Handwriting Interpretation
[IEEE] 2026-6-30 | Attention-Based BiGRU Framework for Predicting Cross-Border E-Commerce User Purchase Behavior
[IEEE] 2026-6-30 | Hybrid Intelligent Fault-Sensitive Support Vector Machine for Predictive Maintenance in Smart Manufacturing Systems
[IEEE] 2026-6-30 | Deep Learning based Framework for Intelligent Cyber Threat Detection
