[2025-11-22 09:08:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-21
正在获取论文...
[ACM] 2025-11-21 | Introduction to the Special Issue on Large Language Models for Recommender Systems
[ACM] 2025-11-21 | Poster: Did I Just Browse A Website Written by LLMs?
[ACM] 2025-11-21 | Demo: Wide-coverage LE Audio via WiFi-BLE Cross-Technology Communication
[IEEE] 2025-11-21 | Identifying the critical parameters of Late-onset Neonatal Sepsis using Statistical and Machine Learning Methods_supp1-3635468.pdf
[IEEE] 2025-11-21 | Inference-Time Noise Addition for Improving Adversarial Robustness of Audio Deepfake Detection System
[IEEE] 2025-11-21 | Mathematical Model and Vector Control of SPMSM Considering Eddy Current and Hysteresis Effects Based on Vector Magnetic Circuit Theory
[IEEE] 2025-11-21 | Identification and Prediction of Multiple Intelligence Patterns among University Students using Machine Learning for Personalized Learning and Instruction
[IEEE] 2025-11-21 | TP-IoAV: A Tri-Party Cloud Data Protection Scheme for Internet of Autonomous Vehicle Coupled With Chaotic Biometric Cryptography
[IEEE] 2025-11-21 | Front Cover
[IEEE] 2025-11-21 | NV-PCAM: Non-Volatile Precharge-Free Content-Addressable Memory
[IEEE] 2025-11-21 | Minimum Time Boundary Stabilization of Linear Coupled First-Order Hyperbolic Systems With Repeated Eigenvalues Speed States
[IEEE] 2025-11-21 | Measurement of Brachial Local Pulse Wave Velocity for Non-Invasive Assessment of Endothelial Reactivity
[IEEE] 2025-11-21 | Mosaic Selections: Managing and Optimizing User Selections for Scalable Data Visualization Systems_supp1-3634649.pdf
[IEEE] 2025-11-21 | Efficient Privacy-Preserving 5G Authentication and Key Agreement for Applications (5G-AKMA) in Multi-Access Edge Computing
[IEEE] 2025-11-21 | DC-Diff: A Diffusion-Based Network for Panchromatic Sharpening With Cross-Domain Feature Guidance
[IEEE] 2025-11-21 | A Fast Parallel Decoder for LDPC Codes Suitable for Burst Errors in QKD Reconciliation
[IEEE] 2025-11-21 | Distance-Based Loop-Free Routing with Positive and Negative Link Weights
[IEEE] 2025-11-21 | Study on Modeling and Application of Thermodynamic Properties Library for Cryogenics Liquid Rocket Engine
[IEEE] 2025-11-21 | Research on the Influence of Launch Velocity on Flow Field and Motion Characteristics of Underwater Vehicles in Wave Environment
[IEEE] 2025-11-21 | Analysis and Comparison of Network Architecture Options for Camera-Based AOI Systems
[IEEE] 2025-11-21 | VeriBridge: Real-Time Cross-Chain Bridge Attack Detection through Static-Informed Graph Anomaly Learning
[IEEE] 2025-11-21 | Fire Scene-Oriented Multi-UAV Reconnaissance Task Scheduling: An Adaptive Differential Evolution-Enhanced DRL Approach
[IEEE] 2025-11-21 | An Efficient Hybrid Key Exchange Mechanism
[IEEE] 2025-11-21 | Smart Implants: Biocompatible Implant Pulse Generator (IPG) Materials for IoT-Enhanced Medical Devices
共写入 1000 条记录，保存到 papers/paper2025-11-21.json。
论文获取成功，文件路径: papers/paper2025-11-21.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Introduction to the Special Issue on Large Language Models for Recommender Systems
[NO] 2/1000 | PolarVisor: Clutter-free, Electronics-free Fiducial Markers for mmWave Radars Printed on Paper
[NO] 3/1000 | Medusa: Scalable Multi-View Biometric Sensing in the Wild with Distributed MIMO Radars
[NO] 4/1000 | From Voice to Ads: Auditing Commercial Smart Speakers for Targeted Advertising based on Voice Characteristics
[NO] 5/1000 | Poster: Beyond IP: Amateur Radio PSKReporter as a Crisis Measurement Tool
[NO] 6/1000 | LACeS: An Open, Fast, Responsible and Efficient Longitudinal Anycast Census System
[NO] 7/1000 | Myo-Trainer: A Vision-based Muscle-Aware Motion Feedback System for In-Home Resistance Training
[NO] 8/1000 | Ghost Points Matter: Far-Range Vehicle Detection with a Single mmWave Radar in Tunnel
[NO] 9/1000 | Experience Paper: Adopting Activity Recognition in On-demand Food Delivery Business
[NO] 10/1000 | AD-AVSR: Asymmetric Dual-stream Enhancement for Robust Audio-Visual Speech Recognition
[NO] 11/1000 | Poster: Towards Privacy-Preserving and Personalized Smart Homes via Tailored Small Language Models
[NO] 12/1000 | VCRIS 2025 Copyright Page
[NO] 13/1000 | Maximum Torque per Ampere Control for IPMSM based on Sliding Mode Extremum Seeking Control without Steady-state Oscillation
[NO] 14/1000 | On the Response Time constant of Interface Defects in Accumulation
[NO] 15/1000 | Enhancing PROSAIL Inversion: Key Considerations and Practical Insights_supp1-3635001.png
[NO] 16/1000 | Location Privacy Protection Method Based on Local Differential Privacy in Crowdsensing With Approximately Accurate Task Allocation
[NO] 17/1000 | SAM-Guided State Space Model Feature Enhance Network for Remote Sensing Segmentation
[NO] 18/1000 | Enhancing PROSAIL Inversion: Key Considerations and Practical Insights_supp3-3635001.png
[NO] 19/1000 | A Unified Behavioral Model for 1.2 kV SiC MOSFETs and JBSFETs Covering Forward and Reverse Operations
[NO] 20/1000 | Denoising for Magnetic Anomaly Data Using a Progressive U-Net Framework
[NO] 21/1000 | Redundant Strategy of T-Type DC/DC MMC Based on Harmonic Injection and Reactive Power Injection for Submodule Failure
[NO] 22/1000 | Beyond Problem Solving: Framing and Problem–Solution Co-Evolution in Data Visualization Design
[NO] 23/1000 | Rethinking Rotation-Invariant Recognition of Fine-grained Shapes from the Perspective of Contour Points
[NO] 24/1000 | CoCFL: A Lightweight Blockchain-Based Federated Learning Framework for Large-Scale IoT Cluster
[NO] 25/1000 | Modeling and Tracking Control of Nondifferentiable Sandwiched Dynamic Systems: Case Study on Gear Transmission Servo Systems
[NO] 26/1000 | Progress in the Realization of Solid-State ICRH Transmitters for DTT
[NO] 27/1000 | Performance Limits and Probabilistic Shaping in PPM Optical Links with Multi-Pixel SPDs
[NO] 28/1000 | An Autoethnography on Visualization Literacy: A Wicked Measurement Problem_supp1-3634792.pdf
[NO] 29/1000 | A Foundation Model for Wireless Technology Recognition and Localization Tasks
[NO] 30/1000 | Simultaneous Estimations of Quantum State and Detector Through Multiple Quantum Processes
[NO] 31/1000 | Numerical Study on Influence of Tip Clearance on Endwall Flow in a Transonic Linear Cascade
[NO] 32/1000 | Research on Superhydrophobic Electrothermal Active Anti-Icing Technology for eVTOLs
[NO] 33/1000 | Influence of Scale Effects on the Dynamics of Water Entry Across the Air-Water Interface
[NO] 34/1000 | Two-deletion correcting codes for nanopore sequencing
[NO] 35/1000 | Integrated observations for coastal management in Campania Region
[NO] 36/1000 | Long-Term Shoreline Change Analysis in Tyre South Lebanon
[NO] 37/1000 | Side-Channel Attack on XOR Operation in the First Round of AES Implementation on the STM32 Microcontroller Board
[NO] 38/1000 | Probabilistic Link Weighting via Feature Fusion for Routing in LEO Satellite Networks
[NO] 39/1000 | Multispectral Satellite Imaging for Detection and Quantification of Floating Coastal Macro-Litter
[NO] 40/1000 | Research on Adaptive Control Method of Underwater Docking System Based on EKF Disturbance Observer
[NO] 41/1000 | Improved Successive Cancellation Decoding of Polar Codes Through Perturbing A Posteriori LLRs
[NO] 42/1000 | On Low-Complexity DFT-Spread Orthogonal Frequency Division Multiplexing
[NO] 43/1000 | On Universal Decoding over Discrete Additive Channels by Noise Guessing
[NO] 44/1000 | Slipstream-Considered Trajectory Optimization for Tilt-Rotor eVTOL Transition Phase
[NO] 45/1000 | Adaptive Client Selection For MRI Reconstruction in Federated Learning
[NO] 46/1000 | Perturbed Derivative Decoding Based on Ordered Statistics for Cyclic Codes
[NO] 47/1000 | MADPromptS: Unlocking Zero-Shot Morphing Attack Detection with Multiple Prompt Aggregation
[NO] 48/1000 | Poster: Global Measurements of the Availability and Response Times of Public Encrypted DNS Resolvers
[NO] 49/1000 | Light Field Reconstruction using Multi-orientation Epipolar Plane Images
[NO] 50/1000 | Poison to Cure: Privacy-preserving Wi-Fi Multi-User Sensing via Data Poisoning
[NO] 51/1000 | Demo: Emulating Space Computing Networks with RHONE
[NO] 52/1000 | Poster: Passive FMCW Radar Detection and Profiling under Multipath and Mobility Conditions
[NO] 53/1000 | DPDG-GKT:A Dual-Path Dynamic Gated GNNs Model for Knowledge Tracing
[NO] 54/1000 | Active Damping of
                    <i>LC</i>
                    Interphase Dynamics in Automotive 48-V Series-Capacitor Buck Converters
[NO] 55/1000 | Offense as Defense: Efficient Detection of Backdoor Attacks With Adversarial Samples in Cyber-Physical Social Systems
[NO] 56/1000 | An EMAT Based on a Novel Extrusion Static Magnetizer for Thickness Measurement of Steel Plates
[NO] 57/1000 | What Makes a Visualization Image Complex?
[NO] 58/1000 | 6G-enabled Underwater-IoT Connected Sensors: A Quantum-Aware and Federated RL-based Localization-Energy Optimization
[NO] 59/1000 | Predefined-Time Sliding Mode Composite Control With Variable Exponent Coefficients for Uncertain Stewart Parallel Mechanism Tracking in Task Space
[NO] 60/1000 | VeCroToken: An Efficient, Verifiable, and Privacy-Preserving Cross-Chain Model for Consortium Blockchains Based on zk-SNARKs
[NO] 61/1000 | Study on the Influence of DC Bias Voltage on the Characteristics of Ultrahigh-Voltage Silicon Carbide Superfast Ionization Thyristor
[NO] 62/1000 | IEEE Vehicular Technology Society Information
[NO] 63/1000 | An Autoethnography on Visualization Literacy: A Wicked Measurement Problem_supp2-3634792.pdf
[NO] 64/1000 | A Parallel Decoupling Self-planning Search-attack Algorithm for Multi-UAV with Reward Estimation
[NO] 65/1000 | A Brief History of Computing with Real Numbers, Part 1
[NO] 66/1000 | The Pathway-informed Deep Learning Models in Cancer Research: a Survey_supp2-3635014.docx
[NO] 67/1000 | Hybrid Global MPPT Method Based on Decision Tree and Perturb and Observe Algorithm
[NO] 68/1000 | Non-Terrestrial Network Models Using Stochastic Geometry: Planar or Spherical?
[NO] 69/1000 | Optimization of Solenoid Valve Armature Structure Using a Surrogate Model-Based Approach
[NO] 70/1000 | Effect of Gradient Structure Induced by Torsion at Different Temperatures on the Mechanical Proper-ties of Austenitic Steel
[YES] 71/1000 | Hardening DLT-Daemon against TOCTOU Vulnerabilities: A Study on Atomic Mutex Locking for Critical State Resilience
[NO] 72/1000 | Current Without Electrons [Circuit Intuitions]
[NO] 73/1000 | Research on Dynamic Characteristics of Liquid Oxygen-Methane Electric Pump-Fed Liquid Rocket Engines
[NO] 74/1000 | Multidisciplinary Approach for Assessment and Management of Posidonia Oceanica Banquettes
[NO] 75/1000 | Q-SafeAV: Quantum-enabled Secure Intra-Sensor Communication Framework for AVs
[NO] 76/1000 | Machine Learning-based technique for the correction of numerical wave modelling over the Northern Tyrrhenian Sea
[NO] 77/1000 | Optimal Feedback Schemes for Dirty Paper Channels With State Estimation at the Receiver
[NO] 78/1000 | Data Availability Attacks: Targeted Sampling for 2-D Reed-Solomon Codes in Blockchain Systems
[NO] 79/1000 | Research on Configuration Maintenance Control Methods for Multi-Satellite Formations in Geostationary Orbit
[NO] 80/1000 | FORTA: Byzantine-Resilient FL Aggregation via DFT-Guided Krum
[NO] 81/1000 | Shock-Expansion Wave Influence on Thrust Vectoring in a Conical Nozzle with Supersonic Separation Line
[NO] 82/1000 | A novel Compact 5G Multiband Millimeter-Wave Microstrip Patch Antenna Using a U-Cut SRR
[NO] 83/1000 | Hello, GenAI? Dissecting Human to Generative AI Calling
[NO] 84/1000 | EasySpiro: Assessing Lung Function via Arbitrary Exhalations on Commodity Earphones
[NO] 85/1000 | Hedgehog: Pushing the Range Limits of Ultrasonic Microphone Jammers
[NO] 86/1000 | Poster: Towards Open Wireless Time-sensitive Networking in Linux
[NO] 87/1000 | On YouTube Search API Use in Research
[NO] 88/1000 | A First Look into Long-lived BGP Zombies
[NO] 89/1000 | Proceedings of the 1st International Workshop &amp; Challenge on Subtle Visual Computing
[NO] 90/1000 | Multi-source Multimodal Progressive Domain Adaption for Audio-Visual Deception Detection
[NO] 91/1000 | PipHeap: Approximate Heap in the Pipeline Empowering Network Measurement
[NO] 92/1000 | Poster: How Do You Know My Name? Investigating The Role of Domain Names for Target Reconnaissance among Web and IPv6 Scanners.
[NO] 93/1000 | Toward Sustainable Subterranean mMTC: Space-Air-Ground-Underground Networks Powered by LoRaWAN and Wireless Energy Transfer
[NO] 94/1000 | A High-Speed D-FF and a 11-Bit Up-Down Counter Using Unipolar Oxide TFTs on a Flexible Foil
[NO] 95/1000 | Strategic Placement and Sizing of Distributed Generation for Resilience Enhancement of Distribution Grids with Microgrid Formation
[NO] 96/1000 | Design and Analysis of a Self-Orienting Wireless Power Transfer System for the Multifunctional Capsule Robot
[NO] 97/1000 | <i>QuanFraud:</i>
                    Quantum State Verification Scheme for Fraud Detection in IoT-Assisted Quantum-Blockchain Networks
[NO] 98/1000 | Front Cover
[NO] 99/1000 | Towards Communication–Computation Integrated Architectures for AI-Agent Communication Networks
[NO] 100/1000 | Synergistic Operation of a Thermo-Pneumatic Artificial Muscle With Embedded Shape Memory Alloy Springs_supp1-3627814.wmv
[NO] 101/1000 | A Grid Aligned and Quadrature Voltage Amalgamation Control Method for Improved Power Quality in PV-Inverters Under Distorted Grid
[NO] 102/1000 | VolMoVis: Real-Time Volume Generation and Motion Visualization with Dynamic Tomographic Reconstruction_supp2-3634648.pdf
[NO] 103/1000 | VCRIS 2025 Welcome Message
[NO] 104/1000 | Iterative Channel Estimation and Signal Decoding for Windowed OFDM Systems in Time-Varying Frequency-Selective Fading Channels
[NO] 105/1000 | Simulation Analysis of Aerodynamic Noise of Highspeed Compound Helicopter with Twin Propellers in Different Flight States
[NO] 106/1000 | Immersive Ethics: AI-Driven Feedback and Virtual Reality Enhance ABET-Aligned Decision-Making in Mechatronic Engineering Undergraduates
[NO] 107/1000 | A Reliable Transfer File Protocol for Multi-hop Underwater Acoustic Networks
[NO] 108/1000 | Hybrid Deep Convolution Network for Fast and Accurate Power Consumption Forecasting
[NO] 109/1000 | Grid-Like Error-Correcting Codes for Matrix Multiplication with Better Correcting Capability
[NO] 110/1000 | Research on Sensing Characteristics of Half Electrode Metal Core Piezoelectric Fibers in Flow Field
[NO] 111/1000 | Numerical Study on the Fluid Dynamic Delay Characteristics of the Underwater Vehicle During the Manipulation Process of the Cavitator
[NO] 112/1000 | Machine Learning Model Sharing Mechanism using the FIWARE Platform for Creating a Collaborative Data Network
[NO] 113/1000 | A DPI-PAC-Bayesian Framework for Generalization Bounds
[NO] 114/1000 | Denoising of Ultrasound Phased Array Signals Based on the Combination of 1D CNN and Autoencoder
[NO] 115/1000 | Investigation on Low-Speed Matching Features of Diffusion and Afterburning Mode in Ejector Mode
[NO] 116/1000 | Nondestructive Observation Method of Propellants' Internal Damage Evolution Under Large Deformation
[NO] 117/1000 | Poster: Radar-Enhanced Robotic Material Perception with Vision Language Models
[NO] 118/1000 | Patchwork: A Traffic Capture and Analysis Platform for Network Experiments on a Federated Testbed
[NO] 119/1000 | Prefix2Org: Mapping BGP Prefixes to Organizations
[NO] 120/1000 | Cross-Layer Cooperative Design of Network Coding and Distributed Opportunistic Routing for Underwater Acoustic Sensor Networks
[NO] 121/1000 | Training With Integer-Only Arithmetic: Energy-Efficient Federated Learning With Mobile DSP Offloading
[NO] 122/1000 | Configuring RNN Weights for MIMO-OFDM Receive Processing: Informing RNN With Domain Knowledge
[NO] 123/1000 | Intention to Adopt Electric Vehicles in a Developing Country Context
[NO] 124/1000 | PPATF: A Privacy-Preserving Adversarial Training Framework to Enhance the Robustness of Lightweight Intrusion Detection Models
[NO] 125/1000 | Data-driven Multi-parameter Tuning for Stabilizing Grid-following Inverters
[NO] 126/1000 | Design and Modeling of a Reconfigurable Robot: Decoupled STAR (DSTAR)_supp1-3634888.mp4
[NO] 127/1000 | Share Your Preprint Research with the World!
[NO] 128/1000 | Spatiotemporal Reconstruction of FY-3B Soil Moisture Using a Hybrid Attention and Partial Convolution Neural Network
[NO] 129/1000 | Multimodal Spatiotemporal Semisupervised Transformer Network for Video-Based Group-Level Emotion Recognition
[NO] 130/1000 | Model Predictive Trajectory Optimization and Control for UAV Replacement in Close Formation Flight with Local Minima Avoidance
[NO] 131/1000 | Cover
[NO] 132/1000 | ITW 2025 Committees
[NO] 133/1000 | Design and Analysis of Novel Switched Capacitor Based Buck-Boost Single-Stage Inverter with Improved Gain
[NO] 134/1000 | Case Adaptive Detection Models for Asbestos-Containing Building Materials based on Hyperspectral Image Processing
[NO] 135/1000 | LanDA: Language-Guided Multi-Source Domain Adaptation_supp1-3634277.pdf
[NO] 136/1000 | Joint Upstream-Distribution Flexibility Mechanism Using Distributed Energy Storage Systems
[NO] 137/1000 | Noisy Bilinear Low-Rank Matrix Sketching
[NO] 138/1000 | Learning to Write on Dirty Paper
[NO] 139/1000 | Multimodal Clinical Prediction Framework for Health Outcomes of Patients with Cerebral Palsy: A Machine Learning Approach
[NO] 140/1000 | Sea Wave Reconstructions from Radar Systems by the Least Squares with Regularization Method
[NO] 141/1000 | Cavitation Dynamics and Control Strategy for High-Speed Water Entry of Trans-Media Vehicle
[NO] 142/1000 | Minimum Distance Decoding for Reed-Muller Codes using Projection-Aggregation
[NO] 143/1000 | Data Modeling Pattern for FACE Data Modeling
[NO] 144/1000 | High Precision Maneuver Guidance Law for High-Speed Flight Vehicles in the Dive Phase
[NO] 145/1000 | Secure Watermarking Using Adaptive QIM with Local Coefficient Magnitudes in the Frequency Domain with PUF-based Encryption
[NO] 146/1000 | Preliminary Assessment of Habitats and Biocenoses in Marine Coastal Areas of the Mar Piccolo of Taranto
[NO] 147/1000 | Single-Letter Mismatched Decoding Rates with Memory for the Gilbert-Elliott Channel
[NO] 148/1000 | Research on a Hydraulic Servo Protection Module for Aircraft Strength Test
[NO] 149/1000 | Unscented Kalman Filter with a Nonlinear Propagation Model for Navigation Applications
[NO] 150/1000 | Information-Theoretic Minimax Regret Upper Bounds for Reinforcement Learning Problems
[NO] 151/1000 | Deep Learning–Based Detection of Nephrops norvegicus Burrows
[NO] 152/1000 | Scrapers Selectively Respect robots.txt Directives: Evidence From a Large-Scale Empirical Study
[NO] 153/1000 | EdgeGaussian: Real-time Free-Viewpoint Video for Mobile VR via Edge-Client Collaborative Neural Rendering
[NO] 154/1000 | Demo: EdgeMind-OS: A Plug-and-Play Embodied Intelligence System for Real-Time On-Device Deployment
[NO] 155/1000 | Poster: BlockFL-Med: Blockchain-Enabled and Lightweight Federated Learning for Smart Medical Spaces
[NO] 156/1000 | Poster: Automatically Generating High-Precision Simulated Road Networking in Traffic Scenario
[NO] 157/1000 | Poster: A Unified Framework for Simultaneous Video Analytics and Streaming on UAVs
[NO] 158/1000 | When the Computers Spot the Lie (and Humans Don't)
[NO] 159/1000 | Visual Extraction of Interaction Patterns Guided by Hierarchical Clustering and Process Mining_supp2-3634837.pdf
[NO] 160/1000 | Synergistic Operation of a Thermo-Pneumatic Artificial Muscle With Embedded Shape Memory Alloy Springs_supp2-3627814.wmv
[NO] 161/1000 | Dynamic and Asymmetric Enhancement for Remote Sensing Image Change Captioning
[NO] 162/1000 | VCRIS 2025 Conference Committee
[NO] 163/1000 | F-Hash: Feature-Based Hash Design for Time-Varying Volume Visualization via Multi-Resolution Tesseract Encoding_supp2-3634812.pdf
[NO] 164/1000 | Analysis of Carbothermic MgO Reduction in the Radio Frequency Plasma Environment—Part 4: Replacing Solid Carbon With a Carbon-Containing Gas
[NO] 165/1000 | Non-contact optical spectroscopy for metabolic and vascular characterizations of orthotopic tongue cancer models_supp1-3635031.docx
[NO] 166/1000 | A Manifold Learning Process Monitoring Framework for Nonlinear Industrial Systems
[NO] 167/1000 | Scale-Invariant and View-Relational Representation Learning for Full Surround Monocular Depth
[NO] 168/1000 | Reconfigurable Intelligent Surface-Assisted Distributed Collaborative Localization Algorithm for UAV Swarms
[NO] 169/1000 | IEEE Dataport
[NO] 170/1000 | : Deceptively Steering Your Edits Towards Targeted Attribute-aware Distribution_supp1-3621435.pdf
[NO] 171/1000 | Planning and Control for Deformable Linear Object Manipulation
[NO] 172/1000 | WDCDiff: Two-Stage Wavelet Denoising and Conditional Diffusion Enhancement Network for Remote Sensing Spatiotemporal Fusion
[NO] 173/1000 | Electrical Properties and Photocatalytic Algal Inhibition of KH570-TiO
                    <sub>2</sub>
                    /RTV Composite Coatings
[NO] 174/1000 | Frequency-Temperature Mechanism and Normalization of Oil-Paper Insulation Based on the Double-Well Potential Model and Spectral Decomposition Techniques
[NO] 175/1000 | Advancements in the Italian National Wave Buoy Network: First Results from the Upgraded Stations
[NO] 176/1000 | Multispectral LED Sensors as Sea Wave Detector
[NO] 177/1000 | Numerical Investigation on the Heat Transfer Characteristics of Lower Surface on the Impingement Plate in Ramjet Combustor
[NO] 178/1000 | Towards Estimating the Carbon Footprint of Video Streaming
[NO] 179/1000 | Minimax Data Sanitization with Distortion Constraint and Adversarial Inference
[NO] 180/1000 | Tensor Decomposition for Brain Data Characterization: A structured review on prerequisites, models, and constraints
[NO] 181/1000 | UAV Based Monitoring of Plastic Debris Detection
[NO] 182/1000 | Automated Detection of Writing Phases: An Unsupervised Learning Validation of the Hayes &amp; Flower Cognitive Writing Model
[NO] 183/1000 | Numerical Investigation of the Ignition Characteristics Between Multisector Combustors and Annular Combustor
[NO] 184/1000 | A Matrix Completion Approach for the Construction of MDP Convolutional Codes
[NO] 185/1000 | A compact setup for low-frequency free-field calibration of hydrophones and autonomous underwater recorders in lakes
[NO] 186/1000 | Structured Estimators: A New Perspective on Information Freshness
[NO] 187/1000 | On Plotkin Bound for Function-Correcting Codes for b-Symbol Read Channels
[NO] 188/1000 | From Inshore to Offshore: Rare Polychaete Species are Informative for Soft Bottom Ecology in the Southern Adriatic
[YES] 189/1000 | RTL Design and Implementation of the TWINE-80 Lightweight Block Cipher
[NO] 190/1000 | Turbo Codes-based Physical Layer Security Method Against Passive Eavesdropping Attacks For MIMO Wireless Communication Systems
[NO] 191/1000 | Efficient Computation of Marton’s Error Exponent via Constraint Decoupling
[NO] 192/1000 | Discussion on Cavitation Evolution with Diverse Silt Grain Concentrations and Diameters for Nozzle
[NO] 193/1000 | Secret key generation and Storage based on QPUF
[NO] 194/1000 | Quantum Machine Learning: A Comparative Study of Variational Quantum Classifier with Classical Classifier Algorithms
[NO] 195/1000 | Deep Learning Based Character Recognition for Digital Meters
[NO] 196/1000 | Impact Performance Analysis of Fiber-Metal Porous Sandwich Panels Based on Monte Carlo Stochastic Approach
[NO] 197/1000 | Autonomous Systems under AReST: Advanced Revelation of Segment Routing Tunnels
[NO] 198/1000 | Poster: ECN-based Congestion Control for WebRTC
[NO] 199/1000 | M
                    <sup>2</sup>
                    Former: Enhancing Event-Based RT-DETR for Robust and Lightweight Space Object Detection
[NO] 200/1000 | SCOF: Supervised Contrastive Orthogonal Fusion for Robust Cross-View Geo-localization
[NO] 201/1000 | Exploring Gradient-Guided Masked Language Model to Detect Textual Adversarial Attacks
[NO] 202/1000 | Tap. Connect. Network. Share.
[NO] 203/1000 | TexGS-VolVis: Expressive Scene Editing for Volume Visualization via Textured Gaussian Splatting
[NO] 204/1000 | MADiff: Motion-Aware Mamba Diffusion Models for Hand Trajectory Prediction on Egocentric Videos_supp1-3633453.pdf
[NO] 205/1000 | Development of Hyperbolic Tangent Geman-McClure Quaternion Kalman Filter for 3D Tracking Applications
[NO] 206/1000 | PV-STR: An Efficient Pseudonym Verification Scheme With Spatial-Temporal Revocation in IoVs
[NO] 207/1000 | A Cross-Layer Analysis of Network Antifragility With RIS-Assisted Links Under Jamming Attacks
[NO] 208/1000 | Enhanced peroxidase-like activity of Fe-doped MoS nanozyme for colorimetric detection of HO and Hydroquinone_supp1-3632834.docx
[NO] 209/1000 | Scalable Transceiver Design for Multi-User Communication in FDD Massive MIMO Systems via Deep Learning
[NO] 210/1000 | Review and Outlook on Power Converters Exploiting Artificial Neural Networks: Recent Advances and Perspectives
[NO] 211/1000 | Nearest State Discontinuous PWM Strategy for Entire Modulation Index With Interleaved Carriers in Three-Parallel Operation
[NO] 212/1000 | Poster: Fast and Precise Compression of LiDAR Range Images for Real-Time Streaming
[NO] 213/1000 | From Signal-based to Impedance-based Sensing: A paradigm Shift for Plug-and-Play, Mobile, and Sensitive Battery-free Sensing
[NO] 214/1000 | Poster: Networked Multimodal Sensor Framework for Shrimp Health and Behavior Analysis
[NO] 215/1000 | Influence of Alumina Crystal Phases on the Combustion Dynamics of Al Particles
[NO] 216/1000 | Conductivity Calibration: Results of an Interlaboratory Comparison
[NO] 217/1000 | Benchmarking Motif Discovery Algorithms
[NO] 218/1000 | On Hierarchical Coded Caching with Offline Users
[NO] 219/1000 | Latency-Optimal File Assignment in Geo-Distributed Storage with Preferential Demands
[NO] 220/1000 | Benchmarking and Classification of Multi-Source Metocean Datasets in the Northern Tyrrhenian Sea
[NO] 221/1000 | Brain Connectivity: From network science to tensor models
[NO] 222/1000 | On the Derivative Structure of Euclidean Geometry Codes
[NO] 223/1000 | Error Correcting Codes for Segmented Burst-Deletion Channels
[NO] 224/1000 | Lateral-Directional Attitude Coupling Control Strategy for Hypersonic Underactuated Vehicles
[NO] 225/1000 | Trustworthy AUV Inspection of Critical Underwater Assets via Risk-Aware Coverage Path-Planning
[NO] 226/1000 | The VONGOLA (Visual and nOise-eNhanced AI Analysis for Marine Biodiversity MonitorinG, Observation and LeArning) Project: design and achievements of the Centro Siciliano di Fisica Nucleare e Struttura della Materia
[NO] 227/1000 | Robust Image Watermarking Algorithm Integrating QR and Singular Value Decomposition in the Discrete Wavelet Transform Domain
[NO] 228/1000 | Real-Time Anomaly Detection in Industrial Cyber-Physical Systems Using Unsupervised Machine Learning
[NO] 229/1000 | Cross-System Few-shot Log Anomaly Detection with Transformer-based Supervised Autoencoder and Data Augmentation
[NO] 230/1000 | On the Error Exponent Distribution of Code Ensembles over Classical-Quantum Channels
[NO] 231/1000 | Unsupervised Learning and Process Analysis for Sensor Data Validation in the IIoT
[NO] 232/1000 | NIRF: Detecting Cameras That Hide Behind Screen
[NO] 233/1000 | Poster: Vibration-Tolerant Doppler Disambiguation Algorithm for MIMO Backscatter Localization Systems
[NO] 234/1000 | WinSpy: Cross-window Side-channel Attacks on Android's Multi-window Mode
[NO] 235/1000 | Sustainability of Machine Learning-Enabled Systems: The Machine Learning Practitioner’s Perspective
[NO] 236/1000 | $CookieGuard:$ Characterizing and Isolating the First-Party Cookie Jar
[NO] 237/1000 | Emotions Like Human: Self-Supervised Emotion Label Augmentation for Emotion Recognition in Conversation
[NO] 238/1000 | Consumer Sentiment Driven Product Ranking Using a Feature-Level Deep Learning Approach: The Case of New and Refurbished Laptops
[NO] 239/1000 | A Novel Spreading-Factor-Index-Aided LoRa Scheme: Design and Performance Analysis
[NO] 240/1000 | AUD-YOLO: A lightweight object detection algorithm model incorporating dynamic upsampling for remote sensing images
[NO] 241/1000 | Scalable Cloud Auditing with Efficient Ownership Transfer for Group Transactions
[NO] 242/1000 | JTBot: A Flexible-Rigid Junction Tensegrity Robot for Unstructured Pipeline Inspection_supp5-3628682.mp4
[NO] 243/1000 | Method for Thermal Property Characterization from In-Situ Measurements Applied to the Performance Evaluation of Electric Machine Windings
[NO] 244/1000 | Agile, Reliable and Communication-Efficient Metaverse 3D Reconstruction Via Gaussian Semantic Splatting
[NO] 245/1000 | New Online Course - Foundation Models
[NO] 246/1000 | Takagi–Sugeno–Kang Fuzzy Systems With Iterated Projection Optimization for Classification Problems
[NO] 247/1000 | Agile and Accurate Formation Control for Uncertain UAV Swarms with Nash Game Optimality via Fuzzy Set Theory
[NO] 248/1000 | Energy Harvesting on AC Power Lines for a Battery-Free LoRa Sensor Node
[NO] 249/1000 | IEEE Journal of Electromagnetics, RF and Microwaves in Medicine and Biology Publication Information
[NO] 250/1000 | Counting Time Temporal Logic for Multi-Robot Path Planning in Finite Horizons
[NO] 251/1000 | Finite-Time Uncalibrated Visual Servoing For Robotic Manipulators Based on Model-Free Zeroing Neural Networks
[NO] 252/1000 | Phased Mission System based Reliability Analysis of Scheduling Tasks in Railway Marshalling Station
[NO] 253/1000 | VCRIS 2025 Keynotes
