[2026-04-21 10:19:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-20
正在获取论文...
[arXiv] 2026-04-20 | Dust characterization of halos -- The extended emission in protoplanetary disks
[IEEE] 2026-4-20 | Method for Evaluating Power Supply and Demand Balance Control
[IEEE] 2026-4-20 | Simulation for Non-Contact Radar-Based Respiratory Measurement Using Depth Camera-Derived Human 3D Models
[IEEE] 2026-4-20 | Tradeoff Between Energy Consumption and BER Performance in Bio-inspired Molecular Communications
[IEEE] 2026-4-20 | LGAT: Towards Local-Global Adaptive Temporal Graph Representation Learning
[IEEE] 2026-4-20 | Federated Anonymous Blocklisting across Service Providers and its Application to Group Messaging
[IEEE] 2026-4-20 | Bio-MutClassNet: A Context-Aware Hybrid Transformer Framework for Precision Oncology via Attention-Based Genetic Mutation Classification
[IEEE] 2026-4-20 | A Low-power Wearable Infrared Sensing System for Intermittent Core Body Temperature Monitoring
[IEEE] 2026-4-20 | Asymptotically Optimal Search for a Change Point Anomaly under a Composite Hypothesis Model
[IEEE] 2026-4-20 | Circularly Polarized Microstrip Antenna on a Magneto-Dielectric Substrate: Design Considerations
[IEEE] 2026-4-20 | Front Cover
[IEEE] 2026-4-20 | Combined Impedance Spectroscopy and Physical Characterization Unveils Kinetics of Ag Cations in the SET State of Ag/ZrO
                    <sub>x</sub>
                    :Al/Pt-RRAM with Variable Oxygen Vacancies
[IEEE] 2026-4-20 | Fortress: A Case Study in Stabilizing Search Recommendations Via Temporal Data Augmentation and Feature Pruning
[IEEE] 2026-4-20 | Improved Split-Window CNN-LSTM Architecture for Stress and Cardiac Monitoring Heart Rate Variability Analysis
[IEEE] 2026-4-20 | SmartTrip: An AI-Powered Travel Planning Platform with Intelligent Agent Support, Voice and Multilingual Capabilities
[IEEE] 2026-4-20 | Photovoltaic Defect Detection Based on the Improved Yolov8
[IEEE] 2026-4-20 | DFLADMM-M: Decentralized Federated Learning via Momentum-Accelerated ADMM
[IEEE] 2026-4-20 | CNN-Powered Brain Tumor Classification and Detection Using MRI Based on Deep Learning Methods
[IEEE] 2026-4-20 | A Comparative Study of Machine Learning Models for Multiclass Employee Absenteeism Prediction with Explainability
[IEEE] 2026-4-20 | Electric Vehicles in Microgrids: A Review of Control Architectures and Integration Approaches
[IEEE] 2026-4-20 | Reliable AI for Predictive Modeling: From Training-Time Accuracy to Operational Forecasting
[IEEE] 2026-4-20 | A Comparative Study of Grid Search and TPE for Tuning PPO on Atari Games
[IEEE] 2026-4-20 | Redesigning Home Energy Management Systems with Energy Harvesting and Integrated Control in Distributed Energy Resources
[IEEE] 2026-4-20 | Modelling of Structural Vibrations Excitation on RTG Cranes
[IEEE] 2026-4-20 | Mislabel Identification Using Transfer Learning-Based Ensemble Method
[IEEE] 2026-4-20 | Beyond the Black Box: Applying XAI to Supervised Multiclass Intrusion Detection
[IEEE] 2026-4-20 | Adaptative Serious Game as a Support Tool for Children with Reading and Writing Difficulties
[IEEE] 2026-4-20 | A Sampling Frac-N PLL with Current Steering Inverse-Constant-Slope DTC
[IEEE] 2026-4-20 | Scalable Multi-Agent DRL for Joint Offloading and Resource Allocation in MEC Networks
[IEEE] 2026-4-20 | Dynamic and Fair Allocation of Shared Energy Resources in Energy Communities
[IEEE] 2026-4-20 | Beyond Content Filtering: A “Circuit Breaker” Architecture for Autonomous Agent Action Safety
[IEEE] 2026-4-20 | Balancing Privacy and Model Performance: An Experimental Analysis of Data Anonymization Techniques
[IEEE] 2026-4-20 | Hybrid Architectures with Attention Mechanisms and Evolutionary Hyperparameter Optimization for Robust Pneumonia Detection
[IEEE] 2026-4-20 | Convolutional Multi-Scale Feature Enhanced Industrial Anomaly Detection
[IEEE] 2026-4-20 | Blockchain Transaction Anomaly Detection
[IEEE] 2026-4-20 | Scaling YOLOv8n for Road Object Detection Under Limited Data: A Comparative Study Using BDD100K Subsets
[IEEE] 2026-4-20 | A Game-Theoretic Federated Learning Approach with Heterogeneity-Sensitive Multimodal Policy for Dynamic Scheduling in Baseband Processors
[IEEE] 2026-4-20 | An Interactive Beam Element Analyzer for Problem-Based Learning and Rapid Assessment in Mechanics of Materials
[IEEE] 2026-4-20 | Engineering Reliable Retrieval-Augmented Generation for Regulatory and Compliance Systems
[IEEE] 2026-4-20 | Nomad-AMR: Generative Edge Intelligence and Predictive Modeling for Antimicrobial Stewardship in Data-Scarce Populations
[IEEE] 2026-4-20 | Blending Potential Fields and Hough Transform for Advanced Obstacle Avoidance in Mobile Robotics Systems
[IEEE] 2026-4-20 | A Novel Butterfly Slotted CMPA with Peripheral Ring Slot for 5G Sub-6 and ISM Band Applications
[IEEE] 2026-4-20 | A Method of 3D Path Planning for Multi-Drone Based on Improved Genetic Algorithm
[IEEE] 2026-4-20 | Heterogeneous Graph Neural Tangent Kernel
[IEEE] 2026-4-20 | Multi-Objective Optimal Scheduling of Smart Microgrid with Uncertainty Analysis of Electric Vehicle
[IEEE] 2026-4-20 | A Multi-Level Intelligent Framework for Unknown Vulnerability Capture and Alert Screening
[IEEE] 2026-4-20 | Trajectory Tracking Control of Omnidirectional Mobile Robots: A Comparison between SMC and Null-Space Controllers
[IEEE] 2026-4-20 | Intelligent Super-Resolution Fusion Method for Satellite and UAV Data Based on Differential Neural Networks
[IEEE] 2026-4-20 | Explainability First: Designing Trustworthy Machine Learning Models for Real-World Deployment
[IEEE] 2026-4-20 | Brain MRI Image Segmentation and Neurological Disease Diagnosis Using Deep Learning Model
[IEEE] 2026-4-20 | Reliable mmWave Blockage Detection Under Severe Imbalance: RUS/SMOTE with Ensemble Models
[IEEE] 2026-4-20 | Fine-Tuning Large Vision Models for Robust Diabetic Retinopathy Detection
[IEEE] 2026-4-20 | Privacy Without Compromise: Benchmarking Local Open-Weight LLMs for Financial Data Extraction
[IEEE] 2026-4-20 | A Four-Pillar Framework for Achieving 99.9% Reliability in Early-Stage Distributed Systems
[IEEE] 2026-4-20 | Characterization of Solar Radiation Effects on Free Space Optical Communication Using High-Altitude Balloon Measurements
[IEEE] 2026-4-20 | Multi-Agent-Based Network Traffic Dataset Quality Evaluation Framework
[IEEE] 2026-4-20 | From Argumentation to Action: Building Science from REDIVJ Through the TZEPIRC Methodology
[IEEE] 2026-4-20 | Vision-Based Path Planning for a Small-Scale Autonomous Vehicle with Neural Networks
[IEEE] 2026-4-20 | A Heterogeneous Neural Network With Multi-Modal Butterfly Attractors for Secure Medical Image Transmission
[IEEE] 2026-4-20 | Nano-Printed Spiral Phase Plate on Fiber Ferrules for Modal Filtering in Free-Space Optical Communications
[IEEE] 2026-4-20 | A Compact CMOS
                    <i>W</i>
                    -Band Transmitter Front-End With 7-Bit Phase Shifter Resolution
[IEEE] 2026-4-20 | Exploring the Security Dimensions of Identity-Based Proxy Signature Schemes: A Comprehensive Review
[IEEE] 2026-4-20 | Adaptive filtered feedback–driven Nash equilibrium seeking for structurally uncertain nonaffine multiagent systems
[IEEE] 2026-4-20 | Modeling and Validation of Rate-Integrating Gyroscopes With $0.01~^{\circ}/\sqrt{\text{h}}$ ARW and $100~\mu^{\circ}/\sqrt{\text{Hz}}$ AWN
共写入 1912 条记录，保存到 papers/paper2026-04-20.json。
论文获取成功，文件路径: papers/paper2026-04-20.json
正在筛选、翻译并发送邮件...
[NO] 1/1912 | Dust characterization of halos -- The extended emission in protoplanetary disks
[NO] 2/1912 | Toward Zero-Egress Psychiatric AI: On-Device LLM Deployment for Privacy-Preserving Mental Health Decision Support
[NO] 3/1912 | Compositional security definitions for higher-order where declassification
[NO] 4/1912 | Exploring Concreteness Through a Figurative Lens
[NO] 5/1912 | An Existence Proof for Neural Language Models That Can Explain Garden-Path Effects via Surprisal
[NO] 6/1912 | EQE-QAOA: An Equivalence-Preserving Qubit Efficient Framework for Combinatorial Optimization
[NO] 7/1912 | Two Potential Exoplanets around A-type Stars Selected from 18 Planetary Candidates
[NO] 8/1912 | Dissipative Latent Residual Physics-Informed Neural Networks for Modeling and Identification of Electromechanical Systems
[NO] 9/1912 | LiquidTAD: An Efficient Method for Temporal Action Detection via Liquid Neural Dynamics
[NO] 10/1912 | Gamma-Based Expansion for the First-Passage Time Distribution of Stochastic Logistic Models with Harvesting
[NO] 11/1912 | Impact of Cold Jupiter Scattering on the Mean-Motion Resonance of Inner Small Planets
[NO] 12/1912 | Beyond Pattern Matching: Seven Cross-Domain Techniques for Prompt Injection Detection
[NO] 13/1912 | Holographic dark energy as a source for slowly rotating wormholes: Implications for null geodesics and shadows
[NO] 14/1912 | On the market-consistent valuation of health insurance liabilities
[NO] 15/1912 | Horospherical Depth and Busemann Median on Hadamard Manifolds
[NO] 16/1912 | A Rademacher exact type formula for pod$_2(n)$
[NO] 17/1912 | Evaluating Multi-Hop Reasoning in RAG Systems: A Comparison of LLM-Based Retriever Evaluation Strategies
[YES] 18/1912 | Towards an Agentic LLM-based Approach to Requirement Formalization from Unstructured Specifications
[NO] 19/1912 | Instruction-as-State: Environment-Guided and State-Conditioned Semantic Understanding for Embodied Navigation
[NO] 20/1912 | A Counterexample to EFX; $n \ge 3$ Agents, $m \ge n + 5$ Items, Monotone Valuations; via SAT-Solving
[NO] 21/1912 | Galaxy Populations in the IllustrisTNG Caustic Skeleton
[NO] 22/1912 | A Comparative Evaluation of Geometric Accuracy in NeRF and Gaussian Splatting
[NO] 23/1912 | Multi-LLM Token Filtering and Routing for Sequential Recommendation
[NO] 24/1912 | Leading UV divergences of quantum corrections to Kähler superpotential in general $\mathcal{N}=1$ chiral model
[NO] 25/1912 | Continuous Focus Groups: A Longitudinal Method for Clinical HRI in Autism Care
[NO] 26/1912 | Attraction, Repulsion, and Friction: Introducing DMF, a Friction-Augmented Drifting Model
[NO] 27/1912 | Scalable Neighborhood-Based Multi-Agent Actor-Critic
[NO] 28/1912 | Sexaquarks and $H$ dibaryons in the $uuddss$ system: a comparison within a constituent quark model
[NO] 29/1912 | Embedding Arithmetic: A Lightweight, Tuning-Free Framework for Post-hoc Bias Mitigation in Text-to-Image Models
[YES] 30/1912 | VerilogCL: A Contrastive Learning Framework for Robust LLM-Based Verilog Generation
[NO] 31/1912 | Does "Do Differentiable Simulators Give Better Policy Gradients?'' Give Better Policy Gradients?
[NO] 32/1912 | FreezeEmpath: Efficient Training for Empathetic Spoken Chatbots with Frozen LLMs
[NO] 33/1912 | Operators on injective tensor products of L1-preduals
[NO] 34/1912 | mlr3torch: A Deep Learning Framework in R based on mlr3 and torch
[NO] 35/1912 | AI-based Waste Mapping for Addressing Climate-Exacerbated Flood Risk
[NO] 36/1912 | On the relative CNO underabundance in quasar absorption systems at $z \sim 3$ arising from Population III enrichment and attenuation by intermediate-mass black holes and primordial baryon accretion
[NO] 37/1912 | Distributional Off-Policy Evaluation with Deep Quantile Process Regression
[NO] 38/1912 | Do time delay effects explain galactic velocity profiles?
[NO] 39/1912 | An `Inverse' Experimental Framework to Estimate Market Efficiency
[NO] 40/1912 | TLoRA: Task-aware Low Rank Adaptation of Large Language Models
[NO] 41/1912 | Moments at the hard edge and Rayleigh functions
[NO] 42/1912 | Sharing the proceeds from a hierarchical venture when agents have needs
[NO] 43/1912 | Stability Implies Redundancy: Delta Attention Selective Halting for Efficient Long-Context Prefilling
[NO] 44/1912 | Macroscopic Optical Nonreciprocity: A Black Hole as an Optical Diode
[NO] 45/1912 | Solvable Descent and the Grunwald Problem for Solvable Groups
[NO] 46/1912 | The Collaboration Gap in Human-AI Work
[NO] 47/1912 | Polarization Engineering of the Orbital Hall Conductivity in Two-dimensional Ferroelectric Higher-Order Topological Insulator Tl$_2$S and SnS
[NO] 48/1912 | Agentic Forecasting using Sequential Bayesian Updating of Linguistic Beliefs
[NO] 49/1912 | T-REN: Learning Text-Aligned Region Tokens Improves Dense Vision-Language Alignment and Scalability
[NO] 50/1912 | Back into Plato's Cave: Examining Cross-modal Representational Convergence at Scale
[NO] 51/1912 | Pulling back Cartier structures along regular maps
[NO] 52/1912 | Latent Phase-Shift Rollback: Inference-Time Error Correction via Residual Stream Monitoring and KV-Cache Steering
[NO] 53/1912 | Counterexamples for lacunary dilates via dyadic spike blocks
[YES] 54/1912 | Symbolic Synthesis for LTLf+ Obligations
[NO] 55/1912 | HybridGen: Efficient LLM Generative Inference via CPU-GPU Hybrid Computing
[NO] 56/1912 | JAI functional contractions in relational metric spaces
[NO] 57/1912 | NOEMA3D: Resolving radial gas flows in disk galaxies at z~1.1-1.6 with high-resolution CO observations
[NO] 58/1912 | Scaling of Quantum Resources for Simulating a Long-Range System
[NO] 59/1912 | OneVL: One-Step Latent Reasoning and Planning with Vision-Language Explanation
[NO] 60/1912 | Warm-Start Quantum Approximate Optimization Algorithm for QAM MIMO Data Detection
[NO] 61/1912 | Linear-wave bound on electromagnetic energy equipartition at sub-electron scales in non-relativistic plasmas
[NO] 62/1912 | A Generalized Synthetic Control Method for Baseline Estimation in Demand Response Services
[NO] 63/1912 | An Integrated Deep-Learning Framework for Peptide-Protein Interaction Prediction and Target-Conditioned Peptide Generation with ConGA-PePPI and TC-PepGen
[NO] 64/1912 | Topological rigidity of complex and quaternionic moment--angle manifolds
[NO] 65/1912 | Random Matrix Theory of Early-Stopped Gradient Flow: A Transient BBP Scenario
[NO] 66/1912 | Coherent terahertz field tomographic imaging in warm Rydberg vapors
[NO] 67/1912 | Real-Time Algorithms for Model Predictive Control of Hybrid Dynamical Systems
[NO] 68/1912 | Security Risks of VOA-Induced Luminescence in Chip-Based quantum key distribution
[NO] 69/1912 | Impact of Initial Charge Distributions on the Kinetics of Charged Particle Coagulation
[NO] 70/1912 | Six Llamas: Comparative Religious Ethics Through LoRA-Adapted Language Models
[NO] 71/1912 | The Gomory-Hu inequality and trees
[NO] 72/1912 | Looking for Lights from the Darkness: Signals from MeV-scale Solar Axion-like Particles
[NO] 73/1912 | One-Step Diffusion with Inverse Residual Fields for Unsupervised Industrial Anomaly Detection
[NO] 74/1912 | Order Dependence in Regression by Composition: Discussion on "Regression by Composition'' by Farewell, Daniel, Stensrud, and Huitfeldt
[NO] 75/1912 | NEMO: Neural Electro-Mechano-Optic Sensors for Multiplexed Neural Interfaces
[NO] 76/1912 | The implicated scientist: on the role of AI researchers in the development of weapons systems
[NO] 77/1912 | EAST: Early Action Prediction Sampling Strategy with Token Masking
[NO] 78/1912 | Effect Sizes in Marketing Research: Why Cohen's Local f^2 Belongs in the Toolkit
[NO] 79/1912 | Multilingual Training and Evaluation Resources for Vision-Language Models
[NO] 80/1912 | One Pass for All: A Discrete Diffusion Model for Knowledge Graph Triple Set Prediction
[NO] 81/1912 | Thermodiffusion in Aqueous Alkali Halide Solutions from Ambient to Supercooled Conditions: Ion-Specific, Structural, and Mass Effects
[NO] 82/1912 | Factor-Augmented Panel Regressions and Variance-Weighted Treatment Effects
[NO] 83/1912 | Metal Atom (Dis)Order and Superconductivity in YCaH$_{n}$ ($n=8-20$) High-Pressure Superhydrides
[NO] 84/1912 | Towards Real-Time ECG and EMG Modeling on $μ$ NPUs
[NO] 85/1912 | Information decomposition for disentangled and interpretable manifold learning of fluid flows via variational autoencoders
[NO] 86/1912 | Efficient Bayesian inference for non-linear association structures in joint models: A hierarchical approach via INLA
[NO] 87/1912 | ExAI5G: A Logic-Based Explainable AI Framework for Intrusion Detection in 5G Networks
[NO] 88/1912 | A Bayesian framework with adaptive elastic nets for the inference of Gaussian graphical models
[NO] 89/1912 | HolmeSketcher: Generative 3D Sketch Mapping for Spatial Reconstruction in Crime Scene Investigation
[NO] 90/1912 | Matrix-Free 3D SIMP Topology Optimization with Fused Gather-GEMM-Scatter Kernels
[NO] 91/1912 | Jet Quenching in the Smallest Hadronic Collision Systems
[NO] 92/1912 | Multi-stream Quickest Change Detection: Foundations and Recent Advances
[NO] 93/1912 | AIT Academy: Cultivating the Complete Agent with a Confucian Three-Domain Curriculum
[NO] 94/1912 | Employing General-Purpose and Biomedical Large Language Models with Advanced Prompt Engineering for Pharmacoepidemiologic Study Design
[NO] 95/1912 | Mitigating Multimodal Hallucination via Phase-wise Self-reward
[NO] 96/1912 | Efficiently emulating distribution functions in gigaparsec volumes for varying cosmological parameters
[NO] 97/1912 | DifFoundMAD: Foundation Models meet Differential Morphing Attack Detection
[NO] 98/1912 | Process Reward Models Meet Planning: Generating Precise and Scalable Datasets for Step-Level Rewards
[NO] 99/1912 | Advances in photocathode development for PICOSEC Micromegas precise-timing detectors
[NO] 100/1912 | QCD, electroweak physics, and searches for exotic signatures in the forward region at LHCb
[NO] 101/1912 | ReCoQA: A Benchmark for Tool-Augmented and Multi-Step Reasoning in Real Estate Question and Answering
[NO] 102/1912 | A 2-adjunction between representations and preorder morphisms
[NO] 103/1912 | Monte Carlo Study of the Phase Transition of the $XY$ Model on a Diamond Lattice
[NO] 104/1912 | ContraPrompt: Contrastive Prompt Optimization via Dyadic Reasoning Trace Analysis
[NO] 105/1912 | Replica Theory of Spherical Boltzmann Machine Ensembles
[NO] 106/1912 | Brain-Inspired Capture: Evidence-Driven Neuromimetic Perceptual Simulation for Visual Decoding
[NO] 107/1912 | Information on hidden birth events restores identifiability in phylodynamic inference
[NO] 108/1912 | Optimal linear-payment auction design with aftermarket collaboration
[NO] 109/1912 | Weaponizing the Commons: A Taxonomy and Detection Framework of Abuse on GitHub
[NO] 110/1912 | Empowering Vocabulary Learning Through Teaching AI: Using LLMs as a Student to Perform Learning by Teaching in Vocabulary Acquisition
[NO] 111/1912 | SPREG: Structured Plan Repair with Entropy-Guided Test-Time Intervention for Large Language Model Reasoning
[NO] 112/1912 | Geometric Buoyancy-like Effects of Static Structures with Internal Stress in Schwarzschild Spacetime
[NO] 113/1912 | ST-$π$: Structured SpatioTemporal VLA for Robotic Manipulation
[NO] 114/1912 | Exploring Boundary-Aware Spatial-Frequency Fusion for Camouflaged Object Detection
[NO] 115/1912 | RankUp: Towards High-rank Representations for Large Scale Advertising Recommender Systems
[NO] 116/1912 | OFlow: Injecting Object-Aware Temporal Flow Matching for Robust Robotic Manipulation
[NO] 117/1912 | Spatiotemporal Sycophancy: Negation-Based Gaslighting in Video Large Language Models
[NO] 118/1912 | Design and Evaluation of a Culturally Adapted Multimodal Virtual Agent for PTSD Screening
[NO] 119/1912 | Probing Cosmic-Ray-Boosted and Supernova-Sourced Sub-GeV Dark Matter with Paleo-Detectors
[NO] 120/1912 | Including higher-order modes in a quadrupolar eccentric numerical relativity surrogate using universal eccentric modulation functions
[NO] 121/1912 | GPUOS: A GPU Operating System Primitive for Transparent Operation Fusion
[NO] 122/1912 | TitanCA: Lessons from Orchestrating LLM Agents to Discover 100+ CVEs
[NO] 123/1912 | Joint Phase Noise and Off-Grid Channel Estimation for AFDM Systems via Sparse Bayesian Learning
[NO] 124/1912 | AI Approach for MRI-only Full-Spine Vertebral Segmentation and 3D Reconstruction in Paediatric Scoliosis
[NO] 125/1912 | Learning from AVA: Early Lessons from a Curated and Trustworthy Generative AI for Policy and Development Research
[NO] 126/1912 | Label-Free Detection of Governance Evidence Degradation in Risk Decision Systems
[NO] 127/1912 | Inferring lunar wake potentials from electron phase space densities
[NO] 128/1912 | A novel LSTM music generator based on the fractional time-frequency feature extraction
[NO] 129/1912 | WebUncertainty: Dual-Level Uncertainty Driven Planning and Reasoning For Autonomous Web Agent
[NO] 130/1912 | Raven: Rethinking Automated Assessment for Scratch Programs via Video-Grounded Evaluation
[NO] 131/1912 | PDDL-Mind: Large Language Models are Capable on Belief Reasoning with Reliable State Tracking
[NO] 132/1912 | Navigating the Conceptual Multiverse
[NO] 133/1912 | Optimally Bridging Semantics and Data: Generative Semantic Communication via Schrödinger Bridge
[NO] 134/1912 | Semistable Reduction Theorem for Overconvergent $F$-isocrystals over Laurent Series Fields
[NO] 135/1912 | Teaching Usable Privacy in HCI Education: Designing, Implementing, and Evaluating an Active Learning Graduate
[NO] 136/1912 | Subject-Aware Multi-Granularity Alignment for Zero-Shot EEG-to-Image Retrieval
[NO] 137/1912 | Uniform two-generator presentations for $SL_n(\mathbb{Z})$ with polynomial complexity bounds
[NO] 138/1912 | Soft mode dynamics associated with QCD critical point and color superconductivity -- pseudogap, anomalous dilepton production and electric conductivity
[NO] 139/1912 | Evolutionary Negative Module Pruning for Better LoRA Merging
[NO] 140/1912 | IncreFA: Breaking the Static Wall of Generative Model Attribution
[NO] 141/1912 | Varieties of minimal degree in weighted projective space
[YES] 142/1912 | Program Structure-aware Language Models: Targeted Software Testing beyond Textual Semantics
[NO] 143/1912 | DeInfer: Efficient Parallel Inferencing for Decomposed Large Language Models
[NO] 144/1912 | Dynamical spin-nematic order in a transverse field Ising chain with non-Hermitian Gamma interaction
[NO] 145/1912 | Hysteresis and Selection in the Rise of Fascism: The `Ordinary Men' of the Nazi Party
[NO] 146/1912 | Stratagem: Learning Transferable Reasoning via Trajectory-Modulated Game Self-Play
[NO] 147/1912 | Improving reproducibility by controlling random seed stability in machine learning based estimation via bagging
[NO] 148/1912 | Dual-stream Spatio-Temporal GCN-Transformer Network for 3D Human Pose Estimation
[NO] 149/1912 | On circulant ternary coherent configurations of prime degree
[NO] 150/1912 | Constraining neutron skin impurity in $^{48}\mathrm{Ca}$ and its relevance for the CREX-PREX puzzle
[NO] 151/1912 | Towards Intelligent Legal Document Analysis: CNN-Driven Classification of Case Law Texts
[NO] 152/1912 | Low-Complexity Learning-Based Beamforming for Ultra-Massive MIMO THz Communications
[NO] 153/1912 | Analysis of the $D_0^*(2300)$ resonance from lattice QCD under chiral symmetry
[NO] 154/1912 | Transition path sampling in Ising models on heterogeneous graphs
[NO] 155/1912 | AgenTEE: Confidential LLM Agent Execution on Edge Devices
[NO] 156/1912 | Localisation of $\mathcal{N} = (2,2)$ theories on spindles of both twists
[NO] 157/1912 | Quantum theory for phonon lasing and non-classical state generation in mixed-species and single trapped ions
[NO] 158/1912 | On quantum functionals for higher-order tensors
[NO] 159/1912 | A unified framework for grain boundary distributions in textured materials
[NO] 160/1912 | Homological Aspects of Separable Extensions of Triangulated Categories
[NO] 161/1912 | The T16 Planet Hunt: 10,000 New Planet Candidates from TESS Cycle 1 and the Confirmation of a Hot Jupiter Around TIC 183374187
[NO] 162/1912 | Bounded Ratio Reinforcement Learning
[NO] 163/1912 | On Chromatic Asymptotic Approximate Groups
[NO] 164/1912 | A multimodal and temporal foundation model for virtual patient representations at healthcare system scale
[NO] 165/1912 | Benchmarking System Dynamics AI Assistants: Cloud Versus Local LLMs on CLD Extraction and Discussion
[NO] 166/1912 | ConforNets: Latents-Based Conformational Control in OpenFold3
[NO] 167/1912 | Uniform analyticity of local observables in FK-percolation and analyticity of the Ising spontaneous magnetisation
[NO] 168/1912 | GSQ: Highly-Accurate Low-Precision Scalar Quantization for LLMs via Gumbel-Softmax Sampling
[NO] 169/1912 | Advancing Vision Transformer with Enhanced Spatial Priors
[NO] 170/1912 | Physics-Informed Neural Networks for Biological $2\mathrm{D}{+}t$ Reaction-Diffusion Systems
[NO] 171/1912 | FUSE: Ensembling Verifiers with Zero Labeled Data
[NO] 172/1912 | ClawEnvKit: Automatic Environment Generation for Claw-Like Agents
[NO] 173/1912 | Two-Dimensional Tomography and Fourier Analysis
[NO] 174/1912 | Transition-Matrix Regularization for Next Dialogue Act Prediction in Counselling Conversations
[NO] 175/1912 | Fast and Forgettable: A Controlled Study of Novices' Performance, Learning, Workload, and Emotion in AI-Assisted and Human Pair Programming Paradigms
[NO] 176/1912 | Photoinduced orbital polarization and Jahn-Teller effect in RNiO$_3$
[NO] 177/1912 | IDOBE: Infectious Disease Outbreak forecasting Benchmark Ecosystem
[NO] 178/1912 | Joint Scheduling of Multi-Band Radar Sensing and DNN Inference for Cross-Stage Parallelism
[NO] 179/1912 | Three loop QCD corrections to electroweak radiative parameters
[NO] 180/1912 | Different Paths to Harmful Compliance: Behavioral Side Effects and Mechanistic Divergence Across LLM Jailbreaks
[NO] 181/1912 | Bayesian experimental design: grouped geometric pooled posterior via ensemble Kalman methods
[NO] 182/1912 | NOEMA3D: Spatially resolved dust, CO, and [C I] in massive star-forming main sequence galaxies at cosmic noon
[NO] 183/1912 | Moving beyond Principles: Identifying Actionable AI Fairness Practices
[NO] 184/1912 | Continuous Wave Second Harmonic Generation from an Etchless Lithium Niobate Resonant Metasurface
[NO] 185/1912 | Barrier-enforced multi-objective optimization for direct point and sharp interval forecasting
[NO] 186/1912 | Physics-Informed Neural Networks: A Didactic Derivation of the Complete Training Cycle
[NO] 187/1912 | On the quasi-monomiality of the $α$-and $δ$-invariants
[NO] 188/1912 | Using large language models for embodied planning introduces systematic safety risks
[NO] 189/1912 | Diffusion compaction coupling controls pore pressure dynamics in granular fluid flows
[NO] 190/1912 | ESsEN: Training Compact Discriminative Vision-Language Transformers in a Low-Resource Setting
[NO] 191/1912 | Bose metal near pair-density-wave order in a spin-orbit-coupled Kondo lattice
[NO] 192/1912 | AutoPPA: Automated Circuit PPA Optimization via Contrastive Code-based Rule Library Learning
[NO] 193/1912 | ProtoCLIP: Prototype-Aligned Latent Refinement for Robust Zero-Shot Chest X-Ray Classification
[NO] 194/1912 | New Physics in inclusive $\bar{B} \to X_c \ell \barν$ decays
[NO] 195/1912 | Revisiting Change VQA in Remote Sensing with Structured and Native Multimodal Qwen Models
[NO] 196/1912 | Quantum quenches in a spin-1 chain with tunable symmetry
[NO] 197/1912 | Context-Aware Search and Retrieval Under Token Erasure
[NO] 198/1912 | Correcting radar meteor fluxes for observing biases
[NO] 199/1912 | TypeScript Repository Indexing for Code Agent Retrieval
[NO] 200/1912 | AlphaContext: An Evolutionary Tree-based Psychometric Context Generator for Creativity Assessment
[NO] 201/1912 | River-LLM: Large Language Model Seamless Exit Based on KV Share
[NO] 202/1912 | Feedforward Phase Noise Compensation for Intersymbol Interference Channels
[NO] 203/1912 | Forecasting Ionospheric Irregularities on GNSS Lines of Sight Using Dynamic Graphs with Ephemeris Conditioning
[NO] 204/1912 | Simple modules over truncated current Lie algebras of the Witt algebra
[NO] 205/1912 | Hausdorff Dimension of Anosov Subgroups' Limit Sets with Special Self-Affine Complexity
[NO] 206/1912 | Neutrally Evolving Interlocking Complexity in the Quandary Den
[NO] 207/1912 | Temporal Retention of Information as a Biosignature
[NO] 208/1912 | ComPASS: Towards Personalized Agentic Social Support via Tool-Augmented Companionship
[NO] 209/1912 | Generalized parton distributions of valence, sea, and gluon components of the proton
[NO] 210/1912 | Statistical inference with win statistics in cluster-randomized trials with composite outcomes
[NO] 211/1912 | Probing the 3D Structures of Supernovae through IR Signatures of CO and SiO
[NO] 212/1912 | Direct observation of quadruple spin-texture locking in a 2D d-wave altermagnet
[NO] 213/1912 | Polar Coded Quantization for Distributed Source Coding
[NO] 214/1912 | Stability of geodesic-ray data, horofunctions, and rectifiability of fixed-shape slices in the Newtonian \(N\)-body problem
[NO] 215/1912 | Lagrange Index based Scheduling for Minimizing Age of Updates from Heterogeneous Sources
[NO] 216/1912 | Class-specific diffusion models improve military object detection in a low-data domain
[NO] 217/1912 | Revisiting Code Debloating with Ground Truth-based Evaluation
[NO] 218/1912 | Saturation of Markov Polynomials
[NO] 219/1912 | Overcoming Selection Bias in Statistical Studies With Amortized Bayesian Inference
[NO] 220/1912 | Perfect quantum strategies for quantum magic rectangular games: a complete structural characterization
[NO] 221/1912 | Denoise and Align: Diffusion-Driven Foreground Knowledge Prompting for Open-Vocabulary Temporal Action Detection
[NO] 222/1912 | Phonon number relaxation in a 3D superfluid with a concave acoustic branch
[NO] 223/1912 | Subcodes of Lambda-Gabidulin Codes for Compact-Ciphertext Cryptography
[NO] 224/1912 | Sketch of a Gauge Model of Gravity with SU(2) Symmetry in Minkowski space
[NO] 225/1912 | Questioning MAMI's recent determination of $B_Λ({_Λ^3}{\rm H})$
[NO] 226/1912 | Where Do Self-Supervised Speech Models Become Unfair?
