[2026-08-27 00:19:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-26
正在获取论文...
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[IEEE] 2026-8-26 | Domain Ontology-Anchored Experience Memory Mechanism for Power System AI Agent
[IEEE] 2026-8-26 | Weak-Coverage User Compensation for RIS-Assisted Plateau LoRa Multi-User Downlink Coverage Enhancement
[IEEE] 2026-8-26 | Implicit Depth Deep Unfolding for Three-Dimensional SAR Tomography
[IEEE] 2026-8-26 | Deep Learning–Based Covariance Reconstruction for STAP in Subarray-Sampled Airborne FDA Radar Systems
[IEEE] 2026-8-26 | EDTalk++: Full Disentanglement for Controllable Talking Head Synthesis
[IEEE] 2026-8-26 | Modeling and Analysis for High-Frequency Oscillations in Islanded Converter Stations of MMC-HVDC Systems for Renewable Energy Integration
[IEEE] 2026-8-26 | The Throughput Gain of Hypercycle-level Resource Reservation for Time-Triggered Communication
[IEEE] 2026-8-26 | Interpretable Cross-Sensor Hyperspectral Image Super-Resolution
[IEEE] 2026-8-26 | DOA Estimation of Unknown Source Number under Coexistence of Coherent and Uncorrelated Sources
[IEEE] 2026-8-26 | IEEE Computing Edge
[IEEE] 2026-8-26 | Table of Contents
[IEEE] 2026-8-26 | Non-Intrusive Detection and Localization of Inter-Turn Short-Circuit Faults in Dry-Type Air-Core Reactors Using a TMR Magnetic-Field Sensor Array
[IEEE] 2026-8-26 | LEO Broadband Communication Satellite-Based Passive Radar Imaging: (I) Blind Signal Estimation and Structure-Aware Suppression of OFDM-Induced Ghost Responses
[IEEE] 2026-8-26 | CLIP-SGI: A Semantic-Guided and Instance-Consistent Framework for Generalizable Person Re-Identification
[IEEE] 2026-8-26 | Multi-Agent Change Impact Analysis and Test Optimization for AI-Enabled Software Systems
[IEEE] 2026-8-26 | Ensuring QoS Stability in Dynamic WANs through Selectively Optimized Range Routing
[IEEE] 2026-8-26 | Message From the Chairs
[IEEE] 2026-8-26 | Design and Simulation Verification of Civil Aircraft HF Communication Antenna
[IEEE] 2026-8-26 | EVLM: Intent-Driven Edge Vision Language Model for UAV-Based Power Line Inspection
[IEEE] 2026-8-26 | Speak Your Network: Automated Network Emulation Construction with Cost-Efficient Multi-Agent Orchestration
[IEEE] 2026-8-26 | Spatially-Aware Stable Learning for Single-Domain Generalizable Remote Sensing Object Detection_supp1-3727080.docx
[IEEE] 2026-8-26 | Deep Coupling of Sparsity Algorithms and Hardware Architectures: An FPGA Implementation for Airborne Edge Remote Sensing Object Detection
[IEEE] 2026-8-26 | Copyright Page
[IEEE] 2026-8-26 | Scenario-Adaptive Preference-Driven Trajectory Refinement for Communication Reliability-Constrained Vehicle-to-Vehicle Systems
[IEEE] 2026-8-26 | A Reinforcement Learning-Based Broadband Spectrum-Aware Subband Merging Algorithm
[IEEE] 2026-8-26 | Cloud-edge-end collaborative service architecture and smart contract verification model for full-link trust
[IEEE] 2026-8-26 | Graphene-Vanadium Based 2-Bit RIS Beam Scanner Circular Polarization Conversion for 6G Applications
[IEEE] 2026-8-26 | Trustworthy Federated Learning for Edge-Enabled Spatial Crowdsourcing with Malicious Source Identification
[IEEE] 2026-8-26 | Dynamic Hot Expert Replication with Load and Topology-Aware Joint Gating for Distributed MoE Inference
[IEEE] 2026-8-26 | A three-dimensional container loading problem model based on SEO algorithm
[IEEE] 2026-8-26 | Prescribed-Performance Control of Underactuated MSVs via a Neural Network–Based RISE Disturbance Observer
[IEEE] 2026-8-26 | A Deformation-Prior-Constrained Unified Error Correction Method for Wide-Area ALOS/PALSAR InSAR Processing
[IEEE] 2026-8-26 | HyperWeave: QoS-aware GPU Overcommitment for Deep Learning Training Jobs
[IEEE] 2026-8-26 | Pedagogical Integration of First-Person Shooter Mechanics in Game-Based Learning: A Critical Review and Framework Positioning
[IEEE] 2026-8-26 | Behavioral Regression Testing for Continuously Updated Machine Learning Models
[IEEE] 2026-8-26 | RMT-UNet: A Spatial-Retention U-Net with Efficient Local Attention for SAR Oil Spill Segmentation
[IEEE] 2026-8-26 | A Knowledge-enhanced Framework with -step DQN for No-Wait Flow-Shop Scheduling with Sequence-Dependent Setup Time_supp1-3727219.pdf
[IEEE] 2026-8-26 | Sensing-Then-Transmit: A Two-Phase Secure ISAC Framework
[IEEE] 2026-8-26 | Adversarial CSI Obfuscation Against Device-Free Activity Recognition in RIS-Assisted Systems
[IEEE] 2026-8-26 | AUCH-Net: Action Unit-Based Consistency-Aware Hypergraph Network for Cross-Domain Few-Shot Facial Expression Recognition
[IEEE] 2026-8-26 | PolySAT: A Fast Cache-SAT Implementation for Solving Boolean Problems with Parameterized Complexity
[IEEE] 2026-8-26 | Kylin-Based Communication O&amp;M Management System with Work-Order-Driven Security Control
[ACM] 2026-8-26 | Void Technologies: In Memory of Margaret Tedesco
[IEEE] 2026-8-26 | <i>Computer</i>
                    Highlights Society Magazines
[IEEE] 2026-8-26 | Computer Science &amp; Engineering Awards
[IEEE] 2026-8-26 | ReCLIP-SFD: Refining CLIP with Spatial-Frequency Debiasing for Generalizable Deepfake Detection
[IEEE] 2026-8-26 | Reconfigurable mode-locked optoelectronic oscillator based on a dual-parallel Mach–Zehnder modulator
[IEEE] 2026-8-26 | PSM: Timely and Resource-Efficient Sketch Migration in Network Measurement
[IEEE] 2026-8-26 | A Systematic Review of Generative AI for Educational Recommender Systems
[IEEE] 2026-8-26 | Simulation and Analysis of the Superposition-Type Synchronous Detector
[IEEE] 2026-8-26 | Chariot: Accelerating Distributed Protocols with Data-Path Accelerator in DPUs
[IEEE] 2026-8-26 | Efficient Front-End Speech Enhancement for Robust ASR via Parallel Time–Band Mixing and Learned Observation Fusion
[IEEE] 2026-8-26 | Towards Developing an mHealth Platform for Stroke Screening Utilizing Audio-Video Recordings
[IEEE] 2026-8-26 | Dynamic Modeling for a Multisegment Soft Continuum Robot With External Loads
[IEEE] 2026-8-26 | Modal Reliability Assessment and Drift Early Warning in Visible-Infrared Target Tracking
[IEEE] 2026-8-26 | RSG-DETR: A Lightweight Detection Method for Floating Garbage in Urban Rivers for Smart Sanitation USVs
[IEEE] 2026-8-26 | MSPPGT: A Multi-Scale Pyramid Pooling-Based Graph Transformer Framework for Neuropsychiatric Disorder Diagnosis
[IEEE] 2026-8-26 | AP Selection and Power Control for Personalized Cell-Free Massive MIMO: Graph-Embedded Reinforcement Learning Approach
[IEEE] 2026-8-26 | A Lightweight Intrusion Detection System for Constrained IoT Devices
[IEEE] 2026-8-26 | Electrical Drives with Integrated Output Filters Part II - Classical and Advanced Control Strategies
[IEEE] 2026-8-26 | Dynamic Tilt Estimation for Pen Tracking Using a Single Tri-Axial Accelerometer
[IEEE] 2026-8-26 | Detecting Parkinson's Disease Using Voice Signals and Deep Learning Models
[IEEE] 2026-8-26 | Parallel Calibration Based on Harmonic Analysis With Orthogonal Code Modulation
[IEEE] 2026-8-26 | Improving LLM-Based Unit Test Generation Through Root-Cause-Driven Prompt Design
[IEEE] 2026-8-26 | FlowRAG: A Two-Stage Retrieval-Augmented Intrusion Detection System for Adaptive UAV Network Security
共写入 1000 条记录，保存到 papers/paper2026-08-26.json。
论文获取成功，文件路径: papers/paper2026-08-26.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[NO] 2/1000 | Fractional-N Frequency Synthesis Based on Ring-
                    <i>LC</i>
                    Cascaded PLL With Calibration-Free Noise Cancellation Techniques
[NO] 3/1000 | GlyphTSR: Text-rich Scene Image Super-Resolution beyond Glyph Priors
[NO] 4/1000 | Design Flexibility in Infrastructure Projects: Integrating Means-Ends Analysis and Real Options Reasoning
[NO] 5/1000 | Bias in the Shadows: Explore Shortcuts in Encrypted Network Traffic Classification
[NO] 6/1000 | Lightweight AAC-YOLO Algorithm for Railway Foreign Object Intrusion Detection
[NO] 7/1000 | Graph Neural Network Enabled Resource Optimization for Tethered UAV Networks With Rotatable Directional Antennas
[NO] 8/1000 | Entangled Photon Source Pooling and Entanglement Distribution for Quantum Networks
[NO] 9/1000 | Hierarchical access control scheme for educational data based on blockchain and attribute-based encryption
[NO] 10/1000 | Study on the Influence of Stacked Polyhedral Structure of Microphone Array on UAV Sound Source Direction Finding
[NO] 11/1000 | Self-Adaptive Governance for Elastic Privacy in Mental Health Digital Phenotyping
[NO] 12/1000 | A Large Language Model Assisted Fault Diagnosis Framework for Power Equipment in New Power Systems
[NO] 13/1000 | Message from Congress 2026 Program Chairs
[NO] 14/1000 | PRO: Deterministic Load Balancing for AI Datacenter Network
[NO] 15/1000 | SwitchNN: In-Network CNN Inference for Edge-Assisted Smart Roadside Networks
[NO] 16/1000 | Dual-Layer LEO Mega-Constellation Topology Optimization Based on an Improved Slime Mould Algorithm with Feasible Projection_supp1-3727534.pdf
[NO] 17/1000 | CyberAI (AICyber) Framework for Digital Health Applications: A Position Paper
[NO] 18/1000 | Image-Guided Robotic Surgery System to Eliminate Drill Bit Skiving During Pedicle Screw Placement – Concept Validation
[NO] 19/1000 | Dual Adaptive Noise Cancellation and Enhancement (DANCE) for Real-Time One-Dimensional Signal Denoising
[NO] 20/1000 | Risk-Stratified CQI in Engineering Education: Six-Cohort Validation of a Registry-Only Early-Warning Rule
[NO] 21/1000 | Keynote: Emerging Approaches to Resource Management and Scheduling in the Mist—Fog—Cloud Continuum
[NO] 22/1000 | An Optoelectronic MXene/HfO
                    <sub>2</sub>
                    Memristor for In-Sensor Neuromorphic Visual Computing
[NO] 23/1000 | PointSR++: Self-Regularized Point Supervision with Spatial-Structural Constraints for Drone-View Object Detection
[NO] 24/1000 | Technical Communication and the Discipline of Content: Considerations for Research: Rebekka Andersen and Carlos Evia: [Book Review]
[NO] 25/1000 | Multifocus Image Fusion via LS-DTNP in the NSST Domain
[NO] 26/1000 | Practical Tracking Control for Amphibious Uncrewed Aerial Vehicles With Prescribed Performance: Theory and Experimentation
[NO] 27/1000 | A Causal-Driven Hierarchical Decentralised Federated Learning Framework for Resilient Load Forecasting in Distributed Microgrids
[NO] 28/1000 | AuEx: Automatic Exploration for Fresh Creative Ads via Large-Scale Deep Reinforcement Learning
[NO] 29/1000 | FusionEar: Toward High-Fidelity and Unconstrained Speech Eavesdropping via Multi-Modal Motion Sensor Fusion
[NO] 30/1000 | Unsupervised Learning for Weighted Resource Allocation in RIS-Assisted mmWave MIMO Systems
[NO] 31/1000 | ShadowBlock: Efficient Dynamic Anonymous Blocklisting and Its Cross-chain Application
[NO] 32/1000 | Frequency Doublet Resonance Detection Electronic Circuit for Piezoelectric Flexural Plate Wave MEMS Transducer
[NO] 33/1000 | Table of Contents
[NO] 34/1000 | Electrical Engineering Powering Energy Transition: Beyond generation, the future of our grid relies on how we control energy.
[NO] 35/1000 | Play as Interrogation in GenAI Use
[NO] 36/1000 | Complementary Asymmetric Representation Learning for Exemplar-Free Class-Incremental Learning
[NO] 37/1000 | Resilient Model Predictive Formation Control for Nonholonomic Multivehicles Under Mixed Attacks
[NO] 38/1000 | A 3D Stackable 1T2C DRAM with Sidewall Storage Capacitors for High-Density Memory
[NO] 39/1000 | Real-Time PH Monitoring and Alerting System for Wastewater Management
[NO] 40/1000 | Interference-Aware Instantaneous Frequency and Amplitude Estimator for Multicomponent Signals
[NO] 41/1000 | Decentralized But Not Immune: Empirical and Formal Security Analysis of Messaging Networks
[NO] 42/1000 | CANListener: A Lightweight and Adaptive Intrusion Detection System for In-vehicle CAN Bus
[NO] 43/1000 | WTM-YOLOv11: A Small Target Detection Model for Complex Scenes in UAV Applications
[NO] 44/1000 | MAGNet: Physics-Informed Multiscale Attention and Gated Recurrent Network for Filter Inverse Design
[NO] 45/1000 | Extended Reality for Agricultural Supply Chain Education: A Systematic Review of Effectiveness, Implementation Challenges, and Future Directions
[NO] 46/1000 | VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities
[NO] 47/1000 | UAVchain: Blockchain Technology Applications for Unmanned Aerial Vehicles
[NO] 48/1000 | IEEE Transactions on Sustainable Computing
[NO] 49/1000 | Layer-wise Principal Gradient Compression for Distributed Machine Learning
[NO] 50/1000 | Advancing Integrated Communications and Stealth Via STAR-RIS for Low-Altitude Wireless Networks
[NO] 51/1000 | HLIPIA:Efficient LLM On-Device Deployment Optimization with Hybrid Layer-Importance Pruning and Improved Adaptive Low Rank Adaptation
[NO] 52/1000 | LQG-Based Distributed Resilient Control for DC Microgrids Over Unreliable Communication Channel
[NO] 53/1000 | Front Cover
[NO] 54/1000 | Count-Rate Modeling and Compensation for Photomultiplier Tubes Under High-Voltage Ripple Disturbances
[NO] 55/1000 | Development of Fiber Optic Sensors, Their Principles, and Algorithm Optimization Research for Intraoperative Navigation
[NO] 56/1000 | PalmShield: A Climate-Smart AI Mobile Platform for Sustainable Date Palm Health Monitoring
[NO] 57/1000 | A Current-Mode Non-Destructive Circuit Readout Scheme for High-Density 3D Ferroelectric Memory
[NO] 58/1000 | Cloud-Compatible and Scalable Private Messaging via Authentication Piggybacking
[NO] 59/1000 | When AI Becomes the First Listener: A Conversation with Joanne Cheung on How AI Soothes and Shapes Our Thoughts
[NO] 60/1000 | RAPIDS: Reliable Adaptive Priority-based Intelligent Delivery Streaming for Enhanced Error Resilience in Real-time Video
[NO] 61/1000 | Center-Aware Pairwise Learning for Deep Semi-supervised Anomaly Detection
[NO] 62/1000 | Evaluating DL Test Adequacy Metrics: A Correlation Study with DeepCrime’s Mutation Score
[NO] 63/1000 | A Lightweight ML Framework for Crop Selection and Yield Estimation on Low-End Devices
[NO] 64/1000 | Performance of a hybrid ARIMA-LSTM-Transformer model in influenza-like illness forecasting: A comparative study
[NO] 65/1000 | Perspective on Bias in Biomedical AI: Preventing Downstream Healthcare Disparities
[NO] 66/1000 | UAV Acoustic Source Direction Finding Based on Generalized Likelihood Ratio Test
[NO] 67/1000 | MUFFLe: Efficient Model Update Compression via Generalized Deduplication for Federated Learning
[NO] 68/1000 | Research on Intelligent Electronic Load Control System and Computational Optimization Method for High-Speed OSFP Optical Module Testing
[NO] 69/1000 | Kendall’s Tau Based Robust Spectrum Sensing Under Colored Gaussian Noise With Impulsive Interference
[NO] 70/1000 | Compressive Toeplitz Covariance Estimation From Few-Bit Quantized Measurements With Applications to DOA Estimation
[NO] 71/1000 | Disjoint Simulatability and Security Reduction of a Class of Lattice-Based Schemes
[NO] 72/1000 | Physics-Guided Temporal Graph Attention Network for Early Fault Diagnosis of Spacecraft Thermal Control Systems
[NO] 73/1000 | Flexible and Optically Transparent Wideband Low-RCS Metasurface Based on Spin-Decoupled and Diffusion Scattering
[NO] 74/1000 | Modeling Short-Term Cognitive State Transitions Using EEG and Lifestyle Features
[NO] 75/1000 | A Low-RCS Absorber-Radiator Antenna Array With Dual-CP and Multi-Beam Reconfigurability
[NO] 76/1000 | A Cross-Sector Measurement Study of Internet-Exposed IoT Devices
[NO] 77/1000 | SyDRA: Dual-Stream Synergistic Learning for Interference-Robust Anomaly Localization on Structure-Dominant Industrial Surfaces
[NO] 78/1000 | Joint Optimization of Video Recommendation and Cooperative Edge Caching for Maximizing Profit
[NO] 79/1000 | RCAgentBench: An Agent-Oriented Benchmark for Multimodal Root Cause Analysis in Microservices
[NO] 80/1000 | Hardware-in-the-Loop System for MANETs with Asynchronous Virtual-Physical Time
[NO] 81/1000 | NimbleChain: Automatic Timeout Tuning for PBFT-based Blockchain Systems
[NO] 82/1000 | A Solution for Efficient Cross-Cluster Communication in Multi-Kubernetes Clusters
[NO] 83/1000 | EpiCRISPR: Improving CRISPR/Cas9 on- and off-target prediction by flanking sequences, epigenetic marks, and high-throughput datasets
[NO] 84/1000 | Beyond the Headset: Content Analysis on Artificial Intelligence and Multimodal Analytics in Virtual Reality Learning
[NO] 85/1000 | Supervised Feature Selection via Collective First-Order Neural Dynamics
[NO] 86/1000 | Beyond Up and Down: Analyzing Temporal Phenomena in IPv6 Probing Responses
[NO] 87/1000 | SAPIF: A Severity-Aware Framework for Pressure Injury Forecasting
[NO] 88/1000 | The error estimation problem in machine learning surrogate models for engineering simulation
[NO] 89/1000 | Title Page iii
[NO] 90/1000 | HashVer: Low-Latency Consensus on Blockchain Networks with Heterogeneous Nodes
[NO] 91/1000 | Defending Intrusion Detection Systems from Black-Box Adversarial Threats in OneM2M-Based IoT Networks
[NO] 92/1000 | IEEE Security &amp; Privacy
[NO] 93/1000 | Semantic Raft: A Fault-Tolerant Multi-Agent Inference Framework for Reliable LLM Services
[NO] 94/1000 | Making Software Metrics Useful
[NO] 95/1000 | Enhanced Nonlinear Active Disturbance Rejection Control for SPMSM Speed Regulation With Measurement Noise
[NO] 96/1000 | General Stealthy Attack Against Remote State Estimation With Encryption-Decryption Scheme
[NO] 97/1000 | Reinforcement Learning Strategy for Sojourn-Probability-Based Fuzzy Switched Systems Under DoS Attacks
[NO] 98/1000 | Beyond Random Probing: Intelligent IPv6 Discovery via Ensemble Learning and Contextual Expansion
[NO] 99/1000 | Online Unsupervised Anomaly Detection with Model Explainability and Human-in-the-Loop Feedback
[NO] 100/1000 | ACM Distributed Ledger Technologies: Research and Practice Introduction to the Special Issue on Blockchain for 6G Trust, Security, and Privacy
[NO] 101/1000 | Continuous Digit Sequence Recognition in Air-Writing Using MIMO FMCW Radar
[NO] 102/1000 | Two-Dimensional DOA Estimation With Dual-L-Shaped Time-Modulated Array
[NO] 103/1000 | Beyond Wide Area Connectivity: OSAF Multi-Domain Collaboration Optimization for Large-Scale Deterministic Networks
[NO] 104/1000 | SOPSmith: Forging Executable SOPs for LLM-Driven GPU Cluster Network Diagnosis
[NO] 105/1000 | Personality-Aware Pricing and Heterogeneity-Aware Scheduling of Cloud Service Requests for Profit Maximization
[NO] 106/1000 | Affective Language Processing for Mental Healthcare: A Survey of LLM-Based Approaches across the Care Continuum_supp1-3726877.pdf
[NO] 107/1000 | Author Index
[NO] 108/1000 | Open source chip design using Efabless
[NO] 109/1000 | Evaluation of the Effectiveness of Artificial Intelligence-Assisted Nuclear Electronics Teaching Based on Multiple Regression
[NO] 110/1000 | Constrained Trajectory Planning and Control for Space Manipulator Capture Tasks Using an Improved Bi-level MOPSO Algorithm
[NO] 111/1000 | IBODet: Information-Bottleneck-Inspired Lightweight Oriented Detection in Remote Sensing Images
[NO] 112/1000 | Cloud Confidential Computing in the Wild: Technology Landscape and Practical Challenges
[NO] 113/1000 | KACIO: Keyword-Aware Cross-Attention for Long-Tailed ICD-9 Coding
[NO] 114/1000 | Deep Learning-Based Image Analysis for Automated Fruit Sizing
[NO] 115/1000 | Communication-Efficient Federated Transfer Learning with Differential Privacy
[NO] 116/1000 | Robust Online Residual Oxygen Detection in Pharmaceutical Vials via Multiorder Harmonic Geometric-Feature Fusion
[NO] 117/1000 | GRN-GEARS: Interpretable Gene Regulatory Modelling for Single-Cell Perturbation Response Prediction in Precision Oncology
[NO] 118/1000 | Expanding the Distance- and Load-Independent Region of PT-Symmetric Wireless Power Transfer through Current-to-Voltage Mapping_supp1-3727420.pdf
[NO] 119/1000 | A Quantitative Measurement Method for Deep-Buried Defect in Ferromagnetic Components Based on Variable Pulse Width Magnetization
[NO] 120/1000 | Trusted Runtime Customizable TEE on FPGA-SoC with User-Controllable TPM
[NO] 121/1000 | On Minimal Privacy Leakage Frequency in Differentially Private Decentralized Optimization
[NO] 122/1000 | Distributed Localization and Koopman-Based Cooperative Encirclement of an Unknown Active Monitoring Target in Multispacecraft Systems
[NO] 123/1000 | DOSA: Optimizing DVFS Policy for Stochastic Workloads with Analytical Solutions
[NO] 124/1000 | Real-Time Low-Rate DDoS Detection on Resource-Constrained IoT Devices
[NO] 125/1000 | A Canopy–Gap Boundary-Based Method for Multi-Platform Forest Point Cloud Registration
[NO] 126/1000 | A Method for Estimating Lateral State Parameters of Commercial Vehicles Based on Unscented Kalman Filter and Physics-Informed Constrained Neural Network
[NO] 127/1000 | M4DLB-DeepLabv3+: A Lightweight Boundary-Aware Network with MobileNetV4 and Dual-Light State Space Modules for UAV Aerial Image Segmentation
[NO] 128/1000 | Adaptive Multi-Path Mamba Knowledge Distillation Framework for Industrial Defect Detection
[NO] 129/1000 | TSN-FLARE: A Flexible and Resilient Telemetry Framework for Time-Sensitive Networking
[NO] 130/1000 | A Multi-Stage Degradation Model of IGBT Module under Power Cycling with Multiphysics Simulation
[NO] 131/1000 | DNSMedic: Automated Precision Diagnosis and Repair Guidance for DNS Misconfigurations
[NO] 132/1000 | SENTRY: Statistical Reliability Analysis of Vision Transformers Under Soft Errors
[NO] 133/1000 | Sim2Real based Multi-Task SpatioTemporal Cellular Network Traffic Forecasting
[NO] 134/1000 | Clinical Reasoning-Augmented Prediction: Agentic Verification Improves Reliability of VTE Detection from Radiology Reports
[NO] 135/1000 | Multi-band Brain Functional Connectivity for EEG-Based Driving Behavior Recognition
[NO] 136/1000 | SRAW-Attack: Space-Reweighted Adversarial Warping Attack for SAR Target Recognition
[NO] 137/1000 | Author Index
[NO] 138/1000 | IEEE Security and Privacy Subscription
[NO] 139/1000 | When the Internet Breaks Art: A Self-Healing Virtualization Framework
[NO] 140/1000 | Fast Generalized Structurally Constrained Pre-Stack Seismic Inversion for Horizontal Transverse Isotropic Media
[NO] 141/1000 | A Weakly-Guiding Low-Loss and Low-Crosstalk Center-Raised Ring-Core Fiber with Seven OAM Mode Groups Containing High-Order Radial Modes
[NO] 142/1000 | Mode-Scheduled Hybrid Control of Magnetorheological-Assisted Robotic Joints for Improved Energy Efficiency and Disturbance Rejection
[NO] 143/1000 | Influence of Ni
                    <sup>2+</sup>
                    Doping on Crystallization behavior and Magnetic Properties of Gehlenite-Based Calcium Aluminosilicate glasses
[NO] 144/1000 | Design and Implementation of a Privacy-Preserving Revocable Credential System Based on Blockchain Technology
[NO] 145/1000 | ReMu: Bridging Fidelity and Flexibility in High-Mobility Network Emulation at Microsecond Scale
[NO] 146/1000 | Circuit Simulation Data Augmentation and Extreme Condition Performance Prediction Based on Generative Adversarial Networks
[NO] 147/1000 | Alleviating AOA Drift Effects in Single Moving Observer Localization Using Alternating Minimization
[NO] 148/1000 | Adaptive Differential Privacy for Federated Intrusion Detection in IoT Networks Using Meta-Learning Control
[NO] 149/1000 | SLO-Driven Horizontal Container Autoscaling
[NO] 150/1000 | Joint Optimization of Near-Field Cylindrical Movable Antenna Arrays Based on a Hybrid OMP-CGS-Adam Algorithm
[NO] 151/1000 | A TCAD-Assisted Process Parameter Iteration Method for Improving the Electrical Performance of Trench-Gate Power Devices
[NO] 152/1000 | From Mathematics to Engineering Thinking: A Hybrid STEAM Learning Model Through a School Math and Engineering Club
[NO] 153/1000 | IWQoS 2026 TOC
[NO] 154/1000 | Emergency Call Failures in All-IP Mobile Networks: Evidence from Large-Scale Outages and Controlled Device Testing
[NO] 155/1000 | Survey of Low-Power Single-Clock-Edge-Triggered Flip-Flops Using FreePDK 45nm: Challenges and Trends for IoT Applications
[NO] 156/1000 | Effect of Terbium Doping on ITZO Thin-Film Transistors for Improved Bias-Stress Stability
[NO] 157/1000 | Privacy-aware Hand Gesture Recognition using Textile-based Sensing Glove
[NO] 158/1000 | IEEE Computer Society Information
[NO] 159/1000 | Behavioral Clustering of Iterated Prisoner’s Dilemma Strategies via Adaptive Pairwise Sampling
[NO] 160/1000 | An Ensembled Gradient Boosting Algorithm with Partial Penalty Hybrid Imbalance Processing for Multi-Class Classification on IoT Attack Detection
[NO] 161/1000 | Ontology-based Testing of Reinforcement Learning Applications
[NO] 162/1000 | PIC-M$^{3}$: Perceptual Image Compression with Multi-scale and Multi-modal Merge Networks
[NO] 163/1000 | Privacy Preserving Search on Genomic Data
[NO] 164/1000 | Fauxshield: An Explainable Deepfake Detection and Awareness Platform Using Hybrid Deep Learning
[NO] 165/1000 | VFreq-GAN: A Frequency-Aware Generative Network for Latent Fingerprint Enhancement
[NO] 166/1000 | Dynamic Resampling-Guided Multidirectional FreqFormer for Imbalanced Partially Labeled Hyperspectral Images
[NO] 167/1000 | HIRP-AD: Hierarchical Representative Prototype Learning for Unified Multi-Class Unsupervised Anomaly Detection
[NO] 168/1000 | Message from the 2026 Steering Committee Chair
[NO] 169/1000 | SmartGuard: A Deep Learning and IoT-Enabled Smart Surveillance Framework for Data-Driven Community Safety and Threat Prevention
[NO] 170/1000 | Masthead
[NO] 171/1000 | IEEE Annals of the History of Computing
[NO] 172/1000 | A Texture-Aware Framework for Infrared and Visible Image Fusion
[NO] 173/1000 | High-Resolution Urban Surface Upward Longwave Radiation Estimation Using a Physics-Constrained Neural Network with Sky View Factor
[NO] 174/1000 | DMVD-GRN: Denoised Multi-View Decoding with Structure-Aware Link Scoring for Gene Regulatory Network Inference
[NO] 175/1000 | Ship Path Planning Based on Modified Harris Hawk Optimization Algorithm
[NO] 176/1000 | ConvexLens: Overcoming Frequency Stagnation in Millisecond Workloads via Temporal Co-location
[NO] 177/1000 | Height-Aware Machine Learning Channel Modeling for Vehicular Visible Light Communication
[NO] 178/1000 | Mapping Cyber Security Certifications to CyBOK: A Comparative Study of Breadth, Depth, and Professional Orientation
[NO] 179/1000 | Design and Verification of an Intelligent Ground Test System for Long-Range GEO-LEO TDMA Inter-Satellite Links
[NO] 180/1000 | AI for Digital Health: Machine Learning Solutions to Classify Malignant Mammograms
[NO] 181/1000 | CR-Duct: Concurrent Reasoning Network for Spatiotemporal Knowledge Graph Prediction of Inhomogeneous Atmospheric Duct
[NO] 182/1000 | Evaluation of File Systems for Energy-Aware and Real-Time Constrained Embedded Systems
[NO] 183/1000 | XGBoost-Based Phishing Website URL Feature Detection and Interpretable Analysis
[NO] 184/1000 | Continuous OFDM Signal for ISAC in 6G
[NO] 185/1000 | Preface
[NO] 186/1000 | A Spatiotemporal Automatic Calibration Mechanism for Rapid Deployment of Indoor Positioning Systems in Industry 4.0
[NO] 187/1000 | Securing the IoT Supply Chain: A Lifecycle-Based Defensive Framework
[NO] 188/1000 | Impact of Microelectronics Advancements on Ultrasound Medical Imaging Systems Technology: from the 1980s to the 2020s
[NO] 189/1000 | DepartKVS: KV Separation for Redundant Replicas in Strongly Consistent Distributed Stores
[NO] 190/1000 | A CBCT-Tailored Inverse Tone Mapping Method for Enhancing Contrast and Brightness Toward Improved Diagnostic and Treatment
[NO] 191/1000 | Deep-Learning-Enabled Inverse Design of Dual-Resonance Terahertz Metasurface Sensors Multiplexing SP-BIC and FW-BIC
[NO] 192/1000 | Improved Artificial Fish Swarm Algorithm for Robot Path Planning with Varying Target Points
[NO] 193/1000 | Organizing Committee of CISOSE 2026
[NO] 194/1000 | IEEE Transactions on Computers Call for Paper
[NO] 195/1000 | Robust ISAR Scattering Center Reconstruction Based on Rician Statistical Modeling and Hybrid Parametric Representation_supp1-3722547.pdf
[NO] 196/1000 | Technology and Language Learning: Effective Podcasting and Video-Based Language Teaching Practices in the Age of Generative AI: Eric Friginal and Wing Yee Jenifer Ho: [Book Review]
[NO] 197/1000 | Identifying Seismogenic Anomalies in Satellite Microwave Emissions by Decoupling Environmental Confounders via Physics-informed Deep Learning
[NO] 198/1000 | Study on Short Nickel-Coated FBG for Dynamic Strain Measurement in Impact Test
[NO] 199/1000 | Feasibility of Machine Learning for Portable Macronutrient Prediction Using Low-Cost Vis-NIR Sensors
[NO] 200/1000 | Traffic Sign Detection Combining Frequency-Domain Enhancement and Local Channel Attention
[NO] 201/1000 | Real-time Semantic Segmentation Network Based on Parallel Lightweight Aggregation Module
[NO] 202/1000 | PhysioAgent: A Multi-Agent AI Framework for Personalised Exercise Prescription and Longitudinal Adherence Monitoring in Physiotherapy
[NO] 203/1000 | PACG: Prior-Guided Sparse Surface Reconstruction With Complementary Densification-Pruning Based on Gaussian Splatting
[NO] 204/1000 | Center-Fed Pinching Antenna System for Uplink Environment Sensing
