[2025-12-09 09:13:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-08
正在获取论文...
[arXiv] 2025-12-08 | A quantitative dynamical Zhang fundamental inequality and Bogomolov-type problems
[arXiv] 2025-12-08 | Data-Driven Robust Safety Verification for Markov Decision Processes
[arXiv] 2025-12-08 | An Infinite Transitivity Theorem
[arXiv] 2025-12-08 | Long-wavelength UV-LEDs and charge management in the detection of gravitational waves in space
[arXiv] 2025-12-08 | FRWKV:Frequency-Domain Linear Attention for Long-Term Time Series Forecasting
[arXiv] 2025-12-08 | Chaotic and Predictable Representations for Markov Additive Processes with Levy Modulator
[arXiv] 2025-12-08 | Modular Construction of Jastrow Factors for the Transcorrelated Method
[arXiv] 2025-12-08 | Beyond Real: Imaginary Extension of Rotary Position Embeddings for Long-Context LLMs
[arXiv] 2025-12-08 | A linear MARS method for three-dimensional interface tracking
[arXiv] 2025-12-08 | aLEAKator: HDL Mixed-Domain Simulation for Masked Hardware \& Software Formal Verification
[arXiv] 2025-12-08 | Machine Learning: Progress and Prospects
[arXiv] 2025-12-08 | Alteraxial Phonons in Collinear Magnets
[arXiv] 2025-12-08 | MeshRipple: Structured Autoregressive Generation of Artist-Meshes
[arXiv] 2025-12-08 | The use of a simple digital weather station (not only) in teaching physics
[arXiv] 2025-12-08 | Canonical bidirectional typechecking
[arXiv] 2025-12-08 | Interlayer coupling driven phase evolution in hyperbolic $1T$-TaS$_2$
[arXiv] 2025-12-08 | Control of Discrete-Time Linear Systems with Charge-Balanced Inputs
[arXiv] 2025-12-08 | AutoICE: Automatically Synthesizing Verifiable C Code via LLM-driven Evolution
[arXiv] 2025-12-08 | Towards Robust DeepFake Detection under Unstable Face Sequences: Adaptive Sparse Graph Embedding with Order-Free Representation and Explicit Laplacian Spectral Prior
[arXiv] 2025-12-08 | Amulet: Fast TEE-Shielded Inference for On-Device Model Protection
[arXiv] 2025-12-08 | Artificial Intelligence and Nuclear Weapons Proliferation: The Technological Arms Race for (In)visibility
[arXiv] 2025-12-08 | From Real-World Traffic Data to Relevant Critical Scenarios
[arXiv] 2025-12-08 | Recovery of the optimal control value function in reproducing kernel Hilbert spaces from verification conditions
[arXiv] 2025-12-08 | Surface temperature of an accretion disk around a wormhole Kerr-mimicker
[arXiv] 2025-12-08 | On local holomorphic maps between Hermitian manifolds preserving $(p,p)$-forms
[arXiv] 2025-12-08 | Resonator-assisted single-photon frequency convertion in a conventional waveguide with a giant V-type atom
[arXiv] 2025-12-08 | Social welfare optimisation in well-mixed and structured populations
[arXiv] 2025-12-08 | AFarePart: Accuracy-aware Fault-resilient Partitioner for DNN Edge Accelerators
[arXiv] 2025-12-08 | Expansivity of algebraic semigroup actions
[arXiv] 2025-12-08 | Absence of the analytic continuation of elastic transmission eigenfunctions at rectangular corners
[arXiv] 2025-12-08 | LocalSearchBench: Benchmarking Agentic Search in Real-World Local Life Services
[arXiv] 2025-12-08 | MIDG: Mixture of Invariant Experts with knowledge injection for Domain Generalization in Multimodal Sentiment Analysis
[arXiv] 2025-12-08 | When normalization hallucinates: unseen risks in AI-powered whole slide image processing
[arXiv] 2025-12-08 | A model-free Screening procedure
[arXiv] 2025-12-08 | The $D_{s0}^*(2317)^+$ decay to $D_s^+π^0$ and $D_s^{*+}γ$
[arXiv] 2025-12-08 | Data-driven Exploration of Mobility Interaction Patterns
[arXiv] 2025-12-08 | Training Language Models to Use Prolog as a Tool
[arXiv] 2025-12-08 | Memory effects in wave-induced microplastic transport
[arXiv] 2025-12-08 | Asymptotic analysis of shallow and deep forgetting in replay with Neural Collapse
[arXiv] 2025-12-08 | Safety-Critical Control on Lie Groups Using Energy-Augmented Zeroing Control Barrier Functions
[arXiv] 2025-12-08 | Empirical Results for Adjusting Truncated Backpropagation Through Time while Training Neural Audio Effects
[arXiv] 2025-12-08 | Towards Reliable Test-Time Adaptation: Style Invariance as a Correctness Likelihood
[arXiv] 2025-12-08 | Breaking Players' expectations: the Role of Non-player Characters' coherence and Consistency
[arXiv] 2025-12-08 | Recent advancements in the tau reconstruction and identification techniques in CMS
[arXiv] 2025-12-08 | Tessellation GS: Neural Mesh Gaussians for Robust Monocular Reconstruction of Dynamic Objects
[arXiv] 2025-12-08 | Enhancing Small Object Detection with YOLO: A Novel Framework for Improved Accuracy and Efficiency
[arXiv] 2025-12-08 | The Impact of Spatial Misalignment and Time Delay on Collaborative Presence in Augmented Reality
[arXiv] 2025-12-08 | Traveling Wave Solutions For A Singular Diffusive Prey-Predator Model With Nonlocal Dispersal
[arXiv] 2025-12-08 | Structure-Aware Feature Rectification with Region Adjacency Graphs for Training-Free Open-Vocabulary Semantic Segmentation
[arXiv] 2025-12-08 | Multi-Rigid-Body Approximation of Human Hands with Application to Digital Twin
[arXiv] 2025-12-08 | Size Matters: The Impact of Avatar Size on User Experience in Healthcare Applications
[arXiv] 2025-12-08 | MultiAPI Spoof: A Multi-API Dataset and Local-Attention Network for Speech Anti-spoofing Detection
[arXiv] 2025-12-08 | Communication-Efficient Serving for Video Diffusion Models with Latent Parallelism
[arXiv] 2025-12-08 | A fluorescent color center in meteoritic Lonsdaleite
[arXiv] 2025-12-08 | Inchworm-Inspired Soft Robot with Groove-Guided Locomotion
[arXiv] 2025-12-08 | ReLaX: Reasoning with Latent Exploration for Large Reasoning Models
[arXiv] 2025-12-08 | Do LLMs Trust the Code They Write?
[arXiv] 2025-12-08 | SemanticTours: A Conceptual Framework for Non-Linear, Knowledge Graph-Driven Data Tours
[arXiv] 2025-12-08 | Strong zero modes in integrable spin-S chains
[arXiv] 2025-12-08 | Systematic Evaluation of Black-Box Checking for Fast Bug Detection
[arXiv] 2025-12-08 | LongCat-Image Technical Report
[arXiv] 2025-12-08 | Complementary Learning Approach for Text Classification using Large Language Models
[arXiv] 2025-12-08 | Dynamic Screening Effects on Auger Recombination in Metal-Halide Perovskites
[arXiv] 2025-12-08 | $φ$-test: Global Feature Selection and Inference for Shapley Additive Explanations
[arXiv] 2025-12-08 | Uniform relativistic motion through a thermal bath as a thermodynamic resource
[arXiv] 2025-12-08 | Interstellar Medium in Extremely High Star-Formation Regions: A Prospect of Observations on the Millimetron
[arXiv] 2025-12-08 | Chemical complexity in star formation induced by stellar feedback: cores shock-formed by the supernova remnant W44
[arXiv] 2025-12-08 | An effective criterion for multiple positive zeros of vertically parametrized polynomial systems
[arXiv] 2025-12-08 | A simple proof of exponential decay for the near-critical planar Ising model
[arXiv] 2025-12-08 | Performance of the SafeTerm AI-Based MedDRA Query System Against Standardised MedDRA Queries
[arXiv] 2025-12-08 | SwissGov-RSD: A Human-annotated, Cross-lingual Benchmark for Token-level Recognition of Semantic Differences Between Related Documents
[arXiv] 2025-12-08 | Bandwidth-Aware Network Topology Optimization for Decentralized Learning
[arXiv] 2025-12-08 | Site-controlled quantum dot arrays edge-coupled to integrated silicon nitride waveguides and devices
[arXiv] 2025-12-08 | Meta-analyses of dietary exposures must consider energy adjustment: recommendations from a meta-scientific review
[arXiv] 2025-12-08 | Model-Based Reinforcement Learning Under Confounding
[arXiv] 2025-12-08 | An effective bath state approach to model infrared spectroscopy and intramolecular dynamics in complex molecules
[arXiv] 2025-12-08 | Compressible Euler equations with time-dependent damping in the critical regularity setting: global well-posedness and strong relaxation limit
[arXiv] 2025-12-08 | Dictionary-Based Contrastive Learning for GNSS Jamming Detection
[arXiv] 2025-12-08 | Valence band-satellite, temperature dependent magnetic and spectral study of α-Fe
[arXiv] 2025-12-08 | Mediated Transmission of Quantum Synchronization in Star Networks
[arXiv] 2025-12-08 | Merging exceptional point and quasi-bound state in the continuum in nanophotonic cavities
[arXiv] 2025-12-08 | Efficient Low-Tubal-Rank Tensor Estimation via Alternating Preconditioned Gradient Descent
[arXiv] 2025-12-08 | Mod-$\ell$ monodromy of double covers of $\mathbb{P}^n$ branched along hyperplane arrangements
[arXiv] 2025-12-08 | Entire Functions on Lie Groups
[arXiv] 2025-12-08 | Affordance Field Intervention: Enabling VLAs to Escape Memory Traps in Robotic Manipulation
[arXiv] 2025-12-08 | On the emergence of preferred structures in quantum theory
[arXiv] 2025-12-08 | Permanent and transitory crime risk in variable-density hot spot analysis
[arXiv] 2025-12-08 | Native Parallel Reasoner: Reasoning in Parallelism via Self-Distilled Reinforcement Learning
[arXiv] 2025-12-08 | Human Geometry Distribution for 3D Animation Generation
[arXiv] 2025-12-08 | Generalized density functional theory framework for the non-linear density response of quantum many-body systems
[arXiv] 2025-12-08 | Wedge Design
[arXiv] 2025-12-08 | Prospects for independent measurement of $\boldsymbol{\ell}$=1,2,3 CMB anisotropy multipoles using the anisotropic Sunyaev-Zel'dovich effect
[arXiv] 2025-12-08 | KAN-Dreamer: Benchmarking Kolmogorov-Arnold Networks as Function Approximators in World Models
[arXiv] 2025-12-08 | A tropical formula for non-Archimedean local heights
[arXiv] 2025-12-08 | Harmonic Geometric Polynomials via Geometric Polynomials and Their Applications
[arXiv] 2025-12-08 | Structure preserving discretization method for 1D and 2D port-Hamiltonian systems using finite differences on staggered grids
[arXiv] 2025-12-08 | Probing the Singularity of Scalar-Haired Black Holes with Holographic Complexity
[arXiv] 2025-12-08 | Phase-space perturbation theory for cosmic large-scale structure
[arXiv] 2025-12-08 | GlimmerNet: A Lightweight Grouped Dilated Depthwise Convolutions for UAV-Based Emergency Monitoring
[arXiv] 2025-12-08 | Gradient estimates and Liouville properties for the drifted Laplacian
[arXiv] 2025-12-08 | BSN: Light Curve Modeling and Orbital Evolution of the Total-Eclipse Contact Binary EZ Oct
[arXiv] 2025-12-08 | Timelike showers with jet recoils
[arXiv] 2025-12-08 | Multilingual corpora for the study of new concepts in the social sciences and humanities:
[arXiv] 2025-12-08 | On semi-separability and differentiation matrices
[arXiv] 2025-12-08 | Dispersive readout with two orthogonal modes of a dielectric cavity
[arXiv] 2025-12-08 | Off-grid solar energy storage system with hybrid lithium iron phosphate (LFP) and lead-acid batteries in high mountains: a case report of Jiujiu Cabins in Taiwan
[arXiv] 2025-12-08 | DeepAgent: A Dual Stream Multi Agent Fusion for Robust Multimodal Deepfake Detection
[arXiv] 2025-12-08 | Debiasing Diffusion Priors via 3D Attention for Consistent Gaussian Splatting
[arXiv] 2025-12-08 | Multiple Mertens theorems for arithmetic progressions
[arXiv] 2025-12-08 | OpenVE-3M: A Large-Scale High-Quality Dataset for Instruction-Guided Video Editing
[arXiv] 2025-12-08 | Performance Benchmarking of Tensor Trains for accelerated Quantum-Inspired Homogenization on TPU, GPU and CPU architectures
[arXiv] 2025-12-08 | Group Representational Position Encoding
[arXiv] 2025-12-08 | Analytic First Derivatives of Aufbau Suppressed Coupled Cluster Theory and their Perturbative Accuracy
[arXiv] 2025-12-08 | ReasonBENCH: Benchmarking the (In)Stability of LLM Reasoning
[arXiv] 2025-12-08 | Hot, Photoionized X-ray Gas in Two Luminous Type 2 Quasars: Chandra-HST Evidence for a Wind-Driven Sequence
[arXiv] 2025-12-08 | Designing Co-operation in Systems of Hierarchical, Multi-objective Schedulers for Stream Processing
[arXiv] 2025-12-08 | Nahm sum identities for Cartan matrices of type $D_k$
[arXiv] 2025-12-08 | Strongly driven cavity quantum electrodynamical-optomechanical hybrid system
[arXiv] 2025-12-08 | Thermal ionization of impurity-bound quasiholes in the fractional quantum Hall effect
[arXiv] 2025-12-08 | Holography of quarter-BPS AdS bubbles
[arXiv] 2025-12-08 | Anomalous coarsening and nonlinear diffusion of kinks in an one-dimensional quasi-classical Holstein model
[arXiv] 2025-12-08 | Quantitative indistinguishability and sparse and dense clusters in factor of IID percolations
[arXiv] 2025-12-08 | A scalable and real-time neural decoder for topological quantum codes
[arXiv] 2025-12-08 | Time-asymptotic behavior of the Boltzmann equation with random inputs in whole space and its stochastic Galerkin approximation
[arXiv] 2025-12-08 | SAVE: Sparse Autoencoder-Driven Visual Information Enhancement for Mitigating Object Hallucination
[arXiv] 2025-12-08 | Improving action classification with brain-inspired deep networks
[arXiv] 2025-12-08 | Sunset integrals with up to three mass scales in chiral perturbation theory: a comparative study of the Mellin-Barnes representation technique
[arXiv] 2025-12-08 | The Native Spiking Microarchitecture: From Iontronic Primitives to Bit-Exact FP8 Arithmetic
[arXiv] 2025-12-08 | Research on a Monitoring System for High-Voltage Cables in a Coal Mine Based on Intelligent Sensing Technology
[arXiv] 2025-12-08 | UnCageNet: Tracking and Pose Estimation of Caged Animal
[arXiv] 2025-12-08 | Each Prompt Matters: Scaling Reinforcement Learning Without Wasting Rollouts on Hundred-Billion-Scale MoE
[arXiv] 2025-12-08 | Guiding What Not to Generate: Automated Negative Prompting for Text-Image Alignment
[arXiv] 2025-12-08 | Optimal Control of a Higher-Order Cahn-Hilliard Equation Coupled with Brinkman Equation
[arXiv] 2025-12-08 | DIST-CLIP: Arbitrary Metadata and Image Guided MRI Harmonization via Disentangled Anatomy-Contrast Representations
[arXiv] 2025-12-08 | Notes on GLSMs for Supermanifolds and Their Mirrors
[arXiv] 2025-12-08 | Depth-Wise Activation Steering for Honest Language Models
[arXiv] 2025-12-08 | Bridging Code Graphs and Large Language Models for Better Code Understanding
[arXiv] 2025-12-08 | A Framework for Data Valuation and Monetisation
[arXiv] 2025-12-08 | Geometric Characterization of Anisotropic Correlations via Mutual Information Tomography
[arXiv] 2025-12-08 | An AI-Powered Autonomous Underwater System for Sea Exploration and Scientific Research
[arXiv] 2025-12-08 | Kružkov-type uniqueness theorem for a non-monotone flow function case with application to Riemann problem solutions
[arXiv] 2025-12-08 | Factorization envelopes and enveloping vertex algebras
[arXiv] 2025-12-08 | MoCA: Mixture-of-Components Attention for Scalable Compositional 3D Generation
[arXiv] 2025-12-08 | Incorporating Structure and Chord Constraints in Symbolic Transformer-based Melodic Harmonization
[arXiv] 2025-12-08 | Time Series Foundation Models for Process Model Forecasting
[arXiv] 2025-12-08 | Approximating sub-riemannian structures by Riemannian metrics and spectral convergence
[arXiv] 2025-12-08 | A Retrospective on Ultrasound Mid-Air Haptics in HCI
[arXiv] 2025-12-08 | PCMind-2.1-Kaiyuan-2B Technical Report
[arXiv] 2025-12-08 | Efficient Simulation of Electron-Positron Pair Production in Foam Targets in the low χ-Regime
[arXiv] 2025-12-08 | Algorithm-hardware co-design of neuromorphic networks with dual memory pathways
[arXiv] 2025-12-08 | A Closed-form Solution to the Wahba Problem for Pairwise Similar Quaternions
[arXiv] 2025-12-08 | Extended formulations for the maximum weighted co-2-plex problem
[arXiv] 2025-12-08 | Local-Curvature-Aware Knowledge Graph Embedding: An Extended Ricci Flow Approach
[arXiv] 2025-12-08 | Nash Equilibrium of Bi-objective Optimal Control of Fractional Space-Time Parabolic PDE
[arXiv] 2025-12-08 | Tunable Dynamics of a Dipolar Quantum Battery: Role of Spin-Spin Interactions and Coherence
[arXiv] 2025-12-08 | Midpoints and critical points
[arXiv] 2025-12-08 | 33 Gbit/s source-device-independent quantum random number generator based on heterodyne detection with real-time FPGA-integrated extraction
[arXiv] 2025-12-08 | Squeezed Limit non-Gaussianity Estimation with Cosmic Shear
[arXiv] 2025-12-08 | Investigating Training and Generalization in Faithful Self-Explanations of Large Language Models
[arXiv] 2025-12-08 | Modified vacuum polarization in the presence of a plasma
[arXiv] 2025-12-08 | Pauli Master Equation numerical analysis of coherent and incoherent dressed fermions in triplet unconventional superconductors
[arXiv] 2025-12-08 | The first nonzero eigenvalue of the weighted p-Laplacian on differential forms
[arXiv] 2025-12-08 | Optimal asymptotic expansion of entire solutions to Monge-Ampère equation with $C^α$ perturbed periodic data
[arXiv] 2025-12-08 | Affine Subspace Models and Clustering for Patch-Based Image Denoising
[arXiv] 2025-12-08 | Mass and volume of four-dimensional Einstein metrics
[arXiv] 2025-12-08 | Non-Hermitian Bose-Hubbard-like quantum models
[arXiv] 2025-12-08 | PINE: Pipeline for Important Node Exploration in Attributed Networks
[arXiv] 2025-12-08 | The late-time attractor structure of dynamical black branes
[arXiv] 2025-12-08 | Towards Robust Protective Perturbation against DeepFake Face Swapping
[arXiv] 2025-12-08 | Pay Less Attention to Function Words for Free Robustness of Vision-Language Models
[arXiv] 2025-12-08 | Characterizing Lane-Changing Behavior in Mixed Traffic
[arXiv] 2025-12-08 | NeSTR: A Neuro-Symbolic Abductive Framework for Temporal Reasoning in Large Language Models
[arXiv] 2025-12-08 | Coherent Audio-Visual Editing via Conditional Audio Generation Following Video Edits
[arXiv] 2025-12-08 | Geometric Prior-Guided Federated Prompt Calibration
[arXiv] 2025-12-08 | Unitary Coupled-Cluster based Self-Consistent Electron Propagator Theory for Electron-Detached and Electron-Attached States: A Quadratic Unitary Coupled-Cluster Singles and Doubles Method and Benchmark Calculations
[arXiv] 2025-12-08 | AutoLugano: A Deep Learning Framework for Fully Automated Lymphoma Segmentation and Lugano Staging on FDG-PET/CT
[arXiv] 2025-12-08 | Information-Thermodynamic Bounds on Planetary Biosphere Productivity and Their Observational Tests
[arXiv] 2025-12-08 | SUCCESS-GS: Survey of Compactness and Compression for Efficient Static and Dynamic Gaussian Splatting
[arXiv] 2025-12-08 | RefLSM: Linearized Structural-Prior Reflectance Model for Medical Image Segmentation and Bias-Field Correction
[arXiv] 2025-12-08 | UniDiff: A Unified Diffusion Framework for Multimodal Time Series Forecasting
[arXiv] 2025-12-08 | Using Vision-Language Models as Proxies for Social Intelligence in Human-Robot Interaction
[arXiv] 2025-12-08 | JEPA as a Neural Tokenizer: Learning Robust Speech Representations with Density Adaptive Attention
[arXiv] 2025-12-08 | When Privacy Meets Recovery: The Overlooked Half of Surrogate-Driven Privacy Preservation for MLLM Editing
[arXiv] 2025-12-08 | MuSASplat: Efficient Sparse-View 3D Gaussian Splats via Lightweight Multi-Scale Adaptation
[arXiv] 2025-12-08 | Search for Light Sterile Neutrinos With Two Neutrino Beams at MicroBooNE
[arXiv] 2025-12-08 | Top dickson class and annihilators of cohomology over invariant rings
[arXiv] 2025-12-08 | Lorenz ordering of parasite loads across hosts in Isham's model of Host-Macroparasite Interaction
[arXiv] 2025-12-08 | Measurement of the branching fraction of $η\to μ^+ μ^-$ and search for $η\to e^+ e^-$
[arXiv] 2025-12-08 | Evidence of young magnetars in massive binary embedded in a supernova remnant as sources of active fast radio bursts
[arXiv] 2025-12-08 | Time-Varying Formation Tracking Control of Wheeled Mobile Robots With Region Constraint: A Generalized Udwadia-Kalaba Framework
[arXiv] 2025-12-08 | DART: Leveraging Multi-Agent Disagreement for Tool Recruitment in Multimodal Reasoning
[arXiv] 2025-12-08 | Training-free Clothing Region of Interest Self-correction for Virtual Try-On
[arXiv] 2025-12-08 | RisConFix: LLM-based Automated Repair of Risk-Prone Drone Configurations
[arXiv] 2025-12-08 | Surrogate compliance modeling enables reinforcement learned locomotion gaits for soft robots
[arXiv] 2025-12-08 | Direct Boundary Matching: A Bound-State Technique for Nuclear Scattering with Lagrange-Legendre Functions
[arXiv] 2025-12-08 | Dual Refinement Cycle Learning: Unsupervised Text Classification of Mamba and Community Detection on Text Attributed Graph
[arXiv] 2025-12-08 | Limitations of Randomization Tests in Finite Samples
[arXiv] 2025-12-08 | Regular Functions on Formal-Analytic Arithmetic Surfaces
[arXiv] 2025-12-08 | ThinkTrap: Denial-of-Service Attacks against Black-box LLM Services via Infinite Thinking
[arXiv] 2025-12-08 | TRACE: A Generalizable Drift Detector for Streaming Data-Driven Optimization
[arXiv] 2025-12-08 | Procrustean Bed for AI-Driven Retrosynthesis: A Unified Framework for Reproducible Evaluation
[arXiv] 2025-12-08 | DFIR-DETR: Frequency Domain Enhancement and Dynamic Feature Aggregation for Cross-Scene Small Object Detection
[arXiv] 2025-12-08 | Momentum-Accelerated Online Feedback Optimization for Power System Flexibility
[arXiv] 2025-12-08 | Do Large Language Models Truly Understand Cross-cultural Differences?
[arXiv] 2025-12-08 | Lipschitz stability for an inverse problem of a fully-discrete stochastic hyperbolic equation
[arXiv] 2025-12-08 | A Geometric Theory of Surface Elasticity and Anelasticity
[arXiv] 2025-12-08 | One Layer Is Enough: Adapting Pretrained Visual Encoders for Image Generation
[arXiv] 2025-12-08 | How Far are Modern Trackers from UAV-Anti-UAV? A Million-Scale Benchmark and New Baseline
[arXiv] 2025-12-08 | A Large-Scale Multimodal Dataset and Benchmarks for Human Activity Scene Understanding and Reasoning
[arXiv] 2025-12-08 | Zero-Shot Textual Explanations via Translating Decision-Critical Features
[arXiv] 2025-12-08 | Beam search decoder for quantum LDPC codes
[arXiv] 2025-12-08 | PIP: Making Andersen's Points-to Analysis Sound and Practical for Incomplete C Programs
[arXiv] 2025-12-08 | Dynamics of the velocity fluctuations in sedimenting suspensions of rigid fibres
[arXiv] 2025-12-08 | Realizing on-demand all-to-all selective interactions between distant spin ensembles
Crossref 请求失败: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works?sort=relevance&order=desc&rows=1000&select=created%2Ctitle%2Cauthor%2Ccontainer-title%2CURL&filter=prefix%3A10.1145%2Cprefix%3A10.1109%2Cfrom-created-date%3A2025-12-08&mailto=1424057661%40qq.com (Caused by ResponseError('too many 500 error responses'))
共写入 782 条记录，保存到 papers/paper2025-12-08.json。
论文获取成功，文件路径: papers/paper2025-12-08.json
正在筛选、翻译并发送邮件...
[NO] 1/782 | A quantitative dynamical Zhang fundamental inequality and Bogomolov-type problems
[NO] 2/782 | Winning the Lottery by Preserving Network Training Dynamics with Concrete Ticket Search
[NO] 3/782 | On the Poles of Real Archimedean Zeta Functions
[NO] 4/782 | Machine Learning-based Unfolding for Cross Section Measurements in the Presence of Nuisance Parameters
[NO] 5/782 | A new generalization of the McKay conjecture for $p$-solvable groups
[NO] 6/782 | Modulation approximation for the non-isentropic Euler-Poisson system
[NO] 7/782 | Blown-up singular Riemannian foliations
[NO] 8/782 | Trends in gravitational wave emission in axisymmetric simulations of rotating core-collapse supernovae
[NO] 9/782 | $\mathrm{D}^{\mathrm{3}}$-Predictor: Noise-Free Deterministic Diffusion for Dense Prediction
[NO] 10/782 | Replicating TEMPEST at Scale: Multi-Turn Adversarial Attacks Against Trillion-Parameter Frontier Models
[NO] 11/782 | Random Access for LEO Satellite Communication Systems via Deep Learning
[NO] 12/782 | The Inductive Bottleneck: Data-Driven Emergence of Representational Sparsity in Vision Transformers
[NO] 13/782 | Generating LSB-optimised synthetic images for simulated galaxies
[NO] 14/782 | Learning-Augmented Ski Rental with Discrete Distributions: A Bayesian Approach
[NO] 15/782 | DCO: Dynamic Cache Orchestration for LLM Accelerators through Predictive Management
[NO] 16/782 | Towards a Relationship-Aware Transformer for Tabular Data
[NO] 17/782 | Single-cell identification with quantum-enhanced nuclear magnetic resonance
[NO] 18/782 | Reevaluating Automated Wildlife Species Detection: A Reproducibility Study on a Custom Image Dataset
[NO] 19/782 | Investigation and Development of the Methodologies for Simulating Self-similar Processes
[NO] 20/782 | Quantum coherent states of mass-imbalanced electron-hole system within optical microcavities
[NO] 21/782 | The Human Need for Storytelling: Reflections on Qualitative Software Engineering Research With a Focus Group of Experts
[NO] 22/782 | Revisiting PBH Accretion, Evaporation and Their Cosmological Consequences
[NO] 23/782 | Verifiable Deep Quantitative Group Testing
[NO] 24/782 | Preliminary Study of the Effects of Leading-Edge Serration on a Two-Section Planar Wing in ground-effect at Low Reynolds Number
[NO] 25/782 | A graph generation pipeline for critical infrastructures based on heuristics, images and depth data
[NO] 26/782 | Genesis of Axion Dark Matter via Black Hole and Cosmic String Dynamics
[NO] 27/782 | Non-negative DAG Learning from Time-Series Data
[NO] 28/782 | SINRL: Socially Integrated Navigation with Reinforcement Learning using Spiking Neural Networks
[NO] 29/782 | See More, Change Less: Anatomy-Aware Diffusion for Contrast Enhancement
[NO] 30/782 | IFFair: Influence Function-driven Sample Reweighting for Fair Classification
[NO] 31/782 | AdLift: Lifting Adversarial Perturbations to Safeguard 3D Gaussian Splatting Assets Against Instruction-Driven Editing
[NO] 32/782 | Squeezed-Eff-Net: Edge-Computed Boost of Tomography Based Brain Tumor Classification leveraging Hybrid Neural Network Architecture
[NO] 33/782 | Dropout Prompt Learning: Towards Robust and Adaptive Vision-Language Models
[NO] 34/782 | ReLKD: Inter-Class Relation Learning with Knowledge Distillation for Generalized Category Discovery
[NO] 35/782 | Microscopic signatures of Chern number sign reversal in twisted bilayer WSe2
[NO] 36/782 | Simulation Study of Binary Mergers of Galaxy Clusters I: Properties of Merger Shocks and Radio Emission
[NO] 37/782 | Object Pose Distribution Estimation for Determining Revolution and Reflection Uncertainty in Point Clouds
[NO] 38/782 | Automorphisms of Sedenions
[NO] 39/782 | Metric diophantine approximation on fractals
[NO] 40/782 | Synchrony-Gated Plasticity with Dopamine Modulation for Spiking Neural Networks
[NO] 41/782 | Integrating Multi-scale and Multi-filtration Topological Features for Medical Image Classification
[NO] 42/782 | Exact solution of the Einstein-scalar-Gauss-Bonnet model with Noether symmetry constraints
[NO] 43/782 | TIDE: Two-Stage Inverse Degradation Estimation with Guided Prior Disentanglement for Underwater Image Restoration
[NO] 44/782 | Bayesian Inference of Heavy-Quark Dissipation and Jet Transport Parameters from D-Meson observables in heavy-ion collisions at the LHC energies
[NO] 45/782 | Shock trapping and inertial escape: Dust-particle clustering in compressible turbulence
[NO] 46/782 | Phase Space Modeling of Extended Sources Based on Wigner Distribution and Hamiltonian Optics
[NO] 47/782 | Beyond real: Investigating the role of complex numbers in self-testing
[NO] 48/782 | Quantitative Characterization of Brain Tissue Alterations in Brain Cancer Using Fractal, Multifractal, and IPR Metrics
[NO] 49/782 | Rational points in Cantor sets in the complex plane
[NO] 50/782 | TrajMoE: Scene-Adaptive Trajectory Planning with Mixture of Experts and Reinforcement Learning
[NO] 51/782 | Statistics of the projected angles between the black-hole spin and the host-galaxy rotation axes from NewHorizon
[NO] 52/782 | MulCLIP: A Multi-level Alignment Framework for Enhancing Fine-grained Long-context CLIP
[NO] 53/782 | Chromatic Feature Vectors for 2-Trees: Exact Formulas for Partition Enumeration with Network Applications
[NO] 54/782 | PlantBiMoE: A Bidirectional Foundation Model with SparseMoE for Plant Genomes
[NO] 55/782 | Onset of separation unsteadiness in hypersonic shock boundary layer interaction on a cone-step
[NO] 56/782 | An Adaptive Multi-Layered Honeynet Architecture for Threat Behavior Analysis via Deep Learning
[NO] 57/782 | Novel thermodynamic inequality for charged and rotating AdS black holes
[NO] 58/782 | Lang3D-XL: Language Embedded 3D Gaussians for Large-scale Scenes
[NO] 59/782 | Trapped Fermions Through Kolmogorov-Arnold Wavefunctions
[NO] 60/782 | Quantifying the Carbon Reduction of DAG Workloads: A Job Shop Scheduling Perspective
[NO] 61/782 | Optimal Auction Design under Costly Learning
[NO] 62/782 | The holographic origin of future singularities and the role of spatial curvature in cosmic expansion
[NO] 63/782 | Mary, the Cheeseburger-Eating Vegetarian: Do LLMs Recognize Incoherence in Narratives?
[NO] 64/782 | Large deviations principle for the cubic NLS equation with slowly decaying data
[NO] 65/782 | RL-MTJail: Reinforcement Learning for Automated Black-Box Multi-Turn Jailbreaking of Large Language Models
[NO] 66/782 | Statistical properties of quantum jumps between macroscopic states of light: reading an operational coherence record
[NO] 67/782 | Chern-Simons propagators in AdS$_3$
[NO] 68/782 | The explicit game-theoretic linear quadratic regulator for constrained multi-agent systems
[NO] 69/782 | The Ginsparg-Wilson relation and overlap fermions
[NO] 70/782 | SpatialDreamer: Incentivizing Spatial Reasoning via Active Mental Imagery
[NO] 71/782 | X-ray Analysis of Gamma-Ray Burst Flares and Underlying Afterglows: Insights into Origin of Flares
[NO] 72/782 | Enabling Delayed-Full Charging Through Transformer-Based Real-Time-to-Departure Modeling for EV Battery Longevity
[NO] 73/782 | On the $AdS_3\times S^3\times S^3\times S^1$ dressing factors
[NO] 74/782 | Multi-Wavelength Afterglows as Diagnostic Probes of Dense Circumburst Medium in GRBs
