[2026-07-10 11:52:49] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-09
正在获取论文...
[arXiv] 2026-07-09 | Infinitely many sign-changing solutions for critical Hamiltonian systems with linear perturbation
[NO] 654/1777 | DeepPySR -- A Symbolic Regression Framework with Dynamic Pruning, Pareto Selection, and Hierarchical Composition for Real-World Scientific Discovery
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 655/1777 | Prismata: Confining Cross-Site Prompt Injection in Web Agents
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 656/1777 | Doppler-Resilient Rydberg Atomic Receiver for High-Dynamic Communication Networks via Adaptive Local Oscillator Tracking
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 657/1777 | Securing Autonomous Vehicle Systems via Twin-Aware Federated Reinforcement Learning
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 658/1777 | Communication Advantages from Quantum Dense Network Coding
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 659/1777 | Functional Limit Theorems for Random Least Common Multiples
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 660/1777 | Understanding and Mitigating the Video-Action Generalization Gap via Temporal Ratio
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 661/1777 | TTHE: Test-Time Harness Evolution
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 662/1777 | Phantom crossing from the Standard Model and General Relativity
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 663/1777 | Unified Analytical Model for Atomic Receivers Under Typical Quantum Interference Paths
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 664/1777 | Vanilla SGD with Momentum Survives Heavy-Tailed Noise: Convergence Analysis without Gradient Clipping or Normalization
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 665/1777 | Geometry-Informed Maritime Anomaly Detection Using Probabilistic Roadmaps
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 666/1777 | Helically Enhanced Chiroptical Response and Symmetry Breaking in Conjugated Polymers
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 667/1777 | GRE-Diff: Gaussian Room Embeddings for Structured Layout Diffusion
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 668/1777 | $Z^\prime$ Portal Dark Matter with Observable $ΔN_{\rm eff}$
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 669/1777 | LDFE: Laplacian Decoupled Feature Enhancement Block for Dual-Stream CNN-based RGB-IR Object Detection
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 670/1777 | UAV-OVVIS: Unmanned Aerial Vehicles Also Need Open-Vocabulary Video Instance Segmentation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 671/1777 | Multi-type Sensor Placement for PDE-based Bayesian Inverse Problems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 672/1777 | Cross-Modal Generative Framework for Signal Translation from Fetal-Maternal Electrocardiograms to Fetal Doppler Waveforms
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 673/1777 | (2,m)-threshold quantum data hiding
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 674/1777 | Holographic Neural PCFG for Unsupervised Parsing
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 675/1777 | Uniform $L^{\infty}$-Boundedness of Global Attractors for Reaction-Diffusion Equations with Neumann boundary condition in Uniformly Perturbed Non-Smooth Domains
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 676/1777 | Towards Efficient Large Language Model Serving: A Survey on System-Aware KV Cache Optimization
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 677/1777 | Investigation on the Relation between Active Regions' Compliance with Empirical Laws and Flare Productivity
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 678/1777 | Complex curves in o-minimal geometry
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 679/1777 | Active Particles Imprint Persistent Percolating Networks in Polymer Condensates
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 680/1777 | Nuclear Many-Body Systems as Benchmarks for Quantum Computing
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 681/1777 | What LLM Forecasters Know but Don't Say: Probing Internal Representations for Calibration and Faithfulness
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 682/1777 | Local Linear Convergence of the Primal-Dual Hybrid Gradient Method for Semidefinite Programming
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 683/1777 | Structured Pruning of Large Language Models via Power Transformation and Sign-Preserving Score Aggregation with Adaptive Feature Retention
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 684/1777 | OPSD-V: On-Policy Self-Distillation for Post-Training Few-Step Autoregressive Video Generators
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 685/1777 | OpenCoF: Learning to Reason Through Video Generation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 686/1777 | Hockey stick $f$-divergences
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 687/1777 | Ideas Have Genomes: Benchmarking Scientific Lineage Reasoning and Lineage-Grounded Idea Generation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 688/1777 | Debris Disc Substructures Induced by Secular Planetary Perturbations
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 689/1777 | Dimensionality Reduction Meets Network Science: Sensemaking on UMAP's kNN Graph
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 690/1777 | The statistics of curvature-profile dispersion in primordial black hole formation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 691/1777 | Modal logics of conjunctively closed provability predicates
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 692/1777 | Pose-to-Biomechanics: Bridging 3D Human Pose Estimation and Biomechanical Attribute Prediction
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 693/1777 | Competing Chern states revealed by quasiparticle charging in moiré rhombohedral graphene
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 694/1777 | HumanForge: A Human-Centric Deepfake Video Benchmark with Multi-Agent Forgery Rationales
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 695/1777 | $K$-spherical horospherical averages on the Nagao quotient: tree combinatorics and exact discrepancy
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 696/1777 | Some properties of high-order nonstandard multistep multistage methods
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 697/1777 | ProjAgent: Procedural Similarity Retrieval for Repository-Level Code Generation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 698/1777 | Low-latency FPGA-based electronic control system for fast preparation of defect-free atom arrays
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 699/1777 | Instability of the undecidable behavior of the spectral gap in 1D
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 700/1777 | A Short Proof of Optimal Regularity for minimizers of the Alt-Phillips Problem
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 701/1777 | Complex polar superstructure controlled thermal conductivity in ferroelectric PbTiO3/SrTiO3 superlattices
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 702/1777 | Twofold universality of large-$N$ melonic random tensors
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 703/1777 | Multi-Sender Bayesian Persuasion with Imperfect Information
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 704/1777 | Sharp bounds for stochastic proximal and projection estimators via radial dominance
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 705/1777 | Physical aging of glasses of an organic semiconductor
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 706/1777 | Shadows and lensing signatures of a rotating black hole in a Hernquist dark matter halo
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 707/1777 | Valley Hall viscosity in the integer quantum Hall phases of (2+1)D Dirac materials
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 708/1777 | It Takes Few to TANGO: A Quantized Distributed Model for Binaural Speech Enhancement
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 709/1777 | Acceleration-based clustering reveals frequent gait switching in sprint sled dogs
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 710/1777 | Aclass of incrementally scattering-passive nonlinear systems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 711/1777 | Calibrated Persistent-Laplacian CUSUM for Online Change-Point Detection
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 712/1777 | Preconditioned primal-dual algorithms for saddle point problems: non-ergodic convergence rates
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 713/1777 | A New Human-Likeness and Comfort Index for Robot Movements Along Prescribed Paths
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 714/1777 | Operational meaning of Markov gap in tripartite entanglement of quantum dynamics
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 715/1777 | Active galactic nuclei are not responsible for systematics in the empirical properties of type Ia supernovae
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 716/1777 | Universality of Measurement-Induced Criticality under Symmetry-Breaking Measurements
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 717/1777 | Holographic Theory of Mixed-Dimensional Statistics and Conservation-Encoding Hopping-Operator Algebras
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 718/1777 | Curvature-Controlled Topological Magnon Phases in a Folded Kagome Lattice
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 719/1777 | Switch-Reasoner: Learn When to Think in Multitask Mixtures via Reinforcement Learning
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 720/1777 | Functional dependence and synchronous coupling in ergodic autoregressions
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 721/1777 | QSCOUT's Qubit-Boson Gate Set
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 722/1777 | CAAD: Causality-Aware Multivariate Time Series Anomaly Detection via Multi-Scale Alignment and Structural Causal Consistency
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 723/1777 | VocaDet: Sample-Driven Open-Vocabulary Object Detection and Segmentation via Visual Tokenization and Vector Database Retrieval
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 724/1777 | Improving Ad-hoc Search Effectiveness for Conversational Information Retrieval via Model Merging
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 725/1777 | Optimal Prediction of Resistance and Support Levels under Constant Elasticity of Variance Processes
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 726/1777 | The Langevin-equation description of optomechanics with the dispersive and dissipative optomechanical coupling
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 727/1777 | Stablecoins under Stress in a National Economy: Transaction-Level Evidence from Austrian Crypto-Asset Service Providers
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 728/1777 | Stop Guessing When to Stop Testing: Efficient Model Evaluation with Just Enough Data
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 729/1777 | On the Convergence of Belief Propagation for Multipath Data Association in Target Tracking
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 730/1777 | A crystal-field route to THz-driven magnetization
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 731/1777 | Quantum Communication Lower Bounds for Search Problems via Matrix Discrepancy
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 732/1777 | Quantum filtering and propagation of chaos for open quantum systems, with applications to quantum feedback control and quantum mean-field games
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 733/1777 | Second order systems on Hilbert spaces with nonlinear damping
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 734/1777 | Diffusion Models for Sampling Near Criticality in Lattice Field Theories
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 735/1777 | Microscopic description of $^{12}$C+$^{12,13}$C fusion reactions at nuclear astrophysical energies
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 736/1777 | Ensemble Diversity Optimization for Subjective Supervision
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 737/1777 | Neural and Spectral Operator Surrogates on Gaussian Spaces
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 738/1777 | The fundamental theorems of invariant theory for linearly oligomorphic groups
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 739/1777 | Learning LDPC codes with quantized density evolution over relaxed protographs
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 740/1777 | Non-Hermitian topology driven by an identity term: An exactly solvable paradigm
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 741/1777 | Applying JEPA-Style Predictive Learning to JA4-Derived Network Fingerprints
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 742/1777 | Optimizing and Certifying Multipartite Permutationally Invariant Bell Inequalities
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 743/1777 | Two-ends Furstenberg inequality for transversal families and applications to Fourier decay
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 744/1777 | Building confidence regions for Reeb graphs using the interleaving distance
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 745/1777 | Two Axes of LLM Abstention: Answer Correctness and Question Answerability
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 746/1777 | Preconditioner-Based Acceleration Method for Solving EMTP Linear Equations
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 747/1777 | Coded Task Offloading for Fluid Computing: A Privacy-Aware Approach under D2D Networks
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 748/1777 | Exploring the effect of mixing in Low-Luminosity Type IIp Supernovae by modeling SN 2024abfl
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 749/1777 | Methods of Observing and Characterising the Ionosphere with SKA-Low
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 750/1777 | An Exact Distribution-Free Test for Means of Nonnegative Random Variables
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 751/1777 | A semi-analytical approach to cosmic void evolution
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 752/1777 | The Geometry of Quantum Complexity in Open Systems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 753/1777 | When Synthetic Speech Is All You Have: Better Call GRPO
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 754/1777 | Track2Map: Online Deformable SLAM with Motion-Aware Pose Optimization in Robotic Surgery
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 755/1777 | Who Needs DRAM? We Have Fiber
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 756/1777 | On Exploring Input Resolution Scaling For Anytime LiDAR Object Detection
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 757/1777 | Successive Coronal Jets as Novel Facilitators for Filament Oscillation and Eruption
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 758/1777 | Why Constants Matter in Distribution Testing: From Uniformity to Calibration
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 759/1777 | Eigenvalue Calibration for Semantic Embeddings of Large Language Models
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 760/1777 | WCog-VLA: A Dual-Level World-Cognitive Vision-Language-Action Model for End-to-End Autonomous Driving
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 761/1777 | Minimum modulus for the unique multiset-sum problem
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 762/1777 | Grokking and epoch-wise double descent in quantum neural networks
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 763/1777 | Works on My QPU: Reproducibility in Quantum Computing Research
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 764/1777 | A scalable version of MADD for big-data classification
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 765/1777 | XALPHA: A Memory-Driven AI Quant Researcher for Hypothesis-to-Code Alpha Discovery
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 766/1777 | Adaptive Row Selection Meets Asynchrony in Randomized Kaczmarz
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 767/1777 | Circular Expectiles
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 768/1777 | ARGUS: Accelerated, Robust, General, and Unsupervised Cell Tracking Solutions
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 769/1777 | Anomalous Reflection of Caustic Spin-Wave Beams in a Magnonic Waveguide
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 770/1777 | Empirical Calibration and Conditional-Reliability Diagnostics for Bearing RUL Prediction under Operating-Regime Shift
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 771/1777 | Collate: Collaborative Neural Network Learning for Latency-Critical Edge Systems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 772/1777 | Beware What You Autocomplete: Forensic Attribution of Backdoored Code Completions
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 773/1777 | Tool-Making and Self-Evolving LLM Agents in Low-Latency Systems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 774/1777 | Reaction-network reasoning with frontier models for experimentally confirmed catalyst-selectivity hypotheses
