[2026-06-06 10:54:26] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-05
正在获取论文...
[ACM] 2026-6-5 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[IEEE] 2026-6-5 | Toward Green Communication: Power-Efficient Beamforming for STAR-RIS-Aided BackCom
[IEEE] 2026-6-5 | IEEE Connect
[IEEE] 2026-6-5 | MonoHPE: Monocular 3D Object Detection with Height Positional Encoding
[IEEE] 2026-6-5 | YOWOFormer: Bridging Video Transformers and CNN Detectors for One-Stage Spatio-Temporal Action Detection
[IEEE] 2026-6-5 | Restricted Target Wake Time Mechanism for Industrial Internet of Things Scenarios: Worst-Case Analysis
[IEEE] 2026-6-5 | PI-FD: Property Inference Attacks on Federated Learning with Distillation via Synthetic Data Generation
[IEEE] 2026-6-5 | Semantic NeRF Oriented 3D Object Counting for Industrial Fruit Harvesting
[IEEE] 2026-6-5 | A Universal Framework for Programmable Multiattractor Chaotic Maps: Dynamics Analysis, DSP Realization, and Secure Application
[IEEE] 2026-6-5 | Iterative Feedforward Tuning With Multiplicative Nonlinearity: Application to Linear-Motor-Driven Wafer Stage With Multiplicative Force Ripple
[IEEE] 2026-6-5 | Protection Efficiency-Based FIPP
                    <i>p</i>
                    -Cycle Design with Topology Partitioning in Mixed-Grid Optical Networks
[IEEE] 2026-6-5 | Multi-UAV Tracking under Partially Overlapping and Gapped Fields of View in Distributed Multi-sensor Networks
[IEEE] 2026-6-5 | Careers: Finding Success in Industry as a Chip Designer: Academe and Industry Require Different Approaches
[ACM] 2026-6-6 | Multi-Relation Temporal Graph Neural Networks for EquityVolatility Forecasting
[IEEE] 2026-6-5 | Prediction-Assisted Multi-UAV Online Service Migration and Trajectory Control for MEC-Empowered Vehicular Networks
[IEEE] 2026-6-5 | Composite Error Learning Estimator for Wiener–Hammerstein Systems With Time-Delay Under Binary-Valued Measurements
[ACM] 2026-6-6 | FedMBRL: Federated Memory Bank Reinforcement Learning for Multi-Agent Edge Caching in Industrial IoT
[IEEE] 2026-6-5 | IEEE Foundation
[IEEE] 2026-6-5 | Deposition of Titanium Nitride on Inner Surface of Grade B API 5L Steel Pipes by Cathodic Cage Plasma Nitriding Technique
[IEEE] 2026-6-5 | Egress Accommodation for Factory-Assembled Structures: CODE REQUIREMENTS AND STRATEGIES TO MEET THEM
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | Spatiotemporal Modulation-Based Nonreciprocal Filter for Full-Duplex Wireless Systems with UAV Communication Applications
[IEEE] 2026-6-5 | Sensorless Control of PMSMs at Ultralow Speed: An Adaptive Position Estimation Strategy Based on Reconstructed Flux Linkage
[IEEE] 2026-6-5 | The Routledge Handbook of the Translation Industry: Callum Walker and Joseph Lambert, Eds.: [Book Review]
[IEEE] 2026-6-5 | Masthead
[IEEE] 2026-6-5 | Robust Single-Packet Physical Layer Authentication for UAVs: A Spatial Challenge-Response Approach
[IEEE] 2026-6-5 | Your Virtual Twin Could One Day Save Your Life: Replicas of the Human Heart and Other Organs are Enabling Virtual Surgery and Clinical Trials
[IEEE] 2026-6-5 | 5 Questions: Leontien Talboom: What it Takes to Preserve Floppy Disk Data
[IEEE] 2026-6-5 | Dual Prompt Learning for Unsupervised Degradation-Resistant Image Fusion
[IEEE] 2026-6-5 | Copyright Page
[IEEE] 2026-6-5 | Securing IoT Devices in the Quantum Era: AI-Based Detection with Hybrid Post-Quantum Encryption
[IEEE] 2026-6-5 | Theoretical Analysis of Fidelity and Interpretability Trade-Offs in Explainable Artificial Intelligence
[IEEE] 2026-6-5 | BEHANA : Enhancing Women’s Safety through AI-Powered Solutions
[IEEE] 2026-6-5 | EdgeBlockAI - An Offline, AI-Assisted Blockchain Framework for Supply Chain Anomaly Detection
[IEEE] 2026-6-5 | Prediction of Cancer Drug Response Based on Hypergraph Convolutional Network and Contrastive Learning
[ACM] 2026-6-6 | Interpretable Multispectral Deep Learning for Non-Destructive Fruit Quality Monitoring in Agriculture 5.0
共写入 921 条记录，保存到 papers/paper2026-06-05.json。
论文获取成功，文件路径: papers/paper2026-06-05.json
正在筛选、翻译并发送邮件...
[NO] 1/921 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[NO] 2/921 | Seeing in the Dark with Ambient Guidance
[NO] 3/921 | Learning External Point-Set Context for Point Cloud Segmentation
[NO] 4/921 | Towards Immersive Volumetric Space: Capture, Reconstruction, and Application
[NO] 5/921 | An Electromechanical Coupling Model and Analysis for In-wheel Motor Considering Transient Multi-dimension Eccentricity
[NO] 6/921 | Physics-constrained Real-time Hand Grasping in VR/AR via Force Closure Stability Judgment
[NO] 7/921 | IEEE Access
[NO] 8/921 | Table of Contents
[NO] 9/921 | Table of Contents
[NO] 10/921 | Improving the Performance of Next-Generation Vehicular Safety Messages Communication With Relay-Assisted Protocol
[NO] 11/921 | Indoor 5.8 GHz dc-dc Wireless Power Transfer at a Distance Capable of Attitude and Range Optimization
[NO] 12/921 | Front Cover
[NO] 13/921 | Using a Scale Testbed: Controller Design and Evaluation [25 Years Ago]
[NO] 14/921 | A DRL-based Energy-Efficient and Mobility-aware SFC Embedding Strategy in 6G SAGINs
[NO] 15/921 | Arc Behavior and Surface Evolution Under Targeted Current Conditioning
[NO] 16/921 | A Hybrid Stylometric and Transformer-Based Framework for Detecting AI-Generated Text
[NO] 17/921 | Integrating Machine Learning and Deep Learning for Robust and Privacy-Preserving Intrusion Detection: A Unified Framework and Experimental Study
[NO] 18/921 | Intelligent Crop Protection: AI Powered Detection and Diagnosis of Plant Diseases
[NO] 19/921 | Building a Multilingual, Voice-First Banking Assistant: Architecture and Implementation for the Mifos Ecosystem
[NO] 20/921 | Education Committee News: IEEE MTT-S Webinars [Education News]
[NO] 21/921 | Stateless Per-Packet IoT Authentication Framework Using Machine Learning
[NO] 22/921 | Financial IoT Smishing Detection: Challenges, Gaps, and Research Roadmap
[NO] 23/921 | Startup Success Predictor: A Machine Learning-Based Forecasting Framework for Early-Stage Venture Assessment
[NO] 24/921 | Proactive Approaches to Vulnerability Assessment and Mitigation
[NO] 25/921 | A Trojan Attack on TDMA Synchronization in Energy-Harvesting Wireless Networks
[NO] 26/921 | Credit Score Simulator and Coaching Module for Intelligent Credit
[NO] 27/921 | A Multimodal Retrieval-Augmented Generation System for Intelligent Document Processing and Study Assistance
[NO] 28/921 | IoT and Machine Learning-Based Road Condition Monitoring and Pothole Detection System
[NO] 29/921 | A Two-Stage Multi-modal Fusion Framework for Robust Key-point Detection of Wisdom Teeth with Panoramic Radiographs
[NO] 30/921 | Smart Hydroponic Control Framework Based on Generative AI and Machine Learning for pH and Nutrient Optimization
[NO] 31/921 | Sea-Trial Characterization of the Spatial Self-Interference in In-Band Full-Duplex Underwater Acoustic Systems: A Validated Finite-Element Model and Receive-Array Design
[NO] 32/921 | Two-Stage Delay-Doppler Aided 6D Beamspace Tensor Channel Estimation for High-Mobility mmWave MIMO-OFDM
[NO] 33/921 | IEEE Transactions on Electron Devices Information for Authors
[NO] 34/921 | IEEE CSS Technical Committee on Discrete Event Systems [Technical Activities]
[NO] 35/921 | Robot of the Month: Flapper Nimble+
[NO] 36/921 | MMIFN: A Multi-Modal Interactive Fusion Network for Omnidirectional Image Quality Assessment
[NO] 37/921 | Edge-Wise Lie-Group Masking for Secure and Opaque Consensus
[NO] 38/921 | Multi-Scale Residual Shrinkage Network with Adaptive Thresholding for Noise-Robust EEG Sleep Staging
[NO] 39/921 | 3D Reflectarray Antenna Design for Ku Application using 3D Printer Technology
[NO] 40/921 | RWW 2027 Call for Papers PAWR
[NO] 41/921 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp3-3683248.mp4
[NO] 42/921 | Neural Representation Learning and Privacy-preserving Cloud-Edge Collaboration for Next-Generation Financial Wealth Management Platforms
[NO] 43/921 | K-Means Based Tinyml Anomaly Detection and Distributed Model Reuse via the Distributed Internet of Learning (DIoL)
[NO] 44/921 | Traffic Routing &amp; Prediction Using Optimized ACO-PSO
[NO] 45/921 | Context-Aware Semantic Classification of Digital News Headlines Using Transformer-Based Models
[NO] 46/921 | An Improved SMS Security Technique to Avoid Plaintext and Dictionary Attacks
[NO] 47/921 | Secure and Privacy-Preserving Frameworks for IoMT: A Survey of Cryptographic and Blockchain-Enabled Approaches
[NO] 48/921 | A Jitter-Driven Hardware Hybrid Random Number Generator (HHRNG) Using Nonlinear Feedback and Feedforward Processing
[NO] 49/921 | Research on Mammographic Mass Classification Based on Improved Stacking Algorithm
[NO] 50/921 | Practice and Development of Large Language Model in Command and Control
[NO] 51/921 | Cooperative Grasping and Collision Avoidance Planning for Mobile Manipulators in Dynamic Environments
[NO] 52/921 | RWW 2027 Call for Papers WISnet
[NO] 53/921 | 2026 EuMW Registration Announcement
[NO] 54/921 | AaSHM: Unsupervised Bearing Fault Detection Using an Anomaly-Aware Spatiotemporal Hypergraph
[NO] 55/921 | IEEE Antennas and Propagation Society—Advancing Forward! [President’s Message]
[NO] 56/921 | Cross-Scenario Deraining Adaptation with Unpaired Data: Superpixel Structural Priors and Multi-Stage Pseudo-Rain Synthesize
[NO] 57/921 | Multi-View Depth Estimation With Uncertainty Constraints for Virtual-Real Occlusion
[NO] 58/921 | 3D Localization of In-Service Deep-Buried PE Pipelines via ELF Magnetic Matching: System Design and Field Validation
[NO] 59/921 | A Deep Neural Network-Based Adaptive Gamification Approach for Virtual Learning_supp1-3700399.docx
[NO] 60/921 | Real-time Measurement of Transition Resistance and Full-time Fault Feeder Selection for Random Arc Fault in Active Distribution Networks
[NO] 61/921 | Learning Optimal Crew Dispatch for Grid Restoration Following an Earthquake
[NO] 62/921 | High-Order CBF-Compatible Semantics and Hierarchical Synthesis for Bounded-Time STL
[NO] 63/921 | Physics-Informed Learning for Multiplayer Differential Games
[NO] 64/921 | BhashaBluff: A Dataset and Benchmark for Detecting Bilingual, Noisy, Compressed Deepfakes and Synthetic Audio
[NO] 65/921 | Real-Time Radar Hand Motion Recognition Using a Hybrid CNN–SVM Framework With FPGA Acceleration
[NO] 66/921 | Decentralized and Lightweight Server-Aided Revocable Attribute-Based Encryption for Mobile Cloud Computing_supp1-3696736.pdf
[NO] 67/921 | Adaptive Sensor Fault-Tolerant Tracking Control for State-Constrained Uncertain Nonlinear Systems
[NO] 68/921 | Mental Health Prediction System Using Artificial Intelligence
[NO] 69/921 | Architectural Patterns and Security: Cloud Based IoT in Smart City Operations
[NO] 70/921 | Adaptive Quality of Experience Optimization in Wireless Multimedia Sensor Networks: A Cross-Layer Analytical Approach
[NO] 71/921 | IoT-Enabled Omnidirectional Surveillance Robot with Cloud-Based Face Recognition
[NO] 72/921 | IoT-Vision System for Human Identification and Presence Counting Using Deep Learning
[NO] 73/921 | Towards Smart Manufacturing: AI-Driven Prediction and Analysis of Surface Roughness in Machined Components
[NO] 74/921 | Evaluating Fog Simulators for Real-Time IoT Deployment: Towards Smart Parking System
[NO] 75/921 | Toward Schema-Based BI for Cleanroom Experimental Metadata: Organization, Visualization, and a Beta-Stage Case Study
[NO] 76/921 | Energy-Saving Control of DC Motor Speed via Adaptive Fixed-Time Sliding Mode
[NO] 77/921 | Can Vibration Patterns Identify Users? Authentication for Smartphone-Watch Collaboration
[NO] 78/921 | MS-SwinNet: Early Fusion of RGB and Multispectral Imagery for Post-Earthquake Building Damage Segmentation
[NO] 79/921 | Enhancing Path Following of Underactuated Water-Cleaning ASVs Using Adaptive MPC: Real-Time Parameter Estimation and Sensitivity Analysis in Dynamic Marine Environments
[NO] 80/921 | Artificial Intelligence and Microwave Engineering: From Tools to Transformation [President’s Column]
[NO] 81/921 | BrachyUtils: A High-throughput and Modular Brachytherapy Treatment Planning System Built for Python Scripting
[NO] 82/921 | IEEE Connects
[NO] 83/921 | Dielectric Characterization of Hard Dental Tissues at Microwave Frequencies: Experimental Validation of First-Order Debye Behavior
[NO] 84/921 | MSCAC-TCAM: An Interpretable Fault Diagnosis Method for Rolling Bearings Based on Multisensor Data Fusion
[NO] 85/921 | Pinching-Antenna System Design under Random LoS and NLoS Channels
[NO] 86/921 | Society Officers &amp; Administrative Committee
[NO] 87/921 | An IRS Assisted Flexible Space Shift Keying Scheme with Pattern Modulation
[NO] 88/921 | Accurate and Robust: Dynamic Image Refinement for Remote Sensing Visual Grounding
[NO] 89/921 | “The Last Human Will See What We Saw”: The Test of the World's First Atomic Bomb Left its Observers Stupefied
[NO] 90/921 | Theoretical Model for the Rate-Constrained Multichannel Wiener Filter in Binaural Hearing Aid Applications
[NO] 91/921 | Beyond One-Layer Decision: Hierarchical Multi-view Clustering with Progressive Cross-Layer Fusion
[NO] 92/921 | An Overview of Microwave Two-Port Measurement Methods for Absorber Materials
[NO] 93/921 | Diverse-Input Yield Prediction (DIYP) Model Applied Across Different Years with Variable Input Days
[NO] 94/921 | A Comparative Study of Attention-Based Transformer and Deep CNN Architectures for Lithography Hotspot Detection in Advanced Process Nodes
[NO] 95/921 | Idle Nodes Detection and Reactivation Aware-Buffer Management in Delay Tolerant Network Using Iemata and Spko
[NO] 96/921 | PROMEOS: Protein-protein interaction prediction using a Mixture of Experts and multimodal learning by integrating Ontology and Sequences
[NO] 97/921 | EEG-Based ADHD Classification Using Machine Learning and Boosting Algorithms
[NO] 98/921 | Applications and Limitations of Large Language Models in Digital Forensics: A Survey
[NO] 99/921 | Chennamane: The Historiography, Gameplay, and Cultural Revival of an Obscure Folk Game from Southern India
[NO] 100/921 | Hair Baldness Progression Prediction Using XGBoost: Risk Forecasting Model
[NO] 101/921 | Trojan Attribution via Code Stylometry: Writing Behaviors and Coding Habits in Obfuscated Binaries
[NO] 102/921 | Compact Vision Transformers for BFMRX Bone-Fracture Detection
[NO] 103/921 | An AI-Powered Solution for Sustainable Resource Management
[NO] 104/921 | Spatio-Visual Helmet Violation Analytics Using YOLOv8
[NO] 105/921 | The Final Exam? [Microwave Surfing]
[NO] 106/921 | A Comparative Framework for Automatic Image Annotation Using CNN Architectures and CLIP-ViT
[NO] 107/921 | ESP32-Based Wi-Fi Signal Mapping and Machine Learning–Driven Access Point Optimization
[NO] 108/921 | SecureHLSMem: Synthesizable Memory Safety for High-Level Synthesis of Accelerators
[NO] 109/921 | CROSS-Sched: A Crossover-Aware ML Scheduler and its Benchmarking on Heterogeneous Systems
[NO] 110/921 | Voice- and Text-Based Tasking for Swarm Robotics: A Leader-Centric Coordination Framework
[NO] 111/921 | Counterfeit RF Fingerprint Detection Using an Autoencoder-Based Approach
[NO] 112/921 | Disaster Connect: A Unified Platform for Disaster Response and Relief using MobileNetV2 and BERT
[NO] 113/921 | Survey on Machine Learning and Deep Learning Techniques for Stutter Detection
[NO] 114/921 | Advanced Smart Accident Detection System with IoT and AI Integration
[NO] 115/921 | A Global Perspective on Intellectual and Developmental Disabilities: Insights and Future Directions
[NO] 116/921 | Federated Learning for Human Activity Recognition on Resource-Constrained Sensors
[NO] 117/921 | Robust Stability for a Class of Complex Balanced Chemical Reaction Networks with Time Delays and Time Varying Perturbations
[NO] 118/921 | OCDS: Consortium Blockchain-Empowered Oblivious and Consistent Data Asset Sharing for Internet of Vehicles
[NO] 119/921 | DynaTrack: Dynamic Memory-Enhanced Transformer with Deformable Attention for Robust Single Object Tracking
[NO] 120/921 | Fragmented Graph Pattern Matching on Large Graphs
[NO] 121/921 | Expertise and Information Seeking in the Age of Generative AI: New Procedures, New Problematics
[NO] 122/921 | Night-to-Day Translation via Illumination Degradation Disentanglement
[NO] 123/921 | IEEE Industrial Electronics Society Information
[YES] 124/921 | Cover 2
[NO] 125/921 | FedLIC: Personalized Federated Learning with Layer-Wise Importance-Aware Encryption and Compression
[NO] 126/921 | Abnormal Behavior Recognition of Dairy Cows via DeepLabCut-Based Limb Decomposition
[NO] 127/921 | AIDE 2026 Cover Page
[NO] 128/921 | Direct Lightning Overvoltage and Flashover Risk in Complex Distribution Line Network Considering Electromagnetic Coupling From Lightning Channel
[NO] 129/921 | Mutual Information of Dynamic Metasurface Antenna-Enabled MIMO With Finite-Alphabet Inputs
[NO] 130/921 | Generative AI-enabled Cooperative Jamming for Secure Semantic Communication
[NO] 131/921 | Coordinated Control Strategy for Unbalanced Power and Bipolar Voltage in Electrolytic Capacitorless Vienna Rectifier
[NO] 132/921 | A Real-time FBG-DCMs-based Large-Scale Chromatic Dispersion Emulator
[NO] 133/921 | Lost in Automatic Translation: Navigating Life in English in the Age of Language Technologies: [Book Review]
[NO] 134/921 | LLM-Assisted Knowledge Graph Construction and Dual-Layer Reasoning for Defect Repair Planning: A Neo4j-Based Demo
[NO] 135/921 | Design and Trajectory Planning of the Manipulator for Pipeline Inspection Robots
[NO] 136/921 | Hybrid Temporal Modeling for Class Imbalance-Aware Human Activity Forecasting
[NO] 137/921 | Device-Independent Low-Light Image Enhancement via Learnable Von Kries Chromatic Adaptation Transform
[NO] 138/921 | LAKAS-N: Quantum Attack-Resistant Lattice-Based Authentication and Key Agreement using NIZK for Single and Cross-Domain VANETs_supp1-3696185.pdf
[NO] 139/921 | A Comparative Spectrum Selection Study of Hyperspectral and Narrowband Ultra Hyperspectral Sounder for Stratospheric Temperature Remote Sensing Applications
[NO] 140/921 | Long-Aperture ISAR Imaging of Complex Motion Ships via a Joint Adjacent-Order Coefficient Distribution
[NO] 141/921 | A Phase-Dependent Data-Driven Hybrid Hysteresis Model for Torque Compensation in Nonlinear Compliant Actuators
[NO] 142/921 | IEEE Member Discounts
[NO] 143/921 | GS-PCC: A Unified Geometry-Attribute Compression Framework for Point Cloud via Gaussian Splatting
[NO] 144/921 | A Hybrid Reinforcement Learning–Blockchain Architecture for Sequential Decentralised Coordination of Heterogeneous Robots: Proof-of-Concept Validation and Latency Characterisation
[NO] 145/921 | AIDE 2026 Cover Page
[NO] 146/921 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp6-3683248.mp4
[NO] 147/921 | NCorr-FP: A Neighbourhood-based Correlation-preserving Fingerprinting Scheme for Intellectual Property Protection of Structured Data
[NO] 148/921 | Enhancing People Localisation in Drone Imagery for Better Crowd Management by Utilising Every Pixel in High-Resolution Images
[NO] 149/921 | FORESIGHT: Frequency and Order-aware REpresentation with Spectral-domain and Inter-channel Global Horizon Transformer
[NO] 150/921 | A Novel Wireless Laser Coupling System Based on Hierarchical Circled Photodiodes
[NO] 151/921 | IEEE Transactions on Industrial Informatics Information for Authors
[NO] 152/921 | Corrections to “Enhancing Measurement Accuracy: The Impact of Missing Data on Parameter Estimation in Mass–Spring–Damper Systems”
[NO] 153/921 | Early Paddy Disease Detection &amp; Sustainable Farming for South Indian Farmers
[NO] 154/921 | Development of IoT Platform for Smart Kitchen Management
[NO] 155/921 | An Empirical Evaluation of Synchronous vs Asynchronous Microservice Architectures for Enterprise Messaging Platforms
[NO] 156/921 | WatermarkGAN: A Comprehensive Framework for Text-based Image Synthesis, Quality Analysis and Watermark Embedding
[NO] 157/921 | Graph-Based Credit Risk Modeling in P2P Lending Using Gower-Derived Centrality Features
[NO] 158/921 | Gradio-Enabled Dual-Model Waste Classifier: From Scratch CNN vs MobileNetV2 for Smart Segregation
[NO] 159/921 | Transforming Medical Devices Through Software Innovation
[NO] 160/921 | Advancing Sentiment Analysis with BERT: A Comparative Evaluation Against Machine Learning and Deep Learning Techniques
[NO] 161/921 | Multi-Level Cache Architectures for FPGA Accelerators: A Comparative Study of Graph Processing and CNN Inference Optimization
[NO] 162/921 | Polishing slurry chemical formulation design driven by large language models
[NO] 163/921 | MED-XEL: Explainable AI on Ensemble Methods for Early Neurological Risk Forecasting
[NO] 164/921 | ConfidenceVoice: AI-Driven Real-Time Public Speaking Coaching for Enhanced Communication
[NO] 165/921 | A Comprehensive Survey On Continuous AI-Based Attendance Monitoring Systems
[NO] 166/921 | AlertCrowd: Web-Based Framework for Video Crowd Alerting Using Enhanced CSRNet
[NO] 167/921 | Mental Health State Classification Model A Hybrid Approach Using VADER, BERT, BiLSTM, and CRF
[YES] 168/921 | An Automated and Scalable CNN-Based Framework for APB Error Diagnosis in SoC Designs
[NO] 169/921 | Machine Translation from Tulu to English using Transformer Architecture
[NO] 170/921 | Guideline-grounded Retrieval-augmented Generation for Ophthalmic Clinical Decision Support
[NO] 171/921 | A Global Fixed Time Measurement Control Strategy for Multi-Motor System with Lumped Disturbance
[NO] 172/921 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp9-3683248.txt
[NO] 173/921 | Energy Efficiency Optimization for MC-DSSS Satellite-Terrestrial Integrated Network_supp1-3700458.pdf
[NO] 174/921 | Dynamic Gaussian-Based Digital Twin Reconstruction of Articulated Multi-Joint Objects
[NO] 175/921 | Energy-Harvesting Asymmetry in Semitransparent Polymer Solar-Cells Based on a Laminated Transparent Electrode
[NO] 176/921 | AMONet: Alternating Modality Optimization Network for Multimodal Rumor Detection
[NO] 177/921 | IEEE Circuits and Systems Society Information
[NO] 178/921 | Looking for Fun in Antennas and Propagation [Editor’s Comments]
[NO] 179/921 | Dual-Path Consistency Learning via Hierarchical Neighborhood Perturbation for Scribble-Supervised Semantic Segmentation
[NO] 180/921 | One-Identity-One-Key: Region-aware Watermark for Proactive Deepfake Detection and Robust Source Tracing
[NO] 181/921 | Remembering Mauro Mongiardo [In Memoriam]
[NO] 182/921 | IEEE Dataport
[NO] 183/921 | Modeling Pyramidal Neurons Using Bidomain BEM and Hierarchical Matrix Approximation
[NO] 184/921 | A Robotics-Enhanced Digital Twin Framework for Automated and Resilient Cross-Border E-Commerce Logistics
[NO] 185/921 | A Context-Adaptive Computational Framework for Shadow Artifact Remediation in Diverse Imagery
[NO] 186/921 | 2025 International Conference on Unmanned Aircraft Systems [Conference Reports]
[NO] 187/921 | The Roots of Renewables Resistance: To See why Sardinians Reject Renewables, You Need to Understand 2,700 Years of Invasion and Exploitation
[NO] 188/921 | Enhancing HfO
                    <sub>2</sub>
                    -Based Si Channel FeFET Retention by Tunneling Barrier Engineering: Inserting Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Layers to Increase Tunneling Barrier
[NO] 189/921 | A Stable Vehicle Platooning Scheme Based on Multi-Armed Bandits
[NO] 190/921 | A Unified Framework for Pseudo-Supervised Clustering via Weighted Sample Aggregation
[NO] 191/921 | Low-cost Embedded Breathing Rate Determination Using 802.15.4z IR-UWB Hardware for Remote Healthcare
[NO] 192/921 | Magnetic-Transmitter to Electric-Receiver System for Underground-to-Aboveground Communication Exploiting Induction Field and Radiation Field
[NO] 193/921 | Attack-Resilient Distributed Fusion with the TPHD Filter
[NO] 194/921 | Celestial Navigation using Low Earth Orbit Satellites without Prior Ephemeris Information
[NO] 195/921 | A Confidence Fusion Driven Framework for Per-Beat ECG Waveform Delineation
[NO] 196/921 | RWW 2027 Call for Papers SHaRC
[NO] 197/921 | Distributed maximum correntropy unscented Kalman filtering with linear encoding-decoding mechanism for sensor networks under non-Gaussian noise
[NO] 198/921 | A Time–Frequency Cooperative Control for Current Harmonic Reduction in Capacitor-Less PMSM Drives
[NO] 199/921 | IEEE Transactions on Professional Communication Information for Authors
[NO] 200/921 | Anticipatory Utility Operations with Long-Duration Hydrogen Storage and Carbon Market Synergies
[NO] 201/921 | Asynchronous Concurrent Wireless Power Transfer in Sustainable 6G Networks: A Systematic Analysis
[NO] 202/921 | Electric Vehicle Growth Analysis and Forecasting Using Hybrid Machine Learning and Time-Series Models
[NO] 203/921 | AI-Powered Multi-Class Adverse Drug Reaction Prediction from Real-World Clinical Data
[NO] 204/921 | Hybrid Deep Learning and Fuzzy Logic Model for Predicting Concrete Compressive Strength with Genetic Algorithm Optimization
[NO] 205/921 | Hybrid Deep Learning for Authenticating Video Integrity Using CNN–LSTM Architecture
[NO] 206/921 | AI-Enabled Thermal Security System for Weapon Identification in Adverse Visibility
[NO] 207/921 | Enhancing Cloud Data Center Security: A Fog-Based and SDN-Controlled Solution for Detecting and Mitigating DDoS Attacks
[NO] 208/921 | Hybrid Harris Hawks-Grey Wolf Optimizer in Ad Hoc Networks: An in-Depth Analysis of Structure, Performance and Limitations
[NO] 209/921 | An Efficient Machine Learning Pipeline for Diabetes Readmission Prediction Using Multi-Phase Feature Optimization
[NO] 210/921 | Trusted Ran-Edge Digital Twin Framework for Next-Generation IoT Security
[NO] 211/921 | Exploring Automated Conversion of 2D Blueprints to 3D Models for Civil Applications using Deep Learning Approaches
[NO] 212/921 | Advanced Machine Learning Approaches in Human-Machine Interaction for Rehabilitation Exoskeleton
[NO] 213/921 | A Passive Underwater Acoustic Target Recognition Method Using DiMobNet and ROI
[NO] 214/921 | Coordinated Beamforming for Networked Integrated Communication and Multi-TMT Localization
[NO] 215/921 | How Far Are We from Generating Missing Modalities with Foundation Models?_supp1-3696678.pdf
[NO] 216/921 | Table of Contents
[NO] 217/921 | AIDE 2026 TOC
[NO] 218/921 | Optimizing Humanitarian Aid Distribution Under Checkpoint Congestion: A Strategic Safety Stock Placement Model
[NO] 219/921 | Toward Robust Unsupervised Multi-Class Chest X-Ray Clustering: Comparing Reconstruction-Driven and Self-Supervised Representation Learning
[NO] 220/921 | An Efficient Mobility-Aware Knowledge Sharing Framework for Next-Generation Internet of Vehicles
[NO] 221/921 | HealthEngine: An Integrated Healthcare Analytics Model Using Multimodal Transformer, Deep Multitask Neural Networks, and SHAP
[NO] 222/921 | A Framework for Efficient Individual-Level Longitudinal Outcomes Estimation for Agent-Based Simulations
[NO] 223/921 | Centroid-Proximal K-Means: An Interpretable Framework for Urban Air Quality Clustering Using Multi-Pollutant and Meteorological Indicators
[NO] 224/921 | Identification of Hate Speech in Kannada Through the Use of Deep Learning Technique
[NO] 225/921 | Bird Species Classification Using Convolutional Neural Network
[NO] 226/921 | A Region-Aware Application for Measuring the Carbon Footprint of Large Language Models
[NO] 227/921 | A Review on AI-Powered Speech Translation Systems with Emphasis on Tulu-to-English Translation
[NO] 228/921 | A History Editorial [Historically Speaking]
[NO] 229/921 | AR-Based Virtual Interior Design Using 3D Modeling
[NO] 230/921 | AI-Driven Sign Language Translation: Bridging Communication Gaps through Deep Learning and Computer Vision
[NO] 231/921 | Process Sequence Augmentation Based on User Event Logs by Integrating Transformer and LSTM
[NO] 232/921 | Multi-Step Discrete-Time Physics-Informed Neural Networks for Fast Sample-Based Model Predictive Control
[NO] 233/921 | Conference Calendar
[NO] 234/921 | CMGA: Cross-Modal Graph Alignment for Unlocking LLM Reasoning in Multivariate Time-Series Forecasting
[NO] 235/921 | IEEE Tech RXIV
[NO] 236/921 | Boosting Spatially Resolved Transcriptomics Data Clustering via Multi-view Information Rebalance Learning
[NO] 237/921 | Rate-Compatible Protograph low-density parity-check Codes with Transfer Learning-Based Decoding for Spin-Transfer Torque Magnetic Random Access Memory
[NO] 238/921 | Multi-dimensional Resource-based Hybrid QoS Massive Grant-Free Random Access
[NO] 239/921 | End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF
[NO] 240/921 | Structured Tokenization of BERT for Tabular Classification
[NO] 241/921 | Composite Proxy-based Hierarchical Contrastive Hashing for Cross-modal Retrieval
[NO] 242/921 | A Compact Dual-Band Implantable Antenna for Subcutaneous Temperature Monitoring in Bovine Udder Tissue
[NO] 243/921 | Generative Disentanglement for Robust Estimation of Time-Dependent Treatment Effects
[NO] 244/921 | Real-Time Healthcare Data Ingestion and Processing: A Multi-Agent Architecture for ML-Driven Patient Outcome Prediction
[NO] 245/921 | Automobile Industry Growth Prediction Using Machine Learning
[NO] 246/921 | Unsupervised Module Boundary Identification in FPGA Netlists Using Structural Graph Hashing
[NO] 247/921 | Cybersecurity in Healthcare: Safeguarding Patient Data and Systems
[NO] 248/921 | A Data Fusion–Driven Framework for Predicting Insurance Risk Using Explainable Ensemble and Deep Learning Approaches
