[2026-07-28 11:18:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-27
正在获取论文...
[arXiv] 2026-07-27 | KAI: A Kinematic-Aware Interface for Data-Efficient Articulated Object Manipulation
[IEEE] 2026-7-27 | SCFDet: Selective Cross-modal Fusion Network for RGB-Infrared Object Detection in Remote Sensing
[IEEE] 2026-7-27 | 2.7-kV GaO Vertical Schottky Barrier Diode With Photo-Dielectric Field-Plate_supp1-3715153.docx
[IEEE] 2026-7-27 | Robust Deep Corpus Data Cleaning for English Machine Translation via Multi-Noise Modeling and HeDL Constraints
[IEEE] 2026-7-27 | TC-HOI: Text-Conditioned 3D Human-Object Interaction Generation
[IEEE] 2026-7-27 | Proactive pH Stabilization in Vertical NFT Hydroponics: A TimeSeries Momentum Approach
[IEEE] 2026-7-27 | VNA Tools: Noise Parameter Uncertainty Calculation
[IEEE] 2026-7-27 | Functionally Graded Carbon Fabric-Reinforced Epoxy Composites with Hybrid Magnetic–Conductive Fillers for X-band EMI Shielding
[IEEE] 2026-7-27 | A Hybrid Neuro-Fuzzy Approach for Early Parkinson Disease Detection
共写入 1848 条记录，保存到 papers/paper2026-07-27.json。
论文获取成功，文件路径: papers/paper2026-07-27.json
正在筛选、翻译并发送邮件...
[NO] 1/1848 | KAI: A Kinematic-Aware Interface for Data-Efficient Articulated Object Manipulation
[NO] 2/1848 | Asymptotic behavior of the first Robin eigenvalue of nonlinear operators
[NO] 3/1848 | The exact solution of Bellman's lost-in-a-forest problem for the golden gnomon
[NO] 4/1848 | Learning limit cycles via Hebbian synaptic plasticity
[NO] 5/1848 | Grounding latent algorithm routing in transformer reasoning
[NO] 6/1848 | The Higgs vacuum in the presence of strong gravitational fields: curvature induced electroweak symmetry restoration
[NO] 7/1848 | On Realisability of Twisted Homology
[NO] 8/1848 | ESRVS: Extreme Semi-Supervised Retinal Vessel Segmentation with a Single Annotated Image
[NO] 9/1848 | Generation-separated hypercharges and dark charges: origin of flavor, neutrino masses, and dark matter
[NO] 10/1848 | On the Modeling of Kink Oscillations in Fine-Structured Coronal Loops with Field-aligned Nonlinear Longitudinal Disturbances
[NO] 11/1848 | Exploring the Effects of Color Reconnection on Net-Charge Fluctuations in $pp$ Collisions at $\sqrt{s}=2.76 \text{ TeV}$ using PYTHIA Monash
[NO] 12/1848 | From Regions to Hodge Structures: The Topological Study of semialgebraic Curves Configurations
[NO] 13/1848 | DraftExpert: Expansion-Aware Self-Speculative Decoding for End-Device MoE Inference
[NO] 14/1848 | On $C^k$-functions mapping $\mathbb{Q}$ into itself and Mahler's problem on Liouville numbers
[NO] 15/1848 | Does Central Planning Fail Locally? Evaluating EV Charging Flexibility Optimization Across Grid Levels
[NO] 16/1848 | Near-Tight Theoretical Bounds for Incentive Compatibility in Bitcoin Mining
[NO] 17/1848 | Entropy methods in combinatorics
[NO] 18/1848 | Occluded Oculus: Operationalizing Stylistic Obscurement
[NO] 19/1848 | Accuracy potential of visual localization exploiting high-end street-level imagery
[NO] 20/1848 | proxymate: Diagnosis and Adjustment of Proxy Estimates for Reliable Inference
[NO] 21/1848 | Local Well-Posedness for Vlasov--Poisson with $L^{d+}$ Initial Density and Fractional Velocity Regularity
[NO] 22/1848 | DeepNC: A Fast GNN-based Pre-Verification Surrogate for TSN Configuration
[NO] 23/1848 | Regulating for AI Legitimacy
[NO] 24/1848 | Electron Hydrodynamics and Bernoulli Effect in Venturi-Shaped 2D Systems
[NO] 25/1848 | Reminiscences about Hans Capel
[NO] 26/1848 | Anomalous Localization in Magnetically Doped Two-Dimensional Topological Insulators
[NO] 27/1848 | MobiWave: Dispatch-Oriented Graph Wavelets and Drift-Guided Selective Optimization for Autonomous Fleet Rebalancing
[NO] 28/1848 | A De Rham Perspective on the Symplectic Geometry of Teichmüller Space
[NO] 29/1848 | A logistic equation with non-local operators of order near zero
[NO] 30/1848 | DeepFaith: Evidence-Grounded LLMs for Faithful Incident Reporting in Multi-Stage APT Defense
[NO] 31/1848 | Perturbative-NeuSA: A Structured Spectral Framework for Time-Dependent PDEs
[NO] 32/1848 | Hybrid-parity sliding multiferroics
[NO] 33/1848 | Cross-Attention Calibrated Deduplication for Retrieval-Augmented Generation System
[NO] 34/1848 | The role of nestedness and saturating feedback in bipartite ecological systems
[NO] 35/1848 | Fifth-order finite volume derivative-based Hermite WENO scheme with unified stencils for hyperbolic conservation laws
[NO] 36/1848 | A note on the motion representation and configuration update in time stepping schemes for the constrained rigid body
[NO] 37/1848 | Studying the tensor resonance contributions in $B \to PP\ell^+\ell^-$ and $B \to PV\ell^+\ell^-$ decays
[NO] 38/1848 | Rethinking the Generation Order of Block Diffusion Language Models
[NO] 39/1848 | PAC-DP: PAC-Bayesian Diffusion Policy Learning
[NO] 40/1848 | Local Fréchet Regression with Riemannian Predictors
[NO] 41/1848 | Local luminosity functions of galaxies at (sub)millimeter wavelengths from Planck surveys
[NO] 42/1848 | Superpixel-Based QUBO for Scalable Quantum-Enhanced Medical Image Segmentation
[NO] 43/1848 | Effect of wind on prey-predator dynamics with group defense and additional food strategy
[NO] 44/1848 | Steady base states in a two-dimensional chiral fluid. The chiral Stokes cavity
[NO] 45/1848 | Modified Mukhanov-Sasaki equation and primordial perturbations in $κ$-deformed non-commutative space-time
[NO] 46/1848 | A Computational Ethical Framework for Financial Digital Phenotyping for Mental Health
[NO] 47/1848 | Dynamic sampling of non-stationary spontaneous activity in dissociated neuronal networks
[NO] 48/1848 | Dynamical Quarks in the Ensemble of Center Vortices with Monopole Defects: Color Confinement Beyond External Probes
[NO] 49/1848 | Systematic Experiment Tracking in Quantum Software: A Case Study of Reservoir Computing with Error Mitigation
[NO] 50/1848 | Effects of temperature-dependent optical properties on the determination of interstellar dust masses
[NO] 51/1848 | The mathematical theory of photomultiplier tube calibration
[NO] 52/1848 | HydroAgent: Formalizing Forecaster Expertise into Skill-Orchestrated Flood Forecasting Workflows
[NO] 53/1848 | FlowLog: Re-thinking Datalog for Fast and Extensible Static Analysis
[NO] 54/1848 | Grokking on the Weight-Decay Clock: A Rate Hierarchy from Softly Broken Symmetries
[NO] 55/1848 | The Pull of Stasis: A Study of the Dynamics of the Thermal Stasis Attractor
[NO] 56/1848 | RODR: Riemannian Orthogonally Decoupled Regularization for Disentangled Manifold Representation
[NO] 57/1848 | Modeling Stylistic Co-evolution in Symbolic Music Heritage Collections
[NO] 58/1848 | Localized frames on Euclidean balls
[NO] 59/1848 | DICA: Dual-Indicator Guided Contrastive Alignment in Multimodal Large Language Models
[NO] 60/1848 | From Cognitive Architectures to Language Agents: A Mechanism-Level Review of Lineage, Convergence, and Migration Gaps
[NO] 61/1848 | Non-Centrosymmetric $γ$-Phase GaS Nanobelts for On-Chip Nonlinear Photonic Applications
[NO] 62/1848 | A Sustainable Remote Access Architecture for Digital Inclusion through the Reuse of Discredited TV-BOX Devices
[NO] 63/1848 | SpecBox: Speculative Sandbox Scheduling for Efficient LLM Agent Serving
[NO] 64/1848 | A note on matchings and co-matchings in bipartite graphs
[NO] 65/1848 | The Gold Partition Conjecture Holds through Fourteen Elements
[NO] 66/1848 | Weak stability and random mean-field limit of the phase-spatially extended kinetic Cucker-Smale model
[NO] 67/1848 | Expected number density of critical points of smooth Gaussian random fields in arbitrary dimensions
[NO] 68/1848 | Make or Take: How Students Navigate Self-Created and Instructor-Provided Cheat Sheets
[NO] 69/1848 | Classical simulation and model concentration in passive linear optics
[NO] 70/1848 | Exponentially Many Circuit Double Covers
[NO] 71/1848 | ERUnderstand: Evaluating Vision-Language Models on Structured ER Diagrams
[NO] 72/1848 | SADe: Sparse-Atom Support Decontamination for Few-Shot Segmentation with Weak Support Annotations
[NO] 73/1848 | Derangetropy Operators
[NO] 74/1848 | Diagonal dimension and intermediate sub-C*-algebras
[NO] 75/1848 | A computer-assisted proof of Kuperberg's six-cylinder conjecture
[NO] 76/1848 | Fluctuation theorems for autonomous work in the quantum regime
[NO] 77/1848 | Two-neutrino double-weak decays of $^{126}$Xe and $^{134}$Xe from different many-body methods
[NO] 78/1848 | Electromagnetic structure of charged and neutral strange vector mesons
[NO] 79/1848 | On the problem of large gcd for disjoint residue classes
[NO] 80/1848 | Majority Dynamics on Assortative Sparse Stochastic Block Models
[NO] 81/1848 | Reason-Mediated Behavioral Models for Auditing LLM Social Simulators
[NO] 82/1848 | Current References for Minimum Copper Loss and Torque Ripple in the Full Torque-Speed Range for Symmetrical Six-Phase PMSMs With Nonsinusoidal Back-EMF Under an Open-Phase Fault
[NO] 83/1848 | Universal Statistics of Energy and Information Flow in Random Electromagnetic Fields
[NO] 84/1848 | Development of a Handheld Actuation Mechanism for a Tendon-driven Robotically Steered Guidewire
[NO] 85/1848 | Polynomial-time $(k+ε)$-approximation for $k$-coloured Non-crossing Euclidean TSP
[NO] 86/1848 | Enclosing a Compact Set in an O-minimal Expansion of $(\mathbb{R},+,\cdot,0,1 <)$
[NO] 87/1848 | Extreme outbreaks in non-Markovian epidemics on complex networks
[NO] 88/1848 | Evaluating the Impact of Explainable AI on Trust in AI-Assisted Code Review
[NO] 89/1848 | Fixed-time stabilization of systems with nilpotent matrices in the presence of large unknown delays
[NO] 90/1848 | D-Score: A Spectral Hidden-State Signal for Hallucination Detection in Large Language Models
[NO] 91/1848 | From Data to Device: ELMOD An Efficient German-First 2.7B Language Model for Mobile Inference
[NO] 92/1848 | CADER: Confidence-Aware Dynamic Evidence Reasoning for Long-Video Understanding
[NO] 93/1848 | Tikhonov-Regularized Physics-Informed Neural Networks for Terminal-State Distributed Optimal Control of Parabolic Partial Differential Equations
[NO] 94/1848 | The Wide-field Spectroscopic Telescope (WST): design trade-offs for the low-resolution multi-object spectrograph instrument
[NO] 95/1848 | The K-SCAN Clustering Algorithm
[NO] 96/1848 | Using Subproblem Objective Gaps in Inexact Augmented Lagrangian and ADMM Algorithms, with Applications to Stochastic Mixed Integer Programming
[NO] 97/1848 | From Machine Learning to Large-Scale EO Products: Best Practices for Making Maps
[NO] 98/1848 | R-process nucleosynthesis from magnetar giant flares in neutron star--white dwarf mergers: A unified picture for peculiar long gamma-ray bursts
[NO] 99/1848 | A turning point principle for liquid Lane-Emden stars
[NO] 100/1848 | On Feige's conjecture
[NO] 101/1848 | A Curve-Reference Exponential Integrator for Three-Dimensional Charged-Particle Dynamics under a Strong Nonconstant Magnetic Field
[NO] 102/1848 | Low-Rank Dependence Decomposition via Accelerated Symmetric Non-negative Matrix Factorization
[NO] 103/1848 | Umulsai: A Plain-Text Format and In-Browser Engraving System for Jeongganbo, Korean Mensural Notation
[NO] 104/1848 | Algorithms for Equilibria in Concurrent Stopping Games
[NO] 105/1848 | Every Client Is an Environment: Federated De-confounding for Spatio-Temporal Forecasting
[NO] 106/1848 | Effect of User-Prompted Priors on Semi-Automated Cancer Lesion Segmentation in Whole-Body Computed Tomography
[NO] 107/1848 | MADHAT: A Sensor Prototype for the ALICE 3 Outer Tracker
[NO] 108/1848 | Analytics for the Optimization of the Soybean Oil Purification Process
[NO] 109/1848 | Knapsack Secretary is not $1/e$-Competitive
[NO] 110/1848 | On non-monotonicity of logarithmic energy for random matrices
[NO] 111/1848 | Dynamic hysteresis in an autocatalytic reaction network
[NO] 112/1848 | Agent-UCT: Upper Confidence Bounds Applied to Trees for Agentic Workflow Optimization with Cost-Awareness
[NO] 113/1848 | Calibrated Tree-Neural Fusion for Fine-Grained Vegetation Community Classification
[NO] 114/1848 | Approximation of stochastic insurer balance-sheet results using signatures of economic scenarios
[NO] 115/1848 | A Motion-Aware Vector Quantization Framework with Centroid Reuse for Efficient VLA Inference
[NO] 116/1848 | Nerve-type and invariance theorems for asymptotic dimension
[NO] 117/1848 | Image Inpainting via Stochastic Dynamics
[NO] 118/1848 | Randomized Krylov-Projected Iterated Tikhonov Regularization for Large-Scale Ill-posed Problems Under A Posteriori Stopping Rule
[NO] 119/1848 | BioSentinel at EXIST 2026: Soft-Label Optimization with XLM-RoBERTa for Sexism Intent Classification in Memes
[NO] 120/1848 | Landauer's Principle as a Criterion for Thermodynamic Consistency in Generalized Black Hole Entropies
[NO] 121/1848 | Grading the Narrators: An Isnad-Rijal Framework for Claim-Level Provenance in Multi-Agent Knowledge Systems
[NO] 122/1848 | On Representations of Weyl Groups attached to Spherical Varieties
[NO] 123/1848 | Architecture-agnostic analysis of partially coherent light with programmable photonics
[NO] 124/1848 | Existence of generalized bent functions in the exceptional $q\equiv2\pmod4$, odd-dimensional case
[NO] 125/1848 | LU-500: A Logo Benchmark for Concept Unlearning
[NO] 126/1848 | Thermodynamics with thermodynamic variable first-passage time. II. Dynamics of explosive boiling of superheated liquid, critical indices, fractional calculus
[NO] 127/1848 | Cascade Forgery Mining Network for Fingerprint Presentation Attack Detection
[NO] 128/1848 | Nonparametric Drift Estimation for Multidimensional Stochastic Differential Equations under Censoring
[NO] 129/1848 | A convergent Scharfetter-Gummel scheme for a three-species drift-diffusion model for memristors
[NO] 130/1848 | Recrystallisation phenomena in an ultrafine-grained Al-Mg-Si alloy revealed by correlative in situ EBSD and TEM heating
[NO] 131/1848 | Towards High-Level Semantic Intelligence
[NO] 132/1848 | Thermodynamics with thermodynamic variable first-passage time. I. From stochastic trajectories to nonlinear transport equations
[NO] 133/1848 | Non-classical photon statistics in frequency-modulated double quantum dot cavity systems
[NO] 134/1848 | The Cost of Knowing: A Resource-Aware Protocol for Benchmarking Hallucination Beyond Static Leaderboards
[NO] 135/1848 | Capacity-Aware Deep Learning for Generalizable Traffic Volume Estimation Across Links and Cities
[NO] 136/1848 | Marginal Data Augmentation for Efficient Bayesian Modeling of Counts and Rates with a Demographic Application
[NO] 137/1848 | On a free boundary problem of the Boltzmann equation
[NO] 138/1848 | A Unified Stereo Geometry Estimation Framework for Disparity and Surface Normal
[NO] 139/1848 | Structural Loss Metrics for Tensor Approximation via Matrix Low-Rank Approximation
[NO] 140/1848 | Low-light Image Enhancement via Multi-scale Attention combined with Fourier Transform
[NO] 141/1848 | Anyon Condensation In Symmetry-Enriched Topological Phases: $G$-Grading of Multifusion Categories
[NO] 142/1848 | Non-kinetic homotopy coherent actions on four-manifolds
[NO] 143/1848 | Diffusion Bootstrap for High-Dimensional Linear Models
[NO] 144/1848 | Smooth Learning with Hard Constraints via Legendre-Regularized Policies
[NO] 145/1848 | Learning Distributions from Multiple Data Providers
[NO] 146/1848 | JWST/NIRCam Imaging of Young Stellar Objects. IV. Detailed Imaging of the Protoplanetary Disk around TW Hya
[NO] 147/1848 | Infinitely Many Components in Auslander--Reiten Quivers of Representation-Infinite Algebras over Perfect Fields
[NO] 148/1848 | Simple modules for affine nilCoxeter algebras
[NO] 149/1848 | Long-time Stability and Convergence of Particle Swarm Optimization
[NO] 150/1848 | Maximum independent queen set on polyominoes is NP-complete
[NO] 151/1848 | Colored Markov-Modulated Brownian Motion for Preemptive Workload Stacks
[NO] 152/1848 | Stacking the Deck: Tunable Trainability in Stacked LCUs
[NO] 153/1848 | Sparse Autoencoders Encode Both Concepts and Functions: The Downstream Geometry of Feature Effects
[NO] 154/1848 | Spectral aspects of random heavy-tailed tensors
[NO] 155/1848 | The Degree of Strategy-Proofness for Risk-Averse Committee Selection
[NO] 156/1848 | BettiSplit: Topology-Guided Privacy-Aware Split Learning Against Feature Inversion and Gradient Leakage
[NO] 157/1848 | Robust Interpretation of Historical Documents in Knowledge Graphs Through Query Inference and Execution
[NO] 158/1848 | Cosmic ray heating of cold streams: Implications for the gas supply and growth of massive galaxies
[NO] 159/1848 | On the Recognition of Outerplanar Graphs with Queue Number 1
[NO] 160/1848 | Generative Artificial Intelligence (GenAI) to convert images of queuing networks into verifiable simulation models: an open-weight LLM workflow approach
[NO] 161/1848 | Subreflexive Logic: Completeness without Identity
[NO] 162/1848 | Modeling Local Exploit Hazard - A Bayesian Framework for Quantifying Exploit Risk and Operational Efficiency
[NO] 163/1848 | Implementation and verification of the avalanche source in a 3D full-f particle-in-cell model of relativistic electrons for studies of tokamak disruptions
[NO] 164/1848 | The SpiNNaker2 chip: a many-core platform for flexible and scalable brain-inspired computing
[NO] 165/1848 | ML-based Predictive Models for Power Consumption in Virtualised O-RANs
[NO] 166/1848 | High-order quantum correlations in nonlinear waveguide quantum electrodynamics
[NO] 167/1848 | On Capturing the Narrative: Social Media Manipulation Wargaming for Cyberliteracy
[NO] 168/1848 | DeComp2: Description Complexity aware Decomposition
[NO] 169/1848 | Co-planning of Flight Corridors and Communication Infrastructure for Urban Drone Logistics Networks
[NO] 170/1848 | Mutual Modality Trust with Lightweight Reconstruction Regularization for Fine-grained Tire Pattern Recognition
[NO] 171/1848 | Plato-Bio: verification-first biological novelty screening with temporal rediscovery and structural benchmarks
[NO] 172/1848 | Testing Statistical Isotropy on the Sphere with Minkowski Tensors
[NO] 173/1848 | Understanding Machine Unlearning Through the Lens of Mode Connectivity
[NO] 174/1848 | A note on zero-sum Ramsey numbers of complete graphs
[NO] 175/1848 | Strategies for quantum-enabled Bitcoin miners
[NO] 176/1848 | Reverse-Time Diffusion Processes for Discrete Time Linear and Nonlinear Systems with non-Gaussian Noise
[NO] 177/1848 | Precision measurements of semleptonic decays $D^0 \to π^-\ell^+ν_\ell$ and $D^+ \to π^0\ell^+ν_\ell$ ($\ell =e,μ$)
[NO] 178/1848 | Electromagnetic form factors of singly charmed baryons $Σ_c$ and $Λ_c$ in a covariant quark-diquark model
[NO] 179/1848 | Variational Boosting for Physics-Informed Neural Networks
[NO] 180/1848 | The automorphism groups of random linear codes
[NO] 181/1848 | State-dependent error correlations shape voting thresholds in committees of AI agents
[NO] 182/1848 | DuoAD: Leveraging [CLS] Dual Characteristics for Training-Free Few-Shot Anomaly Detection
[NO] 183/1848 | DDVT: Dynamic Dual-level Vision Transformer Fusion Network for Answer Grounding in Visual Question Answering
[NO] 184/1848 | A sharp Randić bound for König--Egerváry graphs and a conjecture of Aouchiche, Hansen, and Zheng
[NO] 185/1848 | Gaze-to-text Generation: Beyond Categorical Decoding of Human Attention
[NO] 186/1848 | Recursive Governance: A Graph-Theoretic Framework for Risk Propagation and Drift Detection in Agentic AI Systems
[NO] 187/1848 | WorldDiT: A Unified Diffusion Architecture for World and Action Modeling
[NO] 188/1848 | KernelScript: Cross-Boundary Typed DSL for eBPF Applications
[NO] 189/1848 | Construction of an Inducible TBCE Overexpression System to Probe Tubulin Cofactor-Mediated Microtubule Homeostasis
[NO] 190/1848 | Data Pyramid for Embodied Manipulation
[NO] 191/1848 | Measuring Cosmic Neutrino Masses Independently of Dark Energy
[NO] 192/1848 | Area-minimizing submanifolds are not generically smooth, except for geodesics, minimal surfaces, and minimal hypersurfaces
[NO] 193/1848 | Gravitational waves from super-Hubble bubbles
[NO] 194/1848 | Beyond-eikonal diffraction integral in gravitational lensing
[NO] 195/1848 | The Physics of Multi-Turn Long-Horizon Planning: From Pre-training to Post-training via Single- and Multi-Teacher On-Policy Agentic Distillation
[NO] 196/1848 | Controlled theories, categorification, and homotopification
[NO] 197/1848 | Modest Algorithmic Mediation can Maximize Topical Diversity in Hybrid Human-AI Systems
[NO] 198/1848 | When galaxies cross cold fronts: wind tunnel simulations of ram pressure stripping
[NO] 199/1848 | Fusion Systems on Sylow $3$-subgroups of Fischer and Monster sporadic groups -- II
[NO] 200/1848 | The Operational Resistance of Neutrinos: Epistemic Maturity vs. Technological Utility
[NO] 201/1848 | Exact Minimum Distance of the Ding--Li--Xia Cyclic Codes
[NO] 202/1848 | Quantum-Limited Symbol-Blind Channel Estimation for Coherent State Discrimination
[NO] 203/1848 | Krylov complexity and spectral density of BMN matrix model
[NO] 204/1848 | A Modified Moving Reference Frame Method for Propeller Resolution
[NO] 205/1848 | A General Model of Interfacial Chemical Equilibrium in Phase-Field Method
[NO] 206/1848 | Control of morphology and topology in a lattice model of branching morphogenesis
[NO] 207/1848 | Interaction fingerprints in temperature-fluctuation cumulants from the QCD crossover to nuclear liquid-gas criticality
[NO] 208/1848 | Global analyses of helicity-dependent parton distribution functions
[NO] 209/1848 | Latency Decoupling in Low-Feedback Multi-User Networks via Overhearing-Driven NOMA
[NO] 210/1848 | One Graph, Multiple Gains: Single High-Quality Item-Item Graph for Multimodal Recommendation
[NO] 211/1848 | Verification-Conditioned Use: A Qualitative Study on How Generative AI Reshapes Learning, Autonomy, and Market Entry for Junior Software Developers
[NO] 212/1848 | Looping Is Not Reliability: State-Bound Evidence and Typed Revision Contracts for Agentic Code Repair
[NO] 213/1848 | PIVOT: Efficient Query-Group Indexing for Token-Level Sparse Attention
[NO] 214/1848 | CameraAnything: Refilming Videos with Arbitrary Camera Control
[NO] 215/1848 | SIREN: Towards End-to-End Extreme-Weather Early Warning with Experience-Grounded LLM Agents
[NO] 216/1848 | First constraints on the nonperturbative gluon Collins-Soper kernel
[NO] 217/1848 | A Quantitative Framework for Comparing Classical and Quantum Algorithms for the Traveling Salesman Problem
[NO] 218/1848 | Constraining young massive cluster properties with radio-continuum observations: The Arches cluster
[NO] 219/1848 | Variance for Estimation and Prediction in Linear Mixed Effects Models Under MAR
[NO] 220/1848 | Proceedings of The First Reflection in Creative Experience (RiCE) Workshop
[NO] 221/1848 | DeCoRAG: Cognitive Decoupling and Semantic-Aware Cropping for Complex Document Understanding
[NO] 222/1848 | LLM-Assisted Ontology Engineering and Construction of a French Legal Knowledge Graph
[NO] 223/1848 | Shack-Hartmann wavefront sensor slope measurement algorithm robust to scintillation and sensor saturation
[NO] 224/1848 | Fast Insertion for Bucketized Cuckoo Hashing
[NO] 225/1848 | Magnetic anisotropy in the near-stoichiometric van der Waals ferromagnet Fe$_3$GeTe$_2$
[NO] 226/1848 | Task-Conditional Faithfulness Auditing of Multimodal LLMs for Grid Diagnosis
[NO] 227/1848 | DecoupleMix: Decoupled Ratio Search and Convex Allocation for Scalable VLM Data Recipes
[NO] 228/1848 | Physics Transformer: Tailoring Transformer for General PDE Prediction
[NO] 229/1848 | Serrodyne Matterwave Optics
[NO] 230/1848 | Identification of unresolved binaries in the VVV b294 tile: A Pro-Am collaboration using the Virtual Observatory
[NO] 231/1848 | A Smooth Explicit Elastoplastic--Damage Update for Graphics Simulation
[NO] 232/1848 | Classifying Capabilities (Extended Version)
[NO] 233/1848 | Self-Attention Dynamics with Rotary Position Embeddings: Twisted States and Explicit Consensus Rates on the Sphere
[NO] 234/1848 | Conic reach and polynomial parallel volume in the plane
[NO] 235/1848 | Distributed Coordination for Resilient Multi-UAV Remote Sensing: A Photovoltaic Inspection Case Study
[NO] 236/1848 | The beamformed trigger of RNO-G: its design and in-field performance
[NO] 237/1848 | Rethinking Expert Training for Model Merging with Prompt Learning
[NO] 238/1848 | Spectral Turán problems for suspensions of balanced trees
[NO] 239/1848 | From Execution to Capability: Scientific Experience Consolidation via Procedural Knowledge Synthesis
[NO] 240/1848 | Exceptional Cones from an Indefinite Bogoliubov Metric in Hyperbolic Polariton Condensates
[NO] 241/1848 | Simply branched covers of curves and wild conductor exponents
[NO] 242/1848 | Testing edge chirality with a three-path fractional quantum Hall interferometer
[NO] 243/1848 | Kinetic and H-atom product study of the C + C6H6 reaction at low temperatures
[NO] 244/1848 | Frequency-Based Reservoir computing
[NO] 245/1848 | Failures Reveal What Metrics Miss: An Evidence-Driven Agent for Recursive Refinement of ECG Classifiers
[NO] 246/1848 | CORE: A Unified Cascaded Ordinal Relevance Estimation Framework for E-commerce Search
[NO] 247/1848 | Decentralised Consensus Learning Networks: SME Rotation Without Centralised Reward
[NO] 248/1848 | A simultaneous extension of Ramsey, Hindman, and Hales-Jewett Theorems
[NO] 249/1848 | Constraining the $z \approx 1$ neutral hydrogen (HI) distribution
[NO] 250/1848 | The Fundamental Structure of Risk: From Characteristics to Covariance
[NO] 251/1848 | Wavelength-diverse transmission for turbulence-resistant free-space optical communication
[NO] 252/1848 | GenSplatCodec: Feed-Forward Gaussian Splatting Compression via One-Step Diffusion
[NO] 253/1848 | CogRec: Structure-Cognitive Fast-and-Slow Reasoning for Generative Recommendation
[NO] 254/1848 | Multivariate Time Series Forecasting with Adaptive Non-Local Observables
[NO] 255/1848 | A Detailed Spectroscopic Study of the WN6ha + O5 Colliding-wind Binary WR 25
[NO] 256/1848 | How to Disrupt a Market
[NO] 257/1848 | Locally Robust Kernel Specification Tests for Conditional Moment Restrictions
[NO] 258/1848 | Stacked Intelligent Metasurfaces Assisted UAV Communications
[NO] 259/1848 | Closed-Loop Validation-Repair for Healthcare Interoperability: A Multi-Model Study of Schema Compliance in Clinical LLMs
[NO] 260/1848 | Modeling Duelling Contagions of True and False Information in the Face of Inherent Individual biases
[NO] 261/1848 | Coarsening-adjusted estimators for finite-population indicators
[NO] 262/1848 | Cyclic codes and cyclically covering subspaces
[NO] 263/1848 | Blow up and Concentration without Quantization: sharp Harnack type inequalities
[NO] 264/1848 | Simulating Tenant Responses to Energy Policy Interventions with Transaction-Cost-Aware LLM Age
[NO] 265/1848 | Unsupervised Graph Representation Learning with Complementary View Alignment
[NO] 266/1848 | Unequal Trips, Unequal Places: Diagnosing and Mitigating Delay Inequity in Autonomous Vehicle Fleet Coordination
[NO] 267/1848 | Stochastic phase separation driven by transport noise
[NO] 268/1848 | Revisiting Vocos: That Phasiness Business in Time-Frequency Neural Vocoding
[NO] 269/1848 | Domain-Decomposition Neural Surrogates for Scalable Decentralized Ensemble Kalman Filter Based Parameter Identification in High-Dimensional Stochastic PDEs
[NO] 270/1848 | UMI3D: Robust 3D Generation on Unconstrained Multi-Image Inputs via Simultaneous Focus Cross-Attention Routing
[NO] 271/1848 | Learning Adaptive Multi-Task Guidance, Navigation, and Control via Hypernetworks
[NO] 272/1848 | The $L_1$-Discrepancy with Nonnegative Weights Suffers from the Curse of Dimensionality
[NO] 273/1848 | INS-ActBench: A Comprehensive Benchmark for Assessing Professional Actuarial Capability of Large Language Models
[NO] 274/1848 | FeelWorld: Visuo-Tactile World Model for Hierarchical Contact Prediction and Planning
[NO] 275/1848 | Spatial resolution for gamma ray interactions in stacks of monolithic silicon sensors
[NO] 276/1848 | Signs of Square-Free Fourier Coefficients of Half-Integral weight cusp forms and the Congruent Number Problem
[NO] 277/1848 | Exact Analytical Phase Transitions, Horizon Bistability, and Thermodynamic State-Space Representation of Regular Hayward Black Holes
[NO] 278/1848 | Influence of a vertical-wall leading edge on bouncing and escape bubble rising regimes
[NO] 279/1848 | EEGForceFusion: Joint Tokenised-Continuous Representation Learning for Subject-Independent Grasp Force Decoding
[NO] 280/1848 | Scaling GUI Agents with Visual State Transitions
[NO] 281/1848 | Simultaneous estimation of relative phase and coherence in astronomical interferometry
[NO] 282/1848 | Consensus In Asynchrony: Strictly Formal
[NO] 283/1848 | ConAlign: Conditional Alignment Framework for Balancing Biased and Unbiased Recommendation
[NO] 284/1848 | Gravitational Lensing of Gravitational Waves: Towards a Higher-order Geometric-optics Approach
[NO] 285/1848 | Simulation-Free Bayesian Power and Sample Size Calculations for Bayes Factors in Single-Arm Phase II Trials with Binary Endpoints
[NO] 286/1848 | Towards simultaneous decoding of kinetic and kinematic movement parameters during grasp and lift task by noninvasive brain imaging
[NO] 287/1848 | On-Site Beam Calibration for RIS-Aided Positioning Systems
[NO] 288/1848 | Effective Parameters, Real Behavior: Renormalization for Robotics -- From Infinite Electron Mass to Sim-to-Real Gap
[NO] 289/1848 | Hausdorff type Time-Trace Observability for Airy Equations on the Line and Point Observability on the Torus
[NO] 290/1848 | Data-Driven Sequential Market Optimization for Front-of-the-Meter Battery Energy Storage Systems
[NO] 291/1848 | Recovering Assignments with One-Sided Noise
[NO] 292/1848 | Evidence for Azimuthally Anisotropic MgII Absorption around DESI Luminous Red Galaxies
[NO] 293/1848 | Dynamically enabled transition pathways in multistable systems
[NO] 294/1848 | Edge State Propagation Near Multiple and Singular Interfaces
