[2026-09-11 22:51:11] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-10
正在获取论文...
[arXiv] 2026-09-10 | Qubit-Qutrit Quantum Tomography of hadronic $Λφ$ and $ΛK^{\ast 0}$ systems
[NO] 185/2000 | New Evidence, Same Choice: Testing Physical Experiment Selection in Vision Language Models
[NO] 186/2000 | Sample-optimal learning of stabilizer states
[NO] 187/2000 | Strong Converse for Quantum Capacity via a Fully Quantum Blowing-Up Lemma
[NO] 188/2000 | Learning Quantum Matter through Attention in Complex Space
[NO] 189/2000 | Quantum-hardware spectral co-design framework for multifrequency Rydberg electrometry
[NO] 190/2000 | Fusion Estimation in Multi-sensor Systems for Data Packets with Disrupted Identities
[NO] 191/2000 | IndicTriMix: Developing Language Identification Datasets and Models for Tri-Language Code-Mixing
[NO] 192/2000 | "They don't care about this": A Systematic Study of TEE Build Reproducibility in the Wild
[NO] 193/2000 | Enabling Knowledge Graph Understanding at Scale with the EXplore Your Graphs ENgine (EXYGEN)
[NO] 194/2000 | Moduli spaces of geometric functorial field theories
[NO] 195/2000 | On the bounded-conductor finiteness conjecture in equal characteristic
[NO] 196/2000 | Cooperative Integer Programming Games: Core Stability and Optimal Coalition Structures
[NO] 197/2000 | Interacting Tomonaga-Lüttinger liquid with impurity for interaction constant $K = 1/2$: Thermopower investigation, entropy variation and heat capacity densities associated with thermoelectric particle transport
[NO] 198/2000 | PHAT: PHotonic Accelerator for TFHE
[NO] 199/2000 | Characterizing Job Power Elasticity for Power-Flexible AI Training
[NO] 200/2000 | Deep operator learning for efficient sampling from invariant measures of stochastic differential equations
[NO] 201/2000 | Lightweight LiDAR-Based Cone Detection Framework Using Random Forest for Formula Student Driverless
[NO] 202/2000 | Bar cohomology of links: beyond Milnor invariants
[NO] 203/2000 | Beyond Tweedie's Formula: Conditional Score Modeling for Empirical Bayes Inference
[NO] 204/2000 | ReconPlusGen: Injecting Reconstruction Prior into Multi-view 3D Generation through Noise Inversion and Modulation
[NO] 205/2000 | A Model-Centric DevOps Architecture for DEVS-Based Digital Twin Simulation Services
[NO] 206/2000 | Minimal null control time of some 1D linear hyperbolic balance laws with constant coefficients and properties of related kernel equations
[NO] 207/2000 | A $p$-adic monodromy theorem for curves
[NO] 208/2000 | Neumann-Neumann Waveform Relaxation Method for Hyperbolic PDE with Time Delay
[NO] 209/2000 | Ergodicity of dynamical systems without uniqueness of orbits
[NO] 210/2000 | Learning Realistic Athletic Sprinting Without Demonstrations
[NO] 211/2000 | RIDE: Relocalization-Informed Depth Estimation with 3D Gaussian Splatting
[NO] 212/2000 | Dynamics inside the attracting basins of some skew products
[NO] 213/2000 | Effective estimates for exponential sums with multiplicative coefficients
[NO] 214/2000 | UniRec: Cross-stage Multi-Task Fusion with Preference Alignment for Cascaded Recommender Systems
[NO] 215/2000 | Transdimensional quantum droplets in an optically trapped Bose mixture
[NO] 216/2000 | A prolonged plateau-to-tail transition in the Type II supernova SN2025abyc
[NO] 217/2000 | The Agent Incident Registry: Toward Preventing Repeated AI Agent Failures
[NO] 218/2000 | A substrate booster for P-type 2D ferromagnetic semiconductor
[NO] 219/2000 | Online Treasure Hunt in Vertex-Permuted Dynamic Rings
[NO] 220/2000 | On-chip squeezed light in the audio frequency band
[NO] 221/2000 | Janus Dipoles: Fundamentals, Realizations, and Emerging Applications
[NO] 222/2000 | Two-parameter continuous deformation of Starobinsky inflation as a bridge between Planck and ACT DESI data with $N_\star\in(50,60)$
[NO] 223/2000 | Exponential Pixelating Integral transform with dual fractal features for enhanced chest X-ray abnormality detection
[NO] 224/2000 | Erdős-Sós for digraphs
[NO] 225/2000 | Fractional DP-colorings of $d$-degenerate locally sparse graphs
[NO] 226/2000 | Experimental Design for Policy Choice
[NO] 227/2000 | Engineering Reliable Commit Gates for Agentic AI: Cost-Aware Verification Portfolios under Common-Mode Data Failures
[NO] 228/2000 | Global existence and time decay for a bipolar Euler-Poisson system with one pressureless and undamped fluid
[NO] 229/2000 | Particle-resolved pathways to energetic-ion formation in a fluctuating low-current hollow-cathode plume
[NO] 230/2000 | Measuring the Value of World-Model Updates: A Counterfactual Utility Protocol for Continual Adaptation
[NO] 231/2000 | Empirical Evaluation of Data Poisoning Attacks in Supervised Learning
[NO] 232/2000 | Testing Between the Test Cases: Proving End-to-End Steering in Conditions You Never Drove
[NO] 233/2000 | Robust Multimodal Sentiment Analysis with Incomplete Modalities via Semantic-aware Completeness based Reconstruction
[NO] 234/2000 | Full-window branch discovery and loss-selected EnKF continuation for data assimilation
[NO] 235/2000 | The Towers Were Standing: A Cause Decomposition of Cellular Outages During Hurricane Helene
[NO] 236/2000 | The Art of Closed-Formula Defaults: Search-Free Code Generation for Tensor Operators
[NO] 237/2000 | Distributed variational quantum computing with deterministic entanglement tuning
[NO] 238/2000 | Probing the Error-Mitigation Threshold with Matrix Product States
[NO] 239/2000 | Why we should condition denoising diffusion generative models on windows of past observations
[NO] 240/2000 | Stress-divergence, Laplacian, and rotational forms of the incompressible Navier--Stokes equations with variable viscosity
[NO] 241/2000 | Almost Linear Universal Point Sets for Planar Graphs
[NO] 242/2000 | Quantifying the Unintentional Islanding Risk: A Comparative Study on Active Distribution Network
[NO] 243/2000 | Maximal Center of Distances of Finite Ultrametric Spaces and Perfect Binary Trees
[NO] 244/2000 | Average Chord Lengths in a Triangle
[NO] 245/2000 | Scalable Approximate Selected Inversion Based on Single-Level Incomplete $LDL^T$ Factorization and Spectral Corrections for Large Sparse Systems
[NO] 246/2000 | R4Tun: LLM-guided adaptive segmental tunnel lining segmentation in point clouds
[NO] 247/2000 | On union-closed families with prescribed number of $k$-sets
[NO] 248/2000 | Fully Coupled Nonlinear Forward-Backward Stochastic Difference Equations: Spectral Contraction and Infinite-Horizon Maximum Principle
[NO] 249/2000 | Remarks on the shuffle elements of Iwahori--Hecke algebras
[NO] 250/2000 | Information-Theoretic Characterization of Macroscopic Chaos Emerging from the Chemical Master Equation
[NO] 251/2000 | The Semantic Elevation Operator and the Closure of the Undecidable Class under Preservation
[NO] 252/2000 | MultiHuSE: A Multimodal Dataset for Humour Styles and Emotions
[NO] 253/2000 | A global mobile network coverage raster product at 1km resolution, 1999--2030
[NO] 254/2000 | Mi-Ripple: Restoring Images Degraded by Iterative AI Editing
[NO] 255/2000 | Interface-Controlled Phase Stability in Polymorphic HfO$_2$ Revealed by Machine-Learning Atomistic Simulations
[NO] 256/2000 | Sharp sign criterion for global existence and blow-up of strong solutions with arbitrarily large initial data in the 3D spherically symmetric compressible Navier-Stokes equations
[NO] 257/2000 | Automatic Lyric Transcription for Greek Songs: Scaling and Task Composition Effects in Whisper Adaptation
[NO] 258/2000 | On AF- and type I-ideals in certain crossed product C$^\ast$-algebras
[NO] 259/2000 | Sequential Detection-Based Iterative Blind Separation for Single-Channel Co-Frequency Signals
[NO] 260/2000 | Few-Shot Learning for Network Intrusion Detection: Methods, Datasets, and Performance
[NO] 261/2000 | Minimax-Optimal Early Stopping for Continuous-Time SGD via the Discrepancy Principle
[NO] 262/2000 | Graviton vertex operators in the de Donder gauge and BRST descent
[NO] 263/2000 | Asymptotics for Bivariate Risk Models with Random-Size Clusters of Dependent Claims
[NO] 264/2000 | Relocating the SIMP Miracle in the Axion Portal
[NO] 265/2000 | AudioICL-Bench: A Benchmark for Large Audio Language Model In-Context Learning
[NO] 266/2000 | The Illusion of Balanced Multimodal Sentiment Analysis: Beyond the Limits of Optimization-Based Methods
[NO] 267/2000 | Assessing the Reusability of Public Speech Resources for Low-Resource Languages: A Central Kurdish Case Study
[NO] 268/2000 | Higgsino dark matter in the Starobinsky supergravity with the MSSM in light of the LUX-ZEPLIN event
[NO] 269/2000 | Polyhedral Geometry of Time-to-First-Spike Neural Networks
[NO] 270/2000 | Kinetics of ferritin crystal formation and melting in acoustically levitated droplets
[NO] 271/2000 | Optimal Covariate Adjustment beyond the Average Treatment Effect: Treated-Population and Overlap-Weighted Estimands
[NO] 272/2000 | Legible Failures: Detecting and Repairing In-Context Binding Errors
[NO] 273/2000 | Optimal chemo-immunotherapy scheduling: A hybrid QPSO-SQP approach with Michaelis-Menten pharmacodynamics
[NO] 274/2000 | Non-axisymmetric Transport of Magnetic Flux Tubes: A Mechanism for Joy's Law and Poloidal Field Generation via Meridional Flows
[NO] 275/2000 | CryptoL: Towards Scale Dominance and Physics Constraints Mitigation in Financial Multivariate Time Series Forecasting
[NO] 276/2000 | Viscosity and variational approaches in free boundary problems: A Volume in Honor of Sandro Salsa
[NO] 277/2000 | A Multi-View and Confusion-Guided Ensemble Framework for Robust Synthetic Image Attribution
[NO] 278/2000 | Trellis-Based Noise Modulation with Soft-Decision Viterbi Detection
[NO] 279/2000 | Beyond Visual Quality: Evaluating Physical Consistency under Ego-Motion with EgoGenEval
[NO] 280/2000 | The kinematic structures and the inertial geometry of a moving charge
[NO] 281/2000 | Finite-blockade dynamics of a three-qubit ccz gate in neutral-atom arrays
[NO] 282/2000 | UniH$^3$: Unifying Hierarchical Homogeneity and Heterogeneity for All-in-One Medical Image Restoration
[NO] 283/2000 | ZipCodec: Ultra-Low-Frame-Rate Streaming Speech Coding
[NO] 284/2000 | Phase-Controlled Majorana Zero Modes in Altermagnetic Topological-Insulator Josephson Junctions
[NO] 285/2000 | Surface gravity wave-mean flow interaction with comparable spatial scales. Part II: two-way coupling and wave-wave interactions
[NO] 286/2000 | Projected Sensitivity to Slow Muonphilic Dark Matter with Accelerator Muon Beams
[NO] 287/2000 | Who Bears the Risk When Generative AI Enters Transport? A Distributional Sociotechnical Audit of Algorithmic Equity, Synthetic-Data Validity, and Public Trust
[NO] 288/2000 | Probing the details of relativistic electrons with multifrequency observations of M87 black hole
[NO] 289/2000 | Breaking Water at Graphene Defects
[NO] 290/2000 | The MICADO first light imager for the ELT: the PSF Reconstruction Software
[NO] 291/2000 | Finite-time effects in periodically kicked systems
[NO] 292/2000 | Critic-Free Policy Iteration for Continuous-Time Zero-Sum Games: A Policy-Space Riccati Approach
[NO] 293/2000 | Evidence for CME--CME Interaction in a Magnetic-Cloud-Like Ejecta: Insights from Multipoint Observations and Polytropic Analysis
[NO] 294/2000 | CAP: Continuously Adaptive Perception-Blind Humanoid Locomotion via Learned Denoising
[NO] 295/2000 | A Complex Structure on A Rational Homology Six-Sphere with Two-Torsion
[NO] 296/2000 | Extended One-Liners for the Gamma, Poisson, and Binomial Distributions
[NO] 297/2000 | Particle GFlowNets: Rethinking Generative Marginalization Models
[NO] 298/2000 | Signatures of charged rotating regular black holes: quasinormal modes, grey-body factors and shadows
[NO] 299/2000 | Risk-Averse Decision Making with Multi-Level Reliability Guarantees
[NO] 300/2000 | UBone3D: Physics-Rectified Conditional Flow Matching for Anatomical 3D Shape Completion from Ultrasound
[NO] 301/2000 | Structural priors for data-efficient language learning
[NO] 302/2000 | Jacobians of BV homeomorphisms and their weak-* limits
[NO] 303/2000 | An Anisotropic Onsager Criterion for the Two-Dimensional Navier--Stokes Equations with Horizontal Viscosity
[NO] 304/2000 | Global Linear Convergence of the Proximal Bundle Method under Unknown Piecewise Smoothness and Quadratic Growth
[NO] 305/2000 | Pre- and Post-Treatment Brain Metastases Segmentation Using nnU-Net with Post-Processing for BraTS 2026
[NO] 306/2000 | Gelfand--Tsetlin bases for representations of $\mathrm U_{q}(\mathfrak{gl}_n)$ at roots of unity
[NO] 307/2000 | A Community-Developed Domain Ontology for Magnetic Materials
[NO] 308/2000 | The classification of flows on $\mathrm{II}_1$ factors and Connes' bicentralizer problem
[NO] 309/2000 | ReGround: Grounding Reviewer Comments in Multimodal Evidence
[NO] 310/2000 | Bottom-up Synthesis of Metastable 2D Hexagonal Copper(I) Iodide on Monolayer and within Bilayer Graphene
[NO] 311/2000 | Flexible and Interpretable Accent Distance Measurements
[NO] 312/2000 | Calibration-Aware Uncertainty Cascades for Efficient Heterogeneous Model Collaboration
[NO] 313/2000 | PH2T-splines, Part I: A Reasonable Mesh Assumption
[NO] 314/2000 | DiffSWE2d: a differentiable Shallow Water Equations solver for end-to-end flood and tsunami modelling
[NO] 315/2000 | Anisotropy of Ultrafast Strain in $V_2O_3$ Thin Films: Out-of-Equilibrium Phase Transitions under Interfacial Clamping
[NO] 316/2000 | SWRouter: Similarity-Contractive Window Routing for Multi-Turn Large Language Model Conversations
[NO] 317/2000 | Heterogeneous Cross-Chain Transaction Tracing for Solana Bridges via Candidate-Set Selective Decision
[NO] 318/2000 | Morphology-Aware Human Motion Retargeting for Wheeled-Humanoid Loco-Manipulation
[NO] 319/2000 | Benchmark Radar: A Living Database and Search Engine for AI Benchmarks and Evaluation
[NO] 320/2000 | IPv6 Hitlist Service: Lessons Learned From 10 Years of Operation
[NO] 321/2000 | KuaiRP Series Role-playing Models Technical Report
[NO] 322/2000 | A maximal function field of genus $17$ over $\mathbb{F}_{11^2}$
[NO] 323/2000 | Shorter proof of dimension-free $L^p$ estimates for maximal Riesz transforms
[NO] 324/2000 | Combinations of measurements that are simultaneous fits of parameters of interest and systematic uncertainties using the BLUE method
[NO] 325/2000 | Internal congruences modulo powers of $2$ for overpartition tuples with odd parts
[NO] 326/2000 | Acoustic Wave-Function Imaging of Sublattice Physics in a Kagome Lattice
[NO] 327/2000 | Multimodal Taxonomic Conditioning for Generative Plankton Imagery
[NO] 328/2000 | Unmanned Aerial Vehicle Propagation Channel over Vegetation and Lake Areas: First- and Second-Order Statistical Analysis
[NO] 329/2000 | Warrant Theory
[NO] 330/2000 | Cubic spectral cancellation and random geometric graph detection: a quadratic-kernel counterexample
[NO] 331/2000 | Autonomy, Social Norms, and Alignment: Towards a Developmental Framework for Autonomous Artificial Agents
[NO] 332/2000 | The Schrödinger-Klein-Gordon System Revisited
[NO] 333/2000 | Quantitative Asymptotics for Time-Inhomogeneous Lévy-Driven SDEs with Asymptotically Vanishing Drifts
[NO] 334/2000 | Learnware and AI Model Management System
[NO] 335/2000 | A Thorpe Trick for the Bochner Technique
[NO] 336/2000 | Elementwise Positivity of the Solution to Lyapunov Equation for Hurwitz Companion Matrices
[NO] 337/2000 | Landau-Ginzburg description of an exceptional ${\mathcal N}=1$ minimal model
[NO] 338/2000 | Effective Ionic Valence and Local Magnetic Moment in Kagome Superconductors
[NO] 339/2000 | Quantifying Symmetry Breaking
[NO] 340/2000 | EVPeriscope: Extended Perception across Aerial and Ground Vehicles with Event-based Propeller Tracking
[NO] 341/2000 | Can Edge-Deployable Vision-Language Models Identify Species?
[NO] 342/2000 | Generative Marketing Mix Modeling: A Causal Inference Framework Linking GEO and GEM to Business Impact
[NO] 343/2000 | Energy accreted onto a compact star
[NO] 344/2000 | Caption-once, Frames-on-Demand: Visual-Need Routing for Budget-Aware Agentic Long Video Understanding
[NO] 345/2000 | Mathematical inverse problem for the world data inference of the parton distribution functions of the proton
[NO] 346/2000 | Non-invertible Selection Rules from Generalized Discrete Gauging of Finite Non-Abelian Symmetries
[NO] 347/2000 | Improved Discrete Dual $p$-Hardy and Weighted Discrete $p$- Birman Inequalities
[NO] 348/2000 | The asymptotic in Waring's problem over function fields beyond twice the degree
[NO] 349/2000 | SI-Traceable Calibration and Performance Benchmarking of a Terahertz Photomixer Transmitter-Receiver System Using a Rydberg Atomic Sensor
[NO] 350/2000 | Domain-Specific Hallucination Detection in Large Language Models
[NO] 351/2000 | The Last AI Built by Humans: Toward Genuine Recursive Self-Improvement
[NO] 352/2000 | Augustinian BabyLM: What Ostensive Definition Can and Cannot Teach a Small Language Model
[NO] 353/2000 | Every subset of a topological Ramsey space is Ramsey in the Solovay model
[NO] 354/2000 | RetroThinker: Enabling Retrospective Thinking in Speech LLMs
[NO] 355/2000 | High-Temperature ferromagnetism from site-selective filling in (Fe,Ni)$_{6-δ}$GeTe$_2$
[NO] 356/2000 | From Parameters to Answers: How LLMs Retrieve and Use Their Internal Knowledge
[NO] 357/2000 | Regular hyperbolic tilings have no $\ell^2$ eigenfunctions
[NO] 358/2000 | Strong Consistency and Optimal Tracking of the Åström-Wittenmark Self-Tuning Regulator with Unknown Input Gain
[NO] 359/2000 | The Dyn-Atmo Survey: JWST/NIRSpec spectroscopy of dynamical benchmark GJ 758 B
[NO] 360/2000 | Integral Identities and Rigidity of Generalized $m$-Quasi-Einstein Manifolds
[NO] 361/2000 | Don't Trust the Super-App: A Case Study of Russia's Max
[NO] 362/2000 | Near-Optimal Reinforcement Learning with Multi-Step Transition Lookahead
[NO] 363/2000 | Understanding Operator Attitudes Toward AI-Supported Decision Making in Maritime Operations
[NO] 364/2000 | Small-Ball Marginals Do Not Control Restricted Eigenvalues by Euclidean Gaussian Width
[NO] 365/2000 | Constant Steps Are s-Composable: An Exact Interpolation Certificate for Gradient Descent
[NO] 366/2000 | Linear Codes over $\mathbb{F}_{q}+u\mathbb{F}_{q}$ associated with Simplicial Complexes, Their Gray Images, and Subfield Codes
[NO] 367/2000 | Relativistic Magnetohydrodynamics from Myers-Pospelov Lorentz-Violating Electrodynamics
[NO] 368/2000 | Component-Aware Differential Privacy for Federated Multilingual Speech-LLMs
[NO] 369/2000 | Fourier decay of Gaussian multiplicative chaos and boundary geometry
[NO] 370/2000 | Stochastic Gradient Methods with Online Scaling
[NO] 371/2000 | Precise bubble wall velocity in a specific phase transition pattern in the CxSM and beyond
[NO] 372/2000 | Experimental Plasma Density Profiles Determined Through Measurements of the Magnetosonic Wave Speed
[NO] 373/2000 | Reflex-Informed Neuromuscular Reinforcement Learning for Muscle-Driven Locomotion
[NO] 374/2000 | Braided Multisections and Symplectic Four-Manifolds with the Rational Cohomology of $S^2\times S^2$
[NO] 375/2000 | Continuous-Time Acoustic Modelling with Neural Controlled Differential Equations
[NO] 376/2000 | Revisiting Avatar-As-Image: High-Fidelity Registration is All You Need
[NO] 377/2000 | Mixed-integer optimization for multi-year military aircraft fleet management
[NO] 378/2000 | When Agents Disagree: Bayesian Backward Reasoning as a Label-Free Anchor for Multi-Agent Collective Decision-Making
[NO] 379/2000 | Language-Augmented Semantic Priors for B-Spline Surface Fitting
[NO] 380/2000 | Bigger than the EAR BOX: A Theory-Grounded Review of XR Accessibility Research for Deaf and Hard of Hearing Communities
[NO] 381/2000 | Aerodynamic Prior-Free Coordinated Trajectory Generation and Tracking Control for a Tail-Sitter UAV
[NO] 382/2000 | Stability and Area-Minimizing Property of Higher-Dimensional Helicoids
[NO] 383/2000 | Hierarchical Clustering Can Jointly Satisfy Richness, Consistency, and Scale Invariance
[NO] 384/2000 | Free-Probabilistic State Evolution and Random Matrix Discrepancy
[NO] 385/2000 | Rapid Learning of Dexterous In-Hand Pen Writing through Real-Time Jacobian Estimation
[NO] 386/2000 | A Second-Order Method for Locating Critical Points of Prescribed Index on Energy Landscapes
[NO] 387/2000 | Hyperspin Altermagnets
[NO] 388/2000 | Graded classification of Leavitt path algebras in terms of strong shift equivalence
[NO] 389/2000 | terms.txt: A Consent and Compensation Protocol for Agentic Web Access
[NO] 390/2000 | OmniTable: A Unified Wide-Table System for Petabyte-Scale LLM Data Curation and Exploration
[NO] 391/2000 | The Oligarch Barely Steers Model Collapse in Multi-Model Ecosystems
[NO] 392/2000 | The Computing Channel: How Modulation Programs the Airwaves
[NO] 393/2000 | Can LLMs Normalize Databases? A Benchmark and Multi-Agent Framework for Schema Normalization
[NO] 394/2000 | Quantifying the Reality Gap for RL-Based UAV Placement at mmWave and Sub-THz
[NO] 395/2000 | Dirichlet-Neumann Waveform Relaxation Method for Hyperbolic PDE with Time Delay in Multiple Subdomains
[NO] 396/2000 | A Novel Multi-fidelity Surrogate for Turbomachinery Design Optimization
[NO] 397/2000 | Recursive-Line Zarankiewicz Numbers with Four Columns
[NO] 398/2000 | Detecting one-dimensional bosonic SPT phases via twisted entropic order parameter
[NO] 399/2000 | ToxicRAG: Compromising Retrieval-Augmented Generation Systems via Single-Shot Knowledge Poisoning Attacks
[NO] 400/2000 | Less can be More: What Aspects of Speech Drive End-of-Turn Detection
[NO] 401/2000 | Polynomial preserving recoveries of edge element method on Cartesian grids for the time-harmonic Maxwell equations with large wave number
[NO] 402/2000 | Gait-Dependent Effects on Quadruped Locomotion for Load-Carrying using Passive Mechanism
[NO] 403/2000 | Uncovering the Origin of Slow Rotators among Intermediate-Mass Stars in the Star-Forming Cluster Trumpler 14
[NO] 404/2000 | A deterministic $(1+\varepsilon)^n$ approximation for the permanent of a nonnegative matrix
[NO] 405/2000 | LTLDiff: Finite Linear Temporal Logic-Guided Data Generation and Diffusion Policies for Multi-agent Robotic Manipulation
[NO] 406/2000 | Toward Interpretable Multimodal Fusion: Heat Conduction Modeling for Hyperspectral and LiDAR Joint Classification
[NO] 407/2000 | Slow Dynamics and the Geometry of Jammed Packings
[NO] 408/2000 | Engineered two-photon dissipative confinement of a Kerr-cat qubit using SISIS quantum circuit refrigerator
[NO] 409/2000 | Rebalancing Token Importance in Language Models with TF-IDF Weighted Cross-Entropy Loss
[NO] 410/2000 | Properties of the positive and negative parity charm-strange and bottom-strange mesons $D_s$, $D_s^*$, $D_{s0}^*$, $D_{s1}$, $B_s$, $B_s^*$, $B_{s0}^*$, $B_{s1}$ from lattice QCD: masses, decay constants, and compositeness
[NO] 411/2000 | K/V-Cache Interventions Dissociate Representation Alignment from Persona Expression in Decoder-Only Language Models
[NO] 412/2000 | In-plane magnetic field control of anomalous Hall response enabled by magnetic anisotropy engineering
[NO] 413/2000 | A Scale Invariance Property of PCA
[NO] 414/2000 | Discretization in covariate-adaptive randomization: gains and losses
[NO] 415/2000 | Axionic Wormholes in Metric-Affine Gravity
[NO] 416/2000 | DeFiFusion: Combining Transaction Events with Smart Contracts to Detect Price Manipulation Attacks
[NO] 417/2000 | Diarization Error Decomposition Under Pause Annotation Ambiguity
[NO] 418/2000 | The transfer of Artinian and Cohen-Macaulay properties under module-finite extensions
[NO] 419/2000 | Rethinking Verbalized Confidence for LLM-as-a-Judge: A Compatibility Shift on Post-2025 Proprietary Models
[NO] 420/2000 | U-Shaped Fermi-Level Dependence of Point-Defect Aggregation Enthalpy in Silicon
[NO] 421/2000 | Distribution-aware Language Neuron Identification in Multilingual Large Language Models
[NO] 422/2000 | Demystifying the Privacy-Utility Trade-off in LLM Interactions
[NO] 423/2000 | Classical Nova V1405 Cas Had $M_{\rm ejecta}$$>$$M_{\rm accreted}$ and so is Unlikely to be a Type Ia Supernova Progenitor
[NO] 424/2000 | Data Protection in Function-Correcting Symbol-Pair Codes: Redundancy Bounds and Protection Profiles
[NO] 425/2000 | Constraining spinning primordial black holes with interstellar dust heating
[NO] 426/2000 | A variational physics-informed graph neural network for heterogeneous solid mechanics
[NO] 427/2000 | EGGROLL, Unrolled: Understanding and Improving Low-Rank Evolution Strategies at Scale
[NO] 428/2000 | Measuring chiral phonons
[NO] 429/2000 | Fengshui: Demystifying Chiplet Ecosystem and Bespoke Neural Network Accelerator Codesign
[NO] 430/2000 | Decoupling Readiness from Release for Tail-Aware Scheduling of Agentic LLM Workflows
[NO] 431/2000 | Production of Light Nuclei and Hypernuclei in Heavy-Ion Collisions
[NO] 432/2000 | LLMVul: A Vulnerability-Labeled Dataset of LLM-Generated C/C++ Functions from Real Production Repositories
[NO] 433/2000 | On Diagrammatic Categorification of Verma Modules I: Braiding
[NO] 434/2000 | Message-Level Scheduling for RLNC-Coded Multi-Source Traffic
[NO] 435/2000 | Using Semantic Uncertainty to Estimate Transition Relevance in Turn-taking
[NO] 436/2000 | Persistence and long-time breakdown of most probable paths under time-dependent fractional noise with applications to KAM tori
[NO] 437/2000 | Distinguishing a pseudoscalar from a vector $t\bar t$ resonance with top-quark spin correlations at the HL-LHC
[NO] 438/2000 | LoaDiff: Conditional Generation of Electricity Consumption Time Series for Energy Analytics
[NO] 439/2000 | Impact of Raman lasers beam profile inhomogeneities on a spaceborne quantum accelerometer
[NO] 440/2000 | Bounded vertical deviations and irrational circle factors in Dehn Twist classes
[NO] 441/2000 | Spectral complexes and currents on the Engel group
[NO] 442/2000 | Comparative Performance Analysis of OTFS and OFDM Modulations for Mobile Wireless Communications
[NO] 443/2000 | LangStreet: Persistent Language Fields for Anchor-Decoded Street Gaussians
[NO] 444/2000 | Multi-Threshold Sampling: Signal Space, Sampling Operators, and Crossing-Time Distributions
[NO] 445/2000 | Dynamical Clustering and its Limiting Differential Equations
[NO] 446/2000 | On asymptotic expansions of the density of states for Poisson distributed random Schrödinger operators
[NO] 447/2000 | Short-maturity skew stickiness ratio under local volatility
[NO] 448/2000 | Heterogeneously Integrated Efficient and Widely Tunable Lasers at 795 nm for Rubidium-Based Quantum Technologies
[NO] 449/2000 | Values of Absorbing Recursive Games Express All Real Algebraic Numbers
[NO] 450/2000 | Low inertia limit of elasto-inertial turbulence
[NO] 451/2000 | Quasi-static analysis of passive stability in a novel underactuated multi-finger hand
[NO] 452/2000 | Medvedev Logic is Not Decidable. It is π01 -complete. Who Would Have Guessed?
[NO] 453/2000 | Non-monotone direct-search methods for deterministic and stochastic derivative-free optimization
[NO] 454/2000 | A counterexample to an open problem of Dorff
[NO] 455/2000 | Accountability in Certificate Transparency and Variants
[NO] 456/2000 | Kriesell's conjecture for infinite graphs
[NO] 457/2000 | Generalized Score Matching for Parameter Estimation on Convex Domains
[NO] 458/2000 | Breaking the Central Bias: Spatially Partitioned Experts for Coordinate-Based Neuroevolution
[NO] 459/2000 | A sharp curvature lower bound for the first exterior p-harmonic Steklov eigenvalue
[NO] 460/2000 | Prototype Matters: Modality-unified Prototype Self-distillation for Unsupervised Visible-infrared Person Re-identification
[NO] 461/2000 | One-clean-qubit spectroscopy of simulated Kitaev chains
[YES] 462/2000 | Extending SMT Solving with Non-Ground Clause Learning
[NO] 463/2000 | Recursive Code World Models: Building Complex Worlds through Recursive Scene Programs
[NO] 464/2000 | ActMap: Single-Pass Uncertainty Quantification from Generation-Time Activation Maps
[NO] 465/2000 | Resonantly Scattered CIV Emission in Local Star-forming Galaxies: Radiative Transfer Constraints on High-ionization Gas in Reionization Analogs
[NO] 466/2000 | Fundamentals of Energy-Efficient Hardware Configurations for Wireless Links with Sleep Modes
[NO] 467/2000 | A proof of the Hodge universality conjecture at nonzero dispersion
[NO] 468/2000 | Parabolic-hyperbolic splitting in support propagation for stochastic porous media equations
[NO] 469/2000 | BruNet: A Cross-Domain Transfer Framework for Bruise Segmentation
[NO] 470/2000 | The homotopy types of directed path and trace spaces
[NO] 471/2000 | RouteRepair: Instance-Level Failure Diagnosis and Targeted Repair in LLM-Based Automated Heuristic Design for Routing Optimization
[NO] 472/2000 | Optimizing GEDI Simulator Configuration for European Temperate Forests
[NO] 473/2000 | Safety-aware Skill Adaptation for Reinforcement Learning in Dynamic Environments
[NO] 474/2000 | Asynchronous Replanning in Two Population Linear Quadratic Mean Field Games: Information Requirements and Stability
[NO] 475/2000 | Deep Learning-based Bug Triage System
[NO] 476/2000 | X-AuT: Progressive Audio-Encoder Compression for Speech LLMs with Cross-Scale Distillation
[NO] 477/2000 | Associated primes, witnesses, and omega invariants of monomial ideals
[NO] 478/2000 | The Quantum Composition Paradox
[NO] 479/2000 | Homogeneous Milnor fibers and Kato--Matsumoto bounds via simplicial multiwedges
[NO] 480/2000 | Microwave-controlled interactions and stripe formation of static-field-shielded polar molecules
[NO] 481/2000 | Modeling of plasma transport during edge-localized mode in tokamak using a kinetic Vlasov-Poisson code
[NO] 482/2000 | Beyond the Turing threshold: Productive grammars generate essentially undecidable languages
[NO] 483/2000 | Brain-PACE: A Deep Siamese MRI Framework for Modelling Longitudinal Brain Acceleration
[NO] 484/2000 | Vision Transformer-Based Multi-Level Feature Fusion for Multi-Label Sewer Defect Classification
[NO] 485/2000 | Emergence of a convex strange term via homogenization of non-local energies at the critical exponent
[NO] 486/2000 | Massless contraction of massive particles in the infinite boost limit
