[2026-06-04 11:55:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-03
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202606030000+TO+202606032359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-6-3 | IEEE Antennas and Wireless Propagation Letters Publication Information
[IEEE] 2026-6-3 | A phase correlation-based time series InSAR algorithm_supp1-3698781.docx
[IEEE] 2026-6-3 | A Sub-electron-noise Skipper-CCD Readout ASIC with Improved Channel-to-channel Isolation and an Integrated Cryogenic Voltage Reference
[IEEE] 2026-6-3 | Extraction of Cardiac Time Intervals from a Radar Kinetocardiogram for Continuous Blood Pressure Monitoring
[IEEE] 2026-6-3 | Machine Learning-Aided RF Circuit and Antenna Design: A Review on Emerging Trends and Techniques
[IEEE] 2026-6-3 | Front Cover
[IEEE] 2026-6-3 | Contrast-Free Ultrasound Microvascular Imaging via Radiality and Similarity Weighting
[IEEE] 2026-6-3 | Table of Contents
[IEEE] 2026-6-3 | Workshop
[IEEE] 2026-6-3 | Integrating LLMs and Digital Twins for Adaptive Multi-Robot Task Allocation in Construction_supp3-3697962.txt
[IEEE] 2026-6-3 | Towards Smarter Infrastructure: Integrating CS and AI-Driven Edge IoT Systems
[IEEE] 2026-6-3 | IEEE Industry Applications Society Information
[IEEE] 2026-6-3 | Low-Cost Screen-Printed Flexible Substrate-Integrated Nonradiative Dielectric Waveguide: A Proof of Concept
[IEEE] 2026-6-3 | Deep Reinforcement Learning Enabled Persistent Surveillance with Energy-Aware UAV-UGV Systems for Disaster Management Applications_supp1-3696943.mp4
[IEEE] 2026-6-3 | Adaptive Driving Waveform Optimization for Electroluminescent Textile Displays
[IEEE] 2026-6-3 | Multi-Vehicle Interaction and State-Aware Temporal Enhanced Graph Attention Network for Lane-Changing Intention Prediction
[IEEE] 2026-6-3 | Advancing Multi-Robot Task Allocation: A Comprehensive Review of Emerging Trends and Challenges
[IEEE] 2026-6-3 | Machine Learning Unveils System-Level Signatures of Integrated Motor&amp;#x2013;Non-Motor Dysfunction in Parkinson&amp;#x2019;s Disease during Telerehabilitation_supp3-3697696.docx
[IEEE] 2026-6-3 | Robust Peak Shaving in Residential PV–Battery Systems Using Forecast-Free Reinforcement Learning
[IEEE] 2026-6-3 | AraEduAgent: Arabic EduAgent Dataset for Peer-Attention Modeling in eLearning
[IEEE] 2026-6-3 | A Radix-2/4/8-based Pipelined NTT/INTT Architecture for Homomorphic Encryption
[IEEE] 2026-6-3 | A Model Predictive Hybrid Observer for Current Sensorless PFC Operation of Three-Phase Three-Level Vienna Rectifier
[IEEE] 2026-6-3 | RWTCbot: A New Wall-Climbing Robot Capable of Wall-to-Wall Transitions at Internal and External Right Angles in All Scenarios_supp1-3699199.mp4
[ACM] 2026-6-4 | Carbon Peak Achievement Path in Shaanxi Province Based on Multi-Objective Planning
[ACM] 2026-6-4 | Governance of Augmented Thought: A Semi-automated BPMN Framework for Verifiable Decision-making and Human-ai Workflows in Higher Education
[IEEE] 2026-6-3 | Explainable Spatio-Temporal Graph Modeling for Network Attack Detection
[IEEE] 2026-6-3 | An Agentic-Inspired Approach to the Recycling Environmental Challenge
[IEEE] 2026-6-3 | A Study on Handwritten Text Recognition and Post-OCR Error Correction Techniques
[IEEE] 2026-6-3 | Self-Adaptive Frequency Enhancement with Hierarchical Spatial-Temporal Transformers for Embryo Developmental Stage Classification
[IEEE] 2026-6-3 | An Intelligent Q-Learning-Based Telematic Routing Protocol for Energy and Delay Optimization in Underwater Sensor Networks
[IEEE] 2026-6-3 | Optimizing Sustainable Water Management and Renewable Energy Generation Through Floating Photovoltaics and Artificial Intelligence
[IEEE] 2026-6-3 | Domain Adaptation in HTR through Self-Supervised Visual Pretraining
[IEEE] 2026-6-3 | Continual Learning-based Adaptive Urban Flood Prediction with Concept Drift Detection for Smart Cities
[IEEE] 2026-6-3 | Support Vector Machine Techniques for Cervical Cancer Risk Assessment
[IEEE] 2026-6-3 | X-EyeNet: An AI-based System for Diabetic Retinopathy Severity Grading using Retinal Fundus Images
[IEEE] 2026-6-3 | Automated Classification of Images of Venomous and Non-Venomous Snakes using Deep Learning
[IEEE] 2026-6-3 | A Cost Effective Smart Electric Vehicle for Safe Indoor Mobility Applications
共写入 1000 条记录，保存到 papers/paper2026-06-03.json。
论文获取成功，文件路径: papers/paper2026-06-03.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | IEEE Antennas and Wireless Propagation Letters Publication Information
[NO] 2/1000 | Detecting Cyber Attacks in Power System AGC Using a Drifted Ornstein-Uhlenbeck Process
[NO] 3/1000 | A Method for Restoring Dunhuang Murals Based on Improved Generative Adversarial Networks
[NO] 4/1000 | Machine Learning Unveils System-Level Signatures of Integrated Motor&amp;#x2013;Non-Motor Dysfunction in Parkinson&amp;#x2019;s Disease during Telerehabilitation_supp6-3697696.xlsx
[NO] 5/1000 | Analysis and Reduction Methods for Floating Potential and Voltage Stress in IPT System
[NO] 6/1000 | Feedback-Guided Hierarchical Transmission for Multi-Robot Mapping under Bandwidth Constraints_supp1-3699241.mp4
[NO] 7/1000 | A New Axial-Flux Dual-Rotor Variable Reluctance Resolver
[NO] 8/1000 | Front Cover
[NO] 9/1000 | High-frequency monitoring of sea-fog/low-clouds in the Arctic summer daytime from multi-satellite synergy
[NO] 10/1000 | Precision Measurement Method for High-order Aspheric Surface Based on Pinhole Point Diffraction Interferometry and Optimized Sub-aperture Stitching
[NO] 11/1000 | On Integrating Friction Dynamics Into Cosserat Models for Tendon-Driven Continuum Manipulators_supp1-3694254.mp4
[NO] 12/1000 | A Novel Stereo Tracking Technology for Intraoperative Intervertebral Motion Compensation in Robot-assisted Laminectomy
[NO] 13/1000 | Prototyping Regenerative Ontologies: Participatory Design for More-Than-Human Coexistence
[NO] 14/1000 | Neuro Chair: A Smart IoT-Based Ergonomic System for Real-Time Stress and Posture Monitoring
[NO] 15/1000 | Grama Medai: A Portable AI-Enabled Diagnostic Laboratory for Rural Healthcare
[NO] 16/1000 | Evaluation of Computer Vision-Driven Autonomous Water Landing of Amphibious UAVs Using YOLOv8 and MATLAB
[NO] 17/1000 | SmuggleDoS: Evasive DDoS Attacks using HTTP Request Smuggling
[NO] 18/1000 | An Empirical Comparison of Traditional ML and GPT-Based LLMS for Turkish E-Commerce Review Moderation
[NO] 19/1000 | Hybrid Knowledge Graph and Graph Neural Network Framework for Context-Aware Consumer Behavior Modeling in E-commerce
[NO] 20/1000 | A Smart LoRaWAN-based Diabetic Monitoring System using Dual Coordinate Descent SVM for Data Transmission Optimization
[NO] 21/1000 | A Neuro-Symbolic Expert System for Medical Diagnosis From Natural Language with Rule-Based Logic Engines
[NO] 22/1000 | AI Image Classification Detection Brain Tumor using C-RNN
[NO] 23/1000 | A Dual-Instructor AI-Enhanced Teaching Framework for Interdisciplinary AI Literacy: An Empirical Study Based on Learning Analytics
[NO] 24/1000 | A Deep Learning--Based Study on Quality Evaluation in Higher Continuing Education
[NO] 25/1000 | Design and Implementation of an Intelligent Question Practice Platform: A Multi-Feature Fusion-Based Question Recommendation Algorithm
[NO] 26/1000 | Practice and Exploration of BOPPPS Model Integrated with PBL in the Experimental Teaching of Industrial Robot Programming and Debugging
[NO] 27/1000 | A Machine Learning Approach to Evaluating High-Quality Employment: Career Adaptability as a Predictive Metric in Private UniversitiesCareer Adaptability as a Metric for High-Quality Employment
[NO] 28/1000 | Research on the Construction of VR Smart Classrooms for Mechanical Course
[NO] 29/1000 | Exploration on Blended Intelligent Teaching of Community Nursing Based on Knowledge Graph
[NO] 30/1000 | Research on the Application of XR Digital Media Interactive Design in Information Technology Education
[NO] 31/1000 | A Cloud-Edge Collaborative Intelligent Framework for Multimodal Foreign Language Education: Integrating Federated Learning with Knowledge Graph
[NO] 32/1000 | Beyond Accuracy: Evaluating Trust, Bias, and Hallucination in AI-Generated Alternative (Alt) Text for Accessibility
[NO] 33/1000 | Reinforcement Learning-Assisted Design of Active and Reactive Power Control for GFM Inverters with Various Grid Strengths
[NO] 34/1000 | DeepVesselNet-Based Retinal Vessel Segmentation with Enhanced Preprocessing
[NO] 35/1000 | Design and Optimization of a High-Gain Multi-Input Multilevel Inverter for Harmonic Mitigation
[NO] 36/1000 | IoT-Based Solar Power Monitoring System
[NO] 37/1000 | Backscatter Device-Aided Integrated Sensing and Communication: A Pareto Optimization Framework
[NO] 38/1000 | Next-Gen Mobile Forensics Tool: Timeline Reconstruction from Android Digital Evidence
[NO] 39/1000 | A Three-Phase AI Framework for Distributed Database Optimization
[NO] 40/1000 | A Hybrid Deep Learning Framework for Underwater Image Enhancement in Marine Infrastructure Inspection and Archaeological Exploration
[NO] 41/1000 | Video Surveillance Model for Anomaly Detection and Alert Generation using Deep Learning
[NO] 42/1000 | Multi-Sensor Fusion With Transformer-based Deep Learning for Real-Time Fetal Health Monitoring
[NO] 43/1000 | A Dynamic Edge-Cloud Intelligence Framework for Real-Time Abnormal Activity Detection using Vision-Language Reasoning, Super-Resolution Enhancement, and Reinforcement Learning Optimisation
[NO] 44/1000 | Iot Payments: Bridging the Gap Between Connectivity, Compliance and Commerce
[NO] 45/1000 | Smart Indian Farmer Assistant: A Tri-Modal AI Framework for Precision Agriculture Using MobileNetV2, XGBoost, and Multimodal Language Models
[NO] 46/1000 | Do-It-Yourself Approach to Oscillating Hydropower
[NO] 47/1000 | A Secure Adaptive Fractal Watermarking Scheme for Visual Authentication
[NO] 48/1000 | Design and Implementation of a High-Efficiency Transformer-Less Inverter for Low-Voltage Applications
[NO] 49/1000 | Predictive Self-Healing for Multi-Agent LLM Pipelines Using Model Predictive Control
[NO] 50/1000 | Self-Adaptive Graph Analytics for Real-Time Fraud Detection in Transaction Networks
[NO] 51/1000 | Hybrid Deep Learning Models for Solar Energy Production Forecasting: Explainable Artificial Intelligence Approach
[NO] 52/1000 | Improved Variational Graph Autoencoder for Link Prediction on Real-World Telecom Graphs
[NO] 53/1000 | Cloud-Powered Federated Learning for Global Healthcare Diagnostics: Privacy Preserving Multi-Cloud Architecture
[NO] 54/1000 | From Algorithms to Accountability: Navigating AI's Ethical and Legal Challenges
[NO] 55/1000 | Enhanced Cloud-Based Hybrid Learning System for Remote Monitoring and Optimization of E-Waste Recycling Operations
[NO] 56/1000 | Human vs LLM-Generated Alt Text for STEM Image Accessibility: A Comparative Study
[NO] 57/1000 | On the Limits for Web Accessibility Evaluation Using AI Agents
[NO] 58/1000 | Participatory Urban Conflict Mapping
[NO] 59/1000 | Exploring Participatory Methods for Design Research on Disability Inclusion in Public Toilets
[NO] 60/1000 | Design of Learning Analytics Tools for Teachers: Optimizing Teaching Strategies Based on Educational Data
[NO] 61/1000 | A Multimodal Data-Driven Scaffolding Instruction Model for Foreign Language Learning Based on AIGC
[NO] 62/1000 | An AI-Enhanced Teaching Framework Integrating OBE and ‌Five Pillars of Education for Project-Based Practical Training
[NO] 63/1000 | Research on LSTM-Attention Based Prediction of Student Performance in Operating Systems Principles Course
[NO] 64/1000 | Deciphering Object Concepts: Hierarchical Cross-Modal Relational Reasoning for Mining Object-Attribute-Affordance Associations
[NO] 65/1000 | Robustness of SAM: Segment Anything under Corruptions and beyond_supp1-3698837.pdf
[NO] 66/1000 | Enhancing Depression Detection on Social Media with DSM-V Guided RAG and Fine-Tuned DeepSeek-R1_supp1-3699501.docx
[NO] 67/1000 | FlexPWL: A Flexible, Scalable, and Multiplier-Free Approach for Activation Functions on FPGA
[NO] 68/1000 | Adaptive Downsampling and Refinement for Fast Iterative Closest Point
[NO] 69/1000 | 2026 1st International Conference on Emerging Trends in Advancements and Applications of Computational Intelligence Techniques (ETAACT)
[NO] 70/1000 | An Edge-Sensing Measurement Framework for Cross-Sensor Urban Altitude Estimation via Physics-Informed Neural Fields
[NO] 71/1000 | ICOEI 2026 Committees
[NO] 72/1000 | Hybrid Relay Architecture: A Decentralized and Semantically-agnostic Interoperability Framework for Blockchain
[NO] 73/1000 | Rotatable Continuous Aperture Array (CAPA)-based Multi-user MIMO Communications
[NO] 74/1000 | NPLNet: A Noise-Prior Lightweight Network for On-Device Acoustic Fault Diagnosis of Railway Point Machines from Noisy Measurements
[NO] 75/1000 | Bayesian Inference-Based Model-Free Predictive Current Control for SPMSM Drives
[NO] 76/1000 | Minimum Data Rate for Consensus of Linear MASs Under Weighted-Average Protocols
[NO] 77/1000 | Robust Open-Set Signal Emitter Identification Using Collaborative Learning and Distributed Attention Networks
[NO] 78/1000 | Environmental Adaptation Enabled by an Amplitude-Tunable Traveling Wave Robot with a Soft Corkscrew (ATWBot)_supp1-3697245.mp4
[NO] 79/1000 | An Angularly Stable and Bidirectional Frequency Selective Rasorber Based on an Antenna-Filter-Antenna Architecture
[NO] 80/1000 | A Comprehensive General Model of Tendon-Actuated Concentric Tube Robots with Multiple Tubes and Tendons_supp1-3699204.mp4
[NO] 81/1000 | Robust Intra-Pulse Frequency Coding Against Time-Gated Frequency-Following Jamming via Belief-State Reinforcement Learning_supp1-3699318.pdf
[NO] 82/1000 | A High-Speed Omnidirectional Ceiling Mobile Robot Using a Synchronized Crawler-Hanging Mechanism_supp1-3699154.mp4
[NO] 83/1000 | HF-Head: A Lightweight Head Design for SAR Small-Ship Detection with Algorithm–Hardware Co-Optimization
[NO] 84/1000 | Dense Facial Landmark Detection in Thermal Infrared With Cross-Dataset Generalization Testing and Failure Detection
[NO] 85/1000 | Collaborative Acceleration for Server-Side Multi-User View Synthesis_supp1-3694560.pdf
[NO] 86/1000 | Smart Solar Advisor: AI-Driven IoT-Based System for Location-Aware Monthly Energy Forecasting
[NO] 87/1000 | A Fairness-Aware Constraint Satisfaction Framework for University Exam Timetabling with Dual-Role Instructor Conflict Modeling
[NO] 88/1000 | Smart Vending Machine For Grocery Shop with Custom Quantity Dispensing
[NO] 89/1000 | Bias and Fairness in AI Systems: Theoretical Analysis and Empirical Validation Through Reweighing Mitigation
[NO] 90/1000 | Software Sustainability Debt and the Governance-Process-Execution Framework: Evidence from 513,000 Real-World CI/CD Workflows
[NO] 91/1000 | Machine Learning for Predicting and Managing Industrial Co and Nox Emissions: Data-Driven Modeling for Sustainable Production
[NO] 92/1000 | Artificial Intelligence based Object Detection Assistant for the Visually Impaired
[NO] 93/1000 | Evaluating Lightweight GAN- Generated Synthetic Data for Privacy Preservation in Mobile Crowd Sensing.
[NO] 94/1000 | Evaluating the Performance of Deep Learning Models Using Explainable AI Approaches for Reliable Skin Cancer Detection and Diagnosis
[NO] 95/1000 | A Hybrid Generative–Adaptive Deep Learning Framework for Robust Heart Disease Prediction
[NO] 96/1000 | An Efficient Framework for Network Formation and Optimal Routing in Mobile Ad Hoc Networks
[NO] 97/1000 | Grid-Aware Harris Hybrid Hawk Optimization for Strategic Electric Vehicle Charging Station Deployment
[NO] 98/1000 | An Xception–YOLO based Deep Learning Framework for Kidney Stone Detection in CT Images
[NO] 99/1000 | Small Scale Production of Biochar with a Home Microwave Oven
[NO] 100/1000 | Fake News Detection Capability Across Contemporary LLMs: Comparative Study of Zero-Shot, Few-Shot, and Parameter-Efficient Fine-Tuning Across LIAR and ISOT
[NO] 101/1000 | A Deep Learning Framework for Signature Verification: Combining CapsNet with Data Augmentation Techniques
[NO] 102/1000 | Design of a Via-Loaded Interdigital Microstrip Bandpass Filter for S-Band Applications
[NO] 103/1000 | 'Can AI Care?': Emotional Tone Analysis and Perceived Empathy in AI-Generated Health Advice
[NO] 104/1000 | Teaching Off-Grid Solar Energy Installation Business in Liberia
[NO] 105/1000 | An Explainable AI (XAI)–Driven Deep LSTM Framework for High-Precision Financial Time Series Prediction
[NO] 106/1000 | Hybrid CNN–Transformer Architectures for Real-Time Medicine Identification with Edge-Optimized Assistive Feedback
[NO] 107/1000 | Contrastive Learning-Enhanced Attention Models for Predicting and Optimizing Brine Desalination Processes
[NO] 108/1000 | Deployment-Aware Benchmarking of Lightweight Machine Learning for IoT-Based Smart Grid Fault Detection: A Comparative Study Across Easy, Noisy, and Public Evaluation Settings
[NO] 109/1000 | History-Aware Dynamic Quantum Time Allocation for Round Robin Scheduling
[NO] 110/1000 | GAN-Assisted Triple-Branch Swin Transformer for Diabetic Retinopathy Grading
[NO] 111/1000 | VulnWatch: A Lightweight Network Security Checker for Identifying Risks and Providing Actionable Fixes
[NO] 112/1000 | Deep Neural Networks for Coastal Climate Risk Prediction Using Flood and Climate Variables
[NO] 113/1000 | Deep Capsule-Based Self-Attention Mechanism for Underwater Hyperspectral Image Classification
[NO] 114/1000 | Multi Agent Reinforcement Learning Based Swarm Navigation
[NO] 115/1000 | Secure Medical Image Transmission using Deep Learning and Chaotic Map-Enhanced Homomorphic Encryption for Privacy Preservation
[NO] 116/1000 | Modeling and Analysis of Hybrid Renewable Energy Systems Using Artificial Neural Networks for Short-Term Power Forecasting
[NO] 117/1000 | Latent Ideological Polarization in Energy Transitions: A Multi-Level Structural Causality Analysis of Climate Policy Acceptance
[NO] 118/1000 | Performance Evaluation of CO
                    <sub>2</sub>
                    Emission Levels in Agrofood Systems for Climate Action
[NO] 119/1000 | System Dependent Performance Analysis of Metaheuristic Algorithms for DOCR Coordination in Distribution Networks and Microgrids
[NO] 120/1000 | A Scalable OCR System to Bridge the Annotation Gap in Low Resource Languages
[NO] 121/1000 | Hardware Acceleration of User-Based Collaborative Filtering on an FPGA-Based SoC
[NO] 122/1000 | Leveraging Harmonic Analysis for Feature Extraction and Selection in Time-Series Data Processing
[NO] 123/1000 | ML-FS
                    <sup>2</sup>
                    -CDA- Meta-Learning-Driven Few-Shot Skin Lesion Segmentation with Cross-Dataset Adaptation
[NO] 124/1000 | Design and Analysis of a Wideband mm-Wave Four-Port MIMO Antenna for 5G/6G Applications
[NO] 125/1000 | Automated Classification of Lung Nodules in CT Images using DenseNet-121 and Convolutional Block Attention Modules
[NO] 126/1000 | AI in Health Informatics Through the Eyes of Medical Students
[NO] 127/1000 | Reducing Barriers to Eye Care: Glaucoma Detection with Novel Imaging Techniques
[NO] 128/1000 | Decoupled Cost-Sensitive Thresholding–based LightGBM for Reliable Predictive Maintenance
[NO] 129/1000 | A Structured Approach to Grammar and Style Checking of Scientific Texts With ChatGPT
[NO] 130/1000 | Improving Web Text Classification Robustness Through Calibrated Transformer Fusion
[NO] 131/1000 | Evaluating Human- and AI-Generated Code Quality Based on Code Smell
[NO] 132/1000 | Biophilic Governance: Toward a Politics of Making-With Earth
[NO] 133/1000 | Designing A Relational, Participatory, And Multidimensional University Media Lab Model For Media Innovation In Sabana Centro, Colombia
[NO] 134/1000 | Research on Establishing a Smart Zero-Based Budgeting System for Higher Education Institutions Based on Business Process Reengineering
[NO] 135/1000 | Research on Constructing Student Physical Fitness Profiles and Optimising Physical Education Teaching Decisions Supported by Big Data
[NO] 136/1000 | Research on the Construction of the Course AI Agent and the Knowledge Graph of the Geographic Information System
[NO] 137/1000 | Knowledge Graph-Enhanced Large Language Models for Automated Scoring and Feedback of Chinese Literature Essays
[NO] 138/1000 | Towards AI Agents Supported Research Problem Formulation
[NO] 139/1000 | Effects of Bending Strain on the Magnetic Properties of Single-Phase Wound Transformer Cores
[NO] 140/1000 | Copyright Page
[NO] 141/1000 | Modeling Cable-Suspended Multidrone Manipulation Using Grasping Theory
[NO] 142/1000 | A Vision-Based System for Quantitative Measurement of Tactile Modality and 3D Contact Forces
[NO] 143/1000 | LaVIDE: Language-Prompted Satellite Change Detection via Map-Image Alignment
[NO] 144/1000 | In-line Monitoring of Multi-core Fibers by 3D Polymer Waveguides
[NO] 145/1000 | Human-Inspired Finger Design With Pressure-Based Variable Stiffness Spherical Joints_supp1-3691246.pdf
[NO] 146/1000 | Robust Galerkin-Ritz Framework for Time-of-Arrival-Based Localization under Deceptive Jamming
[NO] 147/1000 | HCDiff: Hierarchical Latent Constraint-Projected Diffusion Framework for Deformable Linear Objects Manipulation in Cluttered Environments_supp1-3699256.mp4
[NO] 148/1000 | Deep Learning-Based Micro-Volume Viscosity Prediction Using the Blinking Dynamics of Janus Particles_supp1-3697410.docx
[NO] 149/1000 | TriSAFE: Transcript-Bound Verifiable Secure Aggregation with Differential Privacy and Timing Defenses for Gateway-Assisted IoT Federated Learning
[NO] 150/1000 | Creative Mental Imagery: Cognitive Paradigm for EEG-Based User Authentication
[NO] 151/1000 | Logi-X: The Digital Transformation of Logistics
[NO] 152/1000 | From Compliance to Cooperation: A Human-Centered Perspective on Impedance Control in Human–Robot Interaction, Collaboration, and Teaming
[NO] 153/1000 | Multimodal Paradigmatic Synergies in Hyperdimensional and Quantum-Inspired Architectures for Robust Speech Gender Analytics
[NO] 154/1000 | Blockchain-Augmented Federated Learning for Secure and Healthcare Diagnosis from Distributed Electronic Health Records
[NO] 155/1000 | Non-Invasive Detection of Copd Using Acoustic Features Extracted From Sustained Phonation
[NO] 156/1000 | Grid Connected Energy Net-Metering System for Home Solar Installations
[NO] 157/1000 | Low-power, High-Speed Comparator Design using FinFETs for ADC Applications
[NO] 158/1000 | Hybrid Deep Learning Approach for Early Detection of Cashew Plant Disease
[NO] 159/1000 | A Lightweight Hardware Accelerator for Fixed-Point Least-Squares Estimation in RISC-V SoCs
[NO] 160/1000 | Improving Military Object Detection under Noisy Conditions Using Spatial Denoising Pipeline and ResNet-50 based Deep Features
[NO] 161/1000 | Transfer Matrix Method Based Electromagnetic Simulation Software for Analysis and Design of Radomes and Radar Absorbing Materials
[NO] 162/1000 | A Predictive Rule-Based Energy Management Framework Incorporating Driving Pattern Clustering for Hybrid Electric Vehicles
[NO] 163/1000 | Deep Learning-Based Framework for Multi-Stage Classification of Alzheimer’s Disease
[NO] 164/1000 | CNN-Based Turbidity Estimation in Dairy Farms Environments
[NO] 165/1000 | Forecasting Agentic AI Resource Consumption in Business Processes: A Three Dimensions Cost Estimation Conceptual Framework
[NO] 166/1000 | Enhancing Crop Recommendation Accuracy using Quantum Support Vector Machines on Complex Agricultural Datasets
[NO] 167/1000 | Development of a Neural Network-Based Algorithm for HVAC Systems Optimization, Integrating Key Environmental Variables in BEMS
[NO] 168/1000 | Secure Communication Protocols for IoT-Integrated Electric Vehicle Ecosystems
[NO] 169/1000 | A Memory-Augmented Learning Framework for Adaptive Resource Allocation in Cognitive Radio Networks
[NO] 170/1000 | Justification of Proposals for Detecting Data Transmission Channels of Low-Observable Unmanned Aerial Vehicles
[NO] 171/1000 | A Comprehensive Review of AI-Driven NPC Intelligence and Procedural Content Generation in Video Games
[NO] 172/1000 | Comparative Analysis of NI USRP-2920 SDR and HAMEG 5006 for Live FM Signal Strength Measurement
[NO] 173/1000 | Why Beginners Abandon Quantum Programming: Barriers to Developer Experience and a Scaffolding Approach to Development Environment Setup
[NO] 174/1000 | HAWK-ViT-CNNNet: A Knowledge-Guided Hybrid Deep Learning Model for Breast Cancer Diagnosis
[NO] 175/1000 | Enhancing Industrial Assembly Processes Through the Integration of Augmented Reality Technologies
[NO] 176/1000 | Edge AI–based Malware Detection in IoT Devices using Machine Learning
[NO] 177/1000 | Ex-ASE 2025: The 1st International Workshop on ExplainableAutomated Software Engineering
[NO] 178/1000 | A Structured Approach for Integrating Environmental Impact Assessment Throughout the IC Design Flow
[NO] 179/1000 | Life Cycle Assessment of 3D Stacked Multi-Chip Assemblies: Comparison of Three Multi-Layer CMOS Image Sensors
[NO] 180/1000 | Fuzzy Linguistic Summarization in the Electronic Communications Sector: Protoform-Based Natural Language Insights for Digitalization and Decision Support
[NO] 181/1000 | Indoor Semantic Map Prediction for Object Search Based on Relationship Reasoning and Active Training
[NO] 182/1000 | Research on the Optimization Decision of Cold Chain Logistics Delivery Vehicles in Low-Carbon Cities
[NO] 183/1000 | Heterogeneous Effects of Human Resource Management on Firm Performance under Digital Transformation: A Causal Machine Learning Approach
[NO] 184/1000 | Research on Library Book Spine Segmentation and Recognition Based on Deep Learning
[NO] 185/1000 | Skeletal Sentinel for the Detection of Osteoporosis Empowered by Machine Learning and Transfer Learning
[NO] 186/1000 | A Comparative Analysis of Machine Learning Models for Periodontal Disease Classification
[NO] 187/1000 | Secure Implementation of Salesforce Health Cloud for Patient Data Management in Multi-Tenant Environments
[NO] 188/1000 | The Verification Gap in AI Accessibility: A Meta-Analysis of Architectural Paradigms and Agency Deficits
[NO] 189/1000 | Advancing the Taxonomy for Writing Alternative Text Based on Image Type, Context, and Complexity
[NO] 190/1000 | A Multi-Agent Framework for Accessible Web Code Generation
[NO] 191/1000 | Altify: Shift-left Icon Alt-text for Mobile App Developers
[NO] 192/1000 | Computer Course Frequency and Clustering Analysis for Innovation Modes in Digital Economy MajorsComputer Course-Based Statistical Analysis in Digital Economy Majors
[NO] 193/1000 | Adaptive Knowledge Tracking Calculation Model for Language Training Scenarios in Vocational Schools
[NO] 194/1000 | Construction of a Model of teaching innovation teams in Vocational Colleges Based on the composition of teachers' capabilities
[NO] 195/1000 | Design of an Intelligent English Translation Recognition Model Based on an Improved GLR Algorithm
[NO] 196/1000 | Design and Implementation of a Multi-Dimensional Automatic Grading System for Java Programming Assignments in Vocational Education
[NO] 197/1000 | SynChain: A Knowledge-Enhanced Framework for Structured Reasoning and Human Feedback Alignment towards Large Language Models
[NO] 198/1000 | Design of AIGC-based Programming Teaching Auxiliary Model and Empirical Research on Teaching Effectiveness
[NO] 199/1000 | Data Pricing Strategy Considering Missing Values and Privacy Constraints
[NO] 200/1000 | A Multi-Agent Collaborative System for Student Writing Assistance: An Empirical Study on Mitigating AI Bias and Hallucination
[NO] 201/1000 | Construction of an Intelligent Curriculum Integrating Knowledge Graph and Machine Learning: An Innovative Approach to Business English Bilingual Teaching
[NO] 202/1000 | Research on the Feedback Mechanism of Digital Classroom Learning Situation Monitoring Based on Artificial Intelligence
[NO] 203/1000 | Hopscotch: Playful Participatory Action Research
[NO] 204/1000 | Participation through Designing Relations with People, Materials, and Place
[NO] 205/1000 | Micromuseo
[NO] 206/1000 | Protecting Protests from Institutional Repression
[NO] 207/1000 | Participative Intimacy in/as Design for Coexistence
[NO] 208/1000 | Automated and Near-Flawless Micropipette PIH Assembly to MEMS Nanoforce Sensor With A Robotic Microscopy System_supp7-3672876.mp4
[NO] 209/1000 | TSC-DETR: DETR with Transformer-Semantics to CNN Guidance for Small Object Detection
[NO] 210/1000 | Google's Training Supercomputers from TPUv2 to Ironwood: Architectural Stability, Scale, Resilience, Power Efficiency, and Sustainability Across Five Generations
[NO] 211/1000 | NeuroBridge-AI: A Hybrid Biophysical and Machine Learning Framework for Multi-Scale Neural Simulation
[NO] 212/1000 | Editorial Special Issue on Interactive Power Converters for Renewable Energy Grid-Tied Systems—Part II
[NO] 213/1000 | A Privacy-Aware Medical Record Query Scheme with Anonymous Authentication in Wireless Body Area Networks
[NO] 214/1000 | IEEE ComSoc Publications
[NO] 215/1000 | A Versatile Analytic Phase Noise Model for Optical Frequency-Modulated Continuous-Wave Interferometry
[NO] 216/1000 | Uncertainty-risk-adaptive-based Offline Context-aware Reinforcement Learning Framework for Vehicle-Cloud End-to-End Autonomous Driving_supp1-3699213.docx
[NO] 217/1000 | AlGaN-Based UV LEDs with High Wall-Plug Efficiency
[NO] 218/1000 | Coherence-Based Inversion of Pulse-Echo Data for Ocean Sound Speed Estimation
[NO] 219/1000 | Design of a Low-Cost Real-Time Angle Sensor Module for Dynamic Body-Weight Support Systems Using Inertial Measurement Unit and Fusion Algorithms
[NO] 220/1000 | Learning from hard negative samples: Multi-prototype contrastive learning for out-of-distribution detection
[NO] 221/1000 | A Wideband Dual-Mode High-Efficiency MMIC Power Amplifier Based on Outphasing Architecture
[NO] 222/1000 | Front cover
