[2026-07-29 11:26:57] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-28
正在获取论文...
[arXiv] 2026-07-28 | CW-Ghost: Search-Free Granularity Selection for Helper-Thread Prefetching via Capacity Windows
[NO] 160/1904 | On certain $D(9)$ and $D(64)$ Diophantine triples
[NO] 161/1904 | Random Trees in Hyperbolic FPP
[NO] 162/1904 | Room-Mediated Co-occurrence for Zero-Shot Object-Centric Semantic Navigation via Frontier Scoring
[NO] 163/1904 | Topological Classification of Non-Normalizable Vector Fields
[NO] 164/1904 | Specula: Scaling formal specifications for autonomous model checking of system code
[NO] 165/1904 | Form factors of the $ρ$-meson in chiral perturbation theory
[NO] 166/1904 | Tunable state-dependent interactions in collisionally stable mixtures of polar molecules
[NO] 167/1904 | Roadside units placement for total travel time minimization in I2X-enabled road networks based on a dynamic traffic flow model
[NO] 168/1904 | PILA: Plug-and-Play Insertion for LLM-native Advertising
[NO] 169/1904 | Sharpness-Aware Minimization and Muon: Robustness under the Spectral Norm
[NO] 170/1904 | Multi-Solver Coupling for Parallel Adaptive Multi-Physics Simulations with Trixi$.$jl and deal$.$II
[NO] 171/1904 | Long-wave instability of periodic shear flows with constant magnetic field for the 2D resistive MHD equations
[NO] 172/1904 | Extending Biconnected Straight-Line Planar Drawings
[NO] 173/1904 | On the magnitude, sign and ranking of recanting-twin path-specific effects
[NO] 174/1904 | Landau Levels on the Surface of a Cube
[NO] 175/1904 | Reinformed Dreamer: An Asymmetric World Model Efficiently Trained through Latent Guidance
[NO] 176/1904 | Equi-Entropic Maps for Four-Partite Quantum States
[NO] 177/1904 | Toward 3D orbits of wide sdO/B binaries I. Six composite systems spatially resolved with VLTI/GRAVITY
[NO] 178/1904 | A Unifying Framework for Quasi-Polynomial Optimization of Fixed-degree Polynomials
[NO] 179/1904 | On the Vanishing of the Brauer-Manin Obstruction for Normic Bundles
[NO] 180/1904 | The coupling flow for supergravity
[NO] 181/1904 | On the $2$-Bend Slope Number of $1$-Planar Graphs
[NO] 182/1904 | A Hodge Theoretic Generalization of $\mathbb{Q}$-Homology Manifolds II: Local Complete Intersections
[NO] 183/1904 | Open-Ended CT Volume Segmentation with Weak Supervision from Language
[NO] 184/1904 | A Citizen Science Search for Compact Emission Line Nebulae
[NO] 185/1904 | Shieldstral
[NO] 186/1904 | Binary-induced mass increase and helium enrichment of the envelopes of Type~IIP supernova progenitors
[NO] 187/1904 | C-RE-ACT: Causal RE-ACTing Agent for O-RAN Forensic Triage
[NO] 188/1904 | CHILL-Harness: Counterfactual Harness Learning for Efficient Reasoning in Long-Horizon Agents
[NO] 189/1904 | Optimal Quantum Eigenvalue Transformation via Linear Combinations of Hermitian Matrices
[NO] 190/1904 | The Ultimate Ishii-Pastur Theorem for Whole-Line Ergodic Block Jacobi Operators
[NO] 191/1904 | Integrating moment tensor potentials with finite-element modeling for heat transfer prediction in FLiBe-based molten salt systems
[NO] 192/1904 | Efficient Lindbladian Learning from Constant-Time Pauli Responses
[NO] 193/1904 | The Model in the Middle: Toward AI-Native Real-Time Communication
[NO] 194/1904 | Towards Faithful Sentimental Image Captioning via Evidence-Aware Multi-Agent Reasoning
[NO] 195/1904 | Variance-Reduced Conditional Gradient Methods under Markovian Sampling for Nonconvex Composite Optimization
[NO] 196/1904 | Calculating the Expected Value of Sample Information accounting for missing data
[NO] 197/1904 | Crack-Tip Opening as a Probe for Length-Scale Separation in Geometrically Nonlinear Solids
[NO] 198/1904 | The Lunar Farside Transients and Technology Telescope (LFT3) Mission
[NO] 199/1904 | Jacobi polynomials on the simplex of Hermitian matrices and zonal spherical functions on partial flag manifolds
[NO] 200/1904 | Quantum oscillation spectroscopy of Fermi-surface topologies in tetralayer graphene
[NO] 201/1904 | Cooperative Multi-UAV Navigation in Complex Environments via Systematic Multi-Agent Deep Reinforcement Learning
[NO] 202/1904 | Heavy and heavy-light mesons with arbitrary spin and parity in the Covariant Spectator Theory
[NO] 203/1904 | Classically Augmented Zero-Noise Extrapolation
[NO] 204/1904 | Late-Time Cosmological Tests of a Minisuperspace Generalized-Uncertainty-Principle Deformation
[NO] 205/1904 | Physical Mechanism of Vacuole Formation in Liquid Droplets
[NO] 206/1904 | Tri-Manual Visuomotor Imitation Learning of Robot Policies
[NO] 207/1904 | Shared Voxel-Map-Based Cooperative Indoor UAV Guidance with a Multi-Agent Soft Actor-Critic Controller
[NO] 208/1904 | Path-length dependence of parton energy loss across collision systems: a Bayesian analysis of charged-particle RAA, consistent with a universal exponent from O+O to Pb+Pb
[NO] 209/1904 | Nudging Sustainable Choices through LLM-Generated Recommendation Explanations
[NO] 210/1904 | Quantum metric quadrupoles in elemental bismuth thin films
[NO] 211/1904 | Small-scale polarization variations in near-inertial deep Mediterranean horizontal waterflow
[NO] 212/1904 | SpeechLLM Meets Federated Learning for End-to-End ASR: English and Italian Case Studies
[NO] 213/1904 | Laser induced optical reconfiguration in Ge_Sb_Te Films with composition dependent response
[NO] 214/1904 | Impact Detection in Fall Events: Leveraging Spatio-Temporal Graph Convolutional Networks and Recurrent Neural Networks Using 3D Skeletons Data
[NO] 215/1904 | Categories of tagged lenses
[NO] 216/1904 | Analysis and Optimal Design of Equilibria in the Vlasov-Poisson System
[NO] 217/1904 | Parameter Estimation of the Stochastic Allen--Cahn Equation via variations
[NO] 218/1904 | How haptic feedback enables human group synchronization
[NO] 219/1904 | Face Structure in Partial Facial Reduction of Semidefinite Relaxations of Binary Programs
[NO] 220/1904 | SignDeepSC: A Semantic Signature-based Approach for Robust Semantic Communication
[NO] 221/1904 | The 95 GeV Excess in Models with Two Higgs Doublets plus One Singlet: Model Distinction via Four-top Final States and Triple Higgs Couplings
[NO] 222/1904 | MemSFT: Mitigating Alignment Tax with an External Parametric Memory
[NO] 223/1904 | Beyond Self-Knowledge: Propagating Uncertainty Across Reasoning and Retrieval in LLMs
[NO] 224/1904 | Distribution of the magnetic field relative to the plane of the Galaxy in the region of the Sagittarius spiral arm
[NO] 225/1904 | Finite-temperature Lanczos for anisotropic spin systems using triple-hybrid high-performance computing
[NO] 226/1904 | Crustal and upper mantle model of the Middle East based on full-waveform inversion
[NO] 227/1904 | IRIS: Reusable Identity Representations from Frozen LLMs for Entity Alignment
[NO] 228/1904 | "Dragon Slayer Becomes the Dragon": How Players Perceive and Respond to Inequality in the Game World of Whiteout Survival
[NO] 229/1904 | The LAIA Dataset: Labelled Attention for Intelligent Automobiles
[NO] 230/1904 | CORF-GS: Real-Time Wireless Radiance Field Reconstruction via Coupled Optical-RF Gaussian Splatting
[NO] 231/1904 | ARCHER: Agentic Rule and Compliance Harness for Executable Regulations
[NO] 232/1904 | ReDesign: Recovering Editable Design Structures from Images via Agentic Decomposition
[NO] 233/1904 | Ultradilute quasi-two-dimensional Bose-Bose liquid mixtures
[NO] 234/1904 | The Information Rate of Fiber-Wireless Communication Systems Based on Photonic Generation of RF Signals
[NO] 235/1904 | OrthKD: Extracting Generalized Clinical Knowledge from Heterogeneous Teachers for Lightweight Deployment
[NO] 236/1904 | Finding the noise: Zero-shot AI Music Detection
[NO] 237/1904 | Harmonic analysis on compact standard quotients of non-Riemannian semisimple symmetric spaces
[NO] 238/1904 | Geometry resolved atomic oxygen risk assessment for very low earth orbit spacecraft
[NO] 239/1904 | Type A Nilpotent Hessenberg varieties with Hessenberg function $h(i)\le i+1$
[NO] 240/1904 | Hypernatural numbers in arithmetic Ramsey theory
[NO] 241/1904 | From weakly to strongly-interacting driven-dissipative bosons in one dimension
[NO] 242/1904 | Phase Structure in Rotary Attention: A Spectral Framework for Semantic Continuity and Execution-Boundary Governance
[NO] 243/1904 | From sLLG to Fokker-Planck: Accurate WER Modeling for Non-Axisymmetric MRAM Devices
[NO] 244/1904 | WASP: A Configurable Framework for Portable Stateful Serverless Applications
[NO] 245/1904 | An Exact Obstruction to Uniform Average Mixing on $P_{11}$
[NO] 246/1904 | Coevolution of epidemic dynamics and network topology driven by disease fatality and waning immunity
[NO] 247/1904 | Anisotropic domain wall velocity profiles in the creep regime: the interplay of chiral damping, stiffness and Dzyaloshinskii-Moriya interaction
[NO] 248/1904 | Seen, Said, or Forgotten? A Causal Audit of Visual KV Memory Across Dialog Turns
[NO] 249/1904 | Ab initio lattice calculation of nuclear magnetic dipole moments with systematic error quantifications
[NO] 250/1904 | A universal diffuse interface modeling framework for surfactants
[NO] 251/1904 | Exact discrete-adjoint optimization of trap timing and placement in a Stieltjes-time reaction-diffusion model: A Galicia case study
[NO] 252/1904 | Emergence of minimal chimera in uncoupled oscillators under common frequency-modulated driving: Theory and experiment
[NO] 253/1904 | Toward an Organizational Science of Multi-Agent LLM Systems: Decoupling Who, How, and Which Algorithm
[NO] 254/1904 | Poroelastic aquifer response drives seasonal vertical land motion in southern Louisiana
[NO] 255/1904 | A matroidal criterion for flow polytopes to be order polytopes
[NO] 256/1904 | Imaging the Néel Vector in Two-Dimensional Antiferromagnets using Antisymmetric Compton Scattering
[NO] 257/1904 | Notes on a paper by F. Génot and B. Brogliato on the Painlevé paradox
[NO] 258/1904 | The category of necklaces is a test category
[NO] 259/1904 | HANDBOOK.md: A Benchmark for Long-Context Agentic Instruction Following
[NO] 260/1904 | A smooth projective counterexample to Bondal-Polishchuk's conjecture
[NO] 261/1904 | SGTP: Sampling-based Game-Theoretic Planning for Real-Time Multi-Vehicle Autonomous Racing
[NO] 262/1904 | Learned, Relied Upon, or Necessary? Separating Checkpoint Dependence from Task-Level Value in Sheaf GNNs
[NO] 263/1904 | Beyond endoscopy for the symmetric square representation: The simple trace formula case
[NO] 264/1904 | Memory for Large Language Models
[NO] 265/1904 | Cyber-Capable AI Agents: Vulnerabilities, Evaluation Containment, and Defensive Response
[NO] 266/1904 | Rethinking Likelihood distributions: Student's t Likelihood Boosts Bayesian Neural Network Performance
[NO] 267/1904 | Logarithmic Aging Diffusion from a Multiplicative Event Clock: Rare Event Statistics, Ultraslow Transport, and Ensemble-Time Inequivalence
[NO] 268/1904 | Hyperspectral Intrinsic Decomposition: Joint Recovery of Reflectance and Photometric Components for Non-Lambertian Scenes
[NO] 269/1904 | PanoLess: Environment Reconstruction from Partial Reflective Views
[NO] 270/1904 | The Case Against Generation for Retrieval: Discriminative Language Models as Effective Retrievers
[NO] 271/1904 | Remote entanglement of massive oscillators via wire-mediated Coulomb interaction
[NO] 272/1904 | SPARC: Sequence-aware Progressive Attribute Routing and Compression Framework for Generative Recommendation
[NO] 273/1904 | Grevo: A Unified Generative Recommendation Framework with Evolutionary Item Indexing
[NO] 274/1904 | NFR-to-Code Traceability in a Blockchain-IoT System: An Empirical Study
[NO] 275/1904 | Human-in-the-Loop Signature Bootstrapping for UAV Hyperspectral PFM-1 Mine Detection
[NO] 276/1904 | Actualization, Records, and the Emergence of Entropic Time
[NO] 277/1904 | Interferometric molecular line observations toward the 21 μm protoplanetary nebula IRAS 06530-0213
[NO] 278/1904 | Resonance-Induced Sign Reversal of Optical Gradient Forces and Three-Dimensional Singularity Trapping
[NO] 279/1904 | MEDit-Bench: A Dataset for Evaluating Message-Driven Narrative Video Editing
[NO] 280/1904 | Retraction-Free Optimization over the Stiefel Manifold for the LoRA Fine-Tuning
[NO] 281/1904 | Double phase flow under Lavrentiev phenomenon
[NO] 282/1904 | Breaking the Periodicity Assumption: Robust Tensorial Multi-View Clustering via Graph-Spectral Low-Rank Learning
[NO] 283/1904 | A Rigorous Proof of Metric Blow-Up for Pseudospherical Metrics Associated with the Degasperis--Procesi Equation
[NO] 284/1904 | From Starburst to Quenching: Physical Properties of Extremely Compact Starbursts at z$\sim$0.1
[NO] 285/1904 | Multi-Phonation Graph Learning with Self-Supervised Speech Embeddings for ALS Detection and Progression Prediction
[NO] 286/1904 | Coefficient Problems and Sharp Determinant Estimates for the Class $\mathcal{S}^*_{q_1}$
[NO] 287/1904 | ScaleResfusion: Residual Rectified Flow based on Residual Vector Field
[NO] 288/1904 | Bridging Compute- and Data-Optimal Pretraining
[NO] 289/1904 | Low-Temperature Magnetoresistance Hysteresis in Granular Cr1-xFexO2: Slow Relaxation of Transport-Active Magnetic Configurations
[NO] 290/1904 | Type Safety via Hoare Logic with Separation and Pure Types
[NO] 291/1904 | Laplace-PSN-IRT: Uncertainty Quantification for Neural Item Response Theory Models of LLM Benchmarks
[NO] 292/1904 | A Copula-Based Regression Framework for Enhanced Prediction under Heteroscedasticity
[NO] 293/1904 | Nijenhuis modules and the ring of Nijenhuis operators
[NO] 294/1904 | Analytic Bertini theorem II --- The local case
[NO] 295/1904 | Grazing bifurcations of linear impact oscillators in the zero damping limit
[NO] 296/1904 | Decision-Level Hijacking: Injecting Cognitive Bias into Large Language Models via Bit-Flip Attacks
[NO] 297/1904 | The quantum electrodynamics for dyons
[NO] 298/1904 | An indefinite Coulomb interaction from the Steklov spectrum of perforated manifolds
[NO] 299/1904 | RIDGE: An Autonomous Framework for Validation and Method Discovery in LLM-Generated Option Pricing
[NO] 300/1904 | Diamond-free, claw-free cubic graphs are (1, 1, 2, 3)-packing colorable
[NO] 301/1904 | LGFNet: A CTC-Guided Local-Global Fusion Framework for Single-Channel Sleep Staging
[NO] 302/1904 | Decentralized Scalable Exploration via Emergent Adaptive Lévy Walks on Minimal-Sensing Platforms
[NO] 303/1904 | Turbulent Flame Speed Can Increase under Curvature Smoothing
[NO] 304/1904 | Co-transmission of classical data and continuous-variable entanglement over a single quantum channel
[NO] 305/1904 | QUBO-Based Optimization of Social Indicator Configurations for Working-Age Population Growth
[NO] 306/1904 | CondPSE: A Polynomial-Filtered Structural Encoder with Conditional Modulation for Graphs
[NO] 307/1904 | Observing sycophantic AI validate others reduces its appeal but not its persuasiveness
[NO] 308/1904 | Hyperstructures as complete atomic Boolean algebras
[NO] 309/1904 | Covariate-Adaptive Sample Size Re-estimation for Population-Standardized Historical Control Designs in Single-Arm Trials
[NO] 310/1904 | LLM-as-a-Judge for Evaluating System Responses in Conversational Music Recommendation
[NO] 311/1904 | F(AI)2R: Who Did What, and Who Checked? Verifiable AI Provenance as an Executable Skill
[NO] 312/1904 | Zeroth-Order Blind Interference Suppression for Multi-RIS-Aided Wireless Systems
[NO] 313/1904 | A Human-in-the-Loop Corpus for LLM-Based Simplification of Scientific Summaries
[NO] 314/1904 | Theory of Cubic-Phase Dynamics in the Linear Potential
[NO] 315/1904 | Entanglement asymmetry in the gapped XYZ spin-$\frac12$ chain
[NO] 316/1904 | Can a small additional claim lower the premium? Credibility orders for collective risk models
[NO] 317/1904 | SkillGate: Cost Efficient Runtime Malicious Skill File Detection in Coding Agents
[NO] 318/1904 | Weak-form Extended Dynamic Mode Decomposition
[NO] 319/1904 | A Criterion for Equidistribution along the $Ω$ Function over Polynomial Sequences with Applications
[NO] 320/1904 | Large Solutions for Fractional Laplacian on Infinite Cylindrical Domains
[NO] 321/1904 | Optimal coloring of $\{\mathrm{cap},\mathrm{even\ hole}\}$-free graphs with no short odd holes
[NO] 322/1904 | SN 2022xus: bridging the gap between Type IIP and IIL supernovae
[NO] 323/1904 | Bosonic Condensed Phase Real-time Dynamics from Ring Polymer Molecular Dynamics
[NO] 324/1904 | Optimal Parameter Design for DIGing on Minimizing Unweighted Sum of Squares
[NO] 325/1904 | Dissipation Enables Strongly Detuning-Dependent Interference in Pulsed Dynamical Decoupling
[NO] 326/1904 | $π\mathbf{R}^2$: Reactive Real-time Flow Policies
[NO] 327/1904 | VetClaw: An Edge-Cloud Multimodal Agentic System for Veterinary Disease Screening
[NO] 328/1904 | Falling Behind Drives Unsafe Development in an Idealised AI Race Experiment
[NO] 329/1904 | A Spectral Proof of the Hypergraph Moore Bound
[NO] 330/1904 | A Synchronized Multi-IMU Wearable System for Tracking of Joint-Angles in Sports Motion Analysis With Reference-Based Validation and Dynamic Task Characterization
[NO] 331/1904 | Interactive Extraction of High-Frequency Aesthetically-Coherent Colormaps
[NO] 332/1904 | LLM4OSC: Profile-Bound Natural Language Control with Deterministic Validation for Open Sound Control
[NO] 333/1904 | MDTransformer: A Hardware-Software Co-Design of Mode-Division Photonic Transformer Accelerator with Inverse-Designed Coherent Crossbar
[NO] 334/1904 | Causal Green function decomposition for quantum black hole seismology
[NO] 335/1904 | Facet-Dependent Electronic Properties and Interfacial Point Defect Interactions in WS$_2$/ZnO Heterostructures
[NO] 336/1904 | Beyond Zooming: Learning Multi-Tool Visual Reasoning for Ultra-High-Resolution Remote Sensing
[NO] 337/1904 | Generator-Aligned Representation Interfaces for Diagnostic Soft Equivariance
[NO] 338/1904 | Physics-Aware End-to-End Deep Reinforcement Learning for Quadcopter Control with Actuator Dynamics
[NO] 339/1904 | The Cautis-Logvinenko conjecture
[NO] 340/1904 | Sharp rigidity for quasilinear Liouville equation on manifolds with nonnegative Ricci curvature
[NO] 341/1904 | Accurate Prediction of the $α\to β$ Phase Transformation Temperature in Tin via Full Anharmonic Treatment
[NO] 342/1904 | The inverse reduction map of a symplectic column by decreasing the rank by one
[NO] 343/1904 | Reinforcement Learning for Code Optimization
[NO] 344/1904 | Quasi-SVD: Learning a Lie-constrained matrix factorisation for real-time imaging
[NO] 345/1904 | Stacking Polarity-Controlled Interlayer Photocarrier Dynamics in MoSe2/MoS2 Heterostructures
[NO] 346/1904 | Knowledge-Guided Multimodal Reasoning over Interacting Streams for Video-Level Ambivalence and Hesitancy Recognition
[NO] 347/1904 | Multi-Parameter Exponential Sums with Product Hilbert Kernels
[NO] 348/1904 | Maximal $D=5$ trombone supergravity from M5-branes and $\mathrm{SU}(2)$-flavoured $\mathcal{N}=1$ class $\mathcal{S}$ operator spectra
[NO] 349/1904 | General Theory of Relational Primacy
[NO] 350/1904 | Evaluating Multi-Turn Multimodal Diagnostic Reasoning on Challenging Real-World Clinical Cases
[NO] 351/1904 | The Proudman Resonance Modified: Forced Waves in Shallow Water -- the Suppression of Resonance by Nonlinearity
[NO] 352/1904 | Can Deep Generative Models Reproduce Non-Stationary Gaussian Random Fields?
[NO] 353/1904 | Secure Energy-Efficient Uplink Transmission in Movable-Element RIS-aided Systems with Movable Antennas and Artificial Noise
[NO] 354/1904 | Variational approach to Yukawa fluids. II. Instantaneous elastic moduli and sound velocities
[NO] 355/1904 | Spacing Out: On the Reliability of Binaural Music Source Separation Metrics
[NO] 356/1904 | Hermes: Low Tail-Latency Via Prefix Consensus
[NO] 357/1904 | Charge-6e superconductivity from doping SU(3) spin liquids
[NO] 358/1904 | Minimizing Targeted Activations: Input-Only Suppression of Evaluation-Awareness Latents in Large Language Models
[NO] 359/1904 | Consistent Quantum States over Spacetime without a Common Quantum Process
[NO] 360/1904 | Messier: A High-Resolution Corpus for Cross-Benchmark Agent Evaluation
[NO] 361/1904 | Runtime Uncertainty Monitoring for LLM-Based Multi-Agent Systems Using Bayesian Networks
[NO] 362/1904 | Sharp anisotropic $L^2$-Caffarelli-Kohn-Nirenberg inequalities associated with the Minkowski functional
[NO] 363/1904 | A2TTA: Anchored-and-Agile Test-Time Adaptation for Evolving Traffic Sensor Networks
[NO] 364/1904 | Does a rising tide lift all boats? A wealth exchange model on a dynamic network with economic growth
[NO] 365/1904 | VAD to the Bone: Ultra-Tiny Speech Activity Detection for Edge Deployment
[NO] 366/1904 | On the boundedness of infinite products of relaxed projections: perturbations resilience and dynamic string-averaging
[NO] 367/1904 | Semilinear damped wave equation on a compact Lie group with a non-autonomous forcing term
[NO] 368/1904 | Rethinking CD: A Reproducibility Study and Extension on the Ineffectiveness of Contrastive Decoding at Mitigating Object Hallucinations in MLLMs
[NO] 369/1904 | Numerical simulations and universal saturation profiles for viscous fingering patterns in Hele-Shaw flow
[NO] 370/1904 | OmniDelta: Skill-Driven Budget Allocation for Token Compression in OmniLLMs
[NO] 371/1904 | Protomodularity of cocommutative Hopf monoids in duoidal categories and quasitriangular Hopf algebras
[NO] 372/1904 | Where Steering Signals Come From: Activation Source Selection in Activation Steering
[NO] 373/1904 | Schrödinger's Cat: Probabilistic Representation and Prediction of Potential Scene Kinematics
[NO] 374/1904 | Inspect India Evals: An Open Benchmarking Framework for Evaluating Large Language Models in the Indian Linguistic and Cultural Context
[NO] 375/1904 | Algebraic concordance of links
[NO] 376/1904 | High-energy neutrino emission from the Milky Way
[NO] 377/1904 | Bayesian-Guided Cooperative RL Beamforming for Wireless Adversarial User Detection
[NO] 378/1904 | Agentic AI Autonomy Assessment: A Decision-Support Framework Towards Governed Supply Chain Systems
[NO] 379/1904 | From Semantics to Readout: Mechanistic Understanding of Audio Tokens after Fine-Tuning for Temporal Audio Grounding
[NO] 380/1904 | General Relativistic Entropic Acceleration at the perturbation level: a CLASS implementation and first Boltzmann-code constraints
[NO] 381/1904 | Detecting CSAM Text-to-Image LoRAs From Weights
[NO] 382/1904 | Architectural Backdoors in Vision-Language Model Supply Chains via Representation Steering
[NO] 383/1904 | Guiding Posterior Exploration with Optimizer-Derived Geometry
[NO] 384/1904 | \textsc{IH-Benchmark}: A Conflict-Centered Benchmark for Instruction-Hierarchy Robustness in LLM Applications
[NO] 385/1904 | Ro-vibrational van der Waals interaction between ultracold polar molecules
[NO] 386/1904 | Explanation-Bound Tool Execution for AI Agents: Server-Verified Action Claims Without Trusting Model Rationales
[NO] 387/1904 | Residual Galactic binary foreground in LISA stochastic gravitational-wave background inference: source power concentration and spectral degeneracy
[NO] 388/1904 | Explainable AI for Chronic Kidney Disease Prediction Using Simulated Federated Learning
[NO] 389/1904 | Bonnet-Myers type theorems for $Q$-curvature on four-manifolds
[NO] 390/1904 | Dual-Domain Manifold Modeling for Hyperspectral Image Fusion
[NO] 391/1904 | Temporal-Distance JEPA: Plan-Aware Representation Learning for Latent World Model Predictive Control
[NO] 392/1904 | Entanglement-based quantum key distribution with data in hollow-core fiber
[NO] 393/1904 | Physics-Informed Neural Operator for Warm-Starting Background-Decomposed and Preconditioned PSFD: Enabling Scalable 3-D EUV Mask Simulation
[NO] 394/1904 | Beyond Background Bias: Saliency-Driven Prototype Alignment for Dataset Distillation
[NO] 395/1904 | MR-TGN: A Meta-Role Temporal Graph Network for Team-Level Intent Prediction in Multi-Agent Systems
[NO] 396/1904 | Extracting Energy from a Non-Kerr Rotating Spacetime with an Anomalous Quadrupole Moment via Magnetic Reconnection
[NO] 397/1904 | Parametrized beyond-Teukolsky framework in the time domain
[NO] 398/1904 | Loss-induced anomalous generalized bunching in multiphoton interference
[NO] 399/1904 | CoSA: Accelerating Long-Context Inference via Proxy-Kernel Co-Designed Sparse Attention
[NO] 400/1904 | LiteBIRD Mission Overview after Mission Reformation
[NO] 401/1904 | Normalizing Flows to Reconstruct Pseudo-PDFs
[NO] 402/1904 | A note on the random constrained-degree percolation model on $\mathbb{L}^2$
[NO] 403/1904 | Sequential Preconditioned Conjugate Gradient Method for Linear Statistical Models
[NO] 404/1904 | Improved Bohr inequalities involving Fréchet derivatives associated with Holomorphic mappings in Banach spaces
[NO] 405/1904 | Bayesian Variational Method for Precision Few-Body Calculations
[NO] 406/1904 | Tightening Bounds on Warm Dark Matter with High-Redshift Gamma-Ray Bursts
[NO] 407/1904 | Microsecond-Class Powered-Descent Optimization via Exact Condensation and Strong Convex Regularization
[NO] 408/1904 | KMT-2025-BLG-0975Lb and KMT-2025-BLG-1160Lb: Two Uranus-Mass Planets Beyond the Snow Line Discovered by Microlensing
[NO] 409/1904 | SafeFlow: Semantic Information-Flow Control for Blocking Malicious Propagation in Multi-Agent Systems
[NO] 410/1904 | CADENCE: A Cardiac Atom Dictionary for Interpretable Neural Concept Extraction from ECG Foundation Models
[NO] 411/1904 | CD-RMOT-Bench: Benchmarking the Cross-Domain Referring Multi-Object Tracking
[NO] 412/1904 | VisualPatchWorld: Code World Models as Latent Structured Representations for Planning
[NO] 413/1904 | Event-Triggered Discrete-Time Multivariable Extremum Seeking Systems
[NO] 414/1904 | How to Watermark the RLWE Homomorphic Ciphertexts
[NO] 415/1904 | Variational kinetics: elementary reaction kinetics via conic optimisation
[NO] 416/1904 | TopoGR: Revealing and Preserving Latent Structure of Semantic ID in Generative Recommendation
[NO] 417/1904 | Homogenization of Time-Discrete Gradient Flows
[NO] 418/1904 | A polyhedral formula for $n\times2\times2$ Kronecker coefficients via cluster algebras
[NO] 419/1904 | Parallelisation of Discrete Exterior Calculus via Representation Theory on Curved and Three-Dimensional Meshes
[NO] 420/1904 | A scaling law of contextual persistence in human language
[NO] 421/1904 | The Miyaoka-Yau inequality and the delta invariant for Fano varieties
[NO] 422/1904 | Beyond a symmetry-restricted VEV ansatz: transverse stability of an $SU(5)$ special-subgroup vacuum
[NO] 423/1904 | VeraGrid-Agent: Tool-Augmented LLMs for Distribution Optimal Power Flow at the Grid Edge
[NO] 424/1904 | On a twisted Singer conjecture
[NO] 425/1904 | Brjuno condition through best approximations and the linearization problem
[NO] 426/1904 | Contrastive Representation Learning of Longitudinal Disease Trajectories on Temporal Graphs
[NO] 427/1904 | Physics-Informed Broad Learning System: An Efficient Backpropagation-Free Framework for Solving Partial Differential Equations
[NO] 428/1904 | Virtual state and two-pole structure: $Ξ(1690)$ and $Ξ(1820)$ from BESIII data on $ψ(3686)\to K^-Λ\barΞ^+$
[NO] 429/1904 | Input Relation Prompting for Metamorphic Testing on Query-Based Systems
[NO] 430/1904 | An Analytic COS Method for Compound Option Valuation
[NO] 431/1904 | Degenerate fixed points of maps in Banach spaces and lattices with decay and their invariant manifolds
[NO] 432/1904 | Progenitor and Explosion Mechanism of 3C 397 Indicated from XRISM High-resolution Spectroscopy of Fe-group Elements
[NO] 433/1904 | To What Extent Can Inherent Communication Noise Guarantee Privacy in Distributed Cooperative Control?
[NO] 434/1904 | Distilling Temporal Search and Reasoning: Evolving LLMs for Future Prediction via Harness-Assisted Efficient Data Synthesis
[NO] 435/1904 | Less is More: Modality-Decoupling for General AIGC Audio-Video Detection
[NO] 436/1904 | P3: Probabilistic Policy Propagation for Stable VAE-Based Robot Learning
[NO] 437/1904 | Mind the Missing Split: Resolving Feature Heterogeneity in Swarm Learning with Random Forests
[NO] 438/1904 | Are the High-weight Neurons the Important Ones in Image Classification Neural Networks?
[NO] 439/1904 | Argus-Unified: Towards A Compact and Economical Unified Model for Image Understanding and Generation
[NO] 440/1904 | Estimating the Geopolitical Preferences of Large Language Models from United Nations Voting Data
[NO] 441/1904 | AMPBench-MT: A Homology-Controlled Benchmark for Antimicrobial Peptide Potency, Spectrum, and Safety Prediction
[NO] 442/1904 | Tip-Tuned Renormalization-Group Spectroscopy Unmasks a False-positive Topological Superconducting Vortex
[NO] 443/1904 | Automated discovery of high-probability heralded schemes for path-entangled states
[NO] 444/1904 | Comparative Analysis of Classification Schemes on Major Bibliometric Platforms: A study of Web of Science, Scopus, the Lens, and Dimensions
[NO] 445/1904 | Construction of PBW and canonical bases in the folding extension algebras for symmetrizable types
[NO] 446/1904 | PatientAgentBench: A Benchmark Framework for Evaluating Patient-Facing Health AI Agents
[NO] 447/1904 | Anisotropic bond-current susceptibilities and real-space current topology in correlated electron systems
[NO] 448/1904 | To Blink or Not to Blink? A New Criterion to Quantify Luminescence Blinking
[NO] 449/1904 | The afterglow of gamma-ray burst - supernova connections
[NO] 450/1904 | Gibbs Phenomenon and Friedel Oscilations: Similarities, Differences, and the Educational Potential of their Comparison
[NO] 451/1904 | Distinguishing the Axion-Wind and Oscillating-EDM Couplings in Storage-Ring Searches for Axion Dark Matter
[NO] 452/1904 | Emergent Latent-State Computation under Stochastic Volatility
[NO] 453/1904 | Bits and Memories: Measuring Verbatim Extraction Across LLM Quantization
[NO] 454/1904 | Accurate wetting dynamics via a conservative Allen-Cahn based lattice Boltzmann approach for multiphase flows
[NO] 455/1904 | Incidence algebras and beyond: brick-continuity and generic bricks
[NO] 456/1904 | Neutrino-electron scattering kernels in isotropic media
