[2026-09-24 23:37:03] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-23
正在获取论文...
[arXiv] 2026-09-23 | Bergman barycentric extensions of boundary homeomorphisms of the complex ball
[IEEE] 2026-9-24 | A Physics-Informed Graph Neural Network Compact Model for RF Transistors
[IEEE] 2026-9-24 | Channel Estimation and LDPC Decoding for Bursty Phase Noise
[IEEE] 2026-9-24 | RoTEE-Loc:Near-Zero-Trust Location Privacy Protection Scheme for V2X Networks Based on Rotating Roadside TEEs
[IEEE] 2026-9-24 | An Algebraic Method for Full-Rank Characterization in Binary Linear Coding
[IEEE] 2026-9-23 | Robust Learning-based Output Regulation Under Denial-of-Service Attacks
[IEEE] 2026-9-24 | The Effect of Filling Strategies of Spray-Jet Printed Cathodes
[IEEE] 2026-9-24 | Are You Moving
[IEEE] 2026-9-24 | Hermes++: Toward a Unified Driving World Model for 3D Scene Understanding and Generation
[IEEE] 2026-9-23 | Heavy Metal Ion Sensing Based on a Balloon-Shaped Optical Fiber Interferometric Structure
[IEEE] 2026-9-24 | Generative vs. Discriminative? An Empirical Study on Code Understanding Classification Tasks
[IEEE] 2026-9-24 | KA-Graph: Knowledge-Aware Orchestration for Industrial Agent Services Under Knowledge Asymmetry
[IEEE] 2026-9-24 | Demonstration of a fully vertical hole-injected 4H-SiC-SACM-Avalanche-Photodiode with two serial pn-junctions
[IEEE] 2026-9-23 | Quantitative Photo-elastic Characterization of Interfacial Residual Stress of Epoxy Insulators
[IEEE] 2026-9-24 | A Phase-Aware Coefficient-Scheduled Grey-Box Soft Sensor for Real-Time State Estimation in Strongly Transient Fluid–Structure Systems_supp1-3731754.pdf
[IEEE] 2026-9-24 | Joint Spatial-Spectral Variations for Material Decomposition in X-Ray Propagation-Based Phase Contrast Imaging
[IEEE] 2026-9-23 | Explainable Credit Risk Modeling and Multiobjective Portfolio Optimization for SMEs
[IEEE] 2026-9-24 | Stress-Modulated Defect Engineering in Monolayer WS2: A First-Principles Study_supp1-3732190.pdf
[IEEE] 2026-9-23 | Spectral symbolic Lempel-Ziv complexity: A novel non-linear measure for fault diagnosis of rotating machinery
共写入 2000 条记录，保存到 papers/paper2026-09-23.json。
论文获取成功，文件路径: papers/paper2026-09-23.json
正在筛选、翻译并发送邮件...
[NO] 1/2000 | Bergman barycentric extensions of boundary homeomorphisms of the complex ball
[NO] 2/2000 | Insight into ordering at nematic twist-bend interfaces
[NO] 3/2000 | Factorizable Lie conformal bialgebras, quadratic Rota-Baxter Lie conformal algebras and some induced structures
[NO] 4/2000 | Local well-posedness for the KdV equation on the half-line at the critical regularity $H^{-\frac34}$
[NO] 5/2000 | MIDIBack: Harmony-Aware Singing Pitch Correction via Joint Vocal-Accompaniment Symbolic Modeling
[NO] 6/2000 | Symmetric group actions on the coordinate ring of the lower unipotent group and the polynomial ring with quantum parameters
[NO] 7/2000 | ALMA's sharpest view of IRAS 08544-4431: Unveiling the dust distribution asymmetries in the circumbinary disk
[NO] 8/2000 | Your Model Is Leaking: Covert Information Transfer through LLM Residual Streams
[NO] 9/2000 | Anisotropy and energy distribution of leptons and photons in radiative relativistic Alfvénic turbulence
[NO] 10/2000 | Six Layers Less: Encoder Pruning for Whisper with Label-Free Recovery
[NO] 11/2000 | The Second MLC-SLM Challenge: Multilingual Conversational Speech Diarization, Recognition, and Understanding
[NO] 12/2000 | Landau singularities and convex geometry
[NO] 13/2000 | Optimal low-rank compression of quantum dynamics
[NO] 14/2000 | Origin of the high-energy spectral cutoff in gamma-ray pulsar halos
[NO] 15/2000 | Passing: An Endless Journey through Reconstructed Spacetime with AI-Generated Sound
[NO] 16/2000 | Collocated Shape Regulation for Soft Robots
[NO] 17/2000 | Pooling Sequential Evidence Across Hypotheses: Rate-Optimal Multiple Testing at a Fixed Horizon
[NO] 18/2000 | Safety-Filtered Distributed Koopman-MPC
[NO] 19/2000 | Beyond Balanced Accuracy: A Resolution and Parity-Controlled Benchmark for Vision-Language and Vision-Only Defect Assessment in UAV Power-Line Inspection
[NO] 20/2000 | Conserved charges and the first law of black holes for field dependent symmetry generators in the covariant phase space formalism
[NO] 21/2000 | Compressed delayed-information projection for six-degree-of-freedom underwater vehicle navigation under delayed acoustic positioning
[NO] 22/2000 | Energy-Oriented CGLA Mapping of a Memory-Polynomial Digital Predistortion Kernel
[NO] 23/2000 | Calibration of cross-field transport models in SOLPS-ITER on the TCV-X21 case
[NO] 24/2000 | The Sharp Rényi and Tsallis Threshold in the Shepp--Olkin Concavity Problem
[NO] 25/2000 | Distance Estimation using Globular Clusters and Ultra-Compact Dwarfs
[NO] 26/2000 | A Deformation Approach to Axially Symmetric Kernels on the Sphere: Harmonic Coupling and Regularity
[NO] 27/2000 | The Dynamical Environment of Kepler-223 Planetary System
[NO] 28/2000 | Fractionation as a Tool to Control Mn/Al Site Mixing and Magnetism in CaMn_{2+x}Al_{10-x}
[NO] 29/2000 | ASAP: Visual Analytics for Identifying and Analyzing Image Patterns in AI-generated Images
[NO] 30/2000 | Quantization-Robust Unlearning through the Lens of Retain-Forget Loss Landscapes Interaction
[NO] 31/2000 | Orbital and spin periods of the intermediate polar 2PBC J0800.5-4306
[NO] 32/2000 | Reflection-Aware Reasoning for Non-Line-of-Sight Pedestrian Localization
[NO] 33/2000 | CART: Closed-Loop Adaptive Red Teaming for Large Language Models
[NO] 34/2000 | Just-in-Time Memory: Learning to Curate Task-Adaptive Memory for LLM Agents
[NO] 35/2000 | JEV-Star: Fast, Low-Cost StarCraft II Control with Language-Model Planning
[NO] 36/2000 | A Sample-Based Approach for Hierarchical Information-Theoretic Compression of Probabilistic Occupancy Grids
[NO] 37/2000 | Learn How to Act from Your Own Interactions: On-Policy Self-Distillation for GUI Agents
[NO] 38/2000 | The Power of Recruiting the Smaller Side: Two Additional Traders Suffice in Two-Sided Markets
[NO] 39/2000 | KITE: KV-Invariant Transformer Expansion for Efficient Agentic LLM Scaling
[NO] 40/2000 | NGN: Learning Neural Network Size as a Differentiable Count
[NO] 41/2000 | Sparse-Observation Atmospheric Thermal Forecasting with Physics-Informed Neural Networks for Climate-Aware Digital Twins
[NO] 42/2000 | EnSIMem: Entity-Structured Indexing for Long-Term Agent Memory
[NO] 43/2000 | Graph Learning with Spectral Connectivity Priors for Scarce Data
[NO] 44/2000 | TimeEvo: Failure-Driven Self-Evolution of a Time Series Agent
[NO] 45/2000 | Satisfaction Is Not Explanation: Auditing Vacuity and Training Influence in Temporal-Logic-Guided Reinforcement Learning
[NO] 46/2000 | Analytical Framework of Radial Resolution for Near-Field Communications
[NO] 47/2000 | Open Questions Towards Skill-Sustaining Reliance in Reflective AI Engagement
[NO] 48/2000 | Cryogenic performance and long-term stability of Hamamatsu R8520-506 photomultiplier tubes in liquid argon
[NO] 49/2000 | Zero density estimates for $\mathrm{GL}_2$ automorphic $L$-functions
[NO] 50/2000 | Norm-Controlled Inversion in Measure Algebras
[NO] 51/2000 | Localization and weighted theory on the Bergman spaces
[NO] 52/2000 | Response of Hellinger-distance based coherence to weak decoherence in two-flavor neutrino oscillations
[NO] 53/2000 | A ready-to-deploy MLOps software platform for satellite and NEO detection at meter-class ground-based observatories
[NO] 54/2000 | Coloring Queens with Thousands of Encodings
[NO] 55/2000 | Direct observation of the electronic structure of even-layer puckered SnTe monolayer films on graphene
[NO] 56/2000 | SGDet3D++: Geometry-Grounded Semantics for 4D Radar and Camera 3D Object Detection
[NO] 57/2000 | The Second Gap and Rigidity in Chern's Conjecture with Constant Cubic Trace
[NO] 58/2000 | Private Decentralized Optimization with Noise Reduction and Bias Correction
[NO] 59/2000 | A magnetar-powered jet-wind outflow in gamma-ray burst-associated supernovae: Application to the thermal components of GRB 060218-SN 2006aj
[NO] 60/2000 | A Rigidity Theorem for Flat Graph Hypersurfaces of Variable-Returns-to-Scale Cobb--Douglas Production Functions
[NO] 61/2000 | Foundations of Algebraic Architecture Theory: A Rising Sea of Geometry, Transport, Comparison, and Reconstruction
[NO] 62/2000 | Learning Local Heterogeneity and Cross-Region Context for Large-Scale Traffic Forecasting
[NO] 63/2000 | Pheno-GS: Phenoscape-scale Geodesic Sinkhorn
[NO] 64/2000 | Compliant AI Infrastructure for Regulated Finance: A tiered multi-agent framework with DLT audit trails for financial operations in DACH
[NO] 65/2000 | InGuard: Towards Generalized Inner Guardrail for Safe Text-to-Image Generation
[NO] 66/2000 | On the local theory of non-archimedean psh functions
[NO] 67/2000 | Can Jev Judge Radiology Reports? Evaluating a System One Model for Clinical Factuality
[NO] 68/2000 | DriftAudio: Marginal Drifting for Distributional Post-Training of One-Step Text-to-Audio Generators
[NO] 69/2000 | Gray-Box Model Predictive Control for Articulated Dump Trucks via Gaussian Process Learning of Sideslip
[NO] 70/2000 | Efficient Linear Bandits via Cluster-Aware Sketching
[NO] 71/2000 | Sparse bounds and joint oscillation for bilinear rough commutators
[NO] 72/2000 | Spherical harmonics, operators of multiplication by coordinates, and infinitesimal conformal transformations
[NO] 73/2000 | Exploring the short-range correlations in $^{16}$O+$^{16}$O collisions at the LHC
[NO] 74/2000 | Efficient learning of Clifford disentanglers and typical $t$-doped unitaries with exponentially more $T$ gates
[NO] 75/2000 | TNLearn: An Open Source Python Package for Task-based Neurons
[NO] 76/2000 | When Visual Quality Misleads: Intent Recognition under Rendered Avatar Distortions
[NO] 77/2000 | ThaiTrees: Thai Syntactic Dependency Trees Across Domains
[NO] 78/2000 | Optimal Trajectory Generation for Improved Magnetic Navigation
[NO] 79/2000 | Definite integral Albert algebras: arithmetic and finite geometry
[NO] 80/2000 | A Topos-Theoretic Approach to the Logarithmic Cartier Transform
[NO] 81/2000 | White Dwarf Pulsars: an emerging class of compact binaries
[NO] 82/2000 | Classical Root Systems Reveal Defect-Junction Data in Stabilizer Renyi Entropy
[NO] 83/2000 | KITE: Scaling Jev Population Experiments with Sparse Flagship Calibration
[NO] 84/2000 | MDRC: A Deployable State-Recovery Defense for Traffic Signal Control under Sensor Corruption
[NO] 85/2000 | On the Tutte polynomial of series-parallel posets
[NO] 86/2000 | JASPER: Joint Audio and Speech Pre-trained Encoder Representations
[NO] 87/2000 | Anti-Localization Uplink Communications in Satellite-Terrestrial Systems
[NO] 88/2000 | UniDataAgent: An Ontology-Grounded Agent for Enterprise Question-to-Report Automation
[NO] 89/2000 | Repurposing Pre-trained LLMs as High Fidelity Continuous Text Autoencoders
[NO] 90/2000 | Memory That Changes Action Is Not Memory That Guides It: Counterfactual Auditing of History-Conditioned Robot Policies
[NO] 91/2000 | Full-Covariance Smoothing of Bayesian Neural Networks for Online Adaptation
[NO] 92/2000 | One-Step Voice Conversion by Learning kNN Transport in WavLM Space
[NO] 93/2000 | Data-Assimilation-Assisted Reinforcement Learning for Power Grid Control under Load Uncertainty
[NO] 94/2000 | NaviScale: Generating Large-Scale Semantic Map Datasets for Object Navigation
[NO] 95/2000 | SOT-large subspaces of non-cyclic operators
[NO] 96/2000 | Prediction with Expert Advice: Anytime Regret with Many Experts Matches the Fixed-Time Constant
[NO] 97/2000 | XLOG: A CUDA-Native Engine for Neurosymbolic Integration
[NO] 98/2000 | A Systematic Benchmark of Explainable Methods for Temporal Attribution in Sequential Recommendation Systems
[NO] 99/2000 | The number of Ekedahl-Oort strata intersecting the supersingular locus in the Siegel modular variety
[NO] 100/2000 | Quieter Than the Room: Representation Drift and Task Robustness in Speech Encoders
[NO] 101/2000 | Diverse by Design: Architectural Constraints for Prototype-Based Interpretability
[NO] 102/2000 | Learning Dissipative Dynamics with Dissipativity-by-Construction Discrete-Time Neural Networks
[NO] 103/2000 | Emergent Prethermal Symmetries for Scalable Hamiltonian Learning
[NO] 104/2000 | Artificial intelligence surrogates for treatment effect estimation with before-and-after data
[NO] 105/2000 | Smallest Cubic Non-1-Planar Graphs
[NO] 106/2000 | From Alignment to Fusion in 3D Vision-Language
[NO] 107/2000 | Load Balancing with Partial Queue Information - Threshold Optimality and Indexability
[NO] 108/2000 | From Agent Output to Authorized Transition
[NO] 109/2000 | Log-Depth Recurrent Language Modeling
[NO] 110/2000 | UNITE-AUDIO: Joint Learning of Continuous Tokenization and Latent Flow Matching for Text-to-Audio Generation
[NO] 111/2000 | Gaussian Critical-Threshold Instability in Real Phase Retrieval
[NO] 112/2000 | PASTABench: Proactive Assessment of Sequential Trajectories for Agent Safety
[NO] 113/2000 | State-Resolved Integral of First-Passage Times for Multi-Site Polymer Adsorption
[NO] 114/2000 | Large Language Models in the UK: Public Use, Trust, and Attitudes
[NO] 115/2000 | Gamma-ray emission toward supergiant shells in the Large Magellanic Cloud
[NO] 116/2000 | Homological Trimming and Regularity of Filtrations via Local Obstruction Modules
[NO] 117/2000 | Black Holes and Scalar Propagation in Three-Dimensional Einstein--Gauss--Bonnet Gravity
[NO] 118/2000 | Large forward discretely self-similar solutions to the two-dimensional Navier-Stokes equations with rough data
[NO] 119/2000 | Effects of Corner Radius and Knudsen Number on Rarefied Gas Flow in a Lid-Driven Cavity
[NO] 120/2000 | Integer Quantization of Graph Neural Networks for Real-Time FPGA Track Finding
[NO] 121/2000 | Variable opacity and accretion-column regimes of magnetized neutron stars
[NO] 122/2000 | DEAL-Grasp: Decoupled Alignment Representation for Geometry-Aware Dexterous Grasp Generation
[NO] 123/2000 | Environment-dependent mass splitting to suppress solar capture in the inelastic-doublet interpretation of the LZ event
[NO] 124/2000 | A tris of perfect matchings in bridgeless claw-free cubic graphs
[NO] 125/2000 | Quantum Topological Data Analysis Beyond Betti Numbers: Complexity Hardness $\&$ An Algorithm for Torsion Witness
[NO] 126/2000 | Periodic Hamiltonian approximation and Oka complements in \mathbb{C^2}
[NO] 127/2000 | Non-Hermitian Purcell Physics in Dissipatively Coupled Planar Photon-Magnon Systems
[NO] 128/2000 | SlackDrive: Reclaiming Runtime Slack for Adaptive Driving Inference
[NO] 129/2000 | A Diagnostic Method for Proto-Neutron Star Magnetic Fields by Supernova Fallback Neutrinos
[NO] 130/2000 | Channel closing in strong-field photoemission from tip arrays
[NO] 131/2000 | Asymptotic Growth of Optimal Stabilization Prefactors for the Schrödinger Equations
[NO] 132/2000 | TEMPS: Temporal Sentence Embeddings for Temporal Information Retrieval
[NO] 133/2000 | Uniqueness for the inverse Schrödinger problem in the plane with $L^p$ potentials, $p>1$
[NO] 134/2000 | Amplitude equations for wave bifurcations in reaction-diffusion systems
[NO] 135/2000 | Subjective Evaluation of DNN AND Auditory-Model-Based Hearing-Loss Compensation
[NO] 136/2000 | Learning a Speed-adaptive Hip Exoskeleton Control Policy Via Sim-to-real Reinforcement Learning
[NO] 137/2000 | Evaluating Feedback Focus and Pedagogical Adaptivity in LLM-Generated Feedback on Student Writing
[NO] 138/2000 | On some $D(u^2)$-triples and quadruples of triangular numbers
[NO] 139/2000 | Exploiting Decompression Latency for Covert Channels in Inter-Line-Compressed LLCs
[NO] 140/2000 | First Pre-peak Ultraviolet Spectrum of a Tidal Disruption Event: A Fast Outflow Revealed Prior to Maximum Light in TDE2025aarm
[NO] 141/2000 | The Skin-Restricted Reinhard Transform:Uniqueness under a Lightness-Preserving Constraint
[NO] 142/2000 | Ehrhart polynomials of cyclic polytopes as averages of zonotope Ehrhart polynomials
[NO] 143/2000 | Frozen Flows Forget: Diagnosing and Restoring Lost Motion in a Latent-flow World Model
[NO] 144/2000 | Existence of disks with prescribed mean curvature and contact angle in arbitrary codimension
[NO] 145/2000 | Learning Holographic Reduced Representations with Clifford Variational Autoencoders
[NO] 146/2000 | Retrospective on the Design and Implementation of the Milestone-Based Fusion Development Program of the U.S. Department of Energy
[NO] 147/2000 | Simulating the emission source function in very peripheral relativistic heavy-ion collisions
[NO] 148/2000 | Quantum score matching with applications to learning thermal states
[NO] 149/2000 | On the distribution of the minimal length of addition chains
[NO] 150/2000 | Delta Characters and Filtered Isocrystals
[NO] 151/2000 | Curvature-Domain Wireless Communications: Gauge-Fixed Signal Spaces, Fredholm Capacity, and Differentiation-Limited Scaling for Continuous Apertures
[NO] 152/2000 | Flamingo: On Load Balancing in DAG-based Consensus Protocols
[NO] 153/2000 | Trivial zeros of zeta functions of type $\mathrm{A}_r$
[NO] 154/2000 | Phase retrieval from a uniformly discrete point set
[NO] 155/2000 | Dynamics-structure interchangeability in binary opinion models on multiplex networks
[NO] 156/2000 | Entropy applications in cosmology: spacetime thermodynamics, holographic dark energy, entropic gravity and beyond - a review
[NO] 157/2000 | Bridging two families of non-Hermiticity: from non-reciprocal couplings to an imaginary potential using the Lanczos transformation
[NO] 158/2000 | Rankin-Cohen Pairings and Hilbert Hecke Eigenform Product Identities
[NO] 159/2000 | phi-FD, a second order finite difference scheme for geometries defined by a level-set function: the Neumann case
[NO] 160/2000 | Rigidity of projective area widths and a weighted Crofton formula on $RP^3$
[NO] 161/2000 | A Tentative Line-like GeV Excess in Fermi Blazar 4FGL J1754.2+3212: Implications for Jet Physics and Beyond
[NO] 162/2000 | A photonic integrated comb engine for ultracold quantum gases
[NO] 163/2000 | Generic variational principles for supinf problems with constraints
[NO] 164/2000 | Computation of anisotropic singular sums from high-order derivatives of Epstein zeta functions
[NO] 165/2000 | Physical Fidelity of Wave-Based Inverse Problems under Broken Time-Reversal Symmetry
[NO] 166/2000 | A tyro's approach to the tilted sieve: beyond the Erdős--Rankin bound
[NO] 167/2000 | Beyond Poetry: Can Large Language Models Generate Classical Arabic Maqamat?
[NO] 168/2000 | Reward-Rate Congestion Games and Replicator--Dinkelbach Dynamics
[NO] 169/2000 | ODPure: Backdoor Purification for Object Detection via Ensemble Corruption Consensus
[NO] 170/2000 | Distilling Datasets into Shallow Circuits for Quantum Machine Learning
[NO] 171/2000 | The Bifurcation Phenomenon for the Regularized Two-Phase Problem Associated with the $p$-Laplacian
[NO] 172/2000 | FLEET: From Logits Entropy to Enhanced Trajectories in Text Generation
[NO] 173/2000 | On the normality of the commuting scheme
[NO] 174/2000 | Change detection with conformal martingales: new optimal constructions, and suboptimality of existing methods
[NO] 175/2000 | Inverse knapsack at two capacities: which pairs of value-cardinality hulls are realizable?
[NO] 176/2000 | LAYERSCOPE: A Layerwise Characterization of Video and Multimodal Learned Representations
[NO] 177/2000 | Learning the Cost of Reliable Inference
[NO] 178/2000 | Bounded cohomology, Codimension two submanifolds and Pontryagin-Thom constructions
[NO] 179/2000 | Echo Detection in Spatial Room Impulse Responses Measured with Spherical Microphone Arrays Using the Herglotz Wavefunction
[NO] 180/2000 | Minimally rational reallocation of objects
[NO] 181/2000 | Topology optimization of multimaterial aircraft pylons using generalized shape function approach
[NO] 182/2000 | Absence of bounded-orbit wandering domains
[NO] 183/2000 | VLMs Can Describe, But Not Measure: Object-Centric Scene Understanding for Robotic Manipulation
[NO] 184/2000 | LightMIS: Ultra-Lightweight Medical Image Segmentation Without a Stage-Wise Decoder
[NO] 185/2000 | Two Global Crops Suffice: Locating Semantic Emergence in DINO-Style Self-Supervised Learning
[NO] 186/2000 | C*-irreducible regular inclusions, Galois correspondence and aperiodicity
[NO] 187/2000 | Regularity of minimizing $p$-harmonic maps from $B^3$ to $\mathbb{S}^3$
[NO] 188/2000 | Dynamical and statistical properties of large scales in turbulence
[NO] 189/2000 | The Path Matters: Evaluating Small Language Models Beyond Answer Accuracy in KGQA
[NO] 190/2000 | Wave-Robust Passive AUV Localization Using FP-MUSIC
[NO] 191/2000 | Sharp Higher Integrability Theory, Part I: The $L^p$-norm of the Beurling--Ahlfors transform
[NO] 192/2000 | Realize What Matters: Principled Context Representation for Large-Scale Reasoning
[NO] 193/2000 | Modularity is Not Enough: Demonstration of a Solderless 400 V DC, 2.5 kW Three-Phase Inverter
[NO] 194/2000 | Rank-One Signal Recovery in Sparse Wishart Noise
[NO] 195/2000 | On convex bodies with rotationally symmetric planar projections
[NO] 196/2000 | Repairability of Inexact Solvers in Recursive State Estimation with Machine Learning
[NO] 197/2000 | A sub-100 pc view at z~5 of a Multiply-Imaged Massive Quiescent Galaxy
[NO] 198/2000 | Differentiable astrophysics at scale: solving and differentiating ODE ensembles on the GPU
[NO] 199/2000 | Scalar Gauss-Bonnet Wormholes and the Imaginary Distance Bound
[NO] 200/2000 | Inter-Temporal Price Constraints in Dynamic Pricing: Performance Guarantees Under Price Monotonicity and Promotion Fatigue
[NO] 201/2000 | Nonequilibrium Phases of Repulsive Self-Attention: Chaos, Attention Condensation, and Emergent Locality
[NO] 202/2000 | A counterexample to Fuchs's conjecture
[NO] 203/2000 | Order-Invariant Answers, Order-Sensitive Representations in Mathematical Reasoning
[NO] 204/2000 | Formal weakly enriched category theory
[NO] 205/2000 | Predicting the Progression of Adolescent Idiopathic Scoliosis
[NO] 206/2000 | Dualisable categories in noncommutative geometry
[NO] 207/2000 | Pulsar magnetospheres in dynamical Chern-Simons gravity: deathline conditions and polar-cap particle acceleration
[NO] 208/2000 | Performance-portable GPU acceleration of the hybrid particle-in-cell code dHybridR
[NO] 209/2000 | Transposition achieves OPT$+O(1)$ in polynomial time for IID list update
[NO] 210/2000 | Cursed Rationalizability
[NO] 211/2000 | When and Where to Trust the Teacher: Unifying On-Policy Distillation and GRPO through Entropy-Calibrated Credit Assignment
[NO] 212/2000 | Lasing Mode Control in ZnO Nanowires Coupled to TiO2 Nanopillars
[NO] 213/2000 | Multiplicity-Weighted Moments Across a Harmonic Caustic: Closed Forms with Order-Independent Breakpoints
[NO] 214/2000 | Simulation of a Battery Cell on Quantum Computers: Reactions & Transport
[NO] 215/2000 | Partition functors and universal exponential relations
[NO] 216/2000 | Improved Bohr-Rogosinski radius for holomorphic mappings with values in complex Banach spaces
[NO] 217/2000 | A partitioned fluid-structure interaction solver for two-phase sloshing and flexible spacecraft dynamics
[NO] 218/2000 | High order biorthogonal functions for the discrete de Rham complex on simplices*
[NO] 219/2000 | Mizar: A 159M-Parameter Audio-Language Model for Audio Understanding
[NO] 220/2000 | An Open Pipeline and Dashboard for Systemic-Risk Evidence under the EU AI Act's Code of Practice
[NO] 221/2000 | Nested Disappearing-Track plus Displaced-Vertex Topology at the HL-LHC: A Dual Long-Lived-Particle Signature of the Scotogenic Model
[NO] 222/2000 | Investigating the ionization mechanisms powering the extreme emission lines in metal-poor galaxies
[NO] 223/2000 | Multimodal Voice Activity Projection for Social Robot Mediation: Expected Behavior and Deployment Constraints
[NO] 224/2000 | Rank properties of commutators in finite groups
[NO] 225/2000 | Sharp existence and non-existence for singular $1$-Laplace equations with Hardy potentials
[NO] 226/2000 | Stable Cellularity in Hopfological Algebra
[NO] 227/2000 | Gradient constraints, Born-Infeld, and maximal surfaces via superposition of infinitely many $p$-Laplacians
[NO] 228/2000 | PBLH Estimation from Satellite Radiances via a Dual-Encoder Transformer
[NO] 229/2000 | Non-Commutative State Tracking with Input-Dependent Low-Rank Updates in Mamba-3
[NO] 230/2000 | Predicting Quantization Price for Selecting PTQ Configurations Before Deployment
[NO] 231/2000 | BRACE: Blockwise Rank Aggregation for Correlation Estimation
[NO] 232/2000 | Evaluating $\mathrm {SU}(3)$ Verlinde sums using spectral graph theory
[NO] 233/2000 | GenMC: Real-Time Generative Monte Carlo Surrogate for Quantitative Photoacoustic Imaging
[NO] 234/2000 | MemBodied: Recurrent Associative Memory for Vision-Language-Action Models
[NO] 235/2000 | $G$-categories, bootstrap classes and UCT
[NO] 236/2000 | Ideal Membership in Polynomial Calculus: Complexity and Reductions
[NO] 237/2000 | Second-Order Stationarity with Common Random Losses: Matching Tolerance Bounds
[NO] 238/2000 | EmbodiedMemory-Bench: Benchmarking Embodied Memory for Long-Horizon Embodied Tasks
[NO] 239/2000 | Do Center Biases Propagate? Robustness of Pathology Foundation Models in Whole-Slide Image Classification
[NO] 240/2000 | A Unified Framework and Dataset for Oriented Object Visual Grounding in Remote Sensing
[NO] 241/2000 | Determination of the Charge of Electron Using Faraday's Law of Electrolysis
[NO] 242/2000 | Derived Smooth and Banach Higher Groupoids: Representability and Descent
[NO] 243/2000 | Solar capture and annihilation of fermionic and scalar dark matter motivated by the LUX-ZEPLIN high-recoil candidate
[NO] 244/2000 | Sharp Quantitative Stability for the Affine $p$-Sobolev Inequality, Part II: The Case $1<p<2$
[NO] 245/2000 | Distinguishing Gauss sums
[NO] 246/2000 | Do Electromagnetic Side-Channel Attacks Threaten Electronic Polling Stations? Scenarios and Recommendations
[NO] 247/2000 | On the hyperbolic prime number theorem
[NO] 248/2000 | Transferable Evidence Reconstruction for Longitudinal Glucose Representations
[NO] 249/2000 | From ECG Signals to Representative-Morphology Heatmaps for Biometric Recognition
[NO] 250/2000 | How Sensitive Are LLM Leaderboard Claims to Hidden Model Selection?
[NO] 251/2000 | Counterexamples to the Reiner-Shimozono conjecture and the failure of Schubert filtrations
[NO] 252/2000 | Larger physical volume and bounds on the number of matter fields in noncompact gauge theories on a lattice
[NO] 253/2000 | The compressible liquid drop model with curvature included algebraically for the pasta phases in neutron stars
[NO] 254/2000 | A comparative assessment of global building and settlement datasets across geographic and settlement contexts
[NO] 255/2000 | EvEMTBench: An Open Benchmark for Machine Learning in Power System Protection
[NO] 256/2000 | "We'll Fix It Later": Education, AI, and the Deferral of Privacy in EdTech
[NO] 257/2000 | Unbounded Operators, Physicality, and Modality in Quantum Theories
[NO] 258/2000 | Extreme Population Selection under Multistage Sampling design With Applications
[NO] 259/2000 | Optimal Evasion from a Resetting Searcher
[NO] 260/2000 | Probabilistic and Geometry Aware Neural Surrogate of Scrape Off Layer Plasma Simulations
[NO] 261/2000 | Watching What We Eat: Information Quality and Body Image in Diet-Related YouTube Videos
[NO] 262/2000 | Compact linear combination of composition operators on Bergman-Orlicz spaces
[NO] 263/2000 | Dual-Hypergraph Indexing: Bridging Knowledge Islands for Multi-Hop Reasoning in Retrieval-Augmented Generation
[NO] 264/2000 | Schauder estimates for a class of fully nonlinear elliptic PDEs: a geometric tangential approach
[NO] 265/2000 | Strict Stability of the ADM Mass and Static Vacuum Extensions
[NO] 266/2000 | MotionSpec: Spectral Trajectory Supervision for Motion-Consistent Video Generation
[NO] 267/2000 | Shock-free super-Eddington accretion onto magnetized neutron star
[NO] 268/2000 | Can LLMs Catch a Rigged Backtest? A Clean-Control Calibration Benchmark
[NO] 269/2000 | Complex median method
[NO] 270/2000 | Reference-Based Analysis of Coherence and Diversity in Open-Ended Text Generation
[NO] 271/2000 | The Arithmetic of Reducible Rank 2 Hypergeometric Motives
[NO] 272/2000 | Cyclic ABC Massey Products
[NO] 273/2000 | Prompt, Probe, Train, or Annotate? Single-camera sports video understanding in amateur settings
[NO] 274/2000 | General conditions for Turing and wave instabilities in reaction-diffusion systems
[NO] 275/2000 | Energy conservation of weak solutions and Onsager's conjecture for the two-component Camassa-Holm system
[NO] 276/2000 | Neural Network Guided Parameter Space Constraints for Gravitational Wave Searches from Binary Black Holes
[NO] 277/2000 | The Neutral Hydrogen Gas Content of Star-forming and Quiescent S0 Galaxies
[NO] 278/2000 | Nonabelian vortices: From topological strings to nonvolatile memory
[NO] 279/2000 | PISCES: Physics-Informed Solar-wind Convolutional autoEncoder for Space-weather Anomaly Detection and Early Warning
[NO] 280/2000 | PANGU I: A Parthenon-Based Framework for Fixed-Spacetime GRMHD
[NO] 281/2000 | Stability for the inverse source problem of the stochastic fractional Helmholtz equation
[NO] 282/2000 | Large-Scale Geometric Map-Based Localization of UAVs in GNSS-Denied Urban Environments
[NO] 283/2000 | Stability under mixtures of transportation inequalities and restricted log-Sobolev inequalities
[NO] 284/2000 | Energy estimation of direct and reflected cosmic-ray events aboard balloon-borne radio detectors
[NO] 285/2000 | Charge and spin qubits in interacting quantum dots coupled to Rashba-active leads
[NO] 286/2000 | Adaptive confidence intervals with missing data
[NO] 287/2000 | Band-Edge Homogenization and the Sound-Soft Limit of Finite Bubbly Crystals
[NO] 288/2000 | Label-Efficient Generative Inverse Design and Design-Rule Discovery in Freeform Topological Photonics
