[2026-07-03 11:33:31] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[NO] 312/1899 | Disorder-induced superconductivity in graphene
[NO] 313/1899 | BamiBERT: A New BERT-based Language Model for Vietnamese
[NO] 314/1899 | Cross Domain Few-Shot Class-Incremental Audio Classification Via Adversarial Contrastive Learning
[NO] 315/1899 | ArcAD: Anomaly-Rectified Calibration for Cold-Start Supervised Anomaly Detection
[NO] 316/1899 | Partition Rank and Algebraic Circuit Lower Bounds
[NO] 317/1899 | Challenges and Recommendations for LLMs-as-a-Judge in Multilingual Settings and Low-Resource Languages
[NO] 318/1899 | Purified OPSD: On-Policy Self-Distillation Without Losing How to Think
[NO] 319/1899 | Unlocking Speech-Text Compositional Powers: Instruction-Following Speech Language Models without Instruction Tuning
[NO] 320/1899 | Storm Track Self-Reinforcement Through Cloud Radiative Effects
[NO] 321/1899 | An Additive MLP-GNN Framework for Characterizing Chemical and Structural Contributions to Aqueous Solubility
[NO] 322/1899 | Criticality-Based Guard Rail Validation for AI Agent Decisions in Autonomous Telecom Networks
[NO] 323/1899 | The Binary Crisis Clock: Controlled by Sparse Ternary Interventions
[NO] 324/1899 | Gamma-ray production cross sections in proton interactions with natMg, natSi and 56Fe targets: measurement over the energy range of $E_p = 66$-125 MeV, data analysis, results and discussion. Astrophysical implications
[NO] 325/1899 | Online Resource Allocation with Continuous Random Consumption: Regret under Degeneracy
[NO] 326/1899 | Theory of collective learning in populations of adaptive agents
[NO] 327/1899 | Thermodynamics of Quantum Reservoir Computing
[NO] 328/1899 | Path-Measure Dynamics of Attention-Driven World Models: A Nonlocal Onsager--Machlup Approach
[NO] 329/1899 | Extending the computational reach of Quantum Annealing using Reverse Annealing
[NO] 330/1899 | Pore-scale distribution and transport of active particles in a two-dimensional lattice
[NO] 331/1899 | Universal minimal flows of the homeomorphism groups of pseudo-solenoids are non-metrizable
[NO] 332/1899 | ART for Diffusion Sampling: Continuous-Time Control and Actor-Critic Learning
[NO] 333/1899 | Quaternion Nondecimated Wavelet Descriptors for Multiclass Breast Histology Classification
[NO] 334/1899 | Three-Dimensional Spatial Correlation Modeling for Cylindrical mMIMO Arrays in HAPS
[NO] 335/1899 | Black Boxes in Black Hole Imaging
[NO] 336/1899 | Development of a cosmic ray detector using CMOS sensors embedded in smartphones and Raspberry Pi devices
[NO] 337/1899 | Structured Gaussian Processes for Uncertainty-Aware Classification of High-Dimensional, Small-Sampled Omics Data
[NO] 338/1899 | Separating Geodesic Structure and Product Structure
[NO] 339/1899 | LongEgoRefer: A Benchmark for Long-Form Egocentric Video Referring Expression Comprehension
[NO] 340/1899 | The Wigner function for Integer quantum Hall effect
[NO] 341/1899 | An Optimisation Framework for the Well-Conditioned Training of Physics-Informed Neural Networks
[NO] 342/1899 | Denser $\neq$ Better: Limits of On-Policy Self-Distillation for Continual Post-Training
[NO] 343/1899 | Fluctuations of the Sherrington--Kirkpatrick free energy at critical temperature
[NO] 344/1899 | Made to Feel: How Designers Bring Emotions into Affective Visualization
[NO] 345/1899 | Alignment Is All You Need For X-to-4D Generation
[NO] 346/1899 | A Probabilistic Sign Rule for Quotients of Positive Series and Integral Transforms
[NO] 347/1899 | What LLM Agents Say When No One Is Watching: Social Structure and Latent Objective Emergence in Multi-Agent Debates
[NO] 348/1899 | The structure of FAC posets and the Aharoni--Korman conjecture
[NO] 349/1899 | Controllable Sim Agents with Behavior Latents
[NO] 350/1899 | Cut-off Jastrow Factors and Spectral Barron Regularity of Coulombic Electronic Wave Functions
[NO] 351/1899 | Probabilistic Memory for Trustworthy Edge Intelligence
[NO] 352/1899 | OrbitQuant: Data-Agnostic Quantization for Image and Video Diffusion Transformers
[NO] 353/1899 | Boundary observables in string field theory
[NO] 354/1899 | On invariant subalgebras of noncommutative Poisson boundaries for higher rank lattices
[NO] 355/1899 | EvoPolicyGym: Evaluating Autonomous Policy Evolution in Interactive Environments
[NO] 356/1899 | WorldSample: Closed-loop Real-robot RL with World Modelling
[NO] 357/1899 | Directed univalence for simplicial objects in an $\infty$-topos
[NO] 358/1899 | Bottlenecks in Hamiltonian-Adaptive Resolution Simulation Method for Modeling Interfaces
[NO] 359/1899 | Chebyshev Approximations of Feynman Integrals for Collider Physics
[NO] 360/1899 | Black Hole Persistence in Scalar Tensor Theories
[NO] 361/1899 | Measurement of solar $pp$ neutrino flux with the new PandaX-4T data
[NO] 362/1899 | Intrinsic Brown--York Type Mass at Infinity in Four Dimensions
[NO] 363/1899 | An Inner-Scaled Linear Contribution to Wall-Pressure Variance at High Reynolds Number
[NO] 364/1899 | The Gauss periods and cyclotomic matrices involving Gauss sums over cyclic groups
[NO] 365/1899 | WattGPU: Predicting Inference Power and Latency on Unseen GPUs and LLMs
[NO] 366/1899 | DecompRL: Solving Harder Problems by Learning Modular Code Generation
[NO] 367/1899 | Steerability via constraints: a substrate for scalable oversight of coding agents
[NO] 368/1899 | Generative Autonomous Grid Control: Integrating Decision Transformers with a Two-Stage Safety Stack
[NO] 369/1899 | Sobolev stability of the $L^2$-projection on hybrid meshes
[NO] 370/1899 | Data Comics for Education: Evaluating Effectiveness, Benefits, and the Ethics of AI-Assisted Creation
[NO] 371/1899 | Mesoscopic Linear Statistics for Two Ensembles of Quantum Graphs
[NO] 372/1899 | Assessing Ultra-Cool Dwarf Contamination in Photometrically Selected High-Redshift Galaxy Samples
[NO] 373/1899 | A PDE-Based Framework for Generative Modeling Beyond Classical Score-Based Diffusion
[NO] 374/1899 | Eliminating positive-measure level sets by small Lipschitz perturbations
[NO] 375/1899 | Analyses on Christoph Clavius' Reports of Total Solar Eclipses in 1560 and 1567: Key References for the Centennial Variations of the Earth's Rotation Speed and the Solar Radius
[NO] 376/1899 | Evidence for Deconfined Magnetic Order in the Kitaev-$J_3$ Model
[NO] 377/1899 | Dispersive-optical-model analysis of the asymmetry dependence of neutron skins
[NO] 378/1899 | G-RRM: Guiding Symbolic Solvers with Recurrent Reasoning Models
[NO] 379/1899 | Guiding Human Validation of LLM-Generated Code via Verifiable Literate Programming
[NO] 380/1899 | Scalable and Distributed Silhouette Approximation
[NO] 381/1899 | Symmetries of Pauli Noise from Lindbladian Dynamics
[NO] 382/1899 | Discovery of sulfur oxides in the ejecta of a B[e] supergiant
[NO] 383/1899 | Fast and Accurate Anomaly Detection in Time Series
[NO] 384/1899 | $Λ$ hyperons in core-collapse supernovae: Equilibration and neutrino opacities
[NO] 385/1899 | Positive Cones of Parabolic Grassmann Bundle over a curve
[NO] 386/1899 | HaloGuard 1.0: An Open Weights Constitutional Classifier for Multilingual AI Safety
[NO] 387/1899 | Anisotropic tunneling through magnetic barriers in 8-Pmmn borophene
[NO] 388/1899 | Anisotropic nanoscale coherent polariton transport in CrSBr
[NO] 389/1899 | Algebraic Model Counting for Global Analysis of Optimal Decision Trees
[NO] 390/1899 | Towards graviton lasing from squeezed ultra-cold systems
[NO] 391/1899 | LMPAN: A Lightweight Multi-Path Alignment Network for Joint Full-Duplex Acoustic Echo Cancellation and Noise Suppression
[NO] 392/1899 | NGTS-39 b: A 58 d transiting warm Jupiter in an eccentric orbit
[NO] 393/1899 | File-Level Copying Is an Implicit Dependency in Open Source
[NO] 394/1899 | SPLIT: Cross-Lingual Empathy and Cultural Grounding in English and Ukrainian LLM Responses
[NO] 395/1899 | PWM-ArtGen: Part World Model for Articulated Object Generation
[NO] 396/1899 | Four-channel prototype using coherent combining of ultrashort laser pulses for dipole configuration approximation
[NO] 397/1899 | Spatio-Temporal and Clinical Conditioning for Fine-Grained Radiology Report Retrieval
[NO] 398/1899 | A depth resolved investigation of hydrogen uptake in carbon based nanostructures by soft-to-hard photoemission spectroscopy
[NO] 399/1899 | Mirror Illusion Art
[NO] 400/1899 | Resolution of the Detection Threshold Conjecture for Random Geometric Graphs in the $d>n$ Regime
[NO] 401/1899 | Integrated Wake-Up Radio and MIMO Solution for Cellular IoT Networks
[NO] 402/1899 | A Stereo Visual SLAM System Using Object-Level Motion Estimation and Geometric Filtering Based on Cross Disparity
[NO] 403/1899 | Born Discrete, Made Smooth: Variational Formulation of Shallow Neural Networks
[NO] 404/1899 | HVAF Spraying of NiTi Coatings: Microstructure, Phase Transformation and Shape Memory Behavior
[NO] 405/1899 | Meshfree versus grid-based Schrödinger solvers for modeling the interactions between free-electron wave packets and light
[NO] 406/1899 | Traceable Fault Diagnosis for Battery Energy Storage Systems via Retrieval-Augmented Multi-Agent O&M Assistant
[NO] 407/1899 | Hacking measurement-device-independent quantum key distribution
[NO] 408/1899 | Energy transfer, Intermittency and Mixing in Shear-Driven Stratified Turbulence
[NO] 409/1899 | Multimodal Knowledge Edit-Scoped Generalization for Online Recursive MLLM Editing
[NO] 410/1899 | A Multi-Branch Hierarchy-Aware Framework for Heterogeneous Audio Classification
[NO] 411/1899 | Assessing VLM Reliability for Medical Image Quality Evaluation Under Corruption and Bias
[NO] 412/1899 | Object Aligner: A Configurable JSON Schema Similarity Score for Graphs, Applied to LLM Prompt Optimization
[NO] 413/1899 | Genuine and strongly genuine polynomials: With an application to the persistence of Galois groups under specialization
[NO] 414/1899 | The ring wants to be broken
[NO] 415/1899 | Probabilistic Low-Voltage Peak Load Forecasting with Time Series Foundation Models Evaluated on Application-Oriented Metrics
[NO] 416/1899 | Towards a Phonology-Informed Evaluation of Multilingual TTS
[NO] 417/1899 | Beyond Supervised Clarification: Input Rewriting with LLMs for Dialogue Discourse Parsing
[NO] 418/1899 | On a Smoothed Walfisz Divisor Problem
[NO] 419/1899 | Filter-induced linear topologies on residuated lattices: Hausdorffness, profiniteness, and finiteness conditions
[NO] 420/1899 | Robust for the Wrong Reasons: The Representational Geometry of LLM Robustness to Science Skepticism
[NO] 421/1899 | Fermiology and spin polarization of topological surface states in PtBi$_2$
[NO] 422/1899 | Second-order fluctuations for a phase transition in random partitions
[NO] 423/1899 | CausalSteward: An Agentic Divide-Conquer-Combine Copilot for Causal Discovery
[NO] 424/1899 | Low-regularity finite element elasticity complexes with hybridizable stresses on tetrahedral Alfeld splits
[NO] 425/1899 | Transferring supremum-norm rates and weak convergence of covariance kernel estimators to functional principal components
[NO] 426/1899 | Tuning quantum magic of pure quantum chaotic states with a gravity dual
[NO] 427/1899 | Real-weighted Diameter and Eccentricity of Minor-free and Bounded VC-dimension Graphs in Truly Subquadratic Time
[NO] 428/1899 | ContextSniper: AntTrail's Token-Efficient Code Memory for Repository-Level Program Repair
[NO] 429/1899 | Markovian Arrival Process Parameter Estimation of Quasi-birth-death Queueing Systems with Utilization Data
[NO] 430/1899 | Beyond Laplace: Closed-form wrapped Gaussian posterior approximations on statistical manifolds
[NO] 431/1899 | Measuring Opportunity Cost with Stock Lifetime Value
[NO] 432/1899 | Rethinking Complexity Metrics for LLM-Integrated Applications: Beyond Source Code
[NO] 433/1899 | SABER: A Semantic-Aligned Brain Network Analysis Framework via Multi-scale Hypergraphs
[NO] 434/1899 | FoundDP: Revisiting Weak Disparity Observability in Dual-Pixel Depth Estimation
[NO] 435/1899 | The slope of the friction law of hertzian-asperity--based metainterfaces has a finite positive lower bound
[NO] 436/1899 | Understanding Build Reproducibility in the F-Droid Ecosystem
[NO] 437/1899 | Rotating Black Holes and the Kerr/CFT Correspondence in Einstein-Bumblebee Gravity
[NO] 438/1899 | CSI Simulation: Why Additive Noise Fails and How to Fix It
[NO] 439/1899 | Learning the Supports for Categorical Critic in Reinforcement Learning
[NO] 440/1899 | Exponential growth rates of even Coxeter groups
[NO] 441/1899 | Petersen graph and monodromy of the 27 lines on the Clebsch surface
[NO] 442/1899 | Coupling some conditioned L{é}vy trees with the Kesten tree
[NO] 443/1899 | On super Delta-points and the convex-DLD2P in absolute sums
[NO] 444/1899 | Phenomenology of genuine twist-three distributions from a global QCD analysis
[NO] 445/1899 | meer21cm: an Analysis Pipeline and Comprehensive Toolkit for HI Intensity Mapping
[NO] 446/1899 | Semi-uniform stability estimates for impedance passive systems with saturated feedback *
[NO] 447/1899 | Regression Accumulation in Multi-Turn LLM Programming Conversations
[NO] 448/1899 | Geometric Foundation Model Distillation for Efficient Lunar 3D Reconstruction
[NO] 449/1899 | CLAP: Closed-Loop Training, Evaluation, and Release Control for Domain Agent Post-training
[NO] 450/1899 | Mixture-of-Parallelisms: Towards Memory-Efficient Training Stack for Mixture-of-Experts Models
[NO] 451/1899 | A Unified CutFEM Formulation for Finite-Strain Elasticity: Energy Minimisation and Corner Singularities
[NO] 452/1899 | A Stable Boundary Element Method for Reliable Long-Time Industrial Sound Emission
[NO] 453/1899 | On the Role of Directionality in Structural Generalization
[NO] 454/1899 | Beyond the Giampietro--Darmon Conjecture
[NO] 455/1899 | MATCH: Multiplier-Assisted Tests for Conditional Hypotheses in Non-Euclidean Data
[NO] 456/1899 | FlowCIR: Semantic Transport via Flow Matching for Zero-Shot Composed Image Retrieval
[NO] 457/1899 | Bridgeland-Enriques general K3 surfaces
[NO] 458/1899 | Bockstein braiding statistics
[NO] 459/1899 | Washed Out by the Crowd? Accountability under Sequential Review
[NO] 460/1899 | AnyGroundBench: A Specialized-Domain Benchmark for Video Grounding in Vision-Language Models
[NO] 461/1899 | Josephson and Spin Currents in Coupled Polariton Condensates
[NO] 462/1899 | Functions in $L_1(μ,Y)$ with optimal tensor representations
[NO] 463/1899 | SN 2020bij and a Possible Slow-Rise High-Velocity Subclass of Type IIP Supernovae
[NO] 464/1899 | From microscopic fluctuations to susceptibility spectra: single-molecule relaxation in glassy media
[NO] 465/1899 | Foliations by constant spacetime mean curvature surfaces for asymptotically hyperboloidal initial data sets
[NO] 466/1899 | Reference-Governed Distributed Safe Gradient Flow for Safe Optimal Output Agreement of Multi-Agent Systems
[NO] 467/1899 | UA-ChatDev: Uncertainty-Aware Multi-Agent Collaboration for Reliable Software Development
[NO] 468/1899 | RadiomicNet: A Hybrid Radiomics-Guided Lightweight Architecture for Interpretable Medical Image Segmentation
[NO] 469/1899 | A highly efficient iterative approach for inverse acoustic obstacle scattering problems in three dimensions
[NO] 470/1899 | Unconditional Optimal Error Estimates and Energy Stability for a Linearly Implicit Mass-Lumped Projection Finite Element Method for the Harmonic Map Flow
[NO] 471/1899 | Choreographing the Way of Water: A Computational Framework for Aquatic Robotic Art
[NO] 472/1899 | The total mass of Brownian loop measure of Riemann surfaces for large genus
[NO] 473/1899 | Efficient PEFT Methods with Adaptive Checkpointing for Vision Models and VLMs on Resource Constrained Consumer-GPUs
[NO] 474/1899 | Patient-Specific Articulated Digital Twins from a Single Full-Body CT Scan
[NO] 475/1899 | Liouville-type theorems and existence of solutions for quasilinear elliptic problems
[NO] 476/1899 | Spherically Symmetric Fluid Simulations of Black Hole Accretion in Self-Interacting Dark Matter Halos
[NO] 477/1899 | Tight Lower Bounds for the Multi-Secretary Problem via Bellman Certificates
[NO] 478/1899 | Taxing Artificial Intelligence
[NO] 479/1899 | Predicting Early Stages Of Alzheimer's Disease And Identifying Key Biomarkers Using Deep Artificial Neural Network And Ensemble Of Machine Learning Methodologies
[NO] 480/1899 | A$^{2}$utoLPBench: An Auto-Generated, Agent-Friendly LP Benchmark via Inverse-KKT Construction
[NO] 481/1899 | Reachability-Based Safe-Start Regions for Approach to a Tumbling Target with Rotating LOS Constraints
[NO] 482/1899 | On the rigidity of generalized $m$-quasi-Einstein manifolds of Yamabe-type
[NO] 483/1899 | An Efficient vLLM-Based Inference Pipeline for Unified Audio Understanding and Generation
[NO] 484/1899 | ContextNest: Verifiable Context Governance for Autonomous AI Agent
[NO] 485/1899 | Sequential Structure-Sensitive Residual Diagnostics for PDE Inverse Problems
[NO] 486/1899 | WBMM: Windowed Batch Matrix Multiplication for Efficient Large Receptive Field Convolution
[NO] 487/1899 | Multimodal Fusion for Fine-Grained Classification of Breast Fibroadenoma and Phyllodes Tumors
[NO] 488/1899 | SUNTA: Hierarchical Video Prediction with Surprise-based Chunking
[NO] 489/1899 | Enabling Real-Time AI in O-RAN: Deploying andMeasuring AI Inside a Near-RT RIC xApp
[NO] 490/1899 | A second-order diffusive-interface immersed boundary method for incompressible flow with phase change and moving interfaces
[NO] 491/1899 | The Narayana transformation
[NO] 492/1899 | Scaling Trends for Lie Detector Oversight in Preference Learning
[NO] 493/1899 | Evolutionary Feature Engineering for Structured Data
[NO] 494/1899 | Improved polynomial estimate for the Lebesgue constants of Leja sequences on finite unions of intervals
[NO] 495/1899 | Lynx: Progressive Speculative Quantization for accelerating KV Transfer in Long-Context Inference
[NO] 496/1899 | Gender Differences in Research Topic and Method Selection in Library and Information Science: Perspectives from Three Top Journals
[NO] 497/1899 | Gaming Consensus: Coordinated Manipulation in Crowdsourced Fact-Checking
[NO] 498/1899 | Self-Supervised Test-Time Tuning for Packet Loss Concealment
[NO] 499/1899 | Gravitational Waves from Primordial Black Holes: Connecting Low-Frequency Scalar-Induced Signatures to High-Frequency Binary Mergers
[NO] 500/1899 | Finite-time stability of two-soliton solutions of the Hartree equation with elliptic trajectories
[NO] 501/1899 | Approximate Attention Weighting for Sustainable FPGA-Based Vision Transformer Inference
[NO] 502/1899 | Structure-Aware Compilation for Scalable Neutral-Atom Quantum Computing
[NO] 503/1899 | Euler characters for general linear Lie superalgebra
[NO] 504/1899 | Density functional study of native point defects in CaO
[NO] 505/1899 | Scene-Conditioned PINN-GNN for Multipath RF Maps: Cross-Scene Generation and In-Scene Completion
[NO] 506/1899 | Faster Parameterized Broadcasting
[NO] 507/1899 | ProSAC-CT: Progressive Spectral-Anatomical Co-Guided Multi-Stage Diffusion Model for Low-Dose CT Denoising
[NO] 508/1899 | Efficient Temporal Point Processes via Monotone Alternating Splines
[NO] 509/1899 | RTE-FM-Dehazer: Radiative Transfer Equation Inspired Flow Matching for Real-World Image Dehazing
[NO] 510/1899 | Adapting CCDF Plots for Visualizing Ordinal Regression Results
[NO] 511/1899 | Quasiparticle structure and $α$-decay scheme of nuclei along alpha-decay chain of $^{288}$Mc
[YES] 512/1899 | Knowledge Over Parameters: Evolving Smart Contract Vulnerability Detection
[NO] 513/1899 | Rethinking Speech-LLM Integration for ASR: Effective Joint Speech-Text Training by Interleaving
[NO] 514/1899 | Quantum-Inspired Vision: Leveraging Wave-Particle Duality for Low-Illumination Enhancement
[NO] 515/1899 | Resilient Liquid Democracy: Mitigating Voting Power Imbalances via Secure Delegation Networks
[NO] 516/1899 | When Algebraic Symmetry Breaking Meets Solvers: An Experimental Study
[NO] 517/1899 | Predicting Novel Stable Materials for Experimental Synthesis
[NO] 518/1899 | Portfolio Optimization under Fast and Slow Latent Mean-Reverting and Momentum Drift
[NO] 519/1899 | Pmeta-TLA: Backdoor Attacks for Speech Classification Models via Meta-Learning with Timbre Leakage Attack
[NO] 520/1899 | Dynamic Modeling and Parameter Estimation for Origami Structure Reconfiguration Process
[NO] 521/1899 | The Sun's chemical peculiarity: disentangling Galactic chemical evolution and planetary engulfment in solar twins
[NO] 522/1899 | Gravitational Waves from Multiple First-Order Phase Transitions in a Scenario with Early Matter Domination
[NO] 523/1899 | Many-body benchmarking of DFT local-registry energetics in bilayer InSe
[NO] 524/1899 | ICDepth: Taming Video Diffusion Models for Video Depth Estimation via In-Context Conditioning
[NO] 525/1899 | UT-AISTimprt submission for ICME 2026 Grand Challenge on Academic Text-to-Music Generation
[YES] 526/1899 | VeriChat: An Agentic Conversational AI Assistant for Hardware Security Verification
[NO] 527/1899 | Periodic Radio Technosignature Search toward 3I/ATLAS with FAST
[NO] 528/1899 | CALM: Interpretable Cross-Modal Alignment for Biomarker Discovery from Unpaired Data
[NO] 529/1899 | Preparing a Thermofield Double State with Feedback Quantum Algorithms
[NO] 530/1899 | Boosting Ultrasound Image Classification via Attribute-Guided Dual-Branch Framework
[NO] 531/1899 | Numerical Investigation of Efficient Electron Acceleration at an Unsteady Solar Flare Loop-Top
[NO] 532/1899 | Multi-Resolution Flow Matching: Training-Free Diffusion Acceleration via Staged Sampling
[NO] 533/1899 | Chiral interaction enhanced magnon bundle emission
[NO] 534/1899 | 3DLS: A 3D Logic-Stacked Architecture for Disaggregated LLM Serving
[NO] 535/1899 | A Unified Framework for Hybrid Grid-Forming and Grid-Following Inverter Control
[NO] 536/1899 | Scaling with Confidence: Calibrating Confidence of LLMs for Adaptive Test Time Scaling
[NO] 537/1899 | SINA: A Fully Automated Circuit Schematic Image to Netlist Generator Using Artificial Intelligence
[NO] 538/1899 | A degenerate Whittaker criterion for $\mathrm GL_{2n}$
[NO] 539/1899 | Calibration of DOI-Capable PET Detector Panels Using Uncollimated Front-Face Irradiation
[NO] 540/1899 | On the Critical One Components Regularity for the $3-D$ Navier-Stokes System in $L^p_T(\dot{B}^{\frac 1 2+\frac 2 p}_{2,\infty})$ spaces
[NO] 541/1899 | Testing Unate Distributions
[NO] 542/1899 | Online Safety Monitoring for LLMs
[NO] 543/1899 | From SRA to Self-Flow: Data Augmentation or Self-Supervision?
[NO] 544/1899 | On the emergence of quantum many-body chaos for tunably-broken integrability
[NO] 545/1899 | Seek to Segment: Active Perception for Panoramic Referring Segmentation
[NO] 546/1899 | Stability of global self-similar solutions to the cubic wave equation and the wave maps equation
[NO] 547/1899 | Visually Grounded Self-Reflection for Vision-Language Models via Reinforcement Learning
[NO] 548/1899 | The Debris Disk Host $β$ Piscis Austrinus is a Rapidly Rotating Star Seen Nearly Pole-On
[NO] 549/1899 | Combating Textual Noise and Redundancy: Entropy-Aware Dense Visual Token Pruning
[NO] 550/1899 | Regularity of a Geodesic equation in the space of mixed Volume Forms on Hermitian Manifolds
[NO] 551/1899 | QuadRocket: An Aerial Robotic Testbed for Adaptive Thrust-Vector Control of Rocket-Like Vehicles
[NO] 552/1899 | Human Capital, Not Model Benchmarks, Predicts Hybrid Intelligence in Forecasting
[NO] 553/1899 | A Quantum-Walk Representation of Color-Ordered MHV Scattering Amplitudes
[NO] 554/1899 | The $D_{s1}(2460)$ and other open-charm $1^+$ states in relativistic chiral effective field theory
[NO] 555/1899 | Anomalous thermopower from the drag of overdamped collective modes
[NO] 556/1899 | Understanding the Robustness of Distributed Self-Supervised Learning Frameworks Against Non-IID Data
[NO] 557/1899 | HTTP REST API Structure Learning
[NO] 558/1899 | MARVEL: Margin-Aware Robust von Mises-Fischer Expert Learning for Long-Tailed Out-of-Distribution Detection
[NO] 559/1899 | Complex dynamics in the Sherrington-Kirkpatrick game
[NO] 560/1899 | Polynomial mixing for polygonal side matchings
[NO] 561/1899 | ACID: Action Consistency via Inverse Dynamics for Planning with World Models
[NO] 562/1899 | Fast Multi-dimensional Refusal Subspaces via RFM-AGOP
[NO] 563/1899 | HULAT2 at MER-TRANS 2026: Governed Multi-Agent Simplification for Spanish Easy-to-Read Generation
[NO] 564/1899 | Generalized Rank Weight and Extended Generalized Poset Weight Defined For Codes Over Rings: A Galois Connection Approach
[NO] 565/1899 | DRIFTLENS: Measuring Memory-Induced Reasoning Drift in Personalized Language Models
[NO] 566/1899 | Brilliant multi-GeV Compton gamma-ray source seeded by a photon accelerator
[NO] 567/1899 | VisionAId: An Offline-First Multimodal Android Assistant for People with Visual Impairment, Featuring Personalized Object Retrieval
[NO] 568/1899 | The Dual Nature of LLM Persona: Aggregated Tendencies and Frame-Dependent Geometry
[NO] 569/1899 | Contrarian Majority Dynamics: Violation of Detailed Balance and Nonequilibrium Steady States
[NO] 570/1899 | Topology optimized plasmonic metasurfaces for optical trapping of nanoparticles
[NO] 571/1899 | Relativization of symmetries on quandles
[NO] 572/1899 | 3-Colouring Graphs Excluding a Fixed Minor
[NO] 573/1899 | LUCI on IBM Hardware: Error Suppression with Almost Half Syndrome Density
[NO] 574/1899 | Spatial Support Matters: Geometry-Aware Graph Fusion for Rainfall Field Reconstruction
[NO] 575/1899 | Quadratic fluctuations of speed-change Kawasaki dynamics
[NO] 576/1899 | Quasistatic evolution of cohesive-type fracture
[NO] 577/1899 | Robustness and hyperstability for the Erdős-Gallai theorem
[NO] 578/1899 | Couplings of $3$-anchored Bundles
[NO] 579/1899 | Correlation and entanglement dynamics of free fermions in disguise
[NO] 580/1899 | New constraints on non-unitary neutrino mixing from 8 years of IceCube DeepCore atmospheric neutrino data
[NO] 581/1899 | Full Bayesian Reinforcement Learning via LF-IBIS
[NO] 582/1899 | Recovery Algorithm for Correlated Errors in Permutation-Invariant Quantum Codes
[NO] 583/1899 | Algorithms for hyperelliptic Mumford Curves $p$-adic Uniformization, $p$-adic integrals and $p$-adic heights
[NO] 584/1899 | Koopman operator theory: fundamentals, control, and applications
[NO] 585/1899 | Elasticity in Parallel Sparse Triangular Solve
[NO] 586/1899 | kNNGuard: Turning LLM Hidden Activations into a Training-Free Configurable Guardrail
[NO] 587/1899 | Microwave shielding of ultracold polar molecules on the transition $\boldsymbol{n=1 \rightarrow 2}$
[NO] 588/1899 | Molecular interpretability of the bulk electrochemical impedance of concentrated electrolytes
[NO] 589/1899 | ADVENT: LLM-Driven Automatic Predicate Invention for ILP
[NO] 590/1899 | The analytic properties of Hoggatt triangles
[NO] 591/1899 | Signatures of Two Distinct Epochs of FRB 20240114A from January to August 2024 Based on its Energy and Waiting Time Analysis
[NO] 592/1899 | Multi-Rate Nonlinear Model Predictive Control for Wall-Supported Bipedal Locomotion of Quadrupedal Robots
[NO] 593/1899 | An Information-Theoretic Principle for Optimal Quantum Encoding: Tight Frames and Equiangular Ensembles
[NO] 594/1899 | Beyond Words: Towards Effective Modeling of Non-Verbal Vocalizations in ASR
[NO] 595/1899 | Symmetry conservation with Trotterization and Quantum Phase Estimation
[NO] 596/1899 | Boosting Infrared Small Target Detection via Logit-Domain Contrast and Adaptive Shape Refinement
[NO] 597/1899 | HEFT: Heavy-Payload Full-size Humanoid Teleoperation with Privileged Motion Guidance and Windowed Payload Curriculum
[NO] 598/1899 | Facility Location Game with Envy Ratio
[NO] 599/1899 | Fundamental limitations of single-particle Green's-function zeroes as probes of many-body topology
[NO] 600/1899 | The Moving Eye: Enhancing VLA Spatial Generalization via Hybrid Dynamic Data Collection
[NO] 601/1899 | Refinement of Reliability Grid Codes in the Provision of Ancillary Services
[NO] 602/1899 | Hybridizing a Grouping Metaheuristic with Reinforcement Learning for the One-Dimensional Bin Packing Problem
[NO] 603/1899 | InvSplat: Inverse Feed-Forward Scene Splatting
[NO] 604/1899 | Optimizing Visual Generative Models via Distribution-wise Rewards
[NO] 605/1899 | Unitriangular R-matrices of quantum affine algebras and Yangians via Theta series
[NO] 606/1899 | Dendritic In-Context Learning in a Single-Layer Spiking Neural Network
[NO] 607/1899 | CheckRLM: Effective Knowledge-Thought Coherence Checking in Retrieval-Augmented Reasoning
[NO] 608/1899 | Tensor Amplification and Spectral Transfer for Sidorenko-Type Inequalities
[NO] 609/1899 | AgenticSTS: A Bounded-Memory Testbed for Long-Horizon LLM Agents
[NO] 610/1899 | The Gorenstein property and Pixton's conjecture for compact type moduli
[NO] 611/1899 | Design and development of a near-IR integral field spectrograph for the HWO Coronagraph Instrument
[NO] 612/1899 | Components of simple and non--simple type of Hurwitz schemes
[NO] 613/1899 | Efficient Waste Sorting for Circular Economy: A Confidence-guided comparison between One-Vs-All and One-Vs-Rest Classification Strategies with Human-in-the-Loop for Automated Waste Sorting
[NO] 614/1899 | Optimal insulation and concentration breaking for nonlinear Robin boundary value problems
[NO] 615/1899 | Timing and spectral analysis of the 2025 outburst of 4U 1630$-$47 with \textit{NICER}
[NO] 616/1899 | A counterexample for the Daugavet index of thickness in $\ell_1$-sums
[NO] 617/1899 | Heavy-Flavor Electron Classification Using Hadronic Environment as Point Cloud
[NO] 618/1899 | Ultrafast Demagnetization Governed by Spin Fluctuations in CaRuO$_{3}$/SrTiO$_{3}$ Superlattice
