[2026-08-20 09:35:37] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-19
正在获取论文...
[arXiv] 2026-08-19 | Realizing Logical Diagonal Gates via Transversal Physical $Z$-Rotations in CSS Codes
[NO] 269/1794 | Regularity Preservation for Jump-Type Stochastic Transport Equations with Singular Drift
[NO] 270/1794 | Teeth2Point: A Two-Stage Dental CBCT ROI-to-Point Segmentation Framework
[NO] 271/1794 | X2Streaming-TTS: Causal Token-Level Text-to-Speech from Streaming Text with Speech-State Inheritance
[NO] 272/1794 | Quantum-Logic Tsetlin Machines: Interpretable Quantum Machine Learning with Commuting Projector Clauses
[NO] 273/1794 | Clinically Structured Surrogate Rewards for Post-SFT Medical Image Captioning
[NO] 274/1794 | PCQA-R1: Advancing Generalized 3D Point Cloud Quality Assessment with Reinforcement Learning
[NO] 275/1794 | UBio-MolFM: Enabling Biomolecular Dynamics at DFT Accuracy and $10^5$ Atoms with One Untuned Potential
[NO] 276/1794 | Hector Galaxy Survey: Falling in Between - Infalling Galaxies in the Midst of the Abell 3667 Merger
[NO] 277/1794 | An Empirical Effective-Temperature Calibrations for Galactic B/A Supergiants
[NO] 278/1794 | SPARC: Slice-to-volume Pipeline for Automated Reconstruction of gated 3D+time fetal Cardiac MRI
[NO] 279/1794 | Probing Sub-GeV Dark Matter with the Migdal Effect at JUNO
[NO] 280/1794 | Finality Before Disclosure for Ledger Authenticators in the Quantum Random Oracle Model
[NO] 281/1794 | SPADE: Self-Play in Adaptive Synthetic Executable Environments
[NO] 282/1794 | SiNMULI: Novel Signed Network Approach for Malicious URL Identification
[NO] 283/1794 | Chiral bosonic mean-field Ansatz and spin dynamics in spin-1 Kitaev magnets
[NO] 284/1794 | Cell-Probe Lower Bounds and Complexity-Preserving Reductions for Suffix Array Queries
[NO] 285/1794 | Lévy Attention: Single-Pass Predictive Uncertainty for Continuous-Time Attention
[NO] 286/1794 | ChildSafeAds Shared Task 2026: Commercial Content in Child-Facing YouTube Videos
[NO] 287/1794 | Second-Level Concavity of the Riemann $Ξ$ Kernel
[NO] 288/1794 | An Exact-Moment Local Legendre Frame Method with Block Convolution for Caputo Fractional Differentiation
[NO] 289/1794 | Characterisation of Commercially Available NUV-MT Silicon Photomultipliers
[NO] 290/1794 | FedGuard-DC: Privacy-Preserving Federated Load Forecasting and Cyber-Attack Detection for Data-Center Loads in Transmission Systems
[NO] 291/1794 | Transparent Subalgebras and Local Module Categories
[NO] 292/1794 | Sweep-based, implicit solutions of the multidimensional BGK equation on unstructured grids
[NO] 293/1794 | Simple Low-Overhead Communication-Efficient String Reconciliation and Edit Distance
[NO] 294/1794 | Trade-offs in Data Color Palette Design Tools
[NO] 295/1794 | Grouping the Stochastic Machine: Precision, Not Capability, as the Frontier Metric for AI Systems
[NO] 296/1794 | Autonomous Cyber Defense in Connected Vehicles: A Multi-Agent Approach to V2X Security
[NO] 297/1794 | Connectivity--Interference Competition in Coherent Transport on Percolated Hierarchical Small-World Networks
[NO] 298/1794 | PGFS++: Molecular Property Improvement under Synthesis and Diversity Constraints
[NO] 299/1794 | Enhancing EBSD throughput of battery electrode materials using super-resolution generative adversarial networks
[NO] 300/1794 | JANUS: A Multi-modal Foundation Neural Sampler for Disordered Materials
[NO] 301/1794 | Distributed Target Tracking using Radar Networks
[NO] 302/1794 | Interior skin focusing and directional mirror transfer in a graded non-Hermitian Krawtchouk network
[NO] 303/1794 | Inferring the Dark from the Observable: Estimating Halo Masses Using Galaxy Properties
[NO] 304/1794 | Transitions and Critical Divergences in Periodically Hopping Modulated Su-Schrieffer-Heeger Chains
[NO] 305/1794 | Probabilistic Representation and Convergence of Gromov-Wasserstein Gradient Flows
[NO] 306/1794 | On the uniform bound of solutions to a thermo-diffusive system
[NO] 307/1794 | Preference Reasoning under Indeterminacy in Large Language Models
[NO] 308/1794 | Cellular Maximal-Density Factoring and a Repair of the Streamlined Three-Dimensional Kakeya Reduction
[NO] 309/1794 | Integer Linear Programming Decoder for Abelian and Non-Abelian Topological Codes
[NO] 310/1794 | ReWEIGH the Evidence: Calibrating Token-Level Ordinal Visual Evidence to Mitigate Hallucinations in Large Vision-Language Models
[NO] 311/1794 | Quadratic Cremona transformations of $\mathbb{P}^4$
[NO] 312/1794 | Emergent BEC mechanism in flat-band superconductors
[NO] 313/1794 | Comparison inequalities for Dirichlet-to-Neumann maps
[NO] 314/1794 | The critical probability for percolation on finite graphs
[NO] 315/1794 | Converting Expert Deliberation into Financial Signals Through A Context-Aware NLP Pipeline
[NO] 316/1794 | A miniature evaporator for in-operando deposition of isolated atoms in a low-temperature scanning tunneling microscope
[NO] 317/1794 | An ultracompact dilution refrigerator for fast quantum device characterization
[NO] 318/1794 | Improving LLM-Based SSH Honeypots Through Prompting and Fine-Tuning
[NO] 319/1794 | A Tutorial on Weight Structure of Polar Codes
[NO] 320/1794 | GEAR: Generative Expansion and Real Anchoring for Two-Stage Distillation of Tabular Foundation Models
[NO] 321/1794 | Robust Joint Planning of EV and eBus Charging Infrastructure with PV Self-Consumption under Demand Uncertainty
[NO] 322/1794 | Beyond Placement and Articulation: Usage-Driven Code Scenes for Embodied Interaction
[NO] 323/1794 | Quantum Mixedness Testing with Pauli Measurements
[NO] 324/1794 | Inter-turbine spacing and flow unsteadiness effects on wake-induced blade dynamics
[NO] 325/1794 | Automatically distinguishing Rubin transients from AGN using variability metrics
[NO] 326/1794 | A strengthening of the MCFL-ness of $O_2$
[NO] 327/1794 | Revisiting Quark-Lepton Complementarity in the Precision Neutrino Era
[NO] 328/1794 | Many Optimizers But Only One Training Path: Repeated Resampling for Adaptive Optimizer Selection
[NO] 329/1794 | Forgetting, plasticity, and co-observation: a third facet of continual learning
[NO] 330/1794 | A revised framework for the assessment of psychological safety in autonomous vehicles
[NO] 331/1794 | Finite-coefficient K-theory of henselian valued fields and Gersten injectivity
[NO] 332/1794 | GraphK: Variable-Size Graph Generation with Efficient Edge Construction
[NO] 333/1794 | MIFR: A Modality-Invariant and Fair Representation Framework for Skin Disease Classification
[NO] 334/1794 | An Integer Programming Approach to Compute Lower Bounds for Ramsey Numbers Using Circulant Graphs
[NO] 335/1794 | Readable, Faithful, Used: Three Dissociable Properties of Demographic Identity in a Language Model
[NO] 336/1794 | Gradient Mirage: Trainable yet Label-Unidentifiable Gradients in Large Language Model Split Learning
[NO] 337/1794 | GateDiffInt: Gate-Mediated Controllable Diffusion and Multi-Intent LLM Distillation for User Behavior Modeling
[NO] 338/1794 | Robustness of spin state superpositions for noisy quantum metrology
[NO] 339/1794 | Effective curvature coupling of link-based causal set propagators in $1+1$ dimensions
[NO] 340/1794 | Enabling Reuse for Data-Sharing Pipelines in Federated Environments
[NO] 341/1794 | Characteristic adjacency matrix associated with a hypergraph
[NO] 342/1794 | FAST-HEP: Compiling Declarative Analysis Workflows for High-Energy Physics and Beyond
[NO] 343/1794 | Coalitional Manipulation of Set-Valued Median Voting
[NO] 344/1794 | Genuine Tripartite Entanglement Selects Gauge-Invariant Theories
[NO] 345/1794 | Revisiting the topological properties of XMg2Bi2 (X = Ca, Sr, Ba, Yb and Eu)
[NO] 346/1794 | Visual-Aware Representation of Web Pages for Machine Learning Applications
[NO] 347/1794 | Multi-zone Modeling of Blazar Jets: Constraints from GeV-Optical Correlation and Short-Timescale Variability
[NO] 348/1794 | MemFuse: Multi-Source Memory Fusion from Fragmented Observations
[NO] 349/1794 | Transforming Heart Disease Prediction with Advanced Machine Learning Techniques
[NO] 350/1794 | An Empirical Benchmark of Deep Time-Series Models for Smart Meter Energy Forecasting
[NO] 351/1794 | DynCur-Geo: Dynamic Curiosity Reward Shaping for Multimodal Active Geo-Localization
[NO] 352/1794 | Experimental zero-added-loss multiplexing Bell-pair source for long-haul quantum networks
[NO] 353/1794 | Candidate-Fate Accounting for Transparent Sensor Diagnostic Pipeline Search
[NO] 354/1794 | Constructing Good Abelian Codes via Shift Bounds and Genetic Algorithms
[NO] 355/1794 | Computational Measurement of Team-Process Phase Dynamics in Collaborative Virtual Reality
[NO] 356/1794 | Broadband Chiral Primordial Gravitational Waves from Constant-roll Inflation in Parity-violating Symmetric Teleparallel Gravity
[NO] 357/1794 | Progressive Experience Fusion for Multi-Task World Model Control in Endovascular Navigation
[NO] 358/1794 | ProxyGuard: Direct Reliability Inference for Randomized Data Release Mechanisms with Shared Targets
[NO] 359/1794 | IriSig-Spoof: A Real-World Benchmark for Time-Robust Satellite RF Fingerprinting and Spoofing Detection
[NO] 360/1794 | Change Point--Aware Evaluation and Re-Calibration of PPG-Based Blood Pressure Estimation
[NO] 361/1794 | Exact Matching-Polynomial Solution of the Periodic Baxter-Fendley $Z_N$ Clock Chain
[NO] 362/1794 | When Safety Overrides Vision: Exploring Dynamics between Vision Influence and Safety Alignment in Vision-Language Models
[NO] 363/1794 | Payload Swing Estimation and Damping Without Payload Parameters for Multirotor UAVs
[NO] 364/1794 | Evaluation of Image Matching Methods for Visual Odometry on UAVs
[NO] 365/1794 | LabDex: A Hierarchical Benchmark for Dexterous Manipulation in Laboratories
[NO] 366/1794 | Scalable Geospatial Machine Learning for Power-Line Asset Risk: Integrating Remote Sensing for Lightning and Vegetation Risk Modelling
[NO] 367/1794 | Denoising-Aware Inversion: Revealing Privacy Risks in Noise-Protected Text Embeddings
[NO] 368/1794 | VA-Judger: Reward Modeling from Human Preference Feedback for Joint Video-Audio Generation
[NO] 369/1794 | OneModel: A Unified Foundation for Platform-Scale Multi-Scenario Ranking
[NO] 370/1794 | Multitask Bayesian Neural Networks for Multiparameter Protein Engineering
[NO] 371/1794 | Inverse Feshbach's problem: Solvability and solutions
[NO] 372/1794 | Approximating Minimum Dominating Set with Few Awake Rounds
[NO] 373/1794 | Subgroup performance analysis of adaptation strategies for chest X-ray foundation models
[NO] 374/1794 | A Mini-Batch Counterexample to Last-Iterate Convergence in Definable Optimization
[NO] 375/1794 | Robust Risk Under Evolving Uncertainty: A Wasserstein Counterpart of the Entropic Value-at-Risk
[NO] 376/1794 | On the Density of Polynomial Mappings Satisfying the Jacobian Conjecture
[NO] 377/1794 | Generalized Audio-Driven Synthesis of Precise Drummer Motion
[NO] 378/1794 | Ab initio-based Deep-Learning Prediction of Carrier Mobility in Strongly Anharmonic Materials
[NO] 379/1794 | Robust and Efficient Feature Extraction for Spike Sorting via the Walsh-Hadamard Transform
[NO] 380/1794 | Eureka: Task-Conditioned Meta-Agent Orchestration for Scientific Discovery
[NO] 381/1794 | Local Hardy Spaces Associated with Operators and Ball Quasi-Banach Function Spaces on Doubling Metric Measure Spaces and Their Applications
[NO] 382/1794 | Institutional Books - Enriched Text: A customizable multilingual open-source pipeline for denoising, deduplicating, and annotating OCR text at scale
[NO] 383/1794 | The Bogdanov--Takens normal-form coefficients in $\mathbb{R}^n$ as directional derivatives of the characteristic invariants
[NO] 384/1794 | A Theory of Post-hoc Debate Judgement
[NO] 385/1794 | Physical Optics Analysis of Polarization Effects in SO LAT Reflectors
[NO] 386/1794 | Duru-Kleinert Path Integral in Unimodular Quantum Cosmology
[NO] 387/1794 | Modeling of an ODE-constrained optimization problem describing tumor dynamics, and numerical approximation via sequential physics-informed neural networks
[NO] 388/1794 | Don't Drop the Singletons: Efficient Inference for Pairwise Experiments with Independent Attrition
[NO] 389/1794 | Institutional Newspapers Pipeline: Deriving billions of high quality tokens from historical newspapers
[NO] 390/1794 | Exact random covers of metric trees: balanced rounding, duality, and sharp thresholds
[NO] 391/1794 | Perturbative Hairy Black Branes in the $G_{2}$-Invariant Sector of Dyonic ISO(7) Gauged Supergravity
[NO] 392/1794 | APICURON: a reactive infrastructure for credit attribution across distributed research data ecosystems
[NO] 393/1794 | From Erdos Problem 1154 to a Zero One Law for Turing Ideals
[NO] 394/1794 | rEDMRec: Distilling Large Language Model Reasoning into an Editable Experience Memory for Recommendation
[NO] 395/1794 | Asgard/NOTT: Status of laboratory nulling performance
[NO] 396/1794 | Three-body forces in the quark model
[NO] 397/1794 | High-power TCV scenario for conventional and alternative divertor studies
[NO] 398/1794 | Breaking the weakest link to evade vision language models
[NO] 399/1794 | Test-Time Scaling in the Wild: Why Exploitation, Not Exploration, Is the Bottleneck
[NO] 400/1794 | SMTrap: Cost-Effective DoS Attacks Against Large Reasoning Models via SMT Conflict Guidance
[NO] 401/1794 | First demonstration of a multimode-to-multimode photonic lantern for astronomy
[NO] 402/1794 | Actions on CAT(-1) spaces with critical exponent less than 1
[NO] 403/1794 | Towards Lawful ISAC in Cellular Networks
[NO] 404/1794 | Molecular Insights into Gas Nanofilms Confined Between Bulk Liquid Phases
[NO] 405/1794 | Assessing Quality of Experience in Natural Language Generation of German Text
[NO] 406/1794 | Adaptive resolution frames: A multilevel framework in Hilbert spaces
[NO] 407/1794 | Hydrodynamic Brachistochrone: Conflicting Paths of Time and Energy Minima within Viscous Media
[NO] 408/1794 | Component-wise hyperreduction for nonlinear solid mechanics problems
[NO] 409/1794 | Ultra-wideband MRE of the human liver and spleen for viscoelastic model identification in hepatic inflammation
[NO] 410/1794 | Synthesis and stability of high-$T_c$ LaH$_{10\pmδ}$ films at high pressures
[NO] 411/1794 | Think-to-Personalize: Unifying Reasoning and Retrieval for User-Centric Personalized Dense Retrieval
[NO] 412/1794 | Characterization of Weak EKR Groups and Intersection Densities with Prescribed Point Stabilizers
[NO] 413/1794 | AppEval: A Unified Benchmark for LLM-Based Mobile Application Repair in ArkTS, Swift, and Kotlin
[NO] 414/1794 | Score-based Fading-Aware Decision Fusion
[NO] 415/1794 | From Storage to Access: Verifiable Activation of Parametric Knowledge in LLMs via Explicit Priming and Implicit Reasoning
[NO] 416/1794 | NanoSleep: A Parameter-Efficient Hybrid Temporal Convolutional Network for Single-Channel Sleep Stage Classification
[NO] 417/1794 | Néel-order-dependent transverse transport in noncoplanar antiferromagnet $\text{MnTe}_{2}$
[NO] 418/1794 | Randomly Permuted Orthogonal Products and Fast Dimension Reduction
[NO] 419/1794 | Floquet engineering of topological bands in semiconductor van der Waals heterobilayers
[NO] 420/1794 | CentaurBench: Benchmarking LLM Capabilities on Augmenting vs. Automating Real-World Work Tasks
[NO] 421/1794 | Minimizing the number of edges in $\mathcal{C}_{[4,6]}$-saturated graphs
[NO] 422/1794 | FinRCA-Bench: Benchmarking Evidence Retrieval and Reasoning for Financial AI Systems
[NO] 423/1794 | StateTrace: An Object-Centric Framework for Hidden-State Spatiotemporal Reasoning in Long Videos
[NO] 424/1794 | Pairwise Ranking Outperforms Single-Action RL for Offline Explanation Selection: A Practical Lesson
[NO] 425/1794 | Hecke-type action on higher order Herglotz-Zagier function
[NO] 426/1794 | Topology is not silent in the transport noise of multiband bosons
[NO] 427/1794 | On $p$-adic solubility of $Ax^\ell + By^m + Cz^n = 0$
[NO] 428/1794 | GCNO: Gramian Chebyshev Neural Operator for Physics-Based Compression of Wireless Channels
[NO] 429/1794 | Matrix Algebra for Persistence Modules Yields a Proof of the Isometry Theorem
[NO] 430/1794 | Exact SAT Solving for the Two-Dimensional Bandwidth Minimization Problem
[NO] 431/1794 | Axion-like particle at the 10 GeV scale: Higgs decays to wide jets and photons
[NO] 432/1794 | DyG$^2$T: Modeling Object Dynamics with 3D Gaussian Temporal-Spatial Particle Graph Transformer
[NO] 433/1794 | Optimal Deterministic Fully Sparse Matrix Multiplication
[NO] 434/1794 | Power Estimation and Optimal Work-Charging Scheduling of Construction Electric Vehicles via Mobile Charging Stations
[NO] 435/1794 | From the Square-Energy Conjecture to Signed Graphs: Sharp Bounds for Positive Square Energy
[NO] 436/1794 | MissDiag: Diagnostic Evaluation of Incomplete-Knowledge Robustness in KGQA and KG-RAG
[NO] 437/1794 | Finite-Index Lifting of Strong Topological Rokhlin Property and Descriptive Complexity
[NO] 438/1794 | Propagation of Laguerre-Gaussian and Bessel-Gaussian scalar beams in an effective anisotropic background
[NO] 439/1794 | An almost Kähler Cheeger--Gromoll splitting theorem with applications
[NO] 440/1794 | A model for the enhanced production rate of early-type hypervelocity stars in the Galactic halo
[NO] 441/1794 | OmniAlign: A Unified Multilingual Aligner for Word and Sentence Alignment
[NO] 442/1794 | Unified Strong-Field Dynamics Simulations from Atoms to Heterostructures
[NO] 443/1794 | DevGRU: Depth-guided Visual Navigation using a Collision-aware Recurrent Model
[NO] 444/1794 | New Nonexistence Results for Circulant Weighing Matrices
[NO] 445/1794 | Comparison of several model averaging methods in nuclear charge radius predictions
[NO] 446/1794 | Stellar Abundances as Probes of Rocky Exoplanet Interiors: The Mantle Composition and Mineralogy of GJ 486b
[NO] 447/1794 | HarvestPoint-ACT: Explicit Target Selection and Harvest-Point Conditioning for Robotic Fruit Harvesting under Occlusion
[NO] 448/1794 | Optimization of the Railcar Assignment Problem Using Zone-based Double Deep Reinforcement Learning
[NO] 449/1794 | A seamless dose-optimization design for monotherapy and combination therapy
[NO] 450/1794 | Boundaries of logarithmic Voronoi cells can be transcendental
[NO] 451/1794 | A hypercomplex partition function for dissipative quantum field theory
[NO] 452/1794 | Multiqubit orthogonal product bases
[NO] 453/1794 | Entropic Rigidity in Quantum Memories: How Geometry and Algebra Control the Onset of Degeneracy Corrections
[NO] 454/1794 | Mechanistic Interpretability of Structure-Aware Numerical Reasoning in LLaMA 3.1 8B
[NO] 455/1794 | Solidification-cell confinement of domain-wall pinning in additively manufactured ferromagnets
[NO] 456/1794 | $Γ$-Convergence of Weak-Type Nonlocal Functionals on Bounded Domains
[NO] 457/1794 | Impacts of Nuclear War on Human Health from Changed Surface Ultraviolet Radiation
[NO] 458/1794 | Linear stability of traveling Maxwellians for Landau equation with very soft potentials
[NO] 459/1794 | Algorithms for adaptive and heteroskedastic linear regression at the computational threshold
[NO] 460/1794 | Regularity and non-degeneracy of $Φ^*[I]$ implies regularity of the fixed boundary $\partialΩ$
[NO] 461/1794 | An improved volume bound under Ricci and scalar curvature lower bounds
[NO] 462/1794 | The Structured Totient Preimage Problem: Reconstruction, Collisions, and Cryptographic Implications
[NO] 463/1794 | Entry growth in Gaussian elimination
[NO] 464/1794 | Unconventional bond- and current-density waves on hexagonal lattices
[NO] 465/1794 | The regular pentagon is canonically Ramsey
[NO] 466/1794 | Upper and Lower Bounds on the Space Complexity of Multi-word Single-Writer Registers
[NO] 467/1794 | Maximal Enhancements in Eight-Dimensional Non-Supersymmetric Heterotic Strings
[NO] 468/1794 | LearnAI: Just-in-Time AI Co-Creation Across Disciplines at a University
[NO] 469/1794 | Norm bounds on Fourier series with polynomial spectra and constrained coefficients
[NO] 470/1794 | No Persistent Helium Absorption in LHS 1140 b: Four JWST/NIRISS SOSS Transits and Multi-epoch Stellar He I Variability
[NO] 471/1794 | Pretraining Reusable Inference Across Views with Synthetic Task Priors
[NO] 472/1794 | On the Hessian Conjecture in Lorentzian Signature: Constant Pivots and Hesse Systems
[NO] 473/1794 | Rigid motion invariant valuations on polytopes
[NO] 474/1794 | Wet Removal and Cloud Enhancement: The Microphysics of Cloud-Haze Interactions on Sub-Neptunes
[NO] 475/1794 | Large Field-Free Superconducting Diode Effect with Nonmonotonic Polarity Reversals in NbSe$_2$/CrBr$_3$ Heterostructures
[NO] 476/1794 | Universal thermal breakdown of polaron coherence in one, two, and three dimensions
[NO] 477/1794 | All-Genus Large-Degree Asymptotics for Gromov--Witten Invariants of the Projective Plane
[NO] 478/1794 | CDGP: Contrastive Dual Gaussian Processes for Weakly Supervised Anomaly Segmentation
[NO] 479/1794 | Efficient calculation of real-space lattice propagators in the presence of a Fermi sea
[NO] 480/1794 | Who Can Make the Action Happen? An Authority-Decomposition Framework for High-Risk Automated Systems
[NO] 481/1794 | The Position-wise Prime Digit Distribution Theorem: A Formal Proof of Position-wise Digit Equidistribution in the Prime Numbers
[NO] 482/1794 | Localized scalar modes of $O(3)$ critical bubbles: partial-wave continuum mergers and wave-function deformation
[NO] 483/1794 | (Almost) quadruply optimal unitary designs in 1D
[NO] 484/1794 | Kähler-Ricci Tangent Flows in the Analytic Minimal Model Program
[NO] 485/1794 | Tight Energy Lower Bounds for Distributed Graph Algorithms
[NO] 486/1794 | Positivity preservers over finite fields II
[NO] 487/1794 | Technical Proposal for the Atom Interferometer CERN Experiment (AICE) Facility
[NO] 488/1794 | Thickness-dependent degradation and optical access in epitaxial 2H-MoTe2 protected by metallic capping layers
[NO] 489/1794 | The Limits of Black-Box Reductions for All-Pairs Triangle Detection
[NO] 490/1794 | Improved bounds on the oriented diameter of planar triangulations
[NO] 491/1794 | DA-WAM: Decision-Aligned Future Latents for Driving World Models
[NO] 492/1794 | Space-Efficient Hierholzer for Undirected Graphs
[NO] 493/1794 | Ultrasonic attenuation in inhomogeneous superconductors
[NO] 494/1794 | What is Missing from AI Post-Training AI: An Empirical Analysis
[NO] 495/1794 | A metric on $S^2 \times S^2$ with positive sectional curvature
[NO] 496/1794 | LT-Mem: Volatility-Aware Spatio-Temporal Memory for Lifelong Scene Understanding
[NO] 497/1794 | The Radioactive Background of the JUNO Calibration System
[NO] 498/1794 | The Ultrafast Line-Driven Wind from the Double-Degenerate Merger Remnant WD J005311
[NO] 499/1794 | USR-Drive: Unified Driving Scene Representation via Joint Denoising of 3D Gaussians and Boxes
[NO] 500/1794 | The role of weak interfaces in the tensile deformation and fracture of particle-filled polymers studied by phase-field model
[NO] 501/1794 | Self-prompting and cross-model consensus enable reproducible data extraction from scientific literature with large language models
[NO] 502/1794 | On the odd independence number of the Queen graph
[NO] 503/1794 | Local null controllability of a quasi-linear system and related numerical experiments
[NO] 504/1794 | Interface Capacity and Architectural Replenishment Determine Entanglement-Generation Speed in Quantum Networks
[NO] 505/1794 | 3D trapping of a meta-atom in an intensity minimum
[NO] 506/1794 | The $6\times6$ equality case of matrix spaces with rank-two commutators
[NO] 507/1794 | Grading the Graders: Verification Autonomy Levels (L0-L5) for LLM Reasoning
[NO] 508/1794 | Introducing the Privacy-HSD Trade-off: Hate Speech Detection, but not at the Cost of Privacy
[NO] 509/1794 | Surjectivity of real-linear Cauchy--Riemann operators: from the minimal Harder--Narasimhan slope to automatic transversality
[NO] 510/1794 | ForeSightGuide: An Anticipatory Framework toward Accurate and Low-Redundancy Guidance for the Visually Impaired
[NO] 511/1794 | A 12-Step Process for Industrial Internet of Things (IIoT) Forensics
[NO] 512/1794 | Limitations of RMS-based Stability Assessment of Converter-based Grids: A Case Study
[NO] 513/1794 | Balancing theory uncertainties in ab initio nuclear structure calculations: Many-body truncation versus finite basis size
[NO] 514/1794 | Subsystem Symmetries and Fracton Models in Quantum Error Correction
[NO] 515/1794 | Long Range Asymptotics for the Quadratic Aharonov--Bohm NLS
[NO] 516/1794 | Institutional Books - Visual Elements: An open-source pipeline for extracting, classifying, deduplicating, and captioning visual elements from digital book collections
[NO] 517/1794 | Translations between interior preorder structures and coherent neighbourhood systems for intuitionist modal logic
[NO] 518/1794 | Inversion Diameter of Planar Graphs
[NO] 519/1794 | Quantum-Enhanced Atomic Sensor via Spin Nonequilibrium Criticality
[NO] 520/1794 | SkillForge: Self-Distilling Agents for Project-Specific Issue Resolution
[NO] 521/1794 | Learning-State-Aware Dynamic Generative Data Augmentation on Small-Scale Datasets
[YES] 522/1794 | \textsc{TestifAI}: Tomography-Based Testing for Deep Learning Systems
[NO] 523/1794 | Polarization controlled second harmonic generation imaging of stretched collagen fibrils reveals collagen deformation pathway in situ
[NO] 524/1794 | Model-based bootstrap inference for Cox models after Lasso selection
[NO] 525/1794 | Universal Ramanujan-type congruences for prime-detecting quasimodular forms
[NO] 526/1794 | Training-Free Inference-Time Self-Reflection and Cost-Bounded Early Stopping for Large Language Models
[NO] 527/1794 | Falcon Perception-HD: High Density Perception via Reinforcement Learning
[NO] 528/1794 | Cluster Representation of Renormalization Group Transformations and a Rigorous Proof for Convergence of the RG-Flow of the Ising Model to Trivial Fixed Points away from Criticality
[NO] 529/1794 | Know Your Qubits, Know Your Users: Personas for Quantum Software
[NO] 530/1794 | Investigating the properties of nearby young moving groups using GaiaDR3
[NO] 531/1794 | Can a Lightweight Multimodal Model Estimate LLM Reasoning Performance? A Study for Compute-Optimal Document Inference
[NO] 532/1794 | First Law of Black Hole Interior Dynamics
[NO] 533/1794 | Beyond receptive fields: sequence-pooled normalization can supply most of a sequence labeler's context
[NO] 534/1794 | Beyond LLM-Based Reasoning: Lightweight GNNs for Agent Failure Attribution
[NO] 535/1794 | VQC-ZTI: Variational Quantum Control for Zero Trust Protection of the Tactile Internet
[NO] 536/1794 | The Role of Grid Cells in Reducing Spatial Aliasing in Hippocampal Place Representations
[NO] 537/1794 | SemaPLC: A Project-Grounded, Verification-Gated Agent Harness for PLC Code Generation
[NO] 538/1794 | Classification of compact homogeneous strongly pseudoconvex hypersurfaces in $\mathbb C^n$
[NO] 539/1794 | Robust Instability Radius for Networked Dynamical Systems: Upper and Lower Bounds
[NO] 540/1794 | Direct fidelity estimation through joint fiducial grouping
[NO] 541/1794 | Bridging Search and CRM: Productionizing AI Product Research Agents for Customer Re-Engagement
[NO] 542/1794 | Hubb_DMFT and Wan2mb_DMFT: Continuous-Time Quantum Monte Carlo Solvers for Single- and Multi-Orbital Hubbard Model
[NO] 543/1794 | Good Stabilizer Codes from Shallow Clifford Circuits with Random Matchings
[NO] 544/1794 | Which Negatives Matter? Ask Your Text Encoder: Adaptive Similarity Margins for Dense-Caption Retrieval
[NO] 545/1794 | Stability and Perron's method for Monge solutions of eikonal equations in metric spaces
[NO] 546/1794 | Cross-Modal MRI Ovary Segmentation in Endometriosis Using Unpaired TVUS Prototype Priors
[NO] 547/1794 | Operando Raman probing of mode selective electron phonon coupling in two dimensional halide perovskites
[NO] 548/1794 | Sampling isometric tensor network states with monitored quantum circuits
[NO] 549/1794 | UMER: Unifying Embedding and Ranking via Pair-Aware Discriminative Reasoning for Universal Multimodal Retrieval
[NO] 550/1794 | Essential spectra and eigenvalue asymptotics of Fourier blocks of the elastic Neumann-Poincaré operator on tori
[NO] 551/1794 | WhiteMatter: All-to-All Cross-Layer Connections via KV Mixing
[NO] 552/1794 | Time-dependent Evolution of Proton Spectra in Supernova Remnants and Their Contribution to Galactic Cosmic Rays
[NO] 553/1794 | Room-temperature ferroelectrically switchable quantum geometry in few-layer WTe2 for complementary in-memory computing
[NO] 554/1794 | Wilf Equivalence for Length-Three Patterns and Flat POPs, and a Conjecture of Qiu and Remmel
[NO] 555/1794 | Finite-time blow-up for the four-dimensional mass-critical quadratic nonlinear Schrödinger system without mass resonance
[NO] 556/1794 | Atrial Fibrillation Detection with Arbitrary Leads via a Codebook-Based Reconstruction-Classification Framework
[NO] 557/1794 | Norms of multiplication operators: answering Fialkow--Loebl question
[NO] 558/1794 | More Context, Same Budget: Dual-Bounded Relational Recall Beyond Top-K Retrieval
[NO] 559/1794 | Limit Theory for U-Statistics under Clustered and Weakly Dependent Data
[NO] 560/1794 | Donaldson-Sun Theory in the Conic Case
[NO] 561/1794 | Multi-Level Bayesian Calibration of a Multi-Component Dynamic System Model
[NO] 562/1794 | Multi-Objective Optimization Under Uncertainty of Part Quality in Fused Filament Fabrication
[NO] 563/1794 | Minimal foliations, codimension-one stable norms, and a question of Bangert
[NO] 564/1794 | When Clean Signals Are Not Enough: Detecting Structural Ambiguity for Safe Wearable Stress Classification
[NO] 565/1794 | Non-abelian uni-vector deformations in gauged supergravities and non-abelian Einstein-Maxwell theories
[NO] 566/1794 | Quantum Effects in Supersymmetric Galilean Yang-Mills
[NO] 567/1794 | Overdetermined Singular Problems and Fractional Torsion
[NO] 568/1794 | Complete Intersections of Bounded Codimension: Failure of the Nagata Criterion and Recovery of Openness
[NO] 569/1794 | The Parabolic Anderson Model's Total Mass at Small Times: Geometry, Fluctuations, and Renormalization
[NO] 570/1794 | EfficientSync: Real-Time Lip Synchronization via Deformation-Based Reference Texture Mixing
