[2026-07-04 10:54:39] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[IEEE] 2026-7-3 | Intelligent Decision-Making for Multi-Domain Cooperative Jamming against Netted Radar
[IEEE] 2026-7-3 | Controllable Risk Scenario Generation From Human Crash Data for Autonomous Vehicle Testing
[IEEE] 2026-7-3 | Measurement and Quantitative Analysis of Oxide Trap Evolution in Power SiC Devices
[IEEE] 2026-7-3 | Joint Resource Allocation in Vehicular Networks Based on Multi-round Emergent Communication with Dynamic Reward
[IEEE] 2026-7-3 | Assessing the Transferability of L-Band SAR Soil Moisture Retrieval Parameters Between Agricultural Crop Types
[IEEE] 2026-7-3 | Intelligent Cooperative Computation Offloading and Resource Allocation for Dual-Dependency Tasks in Edge Computing
[IEEE] 2026-7-3 | CORA: A Cognitive Reframing Dialogue Agent for Supporting Emotion Regulation_supp1-3709312.pdf
[IEEE] 2026-7-3 | Dynamic Multi-Objective Co-optimization of Unmanned Aerial Vehicle Placement, Task Scheduling and Resource Allocation for Remote Sensing
[IEEE] 2026-7-3 | Research on Temperature Error Compensation for Fiber Optic Gyroscope Based on LSH-PSO
[IEEE] 2026-7-3 | Welcome Message from the IWCMC 2026 Program Chairs
[ACM] 2026-7-4 | Adding Workflow to a Workbench for Digital Geosystems for a more agile Research Software Engineering approach
[IEEE] 2026-7-3 | Smart Grid Security Attack Detection Using XG Boosting Combined with Genetic Algorithm
[IEEE] 2026-7-3 | Improving Object Detection Accuracy through Image Enhancement Methods in Low Contrast Space Surveillance Images
[IEEE] 2026-7-3 | Evolution of Website Security Architectures Under Emerging Cyber Threats from 2020 to 2024
[IEEE] 2026-7-3 | Investigation of Design Approaches for Monolithic Microwave Integrated Circuit (MMIC) Phase Shifters
[IEEE] 2026-7-3 | Spectrum and Service Management in Space-Air-Ground Integrated Networks for Smart Construction
[IEEE] 2026-7-3 | Locating Mobile Devices Equipped With Cameras Using LASER Beacons
[IEEE] 2026-7-3 | Ensuring Orchestration Continuity in Green Participatory Fog through Lightweight Failover
[IEEE] 2026-7-3 | Combining Classical and Transformer-based Approaches for Text Classification and Topic Modeling of the Tatar Language
[IEEE] 2026-7-3 | New Models for RDP and Ransomware Attacks in Zero-Trust Critical Smart Grid Infrastructures
[IEEE] 2026-7-3 | IPL Score Prediction Using Machine Learning: A Data-Driven Approach for Cricket Analytics
[IEEE] 2026-7-3 | A 0.75V, 1.43%-Inaccuracy 4T MOS-Based Voltage Reference in $251 \mu \mathrm{m}^{2}$ Area
[IEEE] 2026-7-3 | A 0.33 pJ/b Differential CMOS Thyristor-Based TRNG with PVT Tolerance and LSB Min-Entropy Preservation in 28nm Process
[IEEE] 2026-7-3 | A 12 V-to-1V Scalable 2N-Phase Buck Converter Using 0V-Stress Balancer with Shortest $I_{\mathrm{L}}$ Balancing Path for Parallel IC Expansion in xPU Systems
[IEEE] 2026-7-3 | Backside Split-VDD Write-Assist Driven SRAM Macro Scaling in Nanosheet-Era
[IEEE] 2026-7-3 | Optimal Area of Interest Size for Contextual Model for ET Estimation in a Semi-Arid Basin
[IEEE] 2026-7-3 | A CNN-LSTM Hybrid Deep Learning Framework for Accurate Breast Cancer Classification
[IEEE] 2026-7-3 | Cyberbullying Detection in Social Media Using Machine Learning Techniques with Multimodal Analysis
[IEEE] 2026-7-3 | From Computer to AI Communications: Toward Secure and Efficient Protocol
[IEEE] 2026-7-3 | Adaptive Intelligent GWO-MPPT Based PV-EV Charging with Supercapacitor-Integrated Boost Converter
[IEEE] 2026-7-3 | Organometallic Pyrolysis Approach for CopperBased Composite Formation in Redistribution Layers
[IEEE] 2026-7-3 | The Ontological Conditions of AI Systems’ Agency
[IEEE] 2026-7-3 | Construction of Conflict-Free and Efficient Cross-Organization Emergency Response Processes: A Petri Net-Based Approach
[IEEE] 2026-7-3 | Power Saving System for Electric Vehicles
[IEEE] 2026-7-3 | Selective Priority-Based Demand Side Management for Peak Clipping in Smart Buildings Using IoT-Enabled Smart Metering
[IEEE] 2026-7-3 | Semi-automatic Aritficial Kurgans Detection with YOLO and Foundation models
[IEEE] 2026-7-3 | Measurements on the Energy Consumption of a 5G NSA Cellular Radio Infrastructure
[IEEE] 2026-7-3 | Cell-Free Massive MIMO Architecture for HAPS-assisted 6G NTN: Spectral Efficiency and Interference Coordination
[IEEE] 2026-7-3 | Estimation of Heart Rate Variability using rPPG: Review of rPPG Methods using Deep Learning
[IEEE] 2026-7-3 | MedRAGShield: A Three-Tier Defense Framework Against Document Poisoning and Adversarial Attacks in Medical Retrieval-Augmented Generation Systems
[IEEE] 2026-7-3 | Privacy-Preserving Intrusion Detection System Using TabTransformer and XGBoost for IoMT Environments
[IEEE] 2026-7-3 | Development of a Karakalpak Morphological Analyzer in the Foma Environment
[IEEE] 2026-7-3 | Joint Precoding and Multi-RIS Beam Tuning for Multi-user Communications using Deep Reinforcement Learning
[IEEE] 2026-7-3 | LSTM-Based Neural Generation of Lorenz Chaotic Dynamics for Cryptography
[IEEE] 2026-7-3 | A Cryo-CMOS Fully-Integrated Superconducting Qubit Reflectometry Readout IC with FCNN-Based Adaptive Drift Mitigation and FIR-DSM-Based Stimulus TX
[IEEE] 2026-7-3 | Carebot: Smart Conversational Healthcare System
[IEEE] 2026-7-3 | A Single Exposure 137 dB Dynamic Range CMOS Image Sensor with Low Dielectric Absorption Image Lag
[IEEE] 2026-7-3 | Context-Preserving Video Summarization Pipeline for Real-Time Intelligent Anomaly Detection
[IEEE] 2026-7-3 | Integrated Access Control Systems: Challenges, Engineering Advances and AI-Driven Future Trends
[IEEE] 2026-7-3 | Assessment of EV and FCEV Efficiency Across Varying Drive Conditions
[IEEE] 2026-7-3 | A Low-Cost GNSS-Synchronized Timestamping and Observation Control System
[IEEE] 2026-7-3 | Modification of the Bilateral Filter for Multiplicative Noise Suppression
[IEEE] 2026-7-3 | Intelligent Beam Management in LEO Satellite Systems: Key Technologies and Future Trends
[ACM] 2026-7-4 | The Energy Consumption Graph: A Model-Based Architecture for IIoT-based Industrial Energy Auditing
[ACM] 2026-7-4 | CTRL-G: Controllable Generative Graphics for Games
[ACM] 2026-7-3 | Skinned Motion Retargeting with Spatially Adaptive Interaction Guidance
[ACM] 2026-7-3 | Probe-based Walk on Spheres for Efficient Path Reusing
[IEEE] 2026-7-3 | Controllable Foundation Model for Visible and Infrared Image Fusion with All-in-One Bad Weather Removal
[IEEE] 2026-7-3 | Ku-Band Class-F VCO Based on Independent Third-Harmonic-Controlled Resonator
[IEEE] 2026-7-3 | Adaptive Backoff Method of Statistical Priority-based Multiple Access Based on Multi-factor Fusion
[IEEE] 2026-7-3 | Inside front cover
[IEEE] 2026-7-3 | Hybrid Deep Learning–Machine Learning Framework for Predictive Chemiluminescence Glucose Sensing
[IEEE] 2026-7-3 | Dempster-Shafer Theory-based Multi-Agent Evidence Localization for Explainable Multimodal Rumor Detection
[IEEE] 2026-7-3 | Towards Fine-grained Load Balancing with Congested-flow Isolation in Lossless Datacenters
[IEEE] 2026-7-3 | Front cover
[IEEE] 2026-7-3 | Trajectory Prediction via Regime Partitioning and Adaptive Dual-Stream Fusion Network
[IEEE] 2026-7-3 | Session Photographs
[ACM] 2026-7-3 | Gaussian Point Splatting
[ACM] 2026-7-3 | Monte Carlo Rendering of Biharmonic Diffusion Curves
[ACM] 2026-7-3 | Databending as a Target for Genetic Improvement
[ACM] 2026-7-3 | Monte Carlo PDE Solvers for Nonlinear Radiative Boundary Conditions
[ACM] 2026-7-3 | Revisiting Halstead’s Metrics through Abstract Syntax Trees in C
[IEEE] 2026-7-3 | Agentic GenAI-enabled Resource Allocation for Low-Altitude Embodied Intelligence
[IEEE] 2026-7-3 | Online IMU-Odometer Calibration Using GNSS Measurements for Autonomous Ground Vehicle Localization
[IEEE] 2026-7-3 | Act Natural! Naturalistic Projection for Traffic Analysis in Multimodal Behavior Scenarios
[IEEE] 2026-7-3 | Dual-Observer-Based Integrated Event-Triggered State Synchronization for Discrete-Time Fuzzy Complex Networks With Output Coupling
[ACM] 2026-7-3 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Technical Workshops
[ACM] 2026-7-3 | Efficient Multiscale Lanczos Eigenpair Extraction
共写入 1000 条记录，保存到 papers/paper2026-07-03.json。
论文获取成功，文件路径: papers/paper2026-07-03.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[NO] 2/1000 | Accountability Gap: Measuring the Transparency of Bias Mitigation in Educational AI
[NO] 3/1000 | Lines and Minds: Visual Abstraction in Art, Psychology, and Computer Graphics
[NO] 4/1000 | Enhancing Blockchain Robustness through Efficient Feedback-Driven Chaos Engineering
[NO] 5/1000 | GDE: A Generative Diffusion Equalizer for ICSI-Free Semantic Communications in SAGINs
[NO] 6/1000 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp4-3706679.docx
[NO] 7/1000 | Magnetic-Mechanical Response Mechanism and Quantitative Stress Characterization Method for Pipelines under Lateral Landslide Loads
[NO] 8/1000 | Table of Contents
[NO] 9/1000 | Title Page
[NO] 10/1000 | Self-Organizing Railway Traffic Management
[NO] 11/1000 | Adaptive Dual-Layer DRL-Based AI Model Placement, Task Scheduling, and Resource Allocation for Collaborative Edge Inference and Training
[NO] 12/1000 | Differential Privacy in Generative AI Agents: Analysis and Optimal Tradeoffs
[NO] 13/1000 | Performance Evaluation of a BGO semi-monolithic detector for preclinical PET imaging
[NO] 14/1000 | DRAU-Net: Diffusion-based Residual Attention U-Net for Building Image Segmentation_supp1-3708834.pdf
[NO] 15/1000 | Predicting value of measurement standards using Monte Carlo method
[NO] 16/1000 | Sponsors
[YES] 17/1000 | Spotting Setting-Related UI Display Bugs in Android Apps
[NO] 18/1000 | Distributed Acoustic Sensing for Vehicle Trajectory Tracking: A Model-Based Framework and A Single-Vehicle Field Validation
[NO] 19/1000 | A Switched Inductor-Capacitor Power Amplifier Supporting 100MHz 256-QAM
[NO] 20/1000 | Single-Phase Rectifier for a 3.3 kW Pulse Power Load
[NO] 21/1000 | A Dual-Band Bandpass Filter with Two Symmetrically Folded Stepped Impedance Resonators and Two Centrally Protruded Openended Stubs for the Application in WLAN Systems
[NO] 22/1000 | Streamlined Parameter Estimation for Induction Motors Using an Auto-Tuning Approach with DSP Integration
[NO] 23/1000 | A Novel Boundary Aware Semi-Supervised Adversarial Learning Framework for Region-of-Interest Extraction from High Resolution Remote Sensing Images
[NO] 24/1000 | UzbNerCorpus: A Named Entity Recognition Corpus Creation System For The Uzbek Language
[NO] 25/1000 | Land Use Approach for High-Resolution Spatial Modeling of Industrial Emissions
[NO] 26/1000 | EEG-Based Sleep Stage Classification Using Ensemble Method with Cross-Validation
[NO] 27/1000 | Intelligent System for Monitoring Copper Content in Slag for Pyrometallurgical Production Based on ML Model Training
[NO] 28/1000 | Inter-Operator Interference Assessment for 5G Networks at 2.1GHz in High-Speed Railway Scenarios
[NO] 29/1000 | Development of a Deep Anisotropic Reactive-Ion Etching Process for Silicon to Support the Fabrication of Microfluidic Devices
[NO] 30/1000 | A Cross-Condition Analysis of Current Profile Impact on Lithium-Ion Battery Model Parameterization
[NO] 31/1000 | Enhancing PV Efficiency: Single-Stage, Five-Level Transformer-Less Inverter with Modular Structure
[NO] 32/1000 | DXInject: GPU-Based Payload Transport and Execution via DirectX Compute Shaders
[NO] 33/1000 | Circle Fitting by a Weighted Least Squares Method: An Analysis and New Improvements
[NO] 34/1000 | Microwave Monolithic Digital Step Attenuator Sections Layout Synthesis Based on Evolutionary Algorithms
[NO] 35/1000 | A Novel Approach of Wireless Connection in Multichannel Receive MRI Coils
[NO] 36/1000 | Compact Modeling of the Capacitance Temperature Dependence of a Hyperabrupt P-N Junction
[NO] 37/1000 | $H_{\infty}$ Optimal Output Regulation of Unknown Linear Systems via an Adaptive Dynamic Programming and Internal Model
[NO] 38/1000 | ESP32 Edge Framework-Based IoT-Powered Smart Battery Monitoring and Safety System with Multi-Sensor Protection
[NO] 39/1000 | Automatic Color Identification System Using Optical Prototype and Artificial Intelligence
[NO] 40/1000 | Mapping Burned Areas with Remote Sensing Techniques: A GIS Based Study of the 2025 Monte Sara Forest Fire (Sicily, Italy)
[NO] 41/1000 | Development of Combined Interpretable Topic Classification Algorithm for Uzbek News
[NO] 42/1000 | Neural Network Solutions for Forecasting and Managing Workforce Flows for the Russian Arctic Zone: An Integrated Graph-Transformer Approach
[NO] 43/1000 | Smart-MQTT: QoS-Adaptive MQTT Middleware for Energy Efficient IoT Systems
[NO] 44/1000 | Communication Prior Guided Multimodal Framework for Open Set Modulation Recognition: A Semantic Perspective
[NO] 45/1000 | Interleaved Multiple Chirp Rate Modulation for Satellite Internet of Things Applications
[NO] 46/1000 | Highly Available Distributed VPN Architecture in Cloud-Native Environments: 5G Edge Integration Through API-Driven Orchestration
[NO] 47/1000 | Device-to-Architecture Co-Design of Monolithic 3D FPGA Using 2D Transistor
[NO] 48/1000 | A 5.7-6.8GHz Capacitively-Coupled Series-Assisted Parallel-Resonance VCO Achieving −148.8 dBc/Hz PN, 193.5 FoM, and 202.0 FoM
                    <sub>A</sub>
                    at 10MHz Offset
[NO] 49/1000 | Scalable and Stackable 2S1M SOT-MRAM Memory Cell Enabled by Two-Terminal Write and Read SNGCT Chalcogenide Selectors
[NO] 50/1000 | Flexible Monolithic 3D Integration of RRAM-based CIM, CNT CMOS Circuits and IGZO FET-based Sensor and Display for Augmented Reality Contact Lenses
[NO] 51/1000 | Evaluating the Potential of C-Band Radar as a Substitute for Optical Data to Monitor FAO-56 Crop Coefficients
[NO] 52/1000 | Enabling the Robotic Revolution: Bridging Performance Gap Between Present and Future
[NO] 53/1000 | 3D Orthogonal Die Stacking Technology for DRAM-on-GPU Integration Using Contactless Die-to-Die Interface
[NO] 54/1000 | Enhancing Maternal Health Risk Prediction Using Machine Learning–Based Data Augmentation
[NO] 55/1000 | Optical Communication Demands Induced by Front-View Cameras of Intelligent Driving Vehicles
[NO] 56/1000 | Fundamental Delay and Reliability Guarantees for Emergency UAV
[NO] 57/1000 | Detection of Myocardial Fibrosis Based on Cardiac Electrophysiological Characteristics
[NO] 58/1000 | Real-Time Person Re-Identification in CCTV Using YOLOv8, Bytetrack and OSNet
[NO] 59/1000 | A $\mathbf{2 n m}$ 37.4 Mbit $/ \text{mm}^{2}$ Dual-Rail SRAM with Row-Access Aware Read Tracking and Write Assist Circuits Enabling 2.28 pJ/Access Energy Efficient Operation
[NO] 60/1000 | Direct Synthesis of Multi-Stacked Channels and Doped Source/Drains for TMD CFETs
[NO] 61/1000 | Custom Spectacle Frame Modeling Recommendation Through Exact Facial Feature Analysis
[NO] 62/1000 | Uniform and Direction-Controllable Metal-Induced Lateral Crystallization for 3D NAND Flash Memory via $\text{NiSi}_{2}(111)$-Oriented Seed Layer Transfer
[NO] 63/1000 | An Efficient Single-Input Multi-Output Forward Converter for Electric Vehicle Charging Applications
[NO] 64/1000 | Bumpless Transfer Filtering for Continuous-Time Switched Systems with Admissible Dual-Modal Persistent Dwell-Time
[NO] 65/1000 | Characterizing the Set of Information Systems of a Brazilian State Court as a System-of-Systems
[NO] 66/1000 | ObsAct: a Programming Model for Opportunistic IoT Applications using the Mobile-Hub
[NO] 67/1000 | Digital Twins for Science and Industry
[NO] 68/1000 | Graphics In Medicine: From the Dev Floor to the Operating Room 2
[NO] 69/1000 | Blockchain Reputation Oracles: An MCP-Based Study
[NO] 70/1000 | Proceedings of the 14th International Workshop on Genetic Improvement
[NO] 71/1000 | HoloPathTracer: Fast and Accurate Wave Path Tracing for Holography
[NO] 72/1000 | SQuadGen: Generating Simple Quad Layouts via Chart Distance Fields
[NO] 73/1000 | Single-View Holographic Volumetric 3D Printing with Coupled Differentiable Wave-Optical and Photochemical Optimization
[NO] 74/1000 | Invisible Holographic Window: Full-color 3D Image Reconstruction from Transparent Surface-relief Computer-generated Holograms
[NO] 75/1000 | IEEE Journal on Flexible Electronics Publication Information
[NO] 76/1000 | Gridless Variational Bayesian DoA Estimation for Few-Bit Antenna Arrays
[NO] 77/1000 | Spinal Lesion Detection in X-Ray Images via Uncertainty-Guided Classification and Localization
[NO] 78/1000 | Energy Efficiency Improvement in Dual-Motor EVs via Simultaneous Force-Current Allocation
[NO] 79/1000 | Advertisers Index
[NO] 80/1000 | SNR Analysis and Channel Estimation for Multi-UAV Near-field Communications
[NO] 81/1000 | ISAC Enabled Anti-UAV: Joint Beamforming and Trajectory Design for Multi-UAVs
[NO] 82/1000 | Effects of Long-Lead Monitoring Requests on Driver Trust, Forward Gaze Rate, and Takeover Performance in Level 3 Automated Driving
[NO] 83/1000 | A Sensor-Based Framework for Early Hazard Detection of Lithium-Ion Battery Incidents in Smart Waste Collection Fleets
[NO] 84/1000 | Proceedings of the 2026 Australasian Computer Science Week
[NO] 85/1000 | From Semantics to Paths: Carrier-Aware Global Emergency Routing via Parallel Road Network and Land-Cover Inference
[NO] 86/1000 | Urban-Rural Bus-Assisted Drone Logistics Delivery With Time Window Considerations
[NO] 87/1000 | Copyright Page
[NO] 88/1000 | A16 Angstrom-Class CMOS Technology Featuring Enhanced Nanosheet Transistors with Super Power Rail (Backside Direct Contact Power Delivery) for AI and HPC Applications
[NO] 89/1000 | Digital Twin-Based Cyber Threat Detection in Digital Power Systems with Multidimensional Telemetry
[NO] 90/1000 | Spiking Transformer-Based Framework for Modeling and Forecasting Energy Generation and Consumption
[NO] 91/1000 | Efficient and Lightweight Object Detection via Multi-Round Response-Based Knowledge Distillation
[NO] 92/1000 | Dynamic Resource Allocation Algorithms in Resource-Constrained Federated Learning Systems
[NO] 93/1000 | Extreme Value Theory-Based Rare Event Detection for Smart City Network Security
[NO] 94/1000 | First EUV-Enabled Integration Route for 50 nm Pitch N and PMOS Transistors with 2D Materials Channel from a 300 mm Fab
[NO] 95/1000 | Interfacial-Layer-Free NCFETs Achieving $\mathbf{2 mV}$ Hysteresis, $\mathbf{27 mV}$ /dec SS, $\mathbf{2 mV/V}$ DIBL, and Record $2088 \mu \mathrm{A} / \boldsymbol{\mu} \mathrm{m}$ Ion at $\mathrm{V}_{\text{DS}}=\mathrm{V}_{\text{ov}}=0.5 \mathrm{V}$
[NO] 96/1000 | New Insights into Multi-Level Cell Behavior in FeFET: Localization Effect Aware Write-Verify Scheme
[NO] 97/1000 | Comparative Analysis of Machine Learning Algorithms for Student Performance Prediction in E-Learning Environments
[NO] 98/1000 | Scalable Semantic Communication for Multi-User Systems with Heterogeneous Tasks
[NO] 99/1000 | Experimental and CFD Investigation of Heat Transfer Characteristics in a Double-Tube Heat Exchanger
[NO] 100/1000 | From Implicit to Explicit: a Theoretical Model of Pedagogical Design for Meta-Competencies under Conditions of Artificial Intelligence Integration
[NO] 101/1000 | ANFIS-Based Bidirectional Intelligent Power Management for EV-Integrated Hybrid Solar–Wind DC Micro grids
[NO] 102/1000 | Sirius: A Dual-Chiplet System for Multimodal Embodied AI with Heterogeneous RVV Cores, Dense and Sparse Accelerators
[NO] 103/1000 | Multithreading for Obfuscating Code Against Dynamic Analysis and Reverse Engineering
[NO] 104/1000 | Intelligent MPPT Control of a Multi-Input Multiout-Output Converter for Renewable-Powered EV Charging Systems
[NO] 105/1000 | Adaptive Image Inpainting by Classical and Deep Learning Completion for Digitized Mural Paintings
[NO] 106/1000 | Block-FRL: A Reputation-Aware Blockchain Framework for Secure Federated Reinforcement Learning in Internet of Vehicles
[NO] 107/1000 | A 1.39pJ/bit 224Gb/s PAM-4 Long-Reach SerDes Receiver in 3nm FinFET
[NO] 108/1000 | Enhanced Intrusion Detection in IEC 60870-5-104 Smart Grid Networks Using a Deep CNN-LSTM Model
[NO] 109/1000 | A comparison of delay and Doppler estimation methods for ISAC-capable vehicles
[NO] 110/1000 | From Full-Range Spectroscopy to Rgb Indices: A Decisionoriented Evaluation of Feature Compression for Sediment Organic Matter Prediction
[NO] 111/1000 | High Efficiency 1D - CNN for Vibration Based Road Surface Classification
[NO] 112/1000 | An Agentic AI Control Plane for 6G Network Slice Orchestration, Monitoring, and Trading
[NO] 113/1000 | IoT Object Integrity Self-Management
[NO] 114/1000 | Optimizing Wireless Multimedia Task Offloading in UAV-LEO Networks: A Bio-inspired Hybrid Approach
[NO] 115/1000 | Artificial Bee Colony based Energy Management System of Charging Station for Electric Vehicles with Machine Learning Technique
[NO] 116/1000 | A Diagnosis of Pneumonia by Multi-View Attentionenhanced Multi-domain Cross-domain Chest X-Ray Representation
[NO] 117/1000 | Three-Dimensional Surface Scanning for the Analysis of External Forearm Geometry
[NO] 118/1000 | A Fan-Shaped Ultra-Wideband Antenna for Short Range Communications
[NO] 119/1000 | Design and Prototype Evaluation of a Progressive Metadata-Driven Architecture for Encrypted C2 Detection in Enterprise Networks
[NO] 120/1000 | Pelican Optimization Based Intelligent Active Power Filter for Stability Enhancement in Microgrids
[NO] 121/1000 | A Few-Shot Transfer Learning Framework using MobilenetV2 for Remote Sensing Image Classification
[NO] 122/1000 | A Comparative Entropy Analysis of BJT Avalanche Noise, SDR Noise and Algorithmic PRNGs
[NO] 123/1000 | Physical Layer Modulation Benchmarking: Classical QAM Baselines for AI-Based 6G Transceiver Evaluation
[NO] 124/1000 | The Previs Battleground: Precision Planning vs Creative Freedom
[NO] 125/1000 | Persistence-guided Prescribed Topological Simplification
[NO] 126/1000 | Applying Genetic Improvement Techniques for Automated Program Repair of Transpiled Code
[NO] 127/1000 | Iskra: A System for Inverse Geometry Processing
[NO] 128/1000 | UMA: Ultra-detailed Human Avatars via Multi-level Surface Alignment
[NO] 129/1000 | Improving Cancer Driver Gene Prediction using Biological knowledge-guided Prompts for LLM
[NO] 130/1000 | Dynamic Parking Pricing for Electric Vehicles in a Loss Queue
[NO] 131/1000 | Mask-guided Asymmetric Contrastive and Semantic Alignment for Unsupervised Person Re-Identification
[NO] 132/1000 | Infrared Spectroscopy with FPI for Quantitative Analysis of C
                    <sub>4</sub>
                    F
                    <sub>7</sub>
                    N in the C
                    <sub>4</sub>
                    F
                    <sub>7</sub>
                    N/CO
                    <sub>2</sub>
                    gas mixture
[NO] 133/1000 | Downlink Performance Analysis of Pinching Antenna Systems: WDMA or NOMA?_supp1-3708149.pdf
[NO] 134/1000 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp3-3706679.docx
[NO] 135/1000 | Cuzco: A High-Performance RISC-V RVA23 Compatible CPU IP
[NO] 136/1000 | Sustainable TinyML-Enhanced Edge Intelligence for Human-to-Machine Applications over Optical Access Networks
[NO] 137/1000 | RBF-SAM: Robust Building Footprint Extraction from Off-Nadir Remote Sensing Images via Segment Anything Model
[NO] 138/1000 | Artificial Intelligence-Powered Crypto Ransomware Detection
[NO] 139/1000 | Continuous Fluid Modeling of Credit-Based Flow Control for HPC Interconnection Networks
[NO] 140/1000 | Graph Neural Network–Enhanced Knowledge Graph for Content Mining and Intelligent Decision-Making in Ideological and Political Courses
[NO] 141/1000 | Integrated Multi-Property Evaluation of Surface Modified Rutile-TiO₂ Nanocomposite Kraft Paper: Moisture-Driven Coupling Effects in Transformer Insulation
[NO] 142/1000 | Awards
[NO] 143/1000 | Broadband Ultrathin Terahertz Metamaterial Absorber With Switchable VO
                    <sub>2</sub>
                    Phase Transition
[NO] 144/1000 | QuGrid-Fed: Quantum-Assisted Federated IoV Energy and Security Management for Sustainable Urban Transportation Systems
[NO] 145/1000 | Investigation of Gate Field-Plate Effects on f
                    <sub>max</sub>
                    Improvement in GaN HEMTs for RF Applications
[NO] 146/1000 | Towards Region-Aware Finer Self-Supervised Learning for Fine-Grained Visual Recognition
[NO] 147/1000 | “Live from LA!”: Facilitating Personal and Political Storytelling through Immersive Youth Theater
[NO] 148/1000 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Educator's Forum
[NO] 149/1000 | A Multimodal AI–IoT Framework for Monitoring Student Well-Being in Hybrid and Transnational Learning Environments
[NO] 150/1000 | From Human Vision to Machine Vision
[NO] 151/1000 | Cyber Security-Enhanced Low-Voltage User Demand Response in Smart Grids via Lightweight Blockchain and Cloud Computing
[NO] 152/1000 | Grid Stability and Power Quality Improvement in a Hybrid DC/AC Microgrid Using Coordinated Control and Dstatcom
[NO] 153/1000 | A Hybrid LDO with Region-Detection and Power-Supply-Rejection-Based Control Achieving High PSR and Fast Transient Response
[NO] 154/1000 | Intelligence Accelerated: Memory Innovations to Power the AI Era
[NO] 155/1000 | Evaluation of ERA5 and SM2RAIN-ASCAT Precipitation Datasets for Drought Monitoring in Morocco
[NO] 156/1000 | Redefining Trust Boundaries: A Holistic Synthesis of Zero-Trust Architecture Across Emerging Ecosystems
[NO] 157/1000 | Adaptive Distance Relaying to Cope the Adverse Effect of Resistive SFCL
[NO] 158/1000 | Method for Estimating the Position of the Mover In a Wave Energy Power Generation Drive System
[NO] 159/1000 | A 50-mm
                    <sup>2</sup>
                    Crystal-Free Bidirectional WPDT System with Carrier-Reuse Clocking for Implantable Neural Interfaces
[NO] 160/1000 | Electric Vehicle Charging and Discharging Effects on Voltage Control in Smart Transactive Grids
[NO] 161/1000 | Leveraging Relation Networks for Few-Shot Network Anomaly Detection
[NO] 162/1000 | Design and Implementation of Improved Wireless Charging for Drone Applications
[NO] 163/1000 | OTFS Modulation Aided Joint Resource Scheduling for LEO Satellite Downlink Transmission
[NO] 164/1000 | Context-Aware QoS Adaptation Framework for Vehicular Communications in 5G-MEC Networks
[NO] 165/1000 | Filter-Free Time-Gated Fluorescence CMOS Biochip with Fast Thermal Cycling for PoC DNA Testing
[NO] 166/1000 | A 28nm 44.15TFLOPS/W and 1.57TFLOPS/mm
                    <sup>2</sup>
                    Joint-Alignment Floating-Point CIM Macro with ISO26262 ASIL-D Safety Level for Autonomous Driving
[NO] 167/1000 | Automatic Extraction of Medical Entities from Uzbek Patient Records
[NO] 168/1000 | A Product-Oriented 3rd-Generation 2nm GAA Platform Technology with Enhanced Speed and Power Efficiency across Nanosheets
[NO] 169/1000 | PLC Modem With Hardware Implementation of Data Verification
[NO] 170/1000 | Adaptive Hybrid Access in Next Generation Networks Using PPO and GNN for RSMA-NOMA Optimization
[NO] 171/1000 | Enhanced Residential Load Forecasting Using Deep Neural Networks
[NO] 172/1000 | Collaborative Fault Tolerance Computing for Emergency Tasks in Lunar Radiation Environment
[NO] 173/1000 | Multiport Bidirectional Converter for Electric Vehicle Application
[NO] 174/1000 | PanScan: A Hybrid CNN-Transformer Framework for EarlyDisease Detection of Pancreatic Cancer from Medical Imaging
[NO] 175/1000 | Artificial Intelligence Driven Framework for Next Generation Network Attack Detection and Cybersecurity in 5G and Beyond Networks
[NO] 176/1000 | A 3.86 TOPS/W TTFS-Based Neuromorphic Image Sensor Featuring Clocked-Recharging SPAD Pixels and Sub-Pixel-Array-Level Processing
[NO] 177/1000 | UAV-Assisted Integrated Sensing, Communication, and Computation Edge Inference Network With Early-Exit Mechanism
[NO] 178/1000 | Analysis and Comparison of Adaptive P&amp;O and Adaptive Gradient Ascent Based MPP Techniques for PV Integrated Systems Under Dynamic Operating Conditions
[NO] 179/1000 | AI Powered Cognitive Adaptive Learning System
[NO] 180/1000 | First Demonstration of CVD Monolayer $\text{WSe}^{2}$ PFETs with Ultra-Short Channel Length of 16 nm: Achieving Record $\mathrm{I}_{\text{on}}$ of $1532 \mu \mathrm{A} / \mu \mathrm{m}$ at $\mathrm{V}_{\text{ds}}=-1 \mathrm{V}$ and Ballistic Efficiency of 81%
[NO] 181/1000 | Image Forgery Prevention Using Deep Learning
