[2026-05-07 11:10:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-06
正在获取论文...
[arXiv] 2026-05-06 | Emergence of Localized Surface Plasmons in Unpatterned Hyperdoped Polycrystalline Silicon
[NO] 4/1845 | Hearing the Ocean: Bio-inspired Gammatone-CNN framework for Robust Underwater Acoustic Target Classification
[NO] 5/1845 | Replay-Based Continual Learning for Physics-Informed Neural Operators
[NO] 6/1845 | Improving FMQA via Initial Training Data Design Considering Marginal Bit Coverage in One-Hot Encoding
[NO] 7/1845 | AGILE detection of transient γ-ray emission from the region of the supergiant fast X-ray transient source IGR J17354-3255
[NO] 8/1845 | Charged current neutrino processes in hot nuclear matter with a recent Skyrme parametrization constrained by microscopic calculations
[NO] 9/1845 | Role of mass fluctuations in the diffusion of clusters of Brownian particles with activity
[YES] 10/1845 | Not All Faults Are Equal: Transient-Fault Sensitivity Characterization of an Open-Source RISC-V Vector Cluster
[NO] 11/1845 | Exact solutions, trajectories and radiation patterns in the classical relativistic Störmer problem
[NO] 12/1845 | A meta-analysis of the effect of generative AI on productivity and learning in programming
[NO] 13/1845 | Steady Incremental Viscosity Splitting Method for solving the stationary Navier-Stokes equation
[NO] 14/1845 | Spin-wave bandgap engineering via mode hybridization in dipolar-coupled YIG film/CoFeB nanodisk magnonic crystals
[NO] 15/1845 | Gaze4HRI: Zero-shot Benchmarking Gaze Estimation Neural-Networks for Human-Robot Interaction
[NO] 16/1845 | Cognitive Twins: Investigating Personalized Thinking Model Building and Its Performance Enhancement with Human-in-the-Loop
[NO] 17/1845 | Hybrid Congestion Classification Framework Using Flow-Guided Attention and Empirical Mode Decomposition
[NO] 18/1845 | AICoFe: Implementation and Deployment of an AI-Based Collaborative Feedback System for Higher Education
[NO] 19/1845 | Confirmation of Binary Clustering in Gamma-Ray Bursts through an Integrated $p$-value from Multiple Nonparametric Tests of Hypotheses
[NO] 20/1845 | OSAQ: Outlier Self-Absorption for Accurate Low-bit LLM Quantization
[NO] 21/1845 | Sequential topology optimization: SIMP initialization for level-set boundary refinement
[NO] 22/1845 | Reward-Decomposed Reinforcement Learning for Immersive Video Role-Playing
[NO] 23/1845 | ULF-Loc: Unbiased Landmark Feature for Robust Visual Localization with 3D Gaussian Splatting
[NO] 24/1845 | Anny-Fit: All-Age Human Mesh Recovery
[NO] 25/1845 | From Beats to Breaches:How Offensive AI Infers Sensitive User Information from Playlists
[NO] 26/1845 | Lithium enrichment threatens to curb fusion deployment
[NO] 27/1845 | Subcubic $K_4$-minor-free graphs without crumby colorings
[NO] 28/1845 | FaithfulFaces: Pose-Faithful Facial Identity Preservation for Text-to-Video Generation
[NO] 29/1845 | When Graph Traversal Meets Structured Preferences: Unified Framework and Complexity Results
[NO] 30/1845 | $\mathbb{G}_m$-cohomology of $p$-adic Stein spaces
[NO] 31/1845 | Theoretical Constraints on Neutron Star Superfluidity from Her X-1 Precession
[NO] 32/1845 | Compact, AGN-hosting Dwarf Galaxies with "Little Red Dots"-like SEDs in the Local Universe
[NO] 33/1845 | Multi-Level Bidirectional Biomimetic Learning for EEG-Based Visual Decoding
[NO] 34/1845 | ITBoost: Information-Theoretic Trust for Robust Boosting
[NO] 35/1845 | Paraphrase-Induced Output-Mode Collapse: When LLMs Break Character Under Semantically Equivalent Inputs
[NO] 36/1845 | FAAST: Forward-Only Associative Learning via Closed-Form Fast Weights for Test-Time Supervised Adaptation
[NO] 37/1845 | Quantum Coherence Reshapes Thermodynamic Bounds for Thermal Machines
[NO] 38/1845 | ReflectDrive-2: Reinforcement-Learning-Aligned Self-Editing for Discrete Diffusion Driving
[NO] 39/1845 | Securing the Web with HSTS-Enforced
[NO] 40/1845 | Gradients with Respect to Semantics Preserving Embeddings Tell the Uncertainty of Large Language Models
[NO] 41/1845 | A Generalized Framework of Antisymmetric Polyspectral Indices for Identifying High-Order Neural Interactions
[NO] 42/1845 | CombOL: a Library for Practical Enumeration and Boltzmann Sampling of Combinatorial Classes
[NO] 43/1845 | Determinantal formulae for a symmetric generating function of totally symmetric plane partitions
[NO] 44/1845 | Constructions of locally repairable codes via concatenated codes
[NO] 45/1845 | Counting Minimal Lagrangians Via Mirzakhani Functions
[NO] 46/1845 | Continual Knowledge Updating in LLM Systems: Learning Through Multi-Timescale Memory Dynamics
[NO] 47/1845 | Theta functions and transformations of bilateral basic hypergeometric series
[NO] 48/1845 | Proximal Projection for Doubly Sparse Regularized Models
[NO] 49/1845 | Driver-WM: A Driver-Centric Traffic-Conditioned Latent World Model for In-Cabin Dynamics Rollout
[NO] 50/1845 | Time-Fractional Schrödinger Evolution in Coupled Double Quantum Dots: Memory Effects on Quantum Resources
[NO] 51/1845 | Provable imitation learning for control of instability in partially-observed Vlasov--Poisson equations
[NO] 52/1845 | High-Dimensional Statistics: Reflections on Progress and Open Problems
[NO] 53/1845 | MSE-Optimal Difference-in-Differences Estimator
[NO] 54/1845 | When Relations Break: Analyzing Relation Hallucination in Vision-Language Model Under Rotation and Noise
[NO] 55/1845 | Computer-Aided Design Generation by Cascaded Discrete Diffusion Model
[NO] 56/1845 | Local Intrinsic Dimension Unveils Hallucinations in Diffusion Models
[NO] 57/1845 | Position: Embodied AI Requires a Privacy-Utility Trade-off
[NO] 58/1845 | Dephasing Effects on the Dynamical Evolution of Quantum Correlations and Coherence in Neutrino Oscillations
[NO] 59/1845 | CARD: A Multi-Modal Automotive Dataset for Dense 3D Reconstruction in Challenging Road Topography
[NO] 60/1845 | First Detection of Extensive Air Showers Using a Small-Aperture Fluorescence Telescope
[NO] 61/1845 | A Tutorial for Evaluating Cure Model Appropriateness
[NO] 62/1845 | Federated Learning for Early Prediction of EV Charging Demand
[NO] 63/1845 | Non-Expansive Matrix Based number Systems
[NO] 64/1845 | The one and the only: the pulsar - white dwarf system in NGC 6749
[NO] 65/1845 | Lifespan of Classical Solutions to One-Dimensional Quasilinear Wave Equations
[NO] 66/1845 | Reliable Modeling of Distribution Shifts via Displacement-Reshaped Optimal Transport
[NO] 67/1845 | Exact SU(2) Yang-Mills Waves from a Simple Ansatz
[NO] 68/1845 | Scalar and Vector Airborne Platform Calibration Using Quantum and Classical Magnetometers and Inertial Sensors
[NO] 69/1845 | Integral Homology and Poincaré Polynomials of classical and exceptional Real Flag Manifolds
[NO] 70/1845 | Local elastic perturbation of colloidal suspensions near the colloidal glass transition
[NO] 71/1845 | Horizontal transport as a source of disequilibrium chemistry on the nightside of a hot exoplanet
[NO] 72/1845 | Decision Problems in Multilevel Linear Programming
[NO] 73/1845 | Response tensor for the superconducting (Josephson) diode effect
[NO] 74/1845 | Unintended Negative Impacts of Promotional Language in Patent Evaluation
[NO] 75/1845 | Evolving Idea Graphs with Learnable Edits-and-Commits for Multi-Agent Scientific Ideation
[NO] 76/1845 | A Convolution Process for Sea Surface Temperature Hot-Spot Identification in the Mediterranean Sea
[NO] 77/1845 | Koopman Identification of Nonlinear Systems via Reservoir Liftings
[NO] 78/1845 | Breaking the Quality-Privacy Tradeoff in Tabular Data Generation via In-Context Learning
[NO] 79/1845 | Geant4 Optical Simulation without C++
[NO] 80/1845 | On the (In-)Security of the Shuffling Defense in the Transformer Secure Inference
[NO] 81/1845 | Storage Is Not Memory: A Retrieval-Centered Architecture for Agent Recall
[NO] 82/1845 | Parameter Estimation Horizon of Core-Collapse Supernovae with Current and Next-Generation Gravitational-Wave Detectors
[NO] 83/1845 | Regime-Conditioned Evaluation in Multi-Context Bayesian Optimization
[NO] 84/1845 | An Andrews-Gordon Type Identity Related to Andrews' Parity Consideration
[NO] 85/1845 | A Comparative Study of PyCaret AutoML and CNN-BiLSTM for Binary Hate Speech Detection in Indonesian Twitter
[NO] 86/1845 | Catalytic advantage in asymptotic entanglement manipulation
[NO] 87/1845 | Anticipating Innovation Using Large Language Models
[NO] 88/1845 | Uncertainty-Aware Exploratory Direct Preference Optimization for Multimodal Large Language Models
[NO] 89/1845 | Branching Brownian motion with rank-based selection and reaction-diffusion equations
[NO] 90/1845 | 3D Ultrasound-Derived Pseudo-CT Synthesis Using a Transformer-Augmented Residual Network for Real-Time Operator Guidance
[NO] 91/1845 | Generative Quantum-inspired Kolmogorov-Arnold Eigensolver
[NO] 92/1845 | Multiscale Euclidean Network Trajectories: Second-Moment Geometry, Attribution, and Change Points
[NO] 93/1845 | TajikNLP: An Open-Source Toolkit for Comprehensive Text Processing of Tajik (Cyrillic Script)
[NO] 94/1845 | Fundamental Limitations of Post-Quantum Cryptographic Architectures
[NO] 95/1845 | Benchmarking POS Tagging for the Tajik Language: A Comparative Study of Neural Architectures on the TajPersParallel Corpus
[NO] 96/1845 | VL-UniTrack: A Unified Framework with Visual-Language Prompts for UAV-Ground Visual Tracking
[NO] 97/1845 | IRON: Implicit Resolvent Optimization under Noise
[NO] 98/1845 | Neural-Guided Domain Restriction to Accelerate Pseudospectra Computation for Structured Non-normal Banded Matrices
[NO] 99/1845 | The Nonreciprocal Mie-surfaces
[NO] 100/1845 | Measurement-Device-Independent Entanglement Quantification in a Fully Connected Time-Bin Quantum Network
[NO] 101/1845 | Hierarchical entanglement transitions and hidden area-law sectors in quantum many-body dynamics
[NO] 102/1845 | From Video-to-PDE: Data-Driven Discovery of Nonlinear Dye Plume Dynamics
[NO] 103/1845 | Characterizing Students' LLM Usage Behaviors and Their Association with Learning in Critical Thinking Tasks
[NO] 104/1845 | Reward-Guided Semantic Evolution for Test-time Adaptive Object Detection
[NO] 105/1845 | Stability conditions and infinitesimal deformation of curves
[NO] 106/1845 | RaguTeam at SemEval-2026 Task 8: Meno and Friends in a Judge-Orchestrated LLM Ensemble for Faithful Multi-Turn Response Generation
[NO] 107/1845 | FL-Sailer: Efficient and Privacy-Preserving Federated Learning for Scalable Single-Cell Epigenetic Data Analysis via Adaptive Sampling
[NO] 108/1845 | Enhanced $2$-categories of models of sketches as enhanced $2$-categories of algebras over monads
[NO] 109/1845 | DiffCap-Bench: A Comprehensive, Challenging, Robust Benchmark for Image Difference Captioning
[NO] 110/1845 | SCOUT: Active Information Foraging for Long-Text Understanding with Decoupled Epistemic States
[NO] 111/1845 | The unique, universal entropy for complex systems
[NO] 112/1845 | Confidence uncertainty: position and momentum can be jointly determined with a guaranteed probability
[NO] 113/1845 | ESG as Priced Crash Insurance: State-Dependent Tail Risk and Deconfounding Evidence
[NO] 114/1845 | On the structural behavior of images of polynomials
[NO] 115/1845 | LEGO: LoRA-Enabled Generator-Oriented Framework for Synthetic Image Detection
[NO] 116/1845 | Asymptotics of Minimizers for Ginzburg--Landau-type Functionals in High Dimensions
[NO] 117/1845 | Implementation of the Habegger--Lin decision algorithm
[NO] 118/1845 | Delay-induced chimera transitions via mode selection in a multiplex FitzHugh Nagumo network
[NO] 119/1845 | Submodular Ground-Set Pruning: Monotone Tightness and a Non-Monotone Separation
[NO] 120/1845 | Structure-Preserving and Pressure-Robust PINNs for Incompressible Oseen Problems
[NO] 121/1845 | A Numerical Investigation of Extremum-Seeking-Based Command Generation for Adaptively Controlled Systems
[NO] 122/1845 | UAV as Urban Construction Change Monitor: A New Benchmark and Change Captioning Model
[NO] 123/1845 | Detecting Deepfakes via Hamiltonian Dynamics
[NO] 124/1845 | Existence, uniqueness, stability, and monotonicity of traveling waves for repulsion/attraction chemotaxis models with logistic type source
[NO] 125/1845 | Anchored random clusters and SLE excursions
[NO] 126/1845 | Global spherically symmetric solutions to the multidimensional isentropic compressible Navier--Stokes--Korteweg system with large initial data
[NO] 127/1845 | Production of $D_s\bar{D}_s$ and $D\bar{D}$ bound states in the $B$ decays within the Bethe-Salpeter framework
[NO] 128/1845 | Worst-Case Discovery and Runtime Protection for RL-Based Network Controllers
[NO] 129/1845 | Random sampling of self-avoiding theta-graphs
[NO] 130/1845 | Online Nonstochastic Prediction: Logarithmic Regret via Predictive Online Least Squares
[NO] 131/1845 | Superconvergence in finite element method by smoothing
[NO] 132/1845 | On the Influence of the Feature Computation Budget on Per-Instance Algorithm Selection for Black-Box Optimization
[NO] 133/1845 | Beyond Seeing Is Believing: On Crowdsourced Detection of Audiovisual Deepfakes
[NO] 134/1845 | Cobordism-equivalence for codimension-one submanifolds
[NO] 135/1845 | Reconfigurable and cascaded logic gates using dual-input multilayered heater nanocryotrons
[NO] 136/1845 | Stability and Bifurcation Analysis of Fractional Delay Differential Equation with a Delay-dependent Coefficient
[NO] 137/1845 | Multistate Coupled Diabatic Neural Network potential for the quantum non-adiabatic Photofragmentation of CH$_2^+$
[NO] 138/1845 | S-LCG: Structured Linear Congruential Generator-Based Deterministic Algorithm for Search and Optimization
[NO] 139/1845 | From open-loop representations to closed-loop feedback implementations in differential games: A numerical case study
[NO] 140/1845 | Temporal Structure Matters for Efficient Test-Time Adaptation in Wearable Human Activity Recognition
[NO] 141/1845 | Taming Outlier Tokens in Diffusion Transformers
[NO] 142/1845 | On a polynomial involving quadratic residues modulo primes
[NO] 143/1845 | Frustrated magnetic order in hybrid Kitaev spin-orbital models
[NO] 144/1845 | Singular Behavior of Observables at Hopf Bifurcations
[NO] 145/1845 | Grokability in five inequalities
[NO] 146/1845 | LongSeeker: Elastic Context Orchestration for Long-Horizon Search Agents
[NO] 147/1845 | LoViF 2026 The First Challenge on Holistic Quality Assessment for 4D World Model (PhyScore)
[NO] 148/1845 | Numerical study of the 2D Kaup-Broer-Kuperschmidt Boussinesq system
[NO] 149/1845 | A Closed-Form Dual-Barrier CBF Safety Filter for Holonomic Robots on Incrementally Built Occupancy Grid Maps
[NO] 150/1845 | On the generalized Komar charge of supersymmetric solutions
[NO] 151/1845 | Understanding In-Context Learning for Nonlinear Regression with Transformers: Attention as Featurizer
[NO] 152/1845 | MRI-Eval: A Tiered Benchmark for Evaluating LLM Performance on MRI Physics and GE Scanner Operations Knowledge
[NO] 153/1845 | When Life Gives You BC, Make Q-functions: Extracting Q-values from Behavior Cloning for On-Robot Reinforcement Learning
[NO] 154/1845 | Entanglement-Rank Duality in Quadratic Phase Quantum States
[NO] 155/1845 | PhysForge: Generating Physics-Grounded 3D Assets for Interactive Virtual World
[NO] 156/1845 | Dynamical correlations in a dissipative XXZ spin chain
[NO] 157/1845 | The Saturable Electronic Reluctance Switch: Switchable low-power and low-noise generation of magnetic fields using permanent magnets
[NO] 158/1845 | CTseg: A Tool for Brain CT Segmentation, Spatial Normalisation, and Volumetrics
[NO] 159/1845 | What Can Go Wrong During Caplet Stripping ?
[NO] 160/1845 | Transformed Latent Variable Multi-Output Gaussian Processes
[NO] 161/1845 | The Demand Externality of Automation
[NO] 162/1845 | Time-Dependent Dynamical Dimensional Transmutation in the $SU(2)$ Gross-Neveu Model with Time-Dependent Interaction Strength
[NO] 163/1845 | Input-Output Specifications and Dynamic Droop Coefficients: Stability and Performance Conditions for Grid-Forming IBRs
[NO] 164/1845 | Minimizing the Expected Cost of Synchronization in Lossless Power Networks
[NO] 165/1845 | Are PTA measurements sensitive to gravitational wave non-Gaussianities?
[NO] 166/1845 | UFAL-CUNI at SemEval-2026 Task 11: An Efficient Modular Neuro-symbolic Method for Syllogistic Reasoning
[NO] 167/1845 | The Erdős-Pósa property for prime-length cycles fails (and beyond)
[NO] 168/1845 | Harnessing a 256-qubit Neutral Atom Simulator for Graph Classification
[NO] 169/1845 | Neural-powered unit disk graph embedding: qubits connectivity for some QUBO problems
[NO] 170/1845 | The magnetic fields in Be stars are stronger than previously suggested
[NO] 171/1845 | Deterministic identification for Bernoulli channels and related channels with continuous input
[NO] 172/1845 | Toward a Risk Assessment Framework for Institutional DeFi: A Nine-Dimension Approach
[NO] 173/1845 | Syn4D: A Multiview Synthetic 4D Dataset
[NO] 174/1845 | Field-induced asymmetric band flattening and ideal quantum geometry in rhombohedral graphene
[NO] 175/1845 | Stable homotopy theory of higher categories
[NO] 176/1845 | Almost-Orthogonality in Lp Spaces: A Case Study with Grok
[NO] 177/1845 | SILC: Lookahead Caching for Short-form Video Delivery Systems
[NO] 178/1845 | On Turán's inequality: new general criteria, nonnegative representations and the class of generalized Chebyshev polynomials
[NO] 179/1845 | Estimating the expected output of wide random MLPs more efficiently than sampling
[NO] 180/1845 | Private Structured-Subset Retrieval
[NO] 181/1845 | PSK at SemEval-2026 Task 9: Multilingual Polarization Detection Using Ensemble Gemma Models with Synthetic Data Augmentation
[NO] 182/1845 | Superposition Is Not Necessary: A Mechanistic Interpretability Analysis of Transformer Representations for Time Series Forecasting
[NO] 183/1845 | On Characterizations of (Almost) Strictly Convex Functions
[NO] 184/1845 | On Controllability of a Class of N -dimensional Hyperbolic Equations with Internal Single-point Degeneracy
[NO] 185/1845 | Executable World Models for ARC-AGI-3 in the Era of Coding Agents
[NO] 186/1845 | Algebraic $K$-theory, cohomotopy $K$-groups, and Koszul duality
[NO] 187/1845 | Adaptive Policy Selection and Fine-Tuning under Interaction Budgets for Offline-to-Online Reinforcement Learning
[NO] 188/1845 | Beyond Semantics: An Evidential Reasoning-Aware Multi-View Learning Framework for Trustworthy Mental Health Prediction
[NO] 189/1845 | Physiologically Grounded Driver Behavior Classification: SHAP-Driven Elite Feature Selection and Hybrid Gradient Boosting for Multimodal Physiological Signals
[NO] 190/1845 | On the Hardness of Junking LLMs
[NO] 191/1845 | How Long Does Infinite Width Last? Signal Propagation in Long-Range Linear Recurrences
[NO] 192/1845 | LineRides: Line-Guided Reinforcement Learning for Bicycle Robot Stunts
[NO] 193/1845 | Unified Framework of Distributional Regret in Multi-Armed Bandits and Reinforcement Learning
[NO] 194/1845 | Microscopic evidence for imaginary charge density wave in a kagome metal
[NO] 195/1845 | Hyperfine-structure constants of the $^{45}\!$Sc II ion and the nuclear quadrupole moment
[NO] 196/1845 | Why Geometric Continuity Emerges in Deep Neural Networks: Residual Connections and Rotational Symmetry Breaking
[NO] 197/1845 | Augmented transfer regression learning for completely missing covariates
[NO] 198/1845 | Practical validation of synthetic pre-crash scenarios
[NO] 199/1845 | Beyond Static Best-of-N: Bayesian List-wise Alignment for LLM-based Recommendation
[NO] 200/1845 | Effects of event-by-event hydrodynamic fluctuations on bottomonium dynamics in Pb--Pb collisions at $\sqrt{s_{NN}} = 5.02$ TeV
[NO] 201/1845 | Benchmarking LLMs on the Massive Sound Embedding Benchmark (MSEB)
[NO] 202/1845 | Counter-Dyna: Data-Efficient RL-Based HVAC Control using Counterfactual Building Models
[NO] 203/1845 | InterMesh: Explicit Interaction-Aware End-to-End Multi-Person Human Mesh Recovery
[NO] 204/1845 | The Newsworthiness of Brazilian Distress: A Peak Analysis on Time Series of International Media Attention to Disasters in Brazil
[NO] 205/1845 | A Ceiling Continued Fraction Approach to the Erdős-Straus Conjecture: Heuristic finiteness of counterexamples
[NO] 206/1845 | Hard CNF Instances for Ideal Proof Systems
[NO] 207/1845 | Transversality and Geometric Regularisation in Distributional Statistical Models
[NO] 208/1845 | Accountable Agents in Software Engineering: An Analysis of Terms of Service and a Research Roadmap
[NO] 209/1845 | YOTOnet: Zero-Shot Cross-Domain Fault Diagnosis via Domain-Conditioned Mixture of Experts
[NO] 210/1845 | DAO-enabled decentralized physical AI: A new paradigm for human-machine collaboration
[NO] 211/1845 | Unveiling the Atomistic Mechanisms of Shear-Induced LDA$\leftrightarrow$HDA Transformations and Shear Banding in Amorphous Silicon under High Pressures
[NO] 212/1845 | From Priors to Perception: Grounding Video-LLMs in Physical Reality
[NO] 213/1845 | Zeros of characters and orders of elements in finite groups
[NO] 214/1845 | Approximate Dynamic Programming for Real-time Assignment of Extraboard Transit Operators
[NO] 215/1845 | CoherentRaster: Efficient 3D Gaussian Splatting for Light Field Displays
[NO] 216/1845 | Loop Extrusion Reversal by Condensin Motor is Mediated by Catch Bonds
[NO] 217/1845 | Tightly-Coupled Estimation and Guidance for Robust Low-Thrust Rendezvous via Adaptive Homotopy
[NO] 218/1845 | Information Coordination as a Bridge: A Neuro-Symbolic Architecture for Reliable Autonomous Driving Scene Understanding
[NO] 219/1845 | Geometry-Aware Neural Optimizer for Shape Optimization and Inversion
[NO] 220/1845 | Programming sequential deployment of origami via kinematic transition fronts
[NO] 221/1845 | Order Flow Exclusivity and Value Extraction Mechanisms: An Analysis of Ethereum Builder Centralization
[NO] 222/1845 | Distributed TD Tracking with Linear Function Approximation over Directed Communication Networks
[NO] 223/1845 | One Pool, Two Caches: Adaptive HBM Partitioning for Accelerating Generative Recommender Serving
[NO] 224/1845 | GEM: Graph-Enhanced Mixture-of-Experts with ReAct Agents for Dialogue State Tracking
[NO] 225/1845 | HIMCE: High-dimensional multiple imputation via covariance-mode updating for neuroimaging and spatiotemporal blocks
[NO] 226/1845 | A CNN--Transformer Denoiser for low-$S/N$ Galaxy Spectra: Stellar Population Recovery in Synthetic Tests
[NO] 227/1845 | Fixed-point lifting and ghost periodic points for Chebyshev polynomials modulo odd prime powers
[NO] 228/1845 | Structured 3D Latents Are Surprisingly Powerful: Unleashing Generalizable Style with 2D Diffusion
[NO] 229/1845 | Thin subbases of Piatetski-Shapiro sequences
[NO] 230/1845 | Autonomous Laparoscope Control through Unified Mechanics-Based Representation of Multimodal Intraoperative Information
[NO] 231/1845 | Assessing Generalisation Capability of Machine Learning Models for Intrusion Detection
[NO] 232/1845 | Contextual Memory-Enhanced Source Coding for Low-SNR Communications
[NO] 233/1845 | Kitaev chain in synthetic dimension with cavity-controlled Majorana modes
[NO] 234/1845 | More on the Erd\H os--Kleitman problem on matchings in set families
[NO] 235/1845 | A Zero-Inflated Beta Mixture Model for Marginal Mediation Analysis with Compositional Microbiome Mediators
[NO] 236/1845 | Reddit's Globalization over Twenty Years: Inferring Community Time Zone from Activity Timestamps
[NO] 237/1845 | Mitigating Label Shift in Tabular In-Context Learning via Test-Time Posterior Adjustment
[NO] 238/1845 | Dynamic Collateral Control for Permissionless Spot Perpetual Basis Trading
[NO] 239/1845 | Gated Multimodal Learning for Interpretable Property Energy Performance Prediction and Retrofit Scenario Analysis
[NO] 240/1845 | The top cohomology of principal congruence subgroups of special linear groups over Euclidean number rings
[NO] 241/1845 | Order Matters: Improving Domain Adaptation by Reordering Data
[NO] 242/1845 | On the minimal generating weighted IFS of self-similar measure
[NO] 243/1845 | FlowDIS: Language-Guided Dichotomous Image Segmentation with Flow Matching
[NO] 244/1845 | Look Once, Beam Twice: Camera-Primed Real-Time Double-Directional mmWave Beam Management for Vehicular Connectivity
[NO] 245/1845 | The NUV transit of XO-3 b
[NO] 246/1845 | Interaction-controlled localization in one-dimensional chain: From edges to domain walls
[NO] 247/1845 | Reduced-order Neural Modeling with Differentiable Simulation for High-Detail Tactile Perception
[NO] 248/1845 | Interpretable Neural Networks to Predict Momentum Fluxes of Orographic Gravity Waves
[NO] 249/1845 | Kinematic Discriminants of Deceleration Behavior Modes in Car-Following: Evidence from NGSIM Trajectory Data
[NO] 250/1845 | On spectral Turán theorems: confirming a conjecture of Guiduli and two problems of Nikiforov
[NO] 251/1845 | Local Homophily on Bicolored Graphs is $\mathbf{P}$-complete
[NO] 252/1845 | Sampling Simultaneous Edge-Colorings
[NO] 253/1845 | Can a hybrid star with constant sound speed parametrization explain the new NICER mass-radius measurements ?
[NO] 254/1845 | An Optimal Regularity Theory for Immersed Stable Minimal Hypersurfaces with Small Singular Set
[NO] 255/1845 | Multiplicative $f$-ic forms on algebraic varieties arising from Thaine's generalized Jacobi sums
[NO] 256/1845 | The Predictive-Causal Gap: An Impossibility Theorem and Large-Scale Neural Evidence
[NO] 257/1845 | Prompt-Anchored Vision-Text Distillation for Lifelong Person Re-identification
[NO] 258/1845 | Existence of rotationally symmetric embedded f-minimal tori
[NO] 259/1845 | Matchings in permutations
[NO] 260/1845 | Attention-Based Chaotic Self-Supervision for Medical Image Classification
[NO] 261/1845 | Self-Induced Outcome Potential: Turn-Level Credit Assignment for Agents without Verifiers
[NO] 262/1845 | Temperature dependence of the Gibbs energies of formation of point defects in B2 MoTa from ab initio calculations
[NO] 263/1845 | Tests for white noise via asymptotically independent U-statistics in high-dimensions
[NO] 264/1845 | Spiral metasurface enables tunable directional edge enhancement
[NO] 265/1845 | Fast Full-Wave Simulation of Indoor RSS Maps for Pre-Measurement Validation in Device-Free Localization
[NO] 266/1845 | A low-valence ribbon graph complex computing the cohomology of $M_{g,m}$
[NO] 267/1845 | AllSERP: Exhaustive Per-Element Enrichment of the Versatile AdSERP Dataset
[NO] 268/1845 | Quantum Realizability of Probabilistic Theories Stable under Teleportation
[NO] 269/1845 | Low Beta, Normal Conducting Cavities
[NO] 270/1845 | Curated AI beats frontier LLMs at pharma asset discovery
[NO] 271/1845 | Delta-Based Neural Architecture Search: LLM Fine-Tuning via Code Diffs
[NO] 272/1845 | SynConfRoute: Syntax-Aware Routing for Efficient Code Completion with Small CodeLLMs
[YES] 273/1845 | Real-time Surface-Code Error Correction Using an FPGA-based Neural-Network Decoder
[NO] 274/1845 | BenCSSmark: Making the Social Sciences Count in LLM Research
[NO] 275/1845 | From Classical to Quantum-Mechanical Data Assimilation: A Comparison between DATO and QMDA
[NO] 276/1845 | Measuring Psychological States Through Semantic Projection: A Theory-Driven Approach to Language-Based Assessment
[NO] 277/1845 | A Two-Step Chemical Vapor Deposition Process for the Synthesis of an Ir(111)/Borophene/2D-Hexagonal Boron Nitride Heterostructure by Intrinsic Segregation
[NO] 278/1845 | First server effect on the expected number of games in tennis
[NO] 279/1845 | Nuclear level densities in the relativistic Hartree-Bogoliubov plus combinatorial framework
[NO] 280/1845 | Residual stratification and the Cantor-Bendixson structures of dual algebraic coframes
[NO] 281/1845 | Agentic Repository Mining: A Multi-Task Evaluation
[NO] 282/1845 | Existence of detonation wave solutions to the piston problem for the Zeldovich-von Neumann-D{ö}ring combustion model
[NO] 283/1845 | Toward an Understanding of Developer Behaviour while Using Bug Localization Tools
[NO] 284/1845 | Primordial black holes from inflation: on the decoupling between large and small scales
[NO] 285/1845 | A Biased Nonnegative Block Term Tensor Decomposition Model for Dynamic QoS Prediction
[NO] 286/1845 | Optimal Uncertainty-Aware Calibration for the AX=YB Problem
[NO] 287/1845 | Revisiting the logical independence
[NO] 288/1845 | Statistics of the Genus Number of $S_3 \times C_2$ and $D_4$-fields
[NO] 289/1845 | Minimal generating sets of transfer systems for more non-Abelian Groups
[NO] 290/1845 | Bridging Perception and Action: A Lightweight Multimodal Meta-Planner Framework for Robust Earth Observation Agents
[NO] 291/1845 | It's complicated: A Non-parametric Test of Preference Stability between Singles and Couples
[NO] 292/1845 | Normalized solutions to a class of Kirchhoff type equations with a logarithmic perturbation
[NO] 293/1845 | TCRTransBench: A Comprehensive Benchmark for Bidirectional TCR-Peptide Sequence Generation
[NO] 294/1845 | On the semisimplicity and Schur elements of (super)symmetric superalgebras
[NO] 295/1845 | Continuous Bogoliubov formalism for gravitational-wave generation in a unified dark sector warm inflation
[NO] 296/1845 | Hamilton decompositions of all directed tori at odd modulus
[NO] 297/1845 | Exact Dual Geometry of SOC-ICNN Value Functions
[NO] 298/1845 | SEI-SHIELD: Robust Specific Emitter Identification Under Label Noise Via Self-Supervised Filtering and Iterative Rescue
[NO] 299/1845 | On Waring rank jumps via critical rank-one approximations
[NO] 300/1845 | Superconductivity in moiré transition metal dichalcogenide bilayers: comparison of two distinct theoretical approaches
[NO] 301/1845 | CodeEvolve: LLM-Driven Evolutionary Optimization with Runtime-Enriched Target Selection for Multi-Language Code Enhancement
[NO] 302/1845 | Physical Adversarial Clothing Evades Visible-Thermal Detectors via Non-Overlapping RGB-T Pattern
[NO] 303/1845 | AI-Aided Advancements in Autonomous Underwater Vehicle Navigation
[NO] 304/1845 | Gravitational Waves from Higgs Preheating after Inflaton $Z_2$-Symmetry Breaking
[NO] 305/1845 | Effective long-range attraction of moiré excitons under the influence of atomic reconstructions and anisotropic screening
[NO] 306/1845 | Traveling-wave behavior for Fisher-KPP equations in the hyperbolic space
