[2026-08-08 09:38:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-07
正在获取论文...
[IEEE] 2026-8-7 | Improved IQC covers for sample-and-hold
[NO] 19/1000 | An AI-Driven Campus Attendance System Using Lightweight Face Recognition Models
[NO] 20/1000 | Real Time Approximation of Tsunami Source
[NO] 21/1000 | Distributed Control and Coordination of Multi-Robot Trajectories Modeled by Timed Petri Nets
[NO] 22/1000 | Dynamics of Multi-Domain Robots at the Air-Water Interface
[NO] 23/1000 | Ecological Design of Huishan Clay Figure Packaging Based on Image Narration
[NO] 24/1000 | Implementation of an OSINT-Based Dark Web Monitoring Tool for Stolen Personally Identifiable Information (PII)
[NO] 25/1000 | Contact Material Recognition Device Based on Electronegativity Difference
[NO] 26/1000 | Behaviour-Driven Temporal Intrusion Detection Using Hybrid CNN-BiLSTM-Attention Networks for IoT Traffic
[NO] 27/1000 | A Research on the Current Application Status of Generative AI Tools Among Deaf and Hard-of-Hearing(DHH) College Students
[NO] 28/1000 | Optimizing AHP for Autonomous Vehicle Risk Evaluation in Mixed Traffic
[NO] 29/1000 | Assessment of Seismic Behaviour of RCC Buildings with and without Infill Walls
[NO] 30/1000 | Performance Analysis of AI-Based Adaptive Beamforming Techniques in 5G Wireless Communication Systems
[NO] 31/1000 | Performance Analysis of an Optimally Controlled Wave Energy Converter with an Active Mechanical Motion Rectifier
[NO] 32/1000 | Research on Dynamic Early Warning Model of Neurological Disease Nursing Risk Based on Deep Reinforcement Learning
[NO] 33/1000 | Monotonic Output Regulation of Discrete-Time MIMO Systems with Repeated Unit Zeros and Input Delays
[NO] 34/1000 | HIVE: Hierarchical Generation of Integrated and Varied Ensembles for Efficient Out-of-Distribution Generalization
[NO] 35/1000 | Ranking Anomalous Subsequences in Large Scale Streaming Data for Efficient Triage
[NO] 36/1000 | Synthetic Interaction Data for Scalable Personalization in Large Language Models
[NO] 37/1000 | DyGADBench: A Comprehensive Benchmark for Anomaly Detection in Dynamic Graphs
[NO] 38/1000 | CMF-ELN: A Cross-Modal-Fused End-to-end Learning Network for Cold-Start Drug-Drug Interaction Prediction
[NO] 39/1000 | FLEDA: Forecasting-Based Data Partition Placement for Efficient Deep Learning Recommendation Model Training
[NO] 40/1000 | TTMC: Brain-Inspired Test-Time Memory Calibration with Orthogonal Projection for Online Continual Learning
[NO] 41/1000 | The 7th International Workshop on Talent and Management Computing (TMC 2026)
[NO] 42/1000 | G-STAR: Graph-based Scheduling with Trace-driven Adaptive Routing for Industrial LLM-based Multi-Agent Systems
[NO] 43/1000 | MDL: A Unified Multi-Distribution Learner in Large-scale Industrial Recommendation through Tokenization
[NO] 44/1000 | C
                    <sup>2</sup>
                    KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference
[NO] 45/1000 | The Entropic Overhead of Conformal Correction
[NO] 46/1000 | GaussTrap: Stealthy Backdoor Attacks on 3D Gaussian Splatting for Targeted Scene Misperception
[NO] 47/1000 | Bounded-Abstention Pairwise Learning to Rank
[NO] 48/1000 | TMallGS: Scaling Unified Feature and Sequence Modeling for Generative E-commerce Search
[NO] 49/1000 | Using Genetic Algorithms to Optimize the Construction Strategy of Customer Relationship Management Platforms for Industrial and Commercial Enterprises
[NO] 50/1000 | Three-Dimensional Reconstruction and Geometric Parameterization Modeling Method of Architectural Structure of Dunhuang Murals
[NO] 51/1000 | Shift Scheduling for Electric Service Vehicles: A Public Transportation Case Study
[NO] 52/1000 | Research and Application of Intelligent Heating Control Platform Based on Digital Technologies
[NO] 53/1000 | AIGC Reshaping: A New Era in Interior Design Workflow
[NO] 54/1000 | A Full-Stack API Performance Monitoring Middleware: Design and Implementation Using the MERN Stack
[NO] 55/1000 | Lightweight Stress Detection Framework Using Wearable Bio-Signals and Machine Learning
[NO] 56/1000 | Based on Bibliometric Method Research on Visualisation Analysis and Development Trend of Cultural Tourism
[NO] 57/1000 | A Study on College Students' Repurchase Intention of Urban Cultural and Creative Products from the Perspective of Cultural Identity
[NO] 58/1000 | Real-World Water-Scene Image Dehazing Based on Vision-Language Model and Density Difference Information
[NO] 59/1000 | Safe Navigation in Narrow Channels Using Smooth Minkowski Barrier Function
[NO] 60/1000 | A Combined Image Matching Method for Multi-Beam Sonar Image
[NO] 61/1000 | MQTT-Enabled IoT Framework for Real-Time Environmental Monitoring and Employee Safety in Industries
[NO] 62/1000 | Research on AR Interaction Design of Jade Culture
[NO] 63/1000 | Adaptive Auto-Scaling Using CNN-Based Workload Classification for Reliable Cloud Resource Provisioning
[NO] 64/1000 | CGFE-UNet: Cross-Group-Feature-Enhanced U-Net for Medical Image Segmentation
[NO] 65/1000 | Personalized Depression Analysis Using EBFRFS-Net from Facial Emotion Variations
[NO] 66/1000 | Quantifying Similarity Between Nonlinear Systems From Data Using Matrix Profiles
[NO] 67/1000 | Digital Intervention for the Living Inheritance of Jun Porcelain Culture
[NO] 68/1000 | Research on Intrusion Detection and Anomaly Recognition Algorithm Based on Multi-Source Sensor Data Fusion
[NO] 69/1000 | On the fixed-time control of systems with mismatched perturbations: An application to Quadrotor Unmanned Aerial Vehicles
[NO] 70/1000 | The Application of Artistic Style Interpretation and Cultural Communication Enhancement in the Transportation Landscape Design of Historical and Cultural Cities
[NO] 71/1000 | An Edge-Guided Mixture-of-Experts Network for Arbitrary-Scale Multi-Contrast MRI Super-Resolution
[NO] 72/1000 | Uncertainty-guided Whitening for Unsupervised Generalizable Person Re-identification
[NO] 73/1000 | Enhancing Straight-Line Stability of a Dual Flapping, Caudal Fin-Propelled Biomimetic AUV by Design Modifications
[YES] 74/1000 | Input-Complete Finite State Machines with Explicit Failure States: A Verification-Oriented Approach for ROPS Control Systems
                    <sup>*</sup>
[NO] 75/1000 | Practical Exploration of the Youthful Inheritance of Dalian Intangible Cultural Heritage Driven by Digital Intelligence
[YES] 76/1000 | A Hybrid Machine Learning Approach for Scalable VLSI Testing
[NO] 77/1000 | Strategic Deployment and Optimization of Cloud-RAN Architectures for Future Wireless Networks
[NO] 78/1000 | A Study of the Role of Immersive Intelligent Virtual Environments and Digital Avatars in Enhancing Students' Sense of Belonging
[NO] 79/1000 | Traffic Density Estimation from Real-Time Video Streams using Convolutional Neural Networks
[NO] 80/1000 | Parameter Identification of a Macroscopic Crowd Model Governed by a Hyperbolic PDE Using Physics-Informed Neural Networks
[NO] 81/1000 | Personalized Reverse Iontophoresis-based Non-Invasive Continuous Glucose Monitoring via Multi-Parameters Coupled Machine Learning
[NO] 82/1000 | Research on Human-Centered Cultural Tourism Project Design Based on Sustainable Operation
[NO] 83/1000 | Research on the Design Path of Urban Rewilding Renewal Under the TSD Model: A Case Study of Huaxi Park Area in Guiyang City
[NO] 84/1000 | Towards An Agile Business Intelligence Dashboard for Bandwidth and Subscription Transparency in the Starlink Reseller Ecosystem
[NO] 85/1000 | Thiolated TiO
                    <sub>2</sub>
                    Thin Films Based Flexible Patch for Real-time Detection of L-cysteine in Sweat
[NO] 86/1000 | Research on High-Precision Intelligent Inversion Model of Geotechnical Parameters Driven by Digital Twin
[NO] 87/1000 | Intelligent Audit Systems: A Systematic Review of Fundamental Scientific Challenges
[NO] 88/1000 | Research on the Relationship Between the Attributes of Museum Cultural and Creative Products and the Consumer Demand of Generation Z Based on Kano Model
[NO] 89/1000 | A KernelCentric AI Architecture for Emergency Triage: From Healthcare Knowledge Management to Simulated Dispatch Scenarios*
[NO] 90/1000 | AI-Enabled Controllable Creation of Chinese Traditional Dyeing Art Using Stable Diffusion Model
[NO] 91/1000 | MILP and CP Approaches for Human-Robot Collaborative Flow-Shop Scheduling
[NO] 92/1000 | Microstructural Evolution of Cr/Au Films on Fused Silica after Vacuum Annealing
[NO] 93/1000 | Metaheuristics-based LPV Controller Synthesis with Uncertainty Volume Maximization
[NO] 94/1000 | 3D Object Detection Method Based on BEV Feature Fusion
[NO] 95/1000 | Spatiotemporal Characteristics of Waves and Wave Energy Resources in the South China Sea
[NO] 96/1000 | The Interdisciplinary Nature of Stochastic Systems: Challenges and Opportunities in STEM Education
[NO] 97/1000 | Research on the Design of Mobility Aid Products for the Elderly Based on Emotional Permanence Theory
[NO] 98/1000 | On the Incremental Stability of PIDE-based Stochastic Gene Regulatory Networks under Switching Inducer Profiles
[NO] 99/1000 | Simulation-Generated Data for Fault Detection and Diagnosis in Mobile Robots
[NO] 100/1000 | Research on the Design of Digital Platform for Tang Poetry Education in Primary and Middle Schools Under Flow Experience
[NO] 101/1000 | Multidimensional Data Analysis and Effect Evaluation Model Construction of Practical Education Projects in Colleges and Universities
[NO] 102/1000 | Low-Order Continuous-Time Koopman Operator Learning via Physics-Informed Neural Networks
[NO] 103/1000 | Adaptive Dynamic Region Allocation and Full Coverage Path Planning Method for Multi-UUV Area Exploration Missions
[NO] 104/1000 | Hybrid Deep Learning Framework for Content Based Image Retrieval Using CNN and CLIP
[NO] 105/1000 | Simplifying Flow Matching Transformations with Low-Rank Mixture Models
[NO] 106/1000 | Cultural Design of South Liaoning Shadow Puppetry via Consumption Value Theory and Eye-Tracking
[NO] 107/1000 | Simulation of Metasurface Structures for Mid-Infrared Narrowband Filter
[NO] 108/1000 | Machine Learning Soft Sensor for Predicting the Product Quality of a Hydrogen Reduction Furnace
[NO] 109/1000 | Optimizing Oil Palm Detection: A Deep Dive into Algorithm Performance and Software Metrics
[NO] 110/1000 | A Method for Ocean Wave Classification from X-Band Marine Radar Images
[NO] 111/1000 | Logistic Regression Integrated Autoencoder Framework for Intelligent Acoustic Anomaly Detection in Industrial Environments
[NO] 112/1000 | High-Precision Orange Leaf Disease Detection Using Edge-Optimized Lightweight YOLO nano models
[NO] 113/1000 | Multi-Objective Deterministic Ambulance Routing: Exact MILP Benchmarking and Metaheuristic Optimization
[NO] 114/1000 | MixLM: High-Throughput and Effective LLM Ranking via Text-Embedding Mix-Interaction
[NO] 115/1000 | Multi-Hop Diffusion-Wavelet Semantic Learning for Zero-Shot Circrna-Mirna Interaction Prediction
[NO] 116/1000 | DICE: Dynamic In-Context Example Selection in LLM Agents via Efficient Knowledge Transfer
[NO] 117/1000 | Slowing Down Forgetting in Continual Learning: Evidence from Manufacturing
[NO] 118/1000 | {GS-Fuse}: Granger-Supervised Gated Fusion and Multi-Granularity Alignment for Event-Driven Financial Forecasting
[NO] 119/1000 | Online Learning for Wild Streaming Data with Delayed Feedback
[NO] 120/1000 | UniDocVLM: Enhancing Visual Reasoning and Document Understanding for VLM via Reinforcement Learning
[NO] 121/1000 | From Scaling to Structured Expressivity: Rethinking Transformers for CTR Prediction
[NO] 122/1000 | G.R.A.D.E.: A Gemini-Based Resume Assessment and Document Evaluator
[NO] 123/1000 | Multiplex Optical Detection of Bacteria in Water Using a Cell Imprinted Polymer-Based Microfluidic Sensor
[NO] 124/1000 | Message from the General Chairs
[NO] 125/1000 | A Class of Generalized Sufficiently Smooth Projection Operators
[NO] 126/1000 | 2026 IEEE Global Symposium on Emerging and Communication Technologies (GSEACT)
[NO] 127/1000 | Event-Triggered Gossip for Distributed Learning_supp1-3718498.pdf
[NO] 128/1000 | Residual MPC: Blending Reinforcement Learning with GPU-Parallelized Model Predictive Control
[NO] 129/1000 | A Physics-Guided Parametric Discovery Framework for Closed-Form Gain Representation of EDFA
[NO] 130/1000 | Expert Behavior Prior Reinforcement Learning
[NO] 131/1000 | Hierarchical Predictive Sliding Mode Control for Under-Actuated UAV: A FAS Approach
[NO] 132/1000 | Shape-Aware Cell Segmentation with Global Cues_supp1-3721049.pdf
[NO] 133/1000 | Self-Chained Dynamic Context Perception to Tracking by Natural Language Specification
[NO] 134/1000 | A 19.8-Gb/s/Wire Single-Ended PAM-3/NRZ Simultaneous Bidirectional Transceiver With Shared ZQ/Hybrid Calibration for Memory Interfaces
[NO] 135/1000 | High-Throughput LDPC Decoder for nand Flash: Turbo Two-Bit Gradient Descent Bit-Flipping Algorithm and VLSI Architecture
[NO] 136/1000 | Porous 4H-SiC Local Avalanche Ultraviolet Photodetector with High Photo-to-dark Current Ratio and Low Avalanche Threshold Voltage
[NO] 137/1000 | Noise-Aware Model Inversion Eavesdropping Attack in Semantic Communication System for Video Transmission
[NO] 138/1000 | A Non-Contact Capacitive ECG Smart Mattress System Using Sensor Arrays and Adaptive Switching Strategy for Unconstrained In-Bed Sleep
[NO] 139/1000 | A Novel Flash-Based Finite Impulse Response (FFIR) Filter Featuring Processing In-Memory (PIM) for IoT Applications
[NO] 140/1000 | Physics-Informed Feature Generation for Fault Classification in Industrial Drive Systems
[NO] 141/1000 | Secure Inter-Vehicle Communication Using Blockchain-Based Distributed Security Frameworks
[NO] 142/1000 | A Study on Friendly Space Design for Caracal Pavilion Based on the Analytic Hierarchy Process
[NO] 143/1000 | The Role of Cross-Modal Vision-Touch Interaction in Generalized Anxiety Regulation
[NO] 144/1000 | Optimization of Exterior Shading for Classrooms in Non-North-South Oriented Regions: A Performance-Driven Study of Sanmenxia Experimental Primary School
[NO] 145/1000 | Joint Optimization of Temporal Windows and Hidden Neurons for Residual-Based Fault Detection
                    <sup>*</sup>
[NO] 146/1000 | A Study on the Influencing Factors of Prayer Exam Stationery Purchase Intention Based on the Theory of Planned Behavior
[NO] 147/1000 | Stable Adversarial Adaptation for Wearable Sensors
[NO] 148/1000 | Remaining Useful Life Prediction Method using Bayesian Optimization based CNN-LSTM- XGBoost Cascaded Model
[NO] 149/1000 | Heart Attack Risk Prediction Using Retinal Eye Images
[NO] 150/1000 | Outdoor Robustness Validation of a Laser-Acoustic Cross-Medium Communication System
[NO] 151/1000 | Investigation of Sample Volume Effect on Viscosity Sensor Using SAW Devices
[NO] 152/1000 | Net Buoyancy Identification of Underwater Vehicles via Power-Off Ascent Dynamics
[NO] 153/1000 | A Feature-Weighted K-Means and K-Means++ Framework for Clustering of Low-Dimensional Data
[NO] 154/1000 | Detecting Hard Examples for Semantic Segmentation with Auxiliary 3D LiDAR
[NO] 155/1000 | Lyapunov-Based Adaptive Control for Constrained Kinematic Tracking of Robot Manipulators under Parameter Uncertainty
[NO] 156/1000 | Building a Structured Indonesian Legal Corpus for NLP Applications
[NO] 157/1000 | Laser Phase-Shifting Interferometry for Micro-Scale Displacement Measurement of Piezoelectric Actuators
[NO] 158/1000 | A new consensus-based control strategy for intelligent cooperative buildings in microgrid
[NO] 159/1000 | Low-Complexity Probabilistic Amplitude Shaping via Neural Distribution Matching for Underwater Optical Systems
[NO] 160/1000 | The Chemically Sensitive Transistor based on Palladium Nanoparticle-modified h-BN/MoS
                    <sub>2</sub>
                    Heterostructures for H
                    <sub>2</sub>
                    Detection*
[NO] 161/1000 | Application of Particle Swarm Optimization Algorithm in Time Planning of Army Aviation Interception Missions
[NO] 162/1000 | Edge-Optimized AI Framework for Predictive Maintenance in Smart Industrial IoT Systems
[NO] 163/1000 | Pressure-Preserving Transfer Technology for Hadal Macro-Organisms Based on Modular Chamber Docking: Design and Experimental Study
[NO] 164/1000 | Quantum AI Driven Intrusion Detection System for Large-Scale Network Traffic Analysis Using the CICIDS2017 Dataset
[NO] 165/1000 | PAMR: Patch-Aggregated Metric Retrieval for Scalable Fine-Grained Texture and Material Recognition
[NO] 166/1000 | A Channel Impulse Response-Aided Time of Arrival Estimation Method for Under-Ice Current Field Distributed Acoustic Observation
[NO] 167/1000 | Enhancing Seathru-NeRF with External Monocular Depth Constraints for Underwater 3D Reconstruction
[NO] 168/1000 | A new cutting plane algorithm for the min s-t cut problem
[NO] 169/1000 | MLAS: An Integrated Deep Multi-Task Architecture for Data-Driven Farming
[NO] 170/1000 | Equivalent Disturbance Modeling of Riser and Buffer Station Coupling Effects on Dynamic Positioning Deep-Sea Mining Vessels
[NO] 171/1000 | Magnetic Induction-Based Cross-Boundary Communication Between Air and Water
[NO] 172/1000 | FinVision AI: A Multi-Model Machine Learning Framework for Financial Risk Management and Portfolio Optimization
[NO] 173/1000 | A Portable Multi-Sensor Unit and Layered Kalman Filtering for State Estimation on Legged and Wheeled Mobile Robots
[NO] 174/1000 | Enhancing Path Planning and Obstacle Avoidance in Autonomous System Using Deep Learning
[NO] 175/1000 | Research on the Reconstruction and Competitiveness Evaluation of Time-Honored Zisha Utensils Under the New Aigc Workflow
[NO] 176/1000 | Liaoning Folk Paper Cutting Folk Cultural Characteristics and Spatial Translation Design Research
[NO] 177/1000 | Stochastic prediction for heavy-tailed processes using extreme gradient boosting
[NO] 178/1000 | A Multimodal Domain Ontology for the Dominant Zooplankton Species in Shandong Offshore Area, China
[NO] 179/1000 | Correlation Between Medium-to-High Intensity Physical Activity and U6-7 Basic Motor Skills and Physical Fitness
[NO] 180/1000 | Trust-Based Admission and Departure Control for Cooperative Platooning
[NO] 181/1000 | Improved Real-Time Object Detection Using a YOLOv8-Based Ensemble Framework
[NO] 182/1000 | A Self-Powered Wireless Sensing System Based on Array Piezoelectric Energy Harvester
[NO] 183/1000 | Innovative Integration of Intelligent Technology and Narrative Theory in Dunhuang Cultural Creative Products
[NO] 184/1000 | Adaptive Compensation and Adaptive Optimal Control of a Single Link Manipulator
[NO] 185/1000 | Calibrated and Uncertainty-Aware Heart Disease Prediction Using Ensemble Learning
[NO] 186/1000 | Exploration on Basic Courses of Art Design Education Under the Background of Artificial Intelligence
[NO] 187/1000 | A Hybrid Model-Based and Model-Free Framework for Active Multi-View Viewpoint Optimization in Sonar Target Recognition
[NO] 188/1000 | Evaluation of YOLO Algorithms in Car Damage Detection Using CarDD Dataset
[NO] 189/1000 | Visual Target Localization for Single UAV Based on Dynamic Benchmark Optimization and Multi-View Vector Intersection
[NO] 190/1000 | Engineering the Ocean Decade Innovation Pipeline: The IEEE OES Ocean Challenge as a Scalable Mechanism for Ocean Technology Prototyping and Capacity Development
[NO] 191/1000 | Motion-Artifact-Suppressed Pulse Wave Monitoring Based on an Iontronic Pressure Sensor
[NO] 192/1000 | Hierarchical Satellite Attitude Control via Reinforcement Learning-Guided Model Predictive Control
                    <sup>*</sup>
[NO] 193/1000 | Offline Opacity Enforcement and Online Mitigation Mechanism for Actuator-Enablement Attacks in Discrete Event Systems
[NO] 194/1000 | Coastal S-Band Coherent Radar Observations of Ocean Waves During Tropical Cyclones
[NO] 195/1000 | Research on Non-Contact Voltage Sensing System Technology Supporting Load Management of Dedicated Transformer Areas
[NO] 196/1000 | Bayesian Ensemble Regression for Uncertainty Prediction in Data-Sparse Sensor Calibration
[NO] 197/1000 | Dynamic Positioning Control for Surface Vessels via a Composite Observer with State and Disturbance Estimation
[NO] 198/1000 | Enhanced Extended Sliding Innovation Filter for Nonlinear Underwater Bearings-Only Target Tracking
[NO] 199/1000 | Fingertip Campus: A Study on the Design of Accessible Campus Maps for the Consideration of Blind People
[NO] 200/1000 | Sentimental Analysis of Social Media Data Using Contextual Hybrid Embeddings and Deep Learning
[NO] 201/1000 | Research Approaches to Smart Clothing Design From the Perspective of Phenomenology of the Body
[NO] 202/1000 | Study on External Spatial Characteristics of Qingdao Textile Valley Creative Park
[NO] 203/1000 | A Study on the Structural Transformation of Intelligent Advertising Creative Production Under the 5W Communication Model--Taking Midjourney as an Example
[NO] 204/1000 | Exploring the Emotional Attributes of Chinese Fonts and Their Relationship to Morphology and Emotional Perception
[NO] 205/1000 | Sea-Trial Validation of an Underwater Acoustic OFDM-Based Real-Time Remote Seafloor Seismic Monitoring System
[NO] 206/1000 | A hybrid continuous-discrete nonlinear observer for real-time SOC estimation for Supercapacitor
[NO] 207/1000 | Parametric Design on Three Ordered Levels of Product Design
[NO] 208/1000 | A Secure and Scalable Digital Healthcare System Based on Blockchain Telemedicine Architecture
[NO] 209/1000 | Next-Gen Secure Access Using Intelligent Zero Trust Network Architecture
[NO] 210/1000 | Research on Enhancing Adolescent Cultural Heritage Cognition Through Gamified Multimodal Interaction
[NO] 211/1000 | Research on Digital Flow Design of Ancient Book with the Aid of Artificial Intelligence
[NO] 212/1000 | Exploring New Paradigms in Chinese Font Library Design Under the Context of Artificial Intelligence
[NO] 213/1000 | Side-Scan Sonar Image Correction Method Based on Histogram Partitioning Estimation
[NO] 214/1000 | Research on Personalized Learning Path Recommendation in Vocational Education Based on Deep Learning
[NO] 215/1000 | Research on the Construction Path and Practice of the “Golden Curriculum System” for AI-Empowered Intelligent Manufacturing Professional Group Under the Background of “Double High Construction (2025-2029)”
[NO] 216/1000 | Offshore Floating Wind Development in Iberian Coastal Waters: A GIS-Based Tool to Assess Technical, Economic, and Industrial Value Chains
[NO] 217/1000 | Research on Intelligent Design and Dynamic Interaction of Digital Twin Systems for Heritage Sites—A Case Study on the Living Digitization of Yuanmingyuan Cultural Heritage
[NO] 218/1000 | IoT-Based Emergency Vehicle Priority Traffic Control Using Realtime Signal Adjustment
[NO] 219/1000 | OneLive: Dynamically Unified Generative Framework for Live-Streaming Recommendation
[NO] 220/1000 | From Latent to Observable Position-Based Click Models in Carousel Interfaces
[NO] 221/1000 | FOUNDv2: Learning Unified User Quantized Tokenizers for User Representation
[NO] 222/1000 | MEMTS: Internalizing Domain Knowledge via Parameterized Memory for Retrieval-Free Domain Adaptation of Time Series Foundation Models
[NO] 223/1000 | Artificial Social Intelligence
[NO] 224/1000 | Generalizing GNNs with Tokenized Mixture of Experts
[NO] 225/1000 | EHRBench: An Automated and Reliable EHR-based Benchmark for Clinical Decision Making with LLMs
[NO] 226/1000 | Fair Charging under Grid Constraints: A Receding-Horizon Game Approach for Electric Vehicle Charging Parks
[NO] 227/1000 | Predictive Analytics Framework for Long COVID Healthcare Resource Forecasting Using Ensemble Learning
[NO] 228/1000 | An Examination of Sustainable Travel in Remote Urban Communities Through the Lens of Service Design
[NO] 229/1000 | AFS-BERTweet: An Adaptive Feature-Selection Framework for Robust Sentiment Analysis under Sarcasm and Irony in Noisy Social Media Data
[NO] 230/1000 | Research on Optimizing User Experience of Shared Mobility in the Context of Cultural Heritage
[NO] 231/1000 | Intelligent Design Empowers Cultural and Creative Platforms: A New Path for the Digitization of Cultural Heritage
[NO] 232/1000 | A Legendre-Corrected Analytical Model for Modal Coupling in LiNbO
                    <sub>3</sub>
                    XBAR Resonators
[NO] 233/1000 | Automatic Berthing in Constrained Harbors with Reeds-Shepp A-Star Planning and Line-of-Sight Path Following
[NO] 234/1000 | Analyzing the Role of Digital Interaction Design in Hubei Provincial Museums
[NO] 235/1000 | Multimodal Perception and Embodiment: AI-Driven Research in Intermedia Art Management
[NO] 236/1000 | Rehabilitation and Reintegration Pathways for Offenders with Intellectual Disabilities: Bridging Secure and Community Frameworks
[NO] 237/1000 | Tunable Energy Transfer in MEMS Resonators with Electrostatic Coupling under Parametric Excitation
[NO] 238/1000 | Routh Matrix Algorithm: A State-Space Approach
[NO] 239/1000 | Autonomous Acoustic and Optical Guided Recovery Method for Underwater Robots in Polar Ice-Covered Regions
[NO] 240/1000 | Automated Detection and Classification of Epileptic Seizure using Hybrid Feature-Optimized Machine Learning Model
[NO] 241/1000 | Towards Energy-Efficient Underwater Visual Perception via an FPGA Accelerator of Vision Transformers
[NO] 242/1000 | Order Sensitivity of Integrated Electronics Supply Networks in Emergent Customer and Market Conditions
[NO] 243/1000 | Terrain traversability calculation using visual friction estimation and geometric information fusion for sloped terrains
[NO] 244/1000 | A Study on Digital Bio-Color Design Based on Pheasant Feather Coloration
[NO] 245/1000 | Research on the Modular Design of Huai Flower Lamp Based on Fractal Method
[NO] 246/1000 | Research on Industrial Heritage Transformation Based on Spatial Experience Theory-Taking Shenyang Hongmei Cultural and Creative Park as an Example
[NO] 247/1000 | AI Capabilities Driving Sustainable Organizational Performance Through Training Development and Organizational Agility Under Leadership Influence
[NO] 248/1000 | Traditional Culture Inheritance and Innovation Strategy Based on Digital Technology—The China Grand Canal Museum as an Example
[NO] 249/1000 | An Intelligent Computing Framework for Smart Healthcare Applications
[NO] 250/1000 | Direct Acoustic Cross-Medium Communication in Misaligned Scenarios: Channel Modeling and Experimental Validation
[NO] 251/1000 | Narrative of Rural Cultural Tourism Scene Based on AR Technology Digital Display Design Research
[NO] 252/1000 | A Preliminary Discussion on the Digital Protection Path of Jinzhou Folk Painting, a County-Level Intangible Cultural Heritage, Under the Background of New Cultural Productivity
[NO] 253/1000 | Toward Just-In-Time Production Scheduling Using Masked Actor-Critic Reinforcement Learning and Colored Timed Petri Nets
[NO] 254/1000 | A Deep Decomposition Prediction Model Integrating CEEMDAN and VMD
[NO] 255/1000 | Subspace-Based Phase Self-Calibration for Robust DOA Estimation with MEMS Vector Hydrophones
[NO] 256/1000 | Multi-Modal Digital Representation of Architectural Facades of Chaoshan Traditional Ancestral Halls: Proposal and Application of an AI-Based Methodological Framework
[NO] 257/1000 | Autonomous Exploration of Polar Ice Shelves Using an Improved Next-Best-View Planner
[NO] 258/1000 | A Lean-Guided Micro-Credential Framework for Optimizing Decision Support and Process Efficiency in Public Governance
[NO] 259/1000 | Porous sandwich-like structured composite film for electromagnetic interference shielding
[NO] 260/1000 | Enhancing Human-Computer Interaction in General Aviation Self-Service Refueling: A Design Methodology Study
[NO] 261/1000 | USIS-PGM: Photometric Gaussian Mixtures for Underwater Salient Instance Segmentation
[NO] 262/1000 | RWSCSO: An Enhanced Sand Cat Swarm Optimization Using Random Walk and its Application to Multilevel Image Thresholding
[NO] 263/1000 | Non-Destructive Identification of Wheat Seed Varieties Using Hyperspectral Imaging and Swarm Intelligence Optimized SVM
[NO] 264/1000 | SecureInsight: A Privacy-Preserving Offline Document Intelligence Assistant
[NO] 265/1000 | Evaluating Liquid Neural Networks on a Behavioral Cloning Quadrotor Control Problem
[NO] 266/1000 | Comparison of Traditional Machine Learning Models and Large Language Models for Multi-Label Text Classification on X (Twitter)
[NO] 267/1000 | Anchor Box RCNN for Accurate Prediction of Consumer Price Indices in Rural and Agricultural Sectors
[NO] 268/1000 | Safety-Aware A* Based Path Planning for Autonomous Quadrotor Navigation in Dynamic Wildfire Environments
[NO] 269/1000 | TransparentCube: A Dynamic, Explainable, and Actionable Data Model for AI Governance
[NO] 270/1000 | A Real-Time Integrated Hauling Information System for Optimized Cost and Inventory Management in Mining Corporation
[NO] 271/1000 | Research on the High-Quality Development of Prepared Dishes Packaging Enabled by New Productivity
[NO] 272/1000 | High-Precision Gas Content Detection in Microfluidic Chips Based on PMUTs and Machine Learning
[NO] 273/1000 | Efficient Three-Dimensional Acoustic Field Compression and Dimensionality Reduction in Complex Terrain Environments
[NO] 274/1000 | A Self-Determination Theory-Based Gamified Cognitive Bias Modification Training for AI Anxiety
[NO] 275/1000 | A DSG-SE Strategy-Based DDEAs-MiniCNN Model for Thyroid Nodule Classification
[NO] 276/1000 | Event-Triggered Adaptive Cooperative Control for Multiple Underwater Vehicle-Manipulator Systems with Communication Constraints and Disturbances
[NO] 277/1000 | A Virtual Special Exhibition of Chinese Spring Festival Culture Based on Interactive Digital Narratives
[NO] 278/1000 | Automatic Generation and Aesthetic Constraint Optimization Model of Building Facade Patterns
[NO] 279/1000 | Research on the Value Enhancement of Museum Digital Collections and Derivatives by NFT Technology——Take Liaoning Provincial Museum Digital Cultural and Creative Experience Cabin Design as an Example
[NO] 280/1000 | A general approach for the optimization of power distribution architectures of hydraulic Off-Road Vehicles
[NO] 281/1000 | A Wearable sEMG–PMUT Sensor Fusion Approach for Hand Gesture Recognition Based on Machine Learning
[NO] 282/1000 | Research on User Experience Design of Shared Orchard Based on Perceived Value Model and IPA Analysis
[NO] 283/1000 | WarmFlex: Coordinated Stabilization of Cold-Start Frequency and Idle Containers in Serverless Platforms
[NO] 284/1000 | An Effective Solution for Target Tracking Using Passive Directional Buoys
[NO] 285/1000 | Numerical Investigation and Comparison of Flow Noise and Flow-Induced Vibration Noise for a Submarine Model
[NO] 286/1000 | Study on Enhancement of Landscape Vitality of Waterfront Space in the Core Section of Hun River in Shenyang Based on AIGC
