[2026-04-11 09:42:18] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-10
正在获取论文...
[IEEE] 2026-4-10 | Bandwidth-Efficient Robust Threshold ECDSA in Three Rounds_supp1-3682606.pdf
[IEEE] 2026-4-10 | IMAS2026 CFP
[IEEE] 2026-4-10 | Scribble-guided Hierarchical Prompt for SAM-Based Weakly Supervised Salient Object Detection
[IEEE] 2026-4-10 | Low Harmonic MSK/GMSK Backscatter Based on Active Transistor Load
[IEEE] 2026-4-10 | AI Anomaly Detection of 6G Massive Internet of Things From the Perspective of Complex Networks
[IEEE] 2026-4-10 | A Hybrid Distorted Coordinate System and Bilayer TSP Optimization for Toolpath Planning in Wire-Arc Additive Manufacturing
[IEEE] 2026-4-10 | Demagnetization-Induced Harmonic Currents in PMSM Drives: Analysis and Online Neural Network-Based Suppression
[IEEE] 2026-4-10 | Soft Magnetic Material Core Characterizations and Modeling Under Cryogenic and High Temperature
[IEEE] 2026-4-10 | Hardware Trojan Design and Detection in Pre-Charge Half Buffer Asynchronous Circuits
[IEEE] 2026-4-10 | Origami-Inspired 3-DoF Robotic Joint Design with Pneumatic Actuators_supp1-3682523.mp4
[IEEE] 2026-4-10 | A Unidirectional Modular Magnetic-Coupled Converter (MMCC) With Reduced Switch Capacity for None-Regenerative Motor Drive
[IEEE] 2026-4-10 | Simultaneous Magnetic Actuation and Compound Localization of an Ultrasound Capsule Endoscope in Endoluminal Environment
[IEEE] 2026-4-10 | Statistical Beamforming Design for the Downlink MISO-NOMA System
[IEEE] 2026-4-10 | AOZ-InsDet: A Real-Time Insulator Detection Framework Using Adaptive Optical Zoom for UAV Power Transmission Line Inspection
[IEEE] 2026-4-10 | Decentralized LLM Deployment in Mobile Edge Computing Networks_supp1-3682257.pdf
[IEEE] 2026-4-10 | Contrastive Imitation Learning-Based Scheduling Towards Deterministic Coordination of Parallel Flows in TSN-Enabled IIoT
[IEEE] 2026-4-10 | Advanced Parametric Estimation Methods for Permanent Magnet BLDC Motor under Uncertainties: Quantification of EV dynamics
[IEEE] 2026-4-10 | Visual Scene Relationship Modeling Algorithm Based on Graph Attention Network
[IEEE] 2026-4-10 | Optimizing the “Bench Dragon” Movement via the Equidistant Spiral Model
[IEEE] 2026-4-10 | Joint Sensing, Communication, and Computation for Vertical Federated Edge Learning in Edge Perception Networks_supp1-3674960.pdf
[IEEE] 2026-4-10 | An Interactive Multiple-Model Approach for Accurate and Interpretable Trajectory Prediction in Autonomous Docking
[IEEE] 2026-4-10 | IMS2026 Joint RFSA/RFTT Plenary Session and IMS Welcome Reception
[IEEE] 2026-4-10 | A Comparative Study of Small and Large Language Models for Low-Resource Poultry Disease Knowledge Extraction
[IEEE] 2026-4-10 | Robust Deadbeat Load Torque Observer-Based Direct Torque and Flux Control for Enhanced Speed and Torque Dynamics in SPMSM Drives
[IEEE] 2026-4-10 | Exploring Spatial Stratified Heterogeneity Patterns in Spatial Data: Balancing Heterogeneity with Stratification Complexity_supp1-3680542.pdf
[IEEE] 2026-4-10 | HyTC-TaNet: A Hybrid Deep Learning Model Capturing Multi-day Temporal Dependencies for Daily Mean Air Temperature Estimation with Spatial Applicability Analysis
[IEEE] 2026-4-10 | Robust Skew-t Kalman Filter for USBL Tightly-Integrated Positioning System under Measurement Uncertainties
[IEEE] 2026-4-10 | Internet of Drones System for Real-Time Wireless Water Quality Sensing, 2-D Mapping, 3-D Depth Profiling, and Intelligent Sampling_supp1-3680895.pdf
[IEEE] 2026-4-10 | IEEE Moving
[IEEE] 2026-4-10 | Wideband Circularly Polarized Small-size Triple-patch LTCC Antenna Array for Terahertz Applications
[IEEE] 2026-4-10 | Journal of Lightwave Technology Publication Information
[IEEE] 2026-4-10 | PromptGuard: Soft Prompt-Guided Unsafe Content Moderation for Text-to-Image Models_supp1-3678787.pdf
[IEEE] 2026-4-10 | Research on Detection of Tiny Irregular Defects on Industrial Surfaces Under Complex Background Interference
[IEEE] 2026-4-10 | Quantum Truncated Differential Meet-In-The-Middle Attack and Its Applications in Lightweight SPN Ciphers
[ACM] 2026-4-11 | Solid Waste Detection with YOLOv9 Using Preprocessing Techniques and Experimental Evaluation, Improving Generalization to Real-World Data via a Data-Centric Preprocessing Pipeline
[ACM] 2026-4-11 | Implications of Self-Reported Attitudes Towards UML in Bachelor and Master Software Engineering Courses
[ACM] 2026-4-10 | Handling Exceptions and Effects with Automatic Resource Analysis
[IEEE] 2026-4-10 | IoT-Driven Access Control and Usage Tracking for High Voltage Circuit Breakers with i-Button
[IEEE] 2026-4-10 | A Bidding Trading Based Virtual Machine Scheduling Approach in Artificial Intelligence Data Centers
[ACM] 2026-4-10 | Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models
[IEEE] 2026-4-10 | Deep Learning-Driven Time-Varying Fading Channel Estimation for Pinching Antenna Systems
[IEEE] 2026-4-10 | On Safe Sliding Mode Control Design for Nonlinear Uncertain Systems
[ACM] 2026-4-11 | Make it PAWssible: a Client-Specific Dedicated Progressive Web Application for Whelps Animal Shelter
[IEEE] 2026-4-10 | Optimal Selection of Transportation Schemes in Open-Pit Coal Mines Based on Target Cost Decision-Making
[IEEE] 2026-4-10 | Research on Model-based Requirement Acquisition Method for Civil Aircraft Structural Strength Assessment
[IEEE] 2026-4-10 | Research on a Coordinated Control Method of New Energy Grid and Energy Storage Based on Data-Driven Information Gap Decision Theory
[ACM] 2026-4-10 | Fully-Automatic Type Inference for Borrows with Lifetimes
[ACM] 2026-4-10 | Fail Faster: Staging and Fast Randomness for High-Performance PBT
[ACM] 2026-4-10 | SymGPT: Auditing Smart Contracts via Combining Symbolic Execution with Large Language Models
[IEEE] 2026-4-10 | TunnelEye: An Explainable Framework for Real-Time Detection of Malicious DoH Traffic in High-Speed Backbone Networks
[IEEE] 2026-4-10 | LAMC2026 CFP
[IEEE] 2026-4-10 | Building a Sustainable Future Through Technology: Highlights of Two MTT-S Inter-Society Technology Panels at EuMW 2025 [MTT-S Society News]
[IEEE] 2026-4-10 | Robust Bearing Fault Diagnosis via Bio-Inspired Spectral Enhancement and Multi-Modal Contrastive Graph Attention_supp1-3680626.pdf
[IEEE] 2026-4-10 | An Improved Unevenly Distributed Winding Design to Optimize Winding Factor Families for Fractional Slot Concentrated Windings: The Fraternal Twin Machine Concept
[IEEE] 2026-4-10 | Trust Me, I’m AI: A User-Centric Review of Human-Machine Interaction and Teaming with Explainable AI
[IEEE] 2026-4-10 | Does the Optimization of Business Environment Promote the Development of Suburban Railway?——An Empirical Analysis Based on the Two-Way Fixed Effects Model
[IEEE] 2026-4-10 | Blockchain-Based Multi-Level Data Secure Audit with Hierarchical Key Derivation
[ACM] 2026-4-10 | LARTS: Language Abstractions for Real-Time and Secure Systems
[IEEE] 2026-4-10 | An Inverse Capacitance Differential Equation Based Six-Axis Force/Torque Sensor for the High-Accuracy Decoupling of Complex Multi-axis Loads
[IEEE] 2026-4-10 | Stochastic Drift Modeling for NDIR Gas Sensors: Separating Environmental Effects and Instrumental Drift
[IEEE] 2026-4-10 | IEEE Standard for Speech Recognition and Interaction System for Smart Home--Collection Requirements of Corpus and Noise for Laboratory-Level Testing
[IEEE] 2026-4-10 | Beamformer Fusion Using Deep Learning for 3D Ultrasound Imaging with Sparse Arrays
[IEEE] 2026-4-10 | Sharpness-aware Fine-Tuning for OOD Detection_supp1-3679195.pdf
[IEEE] 2026-4-10 | Front Cover
[IEEE] 2026-4-10 | Extended Multiobject Tracking With Nonparametric Bayesian Learning of Object Classes and Model Parameters
[IEEE] 2026-4-10 | Standards and Interoperability Profiles for 6G Wearable Health Monitoring: A Reference Architecture for Intelligent Sports Applications
[IEEE] 2026-4-10 | Accelerated Multiphysics Uncertainty Quantification of RF Components for Heterogeneous Integration Using the Preconditioner-Reuse-Based FEM Solver
[IEEE] 2026-4-10 | Revisiting Patch-Based Anomaly Detection via Anti-Aliasing Segmentation and Distribution-Aware Memory Refinement
[IEEE] 2026-4-10 | IEEE App
[IEEE] 2026-4-10 | IEEE Dataport
[IEEE] 2026-4-10 | IEEE Conversation
[IEEE] 2026-4-10 | Over two thousand years of the oracle problem. Insights from Ancient Delphi for the future of blockchain oracles
[IEEE] 2026-4-10 | A Cross-Hierarchical Difference Feature Fusion Network Based on Multiscale Encoder–Decoder for Coastal Wetlands Hyperspectral Change Detection
[IEEE] 2026-4-10 | Parametric Study on Heat Transfer Enhancement of Microchannels with Curved Fins Mimicking Shark Skin Structure
[ACM] 2026-4-10 | Hybrid Game Control Envelope Synthesis
[ACM] 2026-4-10 | TopoGeoNet: A Heterogeneous Model for End-to-End Congestion Prediction and Optimization in FPGA Placement
[ACM] 2026-4-10 | RAT-CAT-SAT: Model Checking Memory Consistency Models
[ACM] 2026-4-10 | Mechanically Translating Iterative Dataflow Analysis to Algebraic Program Analysis
[IEEE] 2026-4-10 | Mobile Distributed MIMO (MD-MIMO) for NextG: Mobility Meets Cooperation in Distributed Arrays
[IEEE] 2026-4-10 | Improved Physics-Driven Neural Network for Solving Inverse Scattering Problems
[IEEE] 2026-4-10 | JMW 75th Anniversay CFP
[IEEE] 2026-4-10 | IEEE Connects
[IEEE] 2026-4-10 | Unidirectional Saturation in Closed-Loop Self-Oscillating Fluxgate Current Sensors: Analysis, Recovery Method, and Circuit Design
[IEEE] 2026-4-10 | Fine-Grained IoT Device Fingerprinting Using Active Probing
[IEEE] 2026-4-10 | Table of Contents
[IEEE] 2026-4-10 | RWW 2027 Call for Papers WISnet
[IEEE] 2026-4-10 | Z-IDS: Zero-Day Intrusion Detection in IoV using Generative Adversarial Networks
[IEEE] 2026-4-10 | Aligning Gamification with Learner Motivation: Insights from VR-Based Learning Tasks
[IEEE] 2026-4-10 | Fracture healing evaluation of tibia treated with external fixator based on vibrational transmissibility: experimental assessment
[IEEE] 2026-4-10 | Modeling, Characterization, and Compensation of Detection Errors for Differential Frequency Modulation Whole-Angle Hemispherical Resonator Gyroscope
[IEEE] 2026-4-10 | Credible Uncertainty Quantification under Noise and System Model Mismatch
[IEEE] 2026-4-10 | Adaptive Virtual Impedance Control for Series Active Compensator to Improve PV Power Injection in Distribution Networks
[IEEE] 2026-4-10 | A Compact Low-Power Cryo-CMOS Readout With Active Quenching for Superconducting Nanowire Single-Photon Detectors
[IEEE] 2026-4-10 | Accurate Servo Parameter Identification via Dual Super-Twisting Parallel Observation Network With Cogging Torque Compensation
[IEEE] 2026-4-10 | Models and Solutions for Vehicle Routing Problem with Simultaneous Divisible Deliveries and Pickups
[IEEE] 2026-4-10 | Machine Learning in Macroeconomic Forecasting: Applications and Policy Insights for China's Economic Challenges
[IEEE] 2026-4-10 | Evaluating Brain-Inspired SLAM in Real-World Settings
[IEEE] 2026-4-10 | Microwave Heating Optimisation Study Based on a PSO-BP Leader Prediction System
[IEEE] 2026-4-10 | The Influence of Impulse on the De-Icing Effect of Catenary and the Mechanism of Ice Fracture
[ACM] 2026-4-10 | RandSet: Randomized Corpus Reduction for Fuzzing Seed Scheduling
[ACM] 2026-4-10 | Metamorphic Testing for Infrastructure-as-Code Engines
[ACM] 2026-4-10 | Speak Now: Safe Actor Programming with Multiparty Session Types
[ACM] 2026-4-10 | Designing GPU Data Structures for Efficient Memory Oversubscription
[ACM] 2026-4-10 | Decompiling for Constant-Time Analysis
[IEEE] 2026-4-10 | The Microsoft-Northwestern-WITNESS Benchmark for Deepfake Detection
[IEEE] 2026-4-10 | Multicast With Multi-Waveguide PASS via Position and Beam Co-Design
[ACM] 2026-4-11 | LLM-based Formality Ranking of Candidate Translations
[ACM] 2026-4-11 | Simulating Phishing Attacks via Social Media: Assessing Student Vulnerabilities to Hidden Malicious Links Using Zphisher
[IEEE] 2026-4-10 | The Random Forest Methods are Used to Co-Optimize Solar and Wind Power Generation
[IEEE] 2026-4-10 | Tunnel Emergency Evacuation Sign Layout and Luminance Threshold Calculation Under Different Evacuation Types Conditions
[IEEE] 2026-4-10 | A Learnable SIM Paradigm: Fundamentals, Training Techniques, and Applications
[IEEE] 2026-4-10 | AICCE: AI Driven Compliance Checker Engine
[IEEE] 2026-4-10 | Fast-Converging Volterra Equalizer Using Mini-Batch Gradient Descent-based Adam Optimization
[IEEE] 2026-4-10 | State and Contact Force Estimation for Self-Balancing Electric Bicycles_supp1-3682440.mp4
[IEEE] 2026-4-10 | Graph-based Reinforcement Learning for Robot Decision Making in Collaborative Robotics_supp1-3682530.mp4
[IEEE] 2026-4-10 | IMS2026 Project Connect—Making Waves by Connecting Minds
[IEEE] 2026-4-10 | IMS Workshop Program
[IEEE] 2026-4-10 | Journal of Lightwave Technology Information for Authors
[IEEE] 2026-4-10 | Micro and Transport Layer Security Benchmarking of Post-Quantum versus Classical Cryptography
[ACM] 2026-4-10 | PLEX: Normalization for Refinement Types
[IEEE] 2026-4-10 | An Efficient Runtime Verification Toolkit for Self-Adaptive Systems Addressing Runtime System Model Changes
[IEEE] 2026-4-10 | IMS2026 MTT-S Historical Exhibit
[IEEE] 2026-4-10 | RFSA2026: The Inaugural RF Systems and Applications Symposium
[IEEE] 2026-4-10 | A Comprehensive Study of Exploiting GPT Models with Parts-of-Speech Enhanced Adversarial Techniques
[IEEE] 2026-4-10 | MILE: Multi-Expert Ensemble with Instance Selection for Multi-Class Imbalanced Learning_supp1-3682346.pdf
[IEEE] 2026-4-10 | VectorGlide: Realizing Continuum Drive Paradigm via Integrated Contact Kino-Dynamic MPC for Wheeled Quadruped Robots_supp1-3682609.mp4
[IEEE] 2026-4-10 | Symmetric T-Shape Attenuator [enigmas, etc]
[IEEE] 2026-4-10 | French Ham Radio Academic Symposium in Bordeaux, France [Young Professionals]
[IEEE] 2026-4-10 | RFTT2026: The Inaugural RF Technology and Techniques Symposium
[IEEE] 2026-4-10 | Design and Optimization of a Dual Stator U-Type Hybrid Excitation Machine with DC Bias Current
[IEEE] 2026-4-10 | Model-Free Reinforcement Learning for Optimal Control of Switched Systems
[IEEE] 2026-4-10 | Enhancing Surface Insulation Performance of Epoxy Resin by Composite Treatment of APPJ and Coating Film
[IEEE] 2026-4-10 | On the Tail Transition of First Arrival Position Channels: From Cauchy to Exponential Decay
[IEEE] 2026-4-10 | A 32-Channel Neural-Recording Chip Achieving 117dB Intrinsic-CMRR and 100dB PSRR by CM-Tracking-Dynamic-Power-Rail and CM-Canceling-in-Idle-Phase Techniques
[IEEE] 2026-4-10 | Duration-Adaptive Time-Frequency Perception Network for Overlapping Sound Event Detection
[IEEE] 2026-4-10 | EvoSampling: A Granular Ball-Based Evolutionary Hybrid Sampling With Knowledge Transfer for Imbalanced Learning [Research Frontier]_supp1-3657694.pdf
[IEEE] 2026-4-10 | Automated Repair of Alloy Specifications in the Era of Large Language Models
[IEEE] 2026-4-10 | Electromagnetic Compatibility Layout Optimization Simulation of Cable Interconnection System
[IEEE] 2026-4-10 | A Deep Reinforcement Learning Method for Control Optimization in Reservoir Operation
[IEEE] 2026-4-10 | Adaptive Nonsingular Fast Terminal Sliding Mode Control of Permanent Magnet Linear Synchronous Motor
[IEEE] 2026-4-10 | Research on Digital Detection and Analysis System for Electrical Faults Based on Online Status
[IEEE] 2026-4-10 | Research on Ship Heading and Speed Control Based on Self-Coupling PID
[IEEE] 2026-4-10 | Research on Equipment Fault Diagnosis Technology Based on Intelligent Analysis of Vibration Signals
[IEEE] 2026-4-10 | Frequency-Spatial Coupled Inference Network for Underwater Image Super-Resolution
[ACM] 2026-4-11 | Proceedings of the 2025 7th World Symposium on Software Engineering
[IEEE] 2026-4-10 | Design of a Wideband Circularly Polarized Phased Array Antenna Based on Sequential Rotation for LEO Satellites Communication
[ACM] 2026-4-10 | Loops2Roofs: Diffusion-based 3D Roof Generation using a Loop Representation
[ACM] 2026-4-10 | Streaming Hierarchical Clustering Based on Point-Set Kernel
[IEEE] 2026-4-10 | Continuous-Time Distributed Seeking for Variational Generalized Nash Equilibrium of Online Game
[IEEE] 2026-4-10 | RWW 2027 Call for Papers SHaRC
[IEEE] 2026-4-10 | Ombuds Officer [MTT-S Ombuds Officer]
[IEEE] 2026-4-10 | IMS2026 Startup Pavilion: Showcasing Innovation and Revolutionizing RF
[IEEE] 2026-4-10 | Front Cover
[IEEE] 2026-4-10 | Model-based Deep Learning for Joint RIS Phase Shift Compression and WMMSE Beamforming
[IEEE] 2026-4-10 | Front Cover
[IEEE] 2026-4-10 | Front Cover
[IEEE] 2026-4-10 | HESO Based Motor-Level Traction Torque Balancing Strategy for Dual PMSMs in Distributed Rear-Wheel-Drive EV Under Single-Wheel Slip
[IEEE] 2026-4-10 | Descriptor:
                    <i>A Lightweight Movie Genre Classification Dataset (MovieLite)</i>
[IEEE] 2026-4-10 | Temperature Sensing via NV Center Photoluminescence Spectrum Powered by Deep Learning
[IEEE] 2026-4-10 | Human–Machine Fitness While Driving: Evaluating Human Acceptance of Autonomous Driving Styles Through EEG Signal Analysis
[ACM] 2026-4-11 | Bakr: A 3D-Interactive App for Homemade Pastry Baking Step-by-Step Guides and Techniq
[ACM] 2026-4-11 | From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation
[IEEE] 2026-4-10 | Semantic Segmentation and Multimodal Fusion for Defect Detection in Hot-Rolled Steel Strips
[IEEE] 2026-4-10 | Applied Mathematical Modeling for Financial Forecasting: A Machine Learning Approach to Stock Prediction and Optimization
[IEEE] 2026-4-10 | Research on DAT-UPFT-SFT Algorithm for Validation of Declaration Materials in Fixed Domains
[IEEE] 2026-4-10 | Surface Defect Detection Algorithm of Crane Steel Structure Based on Improved YOLOv8
共写入 692 条记录，保存到 papers/paper2026-04-10.json。
论文获取成功，文件路径: papers/paper2026-04-10.json
正在筛选、翻译并发送邮件...
[NO] 1/692 | Bandwidth-Efficient Robust Threshold ECDSA in Three Rounds_supp1-3682606.pdf
[NO] 2/692 | IMS2026 General Co-Chairs’ Welcome
[NO] 3/692 | Identification and Analysis of Thermal-Magnetic Coupling Noise in SERF Comagnetometer
[NO] 4/692 | Game-Theoretic Market Mechanism for Dynamic Wireless Resource Allocation
[NO] 5/692 | Time-Variant Reliability Analysis of Satellite Solar Panel Deployment Mechanism under Multiple Failure Modes Using SILK Model
[NO] 6/692 | The Contribution of Service-Learning to the Holistic Development of Engineering Students in Private Higher Education
[NO] 7/692 | Discrete Prompt Tuning via Recursive Utilization of Black-box Multimodal Large Language Model for Personalized Visual Emotion Recognition
[NO] 8/692 | Spray deposition for Board Level Shielding assessed through MSRC measurements
[NO] 9/692 | MultiHuman: Leverage Multimodal Prompts for Controllable Multi-Person Image Synthesizing
[NO] 10/692 | Harnessing LLMs for Cyber-Resilience A Systematic Survey in Threat Mitigation and Future Trajectories
[NO] 11/692 | IEEE Feedback
[NO] 12/692 | Design, Control, and Evaluation of a Modular Variable Configuration Rehabilitation Robot for Early Physical Therapy_supp1-3669328.mp4
[NO] 13/692 | IT General
[NO] 14/692 | SCGT: Towards Scalable and Comprehensive Graph Transformer
[NO] 15/692 | High-Fidelity and Efficient Torque Estimation for Quasi-Direct Drive Actuators with an Incremental Recurrent Cascade Broad Learning System
[NO] 16/692 | A Novel Electromagnetic Energy Harvester With Electrical Frequency up-Converter
[NO] 17/692 | Dual-Branch CNN with Enhanced Bidirectional Multiscale Sparse Cross-Attention for Remote Sensing Scene Classification
[NO] 18/692 | From Raw Pointers to Memory Safety: A Modular Demand-Driven Typestate Analysis for Rust
[NO] 19/692 | LLM-Powered Silent Bug Fuzzing in Deep Learning Libraries via Versatile and Controlled Bug Transfer
[NO] 20/692 | An Analytical Approach to Punjabi Dialect Identification using Feature Selection and Ensemble Models
[NO] 21/692 | InspectCoder: Dynamic Analysis-Driven Self Repair through Interactive LLM-Debugger Collaboration
[YES] 22/692 | Hunting CUDA Bugs at Scale with cuFuzz
[NO] 23/692 | A Compartment Model for Simulating the Dynamic Transmission of COVID-19 with a Case Study of Western Australia
[NO] 24/692 | WearStreamer: Enabling High-Resolution Health Data Acquisition from Consumer Smartwatches
[NO] 25/692 | From AI Winter to Forever Spring—AI Is Here to Stay
[NO] 26/692 | Simultaneous Localization and Imaging Using Combined Range-Doppler Domain Information for Vehicle-Mounted UWB Radar in Urban Environments
[NO] 27/692 | Evaluation of the Improved 10 mA and 10 V Reference and Transfer Standard for the High DC Current Test and Calibration Infrastructure at CERN
[NO] 28/692 | Lunar Communication and Navigation Systems: A Comprehensive Survey, Research Challenges, and an Architectural Roadmap
[YES] 29/692 | RWW 2027 Call for Papers SiRF
[NO] 30/692 | Spoilt by choice? Understanding the effects of customization and variety increases on service performance: the role of service modularity
[NO] 31/692 | Fast Decision Making in Human–Machine Interaction Through Estimation of Human Reaching Intent
[NO] 32/692 | A Trapezoidal-Current Pulsed Power Converter Based on Modified Pulse-Forming Lines in SHINE Injector
[NO] 33/692 | When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure
[NO] 34/692 | Hermes: Making Path-Sensitive Pointer Analysis Scalable for Sparse Value-Flow Analysis
[NO] 35/692 | Beacon: Detecting Broken Access Control Vulnerabilities in DBMSs via System Catalog Consistency Validation
[NO] 36/692 | Discrete Phase-Compensated Multiple SOGIs with PI and FLL for Signal Extraction under Distorted and DC-Offset Grid
[NO] 37/692 | Learning graphons from data: Random walks, transfer operators, and spectral clustering
[NO] 38/692 | Toward Standardized Edge-Enhanced Collaborative Computing for 6G Healthcare Networks
[NO] 39/692 | SleepingEdge: Real-Time Sleep-Stage–Driven Epileptic Seizure Detection Using HMM and Hybrid OptiNet-SVM
[NO] 40/692 | Bayesian Model Calibration for Deep-Learning-Based Indirect Test of Analog Circuits
[NO] 41/692 | DAFF-Net: Dynamic Attention-Guided Feature Fusion for Single-View 3D Reconstruction
[NO] 42/692 | Rank-Based Optimized Sequential Sampling Approaches for Reliability Prediction Under Hybrid Degradation Process
[NO] 43/692 | Modeling and Design of Electromagnetic Motion Systems
[NO] 44/692 | Fault Diagnosis of Elevator Traction System based on Digital Twin
[NO] 45/692 | Micro-Action Recognition in Lecture Scenarios for Educational Training: A Dual-Case Benchmark Study
[NO] 46/692 | Remaining Vital [MicroBusiness]
[NO] 47/692 | Using Item Personality-Based Profiling in Music Recommender Systems
[NO] 48/692 | SIRA: Scaled-Integer Range Analysis for Optimizing FPGA Dataflow Neural Network Accelerators
[NO] 49/692 | Spectral data fusion based on mRMR algorithm to assess the DP of insulating paper at different water contents
[NO] 50/692 | Open-Source Toolkits for Experiments in Virtual Reality: a Scoping Review
[NO] 51/692 | Effectively Propositional Higher-Order Functional Programming
[NO] 52/692 | CoCaTS: a Cooperative Caching-enabled Transmission Scheme in Ultra-dense LEO Satellite Networks
[NO] 53/692 | Koopman-Based Online Identification With Sim2Real Transfer for Hydrodynamic Modeling of Turtle Inspired Robot_supp1-3682620.mp4
[NO] 54/692 | N-Stage Phase-Interleaved Fourth-Order LCLC Resonant Converter for High-Voltage DC Applications
[NO] 55/692 | Journal of Lightwave Technology Publication Information
[NO] 56/692 | IEEE CS Jobs Board
[NO] 57/692 | Masthead
[NO] 58/692 | Journal of Lightwave Technology Publication Information
[NO] 59/692 | “United in Science” [From the Guest editor's Desk]
[NO] 60/692 | Idling Control of PEMFC Based on Quantitative Model-free Adaptive Iterative Learning Approach
[NO] 61/692 | Real-Time Validation of Stewart Platform U-Joint Kinematics through a Digital Shadow
[YES] 62/692 | RRFuzzer: A Fuzzing Framework for Proprietary Industrial Control System Protocols using a Combination Strategy
[NO] 63/692 | Mathematical Modeling and Simulation of AI-Driven Sports Rehabilitation for Drug Addiction Treatment
[NO] 64/692 | TKCFN: Textual Knowledge Guided Contextual Feature Fusion Network for UHR Satellite Images
[NO] 65/692 | OBsmith: LLM-Powered JavaScript Obfuscator Testing
[NO] 66/692 | CMakeSonar: A Static Approach to Detecting CMake Bugs with a Fine-Grained Type System
[NO] 67/692 | Performance Analysis of Coherent-State Quantum Optical Wireless Communication over Turbulent Channels with Pointing Errors
[NO] 68/692 | Temporal Characterization of Fade Events in mmWave Channels
[NO] 69/692 | GAC-Net: Global-Local Adaptive Context Network for Infrared Small Target Detection
[NO] 70/692 | Dual-Hypergraph Based Symmetrical Self-Representation Learning for Cross-Domain Facial Expression Recognition
[NO] 71/692 | Modeling Astrocyte-Driven Repair of Visuomotor Deficits in Alzheimer's Thalamic Circuitry
[NO] 72/692 | Boosting the Signal From the Lower Recording Structure in Three-Dimensional Magnetic Recording
[NO] 73/692 | Blank Page
[NO] 74/692 | Power transformer health index analysis software with monitoring of operational electrical parameters
[NO] 75/692 | Performance Evaluation of Cell-Free Massive MIMO Systems based on mixed Indoor/Outdoor Measurements
[NO] 76/692 | Fast and Accurate Lithium-ion Battery Impedance Measurement Using Multi-rate Quadrature Demodulation with Band-pass Filtering
[NO] 77/692 | Mechanisms under Shifts: Interpretable Clustering with Self-Improving Heterogeneous Causal Graphs
[NO] 78/692 | Eel-Inspired Electrohydraulic Soft Swimmer with Programmable Undulatory Gaits
[NO] 79/692 | Cloud-Assisted Heterogeneous Privacy-Preserving Collaborative Graph Learning
[NO] 80/692 | Edge Network Sensing of Cable Insulation Aging Using High Frequency Power Flow Analysis of PLC Signals
[NO] 81/692 | Dual-Stage Optimized SSTDR for High Accuracy Online Cable Fault Localization
[NO] 82/692 | Singular Value Fine-tuning for Few-Shot Class-Incremental Learning
[NO] 83/692 | PersonalAI: A Systematic Comparison of Knowledge Graph Storage and Retrieval Approaches for Personalized LLM agents
[NO] 84/692 | IEEE CS Social Media
[NO] 85/692 | SAR Aspect Angle Domain Adaptation Based on Directional Scattering Centers for Non-Cooperative Target Recognition
[NO] 86/692 | The -Score Test: A Model-Free Weighting Framework for Robust Parametric Detection_supp1-3682439.pdf
[NO] 87/692 | Design of Leakage Protection System Based on Industrial Internet of Things
[NO] 88/692 | Analysis of the Effectiveness of K-Nearest Neighbor Algorithm in Predicting the Congestion Level of Delivery Routes
[NO] 89/692 | Combining Graph Neural Networks with Metalearning for Cross-Domain Graph Representation Learning
[NO] 90/692 | Hybrid Variable Selection Algorithm Based on Mutual Information and Random Forest
[NO] 91/692 | Quantifying Synergistic Evolution Between Digital Finance and Industrial Structure Transformation and Upgrading: A Composite System Modeling Approach
[NO] 92/692 | Single-View 3D Reconstruction Via Shifted Window Attention
[NO] 93/692 | Hybrid Approach Using GANS And Multivariate Regression to Analyze the Impact of Acoustic Variables on Piezo Transducer Output
[NO] 94/692 | Secure XP Programming: Integrating OWASP Practices and Lightweight Threat Modelling into Extreme Programming
[NO] 95/692 | Target characterization for maritime surveillance using HF surface wave radar
[NO] 96/692 | IMS2026 Registration Announcement
[NO] 97/692 | Generalized Parametric Design of an Integrated Electric Vehicle Drive System for Wide-Speed-Range Operation: Experimental Validation, Torque Control, and Performance Assessment
[NO] 98/692 | Front Cover
[NO] 99/692 | Physics-Informed Encoder Neural Network for Determination of Fiber Parameters in a Fiber Laser
[NO] 100/692 | Split Federated Learning under Joint System and Data Heterogeneity
[NO] 101/692 | MuscleGolfAR: Embodied versus Detached Visualization for Motions and Inferred Muscle Activations in Augmented Reality_supp1-3680749.mp4
[NO] 102/692 | <i>T</i>
                    -A Formulation for Calculating Induced Currents in Rotating High-Temperature Superconductor Coils
[NO] 103/692 | Standards-Driven Security and AI Governance for 6G Edge Wearable Digital Twins for Mental-Health Monitoring in University Campuses
[NO] 104/692 | Multi-modal Shape Encoding for 3D Object Detection
[NO] 105/692 | Diatom: Polylithic Binary Lifting with Data-Flow Summaries and Type-Aware IR Linking
[NO] 106/692 | EditFlow: Benchmarking and Optimizing Code Edit Recommendation Systems via Reconstruction of Developer Flows
[NO] 107/692 | When Lifetimes Liberate: A Type System for Arenas with Higher-Order Reachability Tracking
[NO] 108/692 | Commuting Conversions and Join Points for Call-by-Push-Value
