[2026-07-14 10:47:47] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-13
正在获取论文...
[arXiv] 2026-07-13 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[NO] 120/1925 | Metacommunity persistence on spatially heterogeneous landscapes
[NO] 121/1925 | The Devil Is in the Leakage: A Disentangled Dual-Purification Framework for High-Fidelity Hairstyle Transfer
[NO] 122/1925 | Automated Textbook Auditing with Multi-Agent LLM Systems
[NO] 123/1925 | Enhancing LLMs through human feedback: a journey towards self-improvement
[NO] 124/1925 | Valid $\ne$ Necessary: Diagnosing Latent Inefficiency in Chain-of-Thought
[NO] 125/1925 | Semantic Sampling via Learnable Observation Front Ends
[NO] 126/1925 | Cosmology from Nx2pt Analyses of SKAO Wide-Area Surveys
[NO] 127/1925 | 4x4 Matrix Representation of Hybrid Numbers, Gram Matrix and Golden Ratio
[NO] 128/1925 | An augmented Lagrangian algorithm for constrained nonlinear least-squares
[NO] 129/1925 | Anisotropic hot carrier relaxation mediated by electron phonon scattering in TiN thin films
[NO] 130/1925 | DeepBias: Adaptive In-depth Probing of Social Biases in LVLMs
[NO] 131/1925 | Heterogeneous Agent Cohorts for Safe Open-Ended Exploration with Runtime Constraint Memory
[NO] 132/1925 | Integral closure for (additively idempotent) semirings
[NO] 133/1925 | Q-BridgeNet: A Quantization Network for Cross-Lingual Sign Language Translation
[NO] 134/1925 | Decoupling Corruption and Horizon in Robust Contextual Pricing
[NO] 135/1925 | ProgramTab: Boosting Table Reasoning of LLMs via Programmatic Paradigm
[NO] 136/1925 | Weak Observability Characterization for Abstract Wave Equations
[NO] 137/1925 | RepTran: Search-Based Repair of Transformer Models
[NO] 138/1925 | Temperature dependence of charge-to-spin conversion in rhombohedral (110) bismuth thin film
[NO] 139/1925 | Electric field induced Berry curvature dipole in quasi-one-dimensional Bi$_4$I$_4$
[NO] 140/1925 | Abnormal motions of optical vortex-antivortex-coupled wavepackets in the parabolic potential
[NO] 141/1925 | Vectorial driving of multistable materials: singularities, pt-graphs, and non-generic paths
[NO] 142/1925 | Cartan calculus in tangent categories
[NO] 143/1925 | Query-Focused Event Summarization: A Dataset and Benchmark
[NO] 144/1925 | Where Speech Enhancement Hurts Recognition: An Inference Time Polar Projection Diagnosis
[NO] 145/1925 | The Hidden Footprint: Making Storage a First-Class Metric for LLM Agent Evaluation
[NO] 146/1925 | SynCLIP: Synonym-Coherent Language-Image Pretraining for Robust Open-Vocabulary Dense Perception
[NO] 147/1925 | Synthesis imaging with a lunar orbit array: III. Augmented lagrangian Multiplier Imaging using Gradient descent Optimization (AMIGO)
[NO] 148/1925 | Affordance-Based Manipulation Planning with Text Goals and Sim-to-Real Generalisation via Real-to-Sim Image Conversion
[NO] 149/1925 | Wearing A Coat: Dual-Arm Robot-Assisted Dressing with Differentiable Clothing Simulation
[NO] 150/1925 | AsySplat: Efficient Asymmetric 3D Gaussian Splatting for Long-Sequence Scene Modeling
[NO] 151/1925 | Confidence Scores in Open-Vocabulary Detection Are a Biased Mixture of Scale and Semantics
[NO] 152/1925 | LoSA-Net: A Localized and Scale-Adaptive Network for Boundary-Sensitive Prediction of Perineural Invasion in 3D MRI
[NO] 153/1925 | Real-Time Rulebook-Aware Nonlinear MPC for Autonomous Driving with Priority-Biased Tiered Slacks
[NO] 154/1925 | Understanding the Theory--Experiment Discrepancy in Pressure Drop of Dilute Polymer Solutions in Channel Flows
[NO] 155/1925 | Enhanced Byzantine-Robust Federated Learning Via Truncated-Quadratic Loss for Heterogeneous Data
[NO] 156/1925 | SVR-R1: Bootstrapping Multi-modal Reasoning with Self-verification in Reinforcement Learning
[NO] 157/1925 | Molecular Dynamics-Derived Coloured Noise Mediates Anderson Localisation and Environment-Assisted Transport of Tryptophan Excitons in Tubulin
[NO] 158/1925 | Spinoptics in the presence of axion-like particles in curved spacetime
[NO] 159/1925 | Evading Cosmological Strong Coupling in Non-minimally Coupled Vector Gravity
[NO] 160/1925 | Implicit Neural Networks as Static Controllers: Certificates and Performance Separation
[NO] 161/1925 | Simple Features and Honest Calibration for Ambivalence and Hesitancy Recognition in Video
[NO] 162/1925 | VIA: Visual Interface Agent for Robot Control
[NO] 163/1925 | MusicMark: A Robust Generative Watermarking Framework for Music Generation
[NO] 164/1925 | $\mathfrak{so}_n(\mathbb{C})$-modules which are free over an abelian nilradical
[NO] 165/1925 | A Tractable Pseudo-Metric on Non-Parametric Exponential Statistical Manifolds via SPD Geometry
[NO] 166/1925 | Adapting Evidential Neural Networks to Test-Time Neighbor Fusion Improves Molecular Property Prediction
[NO] 167/1925 | MJ: Multi-turn LLM Jailbreaking via Decomposed Credit Assignment
[NO] 168/1925 | Tight-Frame Reconstruction for Acoustic Intensity Estimation Using Cardioid Microphone Pairs
[NO] 169/1925 | Oxygen isotope fractionation in the Martian atmosphere induced by CO$_2$ photolysis and O$_3$ formation
[NO] 170/1925 | Retrieval-Oriented Code Representations in Agentic Bug Localization
[NO] 171/1925 | Efficient hot electron generation via low-coherence lasers
[NO] 172/1925 | Disproofs of two conjectures concerning nondeficient numbers
[NO] 173/1925 | SegDiff: Segmented Trajectory Diffusion for Consistent and Adaptive Robot Manipulation
[NO] 174/1925 | QwenPaw-Data: Bridging Facts, Methodology, and Execution for Autonomous Enterprise Data Analytics
[NO] 175/1925 | Holographic MIMO-assisted Multiuser Transmission with Electromagnetic Exposure Constraints
[NO] 176/1925 | The storage capacity of the Ising perceptron: verification of the outstanding numerical conditions
[NO] 177/1925 | Closing the Loop: An Access-Control Architecture for Automated, Anomaly-Driven Network Revocation in IoT Deployments
[NO] 178/1925 | Event-RGB Adaptive Tracking for Nighttime Highway Perception
[NO] 179/1925 | Motion4Motion: Motion Transfer Across Subjects at Inference
[NO] 180/1925 | Graph-Induced Rotational Twisted States in Systems of Identical Oscillators
[NO] 181/1925 | Fixed-point-free elements in two-orbit permutation groups
[NO] 182/1925 | Local-global compatibility of automorphic Galois representations over CM fields at $p$
[NO] 183/1925 | Bet on Features: Anytime-Valid and Feature-Aware Auditing of Conditional Quantile Forecasters
[NO] 184/1925 | Charting the life of Billboard hits through memory, turnover, and predictability
[NO] 185/1925 | Search for GeV gamma-ray emission from PSZ G181.06+48.47 galaxy cluster using Fermi-LAT data
[NO] 186/1925 | Thermal Dilepton Polarization under Rotation or Magnetic Field in Heavy-ion Collisions
[NO] 187/1925 | Two local zero-sum problems
[NO] 188/1925 | Lie-Algebraic Subspace Quantization for Zero-Shot Quantum Learning and Barren-Plateau Mitigation
[NO] 189/1925 | Comparison-Based Ordinal Learning for Proactive Driving Risk Assessment
[NO] 190/1925 | Do LLMs Fabricate Legal Citations? A Bilingual Benchmark on Saudi Data Protection Law and the GDPR
[NO] 191/1925 | BeatEdit: Symbolic Music Generation as Explicit Editing
[NO] 192/1925 | Proving Optimality for the Bandwidth Multicoloring Problem via SAT
[NO] 193/1925 | GHOST: Geometry-Guided Hallucination of Opaque Surface Textures
[NO] 194/1925 | Higher-Order Congruence for Reciprocal Power Sums and Generalized Lehmer-Type Products
[NO] 195/1925 | Tiling decomposition multiplicity predicts stability of GaN(0001) surface reconstructions
[NO] 196/1925 | Development and validation of a local neoclassical transport module in NLT with applications to EAST-relevant impurity transport and trapped-electron-mode stability
[NO] 197/1925 | Difference-Driven Gating: Adaptive Feature Fusion for U-Net Decoder
[NO] 198/1925 | Existence of a far-flung Gorenstein numerical semigroup attaining the Herzog--Kumashiro--Stamate bound
[NO] 199/1925 | Rethinking MCP Security: A Large-Scale Study of Runtime MCP Servers and Security Scanner Reliability
[NO] 200/1925 | Controlling Motion Transfer in Diffusion Transformers via Attention Heads
[NO] 201/1925 | Effect of annealing temperature on the structure and properties of co-sputtered Fe-Mn-Sn films near 2:1:1 ratio
[NO] 202/1925 | Link Adaptation Using Joint-Thompson Sampling
[NO] 203/1925 | ResearchQA: Benchmarking Citation-Grounded Question-Answering on Scientific Papers
[NO] 204/1925 | Neural Network-Based Impedance Identification and Stability Analysis for Double-Sided Feeding Railway Systems
[NO] 205/1925 | Sharp Ternary Martingale Isoperimetry and $n$-adic Takagi-Type Lower Bounds
[NO] 206/1925 | Blow-up phenomena for the $σ_2$-Yamabe equation
[NO] 207/1925 | Generalized Keldysh formalism for nonequilibrium correlation functions and its application to fluctuation dynamics
[NO] 208/1925 | Continuous Query for Top-$K$ Maximal Sum Intervals over Streaming Data
[NO] 209/1925 | RTFVE: Realtime Face Video Enhancement
[NO] 210/1925 | LLM-Generated Design Problems for Assessing Higher-Order Thinking in Project-Based Learning
[NO] 211/1925 | Dimensionality in Satisfaction Ratings
[NO] 212/1925 | Regret-weighted Bayes Fusion for Distributed Experimental Design
[NO] 213/1925 | When the Reward Suite Is Leaky: A Preregistered Causal Contrast of Natural Verifier False Positives in RLVR
[NO] 214/1925 | Exploring the origin of D$^0$ meson elliptic flow in PbPb collisions at $\sqrt{s_\mathrm{NN}}$ = 5.02 TeV using event shape engineering
[NO] 215/1925 | Overcoming Fourier Locking in Quantum Data Re-uploading Classifiers via Spectral Homotopy
[NO] 216/1925 | EasyOPD: An Easy-to-use On-Policy Distillation Framework for Large Language Models
[NO] 217/1925 | Layer-Resolved Topological Metals in the Bilayer Lieb Lattice
[NO] 218/1925 | Actor-Critic Learning for Extended Mean Field Control with Deterministic Policies
[NO] 219/1925 | Analytical mobility edge in nonreciprocal quasiperiodic lattices with next-nearest-neighbor hopping
[NO] 220/1925 | MMA-Former: Multi-Window Mixture-of-Head Attention Transformer for Adaptive PNI Prediction in 3D MRI
[NO] 221/1925 | Revisiting wormhole-induced global symmetry breaking
[NO] 222/1925 | Constraints on Annihilating Dark Matter from Gamma-Ray Background-Galaxy Shape Correlations: Model-independent Null Results and Moderate Template-based Signals
[NO] 223/1925 | Structure-preserving variational neural fields: Uncertainty-quantified reduced-order modeling of nonlinear conservation laws
[NO] 224/1925 | A transient depth-averaged lava flow model with a Herschel-Bulkley rheology accounting for three phases
[NO] 225/1925 | Sufficient conditions for $(K_2 \cup kK_1)$-free graphs to be Hamilton-connected
[NO] 226/1925 | Weak essentially undecidable theories of hereditarily finite multisets
[NO] 227/1925 | Kaluzhnin-Krasner embedding theorem for monoids
[NO] 228/1925 | Efficient Tuning Before Low-Bit Post-Training Quantization for Stochastic Gradient Descent-optimized Models
[NO] 229/1925 | RefineEvo: Planning-Guided Heuristic Evolution with Bidirectional Experience
[NO] 230/1925 | Iron-Based Superconductors: A Decade of Materials, Magnetism, and Mechanisms
[NO] 231/1925 | Characterising AI Models for Cataloguing
[NO] 232/1925 | Compile, Then Page: Executable SOP Programs and a Capability-Gated Runtime for Procedural LLM Agents
[NO] 233/1925 | Finding Nearly-Periodic Components in Digraphs and Markov Chains from the Spectrum of Rotated Laplacian Matrices
[NO] 234/1925 | Calibrated e-CUSUM Decoding for Quantized Reasoning Models: Why Token Log-Probability Is the Wrong Observable for Decoding Monitors
[NO] 235/1925 | Controlling the Inhomogeneous Broadening and Impedance Matching of a Spin Ensemble
[NO] 236/1925 | Programming Language Policy as an AI Literacy Equity Problem: A 15-Nation Comparative Analysis
[NO] 237/1925 | SLVMBench: Skill Learning from Video Memory
[NO] 238/1925 | Information geometric quantification of effective privacy in quantum metrology
[NO] 239/1925 | Twist tunable resonances in photonic bilayer for second harmonic generation
[NO] 240/1925 | A Numerical Criterion for the 2-Hessian Equation on Compact Kähler Manifolds
[NO] 241/1925 | From Tool Invocation to Source-Mechanism Exploration: Protected White-Box DSE for Open-Source EDA
[NO] 242/1925 | Multi-Catheter Digitization in Brachytherapy via Few-Shot Synthetic-to-Real Learning and Structure-Aware Tracking
[NO] 243/1925 | Mako: A Self-Evolving Agentic Operating System (SE-AOS) for Autonomous Web Exploitation
[NO] 244/1925 | SalientGS: Unified SfM-to-3DGS with Importance-Guided MCMC Gaussian Allocation
[NO] 245/1925 | The limit law of the maximum of discrete partial-sums distribution II
[NO] 246/1925 | Fixed-Protocol Amortized MPS Tomography with Conformalized Predictive Uncertainty
[NO] 247/1925 | Can looser ties sustain marriage? A dynamic matching model of specialisation and divorce
[NO] 248/1925 | Geometry-Optimized Complex-Domain error-diffusion encoding for Fourier Single-Pixel Imaging
[NO] 249/1925 | p-adic Properties of Translated Division Polynomials and Somos Sequences
[NO] 250/1925 | A Nearable Soft Mat Based on Distributed Optical Fiber Sensing for Physiological Monitoring
[NO] 251/1925 | Hidden or Formal Architects: Understanding Who Makes Architectural Decisions in Practice
[NO] 252/1925 | Tingley's Problem for Schatten \(p\)-Classes, $0<p\ne 2<\infty$
[NO] 253/1925 | From PBS to ePBS: the Microstructure of Block Building
[NO] 254/1925 | Chiral lasing via broken parity-time symmetry in bound-state-in-the-continuum metasurfaces
[NO] 255/1925 | Which Classicality? Incidence, Simplex, and Product-Rule Tests in Finite Quantum Logics
[NO] 256/1925 | Structure-Detail Decoupled Autoregressive Generation for Fast and High-Fidelity Virtual Try-On
[NO] 257/1925 | Combinatorial interpretation of the coefficients of the order polynomial of fence posets
[NO] 258/1925 | Extending valuations of local domains to complete local domains without changing the value group
[NO] 259/1925 | HandFlow: Fully Generative 4D Hand Recovery with Flow Matching
[NO] 260/1925 | Distributed Semantics for Distributed Quantum Computing
[NO] 261/1925 | When the Target Domain Changes: AI-Mediated Construct Drift in High-Stakes English Language AssessmenW
[NO] 262/1925 | Uncertainty-Aware Structure-Property Mapping of Spinodoid Metamaterials via Heteroscedastic Gaussian Process Regression
[NO] 263/1925 | Parallax Portrait Matting
[NO] 264/1925 | The plasma-wall dynamic: wellposedness
[NO] 265/1925 | What We Talk About When We Talk About LLM Planning: Evidence for Two Distinct Planning Abilities
[NO] 266/1925 | GDP.pdf: Benchmarking Grounded Multimodal Reasoning over Professional PDF Documents
[NO] 267/1925 | Observation of the centrality-dependent difference in directed flow between charged kaons and $K^{*0}$ resonances in Au+Au collisions at $\sqrt{s_{\mathrm{NN}}}$ = 14.6, 19.6 and 27 GeV
[NO] 268/1925 | Recovery Control in Replicated Systems through Autonomous Multiagent Rollout
[NO] 269/1925 | Amplitude-Only FFN Intervention for Tool-Structured LLM Inference Method: Gated Evaluation Protocol, and Cross-Model Empirical Results
[NO] 270/1925 | An exponent-$s$ dynamical Borel-Cantelli lemma and the waiting time problem
[NO] 271/1925 | SISA-Rec: A Semantically Integrated Sequential Recommender with Contrastive Alignment
[NO] 272/1925 | Mode Switching for RDARS-Aided ISAC Systems: From Optimization to Deep Unfolding
[NO] 273/1925 | On the Performance of Integrated Satellite-Terrestrial Maritime Communications
[NO] 274/1925 | Learning Subgroup Relations Using Siamese Graph Neural Networks
[NO] 275/1925 | Breaking the 15% Barrier: A Real-World Data-Driven System for Proactive Social Robot Triggered by User Nonverbal Cues
[NO] 276/1925 | Reproducing human biases in route choice using large language models: Toward scalable behavioral modeling
[NO] 277/1925 | Lesioned Multimodal Language Models Reproduce Aphasic Picture-Naming Patterns
[NO] 278/1925 | Phase transition for weakly interacting focusing Gibbs measures with harmonic potential
[NO] 279/1925 | Peering through the disc of HD 98800 BaBb. Precise timing predictions for the HD 98800 AaAb occultation
[NO] 280/1925 | Exact Cardinality And Nonredundant Parametrization Of Character-Polynomial Codes
[NO] 281/1925 | MAGIC: Transition-Aware Generation of Navigable Multi-Scene Game Worlds with Large Language Models
[NO] 282/1925 | Axion Generation in a Three-Dimensional Optical Trap
[NO] 283/1925 | HCRMap: Pressure-Aware Hot-Expert Residency Mapping for 3.5D MoE Chiplet Inference
[NO] 284/1925 | Actor as Its Own Critic: Unifying Region Understanding and Localization via CycleGRPO
[NO] 285/1925 | Physics-Informed Neural Networks for the High-Resolution Reconstruction of Flow Measurement Indicators in Fluid Dynamics
[NO] 286/1925 | Algebraic Invariant Quadratization Schemes for Cahn--Hilliard Equations
[NO] 287/1925 | PaperRouter-Agent: A Content-Grounded LLM Agent for Personalized Hierarchical Paper Routing
[NO] 288/1925 | Machines that Predict Trajectories from Templates
[NO] 289/1925 | Tropical Circuits with Scalar Multiplication Gates
[NO] 290/1925 | Learning Residual Kinematic Corrections for Continuous Neural Decoding via Reinforcement Learning
[NO] 291/1925 | Pure-homogeneous Abelian groups
[NO] 292/1925 | Stochastic individual-bases models
[NO] 293/1925 | Microscopic equivalence of the vortex-entry current and the depairing current in a superconducting thin-film strip
[NO] 294/1925 | Graph-Compatible Power Concavity in Weakly Coupled Elliptic Systems
[NO] 295/1925 | SCOPE-RL: Optimizing Reasoning Paths Before and After Success
[NO] 296/1925 | GEIS: A Generation-Evaluation-Improvement Loop of Agent Skills for Long-Form Article Generation
[NO] 297/1925 | See like a Robot: Robot-Centric Pointmaps for Vision-Language-Action Models
[NO] 298/1925 | Global well-posedness of the Toda lattice on an exact spectral phase space
[NO] 299/1925 | Superdiffusion of cosmic rays in the vicinity of their accelerators and the resulting $γ$-ray emission
[NO] 300/1925 | LLM-Guided Program Evolution for Targeted Black-Box Attacks on Perceptual Hash Algorithms
[NO] 301/1925 | Are LLMs ready for HardChoices?
[NO] 302/1925 | Score-Only Distillation for Compact Dense Retrieval
[NO] 303/1925 | FAIR GraphRAG: A Retrieval-Augmented Generation Approach for Semantic Data Analysis
[NO] 304/1925 | Balanced notation for $τ$-rigid pairs
[NO] 305/1925 | Central Elements and Determinantal Identities in the Elliptic Quantum Algebra \( \mathcal{A}_{q,p}(\widehat{\mathfrak{gl}}_N)\)
[NO] 306/1925 | Mass--size evolution and the emerging passive--density relation revealed by JWST/NIRCam in the Spiderweb protocluster
[NO] 307/1925 | Pre-flare and active region plasma flows and structure seen by the short wavelength camera on SOLAR-C/EUVST
[NO] 308/1925 | Velocity Scheduled Flow Matching
[NO] 309/1925 | Absence of non-compactly supported minimisers for the Lieb-Oxford bound
[NO] 310/1925 | Direct Image-to-Modern Vietnamese Translation of Han-Nom Manuscripts via Multimodal RLHF Preference Alignment
[NO] 311/1925 | Small data global in-time existence for Nakao's problem in two and three space dimensions
[NO] 312/1925 | EDAR: Learning Environment-Dependent Action Representations for Robotic Manipulation
[NO] 313/1925 | Cross-Architecture LLM Ensembles, Feature-Based Reranking and Retrieval-Augmented Prompting for Legal Information Processing
[NO] 314/1925 | GNSS Spoofing Detection in TDD Networks: A 3GPP Standards-Based Security Framework
[NO] 315/1925 | WALA Learning Executable Latent Actions from Action-Labeled Demonstrations and Action-Free Videos
[NO] 316/1925 | A method for measuring the dispersion of elastic waves in disordered computer-solids
[NO] 317/1925 | Robust Subgroup Analysis for Heterogeneous Censored Data
[NO] 318/1925 | Multiple Instrument Methods Comparison by Precision weighted Deming Regression
[NO] 319/1925 | On flat translated chains of contactomorphisms of $\mathbb{R}^{2n+1}$ and $\mathbb{R}^{2n} \times S^1$
[NO] 320/1925 | Infinite support of the Parisi measure in the Sherrington-Kirkpatrick model
[NO] 321/1925 | Filtration and gradation of quantum affine vertex algebras
[NO] 322/1925 | Qwen-Audio-VAE Technical Report
[NO] 323/1925 | GFR-SAM: Training-Free Referring Camouflaged Object Segmentation via Cross-Image Prompting
[NO] 324/1925 | STARSFLUX: an all-sky catalogue of absolute spectro-photometric calibrators from 0.3 to 30 $μ$m
[NO] 325/1925 | Exchange topology and criticality in ferrite and chromium spinels: a unified Monte Carlo analysis
[NO] 326/1925 | Active Offline-to-Online Reinforcement Learning
[NO] 327/1925 | Stellar flares cannot explain the Galactic 511\,keV emission
[NO] 328/1925 | Correlation-consistent Gaussian basis sets for copper solids from material-constrained atomic optimization
[NO] 329/1925 | Near-Optimal Mode Scaling for Finite-Dimensional Boson Sampling via Lie-Algebraic Leakage Bounds
[NO] 330/1925 | On two counterexamples in the geometry of numbers
[NO] 331/1925 | On the Hilbert depth of a special class of squarefree monomial ideals
[NO] 332/1925 | The Coding Conception of Set
[NO] 333/1925 | Diversified Multinomial Logit Contextual Bandits
[NO] 334/1925 | RAGU: A Multi-Step GraphRAG Engine with a Compact Domain-Adapted LLM
[NO] 335/1925 | A multi-scale feature enhanced graph neural network for fluid dynamics prediction in complex geometries
[NO] 336/1925 | Analytical Theory of Photon Tunneling and Near-Field Heat Transfer Between Dissimilar Materials
[NO] 337/1925 | The Time-Space Complexity of Checking Multiple Assertions in Quantum Programs
[NO] 338/1925 | Mapping Oscillatory Flows in a Giant Chromospheric Spiral
[NO] 339/1925 | Robust Welfare Decentralization under Population Entry
[NO] 340/1925 | A Model for Mediating Multi-Modal Human Intent into Safe Maneuvers for UAVs
[NO] 341/1925 | Multi-scale improved predictions for $\boldsymbol{pp \to t\bar{t}W^+ +X}$
[NO] 342/1925 | How do 3M Command strips work? A fracture mechanics approach
[NO] 343/1925 | Superlinear complexity of the $(3/2)^n$ steering word
[NO] 344/1925 | Experimental Review on Bulk Properties and Light/Strange Hadron Production in Heavy-Ion Collisions
[NO] 345/1925 | The chain replacement of a poset flow
[NO] 346/1925 | Constraints on Ultra-Light Axions from the DESI DR1 Full Shape, Planck and ACT
[NO] 347/1925 | Detection of sUAS in Urban Environments using Multi-Antenna Micro-Doppler Radar
[NO] 348/1925 | Bounding Kirkwood-Dirac negativity of Gaussian processes
[NO] 349/1925 | Corrected thermodynamics and radiation predictions of modified black bounce compact objects
[NO] 350/1925 | Ice Deposition Fronts In Porous Bodies From Transient Heating Events In a Protoplanetary Disk
[NO] 351/1925 | Quantum probe advantage in learning many-body systems
[NO] 352/1925 | Time-Resolved Connection between Starspots and Flares in Nearby Young Solar-type Stars Observed by TESS
[NO] 353/1925 | Serrin's Problem under Dirichlet Perturbations: Geometric Compactness and Sharp Planar Stability
[NO] 354/1925 | Duals of higher vector bundles and cotangents of Lie 2-groupoids
[NO] 355/1925 | Casting Everything to Online API Services? A Survey of Integrating Localized Speech Recognition Models in Robotic Systems
[NO] 356/1925 | Strain-controlled crystalline--amorphous transition and flat-band tuning in buckled silicon kagome
[NO] 357/1925 | Visibility-Region Coupling in XL-MIMO AGV Fleets: Triple-Role Modeling and Masked Beamforming
[NO] 358/1925 | Tidal deformation and strain accumulation of solid compact stars
[NO] 359/1925 | The Evolution and Interpretation of "Statistical Purposes"
[NO] 360/1925 | Multi-Agent LLMs Fail to Explore Each Other
[NO] 361/1925 | Trotter error compensation with polylogarithmic precision and nested-commutator scaling without ancillas
[NO] 362/1925 | Fractal uncertainty principle over $\mathbb{Q}_p$
[NO] 363/1925 | Atomic physical measures for non-invertible random dynamical systems
[NO] 364/1925 | Microscopic Study of Charge Properties in Halo Nuclei
[NO] 365/1925 | Asymptotic expansion of induced Grassmannian Chern forms and distribution of random degeneracy sets
[NO] 366/1925 | Gravitationally Lensed View of DSFG-1 in PLCK G165.7+67.0: Strong Dust Emission and Spatially Resolved Stellar Population Analysis with JWST and SMA
[NO] 367/1925 | Collisionless whistler heat-flux instability in ultra-high-$β$ plasmas
[NO] 368/1925 | Amorphous materials as a frontier challenge for universal interatomic potentials
[NO] 369/1925 | Learning to control switching nonlinear systems with Koopman operator regression
[NO] 370/1925 | DA-Nav: Direction-Aware City-Scale Vision-Language Navigation
[NO] 371/1925 | Teaching Speech Enhancement Models to Sing: Domain Adaptation from Speech Enhancement to Singing Voice Separation
[NO] 372/1925 | Any Proof of Polynomial Hirsch Must be Completely Incoherent
[NO] 373/1925 | IBPA: Real-time Free-form Manifold Mesh Reconstruction via Incremental Ball Pivoting with Integrated Hole Detection
[NO] 374/1925 | On the Policy Convergence of Policy Mirror Descent Methods
[NO] 375/1925 | Moment-Structured Block Encodings of Periodic Finite-Difference Operators
[NO] 376/1925 | Similarity-Guided Curriculum Fine-Tuning of LLMs for Neural Architecture Synthesis
[NO] 377/1925 | DiffEEG: A Self-Supervised Denoising Diffusion Model for Learning EEG Generic Representations
[NO] 378/1925 | A Twin gradient method for unconstrained optimization
[NO] 379/1925 | Geometric Scaling of Battery Cells and Its Effect on Key Performance Indicators
[NO] 380/1925 | Robust Spin Qubit Coupler via Minimal Kitaev Chain
[NO] 381/1925 | Global dimension of a string algebra
[NO] 382/1925 | Synthesis of Ti2B2Clx MBenes in molten salts from theoretical and experimental perspectives
[NO] 383/1925 | Condition-Stratified Robustness Analysis of Post-Hoc Calibration Methods for Probabilistic Classifiers
[NO] 384/1925 | Random Label Prediction Heads for Studying Memorization in Deep Neural Networks
[NO] 385/1925 | Evidence Subspace Projection: Measuring How Much Evidence Explains Deepfake Detection in Self-Supervised Speech Models
[NO] 386/1925 | Adaptive Routing for Efficient Diffusion Transformer-Based PNI Prediction
[NO] 387/1925 | AutoMatBench: An Automatic Optimization Toolkit for the Acceleration of Material Properties Prediction Benchmarking
[NO] 388/1925 | Dzongkha Next Word Prediction System
[NO] 389/1925 | A Dual-Band Reconfigurable Shared-Aperture Antenna Array With Independent Sub-6-GHz and Centimeter-Wave Beam Control
[NO] 390/1925 | CFR-Net:Collaborative Feature Refnement Network for Medical Image Anomaly Detection
[NO] 391/1925 | Comparative Analysis of GAT and BERT for Human-Like Playtesting
[NO] 392/1925 | HyperGS: Fast and Generalizable Gaussian Video Representation
[NO] 393/1925 | Time Is Money: Incentivized Causal Transaction Ordering
[NO] 394/1925 | Purcell enhanced and blinking free single photons from InAs/GaAs quantum dots in deterministically placed circular Bragg gratings
[NO] 395/1925 | Compound Interference Recognition for LR-FHSS Satellite IoT Uplinks via Multi-Domain Instance Fusion
[NO] 396/1925 | Communicating Chess Strategies in Natural Language
[NO] 397/1925 | Fractionalized metals from doped anyons: Application to tMoTe2
[NO] 398/1925 | Strong Zero Modes in Supersymmetry-Inspired Quantum Circuits
[NO] 399/1925 | From diffusion to transmission via EDP-convergence: a paradigmatic multiscale limit
[NO] 400/1925 | Polynomial-Time Evaluation of Aardal-Lenstra Denumerants via Constant Term Method
[NO] 401/1925 | Search for two-neutrino double electron capture in $^{36}$Ar with the DarkSide-50 detector
[NO] 402/1925 | Breuer-Major-Donsker invariance principle
[NO] 403/1925 | Gauss-Green formulas for divergence measure tensor fields on rough domains
[NO] 404/1925 | Prezta: Provable Remote Execution of Zero-Trust Authorization using SNARKs
[NO] 405/1925 | Heterogeneous-Gradient Phase--Polarization Alignment and Maximal-Ratio Weight Allocation for Multi-Aperture Coherent FSO Reception
[NO] 406/1925 | HourGlass: A probabilistic data-driven temporal downscaler for global and regional weather forecasting
[NO] 407/1925 | Tunable non-Hermitian skin effect and topological phases in ladders with staggered nonreciprocal inter-leg hopping
[NO] 408/1925 | Extended Landau--Lifshitz equation for nanomagnets: a path-integral derivation of surface-induced magnetization nutation
[NO] 409/1925 | Generative AI in Higher Education Laboratory Learning: A Qualitative Case Study of Epistemic Scaffolding and Assessment Boundaries
[NO] 410/1925 | Observation of $η_{c} \to p\bar{p}η$ via $ψ(3686) \to γp\bar{p}η$
[NO] 411/1925 | Confidently Wrong: Detecting Hallucinations in Financial Question Answering from LLM Internal States
[NO] 412/1925 | Ab initio path integral Monte Carlo study of the 2D uniform electron liquid at finite temperatures
[NO] 413/1925 | Decentralized Model Predictive Control of Connected and Automated Vehicles with Coupled Safety Constraints
[NO] 414/1925 | A Formal Hierarchical Architecture for Agentic Orchestration with Stack-Based Execution and Lazy Discovery
[NO] 415/1925 | TIGER: Text-Conditioned Visual Gated Routing with Acceptance Alignment for Multimodal Speculative Decoding
[NO] 416/1925 | The Equilibrium Is the Initialization: Lazy Identity Collapse in Physics-Structured Deep Equilibrium Reasoning
[NO] 417/1925 | Neural Discovery of Memory and Nonlocal Kernels in Integro-Differential Equations with Constrained Kolmogorov--Arnold Networks
[NO] 418/1925 | A TQFT perspective on satellite constructions and toral decompositions
[NO] 419/1925 | A Novel Graph Fraud Detector via Grouped Attribute Completion and Confidence-Aware Contrastive Learning
[NO] 420/1925 | Beyond the Eye: Efficient Multimodal Reasoning via Self-Regulated Implicit Visual Tools
[NO] 421/1925 | Quantum Generalized Equivalent Uniform Dose (QgEUD): A Simulation Method for Phase-Dependent Radiobiological Dose Effects
