[2026-08-07 10:02:11] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-06
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608060000+TO+202608062359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-8-6 | BAGAS: Blockchain-Assisted Group Authentication Scheme for Internet of Drones
[ACM] 2026-8-7 | Taming Structured Data Foundation Models with AutoML: A Hands-On Guide
[ACM] 2026-8-6 | ShadeBench: A Benchmark Dataset for Building Shade Simulation in Sustainable Society
[ACM] 2026-8-6 | BacktestBench: Benchmarking Large Language Models for Automated Quantitative Strategy Backtesting
[ACM] 2026-8-6 | Constraint-Aligned Subspace Transformation for Scalable Kernel Metric Learning in Clustering
[ACM] 2026-8-7 | MTFM: A Scalable and Alignment-free Foundation Model for Industrial Recommendation in Meituan
[ACM] 2026-8-6 | A Data-driven Route Segmentation Framework for Time-of-Arrival Estimation Service
[ACM] 2026-8-6 | On Optimizing Route-Responsive Urban Tree Placement in City-Scale Pedestrian Networks
[ACM] 2026-8-7 | OneRank: Unified Transformer-Native Ranking Architecture for Multi-Task Recommendation
[ACM] 2026-8-6 | Episode Spaces: Mining Reusable Knowledge from Urban Simulation Corpora for Safety-Critical Decision Support
[ACM] 2026-8-6 | Scale-Invariant Lifelong Cross-Modal Hashing via Gradient Equilibrium
[ACM] 2026-8-6 | Distributional Alignment for Social Simulation with LLMs: A Mixture Modeling Approach
[ACM] 2026-8-6 | Efficient Piecewise-Linear Embeddings for Deep Tabular Regression by Guided Breakpoint Allocation
[ACM] 2026-8-6 | TransXion: A High-Fidelity Graph Benchmark for Realistic Anti-Money Laundering
[ACM] 2026-8-6 | MemNovo: Look Back at the Spectrum for Balanced
                    <i>De Novo</i>
                    Peptide Sequencing from Mass Spectrometry
[ACM] 2026-8-6 | Unity: Fully Self-Supervised Pretraining with Transformers for Recommendation
[IEEE] 2026-8-6 | LLM-based Reinforcement Learning for Controlling Robot Swarms
[IEEE] 2026-8-6 | ML-based Multiple BS Beam Tracking and Positioning with Digital Twin
[IEEE] 2026-8-6 | Work in Progress: An Analysis of ATT&amp;CK TTP Adoption and Semantic Ambiguity
[IEEE] 2026-8-6 | Secure and Resilient Cyber-Physical Supply Networks for Critical Infrastructure A Design Framework for Military Mobility and MissionCritical Operations
[IEEE] 2026-8-6 | A Study on RS-Assisted RAIDDR for Metadata-Aware Memory Reliability in Future Network Infrastructure
[IEEE] 2026-8-6 | Integrated Sensing and Communications in 6G: A Review of Recent Advances and Challenges
[IEEE] 2026-8-6 | Joint Trajectory and Scheduling Optimization for UAV-Assisted 6G Networks: A Deep Reinforcement Learning Approach with Throughput–AoI Trade-off
[IEEE] 2026-8-6 | Towards field-deployable, man-portable, infrared target detection of drones and vehicles using transformer-based computer vision models and embedded GPUs
[IEEE] 2026-8-6 | PureChain-Based Real-Time Intrusion Detection for Secure Industrial Humanoid IIoT Communication
[IEEE] 2026-8-6 | Performance Analysis of FSF-LoRa under Overlapping Transmissions: From Link-Level Interference to System-Level Throughput
[IEEE] 2026-8-6 | Fast and Scalable Dynamic Spectrum Allocation Using a Coherent Ising Machine
[IEEE] 2026-8-6 | A Noise-Aware Framework for Reliable Detection of High-Impedance Faults in DC Microgrids
[IEEE] 2026-8-6 | Low-Power Binary Search ADC with High-Level Non-Uniform Input Optimization for Flexible Electronics
[IEEE] 2026-8-6 | Bridging Structural and Semantic Dimensions in Dynamic Topic Modelling: An Entropy- Regularized Graph Temporal Wasserstein Evaluation Framework
[IEEE] 2026-8-6 | Subnetwork-based energy-efficient virtual optical network embedding over elastic optical networks
共写入 1000 条记录，保存到 papers/paper2026-08-06.json。
论文获取成功，文件路径: papers/paper2026-08-06.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | BAGAS: Blockchain-Assisted Group Authentication Scheme for Internet of Drones
[NO] 2/1000 | Ternary Noise Modulation
[NO] 3/1000 | Spatiotemporal Consistency Constrained Imaging Sonar Odometry for Underwater Robots
[NO] 4/1000 | Compressed-Sensing-Based Deep JSCC for Resource-Constrained Remote Sensing Transmission
[NO] 5/1000 | AI-Based Spatiotemporal Analysis Reveals Distinct Neuronal Markers of Morphine Response during Chronic Pain in Mice
[NO] 6/1000 | IEEE Access
[NO] 7/1000 | World-Model-Based Deep Reinforcement Learning for Real-Time Microgrid Energy Management
[NO] 8/1000 | Knowledge Rectification for Camouflaged Object Detection: Unlocking Insights from Low-Resolution Data
[NO] 9/1000 | A Metaheuristic Controller Design Procedure Considering Linear Time-Variant Behavior to Optimize DC-DC Converter Response to Wide Load Variations
[NO] 10/1000 | Fast Negative-Sequence Voltage Suppression for Grid-Feeding Inverters With Virtual Voltage Control
[NO] 11/1000 | Table of Contents
[NO] 12/1000 | IEEE Xplore
[NO] 13/1000 | A 1.6-fJ/Spike Subthreshold Analog Spiking Neuron in 28 nm CMOS
[NO] 14/1000 | Prescribed-Time Adaptive Tracking for Nonlinear Systems via Nonvanishing Disturbance Observer and Command Filtering
[NO] 15/1000 | HRN: A Hybrid Recall Network for Crop Classification Using Multi-source Time-series Remote Sensing Data
[NO] 16/1000 | Comparative Analysis between Classical CNNs and Quantum Convolutional Neural Networks for Cacao Pod Disease Classification
[NO] 17/1000 | Center-Guided Divergence Attention Network for Robust Steganalysis of Dynamic-Length Low-Bit-Rate Speech Streams
[NO] 18/1000 | FLEDA: Forecasting-Based Data Partition Placement for Efficient Deep Learning Recommendation Model Training
[NO] 19/1000 | Privacy-Aware Decoding: Mitigating Privacy Leakage of Large Language Models in Retrieval-Augmented Generation
[NO] 20/1000 | UniRank: A Unified Framework for Efficient Multi-Objective LLM Ranking in Industrial Search
[NO] 21/1000 | The Entropic Overhead of Conformal Correction
[NO] 22/1000 | GaussTrap: Stealthy Backdoor Attacks on 3D Gaussian Splatting for Targeted Scene Misperception
[NO] 23/1000 | MUSTANG: Multi-Variable Spatio-Temporal Meta-Learning for Water Data Imputation
[NO] 24/1000 | LCATS: LLM-Guided Constraint-Aware Tabular Data Synthesis
[NO] 25/1000 | TTMC: Brain-Inspired Test-Time Memory Calibration with Orthogonal Projection for Online Continual Learning
[NO] 26/1000 | ReLU: Refined Chunk Embeddings Learning for Ultra-long SNP Genomic Prediction in Crop Breeding
[NO] 27/1000 | The 7th International Workshop on Talent and Management Computing (TMC 2026)
[NO] 28/1000 | Is the Last Check-In All You Need? Next POI Recommendation: Recall and Rerank
[NO] 29/1000 | Bounded-Abstention Pairwise Learning to Rank
[NO] 30/1000 | C-iVAE: Causal Structure-Aware Identifiable VAE for Tabular Data with Limited Environments
[NO] 31/1000 | Force-Recovered Neural Operators for Coupled Structures with Test-Time Closure Calibration
[NO] 32/1000 | TMallGS: Scaling Unified Feature and Sequence Modeling for Generative E-commerce Search
[NO] 33/1000 | Deterministic-Allocation and Anonymous Joint Advertising in E-commerce Platforms
[NO] 34/1000 | IonoFM: Multimodal Self-Supervised Learning for Ionospheric Monitoring and Prediction
[NO] 35/1000 | Reinforcement Learning with Scenario-Context Rollout in Portfolio Management
[NO] 36/1000 | C
                    <sup>2</sup>
                    KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference
[NO] 37/1000 | <scp>SimCoachCorpus:</scp>
                    A Naturalistic Dataset with Language and Trajectories for Embodied Teaching
[NO] 38/1000 | Balanced Multimodal Federated Learning: An Efficient and Noise-Resilient Approach
[NO] 39/1000 | DyGADBench: A Comprehensive Benchmark for Anomaly Detection in Dynamic Graphs
[NO] 40/1000 | Multi-Modal Hierarchical Retrieval-Augmented Generation for Document Question Answering
[NO] 41/1000 | AIGQ: An End-to-End Hybrid Generative Architecture for E-commerce Query Recommendation
[NO] 42/1000 | Ranking Anomalous Subsequences in Large Scale Streaming Data for Efficient Triage
[NO] 43/1000 | RAPO: Expanding Exploration for LLM Agents via Retrieval-Augmented Policy Optimization
[NO] 44/1000 | GDPTN: Econometrics-Informed Deep Generative Forecasting for Large-Scale Censored Panel Data
[NO] 45/1000 | HIVE: Hierarchical Generation of Integrated and Varied Ensembles for Efficient Out-of-Distribution Generalization
[NO] 46/1000 | MoE-Pointer: Seq2Seq Reinforcement Learning for Dynamic Multi-Echelon Pickup-and-Delivery with Courier-Drone Relay
[NO] 47/1000 | UrbanGraphEmbeddings: Learning and Evaluating Spatially Grounded Multimodal Embeddings for Urban Environments
[NO] 48/1000 | SAASBench: A Synthetic Antibody–antigen Specificity Benchmark
[NO] 49/1000 | Beyond Reaction Data: Learning Chemical Knowledge from Large-Scale Molecules for Retrosynthesis
[NO] 50/1000 | Synthetic Interaction Data for Scalable Personalization in Large Language Models
[NO] 51/1000 | LLM-based Evaluation Policy Extraction for Ecological Modeling
[NO] 52/1000 | Both Topology and Text Matter: Revisiting LLM-guided Out-of-Distribution Detection on Text-attributed Graphs
[NO] 53/1000 | G-STAR: Graph-based Scheduling with Trace-driven Adaptive Routing for Industrial LLM-based Multi-Agent Systems
[NO] 54/1000 | MDL: A Unified Multi-Distribution Learner in Large-scale Industrial Recommendation through Tokenization
[NO] 55/1000 | VCAgent: A Mutation-Guided Self-Reflective Agent Framework for Virtual Cell Modeling
[NO] 56/1000 | OpenAqua: A Large-Scale Fine-Grained Dataset and Benchmark for Open Underwater Visual Perception
[NO] 57/1000 | CMF-ELN: A Cross-Modal-Fused End-to-end Learning Network for Cold-Start Drug-Drug Interaction Prediction
[NO] 58/1000 | CEComBench: Benchmarking Large Language Models' performance on Chinese E-commerce tasks
[NO] 59/1000 | Training-free Truthfulness Detection via Sparse MLP Value Vectors
[NO] 60/1000 | A Survey on UAV-Assisted Wireless Communications for Future Networks
[NO] 61/1000 | Large-Scale MIMO for Satellite Communications: Opportunities and Challenges
[NO] 62/1000 | SYNAPSE: Privacy-Constrained Diagnosis-Aware Exercise Recommendation with Synthetic Data
[NO] 63/1000 | Authenticating and Authorizing the Caller: A Defense Mechanism Against Caller ID Spoofing
[NO] 64/1000 | Obstacle-Aware Interpolation for Real-Time Radio Map Generation in Smart Factories
[NO] 65/1000 | Neural Fitting for Sparse Radio Map Construction in LEO Satellite Network
[NO] 66/1000 | Graph-Based Modelling and Prediction of Adversary Behaviour from Honeypot Traces
[NO] 67/1000 | Risk Management Framework for LLM-Enabled Identity Tools: Mapping OWASP LLM Top 10 to NIST CSF 2.0
[NO] 68/1000 | AIRC 2026 Cover Page
[NO] 69/1000 | Dynamic Object-Based Point Cloud Registration for Roadside LiDAR Calibration in Low-Overlap Outdoor Deployments
[NO] 70/1000 | Robust Optimal Formation Control in Connected Autonomous Surface Vehicles with Multiple Objectives and Input Dead-Zones
[NO] 71/1000 | WoRMA 2026 Keynotes
[NO] 72/1000 | Quantum Attention Mechanisms: Architectures, Measurement Overhead, and Empirical Evidence
[NO] 73/1000 | Wings-Embedded Through Polymer Via (WTPV) for Signal Integrity and Thermal Management in 3D Integrated Circuits
[NO] 74/1000 | Deep Neural Networks for Inverse Kinematics with Multi-Valued Solution Spaces: Limitations and Hybrid Learning–Optimization Approach
[NO] 75/1000 | A 11.6–27.7-GHz Frequency Doubler With Stack Harmonic Feedback Achieving 18.8% Total Efficiency
[NO] 76/1000 | NewbornTimeLine: Automated Video-Based Timelines for Neonatal Resuscitation in a Hospital Pilot Study
[NO] 77/1000 | Cybersecure and Privacy-Aware Governance Framework with Face Verification ID in Digital Public Infrastructure Toward a Trusted and Secure Digital Society: A Systematic Literature Review
[NO] 78/1000 | Trustworthy LLM-Based Agents for Data-Centric AI
[NO] 79/1000 | Interactive Recommendation Agent with Active User Commands
[NO] 80/1000 | Text-Guided Visual Representation Learning for Robust Multimodal E-Commerce Recommendation
[NO] 81/1000 | TCG-LLM: Physics-aware Fine-tuning with Quality-based Reward Shaping for Tropical Cyclogenesis Detection and Localization
[NO] 82/1000 | Integrating Inductive Biases in Transformers via Distillation for Financial Time Series Forecasting
[NO] 83/1000 | Beyond Time Series: Spatial Reasoning for Epidemic Forecasting via Multimodal Learning
[NO] 84/1000 | FairTraj: Density-Aware Generative Data Augmentation for Fairness in Downstream Trajectory Learning Tasks
[NO] 85/1000 | From Scaling to Structured Expressivity: Rethinking Transformers for CTR Prediction
[NO] 86/1000 | GREPO: A Benchmark for Graph Neural Networks on Repository-Level Bug Localization
[NO] 87/1000 | RAViG-Bench: A Benchmark for Retrieval-Augmented Visually-Rich Generation with Multi-Modal Automated Evaluation
[NO] 88/1000 | Lightweight Wrappers for Adapting Time Series Foundation Models to Regional Drought Forecasting
[NO] 89/1000 | ECHO: Adaptive Community Search over Multimodal Graphs
[NO] 90/1000 | LocalSearchBench: Benchmarking Agentic Search in Real-World Local Life Services
[NO] 91/1000 | Scalable Multi-Action Offline Policy Learning with an
                    <i>m</i>
                    -ary Tree
[NO] 92/1000 | X-VORTEX: Spatio-Temporal Contrastive Learning for Wake Vortex Trajectory Forecasting
[NO] 93/1000 | Dual-Difficulty Curriculum Learning for Direct Preference Optimization
[NO] 94/1000 | HD-Prot: A Protein Language Model for Joint Sequence-Structure Modeling with Continuous Structure Tokens
[NO] 95/1000 | Hierarchical Causal Model for Multimodal Single-cell Data Integration and Prediction
[NO] 96/1000 | PRIME: A Pretrained Representation-Induced Model for 3D Molecules in De Novo Binder Design
[NO] 97/1000 | Native Hierarchical and Compositional Representations with Subspace Embeddings
[NO] 98/1000 | Stabilizing Physics-Informed Consistency Models via Structure-Preserving Training
[NO] 99/1000 | <scp>MirrorBench:</scp>
                    A Benchmark to Evaluate Conversational User-Proxy Agents for Human-Likeness
[NO] 100/1000 | A More Accurate Algorithm Comparison through A/B Testing using Offline Evaluation Methods
[NO] 101/1000 | Multi-Hop Diffusion-Wavelet Semantic Learning for Zero-Shot Circrna-Mirna Interaction Prediction
[NO] 102/1000 | MixLM: High-Throughput and Effective LLM Ranking via Text-Embedding Mix-Interaction
[NO] 103/1000 | CTIConnect: A Benchmark for Retrieval-Augmented LLMs over Heterogeneous Cyber Threat Intelligence
[NO] 104/1000 | The Pitfall of Scaling Up: Uncovering and Mitigating Popularity Bias Amplification in Scaling Transformer-based Recommenders
[NO] 105/1000 | Rethinking Weak Supervision in Anomaly Detection: A Comprehensive Benchmark
[NO] 106/1000 | DICE: Dynamic In-Context Example Selection in LLM Agents via Efficient Knowledge Transfer
[NO] 107/1000 | Backward Compatibility in Tree-Based Explanations and Enhanced CART Algorithm
[NO] 108/1000 | SaFRO: Satisfaction-Aware Fusion via Dual-Relative Policy Optimization for Short-Video Search
[NO] 109/1000 | Geometry-aware Test-Time Adaptation on Graphs
[NO] 110/1000 | Geometry-First Generative Spatial Single-Cell Reconstruction
[NO] 111/1000 | CoRGI: GNNs with Convolutional Residual Global Interactions for Lagrangian Simulation
[NO] 112/1000 | Compass: Navigating Global Marine Lead Data Integration through Expert-Guided LLM Agent
[NO] 113/1000 | FedTail-DT: A Dual-Teacher Framework for Long-Tailed Heterogeneous FL with CLIP Prototypes and Adaptive Aggregation
[NO] 114/1000 | Slowing Down Forgetting in Continual Learning: Evidence from Manufacturing
[NO] 115/1000 | MMSep: Efficient Multimodal Long-Generation Reasoning via Multimodal Separator Compression
[NO] 116/1000 | {GS-Fuse}: Granger-Supervised Gated Fusion and Multi-Granularity Alignment for Event-Driven Financial Forecasting
[NO] 117/1000 | Online Learning for Wild Streaming Data with Delayed Feedback
[NO] 118/1000 | UniDocVLM: Enhancing Visual Reasoning and Document Understanding for VLM via Reinforcement Learning
[NO] 119/1000 | SemStruct: Contextualizing Semantic Embeddings with Structural Information for Schema Matching
[NO] 120/1000 | Fault Diagnosis of Networked Time Petri Nets With Communication Delays
[NO] 121/1000 | SSH-Net: Symplectic-Inspired Discrete Dynamic Evolution for Hyperspectral Image Classification
[NO] 122/1000 | Evaluation of Rotor Tolerances in Iron- and Air-Cored Halbach PM Machines
[NO] 123/1000 | MT-REN: An Energy-Efficient Metric–Topology-Fusion Reconfigurable End-to-End GVD-NeuroSLAM Accelerator for Autonomous Microrobots
[NO] 124/1000 | Watch, Localize and Answer: Actom-Centric Video Large Language Models
[NO] 125/1000 | SWAN: Synergistic Wavelet-Attention Network for Infrared Small Target Detection
[NO] 126/1000 | IEEE Innovation Testbed
[NO] 127/1000 | Q-Learning Based Graphical Tuning of ADRC Parameters: Hardware Implementation on a DC-DC Boost Converter
[NO] 128/1000 | Mathworks—Medical
[NO] 129/1000 | A Secure Hierarchical Federated Learning Architecture for UAV-Enabled Edge Computing Systems
[NO] 130/1000 | LAVA-Control: Stable Cost-Aware Intelligence Density Adaptation for Distributed IDS in Heterogeneous IoT Networks
[NO] 131/1000 | Real-Time Deepfake Threat Detection: Benchmarking Lightweight Audio Forensics Against SOTA Video and Hybrid Architectures
[NO] 132/1000 | Roadmap to Wearable Biosensors for Continuous Monitoring of Biomarkers in Sweat: Next-Generation Sweat Biosensing
[YES] 133/1000 | HG-Probe: A Safety-Bounded Evidence Layer for LLM-Guided Web/API Security Testing
[NO] 134/1000 | Shared Data Intelligence-Driven Multi-Task Prediction for Efficient Resource Utilization in 6G Networks
[NO] 135/1000 | Quantum-Resistant RLWE Based Authentication Scheme for Space-Air-Ground-Integrated Network
[NO] 136/1000 | Security risk assessment in distributed systems made practical: Application to a real-world mobility system
[NO] 137/1000 | Study on Cybersecurity for LLM Systems
[NO] 138/1000 | A RSSI Attenuation Model Considering Incident Angle and Wall Thickness in Indoor Environments
[NO] 139/1000 | From Cyber Threat to Political Action: The Identity and Motivations Presented by Anonymous Sudan for DDoS Attacks
[NO] 140/1000 | LLM-Assisted Network Management for Digital Twin-Enabled 5G Systems
[NO] 141/1000 | Middleware Topology Comparison for Automotive Zonal Architectures: Zenoh, DDS, and Zenoh-Bridged DDS
[NO] 142/1000 | High-sensitivity seawater temperature measurement based on core-offset microchannel sensing structure
[NO] 143/1000 | Minimum Rate Maximization for BD-RIS Networks with Time-Varying Channels
[NO] 144/1000 | Adaptive Kinematic Masking for Urban Human Activity Recognition Using UWB Radar: A Sim2Real Approach
[NO] 145/1000 | S2R-LiteInfer: A Lightweight Inference-Driven Sim2Real Domain Adaptation Framework for Distributed Cooperative Perception
[NO] 146/1000 | Spatio-Temporal Kernel Density Estimation for Streaming Time-Varying Data
[NO] 147/1000 | ReCIL: Rehearsal-Based Class Incremental Learning for Cross-Subject Motor Imagery Classification
[NO] 148/1000 | Distributed Fixed-Time Cooperative Transport of Multiscene Aero-Disturbed UAVs-Payload Systems Via a Predefined-Time Collision Strategy
[NO] 149/1000 | <scp>Kairos:</scp>
                    Time-Sensitive Scheduling for Ad-Oriented ML Workloads with Heterogeneous Time-Utility Functions
[NO] 150/1000 | Generalizing GNNs with Tokenized Mixture of Experts
[NO] 151/1000 | Scalable and Traceable Joint Uplift Modeling for Multi-Lever Online Marketing
[NO] 152/1000 | Self-Regulating Prompt Expansion for Continual Learning
[NO] 153/1000 | The International Workshop on AI for Cognitive and Mental Health Support
[NO] 154/1000 | CanonFedRec: A Canonical Geometric Framework for Personalized Federated Recommendation
[NO] 155/1000 | Revisiting Graph Autoencoders as Implicit Contrastive Learners
[NO] 156/1000 | Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2
[NO] 157/1000 | AFLiP: An Access-Recomputation Decoupling Framework for Efficient and Structure-Preserving GNN-based Link Prediction
[NO] 158/1000 | Structured Task Alignment for Multi-Objective Learning to Rank
[NO] 159/1000 | MOSIC: Model-Agnostic Optimal Subgroup Identification with Multi-Constraint for Improved Reliability
[NO] 160/1000 | CR-Aug: Community Risk-Guided Adaptive Augmentation for Semi-supervised Graph Anomaly Detection
[NO] 161/1000 | A Data-Centric Decomposition of Estimator Performance in Continuous Treatment Effect Estimation
[NO] 162/1000 | RoDAC: A Robust Data-centric Anti-Cheat Framework for Fair Online Competitive Gaming
[NO] 163/1000 | FlightGen: Controllable Flight Trajectory Generation with Physics-Constrained Diffusion
[NO] 164/1000 | Tensor Methods: A Unified and Interpretable Approach for Material Design
[NO] 165/1000 | SAGEO Arena: A Realistic Environment for Evaluating Search-Augmented Generative Engine Optimization
[NO] 166/1000 | Multi-TAP: Multi-criteria Target Adaptive Persona Modeling for Cross-domain Recommendation
[NO] 167/1000 | OOD-GraphLLM: Graph Large Language Model for Out-of-Distribution Generalized Drug Synergy Prediction
[NO] 168/1000 | DEGR: Dual Exploration-Driven Generative Re-Ranking for Adaptive Cross-Request Context Bridging
[NO] 169/1000 | Artificial Social Intelligence
[NO] 170/1000 | Driving Reaction Trajectories via Latent Flow Matching
[NO] 171/1000 | <scp>Optimas</scp>
                    : An Intelligent Analytics-Informed Generative AI Framework for Performance Optimization
[NO] 172/1000 | StaR: Stateful Dynamic-Graph Root Cause Analysis through Memory-Enhanced Causality Discovery
[NO] 173/1000 | <scp>DDIAgents:</scp>
                    Mechanism-Conditioned Context Flow for Drug-Drug Interaction Prediction
[NO] 174/1000 | Towards Universal Spatial Transcriptomics Super-Resolution: A Generalist Physically Consistent Flow Matching Framework
[NO] 175/1000 | TCRTSdesign: End-to-End Co-Design of Antigen-Specific TCR Sequences and Structures
[NO] 176/1000 | EHRBench: An Automated and Reliable EHR-based Benchmark for Clinical Decision Making with LLMs
[NO] 177/1000 | Relaxed Bipartite Matching with Structural Inertia for Efficient Diffusion
[NO] 178/1000 | CaCuTe: Casual Cubic-Model Technique for Faster Optimization
[NO] 179/1000 | OneLive: Dynamically Unified Generative Framework for Live-Streaming Recommendation
[NO] 180/1000 | Take Control of Censoring, Generate Real-World Like Synthetic Data
[NO] 181/1000 | FuXi-Linear: Unleashing the Power of Linear Attention in Long-term Time-aware Sequential Recommendation
[NO] 182/1000 | BatteryMFormer: Multi-level Learning for Battery Degradation Trajectory Forecasting
[NO] 183/1000 | ThermEval: A Structured Benchmark for Evaluation of Vision-Language Models on Thermal Imagery
[NO] 184/1000 | Learning to Evaluate: Cost-Effective Model Evaluation on Unlabeled Data with Meta-Learning
[NO] 185/1000 | From Latent to Observable Position-Based Click Models in Carousel Interfaces
[NO] 186/1000 | The KDD 2026 Panel Beyond Scaling---What Will Define the Next Decade of AI? New Frontiers in Knowledge Discovery from Data
[NO] 187/1000 | Rewarding the Scientific Process: Process-Level Reward Modeling for Agentic Data Analysis
[NO] 188/1000 | AI-Assisted Variance Reduction in Randomized Experiments
[NO] 189/1000 | Experimentation for Different Scheduling Policies on Queues: Mixed Differences-in-Q Estimators Based on Little's Law
[NO] 190/1000 | HeimdaLLM: Efficient Cloud-assisted Federated Fine-tuning with Zeroth-Order Rectification for LLMs
[NO] 191/1000 | FOUNDv2: Learning Unified User Quantized Tokenizers for User Representation
[NO] 192/1000 | MEMTS: Internalizing Domain Knowledge via Parameterized Memory for Retrieval-Free Domain Adaptation of Time Series Foundation Models
[NO] 193/1000 | Chem-R: Learning to Reason as a Chemist
[NO] 194/1000 | Atomic Intent Reasoning: Bringing LLM Semantics to Industrial Cross-Domain Recommendations
[NO] 195/1000 | Bias-Aware FP8 Format for Efficient Weight Representation in Post-Training Quantization
[NO] 196/1000 | Few-Sample GNSS Environment Recognition via LLM-Based Physical-Semantic Distillation and Test-Time Adaptation
[NO] 197/1000 | CTLSL: A Robust Underwater Target Localization in Stratified and Perturbed UIoT Environments_supp1-3720542.pdf
[NO] 198/1000 | Author Index
[NO] 199/1000 | SM-FSL: Similarity Guided Multi-Source Few-Shot Learning for Lung Ultrasound Diagnosis
[NO] 200/1000 | Wavelet Decoupling and Fusion Network for Aero-Engine Blade Defect Detection
[NO] 201/1000 | LMI Synthesis of Multivariable Current Controllers for AC/AC Modular Multilevel Converters
[NO] 202/1000 | On Investigation of Interference and its Cancellation Using Statistical Embedding in cGAN Architecture for Rate Splitting Mixed RF/FSO Relaying Systems
[NO] 203/1000 | Vibration Based Condition Classification of ASTM C93900 Bronze Plain Bearing Bushings Using Deep Learning
[NO] 204/1000 | Towards Intelligent and Adaptive Multi-Agent Slicing in Maritime Networks
[NO] 205/1000 | Satellite-terrestrial Passive Wireless Communication Using Programmable Metasurface
[NO] 206/1000 | Evolution of Curing Induced Stress in Cycloaliphatic Epoxy Composite Insulators: Comparative Insights from Linear Elastic and Viscoelastic Models_supp1-3720347.pdf
[NO] 207/1000 | An O-RAN-Assisted MARL Approach for Dynamic Sidelink and Infrastructure Selection in V2X Communications
[NO] 208/1000 | A Multi-Modal Seismic Attenuation Compensation Based on Shallow-Dominant Attenuation Collaborative Mapping
[NO] 209/1000 | CDNet:Cascade decoupled network for end to end Person Search
[NO] 210/1000 | Cross-Modal Gated Fusion for Joint Anomaly Detection and Fault Category Diagnosis in Distributed Systems
[NO] 211/1000 | Enhanced Contention-Based Random Access for 5G NR and Beyond: Supporting NES
[NO] 212/1000 | Adaptive PSO Algorithm for Cooperative Multi-UAV Path Planning in Disaster Relief
[NO] 213/1000 | GATv2+LP: GATv2-Based WSS Topology Design with Link Pruner for Datacenter Network
[NO] 214/1000 | From Synchronized Testbed to MaskForceNet: End-to-End Force Estimation for Neurovascular Guidewires
[NO] 215/1000 | Holographic-ELAA-Enabled Near-Field ISAC: A Sensing-Centric Beamforming Design
[NO] 216/1000 | Energy-Aware Online Fog Scheduling for Mixed Agricultural Sensing Platforms
[NO] 217/1000 | Corrections to “A Systematic Open Source Modeling Method for Energy and Power Systems: Solar PV Application”
[NO] 218/1000 | An Efficient Image Dehazing Algorithm using Wavelength-Based Transmission Rate Estimation for Edge Applications
[NO] 219/1000 | FPGA-Enabled Design for per-Stream Processing in Asynchronous Traffic Shaping for TSN
[NO] 220/1000 | A Stability-Driven Clustering Scheme for Uninterrupted Federated Learning in UAV Networks
[NO] 221/1000 | TATM: A Proactive Flow-Aware Buffer Allocation Framework for Efficient Micro-Burst Absorption in Commodity Switches of 5G Networks
[NO] 222/1000 | CCGP: A Cooperative Coevolutionary Cartesian Genetic Programming Algorithm for Finite State Machine Synthesis
[NO] 223/1000 | Edge-AI Enabled Real-Time Multi-Camera Casualty Detection and Tracking for Military IoT
[NO] 224/1000 | Implementation of a ZSM-Based Network Agent for Automated Traffic Detection and Unified Data Collection in Multi-Generation Networks
[NO] 225/1000 | pFedRadar: Personalized Federated Learning for Radar-based Human Activity Recognition
[NO] 226/1000 | Generalized Query-Oriented Image Semantic Coding Empowered by Large AI Models and Semantic-Aware Hybrid Beamforming
[NO] 227/1000 | A Spatial–Spectral Denoising Algorithm for Accurate Temperature and Emissivity Retrieval from Airborne Thermal Infrared Hyperspectral Data
[NO] 228/1000 | IEEE Conversation
[NO] 229/1000 | APS-SA: Adaptive Proposal Scaling Simulated Annealing-Based Calibration for SAR ADC
[NO] 230/1000 | AIA-UltraNeRF: Acoustic-Impedance-Aware Neural Radiance Field with Hash Encodings for Robotic Ultrasound Reconstruction and Localization
[NO] 231/1000 | Fuzzy Alignment Resolves Visual Representations From 1024-Channel Brain Recordings_supp1-3691203.pdf
[NO] 232/1000 | Wavelet-Guided Frequency Decoupling for Channel-Robust UAV RFFI
[NO] 233/1000 | S2FNet: Spatial-Spectral-Frequency Network for Few-Shot Hyperspectral Image Classification via Frequency Domain Prompt Pool
[NO] 234/1000 | Adaptive Missing-Sensitive Attention Network for Wind Turbine Fault Diagnosis and Early Warning With Incomplete SCADA Data
[NO] 235/1000 | AIRC 2026 Author Index
[NO] 236/1000 | Organizing Committee
[NO] 237/1000 | An Efficient Wood Defect Segmentation Method for Seen and Unseen Wood Species Based on Domain Generalization
[NO] 238/1000 | A Look Back
[NO] 239/1000 | AUPIO-based Event-triggered Composite Anti-disturbance Intrusion-tolerant Control for VPSs Under UFDIAs and Multi-source Disturbances
